Ea Snô	id=g:1567834
Rạch Tàu	id=g:1568500
Kinh Rạch Sây	id=g:1568501
Kinh Rạch Lop đi Ô Chát	id=g:1568502
Kinh Rạch Lop đi Ba Tiêu	id=g:1568503
Rạch Kiến	id=g:1568504
Rạch Gòi	id=g:1568505
Rạch Góc	id=g:1568506
Kinh Rạch Giá đi Long Xuyên	id=g:1568507
Vịnh Rạch Giá	id=g:1568508
Cửa Rạch Giá	id=g:1568509
Rạch Giá	id=g:1568510
Suối Rạch Ðông	id=g:1568511
Sông Rạch Cát	id=g:1568512
Ðồn Rạch Cát	id=g:1568513
Suối Rách	id=g:1568514
Sông Rác	id=g:1568515
Núi Rã	id=g:1568516
Chư Rá	id=g:1568517
Chư Ra	id=g:1568518
Quy Xuân (2)	id=g:1568519
Quy Thượng	id=g:1568520
Quy Thiện (3)	id=g:1568521
Quy Thiện (1)	id=g:1568522
Quy Thiện	id=g:1568523
Qúy Thanh (3)	id=g:1568524
Quỹnh Sơn	id=g:1568525
Quỳnh Nhai	id=g:1568526
Quỳnh Ngọc	id=g:1568527
Quỳnh Lưu	id=g:1568528
Quỳnh Lưu	id=g:1568529
Quỳnh Lôi	id=g:1568530
Quỳnh Lâu	id=g:1568531
Quỳnh Lau	id=g:1568532
Núi Quỳnh Lâm	id=g:1568533
Quỳnh Lậm	id=g:1568534
Quỳnh Lâm	id=g:1568535
Quynh Hoang	id=g:1568536
Quỳnh Ðôi	id=g:1568537
Quỳnh Ðô	id=g:1568538
Quỳnh Côi Hạ	id=g:1568539
Quỳnh Côi	id=g:1568540
Quỳnh Biểu	id=g:1568541
Quỷnh	id=g:1568542
Qúy Mỹ	id=g:1568543
Quy Hậu	id=g:1568544
Quyết Trung	id=g:1568545
Quyết Tiến	id=g:1568546
Quyêt Thủy	id=g:1568547
Núi Quyet	id=g:1568548
Quyển Sơn	id=g:1568549
Quyền Hoành	id=g:1568550
Quyên Dông	id=g:1568551
Sông Quyền	id=g:1568552
Quy Ðức	id=g:1568553
Houei Quoi	id=g:1568554
Quôc Tầu	id=g:1568555
Qui Xuân	id=g:1568556
Quì Xóm	id=g:1568557
Qui Xa	id=g:1568558
Quí Vinh	id=g:1568559
Qui Vinh	id=g:1568560
Qui Tuyên	id=g:1568561
Quí Trung	id=g:1568562
Qui Trình	id=g:1568563
Qui Triêu	id=g:1568564
Qui Tiên	id=g:1568565
Qui Thuận	id=g:1568566
Quí Tả	id=g:1568567
Suối Quít	id=g:1568568
Quình Văn	id=g:1568569
Quình Tụ	id=g:1568570
Quinh Son	id=g:1568571
Quinh Phương Ly	id=g:1568572
Vũng Qui Nhơn	id=g:1568573
Quy Nhơn	id=g:1568574
Quình Ðông	id=g:1568575
Quình Ðiên	id=g:1568576
Quinh Cu	id=g:1568577
Qui Nhân	id=g:1568578
B”nöm Quinh	id=g:1568579
Qui Mỹ	id=g:1568580
Qui Mỹ	id=g:1568581
Qui Mông	id=g:1568582
Núi Qui Minh	id=g:1568583
Qui Lăng	id=g:1568584
Qui Lăng	id=g:1568585
Qui Kou (2)	id=g:1568586
Qui Kou (1)	id=g:1568587
Quí Kim	id=g:1568588
Quí Khi	id=g:1568589
Qui Ke (2)	id=g:1568590
Qui Hương	id=g:1568591
Qui Hương	id=g:1568592
Quì Hợp	id=g:1568593
Qui Hội	id=g:1568594
Quí Hòa	id=g:1568595
Quí Hoa	id=g:1568596
Quí Hòa	id=g:1568597
Qui Hậu (1)	id=g:1568598
Qui Hậu Phường	id=g:1568599
Qui Hậu	id=g:1568600
Qui Hậu	id=g:1568601
Qui Giáp	id=g:1568602
Quí Ðức	id=g:1568603
Quí Ðức	id=g:1568604
Qui Ðạt	id=g:1568605
Quì Chủ	id=g:1568606
Qui Chính	id=g:1568607
Quí Châu	id=g:1568608
Quí Cao	id=g:1568609
Da Queyon	id=g:1568610
Que Yon	id=g:1568611
Quê Thiều	id=g:1568612
Nậm Quét	id=g:1568613
Nam Quet	id=g:1568614
Quế Sơn	id=g:1568615
Quế Sơn	id=g:1568616
Quê Rù	id=g:1568617
Quế Phương (1)	id=g:1568618
Quế Phong	id=g:1568619
Quéo Ba	id=g:1568620
Quen Thua	id=g:1568621
Phu Quen Ta	id=g:1568622
Quen San	id=g:1568623
Nam Quen	id=g:1568624
Lạch Quên	id=g:1568625
Khao Quen	id=g:1568626
Que Mé	id=g:1568627
Quề Lạt	id=g:1568628
Quế Lâm	id=g:1568629
Quê Dương	id=g:1568630
Quế Dương	id=g:1568631
Què Cù	id=g:1568632
Phu Quẻ	id=g:1568633
Khău Quế	id=g:1568634
Khao Qué	id=g:1568635
Quay Xa	id=g:1568636
Núi Quát Nôn	id=g:1568637
Núi Quat Mo	id=g:1568638
Quat Lâm Ha	id=g:1568639
Quất Lâm	id=g:1568640
Quất Lâm	id=g:1568641
Quất Lâm	id=g:1568642
Quất Lâm	id=g:1568643
Nam Quạt	id=g:1568644
Qua Phố	id=g:1568645
Quả Pham	id=g:1568646
Sông Quao	id=g:1568647
Quản Xá	id=g:1568648
Quần Vinh	id=g:1568649
Quan Tư	id=g:1568650
Quan Tự	id=g:1568651
Quân Triêm	id=g:1568652
Quan Trì	id=g:1568653
Quán Tre	id=g:1568654
Quan Tràng	id=g:1568655
Quan Tram	id=g:1568656
Quan Tom	id=g:1568657
Quan Tình	id=g:1568658
Quần Tín	id=g:1568659
Quan Thué	id=g:1568660
Quán Thông Nai	id=g:1568661
Quần Thôn	id=g:1568662
Quan Tho	id=g:1568663
Quan Thành	id=g:1568664
Quan Tây	id=g:1568665
Quan Sơn	id=g:1568666
Quan Quang (1)	id=g:1568667
Quan Quang	id=g:1568668
Quần Phương Thượng	id=g:1568669
Quần Phương Hạ Trai	id=g:1568670
Quần Phương Hạ	id=g:1568671
Quận Phú Giáo	id=g:1568672
Quan Phục	id=g:1568673
Quân Phú	id=g:1568674
Quản Phu	id=g:1568675
Quan Phố	id=g:1568676
Suối Quan Nôn	id=g:1568677
Quan Nội	id=g:1568678
Quan Nhần	id=g:1568679
Quan Nhân	id=g:1568680
Quần Ngọc	id=g:1568681
Quan Nam Dộng	id=g:1568682
