Camepo	id=g:3350901
Calinha	id=g:3351147
Calindo	id=g:3351148
Calinde	id=g:3351149
Calilongai	id=g:3351150
Calila	id=g:3351151
Calila	id=g:3351152
Caleva	id=g:3351153
Calépi	id=g:3351154
Calepe	id=g:3351155
Calenguiri	id=g:3351156
Calenguere	id=g:3351157
Calenguer	id=g:3351158
Calenguele	id=g:3351159
Calengue	id=g:3351160
Calengue	id=g:3351161
Calengue	id=g:3351162
Calengo	id=g:3351163
Calenga	id=g:3351164
Calenga	id=g:3351165
Calenga	id=g:3351166
Calende	id=g:3351167
Rápido Calenda	id=g:3351168
Calembo	id=g:3351169
Calembi	id=g:3351170
Calembe	id=g:3351171
Calembe	id=g:3351172
Calembe	id=g:3351173
Calembe	id=g:3351174
Calembe	id=g:3351175
Calemba	id=g:3351176
Calemba	id=g:3351177
Calema	id=g:3351178
Calema	id=g:3351179
Calema	id=g:3351180
Calele	id=g:3351181
Calei Cangoia	id=g:3351182
Caleia	id=g:3351183
Calei	id=g:3351184
Calei	id=g:3351185
Calé	id=g:3351186
Calavi	id=g:3351187
Calauluca	id=g:3351188
Calaue	id=g:3351189
Calassonga	id=g:3351190
Calassimba	id=g:3351191
Calapanda	id=g:3351192
Calaocoto	id=g:3351193
Calangue	id=g:3351194
Calangalamoma	id=g:3351195
Calanga	id=g:3351196
Calane	id=g:3351197
Calandula	id=g:3351198
Calandula	id=g:3351199
Calandombua	id=g:3351200
Calando	id=g:3351201
Calanda	id=g:3351202
Calamendo	id=g:3351203
Calambué	id=g:3351204
Calambondo	id=g:3351205
Calambo	id=g:3351206
Calambinri	id=g:3351207
Calamba	id=g:3351208
Calamalanca	id=g:3351209
Calalege	id=g:3351210
Colola	id=g:3351211
Calula	id=g:3351212
Calala	id=g:3351213
Mnuicípio Calai	id=g:3351214
Calai	id=g:3351215
Calai	id=g:3351216
Calacata	id=g:3351217
Calabumba	id=g:3351218
Calabe	id=g:3351219
Calaanga	id=g:3351220
Cálá	id=g:3351221
Cajambe	id=g:3351222
Cajala	id=g:3351223
Caiva	id=g:3351224
Caiundo	id=g:3351225
Caiumboca	id=g:3351226
Caiubo	id=g:3351227
Caitumbo	id=g:3351228
Caitou	id=g:3351229
Caitica	id=g:3351230
Caiti	id=g:3351231
Caita	id=g:3351232
Caita	id=g:3351233
Caissombo	id=g:3351234
Cairofa	id=g:3351235
Caires	id=g:3351236
Caipépe	id=g:3351237
Caiové	id=g:3351238
Caiove	id=g:3351239
Caiongo	id=g:3351240
Caionga	id=g:3351241
Caionde	id=g:3351242
Caionda	id=g:3351243
Caiombungo	id=g:3351244
Caiombo	id=g:3351245
Caiombo	id=g:3351246
Caiombo	id=g:3351247
Caioco	id=g:3351248
Caioco	id=g:3351249
Caio	id=g:3351250
Cainja	id=g:3351251
Cainja	id=g:3351252
Cainja	id=g:3351253
Cainguia	id=g:3351254
Caindiama	id=g:3351255
Cainde	id=g:3351256
Cainde	id=g:3351257
Cainde	id=g:3351258
Cainde	id=g:3351259
Cainda	id=g:3351260
Caimunda	id=g:3351261
Caimbungo	id=g:3351262
Caimbuca	id=g:3351263
Caimbinda	id=g:3351264
Caimbanga	id=g:3351265
Caimbanga	id=g:3351266
Município Caimbambo	id=g:3351267
Caimbambo	id=g:3351268
Caimba	id=g:3351269
Caiete	id=g:3351270
Caiengue	id=g:3351271
Caienge	id=g:3351272
Caienga	id=g:3351273
Caiembe	id=g:3351274
Caiemba	id=g:3351275
Caiei	id=g:3351276
Caido	id=g:3351277
Caicundo	id=g:3351278
Caici	id=g:3351279
Caibungo	id=g:3351280
Caiba-Iba	id=g:3351281
Caiba-Iba	id=g:3351282
Caiba	id=g:3351283
Caiave	id=g:3351284
Caianja	id=g:3351285
Caiangula	id=g:3351286
Caiango	id=g:3351287
Caiande	id=g:3351288
Caiala	id=g:3351289
Caiala	id=g:3351290
Caiala	id=g:3351291
Caiaiula	id=g:3351292
Caiaia	id=g:3351293
Caiabata	id=g:3351294
Cahuta	id=g:3351295
Cahundi	id=g:3351296
Cahumbula	id=g:3351297
Caholo	id=g:3351298
Caholo	id=g:3351299
Caholo	id=g:3351300
Cahimba	id=g:3351301
Cahengue	id=g:3351302
Cahango	id=g:3351303
Cahana	id=g:3351304
Cahambo	id=g:3351305
Município Cahama	id=g:3351306
Cahama	id=g:3351307
Cagulo	id=g:3351308
Cagivulula	id=g:3351309
Cagia	id=g:3351310
Cafunge	id=g:3351311
Cafuna	id=g:3351312
Cafuma	id=g:3351313
Cafululo	id=g:3351314
Cafuloca	id=g:3351315
Cafulo	id=g:3351316
Cafucufuco	id=g:3351317
Cafu	id=g:3351318
Cafrumento	id=g:3351319
Etala Cafona	id=g:3351320
Cafoango	id=g:3351321
Cafima	id=g:3351322
Cafica	id=g:3351323
Cafecangombe	id=g:3351324
Cafeca	id=g:3351325
Caetinde	id=g:3351326
Caetano	id=g:3351327
Caenja	id=g:3351328
Caenge	id=g:3351329
Caenge	id=g:3351330
Caendiundiu	id=g:3351331
Caende	id=g:3351332
Caenda	id=g:3351333
Cahenda	id=g:3351334
Cadungo	id=g:3351335
Cadueia	id=g:3351336
Cadueia	id=g:3351337
Cadonle	id=g:3351338
Cadogue	id=g:3351339
Cadjengulia	id=g:3351340
Cadindili	id=g:3351341
Cacuto	id=g:3351342
Cacuti	id=g:3351343
Cacuti	id=g:3351344
Cacute	id=g:3351345
Cacupa	id=g:3351346
Cacupa	id=g:3351347
Cacunjo	id=g:3351348
Cacunja	id=g:3351349
Cacundeja	id=g:3351350
Serra Cacunda	id=g:3351351
Caçumuçumo	id=g:3351352
Cacumbe	id=g:3351353
Cacumba Luis	id=g:3351354
Cacumba	id=g:3351355
Cacumba	id=g:3351356
Cacumba	id=g:3351357
Caculuvar	id=g:3351358
Caculuvar	id=g:3351359
Cacula	id=g:3351360
Cacula	id=g:3351361
Cacula	id=g:3351362
Cacula	id=g:3351363
Cacuito	id=g:3351364
Cacuio	id=g:3351365
Cacuchi	id=g:3351366
Cacuaco	id=g:3351367
Cacua	id=g:3351368
Cacoto	id=g:3351369
Cacôto	id=g:3351370
Cacótio	id=g:3351371
Caçosso	id=g:3351372
Caconjo	id=g:3351373
Cacongo	id=g:3351374
Cacongo	id=g:3351375
Cacongala	id=g:3351376
Caconga	id=g:3351377
Rápido Caconda	id=g:3351378
Município Caconda	id=g:3351379
Caconda	id=g:3351380
Cacondá	id=g:3351381
Caconda	id=g:3351382
Cacombo	id=g:3351383
Cacomba	id=g:3351384
Cacomba	id=g:3351385
Município Cacolo	id=g:3351386
Cacolo	id=g:3351387
Cacolo	id=g:3351388
Cacoio	id=g:3351389
Cacolo	id=g:3351390
Cacoliza	id=g:3351391
Cacola	id=g:3351392
Cacoio	id=g:3351393
Cacito	id=g:3351394
Cacissa	id=g:3351395
Cacipo	id=g:3351396
Cacipa	id=g:3351397
Cacimbas	id=g:3351398
Cacima	id=g:3351399
Cacima	id=g:3351400
Cacima	id=g:3351401
Caciça	id=g:3351402
Caciça	id=g:3351403
Cachongono	id=g:3351404
Cachona	id=g:3351405
Cachiua	id=g:3351406
Cachiteva	id=g:3351407
Cachissome	id=g:3351408
Cachissome	id=g:3351409
Cachissapa	id=g:3351410
Cachiquela	id=g:3351411
Cachipoque	id=g:3351412
Cachipala	id=g:3351413
Cachiombo	id=g:3351414
Cachiombo	id=g:3351415
Cachiombela	id=g:3351416
Cachinhopo	id=g:3351417
Cachingues	id=g:3351418
Cachingue	id=g:3351419
Cachingó	id=g:3351420
Cachindongo	id=g:3351421
Cachinacage	id=g:3351422
Cachimoinha	id=g:3351423
Cachimboto	id=g:3351424
Cachimbamba	id=g:3351425
Cachimano	id=g:3351426
Cachilala	id=g:3351427
Cachila	id=g:3351428
Cachicole	id=g:3351429
Cachicole	id=g:3351430
Cachicole	id=g:3351431
Cachicha	id=g:3351432
Cachicala	id=g:3351433
Cachicala	id=g:3351434
Cachicala	id=g:3351435
Cachiba	id=g:3351436
Cachiangue	id=g:3351437
Lagoa Cachi	id=g:3351438
Cachetiongue	id=g:3351439
Cachequere	id=g:3351440
Cachequere	id=g:3351441
Cachequera	id=g:3351442
Cachequera	id=g:3351443
Cachenda	id=g:3351444
Cachembi	id=g:3351445
Cacheco	id=g:3351446
Cachat	id=g:3351447
Cacharandanda	id=g:3351448
Cachara	id=g:3351449
Cachapola	id=g:3351450
Cachana	id=g:3351451
Catchama	id=g:3351452
Cachaca	id=g:3351453
Cacau	id=g:3351454
Cacango	id=g:3351455
Cacande	id=g:3351456
Cacande	id=g:3351457
Cacandala	id=g:3351458
Cacala	id=g:3351459
Caçador	id=g:3351460
Caçaco	id=g:3351461
Planalto da Caça	id=g:3351462
Caca	id=g:3351463
Caca	id=g:3351464
Cabulebule	id=g:3351465
Cabuba	id=g:3351466
Caboulo	id=g:3351467
Cabongo	id=g:3351468
Cabongo	id=g:3351469
Baía do Cabo Negro	id=g:3351470
Cabombo	id=g:3351471
Caboloca	id=g:3351472
Caboba	id=g:3351473
Cabo	id=g:3351474
Cabire	id=g:3351475
Cabindondo	id=g:3351476
Cabindele	id=g:3351477
Ponta Cabinda	id=g:3351478
Cabinchia	id=g:3351479
Cabimbia	id=g:3351480
Capila	id=g:3351481
Cabiche-Chilele	id=g:3351482
Cabianda	id=g:3351483
Cabezo	id=g:3351484
Baixo da Cabeça	id=g:3351485
Cabauma	id=g:3351486
Cabaua	id=g:3351487
Cabango	id=g:3351488
Cabanga	id=g:3351489
Cabaca	id=g:3351490
Caate	id=g:3351491
Caata	id=g:3351492
Caata	id=g:3351493
Caata	id=g:3351494
Caar	id=g:3351495
Caana	id=g:3351496
Município Caála	id=g:3351497
Caala	id=g:3351498
Caala	id=g:3351499
Caála	id=g:3351500
Caala	id=g:3351501
Caála	id=g:3351502
Caacata	id=g:3351503
Caacata	id=g:3351504
Butramo	id=g:3351505
Buto	id=g:3351506
Butje	id=g:3351507
Buta	id=g:3351508
Buta	id=g:3351509
Bure	id=g:3351510
Bunze	id=g:3351511
Bunquassôço	id=g:3351512
Missão do Bunjei	id=g:3351513
Bunjei	id=g:3351514
Bunjei	id=g:3351515
Bunje	id=g:3351516
Bunje	id=g:3351517
Bunje	id=g:3351518
Bungo	id=g:3351519
Bungo	id=g:3351520
Bundo	id=g:3351521
Bundo	id=g:3351522
Bundo de Baixo	id=g:3351523
Bundi	id=g:3351524
Bunde	id=g:3351525
Bunde	id=g:3351526
Bunda	id=g:3351527
Bunda	id=g:3351528
Bumbua	id=g:3351529
Bumbo	id=g:3351530
Bumba	id=g:3351531
Bumba	id=g:3351532
Bumba	id=g:3351533
Bumba	id=g:3351534
Bumba	id=g:3351535
Bumba	id=g:3351536
Bumba	id=g:3351537
Bulocochina	id=g:3351538
Bulocochina	id=g:3351539
Bulocochina	id=g:3351540
Bulo	id=g:3351541
Bulo	id=g:3351542
Bulo	id=g:3351543
Bulo	id=g:3351544
Bule	id=g:3351545
Bula	id=g:3351546
Bula	id=g:3351547
Monte Mbuindo	id=g:3351548
Bueti	id=g:3351549
Buda	id=g:3351550
Buanjonje	id=g:3351551
Buanga	id=g:3351552
Buanga	id=g:3351553
Buandangue	id=g:3351554
Buâmbua	id=g:3351555
Briri	id=g:3351556
Brem	id=g:3351557
Braz	id=g:3351558
Praia do Bravo	id=g:3351559
Ponta Brava	id=g:3351560
Barreiras Brancas	id=g:3351561
Ponta Branca	id=g:3351562
Bounda	id=g:3351563
Botera	id=g:3351564
Boro	id=g:3351565
Boondangue	id=g:3351566
Bonje	id=g:3351567
Bonio	id=g:3351568
Ponta Bongue	id=g:3351569
Bongue	id=g:3351570
Bongola	id=g:3351571
Bongoio	id=g:3351572
Mbongo	id=g:3351573
Bonga	id=g:3351574
Bonga	id=g:3351575
Bonga	id=g:3351576
Bonga	id=g:3351577
Praia do Bonfim	id=g:3351578
Enseada do Bonfim	id=g:3351579
Bondo	id=g:3351580
Bondo	id=g:3351581
Bondje	id=g:3351582
Bomé	id=g:3351583
Bombo	id=g:3351584
Bombo	id=g:3351585
Bombo	id=g:3351586
Bombo	id=g:3351587
Bombo	id=g:3351588
Bombo	id=g:3351589
Bomba	id=g:3351590
Boluré	id=g:3351591
Bolunda	id=g:3351592
Bolonguera	id=g:3351593
Bola	id=g:3351594
Boiombo	id=g:3351595
Pedra do Boi	id=g:3351596
Município Bocoio	id=g:3351597
Bocoio	id=g:3351598
Bocoio	id=g:3351599
Bocato	id=g:3351600
Bobo	id=g:3351601
Boa Viagem	id=g:3351602
Boas Águas	id=g:3351603
Boa Entrada	id=g:3351604
Boabaera	id=g:3351605
Biungulo	id=g:3351606
Biulo	id=g:3351607
Bitovo	id=g:3351608
Bitángua	id=g:3351609
Ponta da Bissonga	id=g:3351610
Enseada da Bissonga	id=g:3351611
Bissapa	id=g:3351612
Bipaco	id=g:3351613
Bioque	id=g:3351614
Biópio	id=g:3351615
Binguinge	id=g:3351616
Binge Novo	id=g:3351617
Ponta do Binge	id=g:3351618
Enseada do Binge	id=g:3351619
Praia da Binga	id=g:3351620
Binga	id=g:3351621
Binga	id=g:3351622
Binga	id=g:3351623
Binga	id=g:3351624
Binde	id=g:3351625
Bimbe	id=g:3351626
Bimbe	id=g:3351627
Bimbe	id=g:3351628
Bimbe	id=g:3351629
Bimbe	id=g:3351630
Bimbe	id=g:3351631
Bimbe	id=g:3351632
Bimbe	id=g:3351633
Bimbe	id=g:3351634
Bimbe	id=g:3351635
Bimbe	id=g:3351636
Bimbale	id=g:3351637
Bieta	id=g:3351638
Biere	id=g:3351639
Província do Bié	id=g:3351640
Planalto do Bié	id=g:3351641
Rápido Bidungo	id=g:3351642
Parque Nacional do Bicuari	id=g:3351643
Etala Bicuar	id=g:3351644
Bickman	id=g:3351645
Município Bibala	id=g:3351646
Bibala	id=g:3351647
Biavela	id=g:3351648
Biapa	id=g:3351649
Lagoa Bézi-Bézi	id=g:3351650
Beú	id=g:3351651
Beú	id=g:3351652
Bete	id=g:3351653
Bero	id=g:3351654
Bento	id=g:3351655
Bentiaba	id=g:3351656
Bentiaba	id=g:3351657
Monte Benti	id=g:3351658
Benguir	id=g:3351659
Província de Benguela	id=g:3351660
Município Benguela	id=g:3351661
Baía de Benguela	id=g:3351662
Benguela	id=g:3351663
Benguela	id=g:3351664
Bengo	id=g:3351665
Benga	id=g:3351666
Benfica	id=g:3351667
Bendi	id=g:3351668
Bembua	id=g:3351669
Bembo	id=g:3351670
Bembe	id=g:3351671
Bembe	id=g:3351672
Bemba	id=g:3351673
Bemba	id=g:3351674
Belo Horizonte	id=g:3351675
Belém	id=g:3351676
Belém	id=g:3351677
Missão da Bela Vista	id=g:3351678
Bela Vista	id=g:3351679
Belania	id=g:3351680
Belai	id=g:3351681
Bela-Bela	id=g:3351682
Beira Alta	id=g:3351683
Mbeioque	id=g:3351684
Morro Bava	id=g:3351685
Baú	id=g:3351686
Bate	id=g:3351687
Bate	id=g:3351688
Bata-Bata	id=g:3351689
Bata	id=g:3351690
Ponta do Barrote	id=g:3351691
Ponta das Barreiras	id=g:3351692
Enseada das Barracas	id=g:3351693
Praia do Barqueiro	id=g:3351694
Barbante	id=g:3351695
Barata	id=g:3351696
Banza Tári	id=g:3351697
Banza-Tamba	id=g:3351698
Banza Quicocuto	id=g:3351699
Banza Mucongo	id=g:3351700
Banza Cungo	id=g:3351701
Banza	id=g:3351702
Banza	id=g:3351703
Banza	id=g:3351704
Banjela	id=g:3351705
Banje	id=g:3351706
Banje	id=g:3351707
Banjangombe	id=g:3351708
Etala Banja	id=g:3351709
Banja	id=g:3351710
Banja	id=g:3351711
Banja	id=g:3351712
Bangula	id=g:3351713
Serra do Bango	id=g:3351714
Rio Bango	id=g:3351715
Bango	id=g:3351716
Bango	id=g:3351717
Bango	id=g:3351718
Bango	id=g:3351719
Bango	id=g:3351720
Bango	id=g:3351721
Banganga	id=g:3351722
Bangala	id=g:3351723
Banga	id=g:3351724
Bandua	id=g:3351725
Bandua	id=g:3351726
Bandoca	id=g:3351727
Bandoca	id=g:3351728
Bando	id=g:3351729
Bandje	id=g:3351730
Bandeje	id=g:3351731
Bandeira	id=g:3351732
Bandacavava	id=g:3351733
Banda	id=g:3351734
Banda	id=g:3351735
Baixo do Bambu	id=g:3351736
Bambi	id=g:3351737
Bambi	id=g:3351738
Bambi	id=g:3351739
Bambi	id=g:3351740
Bambi	id=g:3351741
Bambi	id=g:3351742
Bambere	id=g:3351743
Bambe	id=g:3351744
Bambe	id=g:3351745
Monte Mbambassole	id=g:3351746
Bambaquivava	id=g:3351747
Bambala	id=g:3351748
Bambala	id=g:3351749
Bambaemo	id=g:3351750
Bamba do Bissonde	id=g:3351751
Bamba	id=g:3351752
Bamba	id=g:3351753
Balunganga	id=g:3351754
Balunda	id=g:3351755
Rio Balui	id=g:3351756
Baluco	id=g:3351757
Município Balombo	id=g:3351758
Missão do Balombo	id=g:3351759
Circunscrição doBalombo, Município Balombo	id=g:3351760
Balombo	id=g:3351761
Balombo	id=g:3351762
Balombo	id=g:3351763
Balombo	id=g:3351764
Balombo	id=g:3351765
Ponta da Balela	id=g:3351766
Saco da Baleia	id=g:3351767
Enseada da Baleia	id=g:3351768
Cabeça da Baleia	id=g:3351769
Bale	id=g:3351770
Bale	id=g:3351771
Bale	id=g:3351772
Balanda	id=g:3351773
Bala-Mungo	id=g:3351774
Bala Golungo	id=g:3351775
Bala Cangamba	id=g:3351776
Bala	id=g:3351777
Bala	id=g:3351778
Bala	id=g:3351779
Baixo Longa	id=g:3351780
Baioque	id=g:3351781
Município Bailundo	id=g:3351782
Missão Protestante do Bailundo	id=g:3351783
Bailundo	id=g:3351784
Município Baía Farta	id=g:3351785
Baía Farta	id=g:3351786
Ilha da Baía dos Tigres	id=g:3351787
Baía dos Tigres	id=g:3351788
Bacuma	id=g:3351789
Baco	id=g:3351790
Babaera	id=g:3351791
Babaera	id=g:3351792
Babaera	id=g:3351793
Babaera	id=g:3351794
Babaera	id=g:3351795
Babaera	id=g:3351796
Babaera	id=g:3351797
Babaera	id=g:3351798
Babaera	id=g:3351799
Babaera	id=g:3351800
Babaera	id=g:3351801
Babaera	id=g:3351802
Baía do Baba	id=g:3351803
Baba	id=g:3351804
Axica	id=g:3351805
Aveu	id=g:3351806
Aulico	id=g:3351807
Aúla	id=g:3351808
Aula	id=g:3351809
Augusto	id=g:3351810
Atugo	id=g:3351811
Atuco	id=g:3351812
Atrovera	id=g:3351813
Atome	id=g:3351814
Atoco	id=g:3351815
Atende	id=g:3351816
Atemo	id=g:3351817
Atanga	id=g:3351818
Atamba	id=g:3351819
Atama	id=g:3351820
Assunção	id=g:3351821
Assongo	id=g:3351822
Assongo	id=g:3351823
Assipi	id=g:3351824
Assinha	id=g:3351825
Assango Segundo	id=g:3351826
Assango da Quimanga	id=g:3351827
Assango	id=g:3351828
Assango	id=g:3351829
Assango	id=g:3351830
Assa	id=g:3351831
A. Soares	id=g:3351832
A. Santos	id=g:3351833
Arreeiro	id=g:3351834
Ponta Arranca Ferro	id=g:3351835
Arnaldo Barbedo	id=g:3351836
Armando Osório	id=g:3351837
Armando Coelho	id=g:3351838
Armando	id=g:3351839
Ponta da Armação	id=g:3351840
Ariomba	id=g:3351841
Aringoma	id=g:3351842
Arihua	id=g:3351843
Arianga	id=g:3351844
Aqueque	id=g:3351845
Aquepa	id=g:3351846
Aquepa	id=g:3351847
Apupo	id=g:3351848
Apupo	id=g:3351849
Apupa	id=g:3351850
Apopa	id=g:3351851
Aponde	id=g:3351852
Apingúé	id=g:3351853
Apeto	id=g:3351854
Ponta da Anunciação	id=g:3351855
António Silva	id=g:3351856
António Matos	id=g:3351857
António Lontrão	id=g:3351858
António Ferreira	id=g:3351859
António Braz	id=g:3351860
António Bastos e Silva	id=g:3351861
António Almeida	id=g:3351862
António	id=g:3351863
Anquinge	id=g:3351864
Anjongolo	id=g:3351865
Anjavelo	id=g:3351866
Anjamba	id=g:3351867
Anhongo	id=g:3351868
Anhara do Ulunga	id=g:3351869
Anhara	id=g:3351870
Anhara	id=g:3351871
Anhanga	id=g:3351872
Anhanga	id=g:3351873
Anhanga	id=g:3351874
Anhanca	id=g:3351875
Angupa	id=g:3351876
Anguni	id=g:3351877
Angula	id=g:3351878
Republic of Angola	id=g:3351879
Lagoa Ango	id=g:3351880
Andunda	id=g:3351881
Município Andulo	id=g:3351882
Andulo	id=g:3351883
Andulo	id=g:3351884
Andulo	id=g:3351885
Andongo	id=g:3351886
Andanga	id=g:3351887
Anda	id=g:3351888
Ana Bota da Silva	id=g:3351889
Amutenha	id=g:3351890
Amucotocapa	id=g:3351891
A. M. Ribeiro	id=g:3351892
Ametinho	id=g:3351893
Amera	id=g:3351894
Amera	id=g:3351895
Amentenha	id=g:3351896
Amengingo	id=g:3351897
Baixo Amélia	id=g:3351898
Amélia	id=g:3351899
Amecanda	id=g:3351900
Mbumba Jelombe	id=g:3351901
Ambuinha	id=g:3351902
Amboíva	id=g:3351903
Amboíva	id=g:3351904
