Quebrada de Ruitoque	id=g:3670564
Rincón Hondo	id=g:3670780
Rinconhondo	id=g:3670781
Rincón Guerrano	id=g:3670782
Rincón Grande	id=g:3670783
Rincón de Potrerito	id=g:3670784
Ciénaga Rincon de Moreneros	id=g:3670785
Rincón de Malpica	id=g:3670786
Inspección de Policía Rincón de Bolívar	id=g:3670787
Rincón de Babaica	id=g:3670788
Sabanas del Rincón	id=g:3670789
Río Rincón	id=g:3670790
Punta Rincón	id=g:3670791
Rincón	id=g:3670792
Rincón	id=g:3670793
Rincón	id=g:3670794
Alto Rifles	id=g:3670795
Río Riecito	id=g:3670796
Río Riecito	id=g:3670797
Río Riecito	id=g:3670798
Rico Toro	id=g:3670799
Páramo Rico	id=g:3670800
Caño Rico	id=g:3670801
Caño Rico	id=g:3670802
Caño Rico	id=g:3670803
Caño Rico	id=g:3670804
Arroyo Rico	id=g:3670805
Cuchilla Ricaurté	id=g:3670806
Ricaurte	id=g:3670807
Ricaurte	id=g:3670808
Ricaurte	id=g:3670809
Ricaurte	id=g:3670810
Ricaurte	id=g:3670811
Ricaurte	id=g:3670812
Ricaurte	id=g:3670813
Ricaurte	id=g:3670814
Ricaurte	id=g:3670815
Ricaurte	id=g:3670816
Ricaurte	id=g:3670817
Chalán	id=g:3670818
Ricaurte	id=g:3670819
Rica Brisa	id=g:3670820
Mesa Rica	id=g:3670821
Río Riachuelo	id=g:3670822
Río Riachuelo	id=g:3670823
Quebrada Riachuelo	id=g:3670824
Riachuelo	id=g:3670825
Río Riachuelito	id=g:3670826
Río Riachón	id=g:3670827
Río Riachón	id=g:3670828
Quebrada Riachón	id=g:3670829
Quebrada Riachón	id=g:3670830
Punta Reyes	id=g:3670831
Cerro Reyes	id=g:3670832
Alto Reyes	id=g:3670833
Reyes	id=g:3670834
Serrania Reveton	id=g:3670835
Punta Revesa	id=g:3670836
Alto Reventones de Villa	id=g:3670837
Reventones	id=g:3670838
El Retoño	id=g:3670839
Retiro Nuevo	id=g:3670840
Retiro de los Páez	id=g:3670841
Retiro de los Indios	id=g:3670842
Retiro del Monte	id=g:3670843
Isla Retiro	id=g:3670844
Alto del Retiro	id=g:3670845
Alto Retiro	id=g:3670846
Alto Retiro	id=g:3670847
Retiro	id=g:3670848
Retiro	id=g:3670849
Retiro	id=g:3670850
Retiro	id=g:3670851
Retiro	id=g:3670852
Retiro	id=g:3670853
Restrepo	id=g:3670854
Restrepo	id=g:3670855
Restrepo	id=g:3670856
Restrepo	id=g:3670857
Restrepo	id=g:3670858
Restrepo	id=g:3670859
Restrepo	id=g:3670860
Resina	id=g:3670861
Isla Resignación	id=g:3670862
Resguardo	id=g:3670863
Resguardo	id=g:3670864
Reserva	id=g:3670865
Reserva	id=g:3670866
El Resbalon	id=g:3670867
Resacón	id=g:3670868
Alto Requintadero	id=g:3670869
Punta Repusa	id=g:3670870
Represa	id=g:3670871
Quebrada Reposo	id=g:3670872
Reposo	id=g:3670873
Repelón	id=g:3670874
Repelón	id=g:3670875
Repelón	id=g:3670876
Reparo de Guineo	id=g:3670877
Caño Renegado	id=g:3670878
Renaldo Rivadeneira	id=g:3670879
Quebrada Remuda	id=g:3670880
Ciénaga Remolino	id=g:3670881
Ciénaga Remolino	id=g:3670882
Alto Remolino	id=g:3670883
Remolino	id=g:3670884
Remolino	id=g:3670885
Remolino	id=g:3670886
Remolino	id=g:3670887
Remolino	id=g:3670888
Remolino	id=g:3670889
Remolino	id=g:3670890
Remolino	id=g:3670891
Remolino	id=g:3670892
Remolino	id=g:3670893
Remolino	id=g:3670894
Remolino	id=g:3670895
Remolino	id=g:3670896
Remolino	id=g:3670897
Remolino	id=g:3670898
Remedios	id=g:3670899
Remedios	id=g:3670900
Caño Remediapobres	id=g:3670901
Remedia Pobres	id=g:3670902
Remate	id=g:3670903
Punta del Remanso	id=g:3670904
Ciénaga de Reje	id=g:3670905
Ciénaga la Reinosa	id=g:3670906
Reina	id=g:3670907
Quebrada Regla	id=g:3670908
Arroyo Regino	id=g:3670909
Regidor	id=g:3670910
Regidor	id=g:3670911
Regeneración	id=g:3670912
Regeneración	id=g:3670913
Regencia	id=g:3670914
Peña Regada	id=g:3670915
Cuchilla del Reflejo	id=g:3670916
El Reflejo	id=g:3670917
Monte Redondo	id=g:3670918
Monte Redondo	id=g:3670919
Monte Redondo	id=g:3670920
Cerro Redondo	id=g:3670921
Redondo	id=g:3670922
Loma Redonda	id=g:3670923
Loma Redonda	id=g:3670924
Ciénaga Redonda	id=g:3670925
Recreo	id=g:3670926
Recreo	id=g:3670927
Recreo	id=g:3670928
Recreo	id=g:3670929
Recodo	id=g:3670930
Río Recio	id=g:3670931
Pico de Rechíniga	id=g:3670932
Páramo de Rechíniga	id=g:3670933
Recetor	id=g:3670934
Recetor	id=g:3670935
Punta Rebujina	id=g:3670936
Reboso	id=g:3670937
Quebrada Rebolos	id=g:3670938
Rebolo	id=g:3670939
Punta Realón	id=g:3670940
Real del Obispo	id=g:3670941
Quebrada Real	id=g:3670942
Ciénaga Real	id=g:3670943
Quebrada Rayo	id=g:3670944
Cuchilla del Rayo	id=g:3670945
Cima del Rayo	id=g:3670946
Alto Rayo	id=g:3670947
Raudal Rayao	id=g:3670948
Cerro Rayado	id=g:3670949
Caño Rayado	id=g:3670950
Quebrada Raya	id=g:3670951
Alto de la Raya	id=g:3670952
Raya	id=g:3670953
Raya	id=g:3670954
Rauri	id=g:3670955
Quebrada Raura	id=g:3670956
Quebrada Raudal	id=g:3670957
Raudal	id=g:3670958
Cerro Rativa	id=g:3670959
Rastrojos	id=g:3670960
Quebrada Raspalimones	id=g:3670961
Raspadura	id=g:3670962
Rasgombriche	id=g:3670963
Rascador	id=g:3670964
Rascador	id=g:3670965
Ráquira	id=g:3670966
Ráquira	id=g:3670967
Río Raposo	id=g:3670968
Rangel	id=g:3670969
Alto Rancho Seco	id=g:3670970
Rancho Pescado	id=g:3670971
Rancholindo	id=g:3670972
Rancho Grande	id=g:3670973
Ranchogrande	id=g:3670974
Ranchogrande	id=g:3670975
Rancho Grande	id=g:3670976
Rancho Grande	id=g:3670977
Rancho Grande	id=g:3670978
Rancho Grande	id=g:3670979
Rancho Grande	id=g:3670980
Rancho de La Cruz	id=g:3670981
Rancho de Goya	id=g:3670982
Caño Rancho Bravo	id=g:3670983
Río Rancherío	id=g:3670984
Ranchérias Indíos Tunebos	id=g:3670985
Ranchería Piapoco	id=g:3670986
Río Ranchería	id=g:3670987
Río Ranchería	id=g:3670988
Arroyo Ranchería	id=g:3670989
Ranchería	id=g:3670990
Ranchería	id=g:3670991
Ranchería	id=g:3670992
Cerro Rana	id=g:3670993
Río Ramos	id=g:3670994
Quebrada Ramos	id=g:3670995
Cerro Ramos	id=g:3670996
Cerro Ramos	id=g:3670997
Caño de Ramón	id=g:3670998
Quebrada del Ramo	id=g:3670999
Cuchilla del Ramo	id=g:3671000
Caño Ramita	id=g:3671001
Ramiriquí	id=g:3671002
Ramiriquí	id=g:3671003
Quebrada Ramírez	id=g:3671004
Alto de Ramírez	id=g:3671005
Alto Ramírez	id=g:3671006
Ramírez	id=g:3671007
Ramírez	id=g:3671008
Quebrada Ramal	id=g:3671009
Rama	id=g:3671010
Alto Peña Rajada	id=g:3671011
Raizuba	id=g:3671012
Arroyo Raizal	id=g:3671013
Raíshen	id=g:3671014
Raimundi	id=g:3671015
Quebrada Raíces	id=g:3671016
Arroyo Raicero	id=g:3671017
Ragonvalia	id=g:3671018
Ragonvalia	id=g:3671019
Apulo	id=g:3671020
Apulo	id=g:3671021
Rafael de la Calle	id=g:3671022
Salto Rafael	id=g:3671023
Radillo	id=g:3671024
Raudal Casabe	id=g:3671025
Rabo Pelado	id=g:3671026
Río Rabona	id=g:3671027
Alto de Rabona	id=g:3671028
Pantano Rabón	id=g:3671029
Ciénaga de Rabón	id=g:3671030
Charco Rabon	id=g:3671031
Caño Rabón	id=g:3671032
Caño Rabón	id=g:3671033
Rabón	id=g:3671034
Rabón	id=g:3671035
Rabomocho	id=g:3671036
Rabolargo	id=g:3671037
Alto Rabo de Chucho	id=g:3671038
Raudal Rabipelado	id=g:3671039
Raudal Rabi Pelado	id=g:3671040
Arroyo Rabicano	id=g:3671041
Páramo Rabanal	id=g:3671042
Quizgo	id=g:3671043
Quebrada Quiuná	id=g:3671044
Quituna	id=g:3671045
Río Quito	id=g:3671046
Quito	id=g:3671047
Punta Quitasombrero	id=g:3671048
Laguna Quitasolito	id=g:3671049
Quitasol	id=g:3671050
Laguna Quitasol	id=g:3671051
Brazo Quitasol	id=g:3671052
Brazo Quitasol	id=g:3671053
Alto Quitasol	id=g:3671054
Quitasol	id=g:3671055
Quebrada Quitas	id=g:3671056
Quitapesares	id=g:3671057
Quitapesares	id=g:3671058
Cuchilla Quitagorra	id=g:3671059
Arroyo Quitacalzón	id=g:3671060
Quitacalzón	id=g:3671061
Quisquina	id=g:3671062
Quiser	id=g:3671063
Quisalpí	id=g:3671064
Quiroz	id=g:3671065
Brazo Quiroga	id=g:3671066
Caño Quiripal	id=g:3671067
Sierra de Quirimara	id=g:3671068
Quirey	id=g:3671069
Río Quiratá	id=g:3671070
Quebrada Quipileña	id=g:3671071
Quipile	id=g:3671072
Quipile	id=g:3671073
Río Quiparado	id=g:3671074
Río Quiparadó	id=g:3671075
Río Quiparadó	id=g:3671076
Cerro Quiparadó	id=g:3671077
Alto Quiparadó	id=g:3671078
Quintero	id=g:3671079
Quintero	id=g:3671080
Ciénaga Capote	id=g:3671081
Quinta de San Pedro Alejandrino	id=g:3671082
Quinta	id=g:3671083
Finca Quinoró	id=g:3671084
Río Quindío	id=g:3671085
Nevado del Quindío	id=g:3671086
Departamento del Quindío	id=g:3671087
Boquerón del Quindío	id=g:3671088
Quindío	id=g:3671089
Quindesana	id=g:3671090
Quinchía	id=g:3671091
Quinchía	id=g:3671092
Raudal Quinché	id=g:3671093
Quebrada Quinché	id=g:3671094
Cordillera de Quinchas	id=g:3671095
Río Quinchana	id=g:3671096
Quebrada Quincha	id=g:3671097
Quimbaya	id=g:3671098
Quimbaya	id=g:3671099
Quimbay	id=g:3671100
Quebrada Quimarí	id=g:3671101
Alto de Quimarí	id=g:3671102
Quiluva	id=g:3671103
Río Quilla	id=g:3671104
Río Quilcacé	id=g:3671105
Quilcacé	id=g:3671106
Quebrada Quilbí	id=g:3671107
Quigua Arriba	id=g:3671108
Caño Quien Quita	id=g:3671109
Quién Quita	id=g:3671110
Arroyo Quiebrapalo	id=g:3671111
Quiebra Loma	id=g:3671112
Alto Quiebra	id=g:3671113
Quichayá	id=g:3671114
Quichana	id=g:3671115
Quibdó	id=g:3671116
Quibdó	id=g:3671117
Altos de Quía	id=g:3671118
Quetame	id=g:3671119
Quetame	id=g:3671120
Quesui	id=g:3671121
Cañada El Queso	id=g:3671122
Quebrada Quesera	id=g:3671123
Ciénaga Quesada	id=g:3671124
Querente	id=g:3671125
El Queremal	id=g:3671126
Río Querarí	id=g:3671127
Querari	id=g:3671128
Quendán	id=g:3671129
Caño Quenane	id=g:3671130
Río Quembí	id=g:3671131
Cerro Quemado Sur	id=g:3671132
Cerro Quemado Norte	id=g:3671133
Morro Quemado	id=g:3671134
Ciénaga el Quemado	id=g:3671135
Cerro Quemado	id=g:3671136
Quemado	id=g:3671137
Isla de Quemadito	id=g:3671138
Quejimbre	id=g:3671139
Caño Quejas	id=g:3671140
Quebrada Quebradona	id=g:3671141
Quebrada Quebradona	id=g:3671142
Quebrada Quebradona	id=g:3671143
Quebrada Quebradona	id=g:3671144
Embalse Quebradona	id=g:3671145
Caño Quebradona	id=g:3671146
Río Quebradón	id=g:3671147
Quebrada Quebradón	id=g:3671148
Quebraditas	id=g:3671149
Quebradillas	id=g:3671150
Quebrada Vieja	id=g:3671151
Quebrada Vieja	id=g:3671152
Loma Quebrada Seca	id=g:3671153
Quebrada Seca	id=g:3671154
Quebrada Seca	id=g:3671155
Quebrada Seca	id=g:3671156
Quebradaseca	id=g:3671157
Quebradaseca	id=g:3671158
Quebradas	id=g:3671159
Quebradanueva	id=g:3671160
Quebradanegra	id=g:3671161
Quebradanegra	id=g:3671162
Quebradanegra	id=g:3671163
Quebradanegra	id=g:3671164
Quebrada Honda	id=g:3671165
Quebrada Grande	id=g:3671166
Quebradagrande	id=g:3671167
Quebrada de Vera	id=g:3671168
Quebrada de Piedra	id=g:3671169
Laguna Las Puyas	id=g:3671170
Lomas el Puyal	id=g:3671171
Ciénaga el Puyal	id=g:3671172
Punta Puya	id=g:3671173
Cerro de la Puya	id=g:3671174
Puya	id=g:3671175
Puya	id=g:3671176
Putuna	id=g:3671177
Departamento del Putumayo	id=g:3671178
Cerro Putumayo	id=g:3671179
Putumayo	id=g:3671180
Río Putis	id=g:3671181
Pususquer	id=g:3671182
Cima Pussy	id=g:3671183
Puspued	id=g:3671184
Quebrada Pusialquer	id=g:3671185
Pushöjanta	id=g:3671186
Pusbí	id=g:3671187
Puruí	id=g:3671188
Cayo Puruéinpana	id=g:3671189
Arroyo Purschom	id=g:3671190
Purruruhu	id=g:3671191
Río Purrichá	id=g:3671192
Río Purré	id=g:3671193
Purré	id=g:3671194
Río Purnio	id=g:3671195
Purnio	id=g:3671196
Purnio	id=g:3671197
Purnio	id=g:3671198
Purna Susa	id=g:3671199
Purma	id=g:3671200
Purma	id=g:3671201
Alto Puriuraha	id=g:3671202
Purísima	id=g:3671203
Purísima	id=g:3671204
Purina	id=g:3671205
Punta de Purún	id=g:3671206
Estero de Purín	id=g:3671207
Purificación	id=g:3671208
Purificación	id=g:3671209
Puriatujo	id=g:3671210
Quebrada Purí	id=g:3671211
Purí	id=g:3671212
Cerro Purgatorio	id=g:3671213
Quebrada Purgante	id=g:3671214
Río Pureto	id=g:3671215
Pureto	id=g:3671216
Pureto	id=g:3671217
Purésiamáhana	id=g:3671218
Puráshiuaha	id=g:3671219
Río Purare	id=g:3671220
Volcán Puracé	id=g:3671221
Parque Nacional Natural de Puracé	id=g:3671222
Puracé	id=g:3671223
Río Puquí	id=g:3671224
Pupure	id=g:3671225
Río Pupuña	id=g:3671226
Pupuña	id=g:3671227
Pupiales	id=g:3671228
Pupiales	id=g:3671229
Cerro Punturco	id=g:3671230
Punto Nuevo	id=g:3671231
Punto Nuevo	id=g:3671232
Punto del Llano	id=g:3671233
Puntetigre	id=g:3671234
Punta Verde	id=g:3671235
Punta Seca	id=g:3671236
Punta Polonia	id=g:3671237
Punta Nueva	id=g:3671238
Punta La Vela	id=g:3671239
Ciénaga la Puntalarga	id=g:3671240
Punta Isabel	id=g:3671241
Punta Gorda	id=g:3671242
Ciénaga Punta Faro	id=g:3671243
Punta Espada	id=g:3671244
Punta de Yáñez	id=g:3671245
Punta de Vega	id=g:3671246
Punta de Roca	id=g:3671247
Punta de Piedra	id=g:3671248
Punta de Piedra	id=g:3671249
Punta de la Vaca	id=g:3671250
Punta de Garza	id=g:3671251
Punta de Cartagena	id=g:3671252
Punta de Cartagena	id=g:3671253
Punta de Caripiare	id=g:3671254
Punta Canoas	id=g:3671255
Ciénaga Punta de Blanco	id=g:3671256
Punta de Blanco	id=g:3671257
Punta De Avila	id=g:3671258
Punta Chiquita	id=g:3671259
Rincón de Punta Blanca	id=g:3671260
Bajo Punta Blanca	id=g:3671261
Lomas de la Punta	id=g:3671262
Puño de Oro	id=g:3671263
Río Puné	id=g:3671264
Caño Puna Puna	id=g:3671265
Río Puná	id=g:3671266
Quebrada Puna	id=g:3671267
Alto de Puna	id=g:3671268
Puná	id=g:3671269
Río Pun	id=g:3671270
Pumpuma	id=g:3671271
Quebrada Pumpí	id=g:3671272
Pumbí	id=g:3671273
Pumarejo	id=g:3671274
Río Pulví	id=g:3671275
Cerro Púlpito	id=g:3671276
Pulpería	id=g:3671277
Quebrada Pulí	id=g:3671278
Pulí	id=g:3671279
Pulí	id=g:3671280
Río Pulgandé	id=g:3671281
Puldán	id=g:3671282
Puinaru	id=g:3671283
Puesto de Monta	id=g:3671284
Puerto Zaragoza	id=g:3671285
Puerto Zancudo	id=g:3671286
Puerto Wilches	id=g:3671287
Puerto Wilches	id=g:3671288
Puerto Wilches	id=g:3671289
Puerto Virgen	id=g:3671290
Puerto Villamizar	id=g:3671291
Puerto Viejo	id=g:3671292
Puerto Viejo	id=g:3671293
Puerto Viejo	id=g:3671294
Puerto Victoria	id=g:3671295
Puerto Victoria	id=g:3671296
El Venado	id=g:3671297
Puerto Vélez	id=g:3671298
Puerto Vargas	id=g:3671299
Puerto Valle	id=g:3671300
Puerto Valencia	id=g:3671301
Puerto Valencia	id=g:3671302
Puerto Valdivia	id=g:3671303
Puerto Utría	id=g:3671304
Puerto Unión	id=g:3671305
Puerto Umbría	id=g:3671306
Puerto Tumaco	id=g:3671307
Puerto Triunfo	id=g:3671308
Puerto Toro	id=g:3671309
Puerto Tolosa	id=g:3671310
Puerto Tolima	id=g:3671311
Puerto Toledo	id=g:3671312
Puerto Tierrabaja	id=g:3671313
Puerto Tejada	id=g:3671314
Puerto Tejada	id=g:3671315
Puerto Tejada	id=g:3671316
Puerto Tamalameque	id=g:3671317
Puerto Sol y Sombra	id=g:3671318
Puerto Shell	id=g:3671319
Puerto Sergio	id=g:3671320
Puerto Seco	id=g:3671321
Puerto Santos	id=g:3671322
Puerto Santo	id=g:3671323
Puerto Santander	id=g:3671324
Puerto Santander	id=g:3671325
Puerto Sánchez	id=g:3671326
Puerto Sánchez	id=g:3671327
Puerto Salgar	id=g:3671328
Puerto Salgar	id=g:3671329
Puerto Salgar	id=g:3671330
Puerto Salgar	id=g:3671331
Puerto Salado	id=g:3671332
Puerto Sagoc	id=g:3671333
Puerto Sabana Grande	id=g:3671334
Puerto Sabala	id=g:3671335
Puerto Rosario	id=g:3671336
Puerto Rondón	id=g:3671337
Puerto Rico	id=g:3671338
Puerto Rico	id=g:3671339
Puerto Rico	id=g:3671340
Puerto Rico	id=g:3671341
Puerto Rico	id=g:3671342
Puerto Rico	id=g:3671343
Puerto Rico	id=g:3671344
Puerto Rico	id=g:3671345
Puerto Rico	id=g:3671346
Puerto Rico	id=g:3671347
Puerto Rico	id=g:3671348
Puerto Reyes	id=g:3671349
Puerto Reyes	id=g:3671350
Puerto Reyes	id=g:3671351
Puerto Reyes	id=g:3671352
Puerto Rey	id=g:3671353
Puerto Rey	id=g:3671354
Puerto Remolino	id=g:3671355
Puerto Regla	id=g:3671356
Puerto Rangel	id=g:3671357
Puerto Rangel	id=g:3671358
Puerto Ramos	id=g:3671359
Puerto Pupuña	id=g:3671360
Puerto Príncipe	id=g:3671361
Puerto Príncipe	id=g:3671362
Puerto Porvenir	id=g:3671363
Puerto Portete	id=g:3671364
Puerto Porfia	id=g:3671365
Puerto Pizarro	id=g:3671366
Puerto Pizarro	id=g:3671367
Puerto Pedrero	id=g:3671368
Puerto Paulina	id=g:3671369
Puerto Patiño	id=g:3671370
Puerto Parra	id=g:3671371
Puerto Palmas	id=g:3671372
Puerto Ospina	id=g:3671373
Puerto Olaya	id=g:3671374
Puerto Oculto	id=g:3671375
Puerto Nuevo	id=g:3671376
Puerto Nuevo	id=g:3671377
Puerto Nuevo	id=g:3671378
Puerto Nuevo	id=g:3671379
Puerto Nuevo	id=g:3671380
Puerto Niño	id=g:3671381
Puerto Niño	id=g:3671382
Puerto Nemulcaro	id=g:3671383
Puerto Neiva	id=g:3671384
Puerto Negro	id=g:3671385
Puerto Nariño	id=g:3671386
Puerto Nariño	id=g:3671387
Puerto Nare	id=g:3671388
Puerto Nare	id=g:3671389
Puerto Nacional	id=g:3671390
Puerto Mutatá	id=g:3671391
Murillo	id=g:3671392
Puerto Murillo	id=g:3671393
Puerto Mosquitos	id=g:3671394
Puerto Mosquito	id=g:3671395
Puerto Morrito	id=g:3671396
Puerto Mister	id=g:3671397
Caserío Puerto Miranda	id=g:3671398
Isla Puerto Mirana	id=g:3671399
Puerto Miraña	id=g:3671400
Puerto Merizalde	id=g:3671401
Puerto Mercedes	id=g:3671402
Puerto Meluk	id=g:3671403
Puerto Matanza	id=g:3671404
Puerto Martínez	id=g:3671405
Puerto Mariti	id=g:3671406
Puerto María Manteca	id=g:3671407
Puerto Mallarino	id=g:3671408
Puerto Mahates	id=g:3671409
Puerto Macedo	id=g:3671410
Puerto Macaco	id=g:3671411
Puerto López	id=g:3671412
Puerto López	id=g:3671413
Puerto López	id=g:3671414
Puerto López	id=g:3671415
Puerto Lopez	id=g:3671416
Puerto López	id=g:3671417
Puerto López	id=g:3671418
Puerto López	id=g:3671419
Puerto López	id=g:3671420
Puerto Lopez	id=g:3671421
Puerto López	id=g:3671422
Puerto Lodo	id=g:3671423
Puerto Lleras	id=g:3671424
Puerto Lleras	id=g:3671425
Puerto Limón	id=g:3671426
Puerto Limón	id=g:3671427
Puerto Limón	id=g:3671428
Puerto Limón	id=g:3671429
Inspección de Policía Puerto Limón	id=g:3671430
Puerto Limón	id=g:3671431
Puerto Liévano	id=g:3671432
Puerto Libre	id=g:3671433
Puerto Líbano	id=g:3671434
Puerto Leticia	id=g:3671435
Puerto León	id=g:3671436
Puerto Leguízamo	id=g:3671437
