Tītīn Darah	id=g:1474234
Mād Kūlam	id=g:1474349
Māndalā	id=g:1474350
Gora Gaziabadgar	id=g:1474351
Farāḏōlī	id=g:1474352
Ganḏāwah	id=g:1474353
Dōmayō	id=g:1474354
Bāndah	id=g:1474355
Shamsah Khēl	id=g:1474356
Karandālī	id=g:1474357
Māsamūt-e Pā‘īn	id=g:1474358
Nūlū	id=g:1474359
Sīgīn	id=g:1474360
Dō Burjah	id=g:1474361
Darah-ye Māsamūt	id=g:1474362
Māsamūt-e Bālā	id=g:1474363
Kōh-e Ghāzīābād	id=g:1474364
Kōh-e Andarā	id=g:1474365
Ḩājīābād	id=g:1474366
Nōrām	id=g:1474367
Manjān	id=g:1474368
Kasigar	id=g:1474369
Pāyah Khēl	id=g:1474370
Shīnkaī Khwaṟ	id=g:1474371
Andarwāl	id=g:1474372
Kāsīgar Shinkay Ghar	id=g:1474373
Tapahkāl	id=g:1474374
Gora Angardatir	id=g:1474375
Darah-ye Majahgal	id=g:1474376
Kōh-e Chumbōrā	id=g:1474377
Gshevkhvar	id=g:1474378
Baraṟō Ghunḏêy	id=g:1474379
Sapākhān	id=g:1474380
Daḏ Ghar	id=g:1474381
Amlūkō Nāw	id=g:1474382
Pṟāng Ghar	id=g:1474383
Pārwah’ī	id=g:1474384
Darah-ye Nūrah Lām	id=g:1474385
Mānū Ghar	id=g:1474386
Spīnē Khāwrē Khwaṟ	id=g:1474387
Zigay	id=g:1474388
‘Alīngār	id=g:1474389
Lōy Khwaṟ	id=g:1474390
Lōy Sar Ghar	id=g:1474391
Ḏāg Kalā	id=g:1474392
Bar Kōṯ Shamālī	id=g:1474393
Gambah	id=g:1474394
Sakhrah	id=g:1474395
Alīngār Darah	id=g:1474396
Kōkhī	id=g:1474397
Manārī	id=g:1474398
A‘lā Ḩājīgar	id=g:1474399
Ghunḏêy	id=g:1474400
Ṯigalām	id=g:1474401
Nūrah Lām Zīārat	id=g:1474402
Kundagal	id=g:1474403
Darah-ye Tōbatay	id=g:1474404
Kōlak	id=g:1474405
Ḏakar Kalā	id=g:1474406
Servat	id=g:1474407
Degmālī	id=g:1474408
Bāghagal	id=g:1474409
Nāwakē Ghar	id=g:1474410
Andōdār Khwaṟ	id=g:1474411
Ḏimblūk Ghar	id=g:1474412
Mūsá Lwaṟah	id=g:1474413
Ḏimblūk	id=g:1474414
Bōdalām	id=g:1474415
Gowarjan	id=g:1474416
Pārich	id=g:1474417
Shārak Ghar	id=g:1474418
Shaykhān	id=g:1474419
Panj Kōrah	id=g:1474420
Pāsh Khēl	id=g:1474421
Sūr Ghunḏêy	id=g:1474422
Ārām Khēl	id=g:1474423
Chōpānān	id=g:1474424
Khwājah Khēl-e Suflá	id=g:1474425
Kōṯā Khēl	id=g:1474426
Chār Qal‘ah	id=g:1474427
Tsawār Khēl	id=g:1474428
Qalahtak	id=g:1474429
Gōrganday	id=g:1474431
Ḩaīdar Ghar	id=g:1474432
Tōr Gāṟ	id=g:1474433
Āzād Kalā	id=g:1474434
Kaj Darah	id=g:1474435
Alū Khēl	id=g:1474436
Abā Khēl	id=g:1474437
Ṯingawar	id=g:1474438
Panj Padar	id=g:1474439
Kachī	id=g:1474440
Badayābād	id=g:1474441
Tarakêy	id=g:1474442
Şayyid Kalā	id=g:1474443
Sayyidābād	id=g:1474444
Shāhābād	id=g:1474445
Bisrām	id=g:1474446
Kēlman	id=g:1474447
Nawrah	id=g:1474448
Mānō	id=g:1474449
Kaṯal	id=g:1474450
Salingār	id=g:1474451
Gambah Junūbī	id=g:1474452
Dāwūd Kalā	id=g:1474453
Qal‘ah-ye Mīrākhōr	id=g:1474454
Ākhūndzādah Kalā	id=g:1474455
Manjumah	id=g:1474456
Ḩakīmābād	id=g:1474457
Gulārām Khwaṟ	id=g:1474458
Darah-ye Myā Şāḩib	id=g:1474459
Gambah	id=g:1474460
Arenay	id=g:1474461
Darah-ye ‘Alīsheng	id=g:1474462
Kākaṟ Mēnah	id=g:1474463
Islāmābād	id=g:1474464
Tarang	id=g:1474465
Atsakzaī	id=g:1474466
Qal‘ah-ye Bāy	id=g:1474467
Muşţafá	id=g:1474468
Ḩasanzaī	id=g:1474469
Qal‘ah-ye Ḩalīm	id=g:1474470
Ramah Khēl	id=g:1474471
Darah-ye ‘Alīsheng	id=g:1474472
Qal‘ahtak	id=g:1474473
Almatay Nāwah	id=g:1474474
Bārīkzaī	id=g:1474475
Arōrah	id=g:1474476
Shakarman	id=g:1474477
Sumuchan	id=g:1474478
Chanak	id=g:1474479
Gachyān	id=g:1474480
Dīāgān	id=g:1474481
Pandigalō	id=g:1474482
Salau	id=g:1474483
Bandō Ghar	id=g:1474484
Kūzah Kalā	id=g:1474485
Gandau	id=g:1474486
Tabay Kunj Ghar	id=g:1474487
Sulţān Kêlay	id=g:1474488
Qal‘ahchah	id=g:1474489
Bādīn Khēl	id=g:1474490
Dēwah	id=g:1474491
Lanḏah Khēl	id=g:1474492
Sangkashan	id=g:1474493
Adō Khēl	id=g:1474494
Nowlām	id=g:1474495
Chindak	id=g:1474496
Bāz Khēl	id=g:1474497
Khaīrābād	id=g:1474498
Ākhūndzādagān	id=g:1474499
Qāẕīān	id=g:1474500
Mūsá Khēl	id=g:1474501
Qawāl Khēl	id=g:1474502
Myānpūr	id=g:1474503
Maryam	id=g:1474504
Kunj	id=g:1474505
Zaṟah Kalā	id=g:1474506
Zōṟ Kêlay	id=g:1474507
Tājgarī	id=g:1474508
Ḏanḏah	id=g:1474509
Deh-e Malakh	id=g:1474510
Wardag	id=g:1474511
Kharōṯ	id=g:1474512
Sīn Khēl	id=g:1474513
Gulkārī	id=g:1474514
Deh-e Pashah’ī	id=g:1474515
Qal‘ah-ye Manşūr	id=g:1474516
Qal‘ah-ye Malik	id=g:1474517
Qal‘ah-ye Ākhūnd	id=g:1474518
Armul	id=g:1474519
Katsōr Junūbī	id=g:1474520
Chehel Matī	id=g:1474521
‘Alī Khēl	id=g:1474522
Maryam Nānēkzaī	id=g:1474523
Shōrāwah	id=g:1474524
Deh Baghalak	id=g:1474525
Lakaray	id=g:1474526
Qal‘ah-ye Khān	id=g:1474527
Shāh Matī	id=g:1474528
Gūmaīn	id=g:1474529
Maryam Gōrah	id=g:1474530
Sang Towdah	id=g:1474531
Tarah Khēl	id=g:1474532
Pasha`i	id=g:1474533
Myā Kalā	id=g:1474534
Shayrullāh Khān Kalā	id=g:1474535
Khālah Khēl	id=g:1474536
Ghār Chīnah	id=g:1474537
Kowyet Khaṟak	id=g:1474538
Qal‘ah-ye Jūgī	id=g:1474539
Kaīā	id=g:1474540
Gumkōrah	id=g:1474541
Qal‘ah-ye Şalā	id=g:1474542
Shāh Mangal	id=g:1474543
Dēpī	id=g:1474544
Bela	id=g:1474545
Latifabad	id=g:1474546
Kahū Ghar	id=g:1474547
Manū Kunj Ghar	id=g:1474548
Gory Ambergar	id=g:1474549
Mōz Ghunḏêy	id=g:1474550
Jar-e Nahāleh	id=g:1474552
Chinār	id=g:1474553
Jar-e Shāh Nāderī	id=g:1474554
Kochak Darah	id=g:1474555
Jar-e Chowlaghay	id=g:1474556
Bālā Kachah	id=g:1474557
Hazār Bānḏah	id=g:1474558
Jar-e Polsangi	id=g:1474559
Jar-e Cheshmeh-ye Maqşūd	id=g:1474560
Zīn Darah	id=g:1474561
Jar-e Sefīddālak	id=g:1474562
Islām Darah	id=g:1474563
Jar-e Khvoshnaw	id=g:1474564
Jar-e Kōtkōlah	id=g:1474565
Kajrī Darah	id=g:1474566
Jar-e Sīāhkharah	id=g:1474567
Ūs̲h̲ānō Nāw	id=g:1474568
Wêch Khāk Ghar	id=g:1474569
Jar-e Chojāgak	id=g:1474570
Shamāl Ghar	id=g:1474571
Maṟwandī Ghar	id=g:1474572
Jar-e Shākhlagak	id=g:1474573
Jar-e Dūzakhah	id=g:1474574
Jar-e Gandom Mordeh	id=g:1474575
Jar-e Jayṟagak	id=g:1474576
Jar-e Parkhār	id=g:1474577
Shēlah-ye Kākar	id=g:1474578
Darreh-ye Tsoqur	id=g:1474579
Shēlah-ye Khvājehsebak	id=g:1474580
Zīārat Kowtkowlah	id=g:1474581
Zīārat Khvājeh Sēbak	id=g:1474582
Nalichkhvar	id=g:1474583
Zīārat Khvājeh ‘Āmmeh	id=g:1474584
Wêch Khāk Darah	id=g:1474585
Amberkhvar	id=g:1474586
Poshteh-ye-Paji	id=g:1474587
Balūchān	id=g:1474588
Qawmanati	id=g:1474589
Qoḏūgh	id=g:1474590
Garawu	id=g:1474591
Shalahtak	id=g:1474592
Lagham	id=g:1474593
Sambaba	id=g:1474594
Kohe Lokasang	id=g:1474595
Poshteh-ye Shāh Nāderī	id=g:1474596
Khākpūlak	id=g:1474597
Sayyidābād	id=g:1474598
Mish Khēl	id=g:1474599
Kūh-e Goṟamqol	id=g:1474600
Kandah	id=g:1474601
Ḏōpay	id=g:1474602
Mālgē Kanḏow	id=g:1474603
Bāghyān	id=g:1474604
Band-e Nakhchīrestān	id=g:1474605
Lamatak	id=g:1474606
Kūh-e Nakhchirestān	id=g:1474607
Lālkhānābād	id=g:1474608
Poshteh-ye Yownus	id=g:1474609
Sarfarāz Khān Qal‘ah	id=g:1474610
Qal‘ah	id=g:1474611
Şafat Khān Kêlay	id=g:1474612
Kūh-e Khvoshnaw	id=g:1474613
Ḏandar	id=g:1474614
Khar-e Magasi	id=g:1474615
Qal‘ahtak	id=g:1474616
Sarjar-e Jarah	id=g:1474617
Farmān Khēl	id=g:1474618
Petāwah-ye Zard	id=g:1474619
Amīr Kalā	id=g:1474620
Andōr	id=g:1474621
Petāwah-ye Sefīddālak	id=g:1474622
Tarang	id=g:1474623
Dakhandar	id=g:1474624
Band-e Morghāb	id=g:1474625
Kalkalābād	id=g:1474626
Bāḏṟawak	id=g:1474627
Baluchabad	id=g:1474628
Lamaṯī	id=g:1474629
Sowātay	id=g:1474630
Kolalān	id=g:1474631
Ghunḏêy	id=g:1474632
Karimabad	id=g:1474633
Kasimabad	id=g:1474634
Myā Khēl	id=g:1474635
Bolan	id=g:1474636
Laṟah Mōṟah	id=g:1474637
Şayyidālkhān Qal‘ah	id=g:1474638
Tarang	id=g:1474639
Pāchā Şāḩib Qal‘ah	id=g:1474640
Sārwān Pus̲h̲tah	id=g:1474641
Srah Pus̲h̲tah	id=g:1474642
Kholah-ye Gorgī	id=g:1474643
Band-e Sarjangalak	id=g:1474644
Band-e Jawzak	id=g:1474645
Band-e Tselakhāneh	id=g:1474646
Mahrāb Sefīd	id=g:1474647
Kārēz Ghar	id=g:1474648
Cheshmeh-ye Pahlū	id=g:1474649
Tōrah Gaṟay	id=g:1474650
Shnê Kamar	id=g:1474651
Band-e Dehgol	id=g:1474652
Ghaymast	id=g:1474653
Band-e Wāshah	id=g:1474654
Farmān Khēl	id=g:1474655
Bāḏṟawak	id=g:1474656
Myā Khān Kats	id=g:1474657
Band-e ‘Abbās	id=g:1474658
Māṟkholah	id=g:1474659
Surkhakān	id=g:1474660
Kūh-e Zā’ū	id=g:1474661
Gulā Khēl	id=g:1474662
Ghūnḏī	id=g:1474663
Mashīnah	id=g:1474664
Kabola	id=g:1474665
Mullā Khēl	id=g:1474666
Gudrah	id=g:1474667
Kārīzak	id=g:1474668
Sunjetak	id=g:1474669
Payrōzābād	id=g:1474670
Sangīrah	id=g:1474671
Darwar	id=g:1474672
Kolalān	id=g:1474673
Darzīān	id=g:1474674
Sar-e Shurō	id=g:1474675
Shēlah-ye Chakāb	id=g:1474676
Dirīndī	id=g:1474677
Kūh-e Kolāgh	id=g:1474678
Kūh-e Z̄oghāl	id=g:1474679
Kūh-e Bar Kholah	id=g:1474680
Kohe Nayak	id=g:1474681
Kūh-e Mā’īch	id=g:1474682
Shēlah-ye Nayak	id=g:1474683
Shēlah-ye Jabrābād	id=g:1474684
Shēlah-ye Khāk-e Latūr	id=g:1474685
Shēlah-ye Kalāt	id=g:1474686
Shēlah-ye Jonāwah	id=g:1474687
Shēlah Tagāb-e Shūr	id=g:1474688
Kūjān	id=g:1474689
Kārīz-e Balūch	id=g:1474690
Kārīz-e Maḩmūd	id=g:1474691
Benawshak	id=g:1474692
Sarkūcheh	id=g:1474693
Emām-fakhr-e Lāleh	id=g:1474694
Zīārat Khvājeh Moḩammad Kāmel	id=g:1474695
Zīārat Bahā’ od Dīn	id=g:1474696
Zīārat-e Chalu	id=g:1474697
Zīārat Khvājeh Shūreh	id=g:1474698
Mollā ‘Abd ol ‘Alī Ākhvond	id=g:1474699
Aḩmad-e Qalāwūr	id=g:1474700
Kāfarqal‘eh	id=g:1474701
Shēlah-ye Ābshāreh	id=g:1474702
Shēlah-ye Qawrowshkī	id=g:1474703
Jar-e Kūyān	id=g:1474704
Shēlah-ye Kafshgar	id=g:1474705
Cheshmeh-ye Owbe	id=g:1474706
Darreh-ye Sehbarzeh	id=g:1474707
Darreh-ye Khvājeh Shūreh	id=g:1474708
Jaṟ-e Baḏal	id=g:1474709
Jar-e Qabrestān	id=g:1474710
Jar-e Na‘lbastā	id=g:1474711
Jar-e Sīāhkhar	id=g:1474712
Kūh-e Dīvāndar	id=g:1474713
Kūh-e Berenjī	id=g:1474714
Kūh-e Hūfārī	id=g:1474715
Tagāb-e Yārī	id=g:1474716
Kūh-e Sang-e Zard	id=g:1474717
Kūh-e Sīrzār	id=g:1474718
Kūh-e Cheshmeh-ye Pahlu	id=g:1474719
Kūh-e Sang-e Zard	id=g:1474720
Gardaneh-ye Sabz	id=g:1474721
Kūh-e Kharah-ye Zard	id=g:1474722
Kūh-e Ābshāreh	id=g:1474723
Kūh-e Tīgh-e Chahārpalaw	id=g:1474724
Poshteh-ye Deymazār	id=g:1474725
Tūtak	id=g:1474726
Shaykh Tāsh Taymōr	id=g:1474728
Shagasi	id=g:1474729
Shāh Malay	id=g:1474730
Mullā Gulāb Nīkêh	id=g:1474731
‘Azīz Khēl	id=g:1474732
Pāy Sang	id=g:1474733
Khwājah Nāz̧irdār Bābā	id=g:1474734
Ismā‘īl Nīkêh	id=g:1474735
Spīray Nīkêh	id=g:1474736
‘Alāqahdārī Kajakī	id=g:1474737
Chīnah	id=g:1474738
Khalāwak	id=g:1474739
Bārīkjō	id=g:1474740
Shamālī Ghōlbah	id=g:1474741
Shomālī	id=g:1474742
Mazdūrak	id=g:1474743
Kākā Khēl	id=g:1474744
Risājī	id=g:1474745
Showgīrak	id=g:1474746
Mazār	id=g:1474747
Chahārdar	id=g:1474748
Kōh-e Lālā	id=g:1474749
Shādīkah	id=g:1474750
Murch Kōtal	id=g:1474751
Yang Ārīq	id=g:1474752
Quraysh Tapah	id=g:1474753
Mullā Khēl	id=g:1474754
Ḩamīd Khēl	id=g:1474755
Kōṯêy	id=g:1474756
Anjarān	id=g:1474757
Shādīkah	id=g:1474758
Nowābād	id=g:1474759
Jārchī	id=g:1474760
Qāsim Lūr	id=g:1474761
Mullā Kāmrān Ākhūnd	id=g:1474762
Gāsh-e Qārūn	id=g:1474763
Maḩmūd Ghar	id=g:1474764
Surkh Rabāţ	id=g:1474765
Rabāţak	id=g:1474766
Chumbī Ghar	id=g:1474767
Shashkāgh	id=g:1474768
Zīrkhār Kōtal	id=g:1474769
Zīrkhār	id=g:1474770
Bībīkah	id=g:1474771
Şūfī Nīkêh	id=g:1474772
Spisāṟ	id=g:1474773
Adīnah	id=g:1474774
Kārēzgay	id=g:1474775
Bulūkchow	id=g:1474776
Bāgh-e Darwaysh Māndêh	id=g:1474777
Bāgh-e Darwaysh	id=g:1474778
Sargīnak	id=g:1474779
Khurmā Ghar	id=g:1474780
Garm Āb Ghar	id=g:1474781
Shayr Mullā	id=g:1474782
Kōh-e Bām	id=g:1474783
Kōtal-e Lakhshak	id=g:1474784
Kōtal-e Zamīn Dāwar	id=g:1474785
Chīnārak	id=g:1474786
Kōh-e Ghargharī	id=g:1474787
Kōh-e Muskīnak	id=g:1474788
Sang-e Sūrākh	id=g:1474789
Silsilah-ye Āghā	id=g:1474790
Ākhūnd Zādah Kārēz	id=g:1474791
Zādeh Kārīz	id=g:1474792
Kārēz	id=g:1474793
Wêchah Shaylah	id=g:1474794
Gazh Kōh	id=g:1474795
Khushkak	id=g:1474796
Ghūnḏ	id=g:1474797
Zīārat-e Kaṯah Bābā	id=g:1474798
Surkh Bayd	id=g:1474799
Mōrchay	id=g:1474800
Zar Ţāle‘ Ghar	id=g:1474801
Zīārat-e Ghil Pinḏay	id=g:1474802
Zīārat-e Takht Bābā	id=g:1474803
Vardzhan	id=g:1474804
Darah-ye Ghil Pinḏay	id=g:1474805
Lanḏah Darah	id=g:1474806
Lanḏah Darah	id=g:1474807
Takht Ghunḏêy	id=g:1474808
Kōh-e Nay	id=g:1474809
Ūz̲h̲dah Darah	id=g:1474810
Kōh-e Mīān Dahān	id=g:1474811
Ūbūsht Bāgh	id=g:1474812
Sowrigh	id=g:1474813
Kōtal-e Surkh Āb	id=g:1474814
Kōh-e Karīm Dād	id=g:1474815
Mārgīrak	id=g:1474816
Dê Şūfī Şāḩib Dê Naykē Ḩujrah	id=g:1474817
Kōh-e Kōbak	id=g:1474818
Gorak-Loy-Mandekh	id=g:1474819
Abulḩasan Ghar	id=g:1474820
Dê Shāh Āghā Ghar	id=g:1474821
Bar Ḩājī Tōp	id=g:1474822
Ks̲h̲êtah Ḩājī Tōp	id=g:1474823
Tangaī	id=g:1474824
Nāwē Lās̲h̲	id=g:1474825
Ngharay	id=g:1474826
Ngharay	id=g:1474827
Zidrigay	id=g:1474828
Tōr Ḩājī Nīkêh	id=g:1474829
Bar Ghanatū	id=g:1474830
Baghnī Shaylah	id=g:1474831
Tsakah	id=g:1474832
Sīāh Sang	id=g:1474833
Tapah-ye Atalay	id=g:1474834
Ūmakay	id=g:1474835
Mullā Ghubār	id=g:1474836
Gōrah Khar	id=g:1474837
Dasht-e Dowlat Kōl	id=g:1474838
Razvaliny Karkoshim	id=g:1474839
Dê Wunō Kārēz	id=g:1474840
Dasht-e Sarī Ās	id=g:1474841
Anjīr	id=g:1474842
Pushtah	id=g:1474843
Yakhtōl	id=g:1474844
Chārpāyah	id=g:1474845
Lashkaray	id=g:1474846
Lashkaray	id=g:1474847
Mārak	id=g:1474848
Pīr Qadam	id=g:1474849
Chīnah	id=g:1474850
Spērkay Ghar	id=g:1474851
Sikandar	id=g:1474852
Wushtān	id=g:1474853
Chowgay	id=g:1474854
Padah	id=g:1474855
Dê Kanāt-e Laţīf	id=g:1474856
Kuchnay Kārēz	id=g:1474857
Gulābād	id=g:1474858
Chughak	id=g:1474859
Sīāh Manz̧ar	id=g:1474860
Zar‘alay	id=g:1474861
Spīnkay	id=g:1474862
Kārēz-e Chūrchūrak	id=g:1474863
Shaylah-ye Kāghsāy	id=g:1474864
Shīn Ghar	id=g:1474865
Ghargay	id=g:1474866
Qinā‘at Şūrat	id=g:1474867
Palangay	id=g:1474868
Garm Āb Ghar	id=g:1474869
Pā’īn Kalā	id=g:1474870
Dāwūd Māndêh	id=g:1474871
Dê Buzō Khāwāṟ	id=g:1474872
Sarah Ās	id=g:1474873
Dê Waḩad Ghar	id=g:1474874
Dowlat Kōl Ghar	id=g:1474875
Pīādah Rāh	id=g:1474876
Shīn Ghar	id=g:1474877
Pōzah	id=g:1474878
Manjarah	id=g:1474879
Dê Markōl Darah	id=g:1474880
Tsāgay	id=g:1474881
Chashmah-ye Garm Āb	id=g:1474882
Garm Āb	id=g:1474883
Chalmah	id=g:1474884
Būlāq	id=g:1474885
Bar Ghoway	id=g:1474886
Dê Bar Ghowān Ghar	id=g:1474887
Darrakhe-Kar	id=g:1474888
Tsāgay Ghar	id=g:1474889
Surkh Bayd	id=g:1474890
Kōtal-e Bayḏawan	id=g:1474891
Bādlīsah	id=g:1474892
Chakanak	id=g:1474893
Dê Zharē Lār	id=g:1474894
Band-e Bārkah	id=g:1474895
Pudinah Ghar	id=g:1474896
Pīādah Rāh	id=g:1474897
Kōh-e Kōtal-e Pāj	id=g:1474898
Khinjaktū Ghar	id=g:1474899
Jar-e Cheshmeh-ye Makh	id=g:1474900
Jar-e Tanūrah	id=g:1474901
Tagāb-e Chahārrāh	id=g:1474902
Tagāw-Chahār Rāh	id=g:1474903
Jar-e Nalbandān	id=g:1474904
Kharah	id=g:1474905
Nāwah-ye Chahār Rāh	id=g:1474906
Dahān-e Astarawā	id=g:1474907
Gīmak	id=g:1474908
Jar-e Karminj	id=g:1474909
Band-e Rōghanī	id=g:1474910
Kōh-e Tal Khakī	id=g:1474911
Kholah-ye Karam	id=g:1474912
Band-e Rāh-e Khoshk	id=g:1474913
Shēlah-ye Robāţ-Şūfīhā	id=g:1474914
Robāţ-Şūfīḩā	id=g:1474915
Robāţgoz̄ar	id=g:1474916
Shēlah-ye Robāţgoz̄ar	id=g:1474917
Hēzqā	id=g:1474918
Kūh-e Sībak	id=g:1474919
Jar-e Sīāh	id=g:1474920
Kūh-e Moktābād	id=g:1474921
Jar-e Kārīz	id=g:1474922
Kohe Tapanay	id=g:1474923
Kham-e Jāṟūfi	id=g:1474924
Kheyl-e Gāvmāl	id=g:1474925
Kūh-e Mowlāādād	id=g:1474926
Shēlah-ye Gishan	id=g:1474927
Shēlah-ye Darband	id=g:1474928
Tāgāb Eshlān	id=g:1474929
Kūh-e Aḩmad‘alī	id=g:1474930
Jar-e Gazak	id=g:1474931
Kūh-e Mollā Gaḏāy	id=g:1474932
Jar-e Gaḏāy	id=g:1474933
Hūtak-hā	id=g:1474934
Shēlah-ye Sīāhnaw	id=g:1474935
Sīāhnaw	id=g:1474936
Sang-e Mollā Rasūl	id=g:1474937
Kūh-e Kholah-ye Khorāsānī	id=g:1474938
Khaṟizaṟḏ	id=g:1474939
Jar-e Nawsum	id=g:1474940
Kūh-e Morghāb	id=g:1474941
Jar-e Ābshekan	id=g:1474942
Ābshekan-e Bālā	id=g:1474943
Khargah Sang	id=g:1474944
Jar-e Dastasak	id=g:1474945
Kōh-e Darband	id=g:1474946
Gāwkush	id=g:1474947
Kōh-e Kalbī	id=g:1474948
Jar-e Ghālramah	id=g:1474949
Jar-e Jaragak	id=g:1474950
Kōh-e Kam-e Mulk	id=g:1474951
Jar-e Palang Khānah-ye Kalān	id=g:1474952
Kharah-ye Luk	id=g:1474953
Ghudūgh	id=g:1474954
Kōh-e Nowbayd	id=g:1474955
Jar-e Nowbayd	id=g:1474956
Kōh-e Towjah	id=g:1474957
Kargasparīdah	id=g:1474958
Kōh-e Sīāh Jar	id=g:1474959
Dū Band	id=g:1474960
Kōh-e Sīāh Now	id=g:1474961
Karishkī	id=g:1474962
Sar-e Jar-e Uyūn	id=g:1474963
Ābshārah	id=g:1474964
Jar-e Ābshārah	id=g:1474965
Jar-e Shōrak	id=g:1474966
Jar-e Chashmah-ye Darāz	id=g:1474967
Kōh-e Safaydārak	id=g:1474968
Jar-e Sīāh Lākh	id=g:1474969
Kōh-e Ramah Row	id=g:1474970
Kōh-e Chaghilak	id=g:1474971
Jar-e Gazī	id=g:1474972
Kōh-e Raygshōy	id=g:1474973
Ţalā-ye Shāh Mīrzā	id=g:1474974
Sar-e Daymakār	id=g:1474975
Sartangī Safayd	id=g:1474976
Jar-e Qaflāni	id=g:1474977
Kūh-e Gichak	id=g:1474978
Jar-e Reẕāgholī	id=g:1474979
Jar-e Sīāhsang	id=g:1474980
Jar-e Gaz	id=g:1474981
Kōh-e Shamshayrsang	id=g:1474982
Khushkāwah	id=g:1474983
Kōh-e Daymakār	id=g:1474984
Kūh-e Jawpāyeh	id=g:1474985
Shēlah-ye ‘Arabmīrzā	id=g:1474986
Chahārsang	id=g:1474987
Khaṟi Bēkak	id=g:1474988
Tayl-Āghā Bāy	id=g:1474989
Takhṟīḏ	id=g:1474990
