Kafr Ibrāsh	id=g:354241
Markaz Kafr az Zayyāt	id=g:354364
Kafr az Zayyāt	id=g:354365
Kafr az Zaytūn	id=g:354366
Kafr az Zaydīyīn	id=g:354367
Kafr az Zaqāzīq al Qiblī	id=g:354368
Kafr az Zand	id=g:354369
Kafr ‘Azzām	id=g:354370
Kafr az Zahā’irah	id=g:354371
Kafr az Za‘farānī	id=g:354372
Kafr ‘Azab Ghunaym	id=g:354373
Kafr Ayyūb Sulaymān	id=g:354374
Kafr Ayyūb ‘Awaḑ	id=g:354375
Kafr ‘Ayyād Kurayyim	id=g:354376
Kafr ‘Awn	id=g:354377
Kafr Nimr	id=g:354378
Kafr Awlād Zayn	id=g:354379
Kafr Awlād Zayd	id=g:354380
Kafr Awlād Zayd	id=g:354381
Kafr Awlād Manşūr	id=g:354382
Kafr Awlād Ibrāhīm	id=g:354383
Kafr Awlād Ḩājjī	id=g:354384
Kafr Awlād ‘Aţīyah	id=g:354385
Kafr Awlād Aḩmad	id=g:354386
Kafr Awlâd ‘Abdu	id=g:354388
Kafr ‘Awānah	id=g:354389
Kafr ‘Awaḑ Sulaymān	id=g:354390
Kafr ‘Awaḑ as Sunayţah	id=g:354391
Kafr Awlād Ḩijāzī	id=g:354392
Kafr ‘Awaḑ	id=g:354393
Kafr at Turjumān	id=g:354394
Kafr at Tur‘ah al Qadīm	id=g:354395
Kafr at Tur‘ah al Jadīd	id=g:354396
Kafr at Tibn	id=g:354397
Kafr aţ Ţawīlah	id=g:354398
Kafr at Tarākī	id=g:354399
Kafr aţ Ţarā’inah	id=g:354400
Kafr at Tamīmī	id=g:354401
Kafr at Tamārizah	id=g:354402
Kafrat Ţā’il Mūsá	id=g:354403
Kafr aţ Ţāyifah	id=g:354404
Kafrat Sīdī Juwayd	id=g:354405
Kafrat Şābir	id=g:354406
Kafrat Naşşār	id=g:354407
Kafrat al Jabal	id=g:354408
Kafrat al ‘Arab	id=g:354409
Kafr ‘Aţā Allāh Sulaymān	id=g:354410
Kafr ‘Aţā’ Allāh Salāmah	id=g:354411
Kafr ‘Aţā’ Allāh	id=g:354412
Kafr ‘Aţā’ Allāh	id=g:354413
Kafr ‘Aţā’	id=g:354414
Kafr as Suţūḩīyah	id=g:354415
Kafr as Sukkarīyah	id=g:354416
Kafr aş Şuḩbī	id=g:354417
Kafr as Suḩaymīyah	id=g:354418
Kafr as Sūdān	id=g:354419
Kafr as Sinādīyah	id=g:354420
Kafr as Sayyid Şāliḩ	id=g:354421
Kafr as Sayyid Maḩmūd al Bāz	id=g:354422
Kafr as Sayyid ‘Alī Shūmān	id=g:354423
Kafr as Sayyid	id=g:354424
Kafr aş Şayyādīn	id=g:354425
Kafr as Sawāqī	id=g:354426
Kafr as Sawālimīyah	id=g:354427
As Sawālim al Qiblīyah	id=g:354428
As Sawālim al Baḩrīyah	id=g:354429
Kafr as Sawālimah	id=g:354430
Kafr aş Şārim al Qiblī	id=g:354431
Kafr aş Şārim al Baḩrī	id=g:354432
Kafr as Sarāsīyah	id=g:354433
Kafr as Saqqā’	id=g:354434
Kafr as Sāqiyah	id=g:354435
Kafr aş Şanādīdī al Baḩrīyah	id=g:354436
Kafr as Salmānīyah	id=g:354437
Kafr as Sallāmīyah	id=g:354438
Kafr aş Şāliḩīn	id=g:354439
Kafr aş Şalāḩāt	id=g:354440
Kafr as Sakārinah	id=g:354441
Kafr as Sāḩil	id=g:354442
Kafr aş Şafāţiwah	id=g:354443
Kafr as Sādāt	id=g:354444
Kafr as Sabīl	id=g:354445
Kafr as Sābī	id=g:354446
Kafr aş Şabbāghīn	id=g:354447
Kafr aş Şa‘āyidah	id=g:354448
Kafr aş Şa‘āydah	id=g:354449
Kafr as Sa‘āfinah	id=g:354450
Kafr ‘Askar Shandīd	id=g:354451
Kafr ‘Askar Şafţ	id=g:354452
Kafr ‘Askar	id=g:354453
Kafr ‘Askar	id=g:354454
Kafr ‘Ashshūsh	id=g:354455
Kafr ash Shūrbajī	id=g:354456
Kafr ash Shurafā’ ash Sharqī	id=g:354457
Kafr ash Shurafā’ ash Sharqī	id=g:354458
Kafr ash Shurafā’ al Qiblī	id=g:354459
Kafr ash Shurafā’ al Gharbī	id=g:354460
Kafr ash Shurafā’ al Gharbī	id=g:354461
Kafr ash Shurafā’ al Baḩrī	id=g:354462
Ash Shurafā	id=g:354463
Kafr ash Shurafā’	id=g:354464
Kafr ash Shurafā’	id=g:354465
Kafr ash Shurafā’	id=g:354466
Kafr ash Shurafā’	id=g:354467
Kafr ash Shimūt	id=g:354468
Kafr ash Shinnāwī	id=g:354469
Kafr ash Shinhāb	id=g:354470
Kafr ash Shaykh Ţu‘aymah	id=g:354471
Kafr ash Shaykh Shiḩātah	id=g:354472
Kafr ash Shaykh Salīm	id=g:354473
Kafr ash Shaykh Sab‘	id=g:354474
Kafr ash Shaykh Mūsá ‘Umrān	id=g:354475
Kafr el-Sheikh Mûsa ‘Imrân	id=g:354476
Kafr ash Shaykh Miftāḩ	id=g:354477
Kafr ash Shaykh Marwān	id=g:354478
Kafr ash Shaykh Makhlūf	id=g:354479
Kafr ash Shaykh Maḩsūb	id=g:354480
Kafr ash Shaykh Khalīl	id=g:354481
Kafr ash Shaykh Khalīfah	id=g:354482
Kafr ash Shaykh Ibrāhīm	id=g:354483
Kafr ash Shaykh Ibrāhīm	id=g:354484
Kafr ash Shaykh Ibrāhīm	id=g:354485
Kafr ash Shaykh Ḩasan	id=g:354486
Kafr ash Shaykh Dhikrī	id=g:354487
Kafr ash Shaykh Dā’ūd	id=g:354488
Kafr ash Shaykh az̧ Z̧awāhirī	id=g:354489
Kafr ash Shaykh ‘Aţīyah	id=g:354490
Kafr ash Shaykh ‘Aţīyah	id=g:354491
Kafr ash Shaykh ‘Āmir	id=g:354492
Kafr ash Shaykh ‘Alī al Ḩafnī	id=g:354493
Kafr ash Shaykh ‘Alī	id=g:354494
Kafr ash Shaykh ‘Alī	id=g:354495
Kafr ash Shaykhah Sālimah	id=g:354496
Kafr ash Shaykh Aḩmad al Jabalāwī	id=g:354497
Kafr ash Shaykhah	id=g:354498
Kafr ash Shaykh ‘Ābid	id=g:354499
Muḩāfaz̧at Kafr ash Shaykh	id=g:354500
Markaz Kafr ash Shaykh	id=g:354501
Kafr ash Shaykh	id=g:354502
Kafr ash Shaykh	id=g:354503
Kafr ash Shaykh Hilāl	id=g:354504
Kafr ash Shawbakī al Jadīd	id=g:354505
Kafr ash Shawbak	id=g:354506
Kafr ash Shawārid	id=g:354507
Kafr ash Sharāqwah	id=g:354508
Kafr ash Sharāqwah	id=g:354509
Kafr ash Sharāqiwah	id=g:354510
Kafr ash Sharā‘inah	id=g:354511
Kafr ash Sharābīyah	id=g:354512
Kafr ash Shakā’irah	id=g:354513
Kafr ash Shahīd	id=g:354514
Kafr ash Shahāwī Khāţir	id=g:354515
Kafr ash Shahāwī an Niklāwī	id=g:354516
Kafr ash Shaḩā’inah	id=g:354517
Kafr ash Shabānīyah	id=g:354518
Kafr ash Sha‘āwirah	id=g:354519
Kafr ‘Ashmā	id=g:354520
Kafr Ashlīm	id=g:354521
Kafr ar Rijālāt	id=g:354522
Kafr ar Rifā‘ī	id=g:354523
Kafr ar Rūk	id=g:354524
Kafr ar Raḩmānīyah	id=g:354525
Ar Rahāwī	id=g:354526
Kafr ar Rabā’i‘ah	id=g:354527
Kafr an Nujabā’	id=g:354528
Kafr an Nimr	id=g:354529
Kafr an Nawwāmīn	id=g:354530
Kafr an Nawāmisah	id=g:354531
Kafr an Naşrīyah	id=g:354532
Kafr an Nuşayrī	id=g:354533
Kafr an Nāqah	id=g:354534
Kafr an Nakhlah	id=g:354535
Kafr an Nakhkhāl	id=g:354536
Kafr an Najjār	id=g:354537
Kafr an Najā’irah	id=g:354538
Kafr an Na‘īm	id=g:354539
Kafr an Naḩḩāl	id=g:354540
Kafr an Na‘ā’irah	id=g:354541
Kafr ‘Amr	id=g:354542
Kafr ‘Ammār	id=g:354543
Kafr ‘Ammār	id=g:354544
Kafr Amlīţ	id=g:354545
Kafr ‘Amīrah	id=g:354546
Kafr ‘Amāshah	id=g:354547
Kafr al Wuḩūshah	id=g:354548
Kafr al Wisāţah	id=g:354549
Kafr al Wazīr	id=g:354550
Kafr al Wasţānī	id=g:354551
Kafr al Wāşilīn	id=g:354552
Kafr al Waşāylah	id=g:354553
Kafr al Wāq	id=g:354554
Kafr al Wakālah	id=g:354555
Kafr al Wadā’i‘ah	id=g:354556
Kafr al ‘Ulaywāt	id=g:354557
Kafr al ‘Ukl	id=g:354558
Kafr al Qūr	id=g:354559
Kafr al Qulayţī	id=g:354560
Kafr al Qibābī	id=g:354561
Kafr al Qibāb	id=g:354562
Kafr al Qazzāzīn	id=g:354563
Kafr al Qawāsim	id=g:354564
Kafr al Qawā‘idah	id=g:354565
Kafr al Qattah	id=g:354566
Kafr al Qaţāţi‘ah	id=g:354567
Kafr al Qaşşāşīn	id=g:354568
Kafr al Qaşālī	id=g:354569
Kafr al Qarīnayn	id=g:354570
Kafr al Qamāmishah	id=g:354571
Kafr al Qalashī	id=g:354572
Kafr al Muslimānī	id=g:354573
Kafr al Muşayliḩah	id=g:354574
Kafr al Musallamīyah	id=g:354575
Kafr al Murābi‘īn	id=g:354576
Kafr al Murābi‘īn	id=g:354577
Kafr al Muḩammadīyah	id=g:354578
Kafr al Miqdām	id=g:354579
Kafr al Mayāsirah	id=g:354580
Kafr al Maţāwi‘ah	id=g:354581
Kafr al Mashhad	id=g:354582
Kafr al Mashāriqah	id=g:354583
Al Manshīyah	id=g:354584
Kafr al Marj	id=g:354585
Kafr al Marāziqah	id=g:354586
Kafr al Manşūrah al Qiblī	id=g:354587
Kafr al Manşūrah	id=g:354588
Kafr al Manshīyah	id=g:354589
Kafr al Manshī al Qiblī	id=g:354590
Kafr al Manshī al Qiblī	id=g:354591
Kafr al Manshī al Baḩrī	id=g:354592
Kafr al Mandarah	id=g:354593
Kafr al Manāzilah	id=g:354594
Kafr al Manāşirah	id=g:354595
Kafr al Manāshī	id=g:354596
Kafr al Maḩrūq	id=g:354597
Kafr al Maḩmūdīyah	id=g:354598
Kafr al Maḩāsinah	id=g:354599
Kafr al Maghribī	id=g:354600
Kafr al Madāwir	id=g:354601
Kafr al Laţā’ifah	id=g:354602
Kafr ‘Allâm	id=g:354603
Kafr al Kutāmīyah	id=g:354604
Kafr al Kurdī	id=g:354605
Al Kīlānīyah	id=g:354606
‘Izbat Kafr al Khayr	id=g:354607
Kafr al Khawāzim	id=g:354608
Kafr al Khamā’irah	id=g:354609
Kafr al Khalā’ifah	id=g:354610
Kafr al Kawādinah	id=g:354611
Kafr al Kawādī	id=g:354612
Kafr al Kaḩāwishah	id=g:354613
Kafr al Kabāyshah	id=g:354614
Kafr al Junaynah al Qiblī	id=g:354615
Kafr al Junaynah al Baḩrī	id=g:354616
Kafr al Junaydī	id=g:354617
Kafr al Jirāyah	id=g:354618
Kafr al Jīlānī	id=g:354619
Kafr al Jibālīyah	id=g:354620
Kafr al Jazzār	id=g:354621
Kafr al Jazīrah	id=g:354622
Kafr al Jazāyir	id=g:354623
Kafr al Jawharī	id=g:354624
Kafr al Jarfāt	id=g:354625
Al Jarrādīn	id=g:354626
Kafr al Jarā’idah	id=g:354627
Kafr al Jamāylah	id=g:354628
Kafr al Jammālah	id=g:354629
Kafr al Jammāl	id=g:354630
Kafr al Jalā’ilah	id=g:354631
Kafr al Jalāhimah	id=g:354632
Kafr al Jalābiţah	id=g:354633
Kafr al ‘Iyādāt	id=g:354634
Kafr al Ishārah	id=g:354635
Kafr al ‘Īş	id=g:354636
Kafr al ‘Inānīyah	id=g:354637
Kafr al ‘Imārāt	id=g:354638
Kafr al ‘Ilwī	id=g:354639
Kafr al ‘Ilw	id=g:354640
Kafr al ‘Ilw	id=g:354641
Kafr al ‘Ilw	id=g:354642
Kaḩk al Qiblīyah	id=g:354643
Kafr ‘Alī Ghālī	id=g:354644
Kafr ‘Alī Badrah	id=g:354645
Kafr ‘Alī Abū Ziyādah	id=g:354646
Kafr ‘Alī Abū ‘Umayrah	id=g:354647
Kafr ‘Alī ‘Abd an Nabī	id=g:354648
Kafr ‘Alī ‘Abd Allāh	id=g:354649
Kafr al Ḩuşr	id=g:354650
Kafr al Ḩurayshī	id=g:354651
Kafr al Ḩūrānī	id=g:354652
Kafr al Ḩişşah	id=g:354653
Kafr al ’işşah	id=g:354654
Kafr al Ḩinnāwī	id=g:354655
Kafr al Ḩimā’	id=g:354656
Kafr al ’imā’	id=g:354657
Kafr al Hayyāsh	id=g:354658
Kafr al Ḩāwī	id=g:354659
Kafr al Ḩiwālah	id=g:354660
Kafr al Ḩaţabah	id=g:354661
Kafr al Ḩasāsinah	id=g:354662
Kafr al Ḩaşāfah	id=g:354663
Kafr al Harā’isah	id=g:354664
Kafr al Hanādiwah	id=g:354665
Al Ḩamrāwī	id=g:354666
Kafr al Ḩammādīyah	id=g:354667
Kafr al Ḩamāmidah	id=g:354668
Kafr al Ḩamām	id=g:354669
Kafr al Ḩamām	id=g:354670
Kafr al Ḩamā’idah	id=g:354671
Kafr al Hajrasī	id=g:354672
Kafr al Ḩājj ‘Umar	id=g:354673
Kafr al Ḩājj Shirbīnī	id=g:354674
Kafr al Ḩājj Ḩasan	id=g:354675
Kafr al Ḩājj Dā’ūd	id=g:354676
Kafr al Ḩājjah ‘Alīyah	id=g:354677
Kafr al Ḩājjah	id=g:354678
Kafr al Ḩadīdī	id=g:354679
Kafr al Ḩaddādīn	id=g:354680
Kafr al Ghurayyib	id=g:354681
Kafr al Ghunaymī	id=g:354682
Kafr al Ghunāmīyah	id=g:354683
Kafr al Ghūl	id=g:354684
Kafr al Ghazālīyah	id=g:354685
Kafr al Ghawwābīn	id=g:354686
Kafr Ghaţāţī	id=g:354687
Kafr al Ghannāmah	id=g:354688
Kafr al Ghanā’imah	id=g:354689
Kafr al Fuqqā‘ī	id=g:354690
Kafr al Fuqahā’	id=g:354691
Kafr al Fiyalah	id=g:354692
Kafr Al Fara‘ūnīyah	id=g:354693
Kafr al Faddān	id=g:354694
Kafr al Bāzāt	id=g:354695
Kafr al Bāz	id=g:354696
Kafr al Bāz	id=g:354697
Kafr al Baţţīkh	id=g:354698
Kafr al Baţţīkh	id=g:354699
Kafr al Bāţil	id=g:354700
Kafr al Batānūn	id=g:354701
Kafr al Basţawīsī	id=g:354702
Kafr al Bashbīshah	id=g:354703
Kafr al Bāshā	id=g:354704
Kafr al Barāmūn	id=g:354705
Kafr al Bājūr	id=g:354706
Kafr al Bajā‘i’ah	id=g:354707
Kafr al Badārinah	id=g:354708
Kafr al Badārinah	id=g:354709
Kafr al Badāmāş	id=g:354710
Kafr al ‘Azzāzī	id=g:354711
Kafr al ‘Azzāzī	id=g:354712
Kafr al ‘Azīzīyah	id=g:354713
Kafr al ‘Awḑalāb	id=g:354714
Kafr al ‘Awānisah	id=g:354715
Kafr al ‘Awā’inah	id=g:354716
Kafr al ‘Awaḑīyah	id=g:354717
Kafr al ‘Awaḑī	id=g:354718
Kafr al ‘Awaḑī	id=g:354719
Kafr al ‘Aţţār	id=g:354720
Kafr al Aţrash	id=g:354721
Kafr al ‘Aţawī	id=g:354722
Kafr al ‘Atal	id=g:354723
Kafr al Ashrāf	id=g:354724
Kafr al Ashqar	id=g:354725
Kafr al Ashqam	id=g:354726
Kafr al Asāwidah	id=g:354727
Kafr al Arba‘īn	id=g:354728
Kafr al ‘Arā’inah	id=g:354729
Kafr al ‘Arab al Qiblī	id=g:354730
Kafr al ‘Arab al Baḩrī	id=g:354731
Jazīrat Kafr al ‘Arab	id=g:354732
Kafr al ‘Arab	id=g:354733
Kafr al ‘Arab	id=g:354734
Kafr al ‘Arab	id=g:354735
Kafr al ‘Arab	id=g:354736
Kafr al ‘Arab	id=g:354737
Kafr al ‘Arab	id=g:354738
Kafr al Amshūţī	id=g:354739
Kafr al ‘Amlāt	id=g:354740
Kafr al ‘Āmirah	id=g:354741
Kafr al Amīr ‘Abd Allāh	id=g:354742
Kafr Abū ‘Āmir	id=g:354743
Kafr al ‘Amār	id=g:354744
Kafr al ‘Alawī	id=g:354745
Kafr al Akram	id=g:354746
Kafr al A‘jar	id=g:354747
Kafr al ‘Ajamī	id=g:354748
Kafr al ‘Ajamī	id=g:354749
Kafr al ‘Ajāyzah	id=g:354750
Kafr al ‘Ajā’imah	id=g:354751
Kafr al ‘Ā’id	id=g:354752
Kafr al ‘Ā’id	id=g:354753
Kafr al Afandī	id=g:354754
Kafr al ‘Abīd	id=g:354755
Kafr al ‘Ābid	id=g:354756
Kafr al Abḩar	id=g:354757
Kafr al ‘Abā’idah	id=g:354758
Kafr al ‘Abādinah	id=g:354759
Kafr al ‘Abābisah	id=g:354760
Kafr ‘Ajībah	id=g:354761
Kafr Aḩmad Shalabī	id=g:354762
Kafr Aḩmad Şāliḩ	id=g:354763
Kafr Aḩmad Muḩammad ‘Abd al Karīm ‘Akīlah	id=g:354764
Kafr Aḩmad Jubrān	id=g:354765
Kafr Aḩmad Burhām	id=g:354766
Kafr adh Dhi’b	id=g:354767
Kafr ad Difrāwī	id=g:354768
Kafr ad Dayr	id=g:354769
Kafr ad Dayr	id=g:354770
Kafr ad Dayā’ibah	id=g:354771
Maşrif Kafr ad Dawwār	id=g:354772
Markaz Kafr ad Dawwār	id=g:354773
Kafr ad Dawwār	id=g:354774
Kafr ad Dawwār	id=g:354775
Kafr ad Dawwār	id=g:354776
Kafr ad Dawwār	id=g:354777
Kafr ad Dawāshinah	id=g:354778
Kafr ad Dawā’ikah	id=g:354779
Kafr ad Dawā’idah	id=g:354780
Kafr ad Dawābinah	id=g:354781
Kafr ad Darrākah	id=g:354782
Kafr ad Damā’isah	id=g:354783
Kafr ad Dakrūrī	id=g:354784
Kafr ad Dahtamūn	id=g:354785
Kafr ad Dahā’imah	id=g:354786
Kafr ad Daghā’idah	id=g:354787
Kafr aḑ Ḑab‘ī	id=g:354788
Kafr ad Dabbūsī	id=g:354789
Kafr Abū Zayd	id=g:354790
Kafr Abū Zahrah	id=g:354791
Kafr Abu Zâhir	id=g:354792
Kafr Abū Yūnus	id=g:354793
Kafr Abū ‘Umar	id=g:354794
Kafr Abū Ţurbah	id=g:354795
Kafr Abu Tirhi	id=g:354796
Kafr Abū Ţāḩūn	id=g:354797
Kafr Abū Ţāhā’	id=g:354798
Abū Ţabl	id=g:354799
Kafr Abū Sulţān	id=g:354800
Kafr Abū Şubayḩ	id=g:354801
Kafr Abû Sîr	id=g:354802
Kafr Abū Şīr	id=g:354803
Kafr Abū Shiḩātah	id=g:354804
Kafr Abū Sharābīyah	id=g:354805
Kafr Abū Shanab	id=g:354806
Kafr Abū Shahbah	id=g:354807
Kafr Abū Sayyid Aḩmad	id=g:354808
Kafr Abū Raqabah	id=g:354809
Kafr Abū Quşaybah	id=g:354810
Kafr Abū Qūrah	id=g:354811
Kafr Abū Qāwūq	id=g:354812
Kafr Abū Nūr ad Dīn	id=g:354813
Kafr Abū Nimr	id=g:354814
Kafr Abu Nâṣir	id=g:354815
Kafr Abū Najm	id=g:354816
Kafr Abū Najāḩ	id=g:354817
Kafr Abū Na‘īm	id=g:354818
Kafr Abū Nabhān	id=g:354819
Kafr Abū Musallam	id=g:354820
Kafr Abū Mityās	id=g:354821
‘Izbat Abū Mandūr	id=g:354822
Kafr Abū Maḩmūd	id=g:354823
Kafr Abū Kāmil	id=g:354824
Kafr Abū Kabīr	id=g:354825
Kafr Abū Jundī	id=g:354826
Kafr Abū Jum‘ah	id=g:354827
Kafr Abū Jalīlah	id=g:354828
Kafr Abū Jalāl	id=g:354829
Kafr Abū Jabal	id=g:354830
Kafr Abū ‘Īsá	id=g:354831
Kafr Abū ‘Īd	id=g:354832
Kafr Abū ’umaydah	id=g:354833
Kafr Abū Ḩaţab	id=g:354834
Kafr Abū Ḩākim	id=g:354835
Kafr Abu Habhab	id=g:354836
Kafr Abū Firākh	id=g:354837
Kafr Abū al ‘Amūdayn	id=g:354838
Kafr Abū Dukhkhān	id=g:354839
Kafr Abū Dhikrī	id=g:354840
Kafr Abū Dhikrī	id=g:354841
Kafr Abū Dhi’āb	id=g:354842
Kafr Abū Dā’ūd	id=g:354843
Kafr Abū Daqn	id=g:354844
Kafr Abū Dabbūs	id=g:354845
Kafr Abū Birrī	id=g:354846
Kafr Abū Birrī	id=g:354847
Kafr Abū ‘Āshūr	id=g:354848
Kafr Abū Shawārib	id=g:354849
Kafr Abū ar Rīsh	id=g:354850
Kafr Abū an Nūr	id=g:354851
Kafr Abū ‘Āmir	id=g:354852
Kafr Abū al ‘Izz	id=g:354853
Kafr Abu ‘Ali	id=g:354854
Kafr Abū al Ḩadīd	id=g:354855
Kafr Abū ‘Aḑmah	id=g:354856
Kafr Abū ad Duqūn	id=g:354857
Kafr Abū ‘Abīyah	id=g:354858
Kafr Abū ‘Abduh	id=g:354859
Kafr Abshīsh	id=g:354860
Kafr ‘Abduh	id=g:354861
Kafr ‘Abd as Sayyid Nawwār	id=g:354862
Kafr ‘Abd ash Shahīd Shanūdah	id=g:354863
Kafr ‘Abd ar Raḩmān	id=g:354864
Kafr ‘Abd an Nabī	id=g:354865
Kafr ‘Abd al Mu’min	id=g:354866
Kafr ‘Abd al Malik Manşūr	id=g:354867
Kafr ‘Abd Allāh	id=g:354868
Kafr ‘Abd Allāh ‘Azīzah	id=g:354869
Kafr ‘Abd Allāh Āghā	id=g:354870
Kafr ‘Abd al Khāliq	id=g:354871
Kafr ‘Abd al Jalīl	id=g:354872
Kafr ‘Abd al ‘Azīz	id=g:354873
Kafr ‘Abd al Amīn Ḩasab Allāh	id=g:354874
Kafr ‘Abbūd	id=g:354875
Kafr Abāz̧ah	id=g:354876
Jabal Kafarī	id=g:354877
Bi’r al Kāf	id=g:354878
‘Aîn el-Kadndak	id=g:354879
Wādī al Kadīsh	id=g:354880
Al Haram al Kadhdhāb	id=g:354881
‘Ayn Kaddūs	id=g:354882
Kadash	id=g:354883
Jabal Kadabūrah al Ḩamrā’	id=g:354884
Gebel Kadabora el-Zorqa	id=g:354885
Wâdi Kadabora el-Hamra	id=g:354886
Wādī al Kabsh	id=g:354887
Tallat al Kabsh	id=g:354888
‘Ilwāyat al Kabsh	id=g:354889
Bi’r Kabkab	id=g:354890
Al Jazīrah al Kabīrah	id=g:354891
Ḥaṭîyet el-Kabîr	id=g:354892
At Tall al Kabīr	id=g:354893
Al Kawm al Kabīr	id=g:354894
Al Ḩajar al Kabīr	id=g:354895
Al Ghurd al Kabīr	id=g:354896
Wadi Kab Gami	id=g:354897
Wâdi Kab el-Rakab	id=g:354898
Wâdi Kab el-Rakab	id=g:354899
Gebel Kab el-Rakab	id=g:354900
Kab el-Nakhl	id=g:354901
Kab el-Gallaba	id=g:354902
Kab el-Esh	id=g:354903
