Ras Ain Rhamna	id=g:6546513
Sebt Lamaarif	id=g:6546883
Karia	id=g:6546884
Sidi Youssef Ben Ali	id=g:6546894
Gueliz	id=g:6546895
Marrakech-Medina	id=g:6546896
Kenitra	id=g:6546897
Sidi Slimane	id=g:6546898
Sidi Yahya El Gharb	id=g:6546899
Souk El Arbaa	id=g:6546900
Oulad Slama	id=g:6546901
Boumaiz	id=g:6546902
M Saada	id=g:6546903
Zirara	id=g:6546904
Ain Tizgha	id=g:6546905
Dar Bni Karrich	id=g:6546908
Sidi Allal Tazi	id=g:6546909
Sidi Boubker El Haj	id=g:6546910
Jorf El Melha	id=g:6546911
Mechra Bel Ksiri	id=g:6546912
Moulay Abdelkader	id=g:6546913
Oulad Nouel	id=g:6546914
Sidi Ahmed Benaissa	id=g:6546915
Sidi Ameur Al Hadi	id=g:6546916
Alhaouafate	id=g:6546917
Bni Quolla	id=g:6546918
Lamjaara	id=g:6546919
Masmouda	id=g:6546920
Mzefroune	id=g:6546921
Ounnana	id=g:6546922
Teroual	id=g:6546923
Chbanate	id=g:6546924
Selfat	id=g:6546925
Cherrat	id=g:6546926
Bni Bataou	id=g:6546927
Chougrane	id=g:6546928
Rouached	id=g:6546929
Ait Ammar	id=g:6546930
Braksa	id=g:6546931
Lagnadiz	id=g:6546932
Oulad Aissa	id=g:6546933
Oulad Boughadi	id=g:6546934
Maatarka	id=g:6546935
Sidi Boubker	id=g:6546936
Oulad Ghziyel	id=g:6546937
Oulad M Hammed	id=g:6546938
Tiflet	id=g:6546939
Ait Ouribel	id=g:6546940
Ait Siberne	id=g:6546941
Sidi El Ghandour	id=g:6546942
Ait Ikkou	id=g:6546943
Ait Belkacem	id=g:6546944
Ait Bouyahya  El Haj	id=g:6546945
Khemis Sidi Yahya	id=g:6546946
M Qam Tolba	id=g:6546947
Ain El Aouda	id=g:6546948
Bni Ahmed Cherqia	id=g:6546949
Bni Rzine	id=g:6546950
Bni Smih	id=g:6546951
Iounane	id=g:6546952
Agourai	id=g:6546953
Ain Taoujdate	id=g:6546954
El Hajeb	id=g:6546955
Sabaa Aiyoun	id=g:6546956
Ait Boubidmane	id=g:6546957
Ait Harz Allah	id=g:6546958
Elborj	id=g:6546959
Moha Ou Hammou Zayan	id=g:6546960
Oum Rabia	id=g:6546961
Sidi Hcine	id=g:6546962
Aghbalou	id=g:6546963
Ait Ben Yacoub	id=g:6546964
Boumia	id=g:6546965
Dar Oum Soltane	id=g:6546966
Oued Rommane	id=g:6546967
Dkhissa	id=g:6546968
Oued Jdida	id=g:6546969
M'Rhassiyine	id=g:6546970
N'Zalat Bni Amar	id=g:6546971
Oualili	id=g:6546972
Sidi Abdallah Khayat	id=g:6546973
Ait El Mane	id=g:6546974
Almis Marmoucha	id=g:6546975
Jebha	id=g:6546976
Zaouiat Bougrine	id=g:6546980
Elorjane	id=g:6546984
Agdal	id=g:6546985
Saiss	id=g:6546986
Moulay Yacoub	id=g:6546987
Mikkes	id=g:6546988
Sebaa Rouadi	id=g:6546989
Sebt Loudaya	id=g:6546990
Ain Bou Ali	id=g:6546991
Elmenzel	id=g:6546992
Ribate El Kheir	id=g:6546993
Adrej	id=g:6546994
Bir Tam Tam	id=g:6546995
Mtarnagha	id=g:6546996
Ain Cheggag	id=g:6546997
Ait Sebaa Lajrouf	id=g:6546998
Azzaba	id=g:6546999
Tazouta	id=g:6547000
Karia Ba Mohamed	id=g:6547001
Taounate	id=g:6547002
Elbibane	id=g:6547003
Sidi Haj M Hamed	id=g:6547004
Sidi Mokhfi	id=g:6547005
Sidi Yahya  Bni Zero	id=g:6547006
Timezgana	id=g:6547007
Bni Snous	id=g:6547008
Rghioua	id=g:6547009
Ain Aicha	id=g:6547010
Ain Legdah	id=g:6547011
Ain Maatouf	id=g:6547012
Bouarouss	id=g:6547013
Elbsabsa	id=g:6547014
Messassa	id=g:6547015
Oued Jemaa	id=g:6547016
Oulad Ayyad	id=g:6547017
Outabouabane	id=g:6547018
Tahla	id=g:6547019
Fifi	id=g:6547020
Bni Bouzra	id=g:6547021
Bni Mansour	id=g:6547022
Bni Selmane	id=g:6547023
Steha	id=g:6547024
Ain Beida	id=g:6547025
Asjen	id=g:6547026
Brikcha	id=g:6547027
Souaken	id=g:6547028
Souk L Qolla	id=g:6547029
Souk Tolba	id=g:6547030
Tatoft	id=g:6547031
Ayacha	id=g:6547032
Rissana Chamalia	id=g:6547033
Bni Makada	id=g:6547034
Ain Lahsan	id=g:6547035
Bni Harchen	id=g:6547036
Jbel Lahbib	id=g:6547037
Mallalienne	id=g:6547038
Souk Kdim	id=g:6547039
Azla	id=g:6547040
Sidi Addi	id=g:6547043
Sebt Jahjouh	id=g:6547044
Amalou Ighriben	id=g:6547046
Tiznit	id=g:6547047
Benslimane	id=g:6547048
Al Aaroui	id=g:6547049
Nador	id=g:6547050
Zeghanghane	id=g:6547051
Bni Sidel Louta	id=g:6547052
Bni Sidel Jbel	id=g:6547053
Iksane	id=g:6547054
Selouane	id=g:6547055
Afsou	id=g:6547056
Albarkanyene	id=g:6547057
Bni Marghnine	id=g:6547058
Midar	id=g:6547059
M Hajer	id=g:6547060
Ouardana	id=g:6547061
Taifa	id=g:6547062
Tainaste	id=g:6547063
Bab Boudir	id=g:6547064
Bab Marzouka	id=g:6547065
Bni Lent	id=g:6547066
Meknassa Acharqia	id=g:6547067
Meknassa Al Gharbia	id=g:6547068
Oulad Chrif	id=g:6547069
Bni Bouayach	id=g:6547070
Imzouren	id=g:6547071
Targuist	id=g:6547072
Bni Ammart	id=g:6547073
Bni Bchir	id=g:6547074
Bni Bouchibet	id=g:6547075
Bni Bounsar	id=g:6547076
Moulay Ahmed Cherif	id=g:6547077
Sidi Boutmim	id=g:6547078
Sidi Bouzineb	id=g:6547079
Taghzout	id=g:6547080
Tamsaout	id=g:6547081
Bni Ounjel Tafraout	id=g:6547082
Khlalfa	id=g:6547083
Tamedit	id=g:6547084
Aknoul	id=g:6547085
Guercif	id=g:6547086
Oued Amlil	id=g:6547087
Taza	id=g:6547088
Mazguitam	id=g:6547089
Oulad Bourima	id=g:6547090
Saka	id=g:6547091
Bouizazarene Ihaddad	id=g:6547094
Jaadar	id=g:6547095
Taouima	id=g:6547096
Bouhdila	id=g:6547099
Oulad Ghadbane	id=g:6547101
Bouarg	id=g:6547102
Meknes	id=g:6547283
Chichaoua	id=g:6547284
Marrakech	id=g:6547285
Sefrou	id=g:6547286
Berkane	id=g:6547287
Jerada	id=g:6547288
Taourirt	id=g:6547289
Boujdour	id=g:6547290
Chtouka-Ait-Baha	id=g:6547291
Al-Haouz	id=g:6547292
Fahs-Anjra	id=g:6547293
Casablanca	id=g:6547294
Moulay-Yacoub	id=g:6547295
El-Hajeb	id=g:6547296
Aousserd	id=g:6547297
Oued-Ed-Dahab	id=g:6547298
Nouaceur	id=g:6547299
Fes	id=g:6547300
Mohammedia	id=g:6547301
Zagora	id=g:6547302
Mediouna	id=g:6547303
Les Borjs de la Kasbah	id=g:6690178
Bureau Coopération Internationale Décentralisée	id=g:6942456
Piscine La CROIX	id=g:6942457
Décharge de la Municipalité de Figuig	id=g:6942458
Ksar Laâbidat (al abid)	id=g:6942459
Aidar	id=g:6957934
Errachidia	id=g:7280528
Nador longwave transmitter, Mast North	id=g:7282211
Nador longwave transmitter, Mast Middle	id=g:7282212
Nador longwave transmitter, Mast South	id=g:7282213
Azilal Radio Mast	id=g:7282227
Daoudiate	id=g:7288058
Hôtel les Dunes d'Or	id=g:7302685
Hôtel Royal Atlas	id=g:7302686
Le Tazarkount	id=g:7302699
Hôtel Bin el Ouidane	id=g:7302882
Association Oudaghir (Ecole Hassania)	id=g:7302936
Hôtel Rose M'Gouna	id=g:7303039
Hôtel Iberostar Founty Beach	id=g:7303047
Hôtel Tikida Beach	id=g:7303048
Hôtel Tikida Dunas	id=g:7303049
Hôtel Timoulay	id=g:7303052
Hôtel Talborjt	id=g:7303074
Hôtel les Palmiers	id=g:7303079
Hôtel Ayour	id=g:7303109
Hôtel Cinq Parties du Monde	id=g:7303122
Hôtel Al Mountassir	id=g:7303123
Palais Royal d'Agadir	id=g:7303125
Tikida Golf Palace	id=g:7303126
Hôtel Agador Tamlelt	id=g:7303129
Hôtel Miramar	id=g:7303144
Hôtel Transatlantique	id=g:7303146
Hôtel Omayades	id=g:7303147
Hôtel Riad Karam	id=g:7303152
Hassi Mouderas	id=g:7331503
Oued Missendal	id=g:7331504
Taourirt n’ Timelatine	id=g:7331628
Hassi Foukani	id=g:7331629
Hassi Boulmane	id=g:7331630
Medina De Rabat	id=g:7456416
Djemaa el Fna	id=g:7521901
Majorelle Garden	id=g:7533591
Monte-Carlo	id=g:2992741
Rocher de Monaco	id=g:2993456
Principality of Monaco	id=g:2993457
Monaco	id=g:2993458
La Condamine	id=g:3009937
Fontvieille	id=g:3017814
Pointe Focinane	id=g:3018192
Anse de Canton	id=g:3028762
Pointe Saint-Martin	id=g:3225753
Port de Fontvieille	id=g:3225755
Pointe de la Poudrière	id=g:3225756
Pointe Saint-Antoine	id=g:3225758
Port Hercule	id=g:3225759
Saint-Roman	id=g:3225774
Stade Louis Deux	id=g:3319157
Pointe Sainte-Barbe	id=g:3319159
Ciappaira	id=g:3319160
Plage du Larvotto	id=g:3319162
Larvotto	id=g:3319163
Anse de la Grue	id=g:3319169
Réserve Sous-marine de Monaco	id=g:3319170
Jardin Exotique	id=g:3319172
Jardin Japonais	id=g:3319174
Anse du Portier	id=g:3319175
Moneghetti	id=g:3319177
Commune de Monaco	id=g:3319178
Le Meridien Beach Plaza	id=g:6500736
Grimaldi Forum Monaco	id=g:6954047
Iagorlîk	id=g:469718
Trostianeţ	id=g:481413
Ocniţa	id=g:516011
Kam”yanka	id=g:553602
Zîrneşti	id=g:617029
Staţia de Cale Ferată Şoldăneşti	id=g:617031
Zîmbreni	id=g:617034
Zubreşti	id=g:617035
Zăzuleni	id=g:617036
Zorile	id=g:617037
Zolotievca	id=g:617038
Staţia de Cale Ferată Zloţi	id=g:617039
Jura	id=g:617040
Jevreni	id=g:617041
Jeloboc	id=g:617042
Javgur	id=g:617043
Japca	id=g:617044
Zguriţa	id=g:617045
Zgărdeşti	id=g:617046
Zereshty	id=g:617047
Zberoaia	id=g:617048
Zăicani	id=g:617049
Zaporojeţ	id=g:617050
Zamciogi	id=g:617051
Zăluceni	id=g:617052
Tiraspolul Nou	id=g:617053
Staţia de Cale Ferată Zaim	id=g:617054
Zaim	id=g:617055
Zahorna	id=g:617056
Zahoreni	id=g:617057
Zagarancea	id=g:617058
Zăicani	id=g:617059
Zăicana	id=g:617060
Zăbriceni	id=g:617061
Iurievca	id=g:617062
Iurceni	id=g:617063
Hîrjău	id=g:617064
Ermoclia	id=g:617065
Iepureni	id=g:617066
Enichioi	id=g:617067
Elizavetovca	id=g:617068
Elizaveta	id=g:617069
Ilenuţa	id=g:617070
Echimăuţi	id=g:617072
Ecaterinovca	id=g:617073
Egorovca	id=g:617074
Egoreni	id=g:617075
Edineţ	id=g:617076
Raionul Edineţ	id=g:617077
Iasnaia Poleana	id=g:617078
Iarova	id=g:617079
Staţia de Cale Ferată Iargara	id=g:617080
Iargara	id=g:617081
Ialpugel	id=g:617082
Ialpug	id=g:617083
Ialpugeni	id=g:617084
Iagorlîc	id=g:617085
Iabloana	id=g:617086
Vîşcăuţi	id=g:617087
Vîprova	id=g:617088
Vînători	id=g:617089
Vîlcele	id=g:617090
Ofatinţi	id=g:617091
Vulpeşti	id=g:617092
Staţia de Cale Ferată Vulcăneşti	id=g:617093
Vulcăneşti	id=g:617094
Vulcăneşti	id=g:617096
Vozneseni	id=g:617097
Voinova	id=g:617098
Voroteţ	id=g:617099
Octeabriscoe	id=g:617100
Lazo	id=g:617101
Vărăncău	id=g:617102
Vărăncău	id=g:617103
Vorniceni	id=g:617104
Voloave	id=g:617105
Voloviţa	id=g:617106
Volintiri	id=g:617107
Staţia de Cale Ferată Vălcineţ	id=g:617108
Vălcineţ	id=g:617109
Vălcineţ	id=g:617110
Vădeni	id=g:617111
Vladnic	id=g:617112
Vladimireuca	id=g:617113
Vladimirovca	id=g:617114
Vladimirovca	id=g:617115
Staţia de Cale Ferată Visterniceni	id=g:617116
Visoca	id=g:617117
Vişniovca	id=g:617118
Vinogradovca	id=g:617119
Vinogradnoe	id=g:617120
Victoria	id=g:617121
Victoria	id=g:617122
Viişoara	id=g:617123
Viişoara	id=g:617124
Vesioloe	id=g:617125
Vertiujeni	id=g:617126
Jora de Sus	id=g:617127
Marianca de Sus	id=g:617128
Bălţata de Sus	id=g:617129
Albota de Sus	id=g:617130
Mincenii de Sus	id=g:617131
Cuhureştii de Sus	id=g:617132
Halahora de Sus	id=g:617133
Buzduganii de Sus	id=g:617134
Andruşul de Sus	id=g:617135
Verejeni	id=g:617136
Verejeni	id=g:617137
Vatici	id=g:617138
Văscăuţi	id=g:617139
Văsieni	id=g:617140
Văsieni	id=g:617141
Vasilievca	id=g:617142
Vasilcău	id=g:617143
Vasileuţi	id=g:617144
Vărzăreşti	id=g:617145
Prioziornoe	id=g:617146
Vărvăreuca	id=g:617147
Varnitsa Stantsiya	id=g:617148
Varniţa	id=g:617149
Văratic	id=g:617150
Valea -Trestieni	id=g:617151
Valea Satului	id=g:617152
Valea Rusului	id=g:617153
Valea Rădoaiei	id=g:617154
Valea Perjei	id=g:617155
Valea Perjei	id=g:617156
Valea Mare	id=g:617157
Valea lui Vlad	id=g:617158
Valea Coloniţei	id=g:617159
Valea Adîncă	id=g:617160
Văleni	id=g:617161
Vadul Turcului	id=g:617162
Vadul-Raşcov	id=g:617163
Vadul lui Vodă	id=g:617164
Vadul lui Isac	id=g:617165
Vadul-Leca	id=g:617166
Uiutnoe	id=g:617167
Ustia	id=g:617168
Inculeţ	id=g:617169
Ustia	id=g:617170
Uşurei	id=g:617172
Ursoaia	id=g:617173
Ursoaia	id=g:617174
Ursari	id=g:617175
Unţeşti	id=g:617176
Staţia de Cale Ferată Unchiteşti	id=g:617177
Unchiteşti	id=g:617178
Unguri	id=g:617179
Ungheni	id=g:617180
Raionul Ungheni	id=g:617181
Ulmu	id=g:617182
Ucrainca	id=g:617183
Tîrzieni	id=g:617184
Tîrnova	id=g:617185
Tîrnova	id=g:617186
Tvardiţa	id=g:617187
Tuzara	id=g:617188
Tutovanu	id=g:617189
Tudora	id=g:617190
Staţia de Cale Ferată Ţira	id=g:617191
Ţîra	id=g:617192
Ţipleteşti	id=g:617193
Ţipala	id=g:617194
Ţînţăreni	id=g:617195
Ţînţăreni	id=g:617196
Ţîghira	id=g:617197
Ţigăneşti	id=g:617199
Ţîbuleuca	id=g:617200
Ţipova	id=g:617201
Ţipordei	id=g:617202
Ţibirica	id=g:617203
Ţepilova	id=g:617204
Ţahnăuţi	id=g:617205
Ţaul	id=g:617206
Ţareuca	id=g:617207
Ţărăncuţa	id=g:617208
Ţapoc	id=g:617209
Ţambula	id=g:617210
Truşeni	id=g:617211
Iujnoe	id=g:617212
Troiţcoe	id=g:617213
Troiţca	id=g:617214
Trinca	id=g:617215
Trifeşti	id=g:617216
Trifăuţi	id=g:617218
Trifăneşti	id=g:617219
Trifăneşti	id=g:617220
Străisteni	id=g:617221
Treteşti	id=g:617222
Trestieni	id=g:617223
Trebujeni	id=g:617224
Trebisăuţi	id=g:617225
Topala	id=g:617226
Tomeştii Vechi	id=g:617227
Tomeştii Noi	id=g:617228
Tomai	id=g:617229
Tomai	id=g:617230
Tocuz	id=g:617231
Tocmagiu	id=g:617232
Tochile-Răducani	id=g:617233
Tohatin	id=g:617234
Todireşti	id=g:617235
Todireşti	id=g:617236
Toceni	id=g:617237
Nayfel'd Kolkhoz	id=g:617238
Tiraspol	id=g:617239
Urochishche Timush	id=g:617240
Tigichanka	id=g:617241
Tigheci	id=g:617242
Tigheci	id=g:617243
Teiu	id=g:617244
Teţcani	id=g:617245
Teşcureni	id=g:617246
Tîrnauca	id=g:617247
Terebna	id=g:617248
Temeleuţi	id=g:617249
Temeleuţi	id=g:617250
Teliţa	id=g:617251
Teleşeu	id=g:617252
Teleşeuca	id=g:617253
Teleneşti	id=g:617254
Raionul Teleneşti	id=g:617255
Tătărăuca Nouă	id=g:617256
Tătăreşti	id=g:617257
Tătăreşti	id=g:617258
Tătărăşeni	id=g:617259
Taşlîc	id=g:617260
Tartaul de Salcie	id=g:617261
Tartaul	id=g:617262
Tarasova	id=g:617263
Raionul Taraclia	id=g:617264
Taraclia de Salcie	id=g:617265
Staţia de Cale Ferată Taraclia	id=g:617266
Taraclia	id=g:617267
Taraclia	id=g:617268
Taraclia	id=g:617269
Taraclia	id=g:617270
Tănătari	id=g:617271
