Estancia Las Dalias	id=g:3848480
Las Cañitas	id=g:3848640
Las Cañitas	id=g:3848641
Las Cañitas	id=g:3848642
Las Cañitas	id=g:3848643
Las Cañitas	id=g:3848644
Las Cañitas	id=g:3848645
Las Cañita	id=g:3848646
Riacho Las Cañas	id=g:3848647
Puesto Las Cañas	id=g:3848648
Isla Las Cañas	id=g:3848649
Estancia Las Cañas	id=g:3848650
Estancia Las Cañas	id=g:3848651
Arroyo de Las Cañas	id=g:3848652
Las Cañas	id=g:3848653
Las Cañas	id=g:3848654
Las Cañas	id=g:3848655
Las Cañas	id=g:3848656
Las Cañas	id=g:3848657
Las Cañas	id=g:3848658
Las Cañas	id=g:3848659
Las Cañas	id=g:3848660
Las Cañas	id=g:3848661
Las Cañas	id=g:3848662
Las Cañas	id=g:3848663
Las Canas	id=g:3848664
Las Cañadas Coloradas	id=g:3848665
Las Cañadas	id=g:3848666
Las Cañadas	id=g:3848667
Las Cañadas	id=g:3848668
Las Cañadas	id=g:3848669
Las Cañadas	id=g:3848670
Las Cañadas	id=g:3848671
Las Cañadas	id=g:3848672
Las Cañadas	id=g:3848673
Las Cañadas	id=g:3848674
Aguada Las Campanas	id=g:3848675
Las Calles	id=g:3848676
Las Calles	id=g:3848677
Cerro Las Calaveras	id=g:3848678
Cerro Las Cabras	id=g:3848679
Vega Las Burras	id=g:3848680
Laguna Las Burras	id=g:3848681
Las Burras	id=g:3848682
Las Burras	id=g:3848683
Estancia Las Buitreras	id=g:3848684
Estación Las Buitreras	id=g:3848685
Estancia Las Brisas	id=g:3848686
Las Breñas	id=g:3848687
Las Breites	id=g:3848688
Laguna Las Botas	id=g:3848689
Abra Las Bolsitas	id=g:3848690
Las Bolsas	id=g:3848691
Las Bolivianas	id=g:3848692
Loma Las Boleadoras	id=g:3848693
Las Blancas	id=g:3848694
Puesto Las Bayas	id=g:3848695
Puesto Las Bayas	id=g:3848696
Estancia Las Bayas	id=g:3848697
Arroyo Las Bayas	id=g:3848698
Las Bayas	id=g:3848699
Laguna Las Bateas	id=g:3848700
Las Bateas	id=g:3848701
Morro Las Barrosas	id=g:3848702
Cerro Las Barrosas	id=g:3848703
Las Barranquitas	id=g:3848704
Salinas Las Barrancas	id=g:3848705
Quebrada Las Barrancas	id=g:3848706
Estancia Las Barrancas	id=g:3848707
Estancia Las Barrancas	id=g:3848708
Estancia Las Barrancas	id=g:3848709
Las Barrancas	id=g:3848710
Las Barrancas	id=g:3848711
Las Barrancas	id=g:3848712
Las Barrancas	id=g:3848713
Las Barrancas	id=g:3848714
Las Barrancas	id=g:3848715
Las Barrancas	id=g:3848716
Las Barrancas	id=g:3848717
Las Barrancas	id=g:3848718
Estancia Las Bandurrias	id=g:3848719
Cañadón Las Bandurrias	id=g:3848720
Las Bandurrias	id=g:3848721
Las Bandurrias	id=g:3848722
Las Bandurrias	id=g:3848723
Estancia Las Balas	id=g:3848724
Las Bajadas	id=g:3848725
Las Bajadas	id=g:3848726
Las Azucenas	id=g:3848727
Las Avispas	id=g:3848728
Las Avispas	id=g:3848729
Las Avispas	id=g:3848730
Las Avispas	id=g:3848731
Las Aves	id=g:3848732
Lagunas Las Averías	id=g:3848733
Las Averías	id=g:3848734
La Savara	id=g:3848735
Cabaña La Saudade	id=g:3848736
Arroyo La Saudade	id=g:3848737
Las Astitas	id=g:3848738
Las Arrias	id=g:3848739
Las Aromas	id=g:3848740
Las Aromas	id=g:3848741
La Sarnosa	id=g:3848742
Arroyo La Sarnocita	id=g:3848743
Estancia La Sarita	id=g:3848744
Estancia La Sarita	id=g:3848745
Estancia La Sarita	id=g:3848746
Estancia La Sarita	id=g:3848747
Estancia La Sarita	id=g:3848748
Estancia La Sarita	id=g:3848749
Estancia La Sarita	id=g:3848750
Estancia La Sarita	id=g:3848751
Estancia La Sarita	id=g:3848752
Estancia La Sarita	id=g:3848753
Estancia La Sarita	id=g:3848754
Estancia La Sarita	id=g:3848755
Estancia La Sarita	id=g:3848756
Estancia La Sarita	id=g:3848757
La Sarita	id=g:3848758
Las Arenas	id=g:3848759
La Sardina	id=g:3848760
Quebrada Las Arcas	id=g:3848761
Quebrada Las Arcas	id=g:3848762
Las Arcas	id=g:3848763
Isla Las Arañas	id=g:3848764
Estancia La Sara	id=g:3848765
Estancia La Sara	id=g:3848766
Estancia La Sara	id=g:3848767
La Sara	id=g:3848768
La Sara	id=g:3848769
La Sara	id=g:3848770
Estancia La Santanderina	id=g:3848771
Estancia La Santafesina	id=g:3848772
Estancia La Santafesina	id=g:3848773
Estancia La Santafesina	id=g:3848774
Estancia La Santafecina	id=g:3848775
La Santafecina	id=g:3848776
Isla Las Animas	id=g:3848777
Arroyo Las Ánimas	id=g:3848778
Las Ánimas	id=g:3848779
Las Ánimas	id=g:3848780
Las Ánimas	id=g:3848781
Estancia Las Angélicas	id=g:3848782
Estancia Las Ángelas	id=g:3848783
Puesto La Salvadora	id=g:3848784
La Salvación	id=g:3848785
Estancia La Salud	id=g:3848786
Colonia La Salteña	id=g:3848787
Almacén La Salteña	id=g:3848788
Estancia La Salomé	id=g:3848789
Puesto Las Almas	id=g:3848790
Laguna La Salitrosa	id=g:3848791
Salinera La Salinita	id=g:3848792
Paso La Salinita	id=g:3848793
La Salinita	id=g:3848794
La Salinita	id=g:3848795
Laguna La Salina	id=g:3848796
Laguna La Salina	id=g:3848797
Estancia La Salina	id=g:3848798
Estancia La Salina	id=g:3848799
Estancia La Salina	id=g:3848800
Estancia La Salina	id=g:3848801
Cerro La Salina	id=g:3848802
La Salina	id=g:3848803
La Salina	id=g:3848804
La Salina	id=g:3848805
Estancia Las Algarrobos	id=g:3848806
Laguna La Salamanca	id=g:3848807
Estancia La Salamanca	id=g:3848808
Estancia La Salamanca	id=g:3848809
Cerro La Salamanca	id=g:3848810
Laguna La Salada Sur	id=g:3848811
Laguna La Salada Norte	id=g:3848812
Laguna La Salada	id=g:3848813
Laguna La Salada	id=g:3848814
Laguna La Salada	id=g:3848815
Laguna La Salada	id=g:3848816
Laguna La Salada	id=g:3848817
Laguna La Salada	id=g:3848818
Laguna La Salada	id=g:3848819
Laguna La Salada	id=g:3848820
Laguna La Salada	id=g:3848821
Laguna La Salada	id=g:3848823
Laguna La Salada	id=g:3848824
Laguna La Salada	id=g:3848825
Laguna La Salada	id=g:3848826
Laguna La Salada	id=g:3848827
Estancia La Salada	id=g:3848828
Estancia La Salada	id=g:3848829
Estancia La Salada	id=g:3848830
Estancia La Salada	id=g:3848831
Estancia La Salada	id=g:3848833
Estación La Salada	id=g:3848834
La Salada	id=g:3848835
La Salada	id=g:3848836
La Salada	id=g:3848837
Arroyo de La Sala	id=g:3848838
La Sala	id=g:3848839
La Sala	id=g:3848840
Estancia Las Águilas	id=g:3848841
Cerro Las Águilas	id=g:3848842
Las Águilas	id=g:3848843
Quebrada Las Aguaditas	id=g:3848844
Las Aguaditas	id=g:3848845
Las Aguaditas	id=g:3848846
Puesto Las Aguadas	id=g:3848847
Estancia Las Aguadas	id=g:3848848
Las Aguadas	id=g:3848849
Las Aguadas	id=g:3848850
Puesto Las Acollaradas	id=g:3848851
Lagunas Las Acollaradas	id=g:3848852
Lagunas Las Acollaradas	id=g:3848853
Lagunas Las Acollaradas	id=g:3848854
Lagunas Las Acollaradas	id=g:3848855
Laguna Las Acollaradas	id=g:3848856
Laguna Las Acollaradas	id=g:3848857
Estancia Las Acollaradas	id=g:3848858
Las Acollaradas	id=g:3848859
Estancia Las Achiras	id=g:3848860
Las Achiras	id=g:3848861
Las Acheras	id=g:3848862
Las Acequias	id=g:3848863
Estancia Las Acacias	id=g:3848864
Estancia Las Acacias	id=g:3848865
Estancia Las Acacias	id=g:3848866
Estancia Las Acacias	id=g:3848867
Estancia Las Acacias	id=g:3848868
Estancia Las Acacias	id=g:3848869
Estancia Las Acacias	id=g:3848870
Las Acacias	id=g:3848871
Las Abritas	id=g:3848872
Puesto Las Abras	id=g:3848873
Las Abras	id=g:3848874
Las Abras	id=g:3848875
Las Abras	id=g:3848876
Estancia La Sabina	id=g:3848877
La Ruta	id=g:3848878
Colonia La Rural	id=g:3848879
Cerro La Ruina	id=g:3848880
La Rufinita	id=g:3848881
Estancia La Ruca	id=g:3848882
Estancia La Ruby	id=g:3848883
Laguna La Rubia	id=g:3848884
Estancia La Rubia	id=g:3848885
Estancia La Rubia	id=g:3848886
Estancia La Rubia	id=g:3848887
Colonia La Rubia	id=g:3848888
La Rubia	id=g:3848889
Lartigau	id=g:3848890
Larsen	id=g:3848891
Jagüel Larrube	id=g:3848892
Parada Larrechea	id=g:3848893
Larrechea	id=g:3848894
Puerto Larrea	id=g:3848895
Larrea	id=g:3848896
Río Larrazábal	id=g:3848897
Larramendy	id=g:3848898
Estancia Larralde	id=g:3848899
La Royal	id=g:3848900
Puesto La Rosita	id=g:3848901
Estancia La Rosita	id=g:3848902
Estancia La Rosita	id=g:3848903
Estancia La Rosita	id=g:3848904
Estancia La Rosita	id=g:3848905
Estancia La Rosita	id=g:3848906
Estancia La Rosita	id=g:3848907
Estancia La Rosita	id=g:3848908
La Rosita	id=g:3848909
La Rosita	id=g:3848910
Estancia La Rosinda	id=g:3848911
Puesto La Rosilla	id=g:3848912
Laguna La Rosilla	id=g:3848913
Estancia La Rosilla	id=g:3848914
La Rosilla	id=g:3848915
La Rosilla	id=g:3848916
Estancia La Rosaura	id=g:3848917
Colonia La Rosas	id=g:3848918
La Rosario	id=g:3848919
La Rosario	id=g:3848920
Almacén La Rosalía	id=g:3848921
Puesto La Rosada	id=g:3848922
Puesto La Rosada	id=g:3848923
Laguna La Rosada	id=g:3848924
Estancia La Rosada	id=g:3848925
Estancia La Rosada	id=g:3848926
Estancia La Rosada	id=g:3848927
Puesto La Rosa	id=g:3848928
Fábrica La Rosa	id=g:3848929
Estancia La Rosa	id=g:3848930
Estancia La Rosa	id=g:3848931
Estancia La Rosa	id=g:3848932
Estancia La Rosa	id=g:3848933
Estancia La Rosa	id=g:3848934
Estancia La Rosa	id=g:3848935
Estancia La Rosa	id=g:3848936
Estancia La Rosa	id=g:3848937
Estancia La Rosa	id=g:3848938
Estancia La Rosa	id=g:3848939
Estancia La Rosa	id=g:3848940
Chacra La Rosa	id=g:3848941
La Rosa	id=g:3848942
La Rosa	id=g:3848943
Cerros La Ronda	id=g:3848944
Cerro La Ronda	id=g:3848945
La Ronda	id=g:3848946
Estancia La Rivera	id=g:3848947
La Rivera	id=g:3848948
Provincia de La Rioja	id=g:3848949
La Rioja	id=g:3848950
Puesto La Rinconada	id=g:3848951
Estancia La Rinconada	id=g:3848952
Estancia La Rinconada	id=g:3848953
Estancia La Rinconada	id=g:3848954
Estancia La Rinconada	id=g:3848955
Estancia La Rinconada	id=g:3848956
Estancia La Rinconada	id=g:3848957
Estancia La Rinconada	id=g:3848958
Estancia La Rinconada	id=g:3848959
Estancia La Rinconada	id=g:3848960
Estancia La Rinconada	id=g:3848961
Estancia La Rinconada	id=g:3848962
Cerro La Rinconada	id=g:3848963
La Rinconada	id=g:3848964
La Rinconada	id=g:3848965
La Rinconada	id=g:3848966
La Rinconada	id=g:3848967
La Rinconada	id=g:3848968
La Rinconada	id=g:3848969
La Rinconada	id=g:3848970
La Rinconada	id=g:3848971
La Rinconada	id=g:3848972
La Rinconada	id=g:3848973
La Rinconada	id=g:3848974
La Rinconada	id=g:3848975
La Rinconada	id=g:3848976
La Rinconada	id=g:3848977
La Rinconada	id=g:3848978
Estancia La Rina	id=g:3848979
Cerro Laricito	id=g:3848980
Cerro Lari Chico	id=g:3848981
La Ribera	id=g:3848982
Vega Lari	id=g:3848983
Puesto Lari	id=g:3848984
Pampa del Lari	id=g:3848985
Cerro Lari	id=g:3848986
Lari	id=g:3848987
Estancia La Rhenania	id=g:3848988
Larguía	id=g:3848989
Cerros Largos	id=g:3848990
Cerro Largo Nevado	id=g:3848991
Médano Largo	id=g:3848992
Cerro Largo	id=g:3848993
Cerro Largo	id=g:3848994
Cañadón Largo	id=g:3848995
Barreal Largo	id=g:3848996
Banco Largo	id=g:3848997
Banco Largo	id=g:3848998
Arroyo Largo	id=g:3848999
Estancia Larga Espera	id=g:3849000
Quebrada Larga	id=g:3849001
Quebrada Larga	id=g:3849002
Quebrada Larga	id=g:3849003
Quebrada Larga	id=g:3849004
Loma Larga	id=g:3849005
Loma Larga	id=g:3849006
Loma Larga	id=g:3849007
Loma Larga	id=g:3849008
Loma Larga	id=g:3849009
Loma Larga	id=g:3849010
Loma Larga	id=g:3849011
Laguna Larga	id=g:3849012
Laguna Larga	id=g:3849013
Laguna Larga	id=g:3849014
Laguna Larga	id=g:3849015
Laguna Larga	id=g:3849016
Laguna Larga	id=g:3849017
Laguna Larga	id=g:3849018
Laguna Larga	id=g:3849019
Laguna Larga	id=g:3849020
Laguna Larga	id=g:3849021
Laguna Larga	id=g:3849022
Lago Larga	id=g:3849023
Isla Larga	id=g:3849024
La Revancha	id=g:3849025
La Retama	id=g:3849026
Estancia La Resistencia	id=g:3849027
La Resistencia	id=g:3849028
La Resistencia	id=g:3849029
Estancia La Reserva	id=g:3849030
Estancia La Reserva	id=g:3849031
Estancia La Reserva	id=g:3849032
Estancia La Reserva	id=g:3849033
La Reserva	id=g:3849034
La Reserva	id=g:3849035
Estancia La Resera	id=g:3849036
Cerro Lares	id=g:3849037
Estancia La República	id=g:3849038
La Represita	id=g:3849039
La Represita	id=g:3849040
La Represita	id=g:3849041
La Represita	id=g:3849042
La Represita	id=g:3849043
Puesto La Represa	id=g:3849044
Puesto La Represa	id=g:3849045
Puesto La Represa	id=g:3849046
La Represa	id=g:3849047
La Represa	id=g:3849048
La Represa	id=g:3849049
La Represa	id=g:3849050
La Represa	id=g:3849051
La Represa	id=g:3849052
La Represa	id=g:3849053
La Represa	id=g:3849054
La Represa	id=g:3849055
La Renovación	id=g:3849056
Estancia La Renania	id=g:3849057
Puesto La Remonta	id=g:3849058
Estancia La Reina	id=g:3849059
Estancia La Reina	id=g:3849060
Estancia La Reina	id=g:3849061
La Reina	id=g:3849062
La Reina	id=g:3849063
Estancia La Regina	id=g:3849064
Estancia La Regalona	id=g:3849065
Estancia La Reforma	id=g:3849066
Estancia La Reforma	id=g:3849067
Colonia La Reforma	id=g:3849068
La Reforma	id=g:3849069
La Reforma	id=g:3849070
La Reforma	id=g:3849071
La Reforma	id=g:3849072
La Reforma	id=g:3849073
La Reforma	id=g:3849074
La Reducción	id=g:3849075
La Reducción	id=g:3849076
Estancia La Redención	id=g:3849077
Estancia La Recuperacíon	id=g:3849078
Puesto La Reconquista	id=g:3849079
Estancia La Recompensa	id=g:3849080
Estancia La Recompensa	id=g:3849081
La Recompensa	id=g:3849082
Estancia La Rebelde	id=g:3849083
Estancia La Realidad	id=g:3849084
Estancia La Realidad	id=g:3849085
Estancia La Reacción	id=g:3849086
Larcas	id=g:3849087
Estancia La Razón	id=g:3849088
Estancia La Raquelita	id=g:3849089
Estancia La Raquel	id=g:3849090
Estancia La Raquel	id=g:3849091
Colonia La Raquel	id=g:3849092
La Rápida	id=g:3849093
L. Aranda	id=g:3849094
Estancia La Ramonita	id=g:3849095
La Ramonita	id=g:3849096
Estancia La Ramona	id=g:3849097
Estancia La Ramona	id=g:3849098
Estancia La Ramona	id=g:3849099
Estancia La Ramona	id=g:3849100
Estancia La Ramona	id=g:3849101
Puesto La Ramadita	id=g:3849102
Puesto La Ramadita	id=g:3849103
La Ramadita	id=g:3849104
La Ramadita	id=g:3849105
La Ramadita	id=g:3849106
La Ramadita	id=g:3849107
La Ramadita	id=g:3849108
Ventisquero de La Ramada	id=g:3849109
Sierra de La Ramada	id=g:3849110
Sierra La Ramada	id=g:3849111
Fábrica La Ramada	id=g:3849112
Estancia La Ramada	id=g:3849113
Estancia La Ramada	id=g:3849114
Estancia La Ramada	id=g:3849115
Escuela La Ramada	id=g:3849116
Cordón de La Ramada	id=g:3849117
Colonia La Ramada	id=g:3849118
Cerro de La Ramada	id=g:3849119
Cerro Ramadas	id=g:3849120
Cerro La Ramada	id=g:3849121
La Ramada	id=g:3849122
La Ramada	id=g:3849123
La Ramada	id=g:3849124
La Ramada	id=g:3849125
La Ramada	id=g:3849126
La Ramada	id=g:3849127
La Ramada	id=g:3849128
La Ramada	id=g:3849129
La Ramada	id=g:3849130
Paso La Rama	id=g:3849131
Puesto La Rafaela	id=g:3849132
Río Lara	id=g:3849133
Arroyo La Quinta	id=g:3849134
La Quinta	id=g:3849135
La Quinta	id=g:3849136
La Quinta	id=g:3849137
La Quinta	id=g:3849138
La Quinta	id=g:3849139
La Quiaca	id=g:3849140
Puesto La Quesería	id=g:3849141
Cañadón La Quesería	id=g:3849142
Arroyo La Quesera	id=g:3849143
La Quesera	id=g:3849144
Estancia La Querencia	id=g:3849145
Estancia La Querencia	id=g:3849146
Estancia La Querencia	id=g:3849147
Estancia La Querencia	id=g:3849148
Estancia La Querencia	id=g:3849149
Estancia La Querencia	id=g:3849150
Estancia La Querencia	id=g:3849151
Estancia La Querencia	id=g:3849152
Estancia La Querencia	id=g:3849153
Estancia La Querencia	id=g:3849154
Estancia La Querencia	id=g:3849155
Estancia La Querencia	id=g:3849156
Estancia La Querencia	id=g:3849157
Estancia La Querencia	id=g:3849158
Estancia La Querencia	id=g:3849159
Cañada La Querencia	id=g:3849160
Almacén La Querencia	id=g:3849161
La Querencia	id=g:3849162
La Querencia	id=g:3849163
La Querencia	id=g:3849164
La Quebradita	id=g:3849165
La Quebradita	id=g:3849166
Río La Quebrada	id=g:3849167
Estancia La Quebrada	id=g:3849168
Estancia La Quebrada	id=g:3849169
La Quebrada	id=g:3849170
La Quebrada	id=g:3849171
La Quebrada	id=g:3849172
La Quebrada	id=g:3849173
La Quebrada	id=g:3849174
La Quebrada	id=g:3849175
Estancia La Putxuka	id=g:3849176
Estancia La Purísima	id=g:3849177
La Puri Grada	id=g:3849178
Puesto La Puntilla	id=g:3849179
Estancia La Puntilla	id=g:3849180
La Puntilla	id=g:3849181
La Puntilla	id=g:3849182
La Puntilla	id=g:3849183
La Puntilla	id=g:3849184
La Puntilla	id=g:3849185
Estancia La Punta	id=g:3849186
La Punta	id=g:3849187
Laguna La Punna	id=g:3849188
La Punilla	id=g:3849189
Estancia La Puma	id=g:3849190
Estancia La Puma	id=g:3849191
Almacén La Puma	id=g:3849192
La Puma	id=g:3849193
La Pulpería	id=g:3849194
La Puerta Verde	id=g:3849195
La Puerta de San José	id=g:3849196
La Puerta de Peje	id=g:3849197
La Puerta del Diablo	id=g:3849198
La Puerta Colorada	id=g:3849199
Puesto La Puerta	id=g:3849200
Puesto La Puerta	id=g:3849201
Puesto La Puerta	id=g:3849202
La Puerta	id=g:3849203
La Puerta	id=g:3849204
La Puerta	id=g:3849205
La Puerta	id=g:3849206
La Puerta	id=g:3849207
La Puerta	id=g:3849208
La Puerta	id=g:3849209
La Puerta	id=g:3849210
La Puerta	id=g:3849211
La Puerta	id=g:3849212
La Puerta	id=g:3849213
La Puerta	id=g:3849214
La Puerta	id=g:3849215
La Puerta	id=g:3849216
La Puerta	id=g:3849217
La Puerta	id=g:3849218
La Puerta	id=g:3849219
La Puerta	id=g:3849220
La Puerta	id=g:3849221
La Puerta	id=g:3849222
La Puerta	id=g:3849223
La Puente	id=g:3849224
Estancia La Prusia	id=g:3849225
Laguna La Providencia	id=g:3849226
Estancia La Providencia	id=g:3849227
Estancia La Providencia	id=g:3849228
Estancia La Providencia	id=g:3849229
Estancia La Providencia	id=g:3849230
Estancia La Providencia	id=g:3849231
Estancia La Providencia	id=g:3849232
Estancia La Providencia	id=g:3849233
Colonia La Providencia	id=g:3849234
Chacra La Providencia	id=g:3849235
Almacén La Providencia	id=g:3849236
La Providencia	id=g:3849237
La Providencia	id=g:3849238
La Providencia	id=g:3849239
La Providencia	id=g:3849240
Almacén La Protegida	id=g:3849241
Estancia La Prosperidad	id=g:3849242
La Promesa	id=g:3849243
Estancia La Primitiva	id=g:3849244
Estancia La Primitiva	id=g:3849245
La Primer Laguna	id=g:3849246
Estancia La Primera	id=g:3849247
Estancia La Primera	id=g:3849248
Cremería La Primera	id=g:3849249
La Primera	id=g:3849250
Estancia La Primavera Sur	id=g:3849251
Estancia La Primavera Sur	id=g:3849252
Estancia La Primavera	id=g:3849253
Estancia La Primavera	id=g:3849254
Estancia La Primavera	id=g:3849255
Estancia La Primavera	id=g:3849256
Estancia La Primavera	id=g:3849257
Estancia La Primavera	id=g:3849258
Estancia La Primavera	id=g:3849259
Estancia La Primavera	id=g:3849260
Estancia La Primavera	id=g:3849261
Estancia La Primavera	id=g:3849262
Estancia La Primavera	id=g:3849263
Estancia La Primavera	id=g:3849264
Estancia La Primavera	id=g:3849265
Estancia La Primavera	id=g:3849266
Estancia La Primavera	id=g:3849267
Estancia La Primavera	id=g:3849268
Estancia La Primavera	id=g:3849269
Estancia La Primavera	id=g:3849270
Estancia La Primavera	id=g:3849271
Estancia La Primavera	id=g:3849272
Estancia La Primavera	id=g:3849273
Estancia La Primavera	id=g:3849274
Estancia La Primavera	id=g:3849275
Estancia La Primavera	id=g:3849276
Cabaña La Primavera	id=g:3849277
Almacén La Primavera	id=g:3849278
La Primavera	id=g:3849279
La Primavera	id=g:3849280
La Primavera	id=g:3849281
La Primavera	id=g:3849282
La Primavera	id=g:3849283
La Primavera	id=g:3849284
La Primavera	id=g:3849285
La Primavera	id=g:3849286
La Primavera	id=g:3849287
La Primavera	id=g:3849288
La Primavera	id=g:3849289
La Primavera	id=g:3849290
La Primavera	id=g:3849291
La Primavera	id=g:3849292
La Primavera	id=g:3849293
La Primavera	id=g:3849294
La Primavera	id=g:3849295
La Primavera	id=g:3849296
La Primavera	id=g:3849297
Partido de Laprida	id=g:3849298
Cañada de Laprida	id=g:3849299
Laprida	id=g:3849300
Laprida	id=g:3849301
Cerro La Premia	id=g:3849302
Almacén La Preferida	id=g:3849303
Estancia La Preciosa	id=g:3849304
Estancia La Pradera	id=g:3849305
Colonia La Pradera	id=g:3849306
La Pradera	id=g:3849307
Cordón de La Potrerillos	id=g:3849308
