Tunanitas	id=g:3791117
Fundo La Victoria	id=g:3791206
Fundo La Victoria	id=g:3791207
Granja La Victoria	id=g:3791208
Hacienda La Victoria	id=g:3791209
Hacienda La Victoria	id=g:3791210
Hacienda La Victoria	id=g:3791211
Hacienda La Victoria	id=g:3791212
Hacienda La Victoria	id=g:3791213
Hacienda La Victoria	id=g:3791214
Hacienda La Victoria	id=g:3791215
Hacienda La Victoria	id=g:3791216
Hacienda La Victoria	id=g:3791217
Hacienda La Victoria	id=g:3791218
Hacienda La Victoria	id=g:3791219
Hacienda Victoria	id=g:3791220
Hacienda La Victoria	id=g:3791221
Hacienda La Victoria	id=g:3791222
Hacienda La Victoria	id=g:3791223
La Victoria	id=g:3791224
La Victoria	id=g:3791225
Vaquera Victoria	id=g:3791226
Cañada El Viejo	id=g:3791227
Caño Viejo	id=g:3791228
Río Viejo	id=g:3791229
Hacienda El Vigia	id=g:3791230
Vigilancia	id=g:3791231
Fundo Villa Aurora	id=g:3791232
Hacienda Villa Elba	id=g:3791233
Villa Flor	id=g:3791234
Hacienda Villa Hermosa	id=g:3791235
Hacienda Villa Montero	id=g:3791236
Hacienda Villa Nueva	id=g:3791237
Vaquera Villa Nueva	id=g:3791238
Hacienda Villa Olga	id=g:3791239
Caño Villa	id=g:3791240
Hacienda Villa	id=g:3791241
La Villa	id=g:3791242
Playa Los Villalobos	id=g:3791243
Fundo La Violeta	id=g:3791244
Fundo La Violeta	id=g:3791245
Vaquera La Violeta	id=g:3791246
Fundo Virgen del Carmen	id=g:3791247
La Virgen	id=g:3791248
La Virginia	id=g:3791249
Hato Las Virtudes	id=g:3791250
Hacienda La Vista	id=g:3791251
Hacienda Las Vistas	id=g:3791252
Hacienda Los Vivitos	id=g:3791253
Quebrada El Volcán	id=g:3791254
Hacienda El Yagual Dos	id=g:3791255
Hacienda El Yagual Uno	id=g:3791256
Hacienda El Yagual	id=g:3791257
Hacienda Las Yaguas	id=g:3791258
Hacienda Las Yaguitas	id=g:3791259
Hacienda Yaritagua	id=g:3791260
Hacienda Yaritagua	id=g:3791261
Hacienda Yaritagua	id=g:3791262
Hacienda Yaritagua	id=g:3791263
Caño Yaurana	id=g:3791264
Cienaga de Yauruna	id=g:3791265
Vaquera Yayas	id=g:3791266
Yebagsi	id=g:3791267
Caño Las Yeguas	id=g:3791268
Paso de Las Yeguas	id=g:3791269
Yera	id=g:3791270
Cerro Yolanda	id=g:3791271
Ypsipa	id=g:3791272
Caño La Yuca	id=g:3791273
Fundo Yumar	id=g:3791274
Caño Yurumal	id=g:3791275
Hacienda El Zancudo	id=g:3791276
El Zanjón	id=g:3791277
Hacienda El Zanjón	id=g:3791278
Zanzibar	id=g:3791279
Hacienda Zapara	id=g:3791280
Hacienda Zapotal	id=g:3791281
Hacienda El Zapote	id=g:3791282
La Zona	id=g:3791283
La Zona	id=g:3791284
Caño El Zorro	id=g:3791285
Balneario Zulia Mar	id=g:3791286
Barrio Zulia	id=g:3791287
Granja La Zuliana	id=g:3791288
Hacienda La Zuliana	id=g:3791289
Hacienda La Zuliana	id=g:3791290
Caño Zumbador	id=g:3791291
Río Claro	id=g:3791292
Cerro Cochinos	id=g:3791293
Hato Manuelita	id=g:3791294
Caño Juruaisanuana	id=g:3791295
El Cañafistolo	id=g:3791296
El Cañafistola	id=g:3791297
El Ancón	id=g:3791298
Tivi	id=g:3791299
Hacienda Manatialito	id=g:3791300
Muro de Tierra	id=g:3791301
Tive	id=g:3791302
Isla Catabiti	id=g:3791303
Cerro Seipayi	id=g:3791304
Hacienda Adienis	id=g:3791305
Hacienda Chancay	id=g:3791306
Boca de Palmaritico	id=g:3791307
Mochileros	id=g:3791308
Fundo Caño Pescado	id=g:3791309
Quebrada Los Aceitunos	id=g:3791310
Cienaga Perra Amarrada	id=g:3791311
Laguna El Trapiche	id=g:3791312
Hacienda El Sayón	id=g:3791313
Quebrada Cabimas Atras	id=g:3791314
Hato Cañaflota	id=g:3791315
Río Churuguaro	id=g:3791316
El Abrigo	id=g:3794123
Quebrada La Abundancia	id=g:3794124
Cerro de Acosta	id=g:3794125
Quebrada Las Adjuntas	id=g:3794126
Agua Blanca	id=g:3794127
Agua Blanca	id=g:3794128
Quebrada Agua Blanca	id=g:3794129
Quebrada Agua Colorada	id=g:3794130
Quebrada Agua Dulce	id=g:3794131
Quebrada Agua Fría	id=g:3794132
Quebrada Agua Linda	id=g:3794133
Agua Negra	id=g:3794134
Agua Negra	id=g:3794135
Agua Negra	id=g:3794136
Quebrada Agua Negra	id=g:3794137
Quebrada Agua Negra	id=g:3794138
Quebrada Agua Negra	id=g:3794139
Quebrada Agua Viva	id=g:3794140
Agua Azul	id=g:3794141
Quebrada La Aguila	id=g:3794142
Ahonila	id=g:3794143
Hacienda Los Alamos	id=g:3794144
Albarical	id=g:3794145
El Algarrobo	id=g:3794146
Alto del Río	id=g:3794147
Alto Cerro	id=g:3794148
Cuesta Amarilla	id=g:3794149
Quebrada Amarilla	id=g:3794150
Hacienda El Americano	id=g:3794151
El Amparo	id=g:3794152
Las Animas	id=g:3794153
Quebrada Aracol	id=g:3794154
Fila Araguana	id=g:3794155
Quebrada Araguata	id=g:3794156
Cerro Arenales	id=g:3794157
Arenita	id=g:3794158
Arenosa	id=g:3794159
Serranía de Aroa	id=g:3794160
Sierra de Aroa	id=g:3794161
La Aurora	id=g:3794162
Cerro Azul	id=g:3794163
El Baño	id=g:3794164
Los Bacos	id=g:3794165
Los Bailaderos	id=g:3794166
Quebrada Bajadero	id=g:3794167
La Bandera	id=g:3794168
Baquira	id=g:3794169
Quebrada Baquira	id=g:3794170
Los Baquitos	id=g:3794171
Zanjón Bararida	id=g:3794172
Hacienda Barmisa	id=g:3794173
Barrio Nuevo	id=g:3794174
Quebrada La Bartola	id=g:3794175
Parcelamiento Beliza	id=g:3794176
Parcelamiento Bella Vista	id=g:3794177
Quebrada Bijagual	id=g:3794178
Quebrada La Blanquera	id=g:3794179
Boruare	id=g:3794180
Fila Botalón	id=g:3794181
Quebrada Botalón	id=g:3794182
Hacienda Branger	id=g:3794183
El Brasil	id=g:3794184
Cerro Bucaral	id=g:3794185
Quebrada Bucaral	id=g:3794186
Fila El Bucare	id=g:3794187
Fundo Buchicabure	id=g:3794188
Campamento El Buco	id=g:3794189
Quebrada El Buco	id=g:3794190
Buena Vista	id=g:3794191
Buenos Aires	id=g:3794192
Quebrada La Burra	id=g:3794193
La Burrera	id=g:3794194
La Cañada	id=g:3794195
Quebrada La Cañada	id=g:3794196
Cerro El Cañado	id=g:3794197
Cañaote	id=g:3794198
Cañaveral	id=g:3794199
Los Cañizos	id=g:3794200
Quebrada El Cacao	id=g:3794201
Quebrada El Cachicamo	id=g:3794202
Hacienda Cachimbo	id=g:3794203
Quebrada Cahpano	id=g:3794204
Caicara	id=g:3794205
Hacienda El Cairo	id=g:3794206
Los Cajones	id=g:3794207
Quebrada Calichal	id=g:3794208
Quebrada Camasal	id=g:3794209
Zanjón Cambural	id=g:3794210
Camburito	id=g:3794211
Camburito	id=g:3794212
Fila Camburito	id=g:3794213
Campo Florido	id=g:3794214
Campo Solo	id=g:3794215
Fundo Campo Solo	id=g:3794216
Camunare	id=g:3794217
Zanjón Camunare	id=g:3794218
Quebrada Los Canales	id=g:3794219
Quebrada Canepeo	id=g:3794220
Cangrejito	id=g:3794221
Capotillo	id=g:3794222
Cumbre de Capotillo	id=g:3794223
Cerro Capuchinos	id=g:3794224
Fila Carabobal	id=g:3794225
Quebrada Carabobal	id=g:3794226
Quebrada Caracara	id=g:3794227
Quebrada Caraguire	id=g:3794228
Cerro Caramacate	id=g:3794229
Quebrada Caramacate	id=g:3794230
Quebrada Carampampana	id=g:3794231
Caraquita	id=g:3794232
Caraquita	id=g:3794233
Cararapita	id=g:3794234
El Cardón	id=g:3794235
Caripal	id=g:3794236
Hacienda Los Carlotas	id=g:3794237
Las Carmelitas	id=g:3794238
Hacienda El Carmen	id=g:3794239
Quebrada El Carmen	id=g:3794240
Fila Las Carpas	id=g:3794241
Hacienda La Carpas	id=g:3794242
Hacienda Las Carpas	id=g:3794243
Quebrada Las Carpas	id=g:3794244
Quebrada La Carpas	id=g:3794245
Las Carpitas	id=g:3794246
Casa de Teja	id=g:3794247
Parcelamiento Casa de Teja	id=g:3794248
Hacienda Casa de Zinc	id=g:3794249
Hacienda La Catalana	id=g:3794250
Fila La Catalina	id=g:3794251
Quebrada Cayepano	id=g:3794252
Cayures	id=g:3794253
Quebrada Cedrito	id=g:3794254
Fila El Cedro	id=g:3794255
Zanjón Los Cedros	id=g:3794256
El Ceibal	id=g:3794257
Cerro Los Cerritos	id=g:3794258
Cerro Azul	id=g:3794259
Quebrada Cerro Azul	id=g:3794260
Charaguao	id=g:3794261
El Charal	id=g:3794262
Quebrada El Charal	id=g:3794263
Quebrada Charípano	id=g:3794264
Zanjón del Charo	id=g:3794265
Zanjón El Charo	id=g:3794266
Los Charos	id=g:3794267
Chimboral	id=g:3794268
Quebrada Los Chingos	id=g:3794269
Quebrada Chirimague	id=g:3794270
Quebrada Chivacure	id=g:3794271
Quebrada Chivacurito	id=g:3794272
Fila Chorrerón	id=g:3794273
Quebrada El Chorrerón	id=g:3794274
Los Chorrerones	id=g:3794275
Quebrada Chuponal	id=g:3794276
Quebrada Chupulun	id=g:3794277
Cerro El Cilindro	id=g:3794278
Cinco Lomas	id=g:3794279
El Cincuenta y Ocho	id=g:3794280
El Cincuenta	id=g:3794281
Hacienda Cobalongo	id=g:3794282
Quebrada El Cobre	id=g:3794283
La Cochinera	id=g:3794284
Río Cocorote	id=g:3794285
Quebrada Cocorotico	id=g:3794286
Río Cocorotico	id=g:3794287
Quebrada Cocoté	id=g:3794288
Río Cocoté	id=g:3794289
Quebrada Cocuy	id=g:3794290
Cola de Pato	id=g:3794291
Colonia Agrícola Yumare	id=g:3794292
Zanjón Colorado	id=g:3794293
Los Colorados	id=g:3794294
Quebrada Los Colorados	id=g:3794295
El Combo	id=g:3794296
Las Compuertas	id=g:3794297
Quebrada Las Compuertas	id=g:3794298
Hacienda La Concepción	id=g:3794299
Cerro La Concordia	id=g:3794300
Zanjón del Copey	id=g:3794301
Hacienda El Corozo	id=g:3794302
Quebrada El Corozo	id=g:3794303
Quebrada El Cristo	id=g:3794304
Los Cruceros	id=g:3794305
Quebrada Cruz Verde	id=g:3794306
Las Cuatro Bocas	id=g:3794307
Cerro Cubiro	id=g:3794308
Quebrada Cubiro	id=g:3794309
Cerro El Cucurucho	id=g:3794310
Cujisal	id=g:3794311
Hacienda La Cumaca	id=g:3794312
La Cumaca	id=g:3794313
Zanjón de Cumaripa	id=g:3794314
Quebrada de Cupa	id=g:3794315
Las Dantas	id=g:3794316
Quebrada Las Dantas	id=g:3794317
Desparranaderro	id=g:3794318
Dividive	id=g:3794319
Asentamiento Doña Paula	id=g:3794320
Asentamiento Doña Paula	id=g:3794321
Parcelamiento Durute	id=g:3794322
Encrucijada de Chivacoa	id=g:3794323
Caño El Eneal	id=g:3794324
Quebrada Entrenera	id=g:3794325
El Escondido	id=g:3794326
Hacienda La Esmeralda	id=g:3794327
La Esmeralda	id=g:3794328
Hacienda La Esperanza	id=g:3794329
Hacienda La Esperanza	id=g:3794330
Quebrada Eusebio	id=g:3794331
Fariño	id=g:3794332
Quebrada Feberiqueña	id=g:3794333
Feliciana	id=g:3794334
El Filón	id=g:3794335
Hacienda El Filón	id=g:3794336
Hacienda Las Flores	id=g:3794337
La Florida	id=g:3794338
Hacienda La Fontanera	id=g:3794339
Cerro La Fragua	id=g:3794340
La Fragua	id=g:3794341
Quebrada El Fraile	id=g:3794342
El Frío	id=g:3794343
Hacienda El Frío	id=g:3794344
Hacienda La Gaita	id=g:3794345
Gavilán	id=g:3794346
Cerro Gavilán	id=g:3794347
Quebrada Gavilán	id=g:3794348
La Giralda	id=g:3794349
Hacienda Gonzalera	id=g:3794350
Cerro Grande	id=g:3794351
Quebrada Grande	id=g:3794352
Río Grande	id=g:3794353
Granja Granica	id=g:3794354
Fila Grateroleña	id=g:3794355
Quebrada Guabina	id=g:3794356
Guacamaya	id=g:3794358
Hacienda Guadalupe	id=g:3794359
Quebrada La Guafa	id=g:3794360
Quebrada Las Guafitas	id=g:3794361
Hacienda El Guaquiro	id=g:3794362
Hacienda Guaraba	id=g:3794363
Fila Guarabao	id=g:3794364
Río Guarabao	id=g:3794365
El Guarapo	id=g:3794366
Quebrada Guararute	id=g:3794367
Quebrada La Guaratara	id=g:3794368
Guaratarito	id=g:3794369
Quebrada Guaratarito	id=g:3794370
El Guarataro	id=g:3794371
Quebrada Guarativana	id=g:3794372
Guaremal	id=g:3794373
Embalse Guaremal	id=g:3794374
Quebrada Guaremal	id=g:3794375
Quebrada Guaremalito	id=g:3794376
Zanjón Guasopa	id=g:3794377
Guayabal	id=g:3794378
Parcelamiento Guayabal	id=g:3794379
Zanjón Guayabal	id=g:3794380
Guayabalito	id=g:3794381
Quebrada Guayabito	id=g:3794382
Guayabito	id=g:3794383
Fundo Guayebo	id=g:3794384
La Guayonera	id=g:3794385
Quebrada Guayonera	id=g:3794386
Parcelamiento Guayurebo	id=g:3794387
Guerrero	id=g:3794388
Río El Hacha	id=g:3794389
Hacienda El Hatico	id=g:3794390
Quebrada El Hatico	id=g:3794391
Higuerón	id=g:3794392
Cerro Higuerón	id=g:3794393
Quebrada Honda	id=g:3794394
Quebrada Honda	id=g:3794395
Fila de Los Horcones	id=g:3794396
La Horqueta	id=g:3794397
Iboa	id=g:3794398
Quebrada Iboa	id=g:3794399
Zanjón El Infiernito	id=g:3794400
El Ingenio	id=g:3794401
El Jaguey	id=g:3794402
Hacienda La Jimenera	id=g:3794403
Parcelamiento Joboliso	id=g:3794404
Juan Díaz	id=g:3794405
Quebrada Juan Felix	id=g:3794406
Quebrada La Juanera	id=g:3794407
Cerro Justina	id=g:3794408
Quebrada La Justina	id=g:3794409
Laguna Morada	id=g:3794410
La Laguna	id=g:3794411
La Laguna	id=g:3794412
Quebrada Lagunazo	id=g:3794413
Quebrada Las Lapas	id=g:3794414
Cumbre Lara	id=g:3794415
Cerro La Leonera	id=g:3794416
El Líbano	id=g:3794417
Quebrada El Líbano	id=g:3794418
Libertad	id=g:3794419
La Libertad	id=g:3794420
Quebrada La Linda	id=g:3794421
Quebrada Lorca	id=g:3794422
Parcelamiento La Lucha	id=g:3794423
Zanjón de Lugo	id=g:3794424
Quebrada Las Luisas	id=g:3794425
Hacienda Macagua	id=g:3794426
Río Macagua	id=g:3794427
Hacienda El Machetazo	id=g:3794428
Macuay	id=g:3794429
Quebrada Mamonal	id=g:3794430
Mamoncito	id=g:3794431
Manantial	id=g:3794432
Quebrada La Mapora	id=g:3794433
Maporal	id=g:3794434
La Maporita	id=g:3794435
Quebrada Maporita	id=g:3794436
Quebrada Maraña	id=g:3794437
Quebrada Maracaicito	id=g:3794438
Río Marcano	id=g:3794439
Hacienda La Marroquina	id=g:3794440
Zanjón Mata Caballo	id=g:3794441
Mata de Cambur	id=g:3794442
Quebrada Mataguara	id=g:3794443
Quebrada Matarerebo	id=g:3794444
Quebrada La Matera	id=g:3794445
Hacienda La Mayera	id=g:3794446
Escuela Granja Mayorica	id=g:3794447
Río Mayorica	id=g:3794448
Zanjón Mayurari	id=g:3794449
Mejico	id=g:3794450
Quebrada Mejico	id=g:3794451
Parcelamiento Mensura	id=g:3794452
Cerro Las Mercedes	id=g:3794453
Estancia Las Mercedes	id=g:3794454
Quebrada Las Mercedes	id=g:3794455
Hacienda Mesa	id=g:3794456
Quebrada Mijagual	id=g:3794457
El Milagro	id=g:3794458
La Mina	id=g:3794459
Las Minas	id=g:3794460
Las Minas	id=g:3794461
Las Minas	id=g:3794462
Quebrada Las Minas	id=g:3794463
Quebrada La Molinera	id=g:3794464
Cumbre Monte Carmelo	id=g:3794465
Monte Oscuro	id=g:3794466
Fila Los Morritos	id=g:3794467
Los Morritos	id=g:3794468
Cerro Los Morros	id=g:3794469
Los Morros	id=g:3794470
La Mosca	id=g:3794471
Fila Moyetonero	id=g:3794472
El Naranjal	id=g:3794473
Hacienda Naranjal	id=g:3794474
Hacienda Naranjal	id=g:3794475
Caño Negro	id=g:3794476
Cerro Negro	id=g:3794477
Macizo de Nirgua	id=g:3794478
Quebrada Nonavana	id=g:3794479
Quebrada El Novillo	id=g:3794480
Río Nuare	id=g:3794481
Nuevo Mundo	id=g:3794482
Cerro Ñajosefa	id=g:3794483
Cerro La Ñamera	id=g:3794484
Oricao	id=g:3794485
Quebrada de Oro	id=g:3794486
Río de Oro	id=g:3794487
Orubal	id=g:3794488
Quebrada Orubal	id=g:3794489
Oruje	id=g:3794490
Río Oruje	id=g:3794491
Pabellón	id=g:3794492
Quebrada La Pablera	id=g:3794493
Hacienda Padilla	id=g:3794494
Quebrada Padilla	id=g:3794495
El Pajón	id=g:3794496
El Pajón	id=g:3794497
Panjoncito	id=g:3794498
Palma Sola	id=g:3794499
Cerro Palma Sola	id=g:3794500
Hacienda La Palma	id=g:3794501
La Palma	id=g:3794502
La Palma	id=g:3794503
Hacienda El Palmar	id=g:3794504
Quebrada El Palmar	id=g:3794505
Hacienda Palmarito	id=g:3794506
Quebrada Las Palmas	id=g:3794507
Quebrada Palmasola	id=g:3794508
Fila Palmichal	id=g:3794509
Cerro La Palmita	id=g:3794510
Palo Quemado	id=g:3794511
Quebrada Palo Quemado	id=g:3794512
La Pantalonera	id=g:3794513
Fila El Papagayo	id=g:3794514
Quebrada Paraguito	id=g:3794515
Quebrada El Paramo	id=g:3794516
Quebrada Las Parchitas	id=g:3794517
Hacienda La Parreña	id=g:3794518
Hacienda La Parreña	id=g:3794519
Cerro Partido	id=g:3794520
Paso de Agua	id=g:3794521
Cerro Pata de León	id=g:3794522
Fundo La Patricia	id=g:3794523
El Pauji	id=g:3794524
Paujicito	id=g:3794525
Paujicito	id=g:3794526
La Paula	id=g:3794527
Cerro Las Pavas	id=g:3794528
Payare	id=g:3794529
Quebrada La Peña	id=g:3794530
La Peñita	id=g:3794531
El Pegón	id=g:3794532
Zanjón Pegón	id=g:3794533
Loma Pelada	id=g:3794534
Hacienda La Pereza	id=g:3794535
Fila Petinera	id=g:3794536
Quebrada Petinera	id=g:3794537
EL Picacho	id=g:3794538
Quebrada Piedrita Blanca	id=g:3794539
El Piritu	id=g:3794540
La Pitajaya	id=g:3794541
Pitiguao	id=g:3794542
Quebrada El Placer	id=g:3794543
Los Planes	id=g:3794544
Los Planes	id=g:3794545
Cerro Las Planetas	id=g:3794546
Los Planetas	id=g:3794547
Quebrada Los Planetas	id=g:3794548
Platanales	id=g:3794549
El Playón	id=g:3794550
Quebrada El Playón	id=g:3794551
Poapoa	id=g:3794552
Quebrada Poapoa	id=g:3794553
Poblado 22	id=g:3794554
Cerro El Pontero	id=g:3794555
Pontezuela	id=g:3794556
Potreritos	id=g:3794557
Cerro El Pozón	id=g:3794558
El Pozón	id=g:3794559
Pueblo Nuevo	id=g:3794560
Quebrada Pueblo Nuevo	id=g:3794561
Puente Tonono	id=g:3794562
Las Puertas	id=g:3794563
Punto Rico	id=g:3794564
Hacienda Quebrada Amarilla	id=g:3794565
Quebrada El Quebradón	id=g:3794566
Quebrada El Quebradón	id=g:3794567
Quebrada El Quebradón	id=g:3794568
Quebrada El Quebradón	id=g:3794569
Río Quiñoncito	id=g:3794570
Quibayo	id=g:3794571
Quebrada Quibayo	id=g:3794572
Las Quisandas	id=g:3794573
Río El Riito	id=g:3794574
Hacienda Rincón Hondo	id=g:3794575
La Rinconada	id=g:3794576
Río Arriba	id=g:3794577
Río Grande	id=g:3794578
Quebrada Roca Bella	id=g:3794579
El Rodeo	id=g:3794580
El Rodeo	id=g:3794581
El Rodeo	id=g:3794582
Parcelamiento El Rodeo	id=g:3794583
Cerro El Rosario	id=g:3794584
Quebrada El Rosario	id=g:3794585
Hacienda La Rosita	id=g:3794586
Sabana de Mendez	id=g:3794587
Sabana de Tiquire	id=g:3794588
Sabana Dulce	id=g:3794589
Sabana Larga	id=g:3794590
Cerro La Sabana	id=g:3794591
Hacienda Sabanetón	id=g:3794592
Sabanita	id=g:3794593
Hacienda La Sabanita	id=g:3794594
La Sabanita	id=g:3794595
Río Salado	id=g:3794596
Quebrada El Saleño	id=g:3794597
Río Salom	id=g:3794598
El Salto	id=g:3794599
Quebrada El Salto	id=g:3794600
Hacienda Salvador	id=g:3794601
San Antonio	id=g:3794602
San Antonio	id=g:3794603
Quebrada San Antonio	id=g:3794604
San Jerónimo	id=g:3794605
Parcelamiento San Jerónimo	id=g:3794606
Quebrada San Joaquín	id=g:3794607
San José	id=g:3794608
San Juan	id=g:3794609
San Lorenzo	id=g:3794610
San Luis	id=g:3794611
San Luis	id=g:3794612
San Luis	id=g:3794613
Hacienda San Nicolás	id=g:3794614
San Pablo	id=g:3794615
San Pablo	id=g:3794616
Quebrada San Pablo	id=g:3794617
Río San Pablo	id=g:3794618
Hacienda San Pedrito	id=g:3794619
Agropecuaria San Pedro	id=g:3794620
Fila San Pedro	id=g:3794621
San Quintín	id=g:3794622
Quebrada San Quintín	id=g:3794623
San Rafael	id=g:3794624
San Rafael	id=g:3794625
San Rafael	id=g:3794626
Quebrada San Rafael	id=g:3794627
Quebrada Sanchon	id=g:3794628
Sanguijuela	id=g:3794629
Hacienda Santa Ana	id=g:3794630
Santa Bárbara	id=g:3794631
Fundo Santa Catalina	id=g:3794632
Santa Lucía	id=g:3794633
Santa Lucía	id=g:3794634
Granja Santa María	id=g:3794635
Hacienda Santa María	id=g:3794636
Quebrada Santa María	id=g:3794637
Santa Rita	id=g:3794638
Santa Rosa	id=g:3794639
Hacienda Santa Rosa	id=g:3794640
Santa Teresa	id=g:3794641
Hacienda Santana	id=g:3794642
Santo Domingo	id=g:3794643
Quebrada Los Santos	id=g:3794644
Río Sarare	id=g:3794645
Quebrada Seca	id=g:3794646
Quebrada Seca	id=g:3794647
Quebrada Seca	id=g:3794648
Quebrada Seca	id=g:3794649
Quebrada Seca	id=g:3794650
Quebrada Seca	id=g:3794651
Quebrada Seca	id=g:3794652
El Silencio	id=g:3794653
El Silencio	id=g:3794654
Cerro La Soledad	id=g:3794655
Hacienda La Soledad	id=g:3794656
Sorte	id=g:3794657
Cerro de Sorte	id=g:3794658
Quebrada de Sorte	id=g:3794659
Tacariguita	id=g:3794661
Quebrada Taitepano	id=g:3794662
Finca La Tapias	id=g:3794663
Cerro Taracoa	id=g:3794664
Quebrada Taracoa	id=g:3794665
Quebrada Taracoa	id=g:3794666
Río Taría	id=g:3794667
Teteiba	id=g:3794668
Hacienda Tibana	id=g:3794669
Hacienda Tibisay	id=g:3794670
Tierra Fría	id=g:3794671
Tierritas Blancas	id=g:3794672
Quebrada La Tigra	id=g:3794673
Laguna El Tigre	id=g:3794674
Río El Tigre	id=g:3794675
El Tigrito	id=g:3794676
Quebrada Tinajar	id=g:3794677
Hacienda La Tirilla	id=g:3794678
Titiara	id=g:3794679
Quebrada Titiara	id=g:3794680
Titiaral	id=g:3794681
Fila Titiaral	id=g:3794682
Titiaras Altas	id=g:3794683
Quebrada Tomasera	id=g:3794684
Torbellan	id=g:3794685
Cerro El Torito	id=g:3794686
El Torito	id=g:3794687
Fila El Torito	id=g:3794688
Totumillo	id=g:3794689
Fila El Trapichito	id=g:3794690
Hacienda La Trilla	id=g:3794691
La Trinidad	id=g:3794692
El Trompillo	id=g:3794693
Quebrada El Trompillo	id=g:3794694
Río Trujillito	id=g:3794695
Quebrada Tucarigua	id=g:3794696
Río Tucauvo	id=g:3794697
Hacienda Tucuragua	id=g:3794698
Tumanavare	id=g:3794699
Tupe Bucharal	id=g:3794700
El Tuque	id=g:3794701
Urapal	id=g:3794702
Uraya	id=g:3794703
Quebrada Uribeque	id=g:3794704
Hacienda Uriman	id=g:3794705
Quebrada La Vaca	id=g:3794706
Quebrada La Vaca	id=g:3794707
Quebrada El Vapor	id=g:3794708
La Vega	id=g:3794709
Quebrada Las Vegas	id=g:3794710
Los Vegones	id=g:3794711
Hacienda La Venezolana	id=g:3794712
Veragacha	id=g:3794713
La Victoria	id=g:3794714
Quebrada La Victoria	id=g:3794715
Quebrada La Victoria	id=g:3794716
Quebrada La Virgen	id=g:3794717
Montaña Yagrumal	id=g:3794718
Las Yaguas	id=g:3794719
Quebrada Las Yaguas	id=g:3794720
Quebrada Las Yaguas	id=g:3794721
Fundo Yamaro	id=g:3794722
Quebrada Yamaro	id=g:3794723
Ganadería Yaracuy	id=g:3794724
Río Yaracuy	id=g:3794725
Quebrada Yature	id=g:3794726
Fila de Yuca	id=g:3794727
