Cervera del Río Alhama	id=g:6359037
Árchez	id=g:6359421
Archidona	id=g:6359422
Ardales	id=g:6359423
Arenas	id=g:6359424
Arriate	id=g:6359425
Atajate	id=g:6359426
Benadalid	id=g:6359427
Benahavís	id=g:6359428
Benalauría	id=g:6359429
Benalmádena	id=g:6359430
Benamargosa	id=g:6359431
Benamocarra	id=g:6359432
Benaoján	id=g:6359433
Benarrabá	id=g:6359434
Borge (El)	id=g:6359435
Burgo (El)	id=g:6359436
Campillos	id=g:6359437
Canillas de Aceituno	id=g:6359438
Canillas de Albaida	id=g:6359439
Cañete la Real	id=g:6359440
Carratraca	id=g:6359441
Cartajima	id=g:6359442
Cártama	id=g:6359443
Casabermeja	id=g:6359444
Casarabonela	id=g:6359445
Casares	id=g:6359446
Coín	id=g:6359447
Colmenar	id=g:6359448
Comares	id=g:6359449
Cómpeta	id=g:6359450
Cortes de la Frontera	id=g:6359451
Cuevas Bajas	id=g:6359452
Cuevas del Becerro	id=g:6359453
Cuevas de San Marcos	id=g:6359454
Cútar	id=g:6359455
Estepona	id=g:6359456
Faraján	id=g:6359457
Frigiliana	id=g:6359458
Fuengirola	id=g:6359459
Fuente de Piedra	id=g:6359460
Gaucín	id=g:6359461
Genalguacil	id=g:6359462
Guaro	id=g:6359463
Humilladero	id=g:6359464
Igualeja	id=g:6359465
Istán	id=g:6359466
Iznate	id=g:6359467
Jimera de Líbar	id=g:6359468
Jubrique	id=g:6359469
Júzcar	id=g:6359470
Macharaviaya	id=g:6359471
Málaga	id=g:6359472
Manilva	id=g:6359473
Marbella	id=g:6359474
Mijas	id=g:6359475
Moclinejo	id=g:6359476
Mollina	id=g:6359477
Monda	id=g:6359478
Montejaque	id=g:6359479
Nerja	id=g:6359480
Ojén	id=g:6359481
Parauta	id=g:6359482
Periana	id=g:6359483
Pizarra	id=g:6359484
Pujerra	id=g:6359485
Rincón de la Victoria	id=g:6359486
Riogordo	id=g:6359487
Ronda	id=g:6359488
Salares	id=g:6359489
Sayalonga	id=g:6359490
Sedella	id=g:6359491
Sierra de Yeguas	id=g:6359492
Teba	id=g:6359493
Tolox	id=g:6359494
Torrox	id=g:6359495
Totalán	id=g:6359496
Valle de Abdalajís	id=g:6359497
Vélez-Málaga	id=g:6359498
Villanueva de Algaidas	id=g:6359499
Villanueva del Rosario	id=g:6359500
Villanueva del Trabuco	id=g:6359501
Villanueva de Tapia	id=g:6359502
Viñuela	id=g:6359503
Yunquera	id=g:6359504
Torremolinos	id=g:6359505
Abanilla	id=g:6359506
Abarán	id=g:6359507
Águilas	id=g:6359508
Albudeite	id=g:6359509
Alcantarilla	id=g:6359510
Aledo	id=g:6359511
Alguazas	id=g:6359512
Alhama de Murcia	id=g:6359513
Archena	id=g:6359514
Beniel	id=g:6359515
Blanca	id=g:6359516
Bullas	id=g:6359517
Calasparra	id=g:6359518
Campos del Río	id=g:6359519
Caravaca de la Cruz	id=g:6359520
Cartagena	id=g:6359521
Cehegín	id=g:6359522
Ceutí	id=g:6359523
Cieza	id=g:6359524
Fortuna	id=g:6359525
Fuente Álamo de Murcia	id=g:6359526
Jumilla	id=g:6359527
Librilla	id=g:6359528
Lorca	id=g:6359529
Lorquí	id=g:6359530
Mazarrón	id=g:6359531
Molina de Segura	id=g:6359532
Moratalla	id=g:6359533
Mula	id=g:6359534
Ojós	id=g:6359535
Pliego	id=g:6359536
Puerto Lumbreras	id=g:6359537
Ricote	id=g:6359538
San Javier	id=g:6359539
San Pedro del Pinatar	id=g:6359540
Torre-Pacheco	id=g:6359541
Torres de Cotillas (Las)	id=g:6359542
Totana	id=g:6359543
Ulea	id=g:6359544
Unión (La)	id=g:6359545
Villanueva del Río Segura	id=g:6359546
Yecla	id=g:6359547
Santomera	id=g:6359548
Alcázares (Los)	id=g:6359549
Abáigar	id=g:6359550
Abárzuza	id=g:6359551
Abaurregaina/Abaurrea Alta	id=g:6359552
Abaurrepea/Abaurrea Baja	id=g:6359553
Aberin	id=g:6359554
Ablitas	id=g:6359555
Adiós	id=g:6359556
Aguilar de Codés	id=g:6359557
Aibar/Oibar	id=g:6359558
Altsasu/Alsasua	id=g:6359559
Allín	id=g:6359560
Allo	id=g:6359561
Améscoa Baja	id=g:6359562
Ancín	id=g:6359563
Andosilla	id=g:6359564
Ansoáin	id=g:6359565
Anue	id=g:6359566
Añorbe	id=g:6359567
Aoiz/Agoitz	id=g:6359568
Araitz	id=g:6359569
Aranarache	id=g:6359570
Arantza	id=g:6359571
Aranguren	id=g:6359572
Arano	id=g:6359573
Arakil	id=g:6359574
Aras	id=g:6359575
Arbizu	id=g:6359576
Arce/Artzi	id=g:6359577
Arcos (Los)	id=g:6359578
Arellano	id=g:6359579
Areso	id=g:6359580
Arguedas	id=g:6359581
Aria	id=g:6359582
Aribe	id=g:6359583
Armañanzas	id=g:6359584
Arróniz	id=g:6359585
Arruazu	id=g:6359586
Artajona	id=g:6359587
Artazu	id=g:6359588
Atez	id=g:6359589
Ayegui	id=g:6359590
Azagra	id=g:6359591
Azuelo	id=g:6359592
Bakaiku	id=g:6359593
Barásoain	id=g:6359594
Barbarin	id=g:6359595
Bargota	id=g:6359596
Barillas	id=g:6359597
Basaburua	id=g:6359598
Beire	id=g:6359599
Belascoáin	id=g:6359600
Berbinzana	id=g:6359601
Bertizarana	id=g:6359602
Betelu	id=g:6359603
Biurrun-Olcoz	id=g:6359604
Buñuel	id=g:6359605
Auritz/Burguete	id=g:6359606
Burgui/Burgi	id=g:6359607
Burlada/Burlata	id=g:6359608
Busto (El)	id=g:6359609
Cabanillas	id=g:6359610
Cabredo	id=g:6359611
Cadreita	id=g:6359612
Caparroso	id=g:6359613
Cárcar	id=g:6359614
Carcastillo	id=g:6359615
Cascante	id=g:6359616
Cáseda	id=g:6359617
Castejón	id=g:6359618
Castillonuevo	id=g:6359619
Cintruénigo	id=g:6359620
Ziordia	id=g:6359621
Cirauqui	id=g:6359622
Ciriza	id=g:6359623
Cizur	id=g:6359624
Corella	id=g:6359625
Cortes	id=g:6359626
Desojo	id=g:6359627
Dicastillo	id=g:6359628
Donamaria	id=g:6359629
Etxalar	id=g:6359630
Echarri	id=g:6359631
Etxarri-Aranatz	id=g:6359632
Etxauri	id=g:6359633
Egüés	id=g:6359634
Elgorriaga	id=g:6359635
Noáin (Valle de Elorz)/Noain (Elortzibar)	id=g:6359636
Enériz	id=g:6359637
Eratsun	id=g:6359638
Ergoiena	id=g:6359639
Erro	id=g:6359640
Ezcároz/Ezkaroze	id=g:6359641
Eslava	id=g:6359642
Esparza de Salazar	id=g:6359643
Espronceda	id=g:6359644
Estella/Lizarra	id=g:6359645
Esteribar	id=g:6359646
Etayo	id=g:6359647
Eulate	id=g:6359648
Ezcabarte	id=g:6359649
Ezkurra	id=g:6359650
Ezprogui	id=g:6359651
Falces	id=g:6359652
Fitero	id=g:6359653
Fontellas	id=g:6359654
Funes	id=g:6359655
Fustiñana	id=g:6359656
Galar	id=g:6359657
Gallipienzo	id=g:6359658
Gallués/Galoze	id=g:6359659
Garaioa	id=g:6359660
Garde	id=g:6359661
Garínoain	id=g:6359662
Garralda	id=g:6359663
Genevilla	id=g:6359664
Goizueta	id=g:6359665
Goñi	id=g:6359666
Güesa/Gorza	id=g:6359667
Guesálaz	id=g:6359668
Guirguillano	id=g:6359669
Huarte/Uharte	id=g:6359670
Uharte-Arakil	id=g:6359671
Ibargoiti	id=g:6359672
Igúzquiza	id=g:6359673
Imotz	id=g:6359674
Irañeta	id=g:6359675
Isaba/Izaba	id=g:6359676
Ituren	id=g:6359677
Iturmendi	id=g:6359678
Iza	id=g:6359679
Izagaondoa	id=g:6359680
Izalzu/Itzaltzu	id=g:6359681
Jaurrieta	id=g:6359682
Javier	id=g:6359683
Juslapeña	id=g:6359684
Beintza-Labaien	id=g:6359685
Lakuntza	id=g:6359686
Lana	id=g:6359687
Lantz	id=g:6359688
Lapoblación	id=g:6359689
Larraga	id=g:6359690
Larraona	id=g:6359691
Larraun	id=g:6359692
Lazagurría	id=g:6359693
Leache	id=g:6359694
Legarda	id=g:6359695
Legaria	id=g:6359696
Leitza	id=g:6359697
Leoz	id=g:6359698
Lerga	id=g:6359699
Lerín	id=g:6359700
Lesaka	id=g:6359701
Lezáun	id=g:6359702
Liédena	id=g:6359703
Lizoáin	id=g:6359704
Lodosa	id=g:6359705
Lónguida/Longida	id=g:6359706
Lumbier	id=g:6359707
Luquin	id=g:6359708
Mañeru	id=g:6359709
Marañón	id=g:6359710
Marcilla	id=g:6359711
Mélida	id=g:6359712
Mendavia	id=g:6359713
Mendaza	id=g:6359714
Mendigorría	id=g:6359715
Metauten	id=g:6359716
Milagro	id=g:6359717
Mirafuentes	id=g:6359718
Miranda de Arga	id=g:6359719
Monreal	id=g:6359720
Monteagudo	id=g:6359721
Morentin	id=g:6359722
Mues	id=g:6359723
Murchante	id=g:6359724
Murieta	id=g:6359725
Murillo el Cuende	id=g:6359726
Murillo el Fruto	id=g:6359727
Muruzábal	id=g:6359728
Navascués	id=g:6359729
Nazar	id=g:6359730
Obanos	id=g:6359731
Oco	id=g:6359732
Ochagavía	id=g:6359733
Odieta	id=g:6359734
Oitz	id=g:6359735
Olaibar	id=g:6359736
Olazti/Olazagutía	id=g:6359737
Olejua	id=g:6359738
Olite	id=g:6359739
Olóriz	id=g:6359740
Olza	id=g:6359741
Ollo	id=g:6359742
Orbaitzeta	id=g:6359743
Orbara	id=g:6359744
Orísoain	id=g:6359745
Oronz	id=g:6359746
Oroz-Betelu	id=g:6359747
Oteiza	id=g:6359748
Pamplona	id=g:6359749
Peralta	id=g:6359750
Petilla de Aragón	id=g:6359751
Piedramillera	id=g:6359752
Pitillas	id=g:6359753
Puente la Reina/Gares	id=g:6359754
Pueyo	id=g:6359755
Ribaforada	id=g:6359756
Romanzado	id=g:6359757
Roncal/Erronkari	id=g:6359758
Orreaga/Roncesvalles	id=g:6359759
Sada	id=g:6359760
Saldías	id=g:6359761
Salinas de Oro	id=g:6359762
San Adrián	id=g:6359763
Sangüesa/Zangoza	id=g:6359764
San Martín de Unx	id=g:6359765
Sansol	id=g:6359766
Santacara	id=g:6359767
Doneztebe/Santesteban	id=g:6359768
Sarriés/Sartze	id=g:6359769
Sartaguda	id=g:6359770
Sesma	id=g:6359771
Sorlada	id=g:6359772
Sunbilla	id=g:6359773
Tafalla	id=g:6359774
Tiebas-Muruarte de Reta	id=g:6359775
Tirapu	id=g:6359776
Torralba del Río	id=g:6359777
Torres del Río	id=g:6359778
Tudela	id=g:6359779
Tulebras	id=g:6359780
Ucar	id=g:6359781
Ujué	id=g:6359782
Ultzama	id=g:6359783
Unciti	id=g:6359784
Unzué	id=g:6359785
Urdazubi/Urdax	id=g:6359786
Urdiain	id=g:6359787
Urraul Alto	id=g:6359788
Urraul Bajo	id=g:6359789
Urroz-Villa	id=g:6359790
Urrotz	id=g:6359791
Urzainqui	id=g:6359792
Uterga	id=g:6359793
Uztárroz/Uztarroze	id=g:6359794
Luzaide/Valcarlos	id=g:6359795
Valtierra	id=g:6359796
Bera/Vera de Bidasoa	id=g:6359797
Viana	id=g:6359798
Vidángoz/Bidankoze	id=g:6359799
Bidaurreta	id=g:6359800
Villafranca	id=g:6359801
Villamayor de Monjardín	id=g:6359802
Hiriberri/Villanueva de Aezkoa	id=g:6359803
Villatuerta	id=g:6359804
Igantzi	id=g:6359806
Yerri	id=g:6359807
Yesa	id=g:6359808
Zabalza	id=g:6359809
Zubieta	id=g:6359810
Zugarramurdi	id=g:6359811
Zúñiga	id=g:6359812
Barañain	id=g:6359813
Berrioplano	id=g:6359814
Berriozar	id=g:6359815
Beriáin	id=g:6359816
Orkoien	id=g:6359817
Zizur Mayor/Zizur Nagusia	id=g:6359818
Lekunberri	id=g:6359819
Amoeiro	id=g:6359820
Arnoia (A)	id=g:6359821
Avión	id=g:6359822
Baltar	id=g:6359823
Bande	id=g:6359824
Baños de Molgas	id=g:6359825
Barbadás	id=g:6359826
Barco de Valdeorras (O)	id=g:6359827
Beade	id=g:6359828
Beariz	id=g:6359829
Blancos (Os)	id=g:6359830
Boborás	id=g:6359831
Bola (A)	id=g:6359832
Bolo (O)	id=g:6359833
Calvos de Randín	id=g:6359834
Carballeda de Valdeorras	id=g:6359835
Carballeda de Avia	id=g:6359836
Carballiño (O)	id=g:6359837
Cartelle	id=g:6359838
Castrelo do Val	id=g:6359839
Castrelo de Miño	id=g:6359840
Castro Caldelas	id=g:6359841
Celanova	id=g:6359842
Cenlle	id=g:6359843
Coles	id=g:6359844
Cortegada	id=g:6359845
Cualedro	id=g:6359846
Chandrexa de Queixa	id=g:6359847
Entrimo	id=g:6359848
Esgos	id=g:6359849
Xinzo de Limia	id=g:6359850
Gomesende	id=g:6359851
Gudiña (A)	id=g:6359852
Irixo (O)	id=g:6359853
Xunqueira de Ambía	id=g:6359854
Xunqueira de Espadanedo	id=g:6359855
Larouco	id=g:6359856
Laza	id=g:6359857
Leiro	id=g:6359858
Lobeira	id=g:6359859
Lobios	id=g:6359860
Maceda	id=g:6359861
Manzaneda	id=g:6359862
Maside	id=g:6359863
Melón	id=g:6359864
Merca (A)	id=g:6359865
Mezquita (A)	id=g:6359866
Montederramo	id=g:6359867
Monterrei	id=g:6359868
Muíños	id=g:6359869
Nogueira de Ramuín	id=g:6359870
Oímbra	id=g:6359871
Ourense	id=g:6359872
Padrenda	id=g:6359873
Parada de Sil	id=g:6359874
Pereiro de Aguiar (O)	id=g:6359875
Peroxa (A)	id=g:6359876
Petín	id=g:6359877
Piñor	id=g:6359878
Porqueira	id=g:6359879
Pobra de Trives (A)	id=g:6359880
Pontedeva	id=g:6359881
Punxín	id=g:6359882
Quintela de Leirado	id=g:6359883
Rairiz de Veiga	id=g:6359884
Ramirás	id=g:6359885
Ribadavia	id=g:6359886
San Xoán de Río	id=g:6359887
Riós	id=g:6359888
Rúa (A)	id=g:6359889
Rubiá	id=g:6359890
San Amaro	id=g:6359891
San Cibrao das Viñas	id=g:6359892
Sandiás	id=g:6359893
Sarreaus	id=g:6359894
Taboadela	id=g:6359895
Teixeira (A)	id=g:6359896
Toén	id=g:6359897
Trasmiras	id=g:6359898
Veiga (A)	id=g:6359899
Verea	id=g:6359900
Verín	id=g:6359901
Viana do Bolo	id=g:6359902
Vilamarín	id=g:6359903
Vilamartín de Valdeorras	id=g:6359904
Vilar de Barrio	id=g:6359905
Vilar de Santos	id=g:6359906
Vilardevós	id=g:6359907
Vilariño de Conso	id=g:6359908
Allande	id=g:6359909
Aller	id=g:6359910
Amieva	id=g:6359911
Belmonte de Miranda	id=g:6359912
Bimenes	id=g:6359913
Boal	id=g:6359914
Cabranes	id=g:6359916
Candamo	id=g:6359917
Cangas del Narcea	id=g:6359918
Cangas de Onís	id=g:6359919
Caravia	id=g:6359920
Carreño	id=g:6359921
Castrillón	id=g:6359922
Castropol	id=g:6359923
Coaña	id=g:6359924
Colunga	id=g:6359925
Cudillero	id=g:6359926
Degaña	id=g:6359927
Franco (El)	id=g:6359928
Gijón	id=g:6359929
Gozón	id=g:6359930
Grado	id=g:6359931
Grandas de Salime	id=g:6359932
Ibias	id=g:6359933
Illano	id=g:6359934
Illas	id=g:6359935
Langreo	id=g:6359936
Valdés	id=g:6359937
Llanera	id=g:6359938
Llanes	id=g:6359939
Mieres	id=g:6359940
Morcín	id=g:6359941
Muros de Nalón	id=g:6359942
Nava	id=g:6359943
Navia	id=g:6359944
