Fundo Las Moritas	id=g:3635650
Laguna de Las Maritas	id=g:3635750
Caño Las Marimondas	id=g:3635751
Hato Las Marías	id=g:3635752
Hato Las Marías	id=g:3635753
Hato Las Marías	id=g:3635754
Las Marías	id=g:3635755
Las Tres Marías	id=g:3635756
Las Marías	id=g:3635757
Las Marías	id=g:3635758
Las Marías	id=g:3635759
Las Marías	id=g:3635760
Las Marías	id=g:3635761
Las Marías	id=g:3635762
Las Marias	id=g:3635763
Las Marías	id=g:3635764
Las Marías	id=g:3635765
Quesera Las Margaritas	id=g:3635766
Lagunas Las Margaritas	id=g:3635767
Las Margaritas	id=g:3635768
Las Margaritas	id=g:3635769
Las Marchas	id=g:3635770
Las Mararayas	id=g:3635771
Las Maporitas	id=g:3635772
Las Manzanitas	id=g:3635773
Las Manzanitas	id=g:3635774
Punta Las Manzanillas	id=g:3635775
Las Manzanas	id=g:3635776
Las Manzanas	id=g:3635777
Hato Las Mangas	id=g:3635778
Las Mangas	id=g:3635779
Las Mangas	id=g:3635780
Las Mandocas	id=g:3635781
Quebrada Las Majaguas	id=g:3635782
Parcelamiento Las Majaguas	id=g:3635783
Hato Las Majaguas	id=g:3635784
Embalse Las Majaguas	id=g:3635785
Las Majaguas	id=g:3635786
Las Majadas	id=g:3635787
Las Majadas	id=g:3635788
Las Majadas	id=g:3635789
Laguna Las Maderas	id=g:3635790
Las Macanillas	id=g:3635791
Las Loras	id=g:3635792
Las Lomitas	id=g:3635793
Las Lomitas	id=g:3635794
Las Lomitas	id=g:3635795
Hato Las Lomitas	id=g:3635796
Las Lomas	id=g:3635797
Las Lomas	id=g:3635798
Las Lomas	id=g:3635799
Las Lomas	id=g:3635800
Las Lomas	id=g:3635801
Las Lomas	id=g:3635802
Las Lomas	id=g:3635803
Las Lomas	id=g:3635804
Las Llovitas	id=g:3635805
Las Llamadas	id=g:3635806
Las Llamadas	id=g:3635807
Morichal Las Leonas	id=g:3635808
Las Lechozas	id=g:3635809
Caño Las Laticas	id=g:3635810
Las Laras	id=g:3635811
Las Laras	id=g:3635812
Las Lapas	id=g:3635813
Las Lapas	id=g:3635814
Las Lapas	id=g:3635815
Fundo Las Lanchitas	id=g:3635816
Las Lanchitas	id=g:3635817
Hato Las Lajitas	id=g:3635818
Fila Las Lajitas	id=g:3635819
Caño Las Lajitas	id=g:3635820
Las Lajitas	id=g:3635821
Las Lajitas	id=g:3635822
Las Lajitas	id=g:3635823
Las Lajitas	id=g:3635824
Las Lajitas	id=g:3635825
Las Lajitas	id=g:3635826
Las Lajitas	id=g:3635827
Las Lajitas	id=g:3635828
Las Lajitas	id=g:3635829
Las Lajitas	id=g:3635830
Las Lajas	id=g:3635831
Las Lajas	id=g:3635832
Las Lajas	id=g:3635833
Las Lajas	id=g:3635834
Las Lajas	id=g:3635835
Las Lajas	id=g:3635836
Las Lajas	id=g:3635837
Las Lajas	id=g:3635838
Las Lajas	id=g:3635839
Las Lajas	id=g:3635840
Las Lajas	id=g:3635841
Laguna Las Lagunitas	id=g:3635842
Hato Las Lagunitas	id=g:3635843
Las Lagunitas	id=g:3635844
Las Lagunitas	id=g:3635845
Las Lagunitas	id=g:3635846
Las Lagunitas	id=g:3635847
Las Lagunitas	id=g:3635848
Alto Las Lagunas	id=g:3635849
Las Lagunas	id=g:3635850
Las Lagunas	id=g:3635851
Las Laderas	id=g:3635852
Las Labranzas	id=g:3635853
Las Juasjuitas	id=g:3635854
Cerro Las Juasjuas	id=g:3635855
Las Jabillitas	id=g:3635856
Las Jabillas	id=g:3635857
Las Jabillas	id=g:3635858
Las Isletas	id=g:3635859
La Sirena	id=g:3635860
La Simona	id=g:3635861
Mesa La Silvera	id=g:3635862
Quebrada La Silla	id=g:3635863
Las Iguanitas	id=g:3635864
Las Iguanas	id=g:3635865
Las Iguanas	id=g:3635866
Loma Las Iglesias	id=g:3635867
La Sierrita	id=g:3635868
La Sierra	id=g:3635869
Laguna La Sierra	id=g:3635870
Fila La Sierra	id=g:3635871
La Sierra	id=g:3635872
La Sierra	id=g:3635873
La Sierra	id=g:3635874
La Sierra	id=g:3635875
La Sierra	id=g:3635876
La Sierra	id=g:3635877
La Sierra	id=g:3635878
Caño La Sibucara	id=g:3635879
La Sibucara	id=g:3635880
La Sibucara	id=g:3635881
Las Huertas	id=g:3635882
Las Huertas	id=g:3635883
Las Huertas	id=g:3635884
Quebrada Las Hoyas	id=g:3635885
Las Hoyas	id=g:3635886
Las Horas	id=g:3635887
Las Hernández	id=g:3635888
Fila Las Hermanitas	id=g:3635889
Las Hermanitas	id=g:3635890
Las Hermanitas	id=g:3635891
Quebrada Las Hermanas	id=g:3635892
Las Hermanas	id=g:3635893
Las Hermanas	id=g:3635894
Las Guevara	id=g:3635895
Las Guasimitas	id=g:3635896
Las Güasgüillas	id=g:3635897
Las Guasduitas	id=g:3635898
Quebrada Las Guasduas	id=g:3635899
Las Guasduas	id=g:3635900
Las Guasduas	id=g:3635901
Quebrada Las Guasdillas	id=g:3635902
Finca Las Guardias	id=g:3635903
Las Guardias	id=g:3635904
Las Guardias	id=g:3635905
Las Guardias	id=g:3635906
Las Guarabas	id=g:3635907
Las Guapitas	id=g:3635908
Las Guamas	id=g:3635909
Las Guaicas	id=g:3635910
Las Guafitas	id=g:3635911
Las Guadas	id=g:3635912
Las Guadalupes	id=g:3635913
Las Guacharacas	id=g:3635914
Las Guacharacas	id=g:3635915
Laguna Las Guacas	id=g:3635916
Las Guacamayas	id=g:3635917
Cerro Las Guacabas	id=g:3635918
Las Guabinitas	id=g:3635919
Quebrada Las Guabinas	id=g:3635920
Morichal Las Guabinas	id=g:3635921
Fila Las Guabinas	id=g:3635922
Las Guabinas	id=g:3635923
Las Guabinas	id=g:3635924
Las Guabinas	id=g:3635925
Las Guabinas	id=g:3635926
Las Guabinas	id=g:3635927
Las Granjas	id=g:3635928
Río Los Granates	id=g:3635929
Las Glorias	id=g:3635930
Las Gaviotas	id=g:3635931
Las Gaviotas	id=g:3635932
Las Gaviotas	id=g:3635933
Las Gaviotas	id=g:3635934
Lago Las Garzas	id=g:3635935
Islotes Las Garzas	id=g:3635936
Las Garzas	id=g:3635937
Las Garzas	id=g:3635938
Las Garzas	id=g:3635939
Islas Garrapatas	id=g:3635940
Las Garcitas	id=g:3635941
Las Garcitas	id=g:3635942
Filo Las Gallos	id=g:3635943
Las Galeritas	id=g:3635944
Sabanas de Las Flores	id=g:3635945
Laguna Las Flores	id=g:3635946
Laguna Las Flores	id=g:3635947
Fundo Las Flores	id=g:3635948
Fundo Las Flores	id=g:3635949
Fundo Las Flores	id=g:3635950
Fundo Las Flores	id=g:3635951
Las Flores	id=g:3635952
Las Flores	id=g:3635953
Las Flores	id=g:3635954
Las Flores	id=g:3635955
Las Flores	id=g:3635956
Las Flores	id=g:3635957
Las Flores	id=g:3635958
Las Flores	id=g:3635959
Las Flores	id=g:3635960
Las Flores	id=g:3635961
Las Flores	id=g:3635962
Las Flores	id=g:3635963
Las Flores	id=g:3635964
Las Flores	id=g:3635965
Las Flores	id=g:3635966
Las Flores	id=g:3635967
Las Flores	id=g:3635968
Las Flores	id=g:3635969
Las Flores	id=g:3635970
Las Flores	id=g:3635971
Las Flores	id=g:3635972
Las Flores	id=g:3635973
Las Flores	id=g:3635974
Las Flores	id=g:3635975
Las Florecitas	id=g:3635976
Fila Las Filipinas	id=g:3635977
Las Filipinas	id=g:3635978
Las Fernández	id=g:3635979
Las Farias	id=g:3635980
La Falda	id=g:3635981
La Sevillera	id=g:3635982
Las Espumas	id=g:3635983
Morichal Las Espuelas	id=g:3635984
Las Escorzoneras	id=g:3635985
Las Escorzoneras	id=g:3635986
Las Escaloneras	id=g:3635987
La Escalera	id=g:3635988
La Serrania	id=g:3635989
La Sapera	id=g:3635990
La Señora	id=g:3635991
Las Empalizadas	id=g:3635992
Hacienda La Selva	id=g:3635993
La Selva	id=g:3635994
Las Elisas	id=g:3635995
La Segoviera	id=g:3635996
La Secreta	id=g:3635997
Cerro Las Dos Sabanas	id=g:3635998
Las Dos Rosas	id=g:3635999
Las Dos Quebradas	id=g:3636000
Las Dos Palmas	id=g:3636001
Hato Las Dos Matas	id=g:3636002
Caño Las Dos Matas	id=g:3636003
Las Dos Matas	id=g:3636004
Salto Las Dos Huas	id=g:3636005
Raudal Las Dos Huas	id=g:3636006
Quebrada Las Dos Hermanas	id=g:3636007
Piedras Las Dos Hermanas	id=g:3636008
Las Dos Bocas	id=g:3636009
Las Dos Bocas	id=g:3636010
Las Dos Bocas	id=g:3636011
Las Dos Bocas	id=g:3636012
Laguna Las Doncellas	id=g:3636013
Caño Las Doncellas	id=g:3636014
Las Doncellas	id=g:3636015
Las Dolores	id=g:3636016
Las Dolores	id=g:3636017
Las Deseas	id=g:3636018
Sabanas de Las Delicias	id=g:3636019
Quebrada Las Delicias	id=g:3636020
Hato Las Delicias	id=g:3636021
Hato Las Delicias	id=g:3636022
Hato Las Delicias	id=g:3636023
Hato Las Delicias	id=g:3636024
Hato Las Delicias	id=g:3636025
Hacienda Las Delicias	id=g:3636026
Hacienda Las Delicias	id=g:3636027
Fundo Las Delicias	id=g:3636028
Fundo Las Delicias	id=g:3636029
Fila Las Delicias	id=g:3636030
Embalse Las Delicias	id=g:3636031
Las Delicias	id=g:3636032
Las Delicias	id=g:3636033
Las Delicias	id=g:3636034
Las Delicias	id=g:3636035
Las Delicias	id=g:3636036
Las Delicias	id=g:3636037
Las Delicias	id=g:3636038
Las Delicias	id=g:3636039
Las Delicias	id=g:3636040
Las Delicias	id=g:3636041
Las Delicias	id=g:3636042
Las Delicias	id=g:3636043
Las Delicias	id=g:3636044
Las Delicias	id=g:3636045
Las Delicias	id=g:3636046
Las Delicias	id=g:3636047
Las Delicias	id=g:3636048
Las Delicias	id=g:3636049
Las Delicias	id=g:3636050
Las Delicias	id=g:3636051
Las Delicias	id=g:3636052
Las Delicias	id=g:3636053
Las Delicias	id=g:3636054
Las Delicias	id=g:3636055
Las Delicias	id=g:3636056
Las Delicias	id=g:3636057
Las Delicias	id=g:3636058
Las Delicias	id=g:3636059
Las Delicias	id=g:3636060
Las Delicias	id=g:3636061
Las Delicias	id=g:3636062
Las Daras	id=g:3636063
Quebrada La Danta	id=g:3636064
Quebrada Las Dantas	id=g:3636065
Las Curaguas	id=g:3636067
Las Cuñadas	id=g:3636068
Las Cumaraguas	id=g:3636069
Las Culebras	id=g:3636070
Las Culaticas	id=g:3636071
Hato Las Culatas	id=g:3636072
Las Cuibas	id=g:3636073
Fila Las Cuchillas	id=g:3636074
Las Cuatro Bocas	id=g:3636075
Las Cuatro Bocas	id=g:3636076
Las Cuatro Bocas	id=g:3636077
Las Cuatro Bocas	id=g:3636078
Las Crucetas	id=g:3636079
Quebrada Las Cruces	id=g:3636080
Punta Las Cruces	id=g:3636081
Las Cruces	id=g:3636082
Las Cruces	id=g:3636083
Las Cruces	id=g:3636084
Las Cruces	id=g:3636085
Las Cruces	id=g:3636086
Las Cruces	id=g:3636087
Las Cruces	id=g:3636088
Las Cruces	id=g:3636089
Las Cruces	id=g:3636090
Las Cruces	id=g:3636091
Las Cruces	id=g:3636092
Las Cruces	id=g:3636093
Las Cruces	id=g:3636094
Las Cruces	id=g:3636095
Las Cruces	id=g:3636096
Las Cruces	id=g:3636097
Las Crucecitas	id=g:3636098
Las Crucecitas	id=g:3636099
Las Crucecitas	id=g:3636100
Las Cotuas	id=g:3636101
Las Cotizas	id=g:3636102
Las Coronas	id=g:3636103
Fundo Las Corobas	id=g:3636104
Las Corobas	id=g:3636105
Las Corobas	id=g:3636106
Lagos Las Corcovadas	id=g:3636107
Paso Las Conchas	id=g:3636108
Cerro Las Conchas	id=g:3636109
Las Conchas	id=g:3636110
Potrero Las Comareñas	id=g:3636111
Páramo Las Coloradas	id=g:3636112
Las Colonias	id=g:3636113
Las Colonias	id=g:3636114
Las Colmenas	id=g:3636115
Las Colmenas	id=g:3636116
Las Colmenas	id=g:3636117
Las Coeuizas	id=g:3636118
Laguna Las Codúas	id=g:3636119
Quebrada Las Cocuizas	id=g:3636120
Quebrada Las Cocuizas	id=g:3636121
Quebrada Las Cocuizas	id=g:3636122
Paso Las Cocuizas	id=g:3636123
Hacienda Las Cocuizas	id=g:3636124
Cerro Las Cocuizas	id=g:3636125
Las Cocuizas	id=g:3636126
Las Cocuizas	id=g:3636127
Las Cocuizas	id=g:3636128
Las Cocuizas	id=g:3636129
Las Cocuizas	id=g:3636130
Las Cocuizas	id=g:3636131
Las Cocuizas	id=g:3636132
Las Cocuizas	id=g:3636133
Las Cocuizas	id=g:3636134
Las Cocuizas	id=g:3636135
Las Cocuizas	id=g:3636136
Las Cocuicitas	id=g:3636137
Sitio Las Cochimas	id=g:3636138
Las Clavellinas	id=g:3636139
Las Cinco Cruces	id=g:3636140
Isla Cidra	id=g:3636141
Caño Las Chispas	id=g:3636142
Las Chicharras	id=g:3636143
Fila Las Charas	id=g:3636144
Hato Las Chaguaramas	id=g:3636145
Las Chaguaramas	id=g:3636146
Las Chaguaramas	id=g:3636147
Quebrada Las Cerrajones	id=g:3636148
Las Cazas	id=g:3636149
Hato Las Cayenas	id=g:3636150
Hato Las Casitas	id=g:3636151
Las Casitas	id=g:3636152
Las Casitas	id=g:3636153
Las Casitas	id=g:3636154
Las Casitas	id=g:3636155
Las Casitas	id=g:3636156
Las Casitas	id=g:3636157
Las Casitas	id=g:3636158
Las Casitas	id=g:3636159
Las Casitas	id=g:3636160
Las Casitas	id=g:3636161
Las Casitas	id=g:3636162
Las Casitas	id=g:3636163
Las Casitas	id=g:3636164
Las Casitas	id=g:3636165
Las Casitas	id=g:3636166
Las Casas	id=g:3636167
Quebrada Las Carpitas	id=g:3636168
Quebrada Las Carpas	id=g:3636169
Fila Las Carpas	id=g:3636170
Las Caros	id=g:3636171
Las Carmelitas	id=g:3636172
Las Carmelitas	id=g:3636173
Las Carmelitas	id=g:3636174
Cerro Las Caratas	id=g:3636175
Las Caratas	id=g:3636176
Las Carapas	id=g:3636177
Las Caracas	id=g:3636178
Fundo Las Caracaras	id=g:3636179
Fundo Las Caracaras	id=g:3636180
Las Caracaras	id=g:3636181
Las Canoas	id=g:3636182
Hato Las Canoas	id=g:3636183
Las Canoas	id=g:3636184
Las Cañitas	id=g:3636185
Las Caneyes	id=g:3636186
Fundo Las Cañadas Montereñas	id=g:3636187
Las Cañadas de Arajó	id=g:3636188
Fundo Las Cañadas	id=g:3636189
Fundo Las Cañadas	id=g:3636190
Las Cañadas	id=g:3636191
Las Cañadas	id=g:3636192
Las Cañadas	id=g:3636193
Las Cañadas	id=g:3636194
Las Cañadas	id=g:3636195
Las Cañadas	id=g:3636196
Las Cañadas	id=g:3636197
Las Cañadas	id=g:3636198
Las Cañadas	id=g:3636199
Las Cañadas	id=g:3636200
Las Campechanas	id=g:3636201
Fila Las Campanas	id=g:3636202
Las Campanas	id=g:3636203
Fundo Las Camelitas	id=g:3636204
Quebrada Las Camazas	id=g:3636205
Fundo Las Camazas	id=g:3636206
Cerro Las Camazas	id=g:3636207
Las Camazas	id=g:3636208
Las Camasas	id=g:3636209
Las Camazas	id=g:3636210
Quesera Las Camaritas	id=g:3636211
Las Callecitas	id=g:3636212
Las Calenturas	id=g:3636213
Las Calderas	id=g:3636214
Las Calcetas	id=g:3636215
Las Calcetas	id=g:3636216
Las Calcetas	id=g:3636217
Las Calcetas	id=g:3636218
Las Calcetas	id=g:3636219
Las Calcetas	id=g:3636220
Las Cajoras	id=g:3636221
Las Cabullas	id=g:3636222
Las Cabreras	id=g:3636223
Hacienda Las Cabimitas	id=g:3636224
Las Cabimas	id=g:3636225
Las Cabimas	id=g:3636226
Las Cabeceritas	id=g:3636227
Punta Las Cabeceras	id=g:3636228
Las Cabeceras	id=g:3636229
Fundo Las Cabañas	id=g:3636230
Caño Las Burras	id=g:3636231
Las Burras	id=g:3636232
Las Brujitas	id=g:3636233
Las Brujitas	id=g:3636234
Las Brujitas	id=g:3636235
Las Brujas	id=g:3636236
Sabanas de Las Brisas	id=g:3636237
Isla Las Brisas	id=g:3636238
Fundo Las Brisas	id=g:3636239
Fila de Las Brisas	id=g:3636240
Caño Las Brisas	id=g:3636241
Las Brisas	id=g:3636242
Las Brisas	id=g:3636243
Las Brisas	id=g:3636244
Las Brisas	id=g:3636245
Las Botellas	id=g:3636246
Quesera Las Botas	id=g:3636247
Hato Las Bonitas	id=g:3636248
Hato Las Bonitas	id=g:3636249
Fundo Las Bonitas	id=g:3636250
Hato Las Bonitas	id=g:3636251
Las Bonitas	id=g:3636252
Las Bonitas	id=g:3636253
Las Bonitas	id=g:3636254
Las Bonitas	id=g:3636255
Las Bonitas	id=g:3636256
Las Bonitas	id=g:3636257
Las Bombitas	id=g:3636258
Las Bombitas	id=g:3636259
Quebrada Las Bombas	id=g:3636260
Quebrada Las Bombas	id=g:3636261
Las Bocas	id=g:3636262
Las Bocas	id=g:3636263
Punta de Las Bobas	id=g:3636264
Cayo de Las Bobas	id=g:3636265
Las Bestias	id=g:3636266
Río Las Becerras	id=g:3636267
Las Bateas	id=g:3636268
Quebrada Las Barrosas	id=g:3636269
Las Barrancas	id=g:3636270
Las Barrancas	id=g:3636271
Fundo Las Barbitas	id=g:3636272
Caño Las Barbas	id=g:3636273
Las Barbas	id=g:3636274
Las Báquiras	id=g:3636275
Montaña Las Baldias	id=g:3636276
Laguna Las Babas	id=g:3636277
Hato Las Babas	id=g:3636278
Galera de Las Babas	id=g:3636279
Caño Las Babas	id=g:3636280
Las Babas	id=g:3636281
Las Babas	id=g:3636282
Las Babas	id=g:3636283
Las Babas	id=g:3636284
Los Azules	id=g:3636285
Islas Las Aves	id=g:3636286
Las Auras	id=g:3636287
Quebrada Las Astilleras	id=g:3636288
Quebrada Las Astas	id=g:3636289
Quebrada La Sarría	id=g:3636290
La Sarrapia	id=g:3636291
Las Arguacas	id=g:3636292
La Sargera	id=g:3636293
Lagunas Las Arenas	id=g:3636294
La Sardina	id=g:3636295
La Sardina	id=g:3636296
Quebrada Las Araguatas	id=g:3636297
Las Araguatas	id=g:3636298
Las Araguatas	id=g:3636299
La Sara	id=g:3636300
Laguna La Sapoara	id=g:3636301
Las Ánimas Rivereñas	id=g:3636302
Las Ánimas Rivepeñas	id=g:3636303
Quebrada Las Ánimas	id=g:3636304
Hato Las Animas	id=g:3636305
Fundo Las Ánimas	id=g:3636306
Caño Las Ánimas	id=g:3636307
Las Ánimas	id=g:3636308
Las Ánimas	id=g:3636309
Las Ánimas	id=g:3636310
Las Ánimas	id=g:3636311
Las Ánimas	id=g:3636312
Las Ánimas	id=g:3636313
Las Ánimas	id=g:3636314
Las Animas	id=g:3636315
Cerro Las Angustias	id=g:3636316
Estero La Sanguijuela	id=g:3636317
Quebrada Las Amorochas	id=g:3636318
Las Amarillas	id=g:3636319
Hato La Salvia	id=g:3636320
Las Alturitas	id=g:3636321
La Salineta	id=g:3636322
La Salineta	id=g:3636323
Hacienda La Salinera	id=g:3636324
La Salina	id=g:3636325
La Salina	id=g:3636326
La Salina	id=g:3636327
La Salina	id=g:3636328
Fundo La Salera	id=g:3636329
La Sajarita	id=g:3636330
Las Aguas Claras	id=g:3636331
Las Aguaditas	id=g:3636332
Las Aguaditas	id=g:3636333
Las Aguaditas	id=g:3636334
Las Aguaditas	id=g:3636335
Las Aguadas	id=g:3636336
Las Adjuntas	id=g:3636337
Las Adjuntas	id=g:3636338
Las Adjuntas	id=g:3636339
Las Adjuntas	id=g:3636340
Las Adjuntas	id=g:3636341
Las Adjuntas	id=g:3636342
Las Adjuntas	id=g:3636343
Las Adjuntas	id=g:3636344
Las Adjuntas	id=g:3636345
Las Adjuntas	id=g:3636346
Las Adjuntas	id=g:3636347
Las Adjuntas	id=g:3636348
Las Adjuntas	id=g:3636349
Las Adjuntas	id=g:3636350
Las Adjuntas	id=g:3636351
Las Adjuntas	id=g:3636352
Las Adjuntas	id=g:3636353
Las Adjuntas	id=g:3636354
Las Adjuntas	id=g:3636355
Las Acacias	id=g:3636356
Las Abras	id=g:3636357
La Sabila	id=g:3636358
La Sabanota	id=g:3636359
La Sabanita	id=g:3636360
La Sabaneta	id=g:3636361
La Sabaneta	id=g:3636362
La Sabaneta	id=g:3636363
La Sabaneta	id=g:3636364
La Sabaneta	id=g:3636365
La Sabana de Monte Cristo	id=g:3636366
Río La Sabana	id=g:3636367
Punta La Sabana	id=g:3636368
Isla La Sabana	id=g:3636369
Boca La Sabana	id=g:3636370
La Sabana	id=g:3636371
La Sabana	id=g:3636372
La Sabana	id=g:3636373
La Sabana	id=g:3636374
La Sabana	id=g:3636375
La Sabana	id=g:3636376
La Sabana	id=g:3636377
La Sabana	id=g:3636378
La Sabana	id=g:3636379
La Sabana	id=g:3636380
La Sabana	id=g:3636381
La Sabana	id=g:3636382
La Sabana	id=g:3636383
Fundo La Rusia	id=g:3636384
La Rumbera	id=g:3636385
Fundo La Rumaldera	id=g:3636386
La Rudania	id=g:3636387
La Rubita	id=g:3636388
Hato La Rubinera	id=g:3636389
La Rubileña Arriba	id=g:3636390
Hato La Rubiera	id=g:3636391
La Rubiera	id=g:3636392
Hato La Ruana	id=g:3636393
Hacienda La Rosita	id=g:3636394
La Rosita	id=g:3636395
La Rosita	id=g:3636396
La Rosita	id=g:3636397
La Rosita	id=g:3636398
La Rosita	id=g:3636399
La Rosita	id=g:3636400
La Rosita	id=g:3636401
La Rosita	id=g:3636402
Hato La Rosca	id=g:3636403
La Rosa de Barrios	id=g:3636404
Hato La Rosa	id=g:3636405
Cerro La Rosa	id=g:3636406
Campo La Rosa	id=g:3636407
La Rosa	id=g:3636408
La Rosa	id=g:3636409
La Rosa	id=g:3636410
La Rosa	id=g:3636411
La Rosa	id=g:3636412
La Rosa	id=g:3636413
La Roqueña	id=g:3636414
La Rondonera	id=g:3636415
Esteros de La Rompida	id=g:3636416
La Rompida	id=g:3636417
La Rompida	id=g:3636418
La Rompida	id=g:3636419
La Rompía	id=g:3636420
La Rompia	id=g:3636421
La Rompía	id=g:3636422
La Romereña	id=g:3636423
Laguna La Romanera	id=g:3636424
Fundo La Romanera	id=g:3636425
Hato La Romana	id=g:3636426
Hato La Rojera	id=g:3636427
La Rojera	id=g:3636428
Cerro La Rochela	id=g:3636429
La Rochela	id=g:3636430
La Rivera	id=g:3636431
La Rivera	id=g:3636432
La Ribera	id=g:3636433
La Riqueza	id=g:3636434
La Riquera	id=g:3636435
La Rinconera	id=g:3636436
Hipódromo La Rinconada	id=g:3636437
La Rinconada	id=g:3636438
La Rinconada	id=g:3636439
La Rinconada	id=g:3636440
La Rinconada	id=g:3636441
La Rinconada	id=g:3636442
La Rinconada	id=g:3636443
La Rinconada	id=g:3636444
La Rinconada	id=g:3636445
La Rinconada	id=g:3636446
La Rinconada	id=g:3636447
Río Largo	id=g:3636448
Llano Largo	id=g:3636449
Cerro Largo	id=g:3636450
Cerro Largo	id=g:3636451
Cerro Largo	id=g:3636452
Cerro Largo	id=g:3636453
Cayo Largo	id=g:3636454
Sabana Larga	id=g:3636455
Loma Larga	id=g:3636456
Laguna Larga	id=g:3636457
Laguna Larga	id=g:3636458
Laguna Larga	id=g:3636459
Isla Larga	id=g:3636460
Isla Larga	id=g:3636461
Ciénaga Larga	id=g:3636462
La Revuelta	id=g:3636463
La Revancha	id=g:3636464
Caño La Retirada	id=g:3636465
La Retirada	id=g:3636466
Laguna de La Restinga	id=g:3636467
La Resbalosa	id=g:3636468
La Represalia	id=g:3636469
La Represa	id=g:3636470
La Represa	id=g:3636471
La Represa	id=g:3636472
Fundo La Reja	id=g:3636473
Páramo La Reinosa	id=g:3636474
Laguna La Reina	id=g:3636475
La Regina	id=g:3636476
La Regana	id=g:3636477
Río La Reforma	id=g:3636478
Hato La Reforma	id=g:3636479
Hato La Reforma	id=g:3636480
Fundo La Reforma	id=g:3636481
Fundo La Reforma	id=g:3636482
La Reforma	id=g:3636483
La Reforma	id=g:3636484
La Reforma	id=g:3636485
La Reforma	id=g:3636486
La Reforma	id=g:3636487
La Reforma	id=g:3636488
La Reforma	id=g:3636489
La Reforma	id=g:3636490
La Reforma	id=g:3636491
La Reforma	id=g:3636492
La Reforma	id=g:3636493
La Reforma	id=g:3636494
La Reforma	id=g:3636495
La Reforma	id=g:3636496
La Reforma	id=g:3636497
La Reforma	id=g:3636498
La Reforma	id=g:3636499
La Reforma	id=g:3636500
La Reforma	id=g:3636501
La Reforma	id=g:3636502
La Reforma	id=g:3636503
La Redención	id=g:3636504
