Oslávia	id=g:3171846
Orio Canavese	id=g:3171952
Orio al Serio	id=g:3171953
Banco d’ Orio	id=g:3171954
Origgio	id=g:3171955
Fosso dell’ Orientina	id=g:3171956
Oricola	id=g:3171957
Fosso l’ Oriato	id=g:3171958
Canale di Raccordo Oriago-Marghera	id=g:3171959
Oria	id=g:3171960
Oria	id=g:3171961
Orgosolo	id=g:3171962
Orgnese	id=g:3171963
Orgnano	id=g:3171964
Orgiano	id=g:3171965
Fiume Orfento	id=g:3171966
Canale Orfano	id=g:3171967
Orezzoli	id=g:3171968
Orezzo	id=g:3171969
Hochalpljoch	id=g:3171970
Oregne	id=g:3171971
Oregina	id=g:3171972
Ordona	id=g:3171973
Riu Ordari	id=g:3171974
Torrente Orco	id=g:3171975
Orciatico	id=g:3171976
Orciano di Pesaro	id=g:3171977
Fiume Orcia	id=g:3171978
Orchi	id=g:3171979
Orcenico Superiore	id=g:3171980
Orcenico Inferiore	id=g:3171981
Orcazzo	id=g:3171982
Monte Orbetta	id=g:3171983
Laguna di Orbetello	id=g:3171984
Orbetello	id=g:3171985
Orbassano	id=g:3171986
Torrente Orba	id=g:3171987
Rio Oratino	id=g:3171988
Colle d’ Oratino	id=g:3171989
Oratino	id=g:3171990
Cursolo-Orasso	id=g:3171991
Orani	id=g:3171992
Ora - Auer	id=g:3171993
Oppido Lucano	id=g:3171994
Oppeano	id=g:3171995
Opi	id=g:3171996
Opi	id=g:3171997
Opera di Poggio Rasu Superiore	id=g:3171998
Opera Arbuticci	id=g:3171999
Opera	id=g:3172000
Opagna	id=g:3172001
Torrente Onzola	id=g:3172002
Onzato	id=g:3172003
Onno	id=g:3172004
Punta Onnichedda	id=g:3172005
Onna	id=g:3172006
Stazione d’ Oniferi	id=g:3172007
Cantoniera di Oniferi	id=g:3172008
Oniferi	id=g:3172009
Onifai	id=g:3172010
Onfiano	id=g:3172011
Oneta	id=g:3172012
Onelli	id=g:3172013
Oneglia	id=g:3172014
Onara	id=g:3172015
Onano	id=g:3172016
Onanì	id=g:3172017
Lago Omodeo	id=g:3172018
Omignano Scale	id=g:3172019
Omignano	id=g:3172020
Omero	id=g:3172021
Monte Omene	id=g:3172022
Omegna	id=g:3172023
Torrente Ombrone	id=g:3172024
Monistero d’ Ombrone	id=g:3172025
Fiume Ombrone	id=g:3172026
Bocca d’ Ombrone	id=g:3172027
Valle d’ Ombretta	id=g:3172028
Cima Ombladet	id=g:3172029
Olzano	id=g:3172030
Olzai	id=g:3172031
Oltrona di San Mamette	id=g:3172032
Oltre il Colle	id=g:3172033
Vale Oltra	id=g:3172034
Fiume Olpeta	id=g:3172035
Fiume Olona	id=g:3172036
Fiume Olona	id=g:3172037
Olmo al Brembo	id=g:3172038
Olmi	id=g:3172039
Olmeto	id=g:3172040
Olmeneta	id=g:3172041
Olmedo	id=g:3172042
Ollolai	id=g:3172043
Ollano	id=g:3172044
Vallone Olivoli	id=g:3172045
Olivola	id=g:3172046
Olivetta San Michele	id=g:3172047
Olivetta	id=g:3172048
Oliveto Lucano	id=g:3172049
Oliveto Lario	id=g:3172050
Oliveto Citra	id=g:3172051
Oliveto	id=g:3172052
Oliveto	id=g:3172053
Oliveto	id=g:3172054
Torrente Olivento	id=g:3172055
Cala dell’ Olio	id=g:3172056
Oliero	id=g:3172057
Riu d’ Oliena	id=g:3172058
Oliena	id=g:3172059
Olibra Incinesca	id=g:3172060
Olibra Incinante	id=g:3172061
Monte Olia	id=g:3172062
Monte Olia	id=g:3172063
Olginate	id=g:3172064
Olgiate Olona	id=g:3172065
Olgiate Molgora	id=g:3172066
Olgiate Comasco	id=g:3172067
Olgiata	id=g:3172068
Olgiasca	id=g:3172069
Olgia	id=g:3172070
Olevole	id=g:3172071
Canale Olevola	id=g:3172072
Olevano sul Tusciano	id=g:3172073
Olevano Romano	id=g:3172074
Olevano di Lomellina	id=g:3172075
Riu Oletto	id=g:3172076
Olengo	id=g:3172077
Oleis	id=g:3172078
Oleggio	id=g:3172079
Oldenico	id=g:3172080
Oldaniga	id=g:3172081
Olda	id=g:3172082
Olcenengo	id=g:3172083
Olbicella	id=g:3172084
Stazione Olbia Marittima	id=g:3172085
Olbia Marittima	id=g:3172086
Olbia	id=g:3172087
Golfo di Olbia	id=g:3172089
Oira	id=g:3172091
Oiano	id=g:3172092
Oia	id=g:3172093
Ognissanti	id=g:3172094
Ogna	id=g:3172095
Fiume Oglio	id=g:3172096
Scoglio Ogliera	id=g:3172097
Ogliastro Cilento	id=g:3172098
Oglianico	id=g:3172099
Monte sos Oggios	id=g:3172100
Oggiono	id=g:3172101
Oga	id=g:3172102
Offlaga	id=g:3172103
Offida	id=g:3172104
Monte Offermo	id=g:3172105
Offeio	id=g:3172106
Offanengo	id=g:3172107
Valle d’ Offagna	id=g:3172108
Offagna	id=g:3172109
Ofena	id=g:3172110
Foce dell’ Ofanto	id=g:3172111
Fiume Ofanto	id=g:3172112
Stazione Ofantino	id=g:3172113
Monte Oe	id=g:3172114
Odolo	id=g:3172115
Oderzo	id=g:3172116
Odecla	id=g:3172117
Monte Ode	id=g:3172118
Caletta di Oddoana	id=g:3172119
Monte Oddeu	id=g:3172120
Ocricchio	id=g:3172121
Monte d’ Ocri	id=g:3172122
Monte d’ Ocre	id=g:3172123
Ocre	id=g:3172124
Riu de sa Oche	id=g:3172125
Ocenelli	id=g:3172126
Occimiano	id=g:3172127
Occhiobello	id=g:3172128
Monte Occhio	id=g:3172129
Occhieppo Superiore	id=g:3172130
Occhieppo Inferiore	id=g:3172131
Obledo	id=g:3172132
Nuvolento	id=g:3172133
Nusco	id=g:3172134
Monte Nuschele	id=g:3172135
Nurtiddi	id=g:3172136
Monte Nurra	id=g:3172137
Bonifica della Nurra	id=g:3172138
Monte Nurietta	id=g:3172139
Monte Nuria	id=g:3172140
Torrente Nure	id=g:3172141
Monte Nuraghe	id=g:3172142
Portonovo	id=g:3172143
Porto Nuovo	id=g:3172144
Monte Nuovo	id=g:3172145
Castel Nuovo	id=g:3172146
Canale Nuovo	id=g:3172147
Canale Nuovo	id=g:3172148
Taglio Nuovissimo di Brenta	id=g:3172149
Torre Nuova	id=g:3172150
Fortezza Nuova	id=g:3172151
Bocca Nuova	id=g:3172152
Provincia di Nuoro	id=g:3172153
Nuoro	id=g:3172154
Riu Nuole	id=g:3172155
Nunziatella	id=g:3172156
Numana	id=g:3172157
Nulvi	id=g:3172158
Nule	id=g:3172159
Nugola	id=g:3172160
Nughedu Santa Vittoria	id=g:3172161
Nughedu San Nicolò	id=g:3172162
Nuchis	id=g:3172163
Monte sa Nuche	id=g:3172164
Nucetto	id=g:3172165
Nuarsaz	id=g:3172166
Nozza	id=g:3172167
Novoli	id=g:3172168
Novi Velia	id=g:3172169
Novi Ligure	id=g:3172170
Novilara	id=g:3172171
Novi di Modena	id=g:3172172
Noventa Vicentina	id=g:3172173
Noventa Padovana	id=g:3172174
Noventa di Piave	id=g:3172175
Novello	id=g:3172176
Novellara	id=g:3172177
Novele	id=g:3172178
Monte Novegno	id=g:3172179
Noveglia	id=g:3172180
Novegigola	id=g:3172181
Novecase	id=g:3172182
Nove	id=g:3172183
Novate Milanese	id=g:3172184
Novate Mezzola	id=g:3172185
Stazione di Nova Siri	id=g:3172186
Nova Siri	id=g:3172187
Provincia di Novara	id=g:3172188
Novara	id=g:3172189
Nova Ponente - Deutschnofen	id=g:3172190
Nova Milanese	id=g:3172191
Nova Levante - Welschnofen	id=g:3172192
Novalesa	id=g:3172193
Novaledo	id=g:3172194
Novafeltria	id=g:3172195
Novacella	id=g:3172196
Fosso la Nova	id=g:3172197
Nottoria	id=g:3172198
Notaresco	id=g:3172199
Nostra Signora de su Monte	id=g:3172200
Nostra Signora de Cabu Abbas	id=g:3172201
Nosate	id=g:3172202
Nortosce	id=g:3172203
Norma	id=g:3172204
Fiume Nordole	id=g:3172205
Punta Nordend	id=g:3172206
Fosso Norcino	id=g:3172207
Norcia	id=g:3172208
Norcen	id=g:3172209
Monte de Norbello	id=g:3172210
Norbello	id=g:3172211
Noragugume	id=g:3172212
Torrente Nora	id=g:3172213
Torrente Nora	id=g:3172214
None	id=g:3172215
Noncello	id=g:3172216
Nonantola	id=g:3172217
Nona	id=g:3172218
Val di Non	id=g:3172219
Nomi	id=g:3172220
Nomentano	id=g:3172221
Nomaglio	id=g:3172222
Nomadelfia	id=g:3172223
Capo di Noli	id=g:3172224
Noli	id=g:3172225
Nole	id=g:3172226
Nola	id=g:3172227
Noicattaro	id=g:3172228
Noha	id=g:3172229
Noghera	id=g:3172230
Noghera	id=g:3172231
Nogarole Rocca	id=g:3172232
Nogaredo di Prato	id=g:3172233
Nogaredo di Corno	id=g:3172234
Nogara	id=g:3172235
Noepoli	id=g:3172236
Nocria	id=g:3172237
Torrente Nocito	id=g:3172238
Nociglia	id=g:3172239
Noci	id=g:3172240
Noceto	id=g:3172241
Nocera Umbra	id=g:3172242
Nocera Superiore	id=g:3172243
Nocera Inferiore	id=g:3172244
Nocelleto	id=g:3172245
Nocelleto	id=g:3172246
Nocella	id=g:3172247
Torrente Noce	id=g:3172248
Nocciano	id=g:3172249
Nocara	id=g:3172250
Noasca	id=g:3172251
Noale	id=g:3172252
Nizza Monferrato	id=g:3172253
Punta di Nisporto	id=g:3172254
Nisporto	id=g:3172255
Isola di Nisida	id=g:3172256
Ninfa	id=g:3172258
Nimis	id=g:3172259
Nigola	id=g:3172260
Fiume Nievole	id=g:3172261
Niella Belbo	id=g:3172262
Monte Nieddu de Ottana	id=g:3172263
Monte Nieddu	id=g:3172264
Monte Nieddu	id=g:3172265
Capo Nieddu	id=g:3172266
Nicola	id=g:3172267
Nichesola	id=g:3172268
Nichelino	id=g:3172269
Canale Nicesolo	id=g:3172270
Nicelli	id=g:3172271
Torrente Niccone	id=g:3172272
Poggio Nibbio	id=g:3172273
Monte Nibbio	id=g:3172274
Nibbiano	id=g:3172275
Nibbiaia	id=g:3172276
Isole di li Nibani	id=g:3172277
Monte Niavo	id=g:3172278
Nezza	id=g:3172279
Torrente Nevola	id=g:3172280
Fiume Nevola	id=g:3172281
Neviano degli Arduini	id=g:3172282
Neviano	id=g:3172283
Passo di Nevea	id=g:3172284
Torrente Neva	id=g:3172285
Grotta di Nettuno	id=g:3172286
Nettuno	id=g:3172287
Netro	id=g:3172288
Torrente Nestore	id=g:3172289
Fiume Nestore	id=g:3172290
Nestore	id=g:3172291
Nespolo	id=g:3172292
Nespoledo	id=g:3172293
Torrente Nese	id=g:3172294
Monte Nesci	id=g:3172295
Nesce	id=g:3172296
Nerviano	id=g:3172297
Torrente Nervia	id=g:3172298
Torrente di Nervi	id=g:3172299
Nervi	id=g:3172300
Nervesa della Battaglia	id=g:3172301
Monte Nerone	id=g:3172302
Nerola	id=g:3172303
Schwarzenstein	id=g:3172304
Rio Nero	id=g:3172305
Monte Nero	id=g:3172306
Corno Nero	id=g:3172307
Colle Nero	id=g:3172308
Capo Nero	id=g:3172309
Nerito	id=g:3172310
Nereto	id=g:3172311
Monte su Nercone	id=g:3172312
Nerano	id=g:3172313
Stazione Nera Montoro	id=g:3172314
Punta Nera	id=g:3172315
Punta Nera	id=g:3172316
Punta Nera	id=g:3172317
Pfeifer Spitzen	id=g:3172318
Gola del Nera	id=g:3172319
Fiume Nera	id=g:3172320
Hintere Schwärze	id=g:3172321
Nepi	id=g:3172322
Nepezzano	id=g:3172323
Neoneli	id=g:3172324
Nenno	id=g:3172325
Nemoli	id=g:3172326
Lago di Nemi	id=g:3172327
Nemi	id=g:3172328
Nemeggio	id=g:3172329
Nembro	id=g:3172330
Nembia	id=g:3172331
Neive	id=g:3172332
Neirone	id=g:3172333
Rio Negrone	id=g:3172334
Capo Negro	id=g:3172335
Capo Negro	id=g:3172336
Negrisia	id=g:3172337
Negrar	id=g:3172338
Punta Negra	id=g:3172339
Punta Negra	id=g:3172340
Negi	id=g:3172341
Nebbione	id=g:3172342
Monte Nebbiello	id=g:3172343
Monte Nebbiano	id=g:3172344
Nebbiano	id=g:3172345
Nebbiano	id=g:3172346
Monte Nebbiali	id=g:3172347
Poggio Nebbia	id=g:3172348
Monte della Nebbia	id=g:3172349
Ne	id=g:3172350
Nazzano	id=g:3172351
Nazzano	id=g:3172352
Canale Navile	id=g:3172353
Canale Naviglio	id=g:3172354
Canale Navigabile	id=g:3172355
Navicello	id=g:3172356
Canale dei Navicelli	id=g:3172357
Canale delle Navi	id=g:3172358
Navenze	id=g:3172359
Navelli	id=g:3172360
Monte Navegna	id=g:3172361
Scoglio la Nave	id=g:3172362
Nave	id=g:3172363
Navarons	id=g:3172364
Navacchio	id=g:3172365
Colle di Nava	id=g:3172366
Naturno - Naturns	id=g:3172367
Nadiža	id=g:3172368
Punta del Nasuto	id=g:3172369
Fosso del Nasso	id=g:3172370
Nasolino	id=g:3172371
Stazione Nasisi	id=g:3172372
Nasino	id=g:3172373
Nascio	id=g:3172374
Narzole	id=g:3172375
Narni Scalo	id=g:3172376
Narni	id=g:3172377
Nardoia	id=g:3172378
Nardò	id=g:3172379
Narbolia	id=g:3172380
Na Precnichi	id=g:3172381
Stazione Napoli Smistamento	id=g:3172382
Stazione Napoli San Giovannï-Barra	id=g:3172383
Stazione Napoli Piazza Carlo III	id=g:3172384
Stazione Napoli Monte Santo	id=g:3172385
Stazione Napoli Mergellina	id=g:3172386
Stazione Napoli Marittima	id=g:3172387
Stazione Napoli Centrale	id=g:3172388
Stazione Napoli Campi Flegrei	id=g:3172389
Rada di Napoli	id=g:3172390
Provincia di Napoli	id=g:3172391
Porto di Napoli	id=g:3172392
Golfo di Napoli	id=g:3172393
Napoli	id=g:3172394
Napoli	id=g:3172395
Villa Napoleone	id=g:3172396
Poggio Napoleone	id=g:3172397
Nanto	id=g:3172398
Riu Nannuri	id=g:3172399
Nalles - Nals	id=g:3172400
Torrente Naia	id=g:3172401
Nago-Torbole	id=g:3172402
Naggio	id=g:3172403
Naggio	id=g:3172404
Riu Nabile	id=g:3172405
Muzzana del Turgnano	id=g:3172406
Punta Muvrone	id=g:3172407
Lago della Mutta	id=g:3172408
Monte Mutria	id=g:3172409
Monte Mutri	id=g:3172410
Torrente Mutino	id=g:3172411
Mutignano	id=g:3172412
San Pietro Mussolino	id=g:3172413
Musso	id=g:3172414
Piano di Mussa	id=g:3172415
Torrente Musone dei Sassi	id=g:3172416
Torrente Musone	id=g:3172417
Fiume Musone	id=g:3172418
Musocco	id=g:3172419
Muslone	id=g:3172420
Musita	id=g:3172421
Musile di Piave	id=g:3172422
Musignano	id=g:3172423
Musignano	id=g:3172424
Musigliano	id=g:3172425
Musi	id=g:3172426
Muserale	id=g:3172427
Muscletto	id=g:3172428
Musano	id=g:3172429
Riu Murtazzolu	id=g:3172430
Planu de Murtas	id=g:3172431
Pizzo di Murro Marro	id=g:3172432
Monte Muros	id=g:3172433
Muros	id=g:3172434
Monte Murone	id=g:3172435
Muro Lucano	id=g:3172436
Muro Leccese	id=g:3172437
Fiumara di Muro	id=g:3172438
Cala Muro	id=g:3172439
Muro	id=g:3172440
Stazione di Murlo	id=g:3172441
Murlo	id=g:3172442
Murisengo	id=g:3172443
Murialdo	id=g:3172444
Muriaglio	id=g:3172445
Murge Salentine	id=g:3172446
Murci	id=g:3172447
Murazzo	id=g:3172448
Murazzo	id=g:3172449
Murazzano	id=g:3172450
Muravalle	id=g:3172451
Murata	id=g:3172452
Rio Murano	id=g:3172453
Isolette di Murano	id=g:3172454
Isola di Murano	id=g:3172455
Murano	id=g:3172456
Passo del Muraglione	id=g:3172457
Muraglia	id=g:3172458
Monte Mura Donnai	id=g:3172459
Muradello	id=g:3172460
Mura	id=g:3172461
Mura	id=g:3172462
Stazione di Mungivacca	id=g:3172463
Muneghetti	id=g:3172464
Monte Mundugia	id=g:3172465
Punta Mulino	id=g:3172466
Mules	id=g:3172467
Mulazzo	id=g:3172468
Mulazzano	id=g:3172469
Mulargia	id=g:3172470
Mugnano di Napoli	id=g:3172472
Mugnano del Cardinale	id=g:3172473
Mugnano	id=g:3172474
Mugnano	id=g:3172475
Mugnana	id=g:3172476
Mugnai	id=g:3172477
Mugliano	id=g:3172478
Muggiò	id=g:3172479
Muggia Vecchia	id=g:3172480
Muggiano	id=g:3172481
Báia di Múggia	id=g:3172482
Muggia	id=g:3172483
Muggia	id=g:3172484
Mugello	id=g:3172485
Monte Mudregu	id=g:3172486
Lago Mucrone	id=g:3172487
Mucinasso	id=g:3172488
Muccia	id=g:3172489
Punta Mucchiola	id=g:3172490
Torrente Mucchia	id=g:3172491
Mozzo	id=g:3172492
Mozzio	id=g:3172493
Mozzecane	id=g:3172494
Mozzate	id=g:3172495
Mozzanica	id=g:3172496
Mozzagrogna	id=g:3172497
Mozza	id=g:3172498
Mottola	id=g:3172499
Mottinello Nuovo	id=g:3172500
Mottaziana	id=g:3172501
Motta Visconti	id=g:3172502
Monte Mottarone	id=g:3172503
Mottarelle	id=g:3172504
Fiumara della Motta Montecorvino	id=g:3172505
Motta Montecorvino	id=g:3172506
Mottalciata	id=g:3172507
Motta di Livenza	id=g:3172508
Motta del Turco	id=g:3172509
Motta de' Conti	id=g:3172510
Motta Baluffi	id=g:3172511
Motta Amolara	id=g:3172512
Motta	id=g:3172513
Motta	id=g:3172514
Motrone di Versilia	id=g:3172515
Motrone	id=g:3172516
Motolano	id=g:3172517
Monte Motola	id=g:3172518
Monte Motola	id=g:3172519
Monte Motola	id=g:3172520
Motella	id=g:3172521
Mosso Santa Maria	id=g:3172522
Mosson	id=g:3172523
Mossini	id=g:3172524
Mossa	id=g:3172525
Moso in Passiria - Moos in Passeier	id=g:3172526
Moso	id=g:3172527
Mosnigo	id=g:3172528
Mosina	id=g:3172529
Moscufo	id=g:3172530
Rio Moscosa	id=g:3172531
Moscolo	id=g:3172532
Rio Moscio	id=g:3172533
Pizzo di Moscio	id=g:3172534
Mosciano Sant'Angelo	id=g:3172535
Mosciano	id=g:3172536
Torrente Moscia	id=g:3172537
Moschini	id=g:3172538
Monte Moschiaturo	id=g:3172539
Moscazzano	id=g:3172540
Canale Moscarello	id=g:3172541
Moruzzo	id=g:3172542
Moruri	id=g:3172543
Isola Mortorio	id=g:3172544
Mortola Superiore	id=g:3172545
Mortola Inferiore	id=g:3172546
Capo Mortola	id=g:3172547
Punta del Morto	id=g:3172548
Lago Morto	id=g:3172549
Canale del Morto	id=g:3172550
Mortizza	id=g:3172551
Mortigliano	id=g:3172552
Morterone	id=g:3172553
Morter	id=g:3172554
Mortegliano	id=g:3172555
Mortaso	id=g:3172556
Mortara	id=g:3172557
Mortaiolo	id=g:3172558
Morsecca	id=g:3172559
Morsano di Strada	id=g:3172560
Morsano al Tagliamento	id=g:3172561
Morruzze	id=g:3172562
Stazione di Morrovalle-Monte San Giusto	id=g:3172563
Morrovalle	id=g:3172564
Morro Reatino	id=g:3172565
Morrone del Sannio	id=g:3172566
Monte Morrone	id=g:3172567
Monte Morrone	id=g:3172568
Morro d'Oro	id=g:3172569
Morro d'Alba	id=g:3172570
Torre di Morro	id=g:3172571
Monte di Morro	id=g:3172572
Morro	id=g:3172573
Morrice	id=g:3172574
Morrea	id=g:3172575
Morrano	id=g:3172576
Morra De Sanctis	id=g:3172577
Monte Morra	id=g:3172578
Morozzo	id=g:3172579
Morosolo	id=g:3172580
Morolo	id=g:3172581
Torrente Moro	id=g:3172582
Monte Moro	id=g:3172583
Cala Moro	id=g:3172584
Mornago	id=g:3172585
Morlupo	id=g:3172586
Morleschio	id=g:3172587
Morina	id=g:3172588
Morimondo	id=g:3172589
Morigino	id=g:3172590
Morigerati	id=g:3172591
Morigallo	id=g:3172592
Moricone	id=g:3172593
Morichella	id=g:3172594
Moriano	id=g:3172595
Moriano	id=g:3172596
Moriago della Battaglia	id=g:3172597
Mori	id=g:3172598
Morgnano	id=g:3172599
Morgex	id=g:3172600
Morge	id=g:3172601
Morfasso	id=g:3172602
Moretta	id=g:3172603
Moretta	id=g:3172604
Moresco	id=g:3172605
Cala Moresca	id=g:3172606
Mores	id=g:3172607
Monte Morello	id=g:3172608
Morello	id=g:3172609
Mordano	id=g:3172610
Punta Morcone	id=g:3172611
Morcone	id=g:3172612
Morcicchia	id=g:3172613
Morciano di Romagna	id=g:3172614
Morcella	id=g:3172615
Morbio	id=g:3172616
Morbegno	id=g:3172617
Lago di Morasco	id=g:3172618
Morasco	id=g:3172619
Moranzani	id=g:3172620
Morano sul Po	id=g:3172621
Moranego	id=g:3172622
Moraduccio	id=g:3172623
Mora	id=g:3172624
Mopolino	id=g:3172625
Monzuno	id=g:3172626
Monzone	id=g:3172627
Monzambano	id=g:3172628
Monza	id=g:3172629
Stazione Monturano-Rapagnano	id=g:3172630
Montu de’ Gabbi	id=g:3172631
Montù Beccaria	id=g:3172632
Montu	id=g:3172633
Montrone	id=g:3172634
Montresta	id=g:3172635
Montottone	id=g:3172637
Montorso Vicentino	id=g:3172638
Montorsaio	id=g:3172639
Montoro	id=g:3172640
Montoro	id=g:3172641
Montorio Veronese	id=g:3172642
Montorio Romano	id=g:3172643
Montorio nei Frentani	id=g:3172644
Montorio in Valle	id=g:3172645
Montorio al Vomano	id=g:3172646
Montorio	id=g:3172647
Montorgiali	id=g:3172648
Lago di Montorfano	id=g:3172649
Montopoli in Val d'Arno	id=g:3172650
Montopoli di Sabina	id=g:3172651
Fiume Montone	id=g:3172652
Montone	id=g:3172653
Montone	id=g:3172654
Montonari	id=g:3172655
Montoggio	id=g:3172656
Montodine	id=g:3172657
Montjovet	id=g:3172658
Montita	id=g:3172659
Montisi	id=g:3172660
Montirozzo	id=g:3172661
Montioni Allumiera	id=g:3172662
Poggio Montione	id=g:3172663
Montingegnoli	id=g:3172664
Montinelle	id=g:3172665
Riu di Montilongu	id=g:3172666
Serra Montillo	id=g:3172667
Montii Beccaria	id=g:3172668
Montignoso	id=g:3172669
Montignano	id=g:3172670
Montiglio Monferrato	id=g:3172671
Montigli	id=g:3172672
Poggio di Montieri	id=g:3172673
Montieri	id=g:3172674
Monti di Pino	id=g:3172675
Santa Bárbara	id=g:3172676
Monti di Grandola	id=g:3172677
Monti di Cadiroggio	id=g:3172678
Monticolo	id=g:3172679
Monticiano	id=g:3172680
Montichiari	id=g:3172681
Monticello Conte Otto	id=g:3172682
Monticello	id=g:3172683
Monticello	id=g:3172684
Monticello	id=g:3172685
Monticello	id=g:3172686
Monticello	id=g:3172687
Monticello	id=g:3172688
Monticelli d'Ongina	id=g:3172689
Monticelli	id=g:3172690
Monticelli	id=g:3172691
Monticelli	id=g:3172692
Monticelli	id=g:3172693
Monticchio Sgarroni	id=g:3172694
Laghi di Monticchio	id=g:3172695
Monticchio	id=g:3172696
Monticchio	id=g:3172697
Monticchio	id=g:3172698
Monticchiello	id=g:3172699
Montiano	id=g:3172700
Montiano	id=g:3172701
Monte Monti	id=g:3172702
Monti	id=g:3172703
Montevrolo	id=g:3172704
Montevitozzo	id=g:3172705
Montevirginio	id=g:3172706
Monte Vidon Corrado	id=g:3172707
Monte Vidon Combatte	id=g:3172708
Monte Vibiano Vecchio	id=g:3172709
Monte Vibiano Nuovo	id=g:3172710
Monteviasco	id=g:3172711
Monteviale	id=g:3172712
Montevettolini	id=g:3172713
Monteverdi Marittimo	id=g:3172714
Monteverde	id=g:3172715
Monteverde	id=g:3172716
Monteveglio	id=g:3172717
Montevarchi	id=g:3172718
Monteu Roero	id=g:3172719
Monte Urano	id=g:3172720
Monteu da Po	id=g:3172721
Montetiffi	id=g:3172722
Monteti	id=g:3172723
Montetassi	id=g:3172724
Montessoro	id=g:3172725
Bacino di Montespluga	id=g:3172726
Montespluga	id=g:3172727
Montespertoli	id=g:3172728
Montesilvano Marina	id=g:3172729
Montesilvano	id=g:3172730
Montesicuro	id=g:3172731
Convento di Monte Senario	id=g:3172732
Montesegale	id=g:3172733
Montesecco	id=g:3172734
Montese	id=g:3172735
Cima di Montescudo	id=g:3172736
Montescudo	id=g:3172737
Montescarso	id=g:3172738
Montescaglioso	id=g:3172739
Montesarchio	id=g:3172740
Monte San Vito	id=g:3172741
Monte San Vito	id=g:3172742
Capo di Monte Santu	id=g:3172743
Montesanto di Lussari	id=g:3172744
Montesanto	id=g:3172745
Montesanto	id=g:3172746
Monte Sant'Angelo	id=g:3172747
Monte Santa Maria Tiberina	id=g:3172748
Monte Santa Maria	id=g:3172749
Monte San Savino	id=g:3172750
Monte San Pietro	id=g:3172751
Monte San Pietrangeli	id=g:3172752
Montesano sulla Marcellana	id=g:3172753
