Arthur Lakes Library	id=g:7130628
School Number 6 (historical)	id=g:7130697
School Number 7 (historical)	id=g:7130698
School Number 9 (historical)	id=g:7130699
School Number 14 (historical)	id=g:7130700
School Number 17 (historical)	id=g:7130701
School Number 18 (historical)	id=g:7130702
School Number 21 (historical)	id=g:7130703
School Number 22 (historical)	id=g:7130704
School Number 23 (historical)	id=g:7130705
Georgia Tech University Savannah Campus	id=g:7130706
School Number 26 (historical)	id=g:7130707
School Number 30 (historical)	id=g:7130708
School Number 32 (historical)	id=g:7130709
Five Falls (historical)	id=g:7130710
Gain Twist Falls (historical)	id=g:7130711
Little Falls (historical)	id=g:7130712
School Number 8 (historical)	id=g:7130713
School Number 11 (historical)	id=g:7130714
School Number 11 (historical)	id=g:7130715
School Number 13 (historical)	id=g:7130716
Bradford Cemetery (historical)	id=g:7130717
Lawrence Cemetery (historical)	id=g:7130718
Wright Cemetery (historical)	id=g:7130719
Cat Island (historical)	id=g:7130720
Gooseneck Island (historical)	id=g:7130721
Strawberry Island (historical)	id=g:7130722
Armstrong Atlantic State University	id=g:7130723
South University	id=g:7130724
Treasure Island (historical)	id=g:7130725
School Number 1 (historical)	id=g:7130726
School Number 2 (historical)	id=g:7130727
School Number 6 (historical)	id=g:7130728
School Number 13 (historical)	id=g:7130729
Savannah College of Art and Design	id=g:7130730
Joe River School (historical)	id=g:7130731
Saint Vincent Rural School (historical)	id=g:7130732
North Hill School (historical)	id=g:7130733
South Hill School (historical)	id=g:7130734
Hall Moore School (historical)	id=g:7130735
North Red River School (historical)	id=g:7130736
Bethesda Home For Boys School	id=g:7130737
Southwest Middle School	id=g:7130738
Memorial Day School	id=g:7130739
Calvary Baptist Day School	id=g:7130740
Garden City Elementary School	id=g:7130741
West Chatham Middle School	id=g:7130742
West Chatham Elementary School	id=g:7130743
Blessed Sacrament Catholic School	id=g:7130744
Garrison Elementary School	id=g:7130745
Coastal Middle School	id=g:7130746
Cranfill Airfield	id=g:7130747
Moser Ranch Airfield	id=g:7130748
Biglow Airfield (historical)	id=g:7130749
Adams Hill Fire Tower	id=g:7130750
North Red River School (historical)	id=g:7130751
Westerson School (historical)	id=g:7130752
Mattson School (historical)	id=g:7130753
Dahlgren School (historical)	id=g:7130754
Willow Grove School (historical)	id=g:7130755
Central School (historical)	id=g:7130756
Excelsior School (historical)	id=g:7130757
Johnson School (historical)	id=g:7130758
Plainview School (historical)	id=g:7130759
Herrick School (historical)	id=g:7130760
Riverside School (historical)	id=g:7130761
DeVaults Point (historical)	id=g:7130762
Dodge Cemetery (historical)	id=g:7130763
Miller Cemetery (historical)	id=g:7130764
Big Sny	id=g:7130765
Little Sny	id=g:7130766
Louisville Landing Church (historical)	id=g:7130767
Delany Island (historical)	id=g:7130768
Long Sault Rapids (historical)	id=g:7130769
South Sault Rapids (historical)	id=g:7130770
School Number 2 (historical)	id=g:7130771
School Number 3 (historical)	id=g:7130772
School Number 4 (historical)	id=g:7130773
School Number 5 (historical)	id=g:7130774
School Number 10 (historical)	id=g:7130775
School Number 10 (historical)	id=g:7130776
School Number 11 (historical)	id=g:7130777
Carrs Point (historical)	id=g:7130778
Murphy Point (historical)	id=g:7130779
Dry Island (historical)	id=g:7130780
Thompsons Island (historical)	id=g:7130781
School Number 7 (historical)	id=g:7130782
School Number 4 (historical)	id=g:7130783
School Number 9 (historical)	id=g:7130784
School Number 11 (historical)	id=g:7130785
School Number 14 (historical)	id=g:7130786
Rapids School (historical)	id=g:7130787
Robb School (historical)	id=g:7130788
Laidlow School (historical)	id=g:7130789
Scotch Settlement School (historical)	id=g:7130790
School Number 2 (historical)	id=g:7130791
School Number 3 (historical)	id=g:7130792
School Number 6 (historical)	id=g:7130793
School Number 12 (historical)	id=g:7130794
School Number 13 (historical)	id=g:7130795
School Number 17 (historical)	id=g:7130796
Rose School (historical)	id=g:7130797
Mayflower School (historical)	id=g:7130798
North Saint Joseph School (historical)	id=g:7130799
South Saint Joseph School (historical)	id=g:7130800
North Star School (historical)	id=g:7130801
Grasshopper School (historical)	id=g:7130802
West Granville School (historical)	id=g:7130803
East Granville School (historical)	id=g:7130804
Franklin School (historical)	id=g:7130805
Webster School (historical)	id=g:7130806
Riverside School (historical)	id=g:7130807
Nylander School (historical)	id=g:7130808
Jerome School (historical)	id=g:7130809
School Number 1 (historical)	id=g:7130810
School Number 2 (historical)	id=g:7130811
School Number 4 (historical)	id=g:7130812
School Number 11 (historical)	id=g:7130813
School Number 12 (historical)	id=g:7130814
School Number 16 (historical)	id=g:7130815
School Number 17 (historical)	id=g:7130816
School Number 19 (historical)	id=g:7130817
School Number 19 (historical)	id=g:7130818
School Number 20 (historical)	id=g:7130819
School Number 25 (historical)	id=g:7130820
School Number 29 (historical)	id=g:7130821
Pythian Home	id=g:7130822
School Number 1 (historical)	id=g:7130823
School Number 3 (historical)	id=g:7130824
School Number 6 (historical)	id=g:7130825
School Number 1 (historical)	id=g:7130826
School Number 2 (historical)	id=g:7130827
School Number 3 (historical)	id=g:7130828
School Number 6 (historical)	id=g:7130829
School Number 9 (historical)	id=g:7130830
School Number 19 (historical)	id=g:7130831
School Number 25 (historical)	id=g:7130832
School Number 3 (historical)	id=g:7130833
School Number 4 (historical)	id=g:7130834
School Number 4 (historical)	id=g:7130835
School Number 6 (historical)	id=g:7130836
School Number 7 (historical)	id=g:7130837
School Number 9 (historical)	id=g:7130838
School Number 9 (historical)	id=g:7130839
School Number 21 (historical)	id=g:7130840
School Number 20 (historical)	id=g:7130841
School Number 20 (historical)	id=g:7130842
School Number 20 (historical)	id=g:7130843
School Number 24 (historical)	id=g:7130844
Bigelow School (historical)	id=g:7130845
California School (historical)	id=g:7130846
Farley School (historical)	id=g:7130847
Griffith School (historical)	id=g:7130848
Hyde School (historical)	id=g:7130849
Pine Hill School (historical)	id=g:7130850
South Woods School (historical)	id=g:7130851
Stark School (historical)	id=g:7130852
Dillingham Island (historical)	id=g:7130853
Dixon Island (historical)	id=g:7130854
Sears Island (historical)	id=g:7130855
Tick Island (historical)	id=g:7130856
Twin Island (historical)	id=g:7130857
Galop Rapids (historical)	id=g:7130858
School Number 2 (historical)	id=g:7130859
School Number 3 (historical)	id=g:7130860
School Number 6 (historical)	id=g:7130861
School Number 7 (historical)	id=g:7130862
School Number 10 (historical)	id=g:7130863
School Number 11 (historical)	id=g:7130864
School Number 12 (historical)	id=g:7130865
School Number 13 (historical)	id=g:7130866
School Number 15 (historical)	id=g:7130867
School Number 17 (historical)	id=g:7130868
School Number 3 (historical)	id=g:7130869
School Number 5 (historical)	id=g:7130870
School Number 8 (historical)	id=g:7130871
School Number 10 (historical)	id=g:7130872
School Number 11 (historical)	id=g:7130873
School Number 13 (historical)	id=g:7130874
School Number 14 (historical)	id=g:7130875
School Number 17 (historical)	id=g:7130876
School Number 17 (historical)	id=g:7130877
School Number 18 (historical)	id=g:7130878
School Number 20 (historical)	id=g:7130879
School Number 20 (historical)	id=g:7130880
School Number 21 (historical)	id=g:7130881
Lotus Island (historical)	id=g:7130882
Sucker Brook (historical)	id=g:7130883
School Number 2 (historical)	id=g:7130884
School Number 3 (historical)	id=g:7130885
School Number 3 (historical)	id=g:7130886
School Number 10 (historical)	id=g:7130887
School Number 11 (historical)	id=g:7130888
Buckfield School (historical)	id=g:7130889
Bull Gap	id=g:7130890
Burning Fork School (historical)	id=g:7130891
Burns Post Office (historical)	id=g:7130892
Burnwell Post Office (historical)	id=g:7130893
Burris Post Office (historical)	id=g:7130894
Buzzard Rock	id=g:7130895
Calvary Church	id=g:7130896
Canada Knob Lookout Tower	id=g:7130897
Canada Post Office (historical)	id=g:7130898
Carmen Post Office (historical)	id=g:7130899
CC Maynards Settlement	id=g:7130900
Childress Cemetery	id=g:7130901
Childress Cemetery	id=g:7130902
School Number 15 (historical)	id=g:7130903
School Number 17 (historical)	id=g:7130904
School Number 24 (historical)	id=g:7130905
Coal Run Hill	id=g:7130906
Coal Run School (historical)	id=g:7130907
Coburn Forks School (historical)	id=g:7130908
Coburn School (historical)	id=g:7130909
Cold Run Bridge	id=g:7130910
Coleman Cemetery	id=g:7130911
Coleman School (historical)	id=g:7130912
Community Baptist Church	id=g:7130913
Community Church	id=g:7130914
Community Hospital	id=g:7130915
Conder Post Office (historical)	id=g:7130916
Cook Cemetery	id=g:7130917
Cow Pen Church	id=g:7130918
Crigger Post Office (historical)	id=g:7130919
Dinosaur Ridge	id=g:7130920
Crossroads Shopping Center	id=g:7130921
Dameron Post Office (historical)	id=g:7130922
Daniels Creek	id=g:7130923
Daniels Creek School (historical)	id=g:7130924
Democracy Post Office (historical)	id=g:7130925
Deskins Family Cemetery	id=g:7130926
Deskins Post Office (historical)	id=g:7130927
Diaz Post Office (historical)	id=g:7130928
Dick Post Office (historical)	id=g:7130929
Dicks Fork School	id=g:7130930
Dicks Knowl	id=g:7130931
Dill Cemetery	id=g:7130932
Dorton Post Office	id=g:7130933
Dorton School (historical)	id=g:7130934
Douglas Housing Project	id=g:7130935
Drafin Post Office (historical)	id=g:7130936
Wilson School (historical)	id=g:7130937
Two Rivers School (historical)	id=g:7130938
Bengston School (historical)	id=g:7130939
Ditch School (historical)	id=g:7130940
Garfield School (historical)	id=g:7130941
Enok School (historical)	id=g:7130942
McKinley School (historical)	id=g:7130943
School Number 5 (historical)	id=g:7130944
Liberty School (historical)	id=g:7130945
Chatham (historical)	id=g:7130946
West Emmaus Church (historical)	id=g:7130947
Enok Church (historical)	id=g:7130948
Happy Corner School (historical)	id=g:7130949
Whalen School (historical)	id=g:7130950
Elksam Post Office (historical)	id=g:7130951
Elswick School	id=g:7130952
Lafayette City Hall	id=g:7130953
Esco Post Office (historical)	id=g:7130954
Etty Post Office (historical)	id=g:7130955
Etty Post Office (historical)	id=g:7130956
Feds Creek High School	id=g:7130957
Feds Creek Post Office (historical)	id=g:7130958
Ferrell Creek School (historical)	id=g:7130959
Ferrell Post Office (historical)	id=g:7130960
Fish Trap Post Office (historical)	id=g:7130961
Fishtrap (historical)	id=g:7130962
Fishtrap Post Office (historical)	id=g:7130963
Flatwoods School (historical)	id=g:7130964
Ford Cemetery	id=g:7130965
Fraley Cemetery	id=g:7130966
Frogtown	id=g:7130967
Sacred Heart Cemetery	id=g:7130968
Superior Marketplace Shopping Center	id=g:7130969
Centennial Park	id=g:7130970
Cleo Murdock Park	id=g:7130971
Dutch Creek Park	id=g:7130972
Heritage Park	id=g:7130973
Keith Holart Park	id=g:7130974
Lake Park	id=g:7130975
Memory Square Park	id=g:7130976
Middle School Park	id=g:7130977
Pirates Park	id=g:7130978
Saratoga Park	id=g:7130979
Sundance Park	id=g:7130980
Tantra Park	id=g:7130981
Wanetka Park	id=g:7130982
Maple Grove	id=g:7130983
Pony Estates	id=g:7130984
Flatiron Crossing Mall Shopping Center	id=g:7130985
Hunter Douglas Business Park	id=g:7130986
Blue Star Memorial Park	id=g:7130987
Richard Steele Park	id=g:7130988
Broadlands	id=g:7130989
Broadlands West	id=g:7130990
Littleton Fire Rescue Station 16	id=g:7130991
Littleton Fire Rescue Station 17	id=g:7130992
Big Lands Ranch Library	id=g:7130993
Cedar Hill Cemetery	id=g:7130994
Franktown Cemetery	id=g:7130995
Lone Tree Town Center Shopping Center	id=g:7130996
Parker Marketplace Shopping Center	id=g:7130997
Quebe Village Shopping Center	id=g:7130998
The Promenade Shopping Center	id=g:7130999
Cheese Ranch Park	id=g:7131000
Country Acres	id=g:7131001
Village Pines	id=g:7131002
Castle Rock Elementary School	id=g:7131003
Castle Rock Middle School	id=g:7131004
Douglas County High School	id=g:7131005
Crossroads Community Church	id=g:7131006
Saint Matthew's Episcopal Church	id=g:7131007
Dirk Post Office (historical)	id=g:7131008
Does Post Office (historical)	id=g:7131009
Drew Post Office (historical)	id=g:7131010
Dry Creek Post Office (historical)	id=g:7131011
Elic Post Office (historical)	id=g:7131012
Elmrock Post Office (historical)	id=g:7131013
Elmrock Post Office (historical)	id=g:7131014
Emmalena Elementary (historical)	id=g:7131015
Christ Our Redeemer African Methodist Episcopal Church	id=g:7131016
First Christian Assembly Church	id=g:7131017
Light of the World Praise Church	id=g:7131018
Montbello Catholic Parish Church	id=g:7131019
Northeast Church of Christ	id=g:7131020
Saint Andrew Lutheran Church	id=g:7131021
Saint Andrew Lutheran School	id=g:7131022
True Light Baptist Church	id=g:7131023
United Church of Montbello	id=g:7131024
Vietnamese Community Baptist Church	id=g:7131025
Aurora First United Methodist Church	id=g:7131026
Our Lady of Victory Roman Catholic Chapel	id=g:7131027
Khmer Christian Reformed Church	id=g:7131028
New Destiny Christian Center	id=g:7131029
Christ The King Fellowship Church	id=g:7131030
Calvary Community Baptist Church	id=g:7131031
Trinity Chrsitian Fellowship Church	id=g:7131032
Good Shepherd United Methodist Church	id=g:7131033
Village Baptist Church	id=g:7131034
McPherson Post Office (historical)	id=g:7131035
Woodglen Meadows Park	id=g:7131036
North Metro Church	id=g:7131037
Lord of Life Lutheran Church	id=g:7131038
Glencoe Park	id=g:7131039
Saint John's Lutheran Church	id=g:7131040
Fairplay Park	id=g:7131041
Saint Stephen's Episcopal Church	id=g:7131042
Parkview Congregational Church	id=g:7131043
Hands-On Christian Church	id=g:7131044
Christ The Savior Lutheran Church	id=g:7131045
City Center Park	id=g:7131046
Centre Point Park	id=g:7131047
Tower Community Fellowship Church	id=g:7131048
Great Plains Park	id=g:7131049
Christ Our Redeemer Evangelical Lutheran Church	id=g:7131050
New Life Evangelical Free Church	id=g:7131051
School Number Four (historical)	id=g:7131052
School Number Four (historical)	id=g:7131053
School Number Fourteen (historical)	id=g:7131054
School Number Nine (historical)	id=g:7131055
The Friends of Dinosaur Ridge Visitor Center	id=g:7131056
School Number Six (historical)	id=g:7131057
School Number Six (historical)	id=g:7131058
School Number Ten (historical)	id=g:7131059
School Number Thirteen (historical)	id=g:7131060
School Number Twelve (historical)	id=g:7131061
School Number Two (historical)	id=g:7131062
Smithboro Post Office (historical)	id=g:7131063
Smiths Post Office (historical)	id=g:7131064
Smithsboro (historical)	id=g:7131065
Smithsboro Baptist Church (historical)	id=g:7131066
Smithsboro post office (historical)	id=g:7131067
Smithsboro School Number Seven (historical)	id=g:7131068
Soft Shell Post Office (historical)	id=g:7131069
Spider Post Office (historical)	id=g:7131070
Sylvester (historical)	id=g:7131071
Talcom Post Office (historical)	id=g:7131072
Talcum Post Office (historical)	id=g:7131073
Tana Post Office (historical)	id=g:7131074
Tana Post Office (historical)	id=g:7131075
Redeemed Chrsitian Church of God	id=g:7131076
All Saints Lutheran Church	id=g:7131077
Meadowood Church	id=g:7131078
Meadow Hills Baptist Church	id=g:7131079
Christ Temple Family Life Center	id=g:7131080
Eagle Park	id=g:7131081
White Stone Presbyterian Church	id=g:7131082
Aurora Korean Church	id=g:7131083
First Church of Christ Scientist	id=g:7131084
Holy Love Lutheran Church	id=g:7131085
Saint Lawrence Korean Catholic Church	id=g:7131086
New Day Christian Fellowship Church	id=g:7131087
Sagebrush Park	id=g:7131088
Hampden Run Park	id=g:7131089
Flanders Park	id=g:7131090
Seven Hills Park	id=g:7131091
Carr Fork Lake State Wildlife Management Areas	id=g:7131092
Carrie Post Office	id=g:7131093
Clear Creek Evangelical Church	id=g:7131094
Tierra Park	id=g:7131095
Garner Post Office (historical)	id=g:7131096
Grigsby	id=g:7131097
Happy Home of Regular Baptist Church	id=g:7131098
Hindman Settlement School	id=g:7131099
Holly Bush Old Regular Baptist Church	id=g:7131100
Howard Cemetery	id=g:7131101
Irishmans	id=g:7131102
Knott County Central High School	id=g:7131103
Knott County Voter School	id=g:7131104
Laurel Fork United Baptist Church	id=g:7131105
Mallet Post Office	id=g:7131106
Martinsville	id=g:7131107
Middle Carr Creek	id=g:7131108
Montgomery	id=g:7131109
Mount Olive Baptist Church	id=g:7131110
Mullins True Baptist Church	id=g:7131111
New Bethlehem Old Regular Baptist Church	id=g:7131112
West School (historical)	id=g:7131113
Red Top School (historical)	id=g:7131114
School Number 28 (historical)	id=g:7131115
Saint Pauls Church (historical)	id=g:7131116
Oak Point School (historical)	id=g:7131117
Johnson School (historical)	id=g:7131118
Lasniewski School (historical)	id=g:7131119
Noacres (historical)	id=g:7131120
Oak Point (historical)	id=g:7131121
Harley	id=g:7131122
Harmon Manor School (historical)	id=g:7131123
Harrolds Branch	id=g:7131124
Harrolds Branch School (historical)	id=g:7131125
Hartley Post Office (historical)	id=g:7131126
Hartley Post Office (historical)	id=g:7131127
Hatfield Post Office (historical)	id=g:7131128
Hatfield Post Office (historical)	id=g:7131129
Pinhook School (historical)	id=g:7131130
Hatfield School (historical)	id=g:7131131
Hayes Lowe Cemetery	id=g:7131132
Head of Grapevine School (historical)	id=g:7131133
Head of Johnson Creek	id=g:7131134
Head of Johnson Creek School (historical)	id=g:7131135
Heenon Post Office (historical)	id=g:7131136
Heleys Gap	id=g:7131137
Hellier School (historical)	id=g:7131138
Helsey Post Office (historical)	id=g:7131139
Hewitt Post Office (historical)	id=g:7131140
High Knob	id=g:7131141
High Knob	id=g:7131142
Holy Spirit Lutheran Church	id=g:7131143
Honey Fork Cemetery	id=g:7131144
Hopkins Creek School (historical)	id=g:7131145
Huddy Post Office (historical)	id=g:7131146
Shady Grove School	id=g:7131147
Hurricane Branch	id=g:7131148
Hurricane on Levisa School (historical)	id=g:7131149
Hurricane School (historical)	id=g:7131150
Hyton Post Office (historical)	id=g:7131151
Immanuel Baptist Church	id=g:7131152
Indian Gap	id=g:7131153
Ironia Post Office (historical)	id=g:7131154
Island Creek School (historical)	id=g:7131155
J B School (historical)	id=g:7131156
Jackson Cemetery	id=g:7131157
Jackson Rowe Elementary School (historical)	id=g:7131158
Jake Post Office (historical)	id=g:7131159
Jamboree Post Office (historical)	id=g:7131160
Jarad Post Office (historical)	id=g:7131161
Jerry Hatfield Cemetery	id=g:7131162
Wolf Island School (historical)	id=g:7131163
Jewell Post Office (historical)	id=g:7131164
Joe Post Office (historical)	id=g:7131165
John Coff School (historical)	id=g:7131166
John Mimms Sword Cemetery	id=g:7131167
John Post Office (historical)	id=g:7131168
Johns Creek High School (historical)	id=g:7131169
Jonancy Post Office (historical)	id=g:7131170
Jonkan	id=g:7131171
Jonkan School (historical)	id=g:7131172
Julius Scott Cemetery	id=g:7131173
Justice Bottom	id=g:7131174
Keel Addition	id=g:7131175
Kettlecamp School (historical)	id=g:7131176
Kewnee Post Office (historical)	id=g:7131177
Keyser Post Office (historical)	id=g:7131178
Pagosa Park	id=g:7131179
Eldorado Park	id=g:7131180
Meadowood Park	id=g:7131181
Hill Top Park	id=g:7131182
La Parquita Park	id=g:7131183
Superior Avenue Historic District	id=g:7131184
Bond Court Building	id=g:7131185
Diamond Building	id=g:7131186
Riddle Post Office (historical)	id=g:7131187
Roscoe Post Office (historical)	id=g:7131188
Roscoe Post Office (historical)	id=g:7131189
Ruin Post Office (historical)	id=g:7131190
Ruin Post Office (historical)	id=g:7131191
Sansilk Post Office (historical)	id=g:7131192
Sarah Post Office (historical)	id=g:7131193
Sideway Post Office (historical)	id=g:7131194
Spanglin Post Office (historical)	id=g:7131195
Stephens Post Office (historical)	id=g:7131196
The Ridge Post Office (historical)	id=g:7131197
Winkler Post Office (historical)	id=g:7131198
Eaton Center	id=g:7131199
Hanna Building	id=g:7131200
Huntington Building	id=g:7131201
National City Center	id=g:7131202
One Cleveland Center	id=g:7131203
Renaissance Building	id=g:7131204
Statler Office Tower	id=g:7131205
Holly Grove School (historical)	id=g:7131206
Ison-Johnson School (historical)	id=g:7131207
Isonville School (historical)	id=g:7131208
Lower Blaine Trace School (historical)	id=g:7131209
Lower Stark School (historical)	id=g:7131210
Lytten School (historical)	id=g:7131211
Beachwood Fire Department Station 1 Headquarters	id=g:7131212
Beachwood Fire Department Station 2	id=g:7131213
Chagrin Plaza Building East	id=g:7131214
Chagrin Plaza Building West	id=g:7131215
Chagrin-Richmond Plaza	id=g:7131216
Commerce Park Circle Building	id=g:7131217
Commerce Park Corners	id=g:7131218
Commerce Park Plaza	id=g:7131219
Darling Building	id=g:7131220
Darwood Building	id=g:7131221
Gunderson Building	id=g:7131222
Doctors Knob	id=g:7131223
Elisha Fannin Hill	id=g:7131224
Fannin Hill	id=g:7131225
The Jeff Knob	id=g:7131226
Doctors Knob Tower	id=g:7131227
Peters Hill Look Out Tower	id=g:7131228
Frazier Flat Lookout Tower	id=g:7131229
Highland Forest	id=g:7131230
Edsall Cemetery	id=g:7131231
School Number 1 (historical)	id=g:7131232
School Number 2 (historical)	id=g:7131233
School Number 4 (historical)	id=g:7131234
School Number 5 (historical)	id=g:7131235
School Number 6 (historical)	id=g:7131236
School Number 7 (historical)	id=g:7131237
School Number 7 (historical)	id=g:7131238
School Number 8 (historical)	id=g:7131239
School Number 8 (historical)	id=g:7131240
School Number 9 (historical)	id=g:7131241
School Number 9 (historical)	id=g:7131242
Galen Bridge (historical)	id=g:7131243
School Number 1 (historical)	id=g:7131244
School Number 1 (historical)	id=g:7131245
School Number 1 (historical)	id=g:7131246
School Number 2 (historical)	id=g:7131247
School Number 2 (historical)	id=g:7131248
School Number 2 (historical)	id=g:7131249
School Number 2 (historical)	id=g:7131250
School Number 3 (historical)	id=g:7131251
School Number 3 (historical)	id=g:7131252
School Number 4 (historical)	id=g:7131253
School Number 5 (historical)	id=g:7131254
School Number 6 (historical)	id=g:7131255
School Number 10 (historical)	id=g:7131256
School Number 4 (historical)	id=g:7131257
School Number 9 (historical)	id=g:7131258
School Number 10 (historical)	id=g:7131259
School Number 12 (historical)	id=g:7131260
Mosher Cemetery	id=g:7131261
School Number 8 (historical)	id=g:7131262
Ensenore	id=g:7131263
Woods Mill Pond (historical)	id=g:7131264
Emily Howland High School	id=g:7131265
School Number 1 (historical)	id=g:7131266
School Number 1 (historical)	id=g:7131267
School Number 2 (historical)	id=g:7131268
School Number 3 (historical)	id=g:7131269
School Number 3 (historical)	id=g:7131270
School Number 4 (historical)	id=g:7131271
School Number 4 (historical)	id=g:7131272
School Number 6 (historical)	id=g:7131273
School Number 7 (historical)	id=g:7131274
School Number 8 (historical)	id=g:7131275
School Number 9 (historical)	id=g:7131276
School Number 10 (historical)	id=g:7131277
School Number 14 (historical)	id=g:7131278
Eaton Cemetery	id=g:7131279
Eaton Road Cemetery	id=g:7131280
Hinman Cemetery	id=g:7131281
Searles Cemetery	id=g:7131282
Wilcox Cemetery	id=g:7131283
School Number 1 (historical)	id=g:7131284
School Number 2 (historical)	id=g:7131285
School Number 3 (historical)	id=g:7131286
School Number 3 (historical)	id=g:7131287
School Number 3 (historical)	id=g:7131288
School Number 3 (historical)	id=g:7131289
School Number 4 (historical)	id=g:7131290
School Number 5 (historical)	id=g:7131291
School Number 5 (historical)	id=g:7131292
School Number 6 (historical)	id=g:7131293
School Number 6 (historical)	id=g:7131294
School Number 7 (historical)	id=g:7131295
School Number 8 (historical)	id=g:7131296
Donathon	id=g:7131297
Elm Grove (historical)	id=g:7131298
Green Valley (historical)	id=g:7131299
Greenwood (historical)	id=g:7131300
Lick Creek	id=g:7131301
Lost Creek	id=g:7131302
Meades Branch	id=g:7131303
Needmore	id=g:7131304
Pleasant Ridge	id=g:7131305
Potters	id=g:7131306
Prosperity (historical)	id=g:7131307
Providence (historical)	id=g:7131308
Ray	id=g:7131309
Rockville (historical)	id=g:7131310
Trinity	id=g:7131311
Upper Tug	id=g:7131312
Webbs Mill (historical)	id=g:7131313
Adams Post Office (historical)	id=g:7131314
Blevins Post Office (historical)	id=g:7131315
Bolton Post Office (historical)	id=g:7131316
Borders Store Post Office (historical)	id=g:7131317
Brig Post Office (historical)	id=g:7131318
Busseyville Post Office (historical)	id=g:7131319
Cadmus Post Office (historical)	id=g:7131320
Canterbury Post Office (historical)	id=g:7131321
Charley Post Office (historical)	id=g:7131322
Cherokee Post Office (historical)	id=g:7131323
Clifford Post Office (historical)	id=g:7131324
Cordell Post Office (historical)	id=g:7131325
Davisville Post Office (historical)	id=g:7131326
Donathon Post Office (historical)	id=g:7131327
Greensburg Assembly of God Church	id=g:7131328
Cradle Park	id=g:7131329
Greensburg Mennonite Church	id=g:7131330
Fuller Railroad Station (historical)	id=g:7131331
Gallop Post Office (historical)	id=g:7131332
Gladys Post Office (historical)	id=g:7131333
Glenwood Post Office	id=g:7131334
Goldie Post Office (historical)	id=g:7131335
Hannah Post Office (historical)	id=g:7131336
Houckville Post Office (historical)	id=g:7131337
Irad Post Office (historical)	id=g:7131338
Ivory Post Office (historical)	id=g:7131339
Jattie Post Office (historical)	id=g:7131340
Jean Post Office (historical)	id=g:7131341
Ledocio Post Office (historical)	id=g:7131342
Leotonia Post Office (historical)	id=g:7131343
Lizzie Post Office	id=g:7131344
Lowmansville Post Office	id=g:7131345
Martha Post Office	id=g:7131346
First United Methodist Church	id=g:7131347
First Baptist Church	id=g:7131348
Kiowa County Memorial Hospital (historical)	id=g:7131349
Kiowa County Courthouse	id=g:7131350
Greensburg Post Office	id=g:7131351
Noris Post Office (historical)	id=g:7131352
Olioville Post Office (historical)	id=g:7131353
Overda Post Office (historical)	id=g:7131354
Prosperity Post Office (historical)	id=g:7131355
