La Rosetta	id=g:6472838
Hotel Estense	id=g:6484951
a Vatican's house bb	id=g:6484957
Suite Syrene	id=g:6484958
Hotel Residence Scoglio degli Achei	id=g:6484959
Hotel alla Campagna - The Chocolate & Flowers Hotel	id=g:6484961
Grand Hotel Pianeta Maratea	id=g:6484962
Hotel L Ancora	id=g:6484963
Hotel Modigliani	id=g:6484964
Hotel Flaminio	id=g:6484967
Hotel Damanse	id=g:6484970
Hotel Eden	id=g:6484971
Le Residenze del centro apartments	id=g:6484972
Hotel Casina Copini	id=g:6484976
Grand Hotel Duomo	id=g:6484977
Tiberius Hotel	id=g:6484978
Tenuta Colle Piajo	id=g:6484981
Hotel Gambrinus	id=g:6484982
Palazzo Leopoldo	id=g:6484985
Hotel Duomo	id=g:6484988
Relais Borgo Brufa & SPA	id=g:6484989
Hotel Palace	id=g:6484990
Hotel Palazzuolo	id=g:6484993
Hotel Saturnia	id=g:6484994
Hotel Panama Garden	id=g:6484997
Il Mirto Bianco  Charming House	id=g:6484998
Stesicorea Palace	id=g:6484999
Hotel SIRENELLA	id=g:6485000
Hotel la Speranza	id=g:6485001
Panorama Hotel	id=g:6485007
Soggiorno Imperia Bed and Breakfast	id=g:6485011
Hotel Mediterraneo	id=g:6485012
Hotel Marinetta	id=g:6485016
Hotel Mayor	id=g:6485017
Hotel Brenzone e Villa del Lago	id=g:6485022
Villa Elite	id=g:6485025
Hotel Giglio dell Opera	id=g:6485029
Hotel Brufani Palace - A SINA Hotel	id=g:6485030
Trullo del Castaldo B&B	id=g:6485034
appartamenti il bruco	id=g:6485035
hotel Maison Des Myrtilles	id=g:6485036
Hotel delle Rose	id=g:6485037
Hotel Santoli	id=g:6485038
Hotel Selene Roma	id=g:6485039
Hotel Vittoria	id=g:6485040
Toscana Ambassador	id=g:6485041
Hotel Mia Cara	id=g:6485042
Hotel Al Pino Verde	id=g:6485043
Hotel Argentario	id=g:6485044
Residenza Lo Duca	id=g:6485046
Ospitalità Perusia	id=g:6485047
Hotel La Tripergola	id=g:6485049
Sporting Hotel	id=g:6485050
Park Hotel Villa Stucky	id=g:6485051
Hotel Ca'Grande	id=g:6485053
Hotel Califfo	id=g:6485056
Hotel Savoia & Campana	id=g:6485058
Hotel Osteria dell'Orcia	id=g:6485059
Hotel Sebino	id=g:6485060
Hotel De Petris	id=g:6485062
Hotel Villa Elisa	id=g:6485064
hotel Le Pleiadi	id=g:6485065
The Secret Garden	id=g:6485066
Hotel Posta del Chianti	id=g:6485067
Grand Hotel Villa Medici -  A SINA Hotel	id=g:6485071
Hotel Maxim	id=g:6485072
Holiday Inn Milan Assago	id=g:6485073
Hotel Bagliori	id=g:6485074
Hotel I Maquis	id=g:6485076
Spanish Steps Apartments	id=g:6485078
Hotel Florence	id=g:6485080
Hotel Villa Stanley	id=g:6485081
Hotel Tryp Verona	id=g:6485083
Hotel Commodore	id=g:6485084
Relais La Corte dei Papi	id=g:6485085
Residence Hotel Lu Nibareddu	id=g:6485091
Ramada Encore Bologna Fiera	id=g:6485092
Palazzo Mannaioni Residence	id=g:6485093
Hotel Victoria	id=g:6485094
Hotel La Steccaia	id=g:6485102
Hotel Duca degli Abruzzi	id=g:6485103
Hotel Orleans	id=g:6485105
Hotel Panama	id=g:6485107
Welcome B&B	id=g:6485109
Hotel Alpi	id=g:6485112
Hotel Le Canne	id=g:6485113
Jolly Hotel Milanofiori	id=g:6485115
b&b gocce di Napoli	id=g:6485116
Hotel d'Este	id=g:6485119
Hotel Residence Le Terrazze	id=g:6485120
Palace Hotel Città	id=g:6485122
Hotel Zeffiro	id=g:6485123
Hotel Raffaello	id=g:6485126
Sport Hotel Veronello	id=g:6485127
Hotel Rotelle	id=g:6485128
bed & Breakfast Belle Arti roma	id=g:6485129
Perugia - Hotel Bonazzi	id=g:6485130
antica locanda	id=g:6485131
appartamenti Rosmery	id=g:6485134
Jolly Hotel Siena	id=g:6485135
Hotel delle Terme Sanfaustino	id=g:6485136
Hotel Venezia 2000	id=g:6485137
Hotel President Firenze	id=g:6485139
Hilton Milan	id=g:6485140
Hotel Rivalago	id=g:6485141
Villa Rosa Hotel	id=g:6485142
Hotel San Siro Fiera	id=g:6485145
Hotel Relais Orsingher	id=g:6485146
Hotel Metropole Suisse	id=g:6485147
Hotel Cruise	id=g:6485150
Park Hotel Villa Angiolina	id=g:6485154
Hotel Leopoldo	id=g:6485157
Il Cantuccio	id=g:6485162
Tenuta Specolizzi	id=g:6485164
Hotel Al Gallo	id=g:6485165
Sleeping Beauty	id=g:6485168
Residence Le Corniole	id=g:6485169
Locanda Herion	id=g:6485170
Hotel Gabriele	id=g:6485171
Hotel Torino San Marco Square	id=g:6485172
Hotel Nizza	id=g:6485174
Starhotels Splendid Venice	id=g:6485181
Hotel L'Ulivo	id=g:6485182
Hotel Villa Bellavista	id=g:6485183
Hotel Costa d Oro	id=g:6485184
Villa Le Barone	id=g:6485185
Hotel Cristallo	id=g:6485191
Podere Casanuova	id=g:6485192
Hotel Bretagna	id=g:6485194
Hotel Cortorillo	id=g:6485196
POGGIO del SOLE	id=g:6485197
Hotel Leon D Oro	id=g:6485198
Hotel  San Giovanni Terme	id=g:6485199
Soggiorno Sogna Firenze	id=g:6485200
Villa Bogoni	id=g:6485202
Hotel De La Ville	id=g:6485206
Hotel Due Mari	id=g:6485207
Hotel Dall'Ongaro	id=g:6485208
Sahara Apt Torvajanica Rome beach	id=g:6485210
Hotel Acasamia	id=g:6485212
Le Fate Apartaments	id=g:6485215
Hotel Palazzo Papaleo	id=g:6485218
b&b corte di re artu	id=g:6485222
Hotel Derby	id=g:6485228
Jolly Residence Milano 2	id=g:6485230
UNAWAY Hotel Roma Nord A1	id=g:6485233
Hotel Savoia & Jolanda	id=g:6485235
Hotel Esedra	id=g:6485236
Hotel Arca	id=g:6485237
Hotel Ascot	id=g:6485240
Hotel Le Terrazze	id=g:6485241
Hotel Dino	id=g:6485242
Podere Morniano Country Farm	id=g:6485243
agriturismo Le Cicale	id=g:6485245
Residenza A The Boutique Art Hotel	id=g:6485246
Hotel La Pace	id=g:6485247
Hotel Le Terrazze	id=g:6485248
Hotel Rouge et Noir	id=g:6485253
Hotel Noblesse	id=g:6485255
Hotel il Cardinale	id=g:6485258
Le Rose Suite Hotel	id=g:6485260
Hotel Euro	id=g:6485261
La Casa di gio'	id=g:6485262
Hotel Florida Lerici	id=g:6485268
Park Hotel Villa Vicini	id=g:6485271
Hotel 207 Comfort Inn	id=g:6485273
Hotel Real	id=g:6485274
Hotel Mac Mahon	id=g:6485275
Hotel Morgana	id=g:6485277
Hotel Forte	id=g:6485278
La Locanda del Mare	id=g:6485280
UNAWAY Hotel Firenze Nord A1	id=g:6485281
Hotel Aquilia	id=g:6485282
Iris  Hotel	id=g:6485283
hotel Minerva & Nettuno	id=g:6485285
Quality Hotel Park Siracusa Sicily	id=g:6485286
Hotel Tenuta il Burchio	id=g:6485289
Villa Sassolini	id=g:6485290
Soglia Hotel Europa	id=g:6485291
Hotel Mazzini	id=g:6485293
Hotel Dei Duchi	id=g:6485296
Sunrise Hotel	id=g:6485297
Hotel Restaurant Villa Crespi	id=g:6485301
Hotel Villa Liberty	id=g:6485302
Hotel Dorè	id=g:6485306
Megaron Rooms and Breakfast	id=g:6485307
Hotel Salus	id=g:6485309
Jolly Hotel Midas	id=g:6485313
Hotel La Bussola Calabria	id=g:6485314
Hotel Boston	id=g:6485321
Hotel Il Podere	id=g:6485323
Savoy Hotel	id=g:6485324
Hotel Asnigo	id=g:6485325
Palazzo Failla Hotel	id=g:6485328
Hotel Borgo Antico	id=g:6485329
Hotel Il Cavalier dArpino	id=g:6485336
Hotel Filoxenia	id=g:6485337
Le Vignole country house	id=g:6485338
Meridiana Country Hotel	id=g:6485341
hotel la corte albertina	id=g:6485342
IL GHIRO guesthouse	id=g:6485343
Hotel La Praia	id=g:6485344
Hotel Deco	id=g:6485346
Hotel & Residence Borgo Grondaie	id=g:6485347
Hotel Regina	id=g:6485350
francesca	id=g:6485351
Hotel  Sa Pischedda	id=g:6485352
Hotel Sovestro	id=g:6485353
Hotel Airone	id=g:6485355
Hotel Rosary Garden	id=g:6485356
Jolly Catania Ognina	id=g:6485357
Hotel Poker	id=g:6485358
Hotel I Giardini di Alice	id=g:6485359
Hotel Lord Byron	id=g:6485360
azienda montalbano	id=g:6485361
Surf Studio Rome beach	id=g:6485362
Hotel Bellavista	id=g:6485363
Hotel Garibaldi	id=g:6485367
Hotel Farnese	id=g:6485368
Hotel Astor	id=g:6485369
Hotel Fiorita	id=g:6485370
Hotel Chicago	id=g:6485372
Masseria Bosco di Makyva	id=g:6485373
Hotel  Residenza San Maurizio	id=g:6485377
Hotel Open Gate	id=g:6485378
Hotel meridiana  Roma	id=g:6485379
Hotel Locanda Cairoli	id=g:6485380
Hotel Liassidi Palace	id=g:6485384
Napoliday	id=g:6485388
Starhotels Michelangelo	id=g:6485391
Hotel & Spa Bellavista Francischiello	id=g:6485394
Hotel San Simeone	id=g:6485395
Locanda Ca Le Vele	id=g:6485396
cascina di villa due bike hotel di campagna	id=g:6485398
Hotel Eden	id=g:6485400
Hotel Parma e Congressi	id=g:6485402
NigaHotel	id=g:6485406
Marignolle Relais & Charme	id=g:6485408
Silica Residence Hotel	id=g:6485409
Hotel Splendid - Zacchera Hotels	id=g:6485415
Hotel Royal Court	id=g:6485416
Hotel Repubblica Marinara	id=g:6485418
a casa di cosimo	id=g:6485422
Tiby Hotel	id=g:6485425
OASIS B&B and Residence	id=g:6485429
LoryHouse   bed & bed	id=g:6485430
Salvador Bed and Breakfast	id=g:6485431
Voceluna	id=g:6485432
Hotel Maiuri	id=g:6485433
hotel l'approdo	id=g:6485435
Hotel Villa Roncuzzi	id=g:6485437
Hotel De Albertis	id=g:6485438
UNA Hotel Vittoria	id=g:6485441
Locanda al Castello	id=g:6485442
Le Stanze di Napoli	id=g:6485444
Hotel Kennedy	id=g:6485445
NH Dioscuri Bay Palace	id=g:6485448
Hotel Atena	id=g:6485449
hotel club cala moresca	id=g:6485450
Hotel Alexandra Plaza	id=g:6485453
Holiday Inn Palermo	id=g:6485462
Hotel Il Papavero	id=g:6485463
La Bella Imperia	id=g:6485464
Hotel Mare Blu	id=g:6485465
Hotel Gabriella	id=g:6485466
Hotel Carnaby	id=g:6485468
Villino La Magnolia	id=g:6485469
Hotel Regina	id=g:6485472
Hotel San Marco & Formula Club	id=g:6485473
Hotel Roma	id=g:6485478
Villa Milani - Residenza d'epoca	id=g:6485480
Hotel Sher Dan	id=g:6485481
Il Borgo di Sutri	id=g:6485484
Ruhl  Beach      Hotel	id=g:6485485
Hotel Astor - A SINA HOTEL	id=g:6485486
Hotel Mari	id=g:6485488
Olga's Residence Relais	id=g:6485492
Locanda Ai Santi Apostoli	id=g:6485493
Hotel Boccaccio	id=g:6485496
L'Alloggio dei Vassalli & day Spa	id=g:6485497
Hotel Locanda Salieri	id=g:6485499
Versilia Holidays Hotel	id=g:6485500
Hotel Farnesina	id=g:6485502
Hotel La Genzianella	id=g:6485503
Hotel Umberto a Mare	id=g:6485505
Hotel Villa Tacchi	id=g:6485506
Hotel Kalura	id=g:6485509
Villa La Torre	id=g:6485511
Hotel Europa	id=g:6485512
Hotel Ninfa Marina	id=g:6485513
Hotel Aurora	id=g:6485514
Hotel President	id=g:6485517
Pensione Wildner	id=g:6485518
Incanto Romano B&B	id=g:6485519
Hotel La Torretta	id=g:6485520
Hotel Trieste	id=g:6485521
Hotel Kraft	id=g:6485522
Hotel  A Paziella	id=g:6485523
Hotel Fenice	id=g:6485525
Hotel Villa Marina	id=g:6485526
Hotel Titano	id=g:6485529
Hotel Bijou	id=g:6485530
Hotel Des Bains	id=g:6485531
Hotel Lido	id=g:6485534
Holiday Inn Perugia	id=g:6485536
Hotel Terme di Rapolla	id=g:6485541
Hotel Sporting Trento	id=g:6485544
Hotel Tower	id=g:6485545
Locanda Ripa delle Janare	id=g:6485546
Hotel Regina	id=g:6485552
Jolly Hotel Igea Brescia	id=g:6485554
Hotel Lo Smeraldo	id=g:6485555
Widman apartment	id=g:6485558
Hotel Donatello	id=g:6485559
Hotel Savoy	id=g:6485560
Hotel Astor	id=g:6485561
Locanda Correr	id=g:6485565
Hotel Le Fioriere	id=g:6485571
Maso di Villa Relais di campagna	id=g:6485572
La Residenza del Proconsolo	id=g:6485577
Relais La Fattoria	id=g:6485578
Starhotels Terminus	id=g:6485579
Hotel Rosa dei Venti	id=g:6485580
My Hotels Radda	id=g:6485585
La casa di Asa	id=g:6485586
Hotel Residence Tramonto	id=g:6485587
Hotel Cala di Volpe	id=g:6485590
Hotel Concorde	id=g:6485591
Hotel Gattapone	id=g:6485592
Hotel Holiday Amalfi Coast	id=g:6485595
Hotel Europa Florence	id=g:6485596
Hotel Venini	id=g:6485597
Residence Oasi dei Celti	id=g:6485602
Hotel Bellevue	id=g:6485603
Hotel Ramapendula	id=g:6485604
Hotel Villa Padulella	id=g:6485606
Golden Tulip Hotel Giulio Cesare	id=g:6485608
Regency Hotel	id=g:6485609
Mini Hotel Portello	id=g:6485613
Residence Crystal Palace	id=g:6485614
Hotel Di Rocco	id=g:6485619
hotel al ponte mocenigo	id=g:6485624
Hotel Mancuso	id=g:6485625
Hotel de Charme Ai Savoia	id=g:6485628
Relais Torre Pratesi	id=g:6485632
Holiday Inn Venice East	id=g:6485633
UNA Hotel Cusani	id=g:6485634
Primotel	id=g:6485635
Hotel Village Eden	id=g:6485638
Hotel Morandi alla Crocetta	id=g:6485639
Hotel Sunset City	id=g:6485643
Hotel San Carlo	id=g:6485645
Torre Cambiaso - Hotel & Conference Center	id=g:6485649
camorea apartment	id=g:6485651
Montebello Guesthouse	id=g:6485654
Hotel Clarean	id=g:6485655
Hotel Rosa	id=g:6485656
amoRomaonline b&b	id=g:6485659
Best Western Astoria Hotel	id=g:6485663
Hotel St Moritz	id=g:6485664
Grand Hotel Michelacci	id=g:6485665
Hotel Zurigo	id=g:6485666
Hotel Artide	id=g:6485667
Hotel La Riserva di Castel d'Appio	id=g:6485670
Hotel Santanna	id=g:6485673
Vico del Sole	id=g:6485677
b&b Casa Sorrentino	id=g:6485679
Tonnara di Scopello	id=g:6485680
Hotel Bellevue Suite	id=g:6485681
Locanda di San Martino - CE D A T S  srl	id=g:6485682
Hotel Royal	id=g:6485684
Villa S  Andrea	id=g:6485686
Guest House San Frediano	id=g:6485687
daniela garden hotel	id=g:6485688
Hotel Quadrifoglio	id=g:6485689
Palazzo Rosa	id=g:6485690
Residenza Cà Dario	id=g:6485691
Hotel Verona	id=g:6485695
Hotel Arizona	id=g:6485697
eterna roma town house suite	id=g:6485698
hotel Borgo di Campagna	id=g:6485699
hotel Casafrassi	id=g:6485700
Hotel Valdarno	id=g:6485704
Uta Bed & Breakfast	id=g:6485705
Hotel Moscatello	id=g:6485706
Hotel Fiorentino	id=g:6485707
Hotel Royal Santina	id=g:6485715
Pensione Giulia	id=g:6485716
Hotel Neapolis	id=g:6485717
Hotel Faraone	id=g:6485718
Hotel Del Corso	id=g:6485719
Hotel Galeno	id=g:6485720
Villa Le Palme	id=g:6485721
Hotel Villa Pandora	id=g:6485722
Hotel  Abbaruja	id=g:6485724
bed and bed napoli	id=g:6485725
La Locanda di San Francesco	id=g:6485727
Hotel Donizetti	id=g:6485729
Hotel Collodi	id=g:6485732
Hotel Ariel Silva	id=g:6485735
Hotel Tramonto D'Oro	id=g:6485736
Hotel Varsavia	id=g:6485737
Hotel Atrium	id=g:6485738
Hotel Roma	id=g:6485739
Hotel Relais Ducale	id=g:6485741
Hotel Residence Nuova Tursport	id=g:6485745
Tiziano	id=g:6485746
Residenza Morpheus	id=g:6485750
Hotel Villa Bollina	id=g:6485751
Melia Poltu Quatu	id=g:6485756
Regiohotel Manfredi	id=g:6485757
Residence GRA 21	id=g:6485758
Residenza il Maggio	id=g:6485759
Hotel Futura Centro Congressi	id=g:6485761
Holland International Rooms	id=g:6485762
Hotel il Chiostro	id=g:6485763
Santa Tecla Palace	id=g:6485768
Hotel Novecento	id=g:6485769
Hotel Majestic	id=g:6485770
Hotel Amarcord	id=g:6485771
