Urochishche Volynkskoye	id=g:1536088
Boloto Sterkhovt	id=g:1536524
Staryye Reshëty	id=g:1536526
Gora Motaikha	id=g:1536527
Gat’	id=g:1536528
Shuvakish	id=g:1536529
Ozernyy	id=g:1536530
Shigashet	id=g:1536531
Orlovka	id=g:1536533
Gremikha	id=g:1536534
Berëzovyy	id=g:1536535
Bryanka	id=g:1536536
Lendakha	id=g:1536537
Kandashimo	id=g:1536538
Veduga	id=g:1536539
Nemchany	id=g:1536540
Yuzhnaya Kadra	id=g:1536541
Panimba	id=g:1536542
Khrebet Voyvande	id=g:1536543
Levaya Veduga	id=g:1536544
Gora Lysaya	id=g:1536545
Khirik	id=g:1536546
Vozvyshennost’ Lyulingsav	id=g:1536547
Koyek	id=g:1536548
Nizhnyaya Rechka	id=g:1536549
Talaya	id=g:1536550
Istochnaya	id=g:1536551
Nikulinskaya-Istochnaya	id=g:1536552
Ust’ Tapsuy	id=g:1536553
Voryapaul’	id=g:1536554
Peya	id=g:1536555
Knyazev	id=g:1536556
Slopeshnaya	id=g:1536557
Peya	id=g:1536558
Berezovaya	id=g:1536559
Nizhniy Kunchet'	id=g:1536560
Khatamchet'	id=g:1536561
Kuchagina	id=g:1536562
Nizhnyaya Tara	id=g:1536563
Chernovskaya	id=g:1536564
Tara	id=g:1536565
Davannaya	id=g:1536566
Talaya	id=g:1536567
Gorelyy	id=g:1536568
Kolokonchet'	id=g:1536569
Ulenchet'	id=g:1536570
Davan	id=g:1536571
Levaya Kamenka	id=g:1536572
Mostovoy	id=g:1536573
Pravyy Ulenchet'	id=g:1536574
Levyy Ulenchet'	id=g:1536575
Tenega	id=g:1536576
Gora Mevakan	id=g:1536577
Gora Kuyabchu	id=g:1536578
Verkhniy Kollikichan	id=g:1536579
Turma	id=g:1536580
Vangash	id=g:1536581
Novodrazhnyy	id=g:1536582
Bol'shaya Gurakhta	id=g:1536583
Talaya	id=g:1536584
Yeruga	id=g:1536585
Gora Istochnaya	id=g:1536586
Gora Sopi Gora	id=g:1536587
Tyryda	id=g:1536588
Rarevaya	id=g:1536589
Som”yakhsos	id=g:1536590
Yanyg-Inkvor	id=g:1536591
Shivera Zuyevskaya	id=g:1536592
Passos	id=g:1536593
Man’-Inkvor	id=g:1536594
Untmitpokh”ya	id=g:1536595
Shivera Shamaga	id=g:1536596
Shivera Grebenskiy Bychok	id=g:1536597
Kar”ya	id=g:1536598
Grebenskaya	id=g:1536599
Tokuchet	id=g:1536600
Man’kar”ya	id=g:1536601
Man’ya	id=g:1536602
Poratyng”ya	id=g:1536603
Ozero Sygtur	id=g:1536604
Boloto Sygturyankalma	id=g:1536605
Pravaya Tumanka	id=g:1536606
Man’-Nyarrotyp’	id=g:1536607
Bulanova	id=g:1536608
Kurunchet	id=g:1536609
Toippaul’ya	id=g:1536610
Rekha	id=g:1536611
Ozero Rivsim	id=g:1536612
Kosoy	id=g:1536613
Porog Kosoy	id=g:1536614
Porog Sokol	id=g:1536615
Pogorelyy	id=g:1536616
Natal'ina	id=g:1536617
Vydrenaya	id=g:1536618
Aleshina	id=g:1536619
Pravyy Kychet	id=g:1536620
Il'dun	id=g:1536621
Ulentuy	id=g:1536622
Pravaya Icha	id=g:1536623
Levaya Icha	id=g:1536624
Kuchekal'	id=g:1536625
Sukhaya Kunchet	id=g:1536626
Syraya Kunchet	id=g:1536627
Nyagyn’	id=g:1536628
Un”yugan	id=g:1536629
Stantsiya Von”yegan	id=g:1536630
Stantsiya Pantyng	id=g:1536631
Ozero Tur-Vam	id=g:1536632
Vyazovka	id=g:1536633
Gora Britaya	id=g:1536634
Izvestkovyy	id=g:1536635
Kladovka	id=g:1536636
Gora Krasnyy Kamen’	id=g:1536637
Shumikha	id=g:1536638
Ozero Boyevskoye	id=g:1536639
Gora Abrosovka	id=g:1536640
Gora Osinovaya	id=g:1536641
Traktovskiy	id=g:1536642
Stantsiya Turbinnaya	id=g:1536643
Pervomayskiy	id=g:1536644
Stantsiya Tal’kovaya	id=g:1536645
Sysert’	id=g:1536646
Zelënyy Bor	id=g:1536647
Istok	id=g:1536648
Istok	id=g:1536649
Larichikha	id=g:1536651
Beloyarskaya Atomnaya Elektrostantsiya	id=g:1536652
Gagarskiy	id=g:1536653
Studencheskiy	id=g:1536654
Kurmanka	id=g:1536655
Ural’skiy	id=g:1536656
Belaya	id=g:1536657
Ostanovochnyy Punkt Baltym	id=g:1536658
Ostanovochnyy Punkt Vesovaya	id=g:1536659
Nyagyn’yugan	id=g:1536660
Blizhnyaya	id=g:1536661
Boguley	id=g:1536662
Zelon	id=g:1536663
Chavila	id=g:1536664
Duleshma	id=g:1536665
Pavel	id=g:1536666
Kezhek	id=g:1536667
Mokchekaya	id=g:1536668
Traktovyy	id=g:1536669
Nobun'	id=g:1536670
Bol'shaya Rechka	id=g:1536671
Duleshma	id=g:1536672
Kamennaya Rechka	id=g:1536673
Malaya Gonda	id=g:1536674
Kunchet'	id=g:1536675
Pinchet	id=g:1536676
Shuptylo	id=g:1536677
Maleyevskiy	id=g:1536678
Sheptylenda	id=g:1536679
Tokokonchet	id=g:1536680
Ostrov Sosnovka	id=g:1536681
Nizhniy Tigan	id=g:1536682
Ogne	id=g:1536683
Salagay	id=g:1536684
Voldyr’	id=g:1536685
Ostrov Domashniy	id=g:1536686
Bol'shaya Rechetka	id=g:1536687
Malaya Rechetka	id=g:1536688
Cheremshanka	id=g:1536689
Zaslonishnaya	id=g:1536690
Tamtachet	id=g:1536691
Tamtachet	id=g:1536692
Gorevaya	id=g:1536693
Poltuchet	id=g:1536694
Yamnyy	id=g:1536695
Gornovskiy	id=g:1536696
Ostrov Chistyy	id=g:1536697
Khindichet	id=g:1536698
Khindichet	id=g:1536699
Ozero Bryzgun	id=g:1536700
Gorevaya	id=g:1536701
Raz"yezd Kuchetkan	id=g:1536702
Novokhayskiy	id=g:1536703
Stantsiya Novokhayskaya	id=g:1536704
Ornagda	id=g:1536705
Stantsiya Chunoyar	id=g:1536706
Stantsiya Tamtachet	id=g:1536707
Raz"yezd Garevoy	id=g:1536708
Stantsiya Tyazhet	id=g:1536709
Zapovednik Malaya Sos’va	id=g:1536710
Shaktaglya	id=g:1536711
Ioutyn’ya	id=g:1536712
Lopsiya	id=g:1536713
Tubinsk	id=g:1536714
Urochishche Dzhirim	id=g:1536715
Dzhirim	id=g:1536716
Zarechnyy	id=g:1536717
Marinino	id=g:1536718
Burluk	id=g:1536719
Urochishche Klimovka	id=g:1536720
Zhuravlevo	id=g:1536721
Belaya	id=g:1536722
Koshurnikovo	id=g:1536723
Tartazyak	id=g:1536724
Urochishche Dzhebskiy Most	id=g:1536725
Urochishche Nikulino	id=g:1536726
Kedrovaya	id=g:1536727
Tyurya	id=g:1536728
Tsentral'nyy	id=g:1536729
Urochishche Migna	id=g:1536730
Urochishche Sisimskiy Most	id=g:1536731
Urochishche Ivanovka	id=g:1536732
Shchetinkino	id=g:1536733
Gora P'yera	id=g:1536734
Urochishche Verkhniy Sisim	id=g:1536735
Urochishche Makar'yevka	id=g:1536736
Urochishche Verkhniy Kuvay	id=g:1536737
Khudaya Kolba	id=g:1536738
Ozero Molytuv	id=g:1536739
Ozero Lyptyntuv	id=g:1536740
Ozero Yemyngtuv	id=g:1536741
Ozero Semtypattytuv	id=g:1536742
Nebur”yugan	id=g:1536743
Kush”yukh”yugan	id=g:1536744
Nyargiyugan	id=g:1536745
Koltys’yanka	id=g:1536746
Aptyn”yugan	id=g:1536747
Ozero Khaleytuv	id=g:1536748
Ozero Un-Nyargitor	id=g:1536749
Ozero Ay-Nyargitor	id=g:1536750
Protoka Koltys’yanskaya	id=g:1536751
Ostrov Sherkal’skiy	id=g:1536752
Nyakhyn’	id=g:1536753
Urochishche Nerga	id=g:1536754
Yazovka	id=g:1536755
Ostrov Unsey	id=g:1536756
Priob’ye	id=g:1536757
Serginskiy	id=g:1536758
Syraya	id=g:1536839
Urochishche Okunëvo	id=g:1536840
Pavlova	id=g:1536841
Gniloy	id=g:1536842
Lugovoye	id=g:1536843
Kul’tepka	id=g:1536844
Chichkayus	id=g:1536845
Kyldat	id=g:1536846
Urochishche Bobrovka	id=g:1536847
Chizhandzi	id=g:1536848
Tagyldat	id=g:1536849
Cherëmushka	id=g:1536850
Bol’shaya Chugoyga	id=g:1536851
Tunguska	id=g:1536852
Gar’	id=g:1536853
Ilinduk	id=g:1536854
Shchetinkina	id=g:1536856
Kurtyul	id=g:1536857
Tyulyupta	id=g:1536858
Berezovskiy	id=g:1536859
Zherzhul	id=g:1536860
Tingino	id=g:1536861
Roshcha	id=g:1536862
Pristan’ Belyy Yar	id=g:1536863
Ozero Beloye	id=g:1536864
Shpalozavod	id=g:1536865
Urochishche Neval’tsevo	id=g:1536866
Mumyshevo	id=g:1536867
Verkhnyaya Chigara	id=g:1536868
Urochishche Bol’shoye Nesterovo	id=g:1536869
Zavodskoy	id=g:1536870
Urochishche Kirillovka	id=g:1536871
Mugotka	id=g:1536872
Pokosnaya	id=g:1536873
Urochishche Stepnoy	id=g:1536874
Pristan’ Khudyakova	id=g:1536875
Ozero Tungusskoye	id=g:1536876
Urochishche Shutovskoye	id=g:1536877
Ozero Shutkino	id=g:1536878
Ozero Kolkhoznoye	id=g:1536879
Ozero Andreyevskoye	id=g:1536880
Ozero Materinovoye	id=g:1536881
Ozero Karbinskoye	id=g:1536882
Chernogorsk Gorod	id=g:1536883
Abakan Gorod	id=g:1536884
Sayanogorsk Gorod	id=g:1536885
Urochishche Abay	id=g:1536887
Urochishche Krasnopol’skoye	id=g:1536888
Allak	id=g:1536889
Luzhki	id=g:1536909
Porog Sredniy Brat	id=g:1536911
Spasova	id=g:1537043
Stantsiya Solyanka	id=g:1537044
Ostanovochnyy Punkt Boshnyakovo	id=g:1537045
Novyy Smolenskiy	id=g:1537047
Stantsiya Filimonovo	id=g:1537048
Malaya Khitoga	id=g:1537049
Patrina	id=g:1537050
Stantsiya Kan Dva	id=g:1537051
Ostanovochnyy Punkt Tëplyye Klyuchi	id=g:1537052
Novosemënovka	id=g:1537053
Razvaliny Zales'ye	id=g:1537054
Razvaliny Kozlovka	id=g:1537055
Aref'yevka	id=g:1537056
Shatash	id=g:1537057
Leont'yevka	id=g:1537058
Malyy Ologash	id=g:1537059
Bol’shoy Ologash	id=g:1537060
Sukho-Yersha	id=g:1537061
Bogoyavlenka	id=g:1537062
Razvaliny Kazanka	id=g:1537063
Dolzhenovka	id=g:1537064
Sterlitamak	id=g:1537065
Kapitonovka	id=g:1537066
Dmitriyevka	id=g:1537067
Urochishche Alekseyevka	id=g:1537068
Vesnina	id=g:1537069
Suzdalovo	id=g:1537070
Mana	id=g:1537071
Stepanovka	id=g:1537072
Voskresenka	id=g:1537073
Tanok	id=g:1537074
Kedrovka	id=g:1537075
Malyy Kanary	id=g:1537076
Ozero Taray	id=g:1537077
Tul'chat	id=g:1537078
Novaya Dmitriyevka	id=g:1537079
Bystrovka	id=g:1537080
Petrovka	id=g:1537081
Rechka	id=g:1537082
Pionerskiy	id=g:1537083
Iskra	id=g:1537085
Amosovka	id=g:1537086
Vesëlyy	id=g:1537101
Ozero Targach	id=g:1537107
Vysokiy	id=g:1537108
Iva	id=g:1537109
Urochishche Pryanichnikova	id=g:1537110
Stantsiya Vstrecha	id=g:1537112
Raz’’yezd Mugay	id=g:1537113
Urochishche Mugayskoye	id=g:1537114
