Wiederfeld	id=g:2761389
Werfen	id=g:2761479
Werbutzalpe	id=g:2761480
Werberg	id=g:2761481
Weppersdorf	id=g:2761482
Wenzersdorf	id=g:2761483
Wenzelberg	id=g:2761484
Wenzelalpe	id=g:2761485
Wenten	id=g:2761486
Wenns	id=g:2761487
Wenns	id=g:2761488
Wenneralm	id=g:2761489
Wenneberger Kammern	id=g:2761490
Wenjapons	id=g:2761491
Wenisbuch	id=g:2761492
Wenireith	id=g:2761493
Wenigzell	id=g:2761494
Wenigreith	id=g:2761495
Weniggleinz	id=g:2761496
Wenigfirling	id=g:2761497
Weng im Innkreis	id=g:2761498
Wengerberg	id=g:2761499
Wenger Bach	id=g:2761500
Wenger Alpe	id=g:2761501
Wenger Alpe	id=g:2761502
Wenger Alpe	id=g:2761503
Weng bei Admont	id=g:2761504
Weng	id=g:2761505
Weng	id=g:2761506
Weng	id=g:2761507
Wendling	id=g:2761508
Wendlgupf	id=g:2761509
Wenderkogl	id=g:2761510
Wendelgraben	id=g:2761511
Wendbach	id=g:2761512
Welzenegg	id=g:2761513
Weltenberg	id=g:2761514
Welten	id=g:2761515
Welserzaalm	id=g:2761516
Welser Hütte	id=g:2761517
Welser Heide	id=g:2761518
Welsergut	id=g:2761519
Welsdorf	id=g:2761520
Schloss Welsberg	id=g:2761521
Schloss Welsbach	id=g:2761522
Politischer Bezirk Wels	id=g:2761523
Wels	id=g:2761524
Wellersdorf	id=g:2761525
Welgersdorf	id=g:2761526
Weizelsdorf	id=g:2761527
Weizberg	id=g:2761528
Weizbach	id=g:2761529
Politischer Bezirk Weiz	id=g:2761530
Weiz	id=g:2761531
Weixmannstall	id=g:2761532
Weixelberg	id=g:2761533
Weixelbaum	id=g:2761534
Weitzendorf	id=g:2761535
Weitwörth	id=g:2761536
Weittal Alpe	id=g:2761537
Weitra	id=g:2761538
Bad Weitlanbrunn	id=g:2761539
Weitgraben	id=g:2761540
Weitersfelden	id=g:2761541
Weitersfeld an der Mur	id=g:2761542
Weitersfeld	id=g:2761543
Weiterschwang	id=g:2761544
Weiterndorf	id=g:2761545
Weiten Tal	id=g:2761546
Weitensfeld	id=g:2761547
Weitensfeld	id=g:2761548
Weitenegg	id=g:2761549
Weitendorf	id=g:2761550
Weitendorf	id=g:2761551
Weitendorf	id=g:2761552
Weitenberg	id=g:2761553
Weiten Bach	id=g:2761554
Weitenbach	id=g:2761555
Weitenau	id=g:2761556
Weiten	id=g:2761557
Weistrach	id=g:2761558
Parete Bianca	id=g:2761559
Weisswände	id=g:2761560
Weissstein	id=g:2761561
Weißspitze	id=g:2761562
Weissseekopf	id=g:2761563
Passo di Melago	id=g:2761564
Weißsee	id=g:2761565
Weisssee	id=g:2761566
Weisspriachbach	id=g:2761567
Weissleiten	id=g:2761568
Palla Bianca	id=g:2761569
Weisskogel	id=g:2761570
Weißkirchen in Steiermark	id=g:2761571
Weisskirchen an der Traun	id=g:2761572
Weiss Horn	id=g:2761573
Weißhaus	id=g:2761574
Weisse Wand	id=g:2761575
Wirtshaus Zur Weißen Wand	id=g:2761576
Weiße Wände	id=g:2761577
Weiße Sulm	id=g:2761578
Weiße Spitze	id=g:2761579
Weißes Kreuz	id=g:2761580
Weißes Beil	id=g:2761581
Weißer Kogel	id=g:2761582
Weißer Hof	id=g:2761583
Weissen Tal	id=g:2761584
Schloss Weißenstein	id=g:2761585
Weissenstein	id=g:2761586
Weissenstein	id=g:2761587
Weissenstein	id=g:2761588
Weißenstein	id=g:2761589
Weissensee	id=g:2761590
Weißensee	id=g:2761591
Weissensee	id=g:2761592
Weissenkirchen in der Wachau	id=g:2761593
Weissenkirchen im Attergau	id=g:2761594
Weissenkirchen an der Perschling	id=g:2761595
Weissenhöhe	id=g:2761596
Weissenhof	id=g:2761597
Weissenhof	id=g:2761598
Weissengrub	id=g:2761599
Schloss Weissenegg	id=g:2761600
Ruine Weissenegg	id=g:2761601
Weisseneck Bach	id=g:2761602
Weißeneckalm	id=g:2761603
Weisseneck	id=g:2761604
Weissenburggegend	id=g:2761605
Weissenburg	id=g:2761606
Weissenberg	id=g:2761607
Weissenberg	id=g:2761608
Weissen Berg	id=g:2761609
Weissenbach Scharte	id=g:2761610
Bahnhof Weissenbach-Sankt Gallen	id=g:2761611
Weissenbachegg	id=g:2761612
Weissenbach bei Mödling	id=g:2761613
Weißenbach bei Liezen	id=g:2761614
Weissenbach an der Triesting	id=g:2761615
Weissenbach an der Enns	id=g:2761616
Weissenbach am Lech	id=g:2761617
Weissenbach am Attersee	id=g:2761618
Weissen Bach	id=g:2761619
Weissenbach	id=g:2761620
Weissenbach	id=g:2761621
Weissenbach	id=g:2761622
Weissen Bach	id=g:2761623
Weissenbach	id=g:2761624
Weißenbach	id=g:2761625
Weissenbach	id=g:2761626
Weissenbach	id=g:2761627
Weissenbach	id=g:2761628
Weissenbach	id=g:2761629
Weissenbach	id=g:2761630
Weissenbach	id=g:2761631
Weissenbach	id=g:2761632
Weißenbach	id=g:2761633
Weissenbach	id=g:2761634
Weissenbach	id=g:2761635
Weissenbach	id=g:2761636
Bad Weißenbach	id=g:2761638
Weißenbach	id=g:2761639
Weissenbach	id=g:2761640
Weissenbach	id=g:2761641
Weißenbach	id=g:2761642
Weissenalbern	id=g:2761643
Weissee	id=g:2761644
Weißeck	id=g:2761645
Weisseck	id=g:2761646
Weisseck	id=g:2761647
Weissbriach	id=g:2761648
Weißberg	id=g:2761649
Weissbachscharte	id=g:2761650
Weissbach bei Lofer	id=g:2761651
Weissbach Alpe	id=g:2761652
Weissbachalm	id=g:2761653
Weissbach	id=g:2761654
Weissbach	id=g:2761655
Weissalpe	id=g:2761656
Weissachgraben	id=g:2761657
Weissach Bach	id=g:2761658
Weißach	id=g:2761659
Weissach	id=g:2761660
Weissach	id=g:2761661
Weisland	id=g:2761662
Weisjackel	id=g:2761663
Weisheim	id=g:2761664
Weisching	id=g:2761665
Weisching	id=g:2761666
Weinzödl	id=g:2761667
Weinzirl	id=g:2761668
Weinzierl bei Krems	id=g:2761669
Weinzierl am Walde	id=g:2761670
Weinzierl am Riederberg	id=g:2761671
Weinzierl	id=g:2761672
Weinzierl	id=g:2761673
Weinzierl	id=g:2761674
Weinzierl	id=g:2761675
Weinzettel	id=g:2761676
Weinwegalm	id=g:2761677
Weinviertl	id=g:2761678
Weint	id=g:2761679
Weinsteig	id=g:2761680
Weinschnabel	id=g:2761681
Weinsberg Forst	id=g:2761682
Weinsberg	id=g:2761683
Weins	id=g:2761684
Weinpolz	id=g:2761685
Weinling	id=g:2761686
Weinleiten	id=g:2761687
Weinitzen	id=g:2761688
Weingraben	id=g:2761689
Weinflaschenkopf	id=g:2761690
Weinern	id=g:2761691
Weineben	id=g:2761692
Weindt	id=g:2761693
Weindorf	id=g:2761694
Weindorf	id=g:2761695
Weindlau	id=g:2761696
Weinburg am Saßbach	id=g:2761697
Weinburg	id=g:2761698
Weinberg im Burgenland	id=g:2761699
Weinberg an der Raab	id=g:2761700
Weinberg	id=g:2761701
Weinberg	id=g:2761702
Weinberg	id=g:2761703
Weinberg	id=g:2761704
Weinberg	id=g:2761705
Weinberg	id=g:2761706
Wein Berg	id=g:2761707
Weinberg	id=g:2761708
Weinberg	id=g:2761709
Weilling	id=g:2761710
Weilhart Forst	id=g:2761711
Weiler	id=g:2761712
Weilenbach	id=g:2761713
Weilbach	id=g:2761714
Weilbach	id=g:2761715
Weiketsedt	id=g:2761716
Weikertsham	id=g:2761717
Weikertschlag an der Thaya	id=g:2761718
Weikertschlag	id=g:2761719
Weikersdorf am Steinfelde	id=g:2761720
Weikersdorf	id=g:2761721
Weikersbach	id=g:2761722
Weikendorf	id=g:2761723
Weikartsschlag	id=g:2761724
Weignersdorf	id=g:2761725
Weignerfeld	id=g:2761726
Weiglkarkopf	id=g:2761727
Weiglhof	id=g:2761728
Weigetschlag	id=g:2761729
Weigersdorf	id=g:2761730
Weigersdorf	id=g:2761731
Weigensam	id=g:2761732
Weigelsdorf	id=g:2761733
Weigelsdorf	id=g:2761734
Weierburg	id=g:2761735
Weienried	id=g:2761736
Weidlingbach	id=g:2761737
Weidlingbach	id=g:2761738
Weidlingau	id=g:2761739
Weidling	id=g:2761740
Weidling	id=g:2761741
Weidinger	id=g:2761742
Weiding	id=g:2761743
Weiding	id=g:2761744
Weidet	id=g:2761745
Weidersdorf	id=g:2761746
Weidern	id=g:2761747
Weidenwinkel	id=g:2761748
Weidenthal	id=g:2761749
Weidenholz	id=g:2761750
Weidenhöfe	id=g:2761751
Weidenegg	id=g:2761752
Weidenburg	id=g:2761753
Weiden bei Rechnitz	id=g:2761754
Weidenbach	id=g:2761755
Weidenaurote	id=g:2761756
Weidenau	id=g:2761757
Weiden am See	id=g:2761758
Weidegger Alm	id=g:2761759
Weidegg	id=g:2761760
Weidach	id=g:2761761
Weidach	id=g:2761762
Weidach	id=g:2761763
Weidach	id=g:2761764
Weidach	id=g:2761765
Fischhub	id=g:2761766
Weidach	id=g:2761767
Weichtalhaus	id=g:2761768
Weichtal	id=g:2761769
Weichstetten	id=g:2761770
Weichselboden	id=g:2761771
Weichselbaum	id=g:2761772
Weichsel Bach	id=g:2761773
Weichsee	id=g:2761774
Weichsberg	id=g:2761775
Weichenberg	id=g:2761776
Weibnitz	id=g:2761777
Weibing	id=g:2761778
Weibern	id=g:2761779
Wehr Bach	id=g:2761780
Wehrabach	id=g:2761781
Wirtshaus Wegscheider	id=g:2761782
Wegscheider	id=g:2761783
Wegscheide	id=g:2761784
Wegscheid	id=g:2761785
Wegscheid	id=g:2761786
Wegscheid	id=g:2761787
Wegscheid	id=g:2761788
Wegscheid	id=g:2761789
Wegscheid	id=g:2761790
Wegleithen	id=g:2761791
Wegbauer	id=g:2761792
Wegalm	id=g:2761793
Weerberg	id=g:2761794
Weerbach	id=g:2761795
Weer	id=g:2761796
Weeg	id=g:2761797
Weeg	id=g:2761798
Wechselspitze	id=g:2761799
Wechselmahder Alpe	id=g:2761800
Wechselkopf	id=g:2761801
Wechsel Berg	id=g:2761802
Wechsel	id=g:2761803
Wechling	id=g:2761804
Webling	id=g:2761805
Weberstorf	id=g:2761806
Weberschlag	id=g:2761807
Weber Kogel	id=g:2761808
Weberberg	id=g:2761809
Weber Alpe	id=g:2761810
Weber Alpe	id=g:2761811
Weber	id=g:2761812
Weber	id=g:2761813
Watzespitze	id=g:2761814
Wazekopf	id=g:2761815
Waxriegel	id=g:2761816
Waxeneckhaus	id=g:2761817
Waxeneck	id=g:2761818
Waxenberg	id=g:2761819
Waxenberg	id=g:2761820
Waxeckferner	id=g:2761821
Watzmanns	id=g:2761822
Watzlberg	id=g:2761823
Watzingeralm	id=g:2761824
Watzing	id=g:2761825
Watzendorf	id=g:2761826
Watzendorf	id=g:2761827
Watzelsdorf	id=g:2761828
Watzelsdorf	id=g:2761829
Watzelsdorf	id=g:2761830
Watzelsdorf	id=g:2761831
Watzehütte	id=g:2761832
Wattental	id=g:2761833
Wattens	id=g:2761834
Wattenberg	id=g:2761835
Watschiger Alpe	id=g:2761836
Watschig	id=g:2761837
Watschen Alpe	id=g:2761838
Wastl am Wald	id=g:2761839
Wastelbaueralm	id=g:2761840
Wastelbaueralm	id=g:2761841
Wasserofen	id=g:2761842
Wasserring	id=g:2761843
Wasserradkopf	id=g:2761844
Wasserleith	id=g:2761845
Wasserkopf	id=g:2761846
Wasser Kogel	id=g:2761847
Wasserklotz	id=g:2761848
Wasserhofen	id=g:2761849
Wassergspreng	id=g:2761850
Wasserfallspitze	id=g:2761851
Wasserfallhöhe	id=g:2761852
Wasserfall Ferner	id=g:2761853
Stausee Wasserfallboden	id=g:2761854
Wasserburg	id=g:2761855
Schloss Wasserberg	id=g:2761856
Wasenspitze	id=g:2761857
Wassenbach	id=g:2761858
Wasenwand	id=g:2761859
Wasensee	id=g:2761860
Wasendorf	id=g:2761861
Waschberg	id=g:2761862
Waschbach	id=g:2761863
Wasai	id=g:2761864
Wartmannstetten	id=g:2761865
Großer Wartkopf	id=g:2761866
Schloss Wartholz	id=g:2761867
Warth	id=g:2761868
Warth	id=g:2761869
Warth	id=g:2761870
Wart	id=g:2761871
Wartenstein	id=g:2761872
Wartenstein	id=g:2761873
Wartenstein	id=g:2761874
Wartenfels	id=g:2761875
Wartegg	id=g:2761876
Wartberg ob der Aist	id=g:2761877
Wartberg an der Krems	id=g:2761878
Wartberg	id=g:2761879
Wartberg	id=g:2761880
Wartberg	id=g:2761881
Wartberg	id=g:2761882
Wart Berg	id=g:2761883
Wartbauer	id=g:2761884
Warscheneck	id=g:2761885
Warnungs	id=g:2761886
Warnsdorfer Hütte	id=g:2761887
Warnblick	id=g:2761888
Warming	id=g:2761889
Warme Mandling	id=g:2761890
Bahnhof Warmbad Villach	id=g:2761891
Warbach	id=g:2761892
Wappoltenreith	id=g:2761893
Wanzenau	id=g:2761894
Wanzbach	id=g:2761895
Wantendorf	id=g:2761896
Wansing Alpe	id=g:2761897
Wansch	id=g:2761898
Wannig	id=g:2761899
Wannespitze	id=g:2761900
Wannersdorf	id=g:2761901
Wannensee	id=g:2761902
Wannenkogl	id=g:2761903
Wankspitze	id=g:2761904
Östliche Karwendelspitze	id=g:2761905
Wankham	id=g:2761906
Wängle	id=g:2761907
Wängle	id=g:2761908
Wangheim	id=g:2761909
Wanghausen	id=g:2761910
Wangham	id=g:2761911
Wangenitzbach	id=g:2761912
Wangauer Ache	id=g:2761913
Wang	id=g:2761914
Wandl Kogel	id=g:2761915
Wandelitzen	id=g:2761916
Wandeck	id=g:2761917
Wandaukogel	id=g:2761918
Wandaubauer	id=g:2761919
Wand	id=g:2761920
Wamprechtsham	id=g:2761921
Wampersdorf	id=g:2761922
Wambach	id=g:2761923
Walzkogel	id=g:2761924
Walzkogel	id=g:2761925
Waltra	id=g:2761926
Walterskirchen	id=g:2761927
Waltersdorf in Oststeiermark	id=g:2761928
Waltersdorf bei Staatz	id=g:2761929
Waltersdorf	id=g:2761930
Waltersdorf an der March	id=g:2761931
Waltersdorf	id=g:2761932
Walterschlag	id=g:2761933
Walterschlag	id=g:2761934
Walterschlag	id=g:2761935
Waltendorf	id=g:2761936
Waltendorf	id=g:2761937
Waltendorf	id=g:2761938
Waltenbach	id=g:2761939
Walsberg	id=g:2761940
Wals	id=g:2761941
Walpersdorf	id=g:2761942
Walpersdorf	id=g:2761943
Walpersbach	id=g:2761944
Wallsee	id=g:2761945
Wallsberg	id=g:2761946
Wallnstorf	id=g:2761947
Wallnerberg	id=g:2761948
Wallner Alpe	id=g:2761949
Wallner	id=g:2761950
Wallner	id=g:2761951
Wallner	id=g:2761952
Wallmersdorf	id=g:2761953
Wällischhof	id=g:2761954
Walling Alpe	id=g:2761955
Walling	id=g:2761956
Wallhütte	id=g:2761957
Wallhornalm	id=g:2761958
Wallhorn	id=g:2761959
Wallersham	id=g:2761960
Wallersee	id=g:2761961
Wallersberg	id=g:2761962
Wallersbach	id=g:2761963
Wallern im Burgenland	id=g:2761964
Wallern an der Trattnach	id=g:2761965
Wallern	id=g:2761966
Wallerberg	id=g:2761967
Wallerbach	id=g:2761968
Wallendorf	id=g:2761969
Walleiten	id=g:2761970
Walkersdorf am Kamp	id=g:2761971
Walkersdorf	id=g:2761972
Walkenstein	id=g:2761973
Walisch Alpe	id=g:2761974
Walegg	id=g:2761975
Waldzell	id=g:2761976
Waldwinkl	id=g:2761977
Waldstein	id=g:2761979
Waldsdorf	id=g:2761980
Schloss Waldschach	id=g:2761981
Waldschach	id=g:2761982
Waldsberg	id=g:2761983
Waldsäge	id=g:2761984
Waldreichs	id=g:2761985
Waldreichs	id=g:2761986
Waldprechting	id=g:2761987
Waldpeter	id=g:2761988
Waldneukirchen	id=g:2761989
Waldner	id=g:2761990
Waldling	id=g:2761991
Waldliess	id=g:2761992
Waldlesberg	id=g:2761993
Waldkogel	id=g:2761994
Waldkirchen an der Thaya	id=g:2761995
Waldkirchen am Wesen	id=g:2761996
Waldkeuschler	id=g:2761997
Wald in der Weststeiermark	id=g:2761998
Walding	id=g:2761999
Wald im Pinzgau	id=g:2762000
Waldhüttlsattel	id=g:2762001
Waldhorn	id=g:2762002
Waldhör	id=g:2762003
Waldhof	id=g:2762004
Waldhof	id=g:2762005
Waldhers	id=g:2762006
Waldheimhütte	id=g:2762007
Waldheimat Schutzhaus	id=g:2762008
Waldheimat	id=g:2762009
Waldhäuser	id=g:2762010
Waldhäuser	id=g:2762011
Waldhausen im Strudengau	id=g:2762012
Waldhausen	id=g:2762013
Waldhausen	id=g:2762014
Waldhams	id=g:2762015
Waldfreundehütte	id=g:2762016
Waldfeld	id=g:2762017
Walderbach	id=g:2762018
Walderalm	id=g:2762019
Waldensteiner Bach	id=g:2762020
Waldenstein	id=g:2762021
Waldenstein	id=g:2762022
Waldeggerhaus	id=g:2762023
Waldegg	id=g:2762024
Waldburg	id=g:2762025
Waldbergen	id=g:2762026
Waldbauer	id=g:2762027
Waldbachstrub	id=g:2762028
Waldbach	id=g:2762029
Waldbach	id=g:2762030
Waldbach	id=g:2762031
Waldandacht	id=g:2762032
Waldamt	id=g:2762033
Wald am Arlberg	id=g:2762034
Waldalm	id=g:2762035
Waldaist	id=g:2762036
Wald	id=g:2762037
Wald	id=g:2762038
Wald am Schoberpaß	id=g:2762039
Wald	id=g:2762040
Wald	id=g:2762041
Wald	id=g:2762042
Wald	id=g:2762043
Walchshausen	id=g:2762044
Walchsee	id=g:2762045
Walchhof	id=g:2762046
Walcher Grund Alpe	id=g:2762047
Walcherbach	id=g:2762048
Walcher Hochalm	id=g:2762049
Walcheralm	id=g:2762050
Walchenbach	id=g:2762051
Walchen	id=g:2762052
Walchen	id=g:2762053
Walchen	id=g:2762054
Walchen	id=g:2762055
Walchbauer	id=g:2762056
Walchbauer	id=g:2762057
Walch	id=g:2762058
Walbersdorf	id=g:2762059
Waizenkirchen	id=g:2762060
Waitzendorf	id=g:2762061
Waitzendorf	id=g:2762062
Waitschach	id=g:2762063
Waisenhofer	id=g:2762064
Waisenegg	id=g:2762065
Waisenberg	id=g:2762066
Waisacher Alm	id=g:2762067
Waisach	id=g:2762068
Waiern	id=g:2762069
Waidring	id=g:2762070
Waidmannsfeld	id=g:2762071
Waidmannsdorf	id=g:2762072
Waidmannsbach	id=g:2762073
Waidischbach	id=g:2762074
Waidisch	id=g:2762075
Waidhoferalm	id=g:2762076
Waidhofen an der Ybbs	id=g:2762077
Politischer Bezirk Waidhofen an der Thaya	id=g:2762078
Waidhofen an der Thaya	id=g:2762079
Waidhof	id=g:2762080
Waidhausen	id=g:2762081
Waidern	id=g:2762082
Waidendorf	id=g:2762083
Waiden Bach	id=g:2762084
Waiden	id=g:2762085
Waidegg	id=g:2762086
Waidau	id=g:2762087
Waidach	id=g:2762088
Waidach	id=g:2762089
Wahrleiten	id=g:2762090
Gemeindebezirk Währing	id=g:2762091
Wahl	id=g:2762092
Wagrainer Bach	id=g:2762093
Wagram an der Traisen	id=g:2762094
Wagram an der Donau	id=g:2762095
Wagram	id=g:2762096
Wagram	id=g:2762097
Wagram	id=g:2762098
Wagram	id=g:2762099
Wagram	id=g:2762100
Wagrainerhöhe	id=g:2762101
Wagrain	id=g:2762102
Wagra	id=g:2762103
Wagnitz	id=g:2762104
Cima Triangolo	id=g:2762105
Wagnerhütte	id=g:2762106
Wagnerberg	id=g:2762107
Wagner Alpe	id=g:2762108
Wagna	id=g:2762109
Waging	id=g:2762110
Wagham	id=g:2762111
Waggendorf	id=g:2762112
Wagersbach	id=g:2762113
Wagerberg	id=g:2762114
Wagenstein Spitze	id=g:2762115
Wagenitzsee	id=g:2762116
Wagenhub	id=g:2762117
Wagenham	id=g:2762118
Wagendorf	id=g:2762119
Wagendorf	id=g:2762120
Wagendorf	id=g:2762121
Wagenbänkberg	id=g:2762122
Wagenbach	id=g:2762123
Weidschober	id=g:2762124
Wadecken	id=g:2762125
Wackersbach	id=g:2762126
Wackendorf	id=g:2762127
Wachtelhütte	id=g:2762128
Wachtel	id=g:2762129
Wachtberg	id=g:2762130
Wachtberg	id=g:2762131
Wachtberg	id=g:2762132
Wachsenberg	id=g:2762133
Wachholz	id=g:2762134
Wach Berg	id=g:2762135
Wachberg	id=g:2762136
Wachau	id=g:2762137
Wabenriegel	id=g:2762138
Waben	id=g:2762139
Wabelsdorf	id=g:2762140
Waasen am Berg	id=g:2762141
Waasen	id=g:2762142
Waasen	id=g:2762143
Waasen	id=g:2762144
Waasen	id=g:2762145
Waasen	id=g:2762146
Waasen	id=g:2762147
Průsmyk Vyšebrodský	id=g:2762148
Vöstenhof	id=g:2762149
Vösendorf	id=g:2762150
Woschza	id=g:2762151
Vorwitzbach	id=g:2762152
Vorwald	id=g:2762153
Vorwald	id=g:2762154
Vorsterbach	id=g:2762155
Vorstanddorf	id=g:2762156
Murau	id=g:2762157
Vornholz	id=g:2762158
Vornholz	id=g:2762159
Vornholz	id=g:2762160
Vornholz	id=g:2762161
Vorneben	id=g:2762162
Vormoos	id=g:2762163
Vormauerstein	id=g:2762164
Vormarkt	id=g:2762165
Vorleiten	id=g:2762166
Voregg	id=g:2762167
Vorder Wurau	id=g:2762168
Vorderwölch	id=g:2762169
Vorderwinkl	id=g:2762170
Vorderweisspriach	id=g:2762171
Vorderweissenbach	id=g:2762172
Vorder Waldriegel	id=g:2762173
Vorderwaldberg	id=g:2762174
Vorderverjunsalpe	id=g:2762175
Vorderunnutz	id=g:2762176
Vordertyrnau	id=g:2762177
Vordertullnerbach	id=g:2762178
Vordertrattberg	id=g:2762179
Vorderthiersee	id=g:2762180
Vordertheissenegg	id=g:2762181
Vordertambergau	id=g:2762182
Vordersuttisalpe	id=g:2762183
Vordere Striegler Alm	id=g:2762184
Vorderstoder	id=g:2762185
Vordersteining	id=g:2762186
Vorder Staff	id=g:2762187
Vorderspadegg	id=g:2762188
Vorderseespitze	id=g:2762189
Vordersee	id=g:2762190
Vordersee	id=g:2762191
Vordersdorf	id=g:2762192
Vorderschroffenau	id=g:2762193
Vorderschlagen	id=g:2762194
Vorderschlag	id=g:2762195
Vorderschlag	id=g:2762196
Vorderschiffl	id=g:2762197
Vordersauerwald	id=g:2762198
Vorderreuthe	id=g:2762199
Vorder Rettenbach	id=g:2762200
Vorder Ramseben	id=g:2762201
Vorderradlach	id=g:2762202
Vorder Pointner	id=g:2762203
Vordernöring	id=g:2762204
Vordernebelberg	id=g:2762205
Vordernberger Bach	id=g:2762206
Vordernberg	id=g:2762207
Vorder Lug	id=g:2762208
Vorderlainsach	id=g:2762209
Vorderlabeneck	id=g:2762210
Vorderkrimml	id=g:2762211
Vorderkrems	id=g:2762212
Vorderkopf	id=g:2762213
Vorderkönigschlag	id=g:2762214
Vorderkogel	id=g:2762215
Vorderkoflach	id=g:2762216
Vorderkleinarl	id=g:2762217
Vorderkaseralm	id=g:2762218
Vorderkaseralm	id=g:2762219
Vorderkaiserfeldenhütte	id=g:2762220
Vorder Kaiser	id=g:2762221
Vorderkaidern	id=g:2762222
Vorderhornbach	id=g:2762223
Vorderhopfreben	id=g:2762224
Vorder Hochau	id=g:2762225
Vordergumitsch	id=g:2762226
Vordergöriach	id=g:2762227
Vordergnadenalm	id=g:2762228
Vorderglemmtal	id=g:2762229
Vordergiggl	id=g:2762230
Vorderfrauenberg	id=g:2762231
Vorderfager Kogel	id=g:2762232
Vorderfager	id=g:2762233
Vorderfager	id=g:2762234
Vordere Zugrieglalmen	id=g:2762235
Vordere Trojeralm	id=g:2762236
Vordere Tormäuer	id=g:2762237
Vordere Tarrentonalm	id=g:2762238
Vorderes Umbaltörl	id=g:2762239
Vordere Strimshütte	id=g:2762240
Vordere Steinkar Spitze	id=g:2762241
Vordere Starkhütte	id=g:2762242
Vorderes Sonnwend Joch	id=g:2762243
Vordere Spitz Alpe	id=g:2762244
Vorderes Freieck	id=g:2762245
Vorderer Zellerhut	id=g:2762246
Vorderer Wilder	id=g:2762247
Vorderer Seelenkogl	id=g:2762248
Vorderer Schwarzmooskogel	id=g:2762249
Vorderer Satzgrat	id=g:2762250
Vorderer Rinn Bach	id=g:2762251
Vorderer Planitzer	id=g:2762252
Vorderer Ofen Kogel	id=g:2762253
Vorderer Maurerkeeskopf	id=g:2762254
Vorderer Langbathsee	id=g:2762255
Vorderer Lahngangsee	id=g:2762256
Vorderer Gosausee	id=g:2762257
Vorderer Gesselkopf	id=g:2762258
Vorderer Findelkarkopf	id=g:2762259
Vordere Rendlspitze	id=g:2762260
Vorderer Brunnenkogl	id=g:2762261
Vorderer Brunnenkogel	id=g:2762262
Vorderer Bärenkopf	id=g:2762263
Vordere Priel Alpe	id=g:2762264
Vordere Plattein Spitze	id=g:2762265
Vordere Pitschenbergalm	id=g:2762266
Vordere Ölgrubenspitzen	id=g:2762267
Vorderer Mooskofel	id=g:2762268
Vorderelsenwang	id=g:2762269
Vordere Lobspitze	id=g:2762270
Vordere Leier	id=g:2762271
Vordere Kesselboden Alpe	id=g:2762272
