Algarga	id=g:3130388
Aldeanueva de Santa Cruz	id=g:3130486
Aldeanueva de Portanovis	id=g:3130487
Aldeanueva del Monte	id=g:3130488
Aldeanueva del Codonal	id=g:3130489
Aldeanueva del Campanario	id=g:3130490
Aldeanueva del Camino	id=g:3130491
Aldeanueva de la Vera	id=g:3130492
Aldeanueva de la Sierra	id=g:3130493
Aldeanueva de Guadalajara	id=g:3130494
Aldeanueva de Figueroa	id=g:3130495
Aldeanueva de Ebro	id=g:3130496
Aldeanueva de Cameros	id=g:3130497
Aldeanueva de Atienza	id=g:3130498
Aldeanueva	id=g:3130499
Aldeamayor de San Martín	id=g:3130500
Aldealseñor	id=g:3130501
Aldealpozo	id=g:3130502
Aldealobos	id=g:3130503
Aldealengua de Santa María	id=g:3130504
Aldealengua	id=g:3130505
Aldealcorvo	id=g:3130506
Aldealcardo	id=g:3130507
Aldealbar	id=g:3130508
Aldealba de Hortacés	id=g:3130509
Aldealázaro	id=g:3130510
Aldealafuente	id=g:3130511
Aldealafuente	id=g:3130512
Aldealabad del Mirón	id=g:3130513
Aldealabad	id=g:3130514
Aldeagutiérrez	id=g:3130515
Aldeagallega	id=g:3130516
Aldeaencabo de Escalona	id=g:3130517
Aldea de San Miguel	id=g:3130518
Aldea de San Esteban	id=g:3130519
Aldea del Rey Niño	id=g:3130520
Aldea del Pinar	id=g:3130521
Aldea del Obispo	id=g:3130522
Aldea del Fresno	id=g:3130523
Aldea de Ebro	id=g:3130524
Aldea de Arriba	id=g:3130525
Aldea de Arango	id=g:3130526
Aldea de Abaixo	id=g:3130527
Aldeadávila de Revilla	id=g:3130528
Aldeadávila de la Ribera	id=g:3130529
Aldeacueva	id=g:3130530
Aldeacipreste	id=g:3130531
Aldea	id=g:3130532
Aldea	id=g:3130533
Aldatz	id=g:3130534
Aldai	id=g:3130535
Monte Aldasur	id=g:3130536
Aldape	id=g:3130537
Aldano	id=g:3130538
Ría de Aldán	id=g:3130539
Aldán	id=g:3130540
Aldaca	id=g:3130541
Aldaba Txiki	id=g:3130542
Aldaba	id=g:3130543
Aldaba	id=g:3130544
Alda	id=g:3130545
Monte Alcurrunz	id=g:3130546
Alcuneza	id=g:3130547
Alcuetas	id=g:3130548
Alcubilla de Nogales	id=g:3130549
Alcubilla del Marqués	id=g:3130550
Alcubilla de las Peñas	id=g:3130551
Alcubilla de Avellaneda	id=g:3130552
Sierra de Alcubierre	id=g:3130553
Alcubierre	id=g:3130554
Alcozar	id=g:3130555
Alkotz	id=g:3130556
Alcover	id=g:3130557
Alcouce	id=g:3130558
Alcotas	id=g:3130559
Alcoroches	id=g:3130560
Alcornocal	id=g:3130561
Alcorlo	id=g:3130562
Alcorisa	id=g:3130563
Alcorcón	id=g:3130564
Alcorcillo	id=g:3130565
Río de Alcora	id=g:3130566
l'Alcora	id=g:3130567
Alconchel de Ariza	id=g:3130568
Alconadilla	id=g:3130569
Alconada de Maderuelo	id=g:3130570
Alconada	id=g:3130571
Alconaba	id=g:3130572
Alcoletge	id=g:3130573
Alcolea del Pinar	id=g:3130574
Alcolea de las Peñas	id=g:3130575
Alcolea de Cinca	id=g:3130576
Río Alcolea	id=g:3130577
Punta Alkolea	id=g:3130578
Alcohujate	id=g:3130579
Alcocero de Mola	id=g:3130580
Alcocer	id=g:3130581
Alcocéber	id=g:3130582
Alcobendas	id=g:3130583
Alcoba de la Torre	id=g:3130584
Alcoba de la Ribera	id=g:3130585
Altzibar	id=g:3130586
Altzibar	id=g:3130587
Río Alchozasa	id=g:3130588
Alceme	id=g:3130589
Alcedo	id=g:3130590
Alcedo	id=g:3130591
Alcedo	id=g:3130592
Alcedo	id=g:3130593
Alceda	id=g:3130594
Alcazarén	id=g:3130595
Alcázar del Rey	id=g:3130596
Alkaiaga	id=g:3130597
Alcarràs	id=g:3130598
Sierra de Alcarama	id=g:3130599
Río Alcantud	id=g:3130600
Alcantud	id=g:3130601
Arroyo de Alcantarillones	id=g:3130602
Alcanó	id=g:3130603
Arroyo de Alcañizo	id=g:3130604
Val de Alcañiz	id=g:3130605
Alcañiz	id=g:3130606
Alcañices	id=g:3130607
Alcanar	id=g:3130608
Río Alcanadre	id=g:3130609
Alcanadre	id=g:3130610
el Campell / Alcampell	id=g:3130611
Alcalá de Moncayo	id=g:3130612
Alcalá del Obispo	id=g:3130613
Alcalá de la Vega	id=g:3130614
Alcalá de la Selva	id=g:3130615
Alcalá de Henares	id=g:3130616
Alcalá de Gurrea	id=g:3130617
Alcalá de Ebro	id=g:3130618
Alcalà de Xivert	id=g:3130619
Río Alcalá	id=g:3130620
Rambla de Alcalá	id=g:3130621
Atalayas de Alcalá	id=g:3130622
Alcaine	id=g:3130623
Alcaidón	id=g:3130624
Alcabre	id=g:3130625
Albuerne	id=g:3130626
Albos	id=g:3130627
Albornos	id=g:3130628
Alborge	id=g:3130629
Alborés	id=g:3130630
Alboreda	id=g:3130631
Alboreca	id=g:3130632
Alberca de Alboré	id=g:3130633
Albons	id=g:3130634
Almika	id=g:3130635
Albolleque	id=g:3130636
Albocàsser	id=g:3130637
Albocabe	id=g:3130638
Albiztur	id=g:3130639
Albiz	id=g:3130640
Albite	id=g:3130641
Albires	id=g:3130642
Barranc de l'Albiol	id=g:3130643
l' Albiol	id=g:3130644
Albinyana	id=g:3130645
Albillos	id=g:3130646
Albijoy	id=g:3130647
Albiasu	id=g:3130648
l' Albi	id=g:3130649
Albeta	id=g:3130650
Arroyo de Albet	id=g:3130651
Albesa	id=g:3130652
Alberuela de Tubo	id=g:3130653
Alberuela de la Liena	id=g:3130654
Alberquería	id=g:3130655
Arroyo del Alberque	id=g:3130656
Albero Bajo	id=g:3130657
Albero Alto	id=g:3130658
Alberite de San Juan	id=g:3130659
Alberite	id=g:3130660
Alberguería de Herguijuela	id=g:3130661
Alberguería	id=g:3130662
Arroyo de los Albercos	id=g:3130663
Nacimiento del Alberche	id=g:3130664
Sierra de la Alberca	id=g:3130665
Albeos	id=g:3130666
Río de Albentosa	id=g:3130667
Albéniz	id=g:3130668
Albendiego	id=g:3130669
Albendea	id=g:3130670
Albella	id=g:3130671
Albelda de Iregua	id=g:3130672
Albelda	id=g:3130673
Albeiros	id=g:3130674
Albatàrrec	id=g:3130675
Arroyo Albatajar	id=g:3130676
Sierra de Albarracín	id=g:3130677
Nudo de Albarracín	id=g:3130678
Albarracín	id=g:3130679
Albariza	id=g:3130680
Albarín	id=g:3130681
Albares	id=g:3130682
Albarellos	id=g:3130683
Albarellos	id=g:3130684
Albarellos	id=g:3130685
Albarellos	id=g:3130686
Albaredos	id=g:3130687
Albaredos	id=g:3130688
Albaredo	id=g:3130689
Albarca	id=g:3130690
Albandi	id=g:3130691
Arroyo de los Albañales	id=g:3130692
Albanyà	id=g:3130693
Albán	id=g:3130694
Albalatillo	id=g:3130695
Albalate de Zorita	id=g:3130696
Albalate de las Nogueras	id=g:3130697
Albalate del Arzobispo	id=g:3130698
Albalate de Cinca	id=g:3130699
Río de Albalate	id=g:3130700
Albaladejito	id=g:3130701
Arroyo de Albalá	id=g:3130702
Albaina	id=g:3130703
l' Albagés	id=g:3130704
Alba de Yeltes	id=g:3130705
Alba de Tormes	id=g:3130706
Alba de los Cardaños	id=g:3130707
Alba de Cerrato	id=g:3130708
Albacastro	id=g:3130709
Praia de Sabón	id=g:3130710
Peña de Alba	id=g:3130711
Alba	id=g:3130712
Albá	id=g:3130713
Alba	id=g:3130714
Alba	id=g:3130715
Alba	id=g:3130716
Provincia de Álava	id=g:3130717
Álava	id=g:3130718
Alastruey	id=g:3130719
Alàs i Cerc	id=g:3130720
Alarilla	id=g:3130721
Garganta de Alardos	id=g:3130722
Alar del Rey	id=g:3130723
Alarcia	id=g:3130724
Alarba	id=g:3130725
Alaraz	id=g:3130726
Alano Espelunga	id=g:3130727
Alaminos	id=g:3130728
Alameda Vieja	id=g:3130729
Alameda del Valle	id=g:3130730
Alameda	id=g:3130731
Alalpardo	id=g:3130732
Alaló	id=g:3130733
Alaje	id=g:3130734
Alaje	id=g:3130735
Alaiza	id=g:3130736
Sierra de Alaiz	id=g:3130737
Alais	id=g:3130738
Alagón	id=g:3130739
A Lagoa	id=g:3130740
Alaejos	id=g:3130741
Aladrén	id=g:3130742
Barranco de Alacón	id=g:3130743
Alacón	id=g:3130744
Alácano	id=g:3130745
Ajuria	id=g:3130746
Ría de Ajo	id=g:3130747
Cabo Ajo	id=g:3130748
Ajo	id=g:3130749
Ajarte	id=g:3130750
Ajanedo	id=g:3130751
Ajamil	id=g:3130752
Ajalvir	id=g:3130753
Aja	id=g:3130754
Age	id=g:3130755
Punta Aiztandi	id=g:3130756
Aizpurutxo	id=g:3130757
Aizpún	id=g:3130758
Aizpe-goicoechea	id=g:3130759
Aizoáin	id=g:3130760
Aizároz	id=g:3130761
Aizarnazabal	id=g:3130762
Aizarna	id=g:3130763
Aitzgorri	id=g:3130764
Aitza	id=g:3130765
Aitzarte Aldea	id=g:3130766
Aitlluitz	id=g:3130767
Aísa	id=g:3130768
Serra Airosa	id=g:3130769
Airoá	id=g:3130770
Ainzón	id=g:3130771
Aínsa	id=g:3130772
Ainielle	id=g:3130773
Sierra de Aineto	id=g:3130774
Aineto	id=g:3130775
Aintzioa	id=g:3130776
Aintzialde	id=g:3130777
Roca d’ Aïll	id=g:3130778
Ailanes	id=g:3130779
Parque Nacional de Aigües Tortes-Sant Maurici	id=g:3130780
Aiguaviva	id=g:3130781
Aiguabella	id=g:3130782
Aiguamúrcia	id=g:3130783
l'Aigua d'Ora	id=g:3130784
Aigas	id=g:3130785
Río Aifonso	id=g:3130786
Áibar	id=g:3130787
Río Ahogaborricos	id=g:3130788
Río Ahio	id=g:3130789
Ahigal de Villarino	id=g:3130790
Ahigal de los Aceiteros	id=g:3130791
Ahigal	id=g:3130792
Ahedo	id=g:3130793
Ahedo	id=g:3130794
Agustín	id=g:3130795
Agullana	id=g:3130796
Planell de la Agulla	id=g:3130797
Arroyo de las Agujas	id=g:3130798
Río Aguisejo	id=g:3130799
Aguis	id=g:3130800
Aguiró	id=g:3130801
Peña de los Aguiones	id=g:3130802
Aguiones	id=g:3130803
Aguino	id=g:3130804
Aguinalíu	id=g:3130805
Aginaga	id=g:3130806
Aginaga	id=g:3130807
Aginaga	id=g:3130808
Arroyo del Aguilón	id=g:3130809
Aguilón	id=g:3130810
Aguiló	id=g:3130811
Punta dos Aguillóns	id=g:3130812
Aguillo	id=g:3130813
Aguilera	id=g:3130814
Aguilarejo	id=g:3130815
Aguilar de Tera	id=g:3130816
Aguilar de Segarra	id=g:3130817
Aguilar de Montuenga	id=g:3130818
Aguilar del Río Alhama	id=g:3130819
Aguilar del Alfambra	id=g:3130820
Aguilar de Ebro	id=g:3130821
Aguilar de Codés	id=g:3130822
Aguilar de Campos	id=g:3130823
Aguilar de Campóo	id=g:3130824
Aguilar de Bureba	id=g:3130825
Aguilar de Anguita	id=g:3130826
Aguilar	id=g:3130827
Aguilafuente	id=g:3130828
Sierras del Águila	id=g:3130829
Sierra del Águila	id=g:3130830
Risco del Águila	id=g:3130831
Punta del Águila	id=g:3130832
Punta del Águila	id=g:3130833
Punta del Águila	id=g:3130834
Peña del Águila	id=g:3130835
Punta Aguieira	id=g:3130836
Aguiar	id=g:3130837
Aguiar	id=g:3130838
Punta de Aguete	id=g:3130839
Agüés	id=g:3130840
Agüero	id=g:3130841
Agüero	id=g:3130842
Agüerina	id=g:3130843
Agüería	id=g:3130844
Agüeras	id=g:3130845
Agüera del Coto	id=g:3130846
Agüera de Castañedo	id=g:3130847
Agüera de Carriles	id=g:3130848
Río Agüera	id=g:3130849
Agüera	id=g:3130850
Agüera	id=g:3130851
Agüera	id=g:3130852
Agüera	id=g:3130853
Agüera	id=g:3130854
Agüera	id=g:3130855
Agüera	id=g:3130856
Agüera	id=g:3130857
Agüela	id=g:3130858
Río Agüeira	id=g:3130859
Rio Águeda	id=g:3130860
Pantano de Águeda	id=g:3130861
Monte Agudo	id=g:3130862
Monte Agudo	id=g:3130863
Agudo	id=g:3130864
Arroyo de los Agudillos	id=g:3130865
Arroyo de la Agudilla	id=g:3130866
Agudelo	id=g:3130867
Punta Agudela	id=g:3130868
Puig de les Agudes	id=g:3130869
Punta Aguda	id=g:3130870
Peña Aguda	id=g:3130871
Aguda	id=g:3130872
Aguaviva de la Vega	id=g:3130873
Aguaviva	id=g:3130874
Aguatón	id=g:3130875
Río Aguasvivas	id=g:3130876
Aguas Santas	id=g:3130877
Augasantas	id=g:3130878
Augasmestas	id=g:3130879
Río Aguas Limpias	id=g:3130880
Aguas Cándidas	id=g:3130881
Aguascaldas	id=g:3130882
Praia de Augasantas	id=g:3130883
Augasantas	id=g:3130884
Aguasantas	id=g:3130885
Barranco de Agua Salada	id=g:3130886
Balsa Agua Salada	id=g:3130887
Aguasal	id=g:3130888
Aguarón	id=g:3130889
Aguarda	id=g:3130890
Barranco de Agua Oliva	id=g:3130891
Arroyo de Aguanal	id=g:3130892
Río Aguamía	id=g:3130893
Punta Aguamía	id=g:3130894
Aguamaroza	id=g:3130895
Agualada	id=g:3130896
Aguajosa	id=g:3130897
Aguaenfría	id=g:3130898
Serra da Agua Levada	id=g:3130899
Aguada	id=g:3130900
Barranco del Agua Baja	id=g:3130901
Torca del Agua	id=g:3130902
Arroyo de Agua	id=g:3130903
Agrón	id=g:3130904
Agrón	id=g:3130905
Agrodosío	id=g:3130906
Río Agro	id=g:3130907
Agrelo	id=g:3130908
Ágreda	id=g:3130909
Agranzón	id=g:3130910
Agramunt	id=g:3130911
Agrade	id=g:3130912
Agra	id=g:3130913
Agorreta	id=g:3130914
Agones	id=g:3130915
Agoncillo	id=g:3130916
Agón	id=g:3130917
Peña Agoeira	id=g:3130918
Agés	id=g:3130919
Àger	id=g:3130920
Agell	id=g:3130921
Agarre	id=g:3130922
Agar	id=g:3130923
Agallas	id=g:3130924
Río Agadones	id=g:3130925
Río Agadón	id=g:3130926
Aeta	id=g:3130927
Aés	id=g:3130928
Ael	id=g:3130929
Adzaneta	id=g:3130930
Aduna	id=g:3130931
Adri	id=g:3130932
Adraño	id=g:3130933
Adrall	id=g:3130934
Adralés	id=g:3130935
Adragonte	id=g:3130936
Adrados	id=g:3130937
Adrados	id=g:3130938
Adrado	id=g:3130939
Adradas	id=g:3130940
Adrada de Pirón	id=g:3130941
Adrada de Haza	id=g:3130942
Adobes	id=g:3130943
Adoáin	id=g:3130944
Arroyo de los Adjuntos	id=g:3130945
Adiós	id=g:3130946
Adino	id=g:3130947
Adigna	id=g:3130948
Monte Adi	id=g:3130949
Ademuz	id=g:3130950
Adelán	id=g:3130951
Islas de Addaya	id=g:3130952
Aday	id=g:3130953
Aday	id=g:3130954
Aday	id=g:3130955
Monte Adarra	id=g:3130956
Estación de Adanero-Muñoz	id=g:3130957
Adanero	id=g:3130958
Adana	id=g:3130959
Clot de Adalt	id=g:3130960
Arroyo Adalia	id=g:3130961
Adalia	id=g:3130962
Adal	id=g:3130963
Río Adaja	id=g:3130964
Adahuesca	id=g:3130965
Adá	id=g:3130966
Acuncheira	id=g:3130967
Acumuer	id=g:3130968
Arroyo del Acueducto	id=g:3130969
Acrijos	id=g:3130971
Acova	id=g:3130972
Acosta	id=g:3130973
Akorda	id=g:3130974
Acorda	id=g:3130975
Acín	id=g:3130976
Acilu	id=g:3130977
Aciera	id=g:3130978
Acibo	id=g:3130979
Aciberos	id=g:3130980
Monte Acibal	id=g:3130981
Ensenada de Achuri	id=g:3130982
Collado Achuela	id=g:3130983
Puerto de Acheri	id=g:3130984
Río Acheiro	id=g:3130985
Achas	id=g:3130986
Acevedo	id=g:3130987
Aceveda	id=g:3130988
Aces	id=g:3130989
Acereda	id=g:3130990
Acered	id=g:3130991
Acera de la Vega	id=g:3130992
Acellana	id=g:3130993
Puerto Aceituno	id=g:3130994
Aceituna	id=g:3130995
Acedre	id=g:3130996
Acedo de los Caballeros	id=g:3130997
Acedillo	id=g:3130998
Acebro	id=g:3130999
Manantial Aceboso	id=g:3131000
Aceboso	id=g:3131001
Acebo	id=g:3131002
Acebo	id=g:3131003
Acebes del Páramo	id=g:3131004
Acebeiros	id=g:3131005
Acebeiro	id=g:3131006
Monte Acebedo	id=g:3131007
Acebedo	id=g:3131008
Acebedo	id=g:3131009
Acebedo	id=g:3131010
Acebedo	id=g:3131011
Acebedo	id=g:3131012
Acebal	id=g:3131013
Acebal	id=g:3131014
Acebal	id=g:3131015
Acebal	id=g:3131016
Acebal	id=g:3131017
Abusejo	id=g:3131018
Río Abuín	id=g:3131019
Abuime	id=g:3131020
Abruciños	id=g:3131021
Arroyo Abroñigal	id=g:3131022
Abres	id=g:3131023
Abrera	id=g:3131024
Abrente	id=g:3131025
Abraveses de Tera	id=g:3131026
Abrairas	id=g:3131028
Abraido	id=g:3131029
Abragán	id=g:3131030
Playa del Abra	id=g:3131031
Aboy	id=g:3131032
Abornícano	id=g:3131033
Ría de Aboño	id=g:3131034
Aboño	id=g:3131035
Sierra de Abodi	id=g:3131036
Ablitas	id=g:3131037
Ables	id=g:3131038
Río Ablanquejo	id=g:3131039
Ablanque	id=g:3131040
Ablanedo	id=g:3131041
Ablanedo	id=g:3131042
Ablanedo	id=g:3131043
Ablanedo	id=g:3131044
Ablaneda	id=g:3131045
Ablaneda	id=g:3131046
Ablaña de Arriba	id=g:3131047
Ablaña de Abajo	id=g:3131048
Abizanda	id=g:3131049
Abionzo	id=g:3131050
Río Abioncillo	id=g:3131051
Abioncillo	id=g:3131052
Abión	id=g:3131053
Abínzano	id=g:3131054
Abiegos	id=g:3131055
Abiego	id=g:3131056
Abia de las Torres	id=g:3131057
Abia de la Obispalía	id=g:3131058
Abiada	id=g:3131059
Abi	id=g:3131060
Abezames	id=g:3131061
Abesedo	id=g:3131062
Aberin	id=g:3131063
Aberásturi	id=g:3131064
Abeo	id=g:3131065
Abenilla	id=g:3131066
Abenfigo	id=g:3131067
Abena	id=g:3131068
Abelón	id=g:3131069
Arroyo de Abelleira	id=g:3131070
Abelleira	id=g:3131071
Abelleira	id=g:3131072
Abelleira	id=g:3131073
Abellas	id=g:3131074
Abella de la Conca	id=g:3131075
Río de Abella	id=g:3131076
Abellá	id=g:3131077
Abella	id=g:3131078
Abelgas	id=g:3131079
Abelendo	id=g:3131080
Abelenda	id=g:3131081
Abelenda	id=g:3131082
Abeleiras	id=g:3131083
Abeledos	id=g:3131084
Abeledo	id=g:3131085
Abeleda	id=g:3131086
Abeleda	id=g:3131087
Río Abejón	id=g:3131088
Abejera	id=g:3131089
Abejar	id=g:3131090
Abeijón	id=g:3131092
Abegondo	id=g:3131093
Alto Abedules	id=g:3131094
Abedules	id=g:3131095
Abedul	id=g:3131096
Río Abedes	id=g:3131097
Abedes	id=g:3131098
Abecia	id=g:3131099
Abechuco	id=g:3131100
Abeancos	id=g:3131101
Abeancos	id=g:3131102
Abayu	id=g:3131103
Abay	id=g:3131104
Abavides	id=g:3131105
Abaurrepea	id=g:3131106
Abaurregaina	id=g:3131107
Abastillas	id=g:3131108
Abastas	id=g:3131109
Abárzuza	id=g:3131110
Monte Abartán	id=g:3131111
Punta Avarenta	id=g:3131112
Abarca	id=g:3131113
Abantro	id=g:3131114
Abanto y Ciérvana	id=g:3131115
Abantos	id=g:3131116
Abanto	id=g:3131117
Abanqueiro	id=g:3131118
Abaño	id=g:3131119
Abanillas	id=g:3131120
Abaniella	id=g:3131121
Abango	id=g:3131122
Abándames	id=g:3131123
Abanco	id=g:3131124
Abanceña	id=g:3131125
Abánades	id=g:3131126
Abamia	id=g:3131127
Ábalos	id=g:3131128
Ábalo	id=g:3131129
Aballe	id=g:3131130
Abaltzisketa	id=g:3131131
Laguna de Abajo	id=g:3131132
Abajas	id=g:3131133
Abaira	id=g:3131134
Abáigar	id=g:3131135
Abadín	id=g:3131136
Abadiño	id=g:3131137
Abadía	id=g:3131138
Abades	id=g:3131139
Abades	id=g:3131140
Abades	id=g:3131141
Abadengo de Torío	id=g:3131142
Abad	id=g:3131143
Ababuj	id=g:3131144
Cabeza de la Cornanta	id=g:3209314
Molino	id=g:3211872
Punta Cruz de Florez	id=g:3211873
El Bocal	id=g:3211874
Bajos de Malasmañas	id=g:3211875
Anchorage Saradinero	id=g:3211876
Bajo El Calo	id=g:3211877
Bajo La Garma	id=g:3211878
Río Cubas	id=g:3211880
Punta Rabiosa	id=g:3211881
Río de Galizano	id=g:3211882
Lastra de las Cuevas	id=g:3211883
Playa de Cuberris	id=g:3211884
Monte Galizano	id=g:3211885
Monte Molino	id=g:3211886
Monte Zincho	id=g:3211887
Punta Quejo Menor	id=g:3211888
Punta de Arnadal	id=g:3211889
Playa de Cuarezo	id=g:3211890
Punta Garfanta	id=g:3211891
Piedra Morcejonera	id=g:3211892
Bajos de la Vaca	id=g:3211893
Bajo de Tierra	id=g:3211894
Ensenada de Noja	id=g:3211895
Punta del Cañaverón	id=g:3211896
Ajones de Berria	id=g:3211897
Elguera	id=g:3211898
Monte Midjedo	id=g:3211899
Monte del Brusco	id=g:3211900
Monte Ganzo	id=g:3211901
Monte Mazoba	id=g:3211902
Banco del Pitorro	id=g:3211903
Fondeadero del Fraile	id=g:3211904
Punta del Peón	id=g:3211905
Canal de Boó	id=g:3211906
Canal de Argaños	id=g:3211907
Canal Ano	id=g:3211908
Ría del Asón	id=g:3211909
Punta de la Arenilla	id=g:3211910
Punta del Olivar	id=g:3211911
Canal de Jorge	id=g:3211912
Playa de Cicero	id=g:3211913
Canal de Limpias	id=g:3211914
Monte Casilla	id=g:3211917
Punta Cueva Colina	id=g:3211918
Puente de Vizcaya	id=g:3212055
Restinga de Algorta	id=g:3212057
Puerto Pesquero de Santurtzi	id=g:3212065
La Magdalena	id=g:3212123
El Petón	id=g:3212124
Piedra Perico	id=g:3212125
Bajo El Castanar	id=g:3212126
Punta del Pical	id=g:3212127
Playa del Espartal	id=g:3212128
Raíces	id=g:3212129
Muelle de Raíces	id=g:3212130
Marismas de Llodero	id=g:3212131
Zeluán	id=g:3212132
Punta Cercada	id=g:3212133
Punta de la Garza	id=g:3212134
Monte Chagó	id=g:3212135
Punta del Home	id=g:3212136
Monte Bocon	id=g:3212137
Muelle de Levante	id=g:3212138
Restinga de Cabo de Torres	id=g:3212139
Banco Las Amosucas	id=g:3212140
Darsena del Musel	id=g:3212141
Dique Principe de Asturias	id=g:3212145
Muelle de la Osa	id=g:3212150
Dique de la Osa	id=g:3212151
La Figar	id=g:3212152
Cerro del Otero	id=g:3212153
La Calzada	id=g:3212154
Piedra del Hueso	id=g:3212155
Serrapio de Tierra	id=g:3212156
Serrapio del Mar	id=g:3212158
Roca Punta de Amandi	id=g:3212159
Roca Martín	id=g:3212160
Roca La Moral	id=g:3212161
Piedra del Río	id=g:3212162
Punta Peña del Cuervo	id=g:3212163
Sagrado Corazón	id=g:3212171
Iglesia de San Lorenzo	id=g:3212172
Castell de Montjuïc	id=g:3213007
Platja de Montgat	id=g:3213008
Sant Beltrà	id=g:3213009
Drassanes Reials	id=g:3213010
Dàrsena del Comerç	id=g:3213011
Estació de França	id=g:3213012
Cap de Sant Jordi	id=g:3213027
Punta de Cala de Oca	id=g:3213028
Punta de Riu de Llastres	id=g:3213029
Punta Porquerola	id=g:3213030
Vilafortuny	id=g:3213031
Rada de Salou	id=g:3213032
Rincón de Salou	id=g:3213033
Punta del Milagro	id=g:3213036
Basigo de Baguio	id=g:3213563
Ensenada de Barra	id=g:3213604
Ensenada de Limens	id=g:3213605
Ría de Cangas	id=g:3213607
Ensenada de Moaña	id=g:3213609
Ensenada de Teis	id=g:3213610
Ensenada de Vigo	id=g:3213611
Enseada de Bouzas	id=g:3213612
Roupeiro	id=g:3213613
Playa del Carril	id=g:3213618
Cabo de Mar	id=g:3213622
Playa de Samil	id=g:3213624
Punta Lagares	id=g:3213625
Praia de Coruxo	id=g:3213626
Playa del Bao	id=g:3213627
Vilamar	id=g:3213629
Toralla	id=g:3213630
Playa Canido	id=g:3213632
Punta de los Pinos	id=g:3213633
Arenal de Monduiña	id=g:3213634
Punta Marosa	id=g:3213635
Punta Serral	id=g:3213636
Cabo Pequeño	id=g:3213642
Punta Promontoria	id=g:3213643
Punta Muxileira	id=g:3213644
Punta Greixña	id=g:3213645
Punta Corbeiro dos Castros	id=g:3213646
Punta Roca dos Patos	id=g:3213647
Punta Punta Oeste de Limens	id=g:3213649
Punta Salgueira	id=g:3213656
Punta Fanequeiro	id=g:3213657
Ensenada do Rey	id=g:3213658
Isla Corbeiro	id=g:3213659
Cabo Balea	id=g:3213660
Balea	id=g:3213661
Salgueirón	id=g:3213662
Punta Rodeira	id=g:3213663
Punta das Ratas	id=g:3213664
