Katzenöd	id=g:2892167
Kattenvenner Moor	id=g:2892309
Kattenvenne	id=g:2892310
Kattenvenn	id=g:2892311
Kattenstroth	id=g:2892312
Kattenstiegs-Mühle	id=g:2892313
Kattenstiegsee	id=g:2892314
Kattensteert-Bach	id=g:2892315
Kattenstart	id=g:2892316
Kattens	id=g:2892317
Kattenhund	id=g:2892318
Kattenhorn	id=g:2892319
Kattenhorn	id=g:2892320
Kattenhöhlen	id=g:2892321
Kattenhochstatt	id=g:2892322
Kattenheide	id=g:2892323
Kattenes	id=g:2892324
Kattendorf	id=g:2892325
Kattenbusch	id=g:2892326
Staatsforst Kattenbühl	id=g:2892327
Försterei Kattenbühl	id=g:2892328
Hof Kattenbruch	id=g:2892329
Kattenbruch	id=g:2892330
Kattenbreuken	id=g:2892331
Katten-Berge	id=g:2892332
Katten Berg	id=g:2892333
Katten-Berg	id=g:2892334
Kattenberg	id=g:2892335
Kattenberg	id=g:2892336
Kattenberg	id=g:2892337
Kattenberg	id=g:2892338
Kattenbek	id=g:2892339
Kattenbeck	id=g:2892340
Kattenbarg	id=g:2892341
Kattenbach	id=g:2892342
Kattelingerort	id=g:2892343
Kattberg	id=g:2892344
Kattbeker Gehege	id=g:2892345
Kattbek	id=g:2892346
Kattbek	id=g:2892347
Katstelle	id=g:2892348
Katschwitz	id=g:2892349
Katschow	id=g:2892350
Katschenreuth	id=g:2892351
Katscheckerhof	id=g:2892352
Katroper Höhe	id=g:2892353
Katrop	id=g:2892354
Katrevel	id=g:2892355
Katrepel	id=g:2892356
Katlenburg-Duhm	id=g:2892357
Forst Katlenburg	id=g:2892358
Katlen-Bach	id=g:2892359
Katingsiel	id=g:2892360
Katinger Watt	id=g:2892361
Kätingen	id=g:2892362
Kating	id=g:2892363
Kathusen	id=g:2892364
Kathus	id=g:2892365
Kathrinhagen	id=g:2892366
Kathragrub	id=g:2892367
Katholisch-Willenroth	id=g:2892368
Käthnersgraben	id=g:2892369
Kathlower Teich	id=g:2892370
Kathlower Forst	id=g:2892371
Kathlow	id=g:2892372
Kathewitz	id=g:2892373
Kathenstedt	id=g:2892374
Kathenmoor	id=g:2892375
Kathen-Frackel	id=g:2892376
Kathener Hengst Berge	id=g:2892377
Kolonie Kathendorf	id=g:2892378
Kathendorf	id=g:2892379
Kathen-Berg	id=g:2892380
Käthen	id=g:2892381
Kathen	id=g:2892382
Katharinenwasser	id=g:2892383
Katharinenthal	id=g:2892384
Katharinenthal	id=g:2892385
Katharinentaler Hof	id=g:2892386
Försterei Katharinensee	id=g:2892387
Katharinen See	id=g:2892388
Katharinensee	id=g:2892389
Katharinen See	id=g:2892390
Katharinenrieth	id=g:2892391
Katharinenplaisir	id=g:2892392
Katharinenholz	id=g:2892393
Katharinenholz	id=g:2892394
Katharinenhöhe	id=g:2892395
Vorwerk Katharinenhof	id=g:2892396
Katharinenhof	id=g:2892397
Katharinenhof	id=g:2892398
Katharinenhof	id=g:2892399
Katharinenhof	id=g:2892400
Katharinenhof	id=g:2892401
Katharinenhof	id=g:2892402
Katharinenhof	id=g:2892403
Katharinenhof	id=g:2892404
Katharinenhof	id=g:2892405
Katharinenheerd	id=g:2892406
Katharinen-Graben	id=g:2892407
Katharinenborn	id=g:2892408
Katharinenberg	id=g:2892409
Katharinenberg	id=g:2892410
Katharinen-Berg	id=g:2892411
Katharinen-Berg	id=g:2892412
Katharinenberg	id=g:2892413
Katharinenberg	id=g:2892414
Katharinenbach	id=g:2892415
Katharinazell	id=g:2892416
Katharina Berg	id=g:2892417
Katharinabach	id=g:2892418
Katharied	id=g:2892419
Kathal	id=g:2892420
Katersdobersdorf	id=g:2892421
Katernberg	id=g:2892422
Katernberg	id=g:2892423
Katermuth	id=g:2892424
Katermautze	id=g:2892425
Kater-Kopf	id=g:2892426
Katerkamp	id=g:2892427
Käterhagen	id=g:2892428
Katerbower See	id=g:2892429
Gutsforst Katerbow	id=g:2892430
Katerbow	id=g:2892431
Kater-Berg	id=g:2892432
Kater	id=g:2892433
Katensen	id=g:2892434
Katensen	id=g:2892435
Katenkopf	id=g:2892436
Katenkamp	id=g:2892437
Catenhorn	id=g:2892438
Katen-Berg	id=g:2892439
Katenbäke	id=g:2892440
Katen-Bach	id=g:2892441
Katemin	id=g:2892442
Katelbogen	id=g:2892443
Käsweilerhöhe	id=g:2892444
Käswasser	id=g:2892445
Kasum	id=g:2892446
Kastorfer See	id=g:2892447
Kastorf	id=g:2892448
Kastorf	id=g:2892449
Kastorf	id=g:2892450
Kästorf	id=g:2892451
Kästorf	id=g:2892452
Kastor	id=g:2892453
Kastnerhöhle	id=g:2892454
Kästleswald	id=g:2892455
Kastler Berg	id=g:2892456
Kastler Berg	id=g:2892457
Kastlangen	id=g:2892458
Kastl	id=g:2892459
Kastl	id=g:2892460
Kastl	id=g:2892461
Kasthal	id=g:2892462
Kaster	id=g:2892463
Kastenstein-Höhe	id=g:2892464
Kastenstein-Alpe	id=g:2892465
Kastenseeon	id=g:2892466
Kastenschlag	id=g:2892467
Kastenreuth	id=g:2892468
Kastenreuth	id=g:2892469
Kastenlemoos	id=g:2892470
Kastenholz	id=g:2892471
Kastenhof	id=g:2892472
Kastenhof	id=g:2892473
Kastengrub	id=g:2892474
Kastendiek	id=g:2892475
Kastenberg	id=g:2892476
Forsthaus Kasten	id=g:2892477
Forst Kasten	id=g:2892478
Kasten	id=g:2892479
Kasten	id=g:2892480
Kasten	id=g:2892481
Kasten	id=g:2892482
Kasten	id=g:2892483
Kastel-Staadt	id=g:2892484
Kastellaun	id=g:2892485
Kastelhof	id=g:2892486
Kastelbach	id=g:2892487
Kastel	id=g:2892488
Kästel	id=g:2892489
Kastel	id=g:2892490
Kastel	id=g:2892491
Kastel	id=g:2892492
Käste	id=g:2892493
Kastaven	id=g:2892494
Kastanienburg	id=g:2892495
Kastahn	id=g:2892496
Kassuhn	id=g:2892497
Kassow	id=g:2892498
Käßlitz	id=g:2892499
Kasslerfeld	id=g:2892500
Kassier	id=g:2892501
Kassieck	id=g:2892502
Kaß-Graben	id=g:2892503
Kasse-Teich	id=g:2892504
Kasserolhof	id=g:2892505
Bahnhof Kassel-Wilhelmshöhe	id=g:2892506
Kasselvitz	id=g:2892507
Kasselkuppe	id=g:2892508
Kasseler Heide	id=g:2892509
Bahnhof Kassel-Bettenhausen	id=g:2892510
Kasselberg	id=g:2892511
Kasselbach	id=g:2892512
Regierungsbezirk Kassel	id=g:2892513
Landkreis Kassel	id=g:2892514
Hauptbahnhof Kassel	id=g:2892515
Försterei Kassel	id=g:2892516
Forst Kassel	id=g:2892517
Kassel	id=g:2892518
Kassel	id=g:2892519
Kasseedorf	id=g:2892520
Kasseburg	id=g:2892521
Kassebruch	id=g:2892522
Kassebruch	id=g:2892523
Kassebohm	id=g:2892524
Kassbeeke	id=g:2892525
Kassau	id=g:2892526
Kassau	id=g:2892527
Käsplatte	id=g:2892528
Kaspersbach	id=g:2892529
Kaspers	id=g:2892530
Kasperleshof	id=g:2892531
Käsperle	id=g:2892532
Kasperle	id=g:2892533
Käsperbusch	id=g:2892534
Kasper	id=g:2892535
Kaspeltshub	id=g:2892536
Kaspauer	id=g:2892537
Kasparzell	id=g:2892538
Kaspargehau	id=g:2892539
Kaspar	id=g:2892540
Kasnevitz	id=g:2892541
Kasmark	id=g:2892542
Kaslin	id=g:2892543
Kasleiten	id=g:2892544
Kasing	id=g:2892545
Kasimirstal	id=g:2892546
Käshübel-Kopf	id=g:2892547
Kasholz	id=g:2892548
Käshofen	id=g:2892549
Käshof	id=g:2892550
Kasewinkel	id=g:2892551
Käsers	id=g:2892552
Käsers	id=g:2892553
Kasernenwald	id=g:2892554
Kasernen	id=g:2892555
Käsern	id=g:2892556
Kaser Kopf	id=g:2892557
Käser-Berg	id=g:2892558
Käser-Alpe	id=g:2892559
Käser	id=g:2892560
Kasenort	id=g:2892561
Kasendorf	id=g:2892562
Kasendorf	id=g:2892563
Kasend	id=g:2892564
Käsenbach	id=g:2892565
Käselow	id=g:2892566
Käselow	id=g:2892567
Käselow	id=g:2892568
Käselin	id=g:2892569
Kasel-Golzig	id=g:2892570
Kasel	id=g:2892571
Käse Hügel	id=g:2892572
Käsehardt	id=g:2892573
Käseforth	id=g:2892574
Käseburg	id=g:2892575
Käse-Berg	id=g:2892576
Käse-Berg	id=g:2892577
Käse-Berg	id=g:2892578
Käse-Berg	id=g:2892579
Käse Berg	id=g:2892580
Kasdorf	id=g:2892581
Kaschwitz	id=g:2892582
Kaschow	id=g:2892583
Kaschen Teich	id=g:2892584
Kaschenbach	id=g:2892585
Kaschel	id=g:2892586
Kasbergerwaid	id=g:2892587
Käsberg	id=g:2892588
Käsberg	id=g:2892589
Kasberg	id=g:2892590
Kasberg	id=g:2892591
Kasberg	id=g:2892592
Kas-Berg	id=g:2892593
Kas-Berg	id=g:2892594
Kas-Berg	id=g:2892595
Käsberg	id=g:2892596
Käsberg	id=g:2892597
Kasberg	id=g:2892598
Käsberg	id=g:2892599
Kasberg	id=g:2892600
Käsbauer	id=g:2892601
Käs-Bach	id=g:2892602
Käsbach	id=g:2892603
Käsbach	id=g:2892604
Kasbach	id=g:2892605
Käsbach	id=g:2892606
Käsbach	id=g:2892607
Kasbach	id=g:2892608
Käs-Alpe	id=g:2892609
Käsacker	id=g:2892610
Karze	id=g:2892611
Karwitz	id=g:2892612
Karwisch	id=g:2892613
Karwesee	id=g:2892614
Karwer Luch	id=g:2892615
Karwer Forst	id=g:2892616
Karweiler	id=g:2892617
Karweg	id=g:2892618
Karwe	id=g:2892619
Karwe	id=g:2892620
Karwe	id=g:2892621
Karutzsee	id=g:2892622
Kartzow	id=g:2892623
Kartzitz	id=g:2892624
Kartzfehn	id=g:2892625
Kartung	id=g:2892626
Kartlow	id=g:2892627
Kartlow	id=g:2892628
Karthause	id=g:2892629
Karthäuserhof	id=g:2892630
Karthauser Grav-Insel	id=g:2892631
Karthauser Berge	id=g:2892632
Karthausen	id=g:2892633
Karthausen	id=g:2892634
Karthause	id=g:2892635
Bahnhof Karthaus	id=g:2892636
Karthaus	id=g:2892637
Karthaus	id=g:2892638
Karthaus	id=g:2892639
Karthane	id=g:2892640
Forsthaus Karthan	id=g:2892641
Karthan	id=g:2892642
Wüste Mark Karterborn	id=g:2892643
Karstraße	id=g:2892644
Karstorf	id=g:2892645
Karstedtshof	id=g:2892646
Karstädt	id=g:2892647
Karstädt	id=g:2892648
Kar-Spitz	id=g:2892649
Karsee	id=g:2892650
Karsdorfberg	id=g:2892651
Karsdorf	id=g:2892652
Karsdorf	id=g:2892653
Karschelt	id=g:2892654
Karsch-Berg	id=g:2892655
Karsch-Berg	id=g:2892656
Karschau	id=g:2892657
Karsbach	id=g:2892658
Karsau	id=g:2892659
Karrn-Berg	id=g:2892660
Karritz	id=g:2892661
Karrin-Mittelhof	id=g:2892662
Karrin	id=g:2892663
Karrharder Gotteskoog	id=g:2892664
Karrhardehof	id=g:2892665
Karrharde	id=g:2892666
Karrer	id=g:2892667
Karrenzin	id=g:2892668
Karrenstrütle	id=g:2892669
Karrenhub	id=g:2892670
Karren-Holz	id=g:2892671
Karrenhau	id=g:2892672
Karrendorf	id=g:2892673
Karren-Berg	id=g:2892674
Karren-Berg	id=g:2892675
Karrenberg	id=g:2892676
Karren-Bach	id=g:2892677
Karrass-See	id=g:2892678
Karras	id=g:2892679
Karrachbach	id=g:2892680
Karra	id=g:2892681
Karr	id=g:2892682
Karpke	id=g:2892683
Karpinbruch	id=g:2892684
Karpin	id=g:2892685
Karpfsee	id=g:2892686
Karpf-See	id=g:2892687
Karpfhofen	id=g:2892688
Bahnhof Karpfham	id=g:2892689
Karpfham	id=g:2892690
Karpfen-Teich	id=g:2892691
Karpfenstein	id=g:2892692
Karpfensee	id=g:2892693
Karpfenkuhle	id=g:2892694
Karpfenbühl	id=g:2892695
Karpfenbühl	id=g:2892696
Karpe	id=g:2892697
Karoxbostel	id=g:2892698
Karowsee	id=g:2892699
Karower See	id=g:2892700
Karower Hauptgraben	id=g:2892701
Karower Forst	id=g:2892702
Karower Forst	id=g:2892703
Karower Bach	id=g:2892704
Karow	id=g:2892705
Karow	id=g:2892706
Karow	id=g:2892707
Karow	id=g:2892708
Karow	id=g:2892709
Karow	id=g:2892710
Karolinenkoog	id=g:2892711
Karolinenhütte	id=g:2892712
Karolinenholz	id=g:2892713
Karolinenhöhe	id=g:2892714
Karolinenhöhe	id=g:2892715
Karolinenhöhe	id=g:2892716
Karolinenhöhe	id=g:2892717
Karolinenhöhe	id=g:2892718
Vorwerk Karolinenhof	id=g:2892719
Vorwerk Karolinenhof	id=g:2892720
Karolinenhof	id=g:2892721
Karolinenhof	id=g:2892723
Karolinenhof	id=g:2892724
Karolinenhof	id=g:2892725
Carolinenhof	id=g:2892726
Karolinenhof	id=g:2892727
Karolinenhof	id=g:2892728
Karolinenhof	id=g:2892729
Karolinenhof	id=g:2892730
Karolinenhof	id=g:2892731
Karolinenhof	id=g:2892732
Karolinenhof	id=g:2892733
Karolinenhof	id=g:2892734
Karolinenhain	id=g:2892735
Karolinengrube	id=g:2892736
Karolinenfield	id=g:2892737
Karolinenburg	id=g:2892738
Karolinen-Berg	id=g:2892739
Karolei	id=g:2892740
Karnzow	id=g:2892741
Karnsberg	id=g:2892742
Karnrain	id=g:2892743
Karnitz	id=g:2892744
Karnitz	id=g:2892745
Karniner Wald	id=g:2892746
Karniner Holz	id=g:2892747
Karnin	id=g:2892748
Karnin	id=g:2892749
Karnin	id=g:2892750
Karniffl Holz	id=g:2892751
Karnick-Berge	id=g:2892752
Karnhöfen	id=g:2892753
Karnhof	id=g:2892754
Vorwerk Karnberg	id=g:2892755
Karnberg	id=g:2892756
Karnberg	id=g:2892757
Karnap	id=g:2892758
Karnap	id=g:2892759
Karnap	id=g:2892760
Karmitz	id=g:2892761
Karmensölden	id=g:2892762
Karmeliterhof	id=g:2892763
Karmelerhof	id=g:2892764
Karmelenbergerhof	id=g:2892765
Karmelen-Berg	id=g:2892766
Karm	id=g:2892767
Karlumhof	id=g:2892768
Karlumfeld	id=g:2892769
Karlumfeld	id=g:2892770
Karlum Berg	id=g:2892771
Karlum Au	id=g:2892772
Forst Karlum	id=g:2892773
Karlum	id=g:2892774
Karlswerk	id=g:2892775
Karlsweiler	id=g:2892776
Karlswahl	id=g:2892777
Karlsthal	id=g:2892778
Karlsthal	id=g:2892779
Karlstein	id=g:2892780
Karlstein	id=g:2892781
Karlstein	id=g:2892782
Karlstal	id=g:2892783
Karlstal	id=g:2892784
Karlstädter-Berg	id=g:2892785
Karlstadt	id=g:2892786
Bahnhof Karlsruhe-West	id=g:2892787
Bahnhof Karlsruhe-Knielingen	id=g:2892788
Bahnhof Karlsruhe-Hagsfeld	id=g:2892789
Karlsruhe-Albtalbahnhof	id=g:2892790
Landkreis Karlsruhe	id=g:2892791
Karlsruhe	id=g:2892792
Karlsruhe	id=g:2892793
Karlsruhe	id=g:2892794
Vorwerk Karlsruh	id=g:2892795
Karlsruh	id=g:2892796
Karlsruh	id=g:2892797
Karlsruh	id=g:2892798
Karlsruh	id=g:2892799
Karlsrode	id=g:2892800
Karlsried	id=g:2892801
Leutascher Dreitorspitze	id=g:2892802
Karlsminde	id=g:2892803
Karlsmark	id=g:2892804
Karlslust	id=g:2892805
Karlslust	id=g:2892806
Karlskuppe	id=g:2892807
Karlskron	id=g:2892808
Karlshütte	id=g:2892809
Karlshuld	id=g:2892810
Karlshorst	id=g:2892811
Karlshorst	id=g:2892812
Karlsholz	id=g:2892813
Karlshöhle	id=g:2892814
Vorwerk Karlshöhe	id=g:2892815
Karlshöhe	id=g:2892816
Karlshöhe	id=g:2892817
Karlshöhe	id=g:2892818
Karlshöhe	id=g:2892819
Karlshöhe	id=g:2892820
Karlshöfenermoor	id=g:2892821
Karlshöfenermoor	id=g:2892822
Karlshöfen	id=g:2892823
Karlshof	id=g:2892824
Vorwerk Karlshof	id=g:2892825
Schäferei Karlshof	id=g:2892826
Karlshof	id=g:2892827
Karlshof	id=g:2892828
Karlshof	id=g:2892829
Karlshof	id=g:2892830
Karlshof	id=g:2892831
Karlshof	id=g:2892832
Karlshof	id=g:2892833
Karlshof	id=g:2892834
Karlshof	id=g:2892835
Karlshof	id=g:2892836
Karlshof	id=g:2892837
Karlshof	id=g:2892838
Karlshof	id=g:2892839
Karlshof	id=g:2892840
Karlshof	id=g:2892841
Karlshof	id=g:2892842
Karlshof	id=g:2892843
Karlshof	id=g:2892844
Karlshof	id=g:2892845
Karlshof	id=g:2892846
Karlshof	id=g:2892847
Karlshof	id=g:2892848
Karlshof	id=g:2892849
Karlshof	id=g:2892850
Karlshof	id=g:2892851
Karlshof	id=g:2892852
Karlshof	id=g:2892853
Karlshof	id=g:2892854
Karlshof	id=g:2892855
Karlshof	id=g:2892856
Karlshof	id=g:2892857
Karlshof	id=g:2892858
Karlshof	id=g:2892859
Karlshof	id=g:2892860
Karlshof	id=g:2892861
Karlshäuserhof	id=g:2892862
Karlshausen	id=g:2892863
Bahnhof Trassenheide	id=g:2892864
Karlshagen	id=g:2892865
Staatsforst Karlshafen	id=g:2892866
Bad Karlshafen	id=g:2892867
Karlsfurt-Ebene	id=g:2892868
Karlsfelde	id=g:2892869
Karlsfelde	id=g:2892870
Karlsfeld	id=g:2892871
Karlsfeld	id=g:2892872
Karlsfeld	id=g:2892873
Karlsfeld	id=g:2892874
Karlsebene	id=g:2892875
Karlsdorf	id=g:2892876
Karlsdorf	id=g:2892877
Karlsdorf	id=g:2892878
Karlsdorf	id=g:2892879
Karlsdorf	id=g:2892880
Karlsdorf	id=g:2892881
Försterei Karlsburgerholz	id=g:2892882
Karlsburger Holz	id=g:2892883
Karlsburger Holz	id=g:2892884
Ruine Karlsburg	id=g:2892885
Försterei Karlsburg	id=g:2892886
Karlsburg	id=g:2892887
Karlsburg	id=g:2892888
Karlsburg	id=g:2892889
Karlsburg	id=g:2892890
Karlsburg	id=g:2892891
Karlsburg	id=g:2892892
Karlsburg	id=g:2892893
Karlsburg	id=g:2892894
Försterei Karlsbrunn	id=g:2892895
Forst Karlsbrunn	id=g:2892896
Karlsbrunn	id=g:2892897
Vorwerk Karlsborn	id=g:2892898
Karlsbiese	id=g:2892899
Vorwerk Karlsberg	id=g:2892900
Karlsberg	id=g:2892901
Karls-Berg	id=g:2892902
Karls-Berg	id=g:2892903
Karlsberg	id=g:2892904
Karls-Berg	id=g:2892905
Karlsberg	id=g:2892906
Karlsberg	id=g:2892907
Karlsberg	id=g:2892908
Karlsberg	id=g:2892909
Karlsberg	id=g:2892910
Karls-Bach	id=g:2892911
Karlsbach	id=g:2892912
Karlsbach	id=g:2892913
Karlsaue	id=g:2892914
Karlsaue	id=g:2892915
Kreisfreie Stadt Chemnitz	id=g:2892916
Chemnitzer Land	id=g:2892917
Karlmannserde	id=g:2892918
Karl Ludwig See	id=g:2892919
Karlis	id=g:2892920
Karlins	id=g:2892921
Karlinger	id=g:2892922
Karling	id=g:2892923
Kärlich	id=g:2892924
Karl-Holz	id=g:2892925
Karl-Holz	id=g:2892926
Karlhäuser	id=g:2892927
Karlhammer	id=g:2892928
Försterei Karl-Georgs-Forst	id=g:2892929
Karl-Georgs-Forst	id=g:2892930
Karl Friedrich Stein	id=g:2892931
Karl-Friedrichshof	id=g:2892932
Karlburg	id=g:2892933
Karlbergfeld	id=g:2892934
Karlberg	id=g:2892935
Karl-Berg	id=g:2892936
Karl Bach	id=g:2892937
Karl Alpe	id=g:2892938
Karlachöd	id=g:2892939
Karl	id=g:2892940
Kar-Kopf	id=g:2892941
Karkopf	id=g:2892942
Karkkamp	id=g:2892943
Karkerstraße	id=g:2892944
Karken	id=g:2892945
Kariensiek	id=g:2892946
Karhof	id=g:2892947
Karhof	id=g:2892948
Kargsinn	id=g:2892949
Kargower Holz	id=g:2892950
Kargow	id=g:2892951
Karglöd	id=g:2892952
Karglhof	id=g:2892953
Kargen	id=g:2892954
Kargen	id=g:2892955
Kargegg	id=g:2892956
Karfunkelstadt	id=g:2892957
Karfunkel-Berg	id=g:2892958
Karft	id=g:2892959
Kareth	id=g:2892960
Karenz	id=g:2892961
Kareck	id=g:2892962
Kardorf	id=g:2892963
Kardorf	id=g:2892964
Karden	id=g:2892965
Karchrech	id=g:2892966
Karchow	id=g:2892967
Karche-Zaacko	id=g:2892968
Karcherhof	id=g:2892969
Karcheezer See	id=g:2892970
Karcheez	id=g:2892971
Karche	id=g:2892972
Karcha	id=g:2892973
Karby	id=g:2892974
Karbower Wald	id=g:2892975
Karbow	id=g:2892976
Karbow	id=g:2892977
Karbow	id=g:2892978
Karberg	id=g:2892979
Karben	id=g:2892980
Karbeiserhof	id=g:2892981
Karbäck	id=g:2892982
Kar-Bach	id=g:2892983
Karbach	id=g:2892984
Karbach	id=g:2892985
Karbach	id=g:2892986
Karbach	id=g:2892987
Karbach	id=g:2892988
Karbach	id=g:2892989
Karausch-See	id=g:2892990
Kar-Alpe	id=g:2892991
Kapuzinerschlag	id=g:2892992
Kapuziner Gehau	id=g:2892993
Kaputher See	id=g:2892994
Kaput	id=g:2892995
Kapsweyer	id=g:2892996
Kapsmoos	id=g:2892997
Kapsdorf	id=g:2892998
Kapsdorf	id=g:2892999
Kaps	id=g:2893000
Kaps	id=g:2893001
Kaps	id=g:2893002
Kaps	id=g:2893003
Kaps	id=g:2893004
Kappstrom	id=g:2893005
Kapplhof	id=g:2893006
Kappler Wald	id=g:2893007
Kappl	id=g:2893008
Kappishäusern	id=g:2893009
Kapping	id=g:2893010
Kapp-Graben	id=g:2893011
Kappersberg	id=g:2893012
Kappenstein	id=g:2893013
Kappenberge	id=g:2893014
Schloß Cappenberg	id=g:2893015
Forst Kappenberg	id=g:2893016
Kappenberg	id=g:2893017
Kappen-Berg	id=g:2893018
Kappen	id=g:2893019
Kappelwindeck	id=g:2893020
Schaufelshald	id=g:2893021
Kappelrodeck	id=g:2893022
Kappeln	id=g:2893023
Kappeln	id=g:2893024
Kappeln	id=g:2893025
Kappelloch	id=g:2893026
Kappellen Bach	id=g:2893027
Kappel-Laine	id=g:2893028
Kappel Köpfl	id=g:2893029
Kappelholz	id=g:2893030
Kappel Höhe	id=g:2893031
Kappelhof	id=g:2893032
Kappelhof	id=g:2893033
Kappelhof	id=g:2893034
Kappelhof	id=g:2893035
Kappelhof	id=g:2893036
Kappelgarten	id=g:2893037
Käppeleshof	id=g:2893038
Kappelesberg	id=g:2893039
Käppelesberg	id=g:2893040
Kappeler Wald	id=g:2893041
Haltepunkt Kappelertal	id=g:2893042
Kappelehof	id=g:2893043
Käppele am Hochsträss	id=g:2893044
Käppele	id=g:2893045
Kappelbusch	id=g:2893046
Kappel-Berg	id=g:2893047
Kappel-Berg	id=g:2893048
Kappelberg	id=g:2893049
Kappel-Berg	id=g:2893050
Kappelberg	id=g:2893051
Gut Kappel	id=g:2893052
Kappel	id=g:2893053
Kappel	id=g:2893054
Kappel	id=g:2893055
Kappel	id=g:2893056
Kappel	id=g:2893057
Kappel	id=g:2893058
Kappel	id=g:2893059
Kappel	id=g:2893060
Kappel	id=g:2893061
Kappel	id=g:2893062
Kappel	id=g:2893063
Kappel	id=g:2893064
Kappel	id=g:2893065
Kappel	id=g:2893066
Kappe	id=g:2893067
Kappe	id=g:2893068
