Goldmine Hollow	id=g:4537702
Groendyke Pond Number 1 Dam	id=g:4538105
Groendyke Ranch Airfield	id=g:4538106
Grotto Park	id=g:4538107
Groundhog Hollow	id=g:4538108
Grissom Cemetery	id=g:4538109
Grove Elementary School	id=g:4538110
Grove General Hospital Heliport	id=g:4538111
Grove High School	id=g:4538112
Grove Middle School	id=g:4538113
Grove Municipal Airport	id=g:4538114
Grove Park	id=g:4538115
Grove Primary School	id=g:4538116
Grove School	id=g:4538117
Groveania Church	id=g:4538118
Grubb Mountain	id=g:4538119
Gruber Hill	id=g:4538120
Gruber State Game Management Area	id=g:4538121
Guiding Light Church	id=g:4538122
Guiding Light Tabernacle Church	id=g:4538123
Guinn Bottom	id=g:4538124
Gulager Spring Branch	id=g:4538125
Grove	id=g:4538126
Gulftown	id=g:4538127
Gullick Park	id=g:4538128
Gully School	id=g:4538129
Gum Creek	id=g:4538130
Gulf Junction	id=g:4538131
Gum Spring	id=g:4538132
Gum Spring	id=g:4538133
Gum Spring Cemetery	id=g:4538134
Gum Spring Church	id=g:4538135
Gum Spring School	id=g:4538136
Gundys Airport	id=g:4538137
Gunn Lake	id=g:4538138
Gunnery Hill	id=g:4538139
Gunsmoke Trail	id=g:4538140
Gustafson Airport	id=g:4538141
Guthrie	id=g:4538142
Guthrie Christian Church	id=g:4538143
Guthrie City Lake	id=g:4538144
Guthrie City Lake Dam	id=g:4538145
Guthrie Country Club	id=g:4538146
Guthrie Country Club Lake	id=g:4538147
Guthrie Country Club Lake Dam	id=g:4538148
Guthrie Gas and Oil Field	id=g:4538149
Guthrie High School	id=g:4538150
Guthrie Junior High School	id=g:4538151
Guthrie Lake	id=g:4538152
Guthrie Municipal Airport	id=g:4538153
Township of Guthrie	id=g:4538154
Guy Creek	id=g:4538155
Guy James Park	id=g:4538156
Guy Sandy Creek	id=g:4538157
Gum Creek Church	id=g:4538158
Gyp Cemetery	id=g:4538159
Gyp Creek	id=g:4538160
Guy Sandy Stockpond Dam	id=g:4538161
Gyp Creek	id=g:4538162
Gyp Creek	id=g:4538163
Gyp Creek	id=g:4538164
Gyp Creek	id=g:4538165
Gyp Creek Site 2 Dam	id=g:4538166
Gyp Hill	id=g:4538167
Gypsum Creek	id=g:4538168
Gyp Creek Site 2 Reservoir	id=g:4538169
Gypsy	id=g:4538170
Gypsy Church	id=g:4538171
H Drake Dam	id=g:4538172
H Drake Reservoir	id=g:4538173
H Hoehner Dam	id=g:4538174
H Hoehner Reservoir	id=g:4538175
H L D M Farms Incorporated Lake	id=g:4538176
H L D M Farms Incorporated Lake Dam	id=g:4538177
H S Judy Dam	id=g:4538178
H S Judy Reservoir	id=g:4538179
H T Hicks 1 Dam	id=g:4538180
H T Hicks Reservoir	id=g:4538181
HSI Heliport	id=g:4538182
Hack Black Junior Dam	id=g:4538183
Hack Black Junior Reservoir	id=g:4538184
Hackberry Cemetery	id=g:4538185
Hackberry Cemetery	id=g:4538186
Hackberry Cemetery	id=g:4538187
Hackberry Creek	id=g:4538188
Gypsum Creek	id=g:4538189
Hackberry Creek	id=g:4538190
Hackberry Creek	id=g:4538191
Hackberry Creek	id=g:4538192
Hackberry Creek	id=g:4538193
Hackberry Creek	id=g:4538194
Hackberry Creek	id=g:4538195
Hackberry Flat	id=g:4538196
Hackett Creek	id=g:4538197
Township of Hackberry	id=g:4538198
Hackney Spring	id=g:4538199
Hada Dam	id=g:4538200
Hada Reservoir	id=g:4538201
Haddock Field	id=g:4538202
Township of Haddon	id=g:4538203
Hadley Dam	id=g:4538204
Hadley Mountain	id=g:4538205
Hadley Reservoir	id=g:4538206
Hafer Park	id=g:4538207
Hagee Gss Number 1 Dam	id=g:4538208
Hagee Gss Number 1 Reservoir	id=g:4538209
Hager Creek	id=g:4538210
Hackett Mountain	id=g:4538211
Haggerman Creek	id=g:4538212
Hagler Memorial United Methodist Church	id=g:4538213
Haikey Chapel	id=g:4538214
Hail Hollow	id=g:4538215
Haikey Cemetery	id=g:4538216
Haileyville	id=g:4538217
Hailkey Creek	id=g:4538218
Haile Cemetery	id=g:4538219
Hainline Cemetery	id=g:4538220
Halcomb Cemetery	id=g:4538221
Hale Cemetery	id=g:4538222
Hale High School	id=g:4538223
Hale Spring	id=g:4538224
Township of Hale	id=g:4538225
Halestation Pentecostal Church	id=g:4538226
Half Bank Crossing	id=g:4538227
Township of Halford	id=g:4538228
Halfway Pond	id=g:4538229
Hall Cemetery	id=g:4538230
Hall Hill Church	id=g:4538231
Hall Number 3 Lake	id=g:4538232
Hall Number 3 Lake Dam	id=g:4538233
Hall Park	id=g:4538234
Hall Park Dam	id=g:4538235
Hall Park Lake	id=g:4538236
Hall-Halsell School	id=g:4538237
Hallett	id=g:4538238
Hallett Interchange	id=g:4538239
Hallett Siding	id=g:4538240
Halley	id=g:4538241
Halliburton Field	id=g:4538242
Halsell Ranch	id=g:4538243
Halsmith Cemetery	id=g:4538244
Ham Lake	id=g:4538245
Ham Lake Dam	id=g:4538246
Hamden	id=g:4538247
Hamilton Junior High School	id=g:4538248
Township of Hamilton	id=g:4538249
Hamlin Hollow	id=g:4538250
Haines Creek	id=g:4538251
Hammers Gss Number 1 Dam	id=g:4538252
Hammers Gss Number 1 Reservoir	id=g:4538253
Hammon	id=g:4538254
Hammon Junction	id=g:4538255
Hampton Bridge	id=g:4538256
Hampton Church	id=g:4538257
Hampton Creek	id=g:4538258
Hammer Cemetery	id=g:4538259
Hampton Creek	id=g:4538260
Hanawalt Dam	id=g:4538261
Hancock Bend	id=g:4538262
Hancock Bridge	id=g:4538263
Hancock Mountain	id=g:4538264
Hand Hill	id=g:4538265
Haner Cemetery	id=g:4538266
Haney Church	id=g:4538267
Hanging Dog Creek	id=g:4538268
Hanawalt Reservoir	id=g:4538269
Hankins Airport	id=g:4538270
Hanks Cemetery	id=g:4538271
Hanna	id=g:4538272
Township of Hanna	id=g:4538273
Township of Hanraty	id=g:4538274
Hanson	id=g:4538275
Hanson Mountain	id=g:4538276
Township of Hanson	id=g:4538277
Hanubby Creek	id=g:4538278
Hanging Rock	id=g:4538279
Happy Hill Church	id=g:4538280
Happy Hollow	id=g:4538281
Happy Hill Church	id=g:4538282
Happy Hollow	id=g:4538283
Happy Hollow	id=g:4538284
Happy Hollow Community Center	id=g:4538285
Happy Hollow Creek	id=g:4538286
Happy Lake	id=g:4538287
Happy Valley School	id=g:4538288
Happy Valley School	id=g:4538289
Happyland	id=g:4538290
Harbor of Praise Church	id=g:4538291
Harbors Inn Heliport	id=g:4538292
Harbors Light Assembly of God	id=g:4538293
Harden City	id=g:4538294
Harden Number 1 Dam	id=g:4538295
Harden Number 1 Reservoir	id=g:4538296
Harden Park	id=g:4538297
Harding Charter Preparatory High School	id=g:4538298
Hardwood	id=g:4538299
Hardy	id=g:4538300
Hardy Creek	id=g:4538301
Happy Lake Dam	id=g:4538302
Hardy Oil Field	id=g:4538303
Hare Branch	id=g:4538304
Hardy Field	id=g:4538305
Harjo	id=g:4538306
Harjo Cemetery	id=g:4538307
Harjo Cemetery	id=g:4538308
Harjo Cemetery	id=g:4538309
Harjo Cemetery	id=g:4538310
Harjo Cemetery	id=g:4538311
Harjo Cemetery	id=g:4538312
Harjo Cemetery	id=g:4538313
Harjo Hills Camp	id=g:4538314
Harkey Park	id=g:4538315
Harkin Franklin Creek	id=g:4538316
Hare Cemetery	id=g:4538317
Harlow Creek	id=g:4538318
Harlow Park	id=g:4538319
Harmon	id=g:4538320
Harmon Cemetery	id=g:4538321
Harmon County	id=g:4538322
Harmon Field	id=g:4538323
Harmon Park	id=g:4538324
Harmony Cemetery	id=g:4538325
Harmony Christian Church	id=g:4538326
Harmony Church	id=g:4538327
Harmony Church	id=g:4538328
Harmony Church-Religious Scientist	id=g:4538329
Harmony Hill Tabernacle	id=g:4538330
Harmony Missionary Baptist Church	id=g:4538331
Harmony School	id=g:4538332
Harmony School	id=g:4538333
Harmony School	id=g:4538334
Harmony Star	id=g:4538335
Harn Park	id=g:4538336
Harnage Cemetery	id=g:4538337
Harold Mooney Dam	id=g:4538338
Harold Mooney Reservoir	id=g:4538339
Harold Park	id=g:4538340
Harper Chapel	id=g:4538341
Harper County	id=g:4538342
Harper Creek	id=g:4538343
Harman Airport	id=g:4538344
Harpers Valley Church	id=g:4538345
Harrah	id=g:4538346
Harrah Freewill Baptist Church	id=g:4538347
Harrah High School	id=g:4538348
Harrah Middle School	id=g:4538349
Harrell Cemetery	id=g:4538350
Harrell Park	id=g:4538351
Harrican Creek	id=g:4538352
Township of Harper	id=g:4538353
Harrington Branch	id=g:4538354
Harrington Creek	id=g:4538355
Harrington Creek	id=g:4538356
Harrington Spring	id=g:4538357
Harris Bend	id=g:4538358
Harris Cemetery	id=g:4538359
Harris Cemetery	id=g:4538360
Harris Cemetery	id=g:4538361
Harris Cemetery	id=g:4538362
Harris Creek	id=g:4538363
Harris	id=g:4538364
Harris Creek	id=g:4538365
Harris Lake	id=g:4538366
Harris Mountain	id=g:4538367
Harris Number 1 Dam	id=g:4538368
Harris Number 1 Reservoir	id=g:4538369
Harris School	id=g:4538370
Harris Shopping Center	id=g:4538371
Township of Harris	id=g:4538372
Township of Harris	id=g:4538373
Harris-Jobe School	id=g:4538374
Harrisburg	id=g:4538375
Harrison	id=g:4538376
Harrison Airport	id=g:4538377
Harrison Baptist Church	id=g:4538378
Harrison Cemetery	id=g:4538379
Harrison Cemetery	id=g:4538380
Harrison Memorial United Methodist Church	id=g:4538381
Harrison Park	id=g:4538382
Harrison School	id=g:4538383
Harrison School	id=g:4538384
Harrison School	id=g:4538385
Harrison School	id=g:4538386
Harrison School	id=g:4538387
Township of Harrison	id=g:4538388
Township of Harrison	id=g:4538389
Township of Harrison	id=g:4538390
Township of Harrison	id=g:4538391
Harry Rowe Trail	id=g:4538392
Harsha Canyon	id=g:4538393
Harris Lake Dam	id=g:4538394
Hart Cemetery	id=g:4538395
Hartell Boulevard Chapel	id=g:4538396
Hartford Shopping Center	id=g:4538397
Hartford Square Shopping Center	id=g:4538398
Hartsdell Shopping Center	id=g:4538399
Hartshorne	id=g:4538400
Hartshorne Lake	id=g:4538401
Hartshorne Lake	id=g:4538402
Hartshorne Lake Dam	id=g:4538403
Hartshorne Senior High School	id=g:4538404
Township of Hartzell	id=g:4538405
Harvard Avenue Baptist Church	id=g:4538406
Harvard Avenue Christian Church	id=g:4538407
Harvard Avenue United Methodist Church	id=g:4538408
Harvard Village	id=g:4538409
Harvest Chapel	id=g:4538410
Harvest Church	id=g:4538411
Harvest Church Assembly of God	id=g:4538412
Harvest Church Assembly of God	id=g:4538413
Harvest Hills Baptist Church	id=g:4538414
Harvest Hills Church	id=g:4538415
Harvest Hills Elementary School	id=g:4538416
Harvest Hills Park	id=g:4538417
Harvest Hills School	id=g:4538418
Harvest Time Baptist Church	id=g:4538419
Harvest Time Church	id=g:4538420
Harvest Time Tabernacle	id=g:4538421
Harvestime Assembly of God	id=g:4538422
Harvey Mountain	id=g:4538423
Harvey Road Church	id=g:4538424
Harvey Young Airport	id=g:4538425
Hasell Lake	id=g:4538426
Hasenbach Arm	id=g:4538427
Haskell	id=g:4538428
Haskell Airport	id=g:4538429
Haskell Cemetery	id=g:4538430
Haskell County	id=g:4538431
Haskell Elementary School	id=g:4538432
Haskell Lake	id=g:4538433
Haskell Lake Dam	id=g:4538434
Haskell School	id=g:4538435
Township of Haskell	id=g:4538436
Township of Haskell	id=g:4538437
Haskett Dam	id=g:4538438
Haskett Reservoir	id=g:4538439
Haskew Cemetery	id=g:4538440
Hastings	id=g:4538441
Hastings Cemetery	id=g:4538442
Hastings Cemetery	id=g:4538443
Hastings Hollow	id=g:4538444
Hart	id=g:4538445
Hatbox Field	id=g:4538446
Hatchetville	id=g:4538447
Hatfield Park	id=g:4538448
Hathaway Park	id=g:4538449
Hatton Ranch Airport	id=g:4538450
Hauani Creek	id=g:4538451
Hastings Mountain	id=g:4538452
Hawkins Cemetery	id=g:4538454
Hawkins Chapel Church of God	id=g:4538455
Hawkins Church	id=g:4538456
Hawkins Mountain	id=g:4538457
Hawkins School	id=g:4538458
Hawley	id=g:4538459
Hawley Cemetery	id=g:4538460
Haworth	id=g:4538461
Haworth Cemetery	id=g:4538462
Haworth Tower	id=g:4538463
Hawthorn Park	id=g:4538464
Hawthorn School	id=g:4538465
Hawthorne Park	id=g:4538466
Hawthorne Elementary School	id=g:4538467
Hawthorne School	id=g:4538468
Haxton Airport	id=g:4538469
Hay Creek	id=g:4538470
Haw Creek	id=g:4538471
Hay Creek	id=g:4538472
Hay Creek	id=g:4538473
Hay Hollow	id=g:4538474
Hay Ridge	id=g:4538475
Haydenville	id=g:4538476
Hayes Dam	id=g:4538477
Hayes Elementary School	id=g:4538478
Hayes Elementary School	id=g:4538479
Hayes School	id=g:4538480
Hayes School	id=g:4538481
Hayrick Mound	id=g:4538482
Haystack Creek	id=g:4538483
Hayden Park	id=g:4538484
The Haystack	id=g:4538485
Haytubbi Creek	id=g:4538486
Haystack Mountain	id=g:4538487
Hayward Lake	id=g:4538488
Haywood	id=g:4538489
Hazel Dell	id=g:4538490
Hazel Dell Church	id=g:4538491
Township of Hazel	id=g:4538492
Hazelnut Hollow	id=g:4538493
Hayward	id=g:4538494
Hazilton Mine	id=g:4538495
Township of Hazlie	id=g:4538496
Head Church	id=g:4538497
Headquarters Creek	id=g:4538498
Hazen Lake	id=g:4538499
Headquarters Creek	id=g:4538500
Headquarters Mountain	id=g:4538501
Headrick 1 Dam	id=g:4538502
Headrick 1 Reservoir	id=g:4538503
Headrick Cemetery	id=g:4538504
Township of Headrick	id=g:4538505
Healdton	id=g:4538506
Healdton Assembly of God Church	id=g:4538507
