Hācheh Dāghī	id=g:6689142
Sāvojbolāgh Darrehsī	id=g:6689203
Tappeh-ye Ḩasan Bolāghī	id=g:6689204
Āqdūz	id=g:6689205
Tappeh-ye Allāho Akbar	id=g:6689206
Charkheh Band	id=g:6689207
Rūdkhāneh-ye Dāsh Bolāgh	id=g:6689208
Tappeh-ye Laktī	id=g:6689209
Kūh-e Dowlgāh	id=g:6689210
Shāhzādeh Ḩamzeh	id=g:6689211
Kūh-e Gūzāy	id=g:6689212
Kūh-e Sī Chūr	id=g:6689213
Darreh-ye ‘Aql	id=g:6689214
Kūh-e Ḩatāl	id=g:6689215
Rūdkhāneh-ye Chīrak Kazlī	id=g:6689216
Kūh-e Qūzī	id=g:6689217
Kūr Bolāgh	id=g:6689218
Bāgh-e Pīr	id=g:6689219
Rūdkhāneh-ye Seylāb Khoshkeh	id=g:6689220
Cheshmeh-ye Mīter	id=g:6689221
Rūdkhāneh-ye Malūk	id=g:6689222
Kūh-e Kapas	id=g:6689223
Cheshmeh-ye Kahrīz	id=g:6689224
Rūdkhāneh-ye Qarah Āghājlū	id=g:6689225
Rūdkhāneh-ye Sardehāt	id=g:6689226
Rūdkhāneh-ye Dūlak	id=g:6689227
Dāshleh Bolāgh	id=g:6689228
Cheshmeh-ye Owrtūlū	id=g:6689229
Dūl Bāghī	id=g:6689230
Darmāngāh-e Qarah Bolāgh	id=g:6689231
Alag	id=g:6689232
Emāmzādeh Solţān Moḩammad	id=g:6689233
Aşlānlū	id=g:6689234
Hūrānī	id=g:6689235
Safarjān	id=g:6689236
Ālī Kand	id=g:6689237
Khajanābād	id=g:6689238
Gerū Chāy	id=g:6689239
Gīz Gonāb	id=g:6689240
Kūcheh Āghājī	id=g:6689241
Jen'ī	id=g:6689242
Jīnī	id=g:6689243
Ţālīf Yūraz̄	id=g:6689244
Qarah Qaryūn	id=g:6689245
Qarah Dāgh	id=g:6689246
Qomlī Gol	id=g:6689247
Nūrdālī Darrehsī	id=g:6689248
Gīleh Khāneh	id=g:6689249
Shūyer Dāghī	id=g:6689250
Rūdkhāneh-ye Ārpā Chāy	id=g:6689251
Sanjedleh Chāy	id=g:6689252
Āghbolāgh	id=g:6689253
Tandarreh	id=g:6689254
Emāmzādeh Morshed	id=g:6689255
Rūdkhāneh-ye Gezāz	id=g:6689256
Kūh-e Poshteh	id=g:6689257
Kūh-e Āq Qayah	id=g:6689258
Qeshlāq-e Vaharvīn	id=g:6689259
Kūh-e Bājdār	id=g:6689260
Herīs Chāy	id=g:6689261
Sanjbad Chāy	id=g:6689262
Līkvān Chā'ī	id=g:6689263
Rūdkhāneh-ye Gozāz	id=g:6689264
Kīvī Chāy	id=g:6689265
Afshār-e Pā'īn	id=g:6689266
Rūdkhāneh-ye Kīvī Chāy	id=g:6689267
Chāl Dāgh	id=g:6689268
Qeshlāq-e Lūvānlū	id=g:6689269
Yengejeh	id=g:6689270
Z̄āker	id=g:6689271
Gerū Chāy	id=g:6689272
Jeq Jeq-e Vasaţ	id=g:6689273
Gollū	id=g:6689274
Doshman	id=g:6689275
Porgū	id=g:6689276
Eblī-ye ‘Olyā	id=g:6689277
Qūsh Qayahsī	id=g:6689278
Lūlān	id=g:6689279
Masjed-e Jāme‘	id=g:6689280
Masjed-e Ebrāhīm	id=g:6689281
Seyyed Şadr od Dīn	id=g:6689282
Faraḩābād	id=g:6689284
Salmānābād	id=g:6689286
Ārdsālem	id=g:6689287
Honarestān-e Şan‘atī-ye Ardabīl	id=g:6689288
Zarnās	id=g:6689290
Bālkhlī Chāy	id=g:6689291
Qīlqā	id=g:6689292
Reẕāābād	id=g:6689293
Sarband	id=g:6689294
Qūsh Kasīl	id=g:6689295
Amīn Jān	id=g:6689296
Emāmzādeh Gol Zard	id=g:6689297
Khalīl Kandī	id=g:6689298
Namīn Chāy	id=g:6689299
Mollā Yūsef	id=g:6689300
Dāsh Kasan	id=g:6689301
Masjed-e ‘Abbāsī	id=g:6689302
Pīlās-e Sahrān Gol	id=g:6689303
Shūr Āb	id=g:6689304
Shūr Gel	id=g:6689305
Pīr Aqūm	id=g:6689306
Shāh Bolāghī	id=g:6689307
Delar	id=g:6689308
‘Alī Dāshī	id=g:6689309
Pīch-e Jūrāb	id=g:6689310
Jūrāb Chāy	id=g:6689311
Abāz̄ar	id=g:6689312
Gūzgol	id=g:6689313
Shūrgol	id=g:6689314
Chāy Segherlū	id=g:6689315
Sārī Darreh	id=g:6689316
Zhenerālsū	id=g:6689317
Gāvmīsh Golī	id=g:6689318
Sārīsū	id=g:6689319
Vīlā Darreh	id=g:6689320
Rūdkhāneh-ye Bālqalū Chāy	id=g:6689321
Aşlān Qeshlāq	id=g:6689322
Kalāteh Qeshlāqī	id=g:6689323
Hāchā Kandī	id=g:6689324
Chūkhvor Yūrd	id=g:6689325
Owzūn Bīnehsī	id=g:6689326
Jīnqīr Bīnehsī	id=g:6689327
Seyyedlar	id=g:6689328
Al Goshād	id=g:6689329
Dowmeh	id=g:6689330
Sardābeh	id=g:6689331
Shālī Kandī	id=g:6689332
Yadī Bolūk Chāy	id=g:6689333
Rashīd ‘Alī Chāy	id=g:6689334
Solţān Bābā	id=g:6689335
‘Amūqīn	id=g:6689337
Dāyeh Chāy	id=g:6689338
Pāsgāh-e Şad Āfarīn	id=g:6689339
Sāv	id=g:6689340
Maqbareh-ye Ma‘şūm	id=g:6689341
Pashūzadeh	id=g:6689342
Yūzbāshī	id=g:6689343
Pāsgāh-e Fatḩ-e Maqşūd	id=g:6689344
Kūh-e Owch Darreh Dāgh	id=g:6689345
Naqshbandī	id=g:6689346
Āqāyārlū	id=g:6689347
‘Alī Kamar	id=g:6689348
Kechī Bolāghī-ye Bālā	id=g:6689349
Shal Darsī	id=g:6689350
Gūrdūlū	id=g:6689351
Sārīsū	id=g:6689352
Jān ‘Alī	id=g:6689353
Qūrī Chāy	id=g:6689354
Kharābeh Raẕī	id=g:6689355
‘Arsheh Chāy	id=g:6689356
Pīreh Moḩammad	id=g:6689357
Ḩeydarābād	id=g:6689358
Qeshlāq-e Owch Bolāgh	id=g:6689359
Almās Kandī	id=g:6689360
‘Āsheq Qeshlāq	id=g:6689361
Karam Shāhlū	id=g:6689362
Pīrvānat	id=g:6689363
Kūh-e Oveystī	id=g:6689364
Qezel Dāgh	id=g:6689365
Qeshlāq-e Torāblū	id=g:6689366
Qeshlāq-e Shūr Shūr	id=g:6689367
Esmā‘īl Qeshlāq	id=g:6689368
Amīrkhānlū	id=g:6689369
Khān Kandī	id=g:6689370
Sekkeh Daraq	id=g:6689371
Qarah Jālī Dāgh	id=g:6689372
Pāsgāh-e Sarbāz-e Vaţan	id=g:6689373
Mīr Solţānlū	id=g:6689374
Rameẕānlū	id=g:6689375
Afsūrān	id=g:6689376
Afcheh	id=g:6689377
Sīāh	id=g:6689378
Bālhā Rūd	id=g:6689379
‘Aţālū	id=g:6689380
Salāleh	id=g:6689381
Owch Āqāch	id=g:6689382
Sheykh Lar	id=g:6689383
Īlkhānlar	id=g:6689384
Pīyeh Varaq	id=g:6689385
Achnāq	id=g:6689386
Ḩasan Qeshlāqī	id=g:6689387
Yaddīlar Qāţer Yūrān-e Pā’īn	id=g:6689388
Adgadlū-ye Angūtlār	id=g:6689389
Qeshlāq-e Shūr Darreh	id=g:6689390
Sārī Naşīrlū-ye Āngūtlar	id=g:6689391
Najaf ‘Alī Qeshlāqī	id=g:6689392
Qeshlāq	id=g:6689393
Ḩasan Qolī	id=g:6689394
Qarah Gūch	id=g:6689395
Bīmārestān-e Helāl-e Aḩmar	id=g:6689396
Allāh Darreh	id=g:6689397
Māzān-e Pā’īn	id=g:6689398
Pāsgāh-e Jahānkhānlū	id=g:6689399
Qūzlū	id=g:6689400
Moḩammadlū	id=g:6689401
Ḩājjī Kand	id=g:6689402
Balad-e Garmānī	id=g:6689403
Mohreh	id=g:6689404
Germī Chāy	id=g:6689405
Bābūsh Bolāgheh Chāy	id=g:6689406
Qeshlāq-e Kerāmat	id=g:6689407
Qeshlāq-e Moḩammad	id=g:6689408
Qeshlāq-e Hāvār	id=g:6689409
Qeshlāq-e Ḩājj Ja‘far	id=g:6689410
Moḩammad Darsī	id=g:6689411
Owdlū Qeshlāq	id=g:6689412
Mo‘az̧am	id=g:6689413
Qeshlāq-e Āqā	id=g:6689414
Morādlū	id=g:6689415
Ḩājjī Bābā	id=g:6689416
Ḩājjī Bābā Qeshlāq	id=g:6689417
Bakhsh‘alī	id=g:6689418
Qeshlāq-e Ḩājjī ‘Īsá	id=g:6689419
Qeshlāq-e Ḩoseyn Āqā	id=g:6689420
Qeshlāq-e Ābar	id=g:6689421
Aspek	id=g:6689422
Qeshlāq-e Ālīsh	id=g:6689423
Kūlbāyāq	id=g:6689424
Qeshlāq-e Ḩājj Āqā	id=g:6689425
Salmānābād	id=g:6689426
Sherkat-e Sahāmī-ye Zerā‘ī-ye Ḩasan Khānlū	id=g:6689427
Qaţārābād	id=g:6689428
Sherkat-e Sahāmī-ye Zerā‘ī-ye Shāhsavan	id=g:6689429
Sherkat-e Sahāmī-ye Zerā‘ī-ye Qāder	id=g:6689430
Qeshlāq-e Ḩājj Amīr ‘Alī	id=g:6689431
Qeshlāq-e Kerāmat	id=g:6689432
Qeshlāq-e Āqā Mellī	id=g:6689433
Qeshlāq-e Ḩājjī	id=g:6689434
Qeshlāq-e Kerāmat	id=g:6689435
Pāsgāh-e Marzī-ye Hīkeh Qīūn	id=g:6689436
Dabestān-e Moḩammadīyeh	id=g:6689457
Pīr Dāghī	id=g:6689458
Qarah Qāch	id=g:6689459
Kūh-e Qezel Gūnī	id=g:6689460
Dabestān-e Pahlavī	id=g:6689461
Qarah Āghāj	id=g:6689462
Qezeljeh Qeshlāqī	id=g:6689463
Shīr Shīr Dāghī	id=g:6689464
Tappeh-ye Bālā Qayah	id=g:6689465
Darreh-ye Shīrīn Sū	id=g:6689466
Kūh-e Qarāvol Dāghī	id=g:6689467
Kūh-e Qaţar	id=g:6689468
Cheshmeh-ye Pā’īn	id=g:6689469
Bāsh Bolāgh	id=g:6689470
Mūlī Kūrānī	id=g:6689471
Āq Bolāgh	id=g:6689472
Kūy Dāgh	id=g:6689473
Tappeh-ye Qarāvol	id=g:6689474
Tappeh-ye Khvosh Yeylāq	id=g:6689476
Naz̧ar Dāgh	id=g:6689477
Kamar Kūh	id=g:6689478
Darreh-ye Chūpān Qabreh	id=g:6689479
Kūh-e ‘Eyd ‘Alī	id=g:6689480
Kūh-e Qarāvol Dāsheh	id=g:6689481
Seyyed Darrehsī	id=g:6689482
Kūh-e Shūr Bolāgh	id=g:6689483
Kūh-e Gūrchū	id=g:6689484
Cheshmeh-ye Ja‘far Beg	id=g:6689485
Kūh-e Kūch	id=g:6689486
Qezel Dāgh	id=g:6689487
Kūh-e ‘Alī Aşghar	id=g:6689488
Kūh-e Seyyed	id=g:6689489
Seylāb-e Āghcheh Mashhad	id=g:6689490
Tappeh-ye Barg	id=g:6689491
Tappeh-ye Karbelā’ī	id=g:6689492
Kūh-e Palaklū	id=g:6689493
Darreh-ye Palaklū	id=g:6689494
Tappeh-ye Barrnow	id=g:6689495
Qūshalān	id=g:6689497
Tappeh-ye Gandī Asadī	id=g:6689498
Seylāb-e Khān Khānom	id=g:6689499
Qarah Āqāch Chāy	id=g:6689500
Seyyed Mīr Ḩoseyn	id=g:6689501
Shekar Bolāghī	id=g:6689503
Gāneh Darreh	id=g:6689504
Z̧olmābād Chāy	id=g:6689505
Emāmzādeh Seyyed Gol Nesā Khānom	id=g:6689506
Darreh-ye Āyqīūqūsh	id=g:6689507
Darreh-ye Yaranjāleh	id=g:6689508
Kūh-e Gūnī	id=g:6689509
Shūr Bolāghī	id=g:6689510
Kūh-e Ālmā Āghājī	id=g:6689511
Darreh-ye Chūbdār	id=g:6689512
Darreh-ye Īlī Bolāgh	id=g:6689513
Ālā Bolāghī	id=g:6689514
Jālā Bolāghī	id=g:6689515
Dādāsh Bolāghī	id=g:6689516
Tappeh-ye Qarāvol	id=g:6689517
Gūmlī Bolāghī	id=g:6689518
Tappeh-ye Āq Qayah	id=g:6689519
Sāreh Dāghī	id=g:6689520
Rūdkhāneh-ye Qīnehjeh	id=g:6689521
Ādīrīg Dāghī	id=g:6689522
Kābū Darrehsī	id=g:6689523
Gīlāncheh Dāghī	id=g:6689524
Darreh-ye Dāsheh	id=g:6689525
Pāshā Dāghī	id=g:6689527
Tappeh-ye Bālādeh	id=g:6689528
Şowma‘eh Darrehsī	id=g:6689529
Gūvorchīn Dāghī	id=g:6689530
Maqbareh-ye Mīr Moḩammad	id=g:6689531
Kūh-e Hamīsheh Gūnī	id=g:6689532
Kūh-e Boyūk Qūzī	id=g:6689533
Darreh-ye Korjīk	id=g:6689534
Tappeh-ye Qaţūr	id=g:6689535
Darreh-ye Kūpeh Bolāghī	id=g:6689536
Tappeh-ye Shegar	id=g:6689537
Bāl Darrehsī	id=g:6689538
Tappeh-ye Īlānnī-ye Qeshlāq	id=g:6689539
Tappeh-ye Moşallá	id=g:6689540
Īnjenār Dāghī	id=g:6689541
Qomīsh Darreh	id=g:6689542
Kūh-e Gowjeh Galak	id=g:6689543
Tappeh-ye Nūrī Gadūkī	id=g:6689544
Shūmeh Tappehsī	id=g:6689545
Kūh-e Qārqājeh Gadūk	id=g:6689546
Qūrt Ghar Chāy	id=g:6689547
Darreh-ye Shamsī Khān	id=g:6689548
Seylāb-e Īlānnī	id=g:6689549
Dāmaneh Āb	id=g:6689550
Dabestān-e Hātef	id=g:6689551
Kūh-e Sūrmalī	id=g:6689552
Īstgāh-e Khorāsānak	id=g:6689553
Dabestān-e Şedāqat	id=g:6689554
Qūrī Darreh	id=g:6689555
Sūghānchī Chāy	id=g:6689556
Dabestān-e Now Bonyād	id=g:6689557
Dabestān-e Ebn-e Sīnā	id=g:6689558
Dabestān-e Dārāb	id=g:6689559
Dabestān-e Şā’eb	id=g:6689560
Boqrīq	id=g:6689561
Moqrebeh	id=g:6689562
Dabestān-e Now Bonyād	id=g:6689563
Dabestān-e Golestān	id=g:6689564
Āq Dāgh	id=g:6689565
Dabestān-e Khāqānī	id=g:6689566
Dabestān-e Ordībehesht	id=g:6689567
Āqām ‘Alī Chāy	id=g:6689568
Dabestān-e Kāveh	id=g:6689569
Dabestān-e Hamām	id=g:6689570
Owghān	id=g:6689571
Dabestān-e Mas‘ūd-e Sa‘d	id=g:6689572
Dabestān-e Kūrūsh	id=g:6689573
Jaqr	id=g:6689574
Sānyān-e Bālā	id=g:6689575
Emāmzādeh Mehr ‘Alī	id=g:6689576
Emāmzādeh Roqīyeh	id=g:6689577
Emāmzādeh Zahrā	id=g:6689578
Şowma‘eh-ye Pā’īn	id=g:6689579
Gūz Gūlī Dāgh	id=g:6689580
Kārvānsarā-ye Shāh ‘Abbāsī	id=g:6689581
Mollā Ḩājjī	id=g:6689582
Lanjevān Chāy	id=g:6689583
Qāsem Dāghī	id=g:6689584
Dabestān-e Mahdavī	id=g:6689585
Īmān	id=g:6689586
Şaqlá	id=g:6689587
Qeshlāq-e Shāhvardī	id=g:6689588
Albardeh	id=g:6689589
Āq Qal‘ehsī	id=g:6689590
Qīzcheh Chāy	id=g:6689591
Kalak ‘Alī Dāgh	id=g:6689592
Qāshqā Dāgh	id=g:6689593
Kūh-e Sharafkhān	id=g:6689594
Gūrān	id=g:6689595
Gavāsar Dāgh	id=g:6689596
Damīr Tappeh	id=g:6689597
Chahār Dīvār	id=g:6689598
Khān Bāz	id=g:6689599
Qahvehkhāneh-ye Sar Cheshmeh	id=g:6689600
Kūlīār	id=g:6689601
Qezlar	id=g:6689602
Dambīrchī Kandī	id=g:6689603
Masjedlū	id=g:6689604
Narīmān Kandī	id=g:6689605
Ḩājjīlū Chāy	id=g:6689606
Owch Darreh	id=g:6689607
Kūh-e Akūz	id=g:6689608
Qāl Qānlū	id=g:6689609
Qowmlū	id=g:6689610
Rūdkhāneh-ye Bar Āghūsh	id=g:6689611
Kūh-e Jamālābād	id=g:6689612
Kūh-e Sājāneh	id=g:6689613
Qāsem Kandī	id=g:6689614
Narmīq Chāy	id=g:6689615
Ālān	id=g:6689616
Āq Bolāgh	id=g:6689617
Dāgh Bāshī	id=g:6689618
Būzlū Bolāgh Dāgh	id=g:6689619
Masjedlī Dāgh	id=g:6689620
Lameh Chāy	id=g:6689621
Mīstī Dāgh	id=g:6689622
Yāghlī Dāgh	id=g:6689623
Ḩājjīābād	id=g:6689624
Āqā Mo‘alá Chāy	id=g:6689625
Pīr	id=g:6689626
Esmā‘īl Kandī Chāy	id=g:6689627
Berūsh Chāy	id=g:6689628
Ājī Chāy	id=g:6689629
Bezvān	id=g:6689630
Jamālābād	id=g:6689631
Ātmeyān Chāy	id=g:6689632
Shīrān Chāy	id=g:6689633
Kord Aḩmad-e Pā’īn	id=g:6689634
Ārāmgāh-e Sheykh Shahāb od Dīn	id=g:6689635
Gorjī	id=g:6689636
Radeh	id=g:6689637
Āq Dāsh	id=g:6689638
Tarkāsh	id=g:6689639
Malekzādeh	id=g:6689640
Mazra‘eh-ye Halīn	id=g:6689641
Sāplākh Dāgh	id=g:6689642
Tangjeh	id=g:6689643
Tātlār	id=g:6689644
Tāzeh Kand-e Ţahmāsb	id=g:6689645
Sang Farshābād	id=g:6689646
Khodāverdī Kandī	id=g:6689647
Yūzband	id=g:6689648
Ālmān-e Jadīd	id=g:6689649
Tāzeh Kand	id=g:6689650
Kūh-e Yelī Yūrt	id=g:6689651
Sūlī Daraq	id=g:6689652
Rūdkhāneh-ye ‘Alīābād	id=g:6689653
Armeh	id=g:6689654
Bīrīḩān	id=g:6689655
Havā’ī Daraq	id=g:6689656
Dāvūdlū	id=g:6689657
Īstī ‘Alam Dāghī	id=g:6689658
Chandahzū Qeshlāq	id=g:6689659
Qezel Dāsh Dāghī	id=g:6689660
Havā’ī Dāghī	id=g:6689661
Vīr Qal‘ehsī Chāy	id=g:6689662
Shalvarī	id=g:6689663
Qīz Qal‘ehsī Dāgh	id=g:6689664
Khūbyārī	id=g:6689665
Kūh-e Qūrd Qayah	id=g:6689666
Qeshlāq-e Ḩājj Aḩmad	id=g:6689667
Ḩoseyn Qeshlāqeh	id=g:6689668
Yūseflū	id=g:6689669
Charkhvolī	id=g:6689670
Shāh Naz̧ar	id=g:6689671
Jālīq	id=g:6689672
Tātār	id=g:6689673
Kūh-e Ālā Sandal	id=g:6689674
Kūh-e Bāshtlar	id=g:6689675
Tāzeh Kand	id=g:6689676
Kūh-e Sorkh	id=g:6689677
Vargahān	id=g:6689678
Qeshlāq Moghār	id=g:6689679
Qal‘eh Jūq	id=g:6689680
Dowshtūr	id=g:6689681
Arpezān	id=g:6689682
Shūr Kahrīz	id=g:6689683
Kīchīk Chāy	id=g:6689684
Qarah Chāy	id=g:6689685
Bechīn Daraq	id=g:6689686
Kūh-e Owrtāt Makhvor	id=g:6689687
Chāylākh	id=g:6689688
Zaklak-e Pā'īn	id=g:6689689
Qal‘eh Dāgh	id=g:6689690
Halīlū Chāy	id=g:6689691
Qarah Gaz	id=g:6689692
Kūh-e Qezel Qayah	id=g:6689693
‘Alīreẕā Kandī	id=g:6689694
Moşţafá Chāy	id=g:6689695
Tāzeh Kand	id=g:6689696
Pāsgāh-e Khalaf Beyglū	id=g:6689697
Khoshk Rūd-e Zeynī Beyglū	id=g:6689698
Qeshlāq-e Moqaddam	id=g:6689699
Qolī Beyglū	id=g:6689700
Qolī Beyglū	id=g:6689701
Sadd-e Mīleh Moghān	id=g:6689703
Tappeh-ye Nāderī	id=g:6689704
Aşlān Dūz	id=g:6689705
Tīrīd	id=g:6689706
Maqşūdlū-ye Pa'īn	id=g:6689707
Pīr Maqşūdlū	id=g:6689708
Sārī Qeshlāq	id=g:6689709
Asad Kandī	id=g:6689710
Palanglū	id=g:6689712
Gedāylī	id=g:6689713
Qārāsh Qātepsī	id=g:6689715
Būjeh	id=g:6689717
Darreh Rūd	id=g:6689719
Chākheyrlū	id=g:6689720
Qarah Qobāq	id=g:6689721
Qeshlāq-e Aḩmadī	id=g:6689722
Sūmā	id=g:6689723
Qeshlāq-e Sārī Beyglū	id=g:6689724
Elmā Darreh	id=g:6689725
Ājī Darreh	id=g:6689726
Owzūn Qayah	id=g:6689727
Na‘reh Kesh	id=g:6689728
Ākh Mat	id=g:6689729
Shāmlū	id=g:6689730
Chāh Kheyrlū	id=g:6689731
Shāmlū	id=g:6689733
Afr	id=g:6689734
Pūlād Khān	id=g:6689735
Zīārlū	id=g:6689736
Aznavī-ye Pā'īn	id=g:6689737
Selīn Chāy	id=g:6689738
Dāvdān-e Pā'īn	id=g:6689739
Ḩasan Solţān	id=g:6689740
Pīr Owghlī	id=g:6689741
Pīr Hādīān	id=g:6689742
Qal‘eh Gūnī	id=g:6689743
Qal‘eh Gūnī	id=g:6689744
Vajnāb	id=g:6689745
Āvārsīn Chāy	id=g:6689746
Pīreh Yūrdī	id=g:6689747
Shāh Yūrdī	id=g:6689748
Sa‘d Beyglū	id=g:6689749
Lūmhūnī	id=g:6689750
Āqā Kīshklū	id=g:6689751
Dedlū	id=g:6689752
Yancheh Chāy	id=g:6689753
Lakān Chāy	id=g:6689754
Lalehlū	id=g:6689755
Ḩesbān	id=g:6689756
Ojāq Kandī	id=g:6689757
Qarah Pāchānlū	id=g:6689758
Ghāzān Chāy Kandī	id=g:6689759
Āghāmīrlū	id=g:6689760
Kadkhodālū-ye Pā’īn	id=g:6689761
Abūtorāb	id=g:6689762
Maḩmūd Qolī-ye Qeshlāq Moqaddam	id=g:6689763
Chālāghān	id=g:6689764
Pīr‘alīlū	id=g:6689765
Oskānlū-ye Bālā	id=g:6689766
Ḩasanlū	id=g:6689767
Lārījān	id=g:6689768
Pāsgāh-e Lārījān	id=g:6689769
Park-e Shafagh	id=g:6692924
Park-e Saee	id=g:6692925
Seyyed Jamaleddin-e Assadabadi	id=g:6692926
Hotel Homa	id=g:6693867
Hotel Laleh	id=g:6693868
Sajjad Hospital	id=g:6693869
Mehr Hospital	id=g:6693871
Dey Hospital	id=g:6693874
Vanak Str. (خيابان ونك)	id=g:6697625
Homa Hotel (هتل هما)	id=g:6697626
Laleh Hotel (هتل لاله)	id=g:6697628
Carpet Museum (موزه فرش)	id=g:6697629
City Theater (تئاتر شهر)	id=g:6697632
Laheh Park (پارك لاله)	id=g:6697633
Khiaban-e Seyyed Jamaleddin-e Assadabadi	id=g:6697634
Meydan-e Kalantari (ميدان كلانتری)	id=g:6697635
Khiaban-e Shahid Fathi Shaghaghi	id=g:6697636
Meydan-e Salmas	id=g:6697637
Meydan-e Tarehbar-e Ghezel Ghal-e	id=g:6697638
Park-e Ghazel Ghaleh	id=g:6697639
Meydan-e Fatemi (Jahad)	id=g:6697640
Meydan-e Vali-e Asr	id=g:6697641
Meydan-e Haft-e Tir	id=g:6697642
German Embassy	id=g:6697643
British Embassy	id=g:6697644
Russian Embassy	id=g:6697645
Tehran Imam Khomeini International Airport	id=g:6698157
Kaleh Chān	id=g:6698708
Dāsh Qāpū	id=g:6698711
Yāstī Bolāgh	id=g:6698712
Seyyedlar	id=g:6698713
Lāvarestān	id=g:6698716
Bakh (3)	id=g:6698770
Beygom Bāghī	id=g:6703824
Emāmzādeh-ye Zeyd Ebn-e ‘Aqāl	id=g:6703825
Sadd-e Makhzanī Va Band-e Enḩerafī-ye Āghcheh Kohel	id=g:6703826
Kūh-e Gardan Sū	id=g:6703827
Kūh-e Mīlān	id=g:6703828
Dāneshgāh-e Markaz-e Setārehshenāsī-ye Tabrīz	id=g:6703829
Kūh-e Sahand	id=g:6703830
Ḩīlehvar	id=g:6703831
Cheshmeh-ye Āb-e Ma‘danī-ye Kandūjan	id=g:6703832
Qanshāv Dāghī	id=g:6703833
Estakhr-e Gol-e Darrehsī	id=g:6703834
Emāmzādeh Sīāhpūsh	id=g:6703835
Kūh-e Sīāhpūsh	id=g:6703836
Qal‘ehchī	id=g:6703837
Kūh-e Qamesh Gūnī	id=g:6703838
‘Alī Varī Dāghī	id=g:6703839
Yeylāq-e Solţān Owsāmeh	id=g:6703840
Sahrīn Dāghī	id=g:6703841
Sīrān Dāgh	id=g:6703842
Ma‘dan-e Sang-e Sherkat-e Āz̄ār Marmar	id=g:6703843
Yeylāq-e Sefīdeh khān	id=g:6703844
Zarnaq	id=g:6703845
Nakheyr Dāghī	id=g:6703846
Kūh-e Shīleh Sardāghī	id=g:6703847
Damīrlī Dāgh	id=g:6703848
Māl Dāghī	id=g:6703849
Kūh-e Arshad Chaman	id=g:6703850
Kūh-e Chākh Chākh	id=g:6703851
Darreh-ye Tarāqā’ī	id=g:6703852
Kamāl Dāghī	id=g:6703853
Kūh-e Bāyandor Gīrvehsī	id=g:6703854
Ḩaram Dāghī	id=g:6703855
Darvīsh Dāghī	id=g:6703856
Kūh-e Dowdānlū	id=g:6703857
Kūh-e Qarakh Bolāgh	id=g:6703858
Kūh-e Goplāntū	id=g:6703859
Zāvīyeh	id=g:6703860
Kūh-e Qal‘eh	id=g:6703861
Dekal	id=g:6703862
