Gokpār	id=g:1202196
Goāltor	id=g:1202373
Goālpota	id=g:1202374
Goālpāra	id=g:1202375
Goālpāra	id=g:1202376
Goālpāra	id=g:1202377
Goālpāra	id=g:1202378
Goālpāra	id=g:1202379
Goālpāra	id=g:1202380
Goālpāra	id=g:1202381
Goālpara	id=g:1202382
Goālkhāli	id=g:1202383
Goālnagar	id=g:1202384
Goālnagar	id=g:1202385
Goālnagar	id=g:1202386
Goalnagar	id=g:1202387
Goālmāthān	id=g:1202388
Goālkua	id=g:1202389
Goālkhāli	id=g:1202390
Goālkāti	id=g:1202391
Goālkāndi	id=g:1202392
Goākandi	id=g:1202393
Goālkāndār	id=g:1202394
Goālkāndi	id=g:1202395
Goalkanda	id=g:1202396
Goāljān	id=g:1202397
Goāli Tinpāra	id=g:1202398
Goāliar Khāl	id=g:1202399
Goālābāsa	id=g:1202400
Goālia	id=g:1202401
Goāli	id=g:1202402
Goalhati	id=g:1202403
Goālgrām	id=g:1202404
Goālghuni	id=g:1202405
Goālgāti	id=g:1202406
Goālgaon	id=g:1202407
Goālgaon	id=g:1202408
Goālgābha	id=g:1202409
Goālertila	id=g:1202410
Goāler Char	id=g:1202411
Goāldi Musuria	id=g:1202412
Goaldihi	id=g:1202413
Goāldi	id=g:1202414
Goāldi	id=g:1202415
Goāldi	id=g:1202416
Goāldāngi	id=g:1202417
Goāldaha	id=g:1202418
Goāldaha	id=g:1202419
Goālbhita	id=g:1202420
Goālbhar	id=g:1202421
Goālbhāor	id=g:1202422
Goal Bhāor	id=g:1202423
Goālbāti	id=g:1202424
Goālbāthān	id=g:1202425
Goālbāthān	id=g:1202426
Goālbāthān	id=g:1202427
Goālbāthān	id=g:1202428
Goālbāthān	id=g:1202429
Goālbāthān	id=g:1202430
Goālbāri	id=g:1202431
Goālbāri	id=g:1202432
Goālbāri	id=g:1202433
Goālbāri	id=g:1202434
Goālbāri	id=g:1202435
Goālbāri	id=g:1202436
Goālbanda	id=g:1202437
Goālbanda	id=g:1202438
Goālākānda	id=g:1202439
Goāla	id=g:1202440
Goāilbārir Tek	id=g:1202441
Goailbari	id=g:1202442
Goaīl	id=g:1202443
Guāgaon	id=g:1202444
Gnosai Pushkarini	id=g:1202445
Girinagar	id=g:1202446
Giridharpur	id=g:1202447
Giribardi	id=g:1202448
Girdāpāra	id=g:1202449
Girdān	id=g:1202450
Girāil	id=g:1202451
Gandāil	id=g:1202452
Gimādānga	id=g:1202453
Gilātali	id=g:1202454
Gilātali	id=g:1202455
Gilātala	id=g:1202456
Gilātala	id=g:1202457
Gilātala	id=g:1202458
Gilāpol	id=g:1202459
Gilanda	id=g:1202460
Gilājhuki	id=g:1202461
Gilāber	id=g:1202462
Gilābāri	id=g:1202463
Gilābāri	id=g:1202464
Gilābāri	id=g:1202465
Gilābāri	id=g:1202466
Gidhāusha	id=g:1202467
Ghusuri	id=g:1202468
Ghusu	id=g:1202469
Ghurulia	id=g:1202470
Ghurnia	id=g:1202471
Ghuridaha	id=g:1202472
Ghuria Chara	id=g:1202473
Ghurchākāti	id=g:1202474
Ghunsi	id=g:1202475
Ghuni Karanja	id=g:1202476
Ghuniājāni	id=g:1202477
Ghuni	id=g:1202478
Ghungui	id=g:1202479
Ghumira	id=g:1202480
Ghullia	id=g:1202481
Ghugusāl	id=g:1202482
Ghughumāri	id=g:1202483
Dakshin Ghugrākāti	id=g:1202484
Ghugrākāndi	id=g:1202485
Ghughurchap	id=g:1202486
Ghughurāil	id=g:1202487
Ghughudia	id=g:1202488
Ghughudānga	id=g:1202489
Ghughua	id=g:1202490
Ghoshpur	id=g:1202491
Ghoshpur	id=g:1202492
Ghoshpur	id=g:1202493
Ghoshpur	id=g:1202494
Ghoshpukur	id=g:1202495
Ghoshpāra	id=g:1202496
Ghoshpāra	id=g:1202497
Ghoshpāra	id=g:1202498
Ghoshpāla	id=g:1202499
Ghoshkura	id=g:1202500
Ghoshkhila	id=g:1202501
Ghoshkāti Ramzānkāti	id=g:1202502
Ghoshkāti	id=g:1202503
Ghoshkāndi	id=g:1202504
Ghoshkāmta	id=g:1202505
Ghoshkāli River	id=g:1202506
Ghoshgaon	id=g:1202507
Ghoshgaon	id=g:1202508
Ghoshgrām	id=g:1202509
Ghoshgaon	id=g:1202510
Ghosher Tikikāta	id=g:1202511
Ghosherkāndi	id=g:1202512
Ghosher Char	id=g:1202513
Ghosher Chak	id=g:1202514
Ghoshbāri	id=g:1202515
Ghoshbāg	id=g:1202516
Ghoshaya	id=g:1202517
Ghoshara	id=g:1202518
Ghoshāil	id=g:1202519
Ghoser Kāndi	id=g:1202520
Ghosenagar	id=g:1202521
Ghosāl	id=g:1202522
Ghorta	id=g:1202523
Ghors̄l	id=g:1202524
Ghorsāil	id=g:1202525
Ghorsāba	id=g:1202526
Ghorpālān	id=g:1202527
Ghorlai	id=g:1202528
Ghordaha	id=g:1202529
Ghorāutra River	id=g:1202530
Ghorāsāla	id=g:1202531
Ghorāsāl	id=g:1202532
Ghorār Chak	id=g:1202533
Ghorāpākhia	id=g:1202534
Ghorāmaydān	id=g:1202535
Ghoramāra Nadi	id=g:1202536
Ghorāmāra	id=g:1202537
Ghorāmāra	id=g:1202538
Ghorāmāra	id=g:1202539
Ghorāmāra	id=g:1202540
Ghorāmara	id=g:1202541
Ghorāmaīdān	id=g:1202542
Ghorākhāli	id=g:1202543
Ghorāil	id=g:1202544
Ghorai	id=g:1202545
Ghorāghāt	id=g:1202546
Ghorādia	id=g:1202547
Ghoradia	id=g:1202548
Ghorādhigha	id=g:1202549
Ghorādhāri	id=g:1202550
Ghorādhāri	id=g:1202551
Ghorādhāp	id=g:1202552
Ghorādāra	id=g:1202553
Ghorādāir	id=g:1202554
Ghorādaha	id=g:1202555
Ghorādaha	id=g:1202556
Ghorādaha	id=g:1202557
Ghorāchula	id=g:1202558
Ghorābāndha	id=g:1202559
Ghopghāt	id=g:1202560
Ghop Dakshin	id=g:1202561
Ghonshi	id=g:1202562
Ghongra	id=g:1202563
Ghonār Deuli	id=g:1202564
Ghonāpāra	id=g:1202565
Ghonākonda	id=g:1202566
Ghonabāri	id=g:1202567
Ghona	id=g:1202568
Ghona	id=g:1202569
Ghona	id=g:1202570
Ghona	id=g:1202571
Ghona	id=g:1202572
Ghonā	id=g:1202573
Ghomgaon	id=g:1202574
Gholtali	id=g:1202575
Gholkuri	id=g:1202576
Gholkāndor	id=g:1202577
Gõlaharia	id=g:1202578
Ghola	id=g:1202579
Ghojādānga	id=g:1202580
Ghoja	id=g:1202581
Ghogāpāra	id=g:1202582
Ghoga	id=g:1202583
Ghoga	id=g:1202584
Ghirnai River	id=g:1202585
Ghipara	id=g:1202586
Ghior	id=g:1202587
Ghimora	id=g:1202588
Ghilātali	id=g:1202589
Ghilāsāir	id=g:1202590
Ghilākāndi	id=g:1202591
Ghilāchari	id=g:1202592
Ghilāchari	id=g:1202593
Ghilāchara	id=g:1202594
Ghilābāri	id=g:1202595
Ghila	id=g:1202596
Ghighāt	id=g:1202597
Ghighara	id=g:1202598
Ghiduāri	id=g:1202599
Ghiduāri	id=g:1202600
Ghidob	id=g:1202601
Ghiba	id=g:1202602
Ghiāria	id=g:1202603
Ghiapukur	id=g:1202604
Ghengrāil River	id=g:1202605
Gheohugolla	id=g:1202606
Ghechua	id=g:1202607
Ghāzīpur	id=g:1202608
Ghazipur	id=g:1202609
Ghāturkona	id=g:1202610
Ghāturia	id=g:1202611
Ghāturi	id=g:1202612
Ghātra	id=g:1202613
Ghātnagar	id=g:1202614
Ghāt Murdaha	id=g:1202615
Ghātmājhi	id=g:1202616
Ghātlābāg	id=g:1202617
Ghātla	id=g:1202618
Ghatkuri	id=g:1202619
Ghātkair	id=g:1202620
Ghātighara	id=g:1202621
Ghātībhanga	id=g:1202622
Ghāteswari	id=g:1202623
Ghātbhog	id=g:1202624
Ghātākhān	id=g:1202625
Ghātākhāli	id=g:1202626
Ghatak Char	id=g:1202627
Ghāta Char	id=g:1202628
Ghāta	id=g:1202629
Ghāta	id=g:1202630
Ghāsuria	id=g:1202631
Ghāsirdia	id=g:1202632
Ghāsir Char	id=g:1202633
Ghāsipur Char	id=g:1202634
Ghāsipur	id=g:1202635
Ghāsipur	id=g:1202636
Ghasiara	id=g:1202637
Ghāsiāra	id=g:1202638
Ghāsiāra	id=g:1202639
Ghāsiāl	id=g:1202640
Ghasiakhāli River	id=g:1202641
Ghasiākhāli	id=g:1202642
Ghāshir Pukurpār	id=g:1202643
Ghāshirdia	id=g:1202644
Ghāserkhil	id=g:1202645
Ghāsbhog	id=g:1202646
Ghusaingaria Khāl	id=g:1202647
Ghārua	id=g:1202648
Ghārmora	id=g:1202649
Ghārmora	id=g:1202650
Gharisār	id=g:1202651
Ghārinda	id=g:1202652
Gharimandal	id=g:1202653
Gharihāna	id=g:1202654
Ghariāla	id=g:1202655
Gharbhānga Krīshnapur	id=g:1202656
Gharam	id=g:1202657
Gharaighāti	id=g:1202658
Ghanteswar	id=g:1202659
Ghanīpur	id=g:1202660
Ghaniār Char	id=g:1202661
Ghaniāmora	id=g:1202662
Ghaniākhāli	id=g:1202663
Ghania	id=g:1202664
Ganeshyampur	id=g:1202665
Ghanesyampur	id=g:1202666
Ghanasyāmpur	id=g:1202667
Ghanshyāmpur	id=g:1202668
Ghanasyāmpur	id=g:1202669
Ghanasyampur	id=g:1202670
Ghāikuribar	id=g:1202671
Ghāgua	id=g:1202672
Ghāgra Nadi	id=g:1202673
Ghāgrāpāra	id=g:1202674
Ghāgra Nārāyanpur	id=g:1202675
Ghāgra Gopālpur	id=g:1202676
Ghāgra	id=g:1202677
Ghāgra	id=g:1202678
Ghāgra	id=g:1202679
Ghāgra	id=g:1202680
Ghāgra	id=g:1202681
Ghāgra	id=g:1202682
Ghāgra	id=g:1202683
Ghāgra	id=g:1202684
Ghāgra	id=g:1202685
Ghāgra	id=g:1202686
Ghāgli	id=g:1202687
Ghāghāt River	id=g:1202688
Ghāgatia	id=g:1202689
Ghāgatia	id=g:1202690
Ghāgar River	id=g:1202691
Ghāgarduār	id=g:1202692
Ghāgar	id=g:1202693
Ghāgair	id=g:1202694
Geubunia	id=g:1202695
Gerua	id=g:1202696
Geria	id=g:1202697
Gerdda	id=g:1202698
Gerāmarddān	id=g:1202699
Gerākul	id=g:1202700
Gerākhola	id=g:1202701
Genda	id=g:1202702
Genārpāra	id=g:1202703
Gedura	id=g:1202704
Gaznabipur	id=g:1202705
Gazmahāl	id=g:1202706
Gāzīrtek	id=g:1202707
Gāzirpār	id=g:1202708
Gāzirkāndi	id=g:1202709
Gāzirgaon	id=g:1202710
Gāzir Char	id=g:1202711
Gāzir Char	id=g:1202712
Gazirbāg	id=g:1202713
Gāzīpur Manipur	id=g:1202714
Gāzipur Kutubpur	id=g:1202715
Gazipur Char	id=g:1202716
Gāzipura	id=g:1202717
Gāzipura	id=g:1202718
Gāzipur	id=g:1202719
Gāzipur	id=g:1202720
Gāzipur	id=g:1202721
Chauka Gāzipur	id=g:1202722
Gāzipur	id=g:1202723
Gāzipur	id=g:1202724
Gāzipur	id=g:1202725
Gāzipur	id=g:1202726
Gāzipur	id=g:1202727
Gāzipur	id=g:1202728
Gāzipur	id=g:1202729
Gāzipur	id=g:1202730
Gāzīpur	id=g:1202731
Gāzīpur	id=g:1202732
Gāzipur	id=g:1202733
Gazipur	id=g:1202734
Gazipur	id=g:1202735
Gāzipur	id=g:1202736
Gāzinagar	id=g:1202737
Gāzinagar	id=g:1202738
Gāzirhāt	id=g:1202739
Gāzikāti	id=g:1202740
Gāzi Durgāpur	id=g:1202741
Gāzībāri	id=g:1202742
Gāziāpāra	id=g:1202743
Gāziāpāra	id=g:1202744
Gazāriāpār	id=g:1202745
Gazāria	id=g:1202746
Gazāria	id=g:1202747
Gazāria	id=g:1202748
Gazāria	id=g:1202749
Gazāria	id=g:1202750
Gazāria	id=g:1202751
Gazāria	id=g:1202752
Gazaria	id=g:1202753
Gazārchāp	id=g:1202754
Gazandhar	id=g:1202755
Gajāibāri	id=g:1202756
Gāyrakul	id=g:1202757
Gāyra	id=g:1202758
Gaira	id=g:1202759
Gayhāta	id=g:1202760
Gayghar	id=g:1202761
Gayespur	id=g:1202762
Gayespur	id=g:1202763
Gayespur	id=g:1202764
Gayespur	id=g:1202765
Gayespur	id=g:1202766
Gayeskhila	id=g:1202767
Gayerpāra	id=g:1202768
Gayātala	id=g:1202769
Gayāspur	id=g:1202770
Gayāsherbāri	id=g:1202771
Gāwāsār	id=g:1202772
Gāvi Simul	id=g:1202773
Gautamkāti	id=g:1202774
Gaursuti	id=g:1202775
Gaursar	id=g:1202776
Gaurnagar	id=g:1202777
Gaurnagar	id=g:1202778
Gurkhai	id=g:1202779
Gauriswar	id=g:1202780
Gauriswar	id=g:1202781
Gauripur	id=g:1202782
Gaurīpur	id=g:1202783
Gaurīpur	id=g:1202784
Gauripur	id=g:1202785
Gouripur	id=g:1202786
Gauripur	id=g:1202787
Gouripur	id=g:1202788
Gauripur	id=g:1202789
Gauripur	id=g:1202790
Gauripur	id=g:1202791
Gauripur	id=g:1202792
Gauripur	id=g:1202793
Gauripur	id=g:1202794
Gauripāsa	id=g:1202795
Gaurināthdi	id=g:1202796
Gaurīnagar	id=g:1202797
Gaurinagar	id=g:1202798
Gaurihar	id=g:1202799
Gauricharanpur	id=g:1202800
Gauribhānga	id=g:1202801
Gauribardi Khās	id=g:1202802
Gauribardi	id=g:1202803
Gauribaradia	id=g:1202804
Simulia Gaurdaha	id=g:1202805
Gaurbarddi	id=g:1202806
Gaurāngapur	id=g:1202807
Gourāngapur	id=g:1202808
Gaurāngapur	id=g:1202809
Gaurangapur	id=g:1202810
Gaurambha	id=g:1202811
Gaurabdi Bhāgāir Char	id=g:1202812
Gāupāra Senbāgh	id=g:1202813
Gaul	id=g:1202814
Gattia	id=g:1202815
Gātipāra	id=g:1202816
Gātipāra	id=g:1202817
Gātipāra	id=g:1202818
Gātimulgaon	id=g:1202819
Gotia	id=g:1202820
Gatampur	id=g:1202821
Gataiya	id=g:1202822
Garuria	id=g:1202823
Gārurgaon	id=g:1202824
Gāruikhāli	id=g:1202825
Garuākānda	id=g:1202826
Garua	id=g:1202827
Garpāra	id=g:1202828
Garpāra	id=g:1202829
Garpāra	id=g:1202830
Gar Nurpur	id=g:1202831
Garma	id=g:1202832
Garkhāli	id=g:1202833
Garkānda	id=g:1202834
Garjjana	id=g:1202835
Garjania Khuntākhāli Reserved Forest	id=g:1202836
Garjania Khāl	id=g:1202837
Garjania	id=g:1202838
Gar Jainābāri	id=g:1202839
Garila	id=g:1202840
Gārikhetra	id=g:1202841
Garibpur	id=g:1202842
Garibpur	id=g:1202843
Garibpur	id=g:1202844
Garibardi	id=g:1202845
Gariārdānga	id=g:1202846
Gariāgabha	id=g:1202847
Gariābunia	id=g:1202848
Garia	id=g:1202849
Garhpāra	id=g:1202850
Garh Kumarpur	id=g:1202851
Garh Jaripa	id=g:1202852
Garh Gobindapur	id=g:1202853
Gargari	id=g:1202854
Gargari	id=g:1202855
Gargaran	id=g:1202856
Gārfa	id=g:1202857
Gareya	id=g:1202858
Garergaon	id=g:1202859
Garerdānga	id=g:1202860
Kānchanpur	id=g:1202861
Garduāra	id=g:1202862
Garduār	id=g:1202863
Gardi	id=g:1202864
Gordangi	id=g:1202865
Gardāna	id=g:1202866
Gar Chilaka	id=g:1202867
Gar Bisudia	id=g:1202868
Garbhānga	id=g:1202869
Garbāri	id=g:1202870
Garbāri	id=g:1202871
Gar Bājāil	id=g:1202872
Garaund	id=g:1202873
Gāratta	id=g:1202874
Gārāria	id=g:1202875
Gārāria	id=g:1202876
Gārāran	id=g:1202877
Garānia	id=g:1202878
Garangal Rājpāsa	id=g:1202879
Garangal Borādi	id=g:1202880
Garanga	id=g:1202881
Gārān Chatbāri	id=g:1202882
Garāmāra	id=g:1202883
Gāralgāti	id=g:1202884
Gārāl	id=g:1202885
Gārākul	id=g:1202886
Gārākola	id=g:1202887
Gārākhola Madhukhāli	id=g:1202888
Gārākhali Prāganj	id=g:1202889
Garakhāli	id=g:1202890
Gārākāndia	id=g:1202891
Gārājān	id=g:1202892
Garai River	id=g:1202893
Garai Mahāl	id=g:1202894
Gārāil	id=g:1202895
Gārāikuti	id=g:1202896
Garaia	id=g:1202897
Gārāgrām	id=g:1202898
Gārādub	id=g:1202899
Gārādoba	id=g:1202900
Gārādia	id=g:1202901
Gārādāha	id=g:1202902
Gāracho	id=g:1202903
Gārāber	id=g:1202904
Garāber	id=g:1202905
Gāotāra	id=g:1202906
Gāorār	id=g:1202907
Gāopāra	id=g:1202908
Gāopāra	id=g:1202909
Gaonra	id=g:1202910
Gaon Kāndia	id=g:1202911
Gaonghara	id=g:1202912
Gaola	id=g:1202913
Gāodia	id=g:1202914
Gāoāil	id=g:1202915
Gan Sinjuri	id=g:1202916
Gārābāria	id=g:1202917
Ganpāra	id=g:1202918
Gānna	id=g:1202919
Gankar	id=g:1202920
Gānjana	id=g:1202921
Ganitāsram	id=g:1202922
Ganirapi	id=g:1202923
Ganipur	id=g:1202924
Ganipur	id=g:1202925
Ganipur	id=g:1202926
Ganipur	id=g:1202927
Ganiarikāndi	id=g:1202928
Gāniāri	id=g:1202929
Gāngutia	id=g:1202930
Gāngutia	id=g:1202931
Gānguria	id=g:1202932
Gāngulia	id=g:1202933
Gāngsār	id=g:1202934
Gāngria	id=g:1202935
Gāngra	id=g:1202936
Gangābāri	id=g:1202937
Gāngni	id=g:1202938
Gāngni	id=g:1202939
Gangnāi River	id=g:1202940
Gāngni	id=g:1202941
Gāngkulpāra	id=g:1202942
Gāngkul	id=g:1202943
Gāngkol	id=g:1202944
Gāng Kānda	id=g:1202945
Gāng Joār	id=g:1202946
Gāngina	id=g:1202947
Gāngi	id=g:1202948
Gangetic Plain	id=g:1202949
Ganges River	id=g:1202950
Ganges Delta	id=g:1202951
Mouths of the Ganges	id=g:1202952
Gāngerkot	id=g:1202953
Gāngdubi	id=g:1202954
Gāngdi	id=g:1202955
Gāngdhār	id=g:1202956
Gāngdhāir	id=g:1202957
Gāngbathundia	id=g:1202958
Gāngātia	id=g:1202959
Gāngātia	id=g:1202960
Gangāsram	id=g:1202961
Gangāsibpur	id=g:1202962
Gangāsāgar	id=g:1202963
Gangāsāgar	id=g:1202964
Gangārāmpur	id=g:1202965
Gangārāmpur	id=g:1202966
Gangārāmpur	id=g:1202967
Gangārāmpur	id=g:1202968
Gangarampur	id=g:1202969
Gangārāmpur	id=g:1202970
Gangārāmpur	id=g:1202971
Gangārām Chara	id=g:1202972
Gangāpur	id=g:1202973
Gangāpur	id=g:1202974
Gangāpur	id=g:1202975
Ganga Prasād Char	id=g:1202976
Gangāprasād	id=g:1202977
Gangāprasād	id=g:1202978
Gangāpāra	id=g:1202979
Gangapara	id=g:1202980
Gangānāthpur	id=g:1202981
Gangānandapur	id=g:1202982
Gangānandapur	id=g:1202983
Gangānandapur	id=g:1202984
Gonganandanpur	id=g:1202985
Ganganandadia	id=g:1202986
Gangānagar	id=g:1202987
Gangānagar	id=g:1202988
Gāngāir	id=g:1202989
Gāngair	id=g:1202990
Gāngāil	id=g:1202991
Gāngāil	id=g:1202992
Gangail	id=g:1202993
Gangāhari	id=g:1202994
Gangādia	id=g:1202995
Gangādia	id=g:1202996
Gangādharpur	id=g:1202997
Gangādharpatti	id=g:1202998
Gangādharpatti	id=g:1202999
Gangadharpatti	id=g:1203000
Gangādhar Diār	id=g:1203001
Gangādhardi	id=g:1203002
Gangādāspur	id=g:1203003
Gangācharan	id=g:1203004
Gangābardi	id=g:1203005
Char Ganga	id=g:1203006
Ganeshpur	id=g:1203007
Ganespur	id=g:1203008
Ganespur	id=g:1203009
Ganeshpura River	id=g:1203010
Ganeshpura	id=g:1203011
Ganeshpur	id=g:1203012
Ganergaon	id=g:1203013
Ganergaon	id=g:1203014
Gāndulia	id=g:1203015
Gundail	id=g:1203016
Gāndra	id=g:1203017
Gāndigaon	id=g:1203018
Gandiāsur	id=g:1203019
Gandiāil	id=g:1203020
Gāndhina	id=g:1203021
Gāndhi	id=g:1203022
Gāndhāria	id=g:1203023
Gāndhārdia	id=g:1203024
Gandhardia	id=g:1203025
Gāndharbbapur	id=g:1203026
Gandharbbapur	id=g:1203027
Gandharbbapur	id=g:1203028
Gandharbbapur	id=g:1203029
Gandharbbapur	id=g:1203030
Gandharbbapur	id=g:1203031
Gandharbapur	id=g:1203032
Gandharbapur	id=g:1203033
Gandharbapur	id=g:1203034
Gandharbadi	id=g:1203035
Gāndhāil	id=g:1203036
Gandāria	id=g:1203037
Gandāmāra	id=g:1203038
Gandāmāra	id=g:1203039
Gandāmāra	id=g:1203040
Gandakhola	id=g:1203041
Gandagrām	id=g:1203042
Gandagrām	id=g:1203043
Gandagohāli	id=g:1203044
Gandagohāli	id=g:1203045
Gandaghosh	id=g:1203046
Gandabil	id=g:1203047
Gandāber	id=g:1203048
Ganda	id=g:1203049
Ganapur	id=g:1203050
Ganapatya	id=g:1203051
Ganapatipur	id=g:1203052
Ganapati	id=g:1203053
Ganapaddi	id=g:1203054
Ganamān Purura	id=g:1203055
Ganakpāra	id=g:1203056
Ganakpāra	id=g:1203057
Ganakkhuli	id=g:1203058
Ganakbāri	id=g:1203059
Ganāisār	id=g:1203060
Ganair	id=g:1203061
Ganāi	id=g:1203062
Ganadānga	id=g:1203063
Gāmruli	id=g:1203064
Galuha	id=g:1203065
Gālua Durgāpur	id=g:1203066
Galli	id=g:1203067
Gallāi	id=g:1203068
Galla	id=g:1203069
Gālimpur	id=g:1203070
Gālimpur	id=g:1203071
Gālimpur	id=g:1203072
Gālimpur	id=g:1203073
Gālimkhān	id=g:1203074
Galghasia River	id=g:1203075
Galganda	id=g:1203076
Galgalia	id=g:1203077
Gāldaha	id=g:1203078
Galān	id=g:1203079
Gālāmun	id=g:1203080
Gulāikura	id=g:1203081
Galāibhānga	id=g:1203082
Gālāhār	id=g:1203083
Gālāhār	id=g:1203084
Gālāgaon	id=g:1203085
Galachipa River	id=g:1203086
Galachipa Digraj	id=g:1203087
Galāchipa	id=g:1203088
Gāla	id=g:1203089
Gāla	id=g:1203090
Gāla	id=g:1203091
Gajra	id=g:1203092
Gajnipur	id=g:1203093
Gajir Khāmar	id=g:1203094
Gājinda	id=g:1203095
Gajiāpāra	id=g:1203096
Gajgāha	id=g:1203097
Gājeswari	id=g:1203098
