East View Cemetery	id=g:4804766
Elk River Church	id=g:4805006
Elk Run	id=g:4805007
Elk Run	id=g:4805008
Elk Run	id=g:4805009
Elk Run	id=g:4805010
Elk Run Junction	id=g:4805011
Elk Run Reservoir	id=g:4805012
Elk Run Water Supply Dam	id=g:4805013
Elk School (historical)	id=g:4805014
Elk Spring	id=g:4805015
Elk Trace Branch	id=g:4805016
Elk Run	id=g:4805017
Elk Trace Branch	id=g:4805018
Elk Trace Cemetery	id=g:4805019
Elk Twomile Creek	id=g:4805020
Elk Twomile Creek Structure Number 13 Dam	id=g:4805021
Elkhorn Church	id=g:4805022
Elkhorn Creek	id=g:4805023
Elk Twomile Structure Number 12 Dam	id=g:4805024
Elkhorn Lookout Tower	id=g:4805025
Elkhorn Mountain	id=g:4805026
Elkhorn Rock	id=g:4805027
Elkhorn Run	id=g:4805028
Elkhorn Run	id=g:4805029
Elkhorn Lake Dam	id=g:4805030
Elkhorn Run	id=g:4805031
Elkhorn School (historical)	id=g:4805032
Elkins	id=g:4805033
Elkins Branch	id=g:4805034
Elkhurst	id=g:4805035
Elkins Branch	id=g:4805036
Elkins Branch	id=g:4805037
Elkins Cemetery	id=g:4805038
Elkins Cemetery	id=g:4805039
Elkins Cemetery	id=g:4805040
Elkins City Hall	id=g:4805041
Elkins City Park	id=g:4805042
Elkins Coal and Coke Company Historic District	id=g:4805043
Elkins Gap	id=g:4805044
Elkins High School	id=g:4805045
Elkins Industrial Park	id=g:4805046
Elkins Junction	id=g:4805047
Elkins Middle School	id=g:4805048
Elkins Post Office	id=g:4805049
Elkins Speedway	id=g:4805050
Elkins-Randolph County Public Library	id=g:4805051
Elklick Branch	id=g:4805052
Elkins Cemetery	id=g:4805053
Elklick Branch	id=g:4805054
Elklick Creek	id=g:4805055
Elklick Run	id=g:4805056
Elklick Run	id=g:4805057
Elklick Run	id=g:4805058
Elklick Run	id=g:4805059
Elklick Run	id=g:4805060
Elklick Run	id=g:4805061
Elklick Run	id=g:4805062
Elklick Run	id=g:4805063
Elklick Run	id=g:4805064
Elklick Run	id=g:4805065
Elklick Run Spring	id=g:4805066
Elkridge	id=g:4805067
Elks Run	id=g:4805068
Elklick School (historical)	id=g:4805069
Elkview Baptist Church	id=g:4805070
Elkview Middle School	id=g:4805071
Elkview Post Office	id=g:4805072
Elkview Schoolhouse (historical)	id=g:4805073
Elkwater	id=g:4805074
Elkwater Church	id=g:4805075
Elkwater Fork	id=g:4805076
Elkview	id=g:4805077
Ellamore School Spring	id=g:4805078
Elleber Knob	id=g:4805079
Elleber Ridge	id=g:4805080
Elleber Run	id=g:4805081
Ellamore	id=g:4805082
Ellenboro Cemetery	id=g:4805083
Ellenboro Elementary School	id=g:4805084
Ellenboro Post Office	id=g:4805085
Eller Hollow	id=g:4805086
Ellenboro	id=g:4805087
Elliber Run	id=g:4805088
Elliber Spring	id=g:4805089
Elliotsville	id=g:4805090
Elliott Ridge	id=g:4805091
Elliott Run	id=g:4805092
Elliot (historical)	id=g:4805093
Elliotts Run	id=g:4805094
Ellis	id=g:4805095
Ellis Branch	id=g:4805096
Elliott School (historical)	id=g:4805097
Ellis Branch	id=g:4805098
Ellis Camp Branch	id=g:4805099
Ellis Cemetery	id=g:4805100
Ellis Cemetery	id=g:4805101
Ellis Creek	id=g:4805102
Ellis Cemetery	id=g:4805103
Ellis Creek	id=g:4805104
Ellis Fork	id=g:4805105
Ellis Fork	id=g:4805106
Ellis Fork	id=g:4805107
Ellis Grove Church	id=g:4805108
Ellis Hollow	id=g:4805109
Ellis Fork Church (historical)	id=g:4805110
Ellis Run	id=g:4805111
Ellis Knob	id=g:4805112
Ellison	id=g:4805113
Ellison Branch	id=g:4805114
Ellis Run School (historical)	id=g:4805115
Ellison Cemetery	id=g:4805116
Ellison Church	id=g:4805117
Ellison Hollow	id=g:4805118
Ellison Cemetery	id=g:4805119
Ellison Ridge	id=g:4805120
Ellison Ridge	id=g:4805121
Ellison Ridge	id=g:4805122
Ellison Run	id=g:4805123
Ellison Ridge	id=g:4805124
Ellsworth Middle School (historical)	id=g:4805125
Elm Creek	id=g:4805126
Ellison School (historical)	id=g:4805127
Elm Grove	id=g:4805128
Elm Grove School (historical)	id=g:4805129
Elm Run	id=g:4805130
Elm Run School (historical)	id=g:4805131
Elm Run School (historical)	id=g:4805132
Elmer Grimm Lake Dam	id=g:4805133
Elmer Smith	id=g:4805134
Elmer Smith	id=g:4805135
Elmhurst	id=g:4805136
Elmhurst	id=g:4805137
Elmira	id=g:4805138
Elmlick Run	id=g:4805139
Elm Fall School (historical)	id=g:4805140
Elmore Cemetery	id=g:4805141
Elmore Mine Impoundment	id=g:4805142
Elmore School (historical)	id=g:4805143
Elmwood	id=g:4805144
Elmwood	id=g:4805145
Elmwood Cemetery	id=g:4805146
Elmwood Cemetery	id=g:4805147
Elmwood Church	id=g:4805148
Elmwood Farm Spring	id=g:4805149
Elmwood Heights	id=g:4805150
Elroy Kaylor Spring	id=g:4805151
Elroy Kaylor Spring	id=g:4805152
Elsey Run	id=g:4805153
Elsie Hollow	id=g:4805154
Elton	id=g:4805155
Elton Post Office	id=g:4805156
Elverton	id=g:4805157
Ely Fork	id=g:4805158
Ely Hollow	id=g:4805159
Elmore	id=g:4805160
Elza Run	id=g:4805161
Elza Trail	id=g:4805162
Emanuel Church	id=g:4805163
Emanuel Hill	id=g:4805164
Emboden School (historical)	id=g:4805165
Emerson	id=g:4805166
Emerson Plaza Shopping Center	id=g:4805167
Emerson Elementary School	id=g:4805168
Emma	id=g:4805169
Emmanuel Baptist Church	id=g:4805170
Emmanuel Baptist Church	id=g:4805171
Emmanuel Baptist Church	id=g:4805172
Emmanuel Baptist Church	id=g:4805173
Emmanuel Baptist Church	id=g:4805174
Emmanuel Church	id=g:4805175
Emmanuel Episcopal Church	id=g:4805176
Emmanuel Methodist Church	id=g:4805177
Emmanuel Tabernacle	id=g:4805178
Emmart	id=g:4805179
Emmett	id=g:4805180
Emmett Post Office	id=g:4805181
Emmons	id=g:4805182
Emmons School (historical)	id=g:4805183
Emory Creek	id=g:4805184
Ely School (historical)	id=g:4805185
Empire School (historical)	id=g:4805186
Endicott	id=g:4805187
Endwell Church	id=g:4805188
Engel Cemetery	id=g:4805189
Engel School (historical)	id=g:4805190
Engels Cemetery	id=g:4805191
Engine Run	id=g:4805192
Emoryville	id=g:4805193
Englands Run	id=g:4805194
England Run	id=g:4805195
Engle Run	id=g:4805196
Engle	id=g:4805197
Engle Spring	id=g:4805198
Englewood Estates	id=g:4805199
English	id=g:4805200
English Post Office	id=g:4805201
Enlow Fork	id=g:4805202
Ennis	id=g:4805203
Enoch	id=g:4805204
Enoch Baptist Church	id=g:4805205
Enoch Branch	id=g:4805206
Engle Run School (historical)	id=g:4805207
Enoch Branch	id=g:4805208
Enoch Fork	id=g:4805209
Enoch Run	id=g:4805210
Enom Cemetery	id=g:4805211
Enon	id=g:4805212
Enon Cemetery	id=g:4805213
Enon Cemetery	id=g:4805214
Enon Church	id=g:4805215
Enon Baptist Church	id=g:4805216
Enon Church	id=g:4805217
Enon School (historical)	id=g:4805218
Enox Spring	id=g:4805219
Ensell Mercer Spring	id=g:4805220
Ensell Mercer Spring	id=g:4805221
Ensign School (historical)	id=g:4805222
Enslow Park Place	id=g:4805223
Enslow Park Presbyterian Church	id=g:4805224
Enslow Middle School	id=g:4805225
Enterprise	id=g:4805226
Enterprise	id=g:4805227
Enterprise Cemetery	id=g:4805228
Enterprise Post Office	id=g:4805229
Enterprise School (historical)	id=g:4805230
Entry	id=g:4805231
Entry Mountain	id=g:4805232
Enviro Energy Mine	id=g:4805233
Ephesus Church	id=g:4805234
Ephraim Creek	id=g:4805235
Enom Church	id=g:4805236
Episcopal Church of the Incarnation	id=g:4805237
Epling Cemetery	id=g:4805238
Epling Chapel	id=g:4805239
Ephram (historical)	id=g:4805241
Epling Run	id=g:4805242
Epperly	id=g:4805243
Epworth United Methodist Church	id=g:4805244
Erbacon	id=g:4805245
Erbacon Post Office	id=g:4805246
Erickson Alumni Center	id=g:4805247
Erie	id=g:4805248
Erin	id=g:4805249
Ernest Carr Spring	id=g:4805250
Ernest Tucker Spring	id=g:4805251
Erskine (historical)	id=g:4805252
Ervan Coiner Junior Spring	id=g:4805253
Ervin May Spring	id=g:4805254
Erwin	id=g:4805255
Erwin Methodist Church	id=g:4805256
Eskdale	id=g:4805257
Eslar Chapel	id=g:4805258
Esler School (historical)	id=g:4805259
Esta Church	id=g:4805260
Estar	id=g:4805261
Estep	id=g:4805262
Estep Cemetery	id=g:4805263
Estep Cemetery	id=g:4805264
Estep Cemetery	id=g:4805265
Estep Cemetery	id=g:4805266
Estep Cemetery	id=g:4805267
Estep Cemetery	id=g:4805268
Estep Ridge	id=g:4805269
Estep School (historical)	id=g:4805270
Estep School (historical)	id=g:4805271
Estuary School (historical)	id=g:4805272
Esty	id=g:4805273
Etam	id=g:4805274
Etam United Methodist Church	id=g:4805275
Ethel	id=g:4805276
Ethel Hollow	id=g:4805277
Epworth United Methodist Church	id=g:4805278
Eubulus Church	id=g:4805279
Euclid	id=g:4805280
Eugene Fitzwater Spring	id=g:4805281
Eunice	id=g:4805282
Eunice Cemetery	id=g:4805283
Eureka	id=g:4805284
Eureka Church	id=g:4805285
Eureka Church	id=g:4805286
Eureka Island	id=g:4805287
Eureka School (historical)	id=g:4805288
Eureka School (historical)	id=g:4805289
Eureka School (historical)	id=g:4805290
Eusebia Church	id=g:4805291
Eusiva Cemetery	id=g:4805292
Eva	id=g:4805293
Evandale Terrace	id=g:4805294
Evangel Baptist Church	id=g:4805295
Evangelical Methodist Tabernacle	id=g:4805296
Evans	id=g:4805297
Evans Cemetery	id=g:4805298
Evans Cemetery	id=g:4805299
Evans Cemetery	id=g:4805300
Evans Cemetery	id=g:4805301
Evans Cemetery	id=g:4805302
Evans Cemetery	id=g:4805303
Evans Cemetery	id=g:4805304
Evans Chapel United Methodist Church	id=g:4805305
Evans Creek	id=g:4805306
Etowah	id=g:4805307
Evans Ferry (historical)	id=g:4805308
Evans Fork	id=g:4805309
Evans Elementary School	id=g:4805310
Evans Mill (historical)	id=g:4805311
Evans Post Office	id=g:4805312
Evans Run	id=g:4805313
Evans Hill	id=g:4805314
Evans Run	id=g:4805315
Evansdale	id=g:4805316
Evansville	id=g:4805317
Evansville United Methodist Church	id=g:4805318
Evelyn (historical)	id=g:4805319
Eventide Cemetery	id=g:4805320
Evenwood	id=g:4805321
Everett	id=g:4805322
Everett Fruit Farm Spring	id=g:4805323
Everett Keefer Spring	id=g:4805324
Everettville	id=g:4805325
Everettville Refuse Embankment Dam	id=g:4805326
Evergreen	id=g:4805327
Evergreen Cemetery	id=g:4805328
Evergreen Cemetery	id=g:4805329
Evergreen Cemetery	id=g:4805330
Evergreen Church	id=g:4805331
Evergreen Church	id=g:4805332
Evergreen Church	id=g:4805333
Evergreen Church	id=g:4805334
Evergreen Church (historical)	id=g:4805335
Evergreen Hills	id=g:4805336
Evergreen School (historical)	id=g:4805337
Everley Cemetery	id=g:4805338
Everly Cemetery	id=g:4805339
Everson	id=g:4805340
Everson Baptist Church	id=g:4805341
Evic Hollow	id=g:4805342
Evansdale Elementary School (historical)	id=g:4805343
Evick Hollow	id=g:4805344
Evick Knob	id=g:4805345
Evitts Run	id=g:4805346
Ewin Run	id=g:4805347
Ewin Run Spring	id=g:4805348
Ewing School (historical)	id=g:4805349
Ewings Branch	id=g:4805350
Ewing Fork	id=g:4805351
Excelsior	id=g:4805352
Excelsior	id=g:4805353
Excelsior School (historical)	id=g:4805354
Excelsior School (historical)	id=g:4805355
Excelsior School (historical)	id=g:4805356
Excelsior School (historical)	id=g:4805357
Excelsior School (historical)	id=g:4805358
Excelsior School (historical)	id=g:4805359
Excelsior School Spring	id=g:4805360
Exchange	id=g:4805361
Exhibition Mine	id=g:4805362
Exit 12	id=g:4805363
Exit 13	id=g:4805364
Exit 16	id=g:4805365
Exit 20	id=g:4805366
Exit 23	id=g:4805367
Export (historical)	id=g:4805368
Extra	id=g:4805369
Eye Hill	id=g:4805370
Eye and Ear Clinic of Charleston	id=g:4805371
Ezekiel Branch	id=g:4805372
Excelsior	id=g:4805373
Ezra Bennett Spring	id=g:4805374
Ezra Run	id=g:4805375
Faber Hollow	id=g:4805376
Ezekiel Branch	id=g:4805377
Faber Hollow	id=g:4805378
Fabius (historical)	id=g:4805379
Fair Haven Church	id=g:4805380
Fair Hope School (historical)	id=g:4805381
Fair Oaks Trailer Park	id=g:4805382
Fair View Cemetery	id=g:4805383
Fairbanks	id=g:4805384
Fairdale	id=g:4805385
Fairdale Elementary School	id=g:4805386
Fairdale Post Office	id=g:4805387
Fairfax	id=g:4805388
Fairfax Ferry (historical)	id=g:4805389
Fairfax Grant Farm Springs	id=g:4805390
Fairfax Hollow	id=g:4805391
Fahren Spring	id=g:4805392
Fairfax Pond	id=g:4805393
Fairfax Pond Dam	id=g:4805394
Fairfax Stone	id=g:4805395
Fairfax Stone Historical Monument	id=g:4805396
Fairfax Stone State Park	id=g:4805397
Fairfield Church	id=g:4805398
Fairfield Plaza Shopping Center	id=g:4805399
Fairfield School (historical)	id=g:4805400
Fairfield Stadium (historical)	id=g:4805401
Fairlawn Baptist Church	id=g:4805402
Fairlea	id=g:4805403
Fairmont	id=g:4805404
Fairmont Business College	id=g:4805405
Fairmont Cemetery	id=g:4805406
Fairmont Church	id=g:4805407
Fairmont City Cemetery	id=g:4805408
Fairmont Clinic	id=g:4805409
Fairmont East-West Stadium	id=g:4805410
Fairmont Field Club	id=g:4805411
Fairmont Filtration Plant	id=g:4805412
Fairmont Free Methodist Church	id=g:4805413
Fairmont General Hospital	id=g:4805414
Fairmont High School	id=g:4805415
Fairmont Junction (historical)	id=g:4805416
Fairmont Municipal Airport	id=g:4805417
Fairmont Post Office	id=g:4805418
Fairmont Run	id=g:4805419
Fairfax District	id=g:4805420
Fairmont School (historical)	id=g:4805421
Fairmont State University	id=g:4805422
Fairmor	id=g:4805423
Fairplain	id=g:4805424
Fairplain Elementary School	id=g:4805425
Fairplains Elementary School	id=g:4805426
Fairview	id=g:4805427
Fairview	id=g:4805428
Fairview	id=g:4805429
Fairview	id=g:4805430
Fairview	id=g:4805431
Fairview	id=g:4805432
Fairview	id=g:4805433
Fairview	id=g:4805434
Fairview (historical)	id=g:4805435
Fairview Acres	id=g:4805436
Fairview Baptist Church	id=g:4805437
Fairview Bethel Cemetery	id=g:4805438
Fairview Bethel Church	id=g:4805439
Fairview Cemetery	id=g:4805440
Fairview Cemetery	id=g:4805441
Fairview Cemetery	id=g:4805442
Fairview Cemetery	id=g:4805443
Fairview Cemetery	id=g:4805444
Fairview Cemetery	id=g:4805445
Fairview Cemetery	id=g:4805446
Fairview Cemetery	id=g:4805447
Fairview Cemetery	id=g:4805448
Fairview Cemetery	id=g:4805449
Fairview Cemetery	id=g:4805450
Fairview Cemetery	id=g:4805451
Fairview Cemetery	id=g:4805452
Fairview Cemetery	id=g:4805453
Fairview Cemetery	id=g:4805454
Fairview Cemetery	id=g:4805455
Fairview Cemetery	id=g:4805456
Fairview Christian Church	id=g:4805457
Fairview Church	id=g:4805459
Fairview Church	id=g:4805460
Fairview Church	id=g:4805461
Fairview Church	id=g:4805462
Fairview Church	id=g:4805463
Fairview Church	id=g:4805464
Fairview Church	id=g:4805465
Fairview Baptist Church	id=g:4805466
Fairview Church	id=g:4805467
Fairview Church	id=g:4805468
Fairview Church	id=g:4805469
Fairview Church	id=g:4805470
Fairview Church	id=g:4805471
Fairview United Methodist Church	id=g:4805472
Fairview Church	id=g:4805473
Fairview United Methodist Church	id=g:4805474
Fairview United Methodist Church	id=g:4805475
Fairview Church	id=g:4805476
Fairview United Methodist Church	id=g:4805477
Fairview Church	id=g:4805478
Fairview Church	id=g:4805479
Fairview Church	id=g:4805480
Fairview Church	id=g:4805481
Fairview Church	id=g:4805482
Fairview Church	id=g:4805483
Fairview Church	id=g:4805484
Fairview Church	id=g:4805485
Fairview Church	id=g:4805486
Fairview Church	id=g:4805487
Fairview Church	id=g:4805488
Fairview Church	id=g:4805489
Fairview Church	id=g:4805490
Fairview Church	id=g:4805491
Fairview Church	id=g:4805492
Fairview Church (historical)	id=g:4805493
Fairview Church (historical)	id=g:4805494
Fairview Elementary School	id=g:4805495
Fairview Heights	id=g:4805496
Fairview Methodist Episcopal Church Cemetery	id=g:4805497
Fairview Mountain	id=g:4805498
Fairview Ridge	id=g:4805499
Fairview Elementary School (historical)	id=g:4805500
Fairview School (historical)	id=g:4805501
Fairview School (historical)	id=g:4805502
Fairview School (historical)	id=g:4805503
Fairview School (historical)	id=g:4805504
Fairview School (historical)	id=g:4805505
Fairview School (historical)	id=g:4805506
Fairview School (historical)	id=g:4805507
Fairview School (historical)	id=g:4805508
Fairview School (historical)	id=g:4805509
Fairview School (historical)	id=g:4805510
Fairview School (historical)	id=g:4805511
Fairview School (historical)	id=g:4805512
Fairview School (historical)	id=g:4805513
Fairview School (historical)	id=g:4805514
Fairview School (historical)	id=g:4805515
Fairview School (historical)	id=g:4805516
Fairview School (historical)	id=g:4805517
Fairview School (historical)	id=g:4805518
Fairview School (historical)	id=g:4805519
Fairview School (historical)	id=g:4805520
Fairview School (historical)	id=g:4805521
Fairview School (historical)	id=g:4805522
Fairview School (historical)	id=g:4805523
Fairview School (historical)	id=g:4805524
Fairview School (historical)	id=g:4805525
Fairview School (historical)	id=g:4805526
Fairview School (historical)	id=g:4805527
Fairview School (historical)	id=g:4805528
Fairview School (historical)	id=g:4805529
Fairview School (historical)	id=g:4805530
Fairview School (historical)	id=g:4805531
Fairview School (historical)	id=g:4805532
Fairview School (historical)	id=g:4805533
Fairview School (historical)	id=g:4805534
Fairview School (historical)	id=g:4805535
Fairview School (historical)	id=g:4805536
Fairview Schoolhouse (historical)	id=g:4805537
Fairview United Methodist Church	id=g:4805538
Fairway Acres	id=g:4805539
Fairway Gardens	id=g:4805540
Fairwind School (historical)	id=g:4805541
Faith Bible Church	id=g:4805542
Faith Bible Church	id=g:4805543
Faith Church	id=g:4805544
Faith Independent Baptist Church	id=g:4805545
Faith Tabernacle	id=g:4805546
Faith Tabernacle	id=g:4805547
Faith Tabernacle Church	id=g:4805548
Fall Branch	id=g:4805549
Fairmont School (historical)	id=g:4805550
Fall River Elementary School	id=g:4805551
Fall Run	id=g:4805552
Fall Run	id=g:4805553
Fall Run	id=g:4805554
Fall Hills	id=g:4805555
Fall Run	id=g:4805556
Fall Run	id=g:4805557
Fall Run	id=g:4805558
Fall Run	id=g:4805559
Fall Run	id=g:4805560
Fall Run	id=g:4805561
Fall Run	id=g:4805562
Fall Run Cemetery	id=g:4805563
Fall Run Church (historical)	id=g:4805564
Fall Run School (historical)	id=g:4805565
Fall Run-Wild Cat Hollow School (historical)	id=g:4805566
Fallbrook School (historical)	id=g:4805567
Fallbush Mountain	id=g:4805568
Fallen Fork	id=g:4805569
Fallen Timber	id=g:4805570
Fallen Timber Ridge	id=g:4805571
Fallen Timber Run	id=g:4805572
Fall Run	id=g:4805573
Fallen Timber Run	id=g:4805574
Fallen Timber Run	id=g:4805575
Fallen Timber Run	id=g:4805576
Fallen Timber Run	id=g:4805577
Fallentimber Branch	id=g:4805578
Fallentimber Run	id=g:4805579
Falling Rock	id=g:4805580
Falling Rock Creek	id=g:4805581
Falling Rock Fork	id=g:4805582
Falling Rock Post Office	id=g:4805583
Falling Run	id=g:4805584
Falling Rock School (historical)	id=g:4805585
