Verkhneye	id=g:475436
Severnaya	id=g:475499
Verkhne-Sermenevo	id=g:475500
Verkhneye Sazovo	id=g:475501
Verkhnesanzyapovo	id=g:475502
Verkhne-Salomakovskiy	id=g:475503
Verkhne-Saitovo	id=g:475504
Verkhnerusskiy	id=g:475505
Verkhnerubezhnyy	id=g:475506
Verkhneye Rozhdestvo	id=g:475507
Verkhne-Romashkovo	id=g:475508
Verkhnerepnyy	id=g:475509
Verkhnerechenskiy	id=g:475510
Verkhne-Prudovskiy Pochinok	id=g:475511
Verkhneprovorotskiy Kolodez'	id=g:475512
Verkhnepozim'	id=g:475513
Verkhne-Ponizov’ye	id=g:475514
Verkhnepogromnoye	id=g:475515
Verkhnepodpol’nyy	id=g:475516
Verkhneploskoye	id=g:475517
Urochishche Verkhneye Ploskoye	id=g:475518
Verkhniy Pikhovkin	id=g:475519
Verkhne-Petrovskiy	id=g:475520
Verkhne-Pesochnoye	id=g:475521
Peschanka	id=g:475522
Verkhnepecherskoye	id=g:475523
Verkhnepavlushkino	id=g:475524
Verkhneozërnoye	id=g:475525
Verkhne-Ozërnaya	id=g:475526
Verkhne-Ol’khovatoye	id=g:475527
Verkhneoblivskiy	id=g:475528
Verkhne-Novokutlumbetovo	id=g:475529
Verkhneye Nikul’skoye	id=g:475530
Verkhnenikol’skoye	id=g:475531
Verkhnenikol’skoye	id=g:475532
Verkhne-Nikol’skiy	id=g:475533
Verkhne-Nerusskiy	id=g:475534
Verkhnenazarovskoye	id=g:475535
Verkhne-Mutalovo	id=g:475536
Sovkhoz Verkhnemullinskiy	id=g:475537
Morozovskiy	id=g:475538
Verkhne-Matveyevskiy	id=g:475539
Verkhnemancharovo	id=g:475540
Verkhnemamonskiy Rayon	id=g:475541
Verkhnemal’skiy Pochinok	id=g:475542
Verkhneye Mal’tsevo	id=g:475543
Verkhnemal’ye	id=g:475544
Verkhne-Luchinskiy	id=g:475545
Kazanskaya-Lopatina	id=g:475546
Verkhne-Lesnoy	id=g:475547
Verkhnelemezy	id=g:475548
Verkhnelebyazh’ye	id=g:475549
Verkhnelandekhovskiy Rayon	id=g:475550
Verkhnelal’ye	id=g:475551
Verkhnelachentau	id=g:475552
Verkhnekuzhnyy	id=g:475553
Verkhne-Kurmazy	id=g:475554
Verkhneye Kurino	id=g:475555
Verkhnekundryuchenskaya	id=g:475556
Verkhnekumskiy	id=g:475557
Verkhne-Kul’chum	id=g:475558
Verkhne-Kuberskoy	id=g:475559
Verkhne-Kshenëvo	id=g:475560
Verkhne-Krivskoy	id=g:475561
Verkhne-Krasnoye	id=g:475562
Verkhnekrasnoarmeyskoye	id=g:475563
Verkhne-Koyva	id=g:475564
Verkhne-Korotkoye	id=g:475565
Verkhnekonskaya	id=g:475566
Verkhne-Kol’tsov	id=g:475567
Verkhnekolonskiy	id=g:475568
Verkhnekokshengskiy Pogost	id=g:475569
Urochishche Verkhneklinovoy	id=g:475570
Verkhnekizil’skoye	id=g:475571
Verkhnekhavskiy Rayon	id=g:475572
Verkhnekaryshevo	id=g:475573
Verkhne-Karmaly	id=g:475574
Verkhne-Karmaly	id=g:475575
Verkhnekargaly	id=g:475576
Verkhnekardail’skiy	id=g:475577
Verkhne-Kamyshinka	id=g:475578
Verkhnekamskiy Rayon	id=g:475579
Verkhnekamskaya Vozvyshennost’	id=g:475580
Stantsiya Verkhnekamskaya	id=g:475581
Verkhnekalinov	id=g:475582
Verkhnekalinovskiy	id=g:475583
Kadamovka	id=g:475584
Verkhneizhemskiy	id=g:475585
Verkhne-Ivanovskiy	id=g:475586
Verkhneivanayevo	id=g:475587
Verkhneitkulovo	id=g:475588
Verkhne-Ismakayevo	id=g:475589
Verkhniy Iremel’	id=g:475590
Verkhneimeretinskaya Bukhta	id=g:475591
Verkhniy Iletsk	id=g:475592
Verkhne-Gvozdikov	id=g:475593
Verkhnegryaznovskiy	id=g:475594
Grivennyy	id=g:475595
Verkhnegrishenka	id=g:475596
Verkhnegrekovo	id=g:475597
Verkhniye Grachiki	id=g:475598
Verkhnegoveynyy	id=g:475599
Ozero Verkhnegorskoye	id=g:475600
Ozero Verkhne-Goloye	id=g:475601
Verkhnegnutov	id=g:475602
Verkhne-Gnilovskiy	id=g:475603
Verkhne-Glebovskiy	id=g:475604
Verkhne-Gaykovo	id=g:475605
Verkhne-Garnikovskiy	id=g:475606
Verkhnegaleyevo	id=g:475607
Verkhne-Fomikhinskiy	id=g:475608
Dudarëvskiy	id=g:475609
Verkhne-Dubovoy	id=g:475610
Verkhnedrezgalovo	id=g:475611
Verkhnedonskoy Rayon	id=g:475612
Verkhne-Donskoy	id=g:475613
Verkhnedneprovskiy	id=g:475614
Dneprovka	id=g:475615
Verkhneye Devlizerovo	id=g:475616
Verkhne-Derevyannoye	id=g:475617
Verkhne-Defanovka	id=g:475618
Verkhnechusovskiye Gorodki	id=g:475619
Verkhnechufichevo	id=g:475620
Verkhnechirskiy	id=g:475621
Verkhnechirskiy	id=g:475622
Chernovskiy	id=g:475623
Verkhnyaya Chërnaya	id=g:475624
Stantsiya Verkhne-Cherkasovo	id=g:475625
Verkhnecherenskiy	id=g:475626
Verkhnecherekulevo	id=g:475627
Verkhne-Cheben’ki	id=g:475628
Verkhne-Bykovskiy	id=g:475629
Verkhnebuzulukskiy	id=g:475630
Verkhne-Buyanov	id=g:475631
Verkh-Borovaya	id=g:475632
Bor	id=g:475633
Verkhne-Bisertskiy Ut	id=g:475634
Verkhnebikkuzino	id=g:475635
Verkhnebezymyanskiy	id=g:475636
Verkhneberëzovo	id=g:475637
Verkhne-Bereznitskoye	id=g:475638
Verkhne-Berestovskiy	id=g:475639
Verkhne-Bel’skoye	id=g:475640
Verkhne-Baskaya	id=g:475641
Verkhnebakanskiy	id=g:475642
Verkhneaysk	id=g:475643
Verkhne-Avryuzovo	id=g:475644
Verkhne-Avilovskiy	id=g:475645
Verkhne-Atamanskoye	id=g:475646
Verkhneastakhov	id=g:475647
Verkhnearshinskiy	id=g:475648
Verkhnearmetovo	id=g:475649
Verkhne-Antoshinskiy	id=g:475650
Verkhne-Antonovskiy	id=g:475651
Antipovskiy	id=g:475652
Verkhneye Anisimovo	id=g:475653
Anikin	id=g:475654
Verkhmarevo	id=g:475655
Verkh-Lys'va	id=g:475656
Verkhlichi	id=g:475657
Verkhi	id=g:475658
Verkhi	id=g:475659
Verkhazovka	id=g:475660
Verkhanovo	id=g:475661
Verkh	id=g:475662
Verkas’ye	id=g:475663
Verkasenka	id=g:475664
Verino	id=g:475665
Verilovka	id=g:475666
Verigovshchina	id=g:475667
Verigovka	id=g:475668
Verigino	id=g:475671
Verigino	id=g:475672
Verigino	id=g:475673
Verigino	id=g:475674
Verigino	id=g:475675
Verigino	id=g:475676
Verigino	id=g:475677
Verigino	id=g:475678
Verigino	id=g:475679
Verigino	id=g:475680
Vergot’	id=g:475681
Vergizay	id=g:475682
Vergishi	id=g:475683
Vergezha	id=g:475684
Vergelëvka	id=g:475685
Vergaza	id=g:475686
Verga-Musyur	id=g:475687
Verezubovo	id=g:475688
Verizino	id=g:475689
Verezino	id=g:475690
Verezhuni	id=g:475691
Verentinovo	id=g:475692
Vereyskiy	id=g:475693
Vereykino	id=g:475694
Vereyka	id=g:475695
Vereya Morozovskaya	id=g:475696
Vereya Kazënnaya	id=g:475697
Vereya	id=g:475698
Vereya	id=g:475699
Vereya	id=g:475700
Vereya	id=g:475701
Vereya	id=g:475702
Stantsiya Verevo	id=g:475703
Verëvkino	id=g:475704
Verëvkin	id=g:475705
Verevkin	id=g:475706
Verëvkin	id=g:475707
Verevka	id=g:475708
Verëvka	id=g:475709
Veret’yë Vtoroye	id=g:475710
Boloto Veret’yëvskiye Mkhi	id=g:475711
Ruchey Veret’yëvskiy	id=g:475712
Veret’yë Tret’ye	id=g:475713
Veret’yë Pervoye	id=g:475714
Veret’yë	id=g:475715
Veret’yë	id=g:475716
Veret’yë	id=g:475717
Veret’yë	id=g:475718
Veret’yë	id=g:475719
Veret’yë	id=g:475720
Veret’yë	id=g:475721
Veret’yë	id=g:475722
Veret’yë	id=g:475723
Veret’yë	id=g:475724
Veret’yë	id=g:475725
Veret’yë	id=g:475726
Veret’ye	id=g:475727
Veret’yë	id=g:475728
Veret’yë	id=g:475729
Veret’ye	id=g:475730
Veret’yë	id=g:475731
Veret’yë	id=g:475732
Veret’yë	id=g:475733
Veret’yë	id=g:475734
Veret’ye	id=g:475735
Veret’yë	id=g:475736
Veret’yë	id=g:475737
Veret’ya	id=g:475738
Veret’ya	id=g:475739
Ozero Veretskoye	id=g:475740
Boloto Veretiyskiy Mokh	id=g:475741
Boloto Veretinskiy Mokh	id=g:475742
Vereteyka	id=g:475743
Vereteya	id=g:475744
Veretennikovo	id=g:475745
Veretennikovo	id=g:475746
Veretenino	id=g:475747
Veretenino	id=g:475748
Vereteni	id=g:475749
Veresy Pervyye	id=g:475750
Veresyanka	id=g:475751
Veresy	id=g:475752
Gora Verestundra	id=g:475753
Ozero Verestovo	id=g:475754
Urochishche Verest	id=g:475755
Veresovo	id=g:475756
Veresovka	id=g:475757
Ostrov Veresovaya Luda	id=g:475758
Veresnikovshchina	id=g:475759
Vereskunovo	id=g:475760
Vereskovo	id=g:475761
Vereski	id=g:475762
Veresimovka	id=g:475763
Vereshchovskiy	id=g:475764
Bol’shiye Vereshkovichi	id=g:475765
Vereshim	id=g:475766
Vereshchino	id=g:475767
Ostanovochnyy Punkt Vereshchëvka	id=g:475768
Vereshchovka	id=g:475769
Vereshchalki	id=g:475770
Vereshchaki	id=g:475771
Vereshchaginskiy Rayon	id=g:475772
Sovkhoz Vereshchaginskiy	id=g:475773
Vereshchaginskaya	id=g:475774
Vereshchagino	id=g:475775
Vereshchagino	id=g:475776
Vereshchagino	id=g:475777
Vereshchagino	id=g:475778
Vereshchagino	id=g:475779
Vereshchagino	id=g:475780
Vereshchagino	id=g:475781
Vereshchagino	id=g:475782
Vereshchakino	id=g:475783
Vereshcha	id=g:475784
Verep’ye	id=g:475785
Verepkova	id=g:475786
Vere-Ozero	id=g:475787
Verenda	id=g:475788
Vereksa	id=g:475789
Verekhnovo	id=g:475790
Verekhnitsa	id=g:475791
Stantsiya Vereinskiy	id=g:475792
Vereyno	id=g:475793
Veregzha	id=g:475794
Veregonets	id=g:475795
Veredishino	id=g:475796
Veredilovo	id=g:475797
Vereb’yë	id=g:475798
Verëbushka	id=g:475799
Verëbushka	id=g:475800
Verebsk	id=g:475801
Verebeyka	id=g:475802
Verduga	id=g:475803
Verduga	id=g:475804
Verditsa	id=g:475805
Verdino	id=g:475806
Stantsiya Verdeyevka	id=g:475807
Verdevo	id=g:475808
Verderevshchino	id=g:475809
Verderevo	id=g:475810
Stantsiya Verda	id=g:475811
Verda	id=g:475812
Vërda	id=g:475813
Verby	id=g:475814
Verbovyy Syrt	id=g:475815
Verbovyy Log	id=g:475816
Verbovyy	id=g:475817
Verbovyy	id=g:475818
Verbovskiy	id=g:475819
Verbovskiy	id=g:475820
Verbovskiy	id=g:475821
Verbovka	id=g:475822
Mys Verbokol’skiy	id=g:475823
Verbochnyy	id=g:475824
Verbochki	id=g:475825
Verbnyy	id=g:475826
Verbnoye	id=g:475827
Verbnik	id=g:475828
Stantsiya Verblyuzh’ya	id=g:475829
Gora Verblyuzh’ya	id=g:475830
Verblyuzhiy	id=g:475831
Verblyud Gora	id=g:475832
Stantsiya Verblyud	id=g:475833
Gora Verblyud	id=g:475834
Verbizhi	id=g:475835
Verbinskiy	id=g:475836
Verbino	id=g:475837
Verbilovo	id=g:475838
Verbilovo	id=g:475839
Verbilovo	id=g:475840
Verbilovo	id=g:475841
Verbilovo	id=g:475842
Verbilovka	id=g:475843
Stantsiya Verbilki	id=g:475844
Verbilki	id=g:475845
Verbezhichi	id=g:475846
Verba	id=g:475847
Vera-Shor	id=g:475848
Veranda	id=g:475849
Vepsovskaya Vozvyshennost’	id=g:475850
Vepsa	id=g:475851
Vepry	id=g:475852
Veprinka	id=g:475853
Veprinets	id=g:475854
Veprin	id=g:475855
Vepri	id=g:475856
Vepri	id=g:475857
Vepri	id=g:475858
Vepri	id=g:475859
Mys Veprevskiy	id=g:475860
Veprevo	id=g:475861
Vepr’	id=g:475862
Vepr’	id=g:475863
Venyukovskiy	id=g:475864
Venyukovo	id=g:475865
Ozero Ven-Yarvi	id=g:475866
Ventsy	id=g:475867
Ventsy	id=g:475868
Venshino	id=g:475869
Venozero	id=g:475870
Verkhniye Venki	id=g:475871
Venitsy	id=g:475872
Venikhozero	id=g:475873
Vengilevka	id=g:475874
Ven’gi Gora	id=g:475875
Vengi	id=g:475876
Vengerovka	id=g:475877
Venevskiy Rayon	id=g:475878
Venëv Monastyr’	id=g:475879
Venevitinov	id=g:475880
Venëv	id=g:475881
Stantsiya Venets	id=g:475882
Pogost Venets	id=g:475883
Venets	id=g:475884
Venets	id=g:475885
Venets	id=g:475886
Veneta	id=g:475887
Kolkhoz Venera	id=g:475888
Venera	id=g:475889
Venera	id=g:475890
Mys Veneniyemi	id=g:475891
Venekyula	id=g:475892
Vendyury	id=g:475893
Ozero Vendyurskoye	id=g:475894
Vendinga	id=g:475895
Venderevo	id=g:475896
Venderevo	id=g:475897
Vendenga	id=g:475898
Vel’zhichi	id=g:475899
Velyushevo	id=g:475900
Vel’yu	id=g:475901
Ozero Vel’ye-Yarv	id=g:475902
Vel’yevo	id=g:475903
Vel’ye-Rodionovka	id=g:475904
Ozero Vel’ye	id=g:475905
Ozero Vel’ye	id=g:475906
Ozero Vel’ye	id=g:475907
Ozero Vel’ye	id=g:475908
Ozero Vel’ye	id=g:475909
Ozero Vel’ye	id=g:475910
Vel’ye	id=g:475911
Vel’ye	id=g:475912
Vel’ye	id=g:475913
Vel’ye Stany	id=g:475914
Vel’ye	id=g:475915
Vel’ye	id=g:475916
Vel’yashovo	id=g:475917
Vel’yasheva Gora	id=g:475918
Vel’yaminovskiy	id=g:475919
Ostanovochnyy Punkt Vel’yaminovo	id=g:475920
Vel’yaminovo	id=g:475921
Vel’yaminovo	id=g:475922
Vel’yaminovo	id=g:475923
Vel’yaminova	id=g:475924
Vel’yaminovka	id=g:475925
Vel’yaminovka	id=g:475926
Vel'yaminovka	id=g:475927
Vel’yaminova	id=g:475928
Velya	id=g:475929
Vel’ya	id=g:475930
Velva-Baza	id=g:475931
Velva	id=g:475932
Vel’tsy	id=g:475933
Vel’tsa	id=g:475934
Vel’t	id=g:475935
Vel’t	id=g:475936
Vel’skiy Rayon	id=g:475937
Vel’sk	id=g:475938
Vel’shino	id=g:475939
Vels	id=g:475940
Vels	id=g:475941
Velova	id=g:475942
Ozero Veloturki-Yarvi	id=g:475943
Velok	id=g:475944
Vel'niki	id=g:475945
Vel’mozhka	id=g:475946
Vel’mino	id=g:475947
Vel’mezhka	id=g:475948
Vel’kovo	id=g:475949
Vel’kota	id=g:475950
Vel’kino	id=g:475951
Velizhskiy Rayon	id=g:475952
Velizhno	id=g:475953
Vilizhnaya	id=g:475954
Velizh	id=g:475955
Velitsy	id=g:475956
Velitsa	id=g:475957
Ozero Velisto	id=g:475958
Velisto	id=g:475959
Velishka	id=g:475960
Velishchi	id=g:475961
Ozero Velinskoye	id=g:475962
Stantsiya Velino	id=g:475963
Ozero Velino	id=g:475964
Velino	id=g:475965
Velino	id=g:475966
Velinka	id=g:475967
Velim’ya	id=g:475968
Banka Velimatala	id=g:475969
Velily	id=g:475970
Velikusha	id=g:475971
Velikusha	id=g:475972
Velikusha	id=g:475973
Velikusha	id=g:475974
Velikusha	id=g:475975
Velikusha	id=g:475976
Velikoye Selo	id=g:475977
Velikoye Selo	id=g:475978
Velikoye Selo	id=g:475979
Velikoye Selo	id=g:475980
Velikoye Selo	id=g:475981
Velikoye Selo	id=g:475982
Velikoye Selo	id=g:475983
Velikoye Selo	id=g:475984
Velikoye Selo	id=g:475985
Velikoye Selo	id=g:475986
Velikoye Selo	id=g:475987
Velikoye Selo	id=g:475988
Velikoye Selo	id=g:475989
Velikoye Selo	id=g:475990
Velikoye Pole	id=g:475991
Velikoye Pole	id=g:475992
Velikoye Pole	id=g:475993
Velikoye Pole	id=g:475994
Velikoye Ozero	id=g:475995
Ozero Velikoye	id=g:475996
Ozero Velikoye	id=g:475997
Ozero Velikoye	id=g:475998
Ozero Velikoye	id=g:475999
Ozero Velikoye	id=g:476000
Ozero Velikoye	id=g:476001
Ozero Velikoye	id=g:476002
Ozero Velikoye	id=g:476003
Ozero Velikoye	id=g:476004
Ozero Velikoye	id=g:476005
Ozero Velikoye	id=g:476006
Ozero Velikoye	id=g:476007
Ozero Velikoye	id=g:476008
Ozero Velikoye	id=g:476009
Ozero Velikoye	id=g:476010
Ozero Velikoye	id=g:476011
Ozero Velikoye	id=g:476012
Boloto Velikoye	id=g:476013
Velikoye	id=g:476014
Velikoye	id=g:476015
Velikoye	id=g:476016
Velikaya	id=g:476017
Velikoye	id=g:476018
Velikoye	id=g:476019
Velikovskoye	id=g:476020
Velikovo	id=g:476021
Velikovo	id=g:476022
Velikovo	id=g:476023
Velikovo	id=g:476024
Velikovo	id=g:476025
Velikovo	id=g:476026
Velikovisochnoye	id=g:476027
Velikovechnoye	id=g:476028
Velikoustyugskiy Rayon	id=g:476029
Velikoudebnoye	id=g:476030
Veliko-Sviyazhskoye	id=g:476031
Velikostrov	id=g:476032
Velikosel’yevo	id=g:476033
Velikorosnya	id=g:476034
Velikoretskoye	id=g:476035
Velikoretskiy	id=g:476036
Velikorech’ye	id=g:476037
Stantsiya Velikopol’ye	id=g:476038
Velikopol’ye	id=g:476039
Velikopol’ye	id=g:476040
Velikopol’ye	id=g:476041
Velikopol’ye	id=g:476042
Velikopol’ye	id=g:476043
Velikoye Pole	id=g:476044
Velikoozërskiy	id=g:476045
Velikooktyabr’skiy	id=g:476046
Velikomikhaylovka	id=g:476047
Velikolukskiy Rayon	id=g:476048
Velikoles’ye	id=g:476049
Velikoknyazheskoye	id=g:476050
Veliko-Kaitskoye	id=g:476051
Stantsiya Velikodvor’ye	id=g:476052
Velikodvor’ye	id=g:476053
Velikodvorskoye	id=g:476054
Velikodvorskiy	id=g:476055
Velikodvorskaya	id=g:476056
Velikoarkhangel’skoye	id=g:476057
Velikiy Zavod	id=g:476058
Velikiy Vrag	id=g:476059
Velikiy Vrag	id=g:476060
Velikiy Ustyug	id=g:476062
Velikiy Ruchey	id=g:476063
Velikiy Porog	id=g:476064
Velikiy Perevoz	id=g:476065
Velikiy Perelom	id=g:476066
Velikiy Oktyabr’	id=g:476067
Velikiy Oktyabr’	id=g:476068
Velikiy Oktyabr’	id=g:476069
Mys Velikiy Nos	id=g:476070
Velikiy-Navolok	id=g:476071
Boloto Velikiy Mokh	id=g:476072
Velikiy Mokh	id=g:476073
Velikiy Kust	id=g:476074
Velikiy Kray	id=g:476075
Velikiye Lyady	id=g:476076
Velikiye Luki	id=g:476077
Velikiy Dvor	id=g:476078
Velikiy Dvor	id=g:476079
Velikiy Dvor	id=g:476080
Velikiy Dvor	id=g:476081
Velikiy Dvor	id=g:476082
Velikiy Dvor	id=g:476083
Velikiy Dvor	id=g:476084
Velikiy Dvor	id=g:476085
Velikiy Dvor	id=g:476086
Velikiy Dvor	id=g:476087
Velikiy Dvor	id=g:476088
Velikiy Dvor	id=g:476089
Velikiy Dvor	id=g:476090
Velikiy Dvor	id=g:476091
Velikiy Dvor	id=g:476092
Velikiy Dvor	id=g:476093
Velikiy Dvor	id=g:476094
Velikiy Dvor	id=g:476095
Velikiy Dvor	id=g:476096
Urochishche Velikiy Dvor	id=g:476097
Velikiy Dvor	id=g:476098
Velikiy Dvor	id=g:476099
Velikiy Dvor	id=g:476100
Velikiy Bor	id=g:476101
Ostrov Velikiy	id=g:476102
Ostrov Velikiy	id=g:476103
Mys Velikiy	id=g:476104
Velikino	id=g:476105
Velikent	id=g:476106
Ozero Velikaya Voda	id=g:476107
Velikaya Topal’	id=g:476108
Proliv Velikaya Salma	id=g:476109
Velikaya Reka	id=g:476110
Velikaya Okhta	id=g:476111
Velikaya Nivka	id=g:476112
Velikaya Niva	id=g:476113
Velikaya Niva	id=g:476114
Velikaya Niva	id=g:476115
Velikaya Niva	id=g:476116
Velikaya Luka	id=g:476117
Velikaya Guba	id=g:476118
Velikaya Guba	id=g:476119
Velikaya Gryada	id=g:476120
Velikaya Dubrova	id=g:476121
Guba Velikaya	id=g:476122
Gora Velikaya	id=g:476123
Velikaya	id=g:476124
Velikaya	id=g:476125
Velikaya	id=g:476126
Velikaya	id=g:476127
Velikaya	id=g:476128
Velikaya	id=g:476129
Velikaya	id=g:476130
Velikaya	id=g:476131
Velikaya	id=g:476132
Velikaya	id=g:476133
Velikaya	id=g:476134
Velikaya	id=g:476135
Velikaya	id=g:476136
Velikaya	id=g:476137
Velikaya	id=g:476138
Velikaya	id=g:476139
Velikaya	id=g:476140
Velikanov	id=g:476141
Veligurin	id=g:476142
Veligonty	id=g:476143
Velichkovo	id=g:476144
Velichkovo	id=g:476145
Velichkovo	id=g:476146
Stantsiya Velichkovka	id=g:476147
Velichka	id=g:476148
Velichevskaya	id=g:476149
Velichëvo	id=g:476150
Velichayevskoye	id=g:476151
Velgur	id=g:476152
Vel’giya	id=g:476153
Vel’giya	id=g:476154
Vel’ga	id=g:476155
Velezhevo	id=g:476156
Veleya	id=g:476157
Veletovo	id=g:476158
Prud Velet’mskiy	id=g:476159
Stantsiya Velet’ma	id=g:476160
Velet’ma	id=g:476161
Velet’ma	id=g:476162
Veleshi	id=g:476163
Velesa	id=g:476164
Velesa	id=g:476165
Velenya	id=g:476166
Veleni	id=g:476167
Velekshitsy	id=g:476168
Velegushka	id=g:476169
Velegozh	id=g:476170
Pristan' Dom Otdykha Velegozh	id=g:476171
Velegoshchi	id=g:476172
Velednikovo	id=g:476173
Velebitsy	id=g:476174
Vele	id=g:476175
Veldor’ya	id=g:476176
Veldor”ya	id=g:476177
Vel’demanovo	id=g:476178
Vel’	id=g:476179
Vel’	id=g:476180
Vel’	id=g:476181
Vekshor	id=g:476182
Vekshino	id=g:476183
Vekshino	id=g:476184
Vekshino	id=g:476185
Veksheyedikha	id=g:476186
Vekshevedikha	id=g:476187
Veksha	id=g:476188
Raz”yezd Veksa	id=g:476189
Veksa	id=g:476190
Veksa	id=g:476191
Stantsiya Vekovka	id=g:476192
Vekovka	id=g:476193
Vekoshinka	id=g:476194
Vekkoyla	id=g:476195
Razvaliny Vekelyar	id=g:476196
Vekhtevo	id=g:476197
Ozero Vekhno	id=g:476198
Vekhmaynen	id=g:476199
Vekhkusel’ga	id=g:476200
Ozero Vekhka-Lambi	id=g:476201
Vekhkalakhti	id=g:476202
Ozero Vekarus-Yarvi	id=g:476203
Veikkola	id=g:476204
Gora Veikevara	id=g:476205
Ozero Vegotskoye	id=g:476206
Vegota	id=g:476207
Vegorukskiy Pogost	id=g:476208
Vegarus-Yoki	id=g:476209
Ozero Vegarus’yarvi	id=g:476210
Vegarus	id=g:476211
Vedyantsy	id=g:476212
Veduga	id=g:476213
Vedrovo	id=g:476214
Vedrovka	id=g:476215
Vedrets	id=g:476216
Vedosnur	id=g:476217
Vedosa Vtoraya	id=g:476218
Vedosa Pervaya	id=g:476219
Vedosa	id=g:476220
Vedosa	id=g:476221
Vedomka	id=g:476222
Vednoye	id=g:476223
Vednoye	id=g:476224
Stantsiya Vedmidivka	id=g:476225
Ozero Vedlozero	id=g:476226
Vedlozero	id=g:476227
Vedishchevo	id=g:476228
Vedernitsy	id=g:476229
Vedernitsa	id=g:476230
Vedernikov	id=g:476231
Vedernikovo	id=g:476232
Vederniki	id=g:476233
Vederniki	id=g:476234
Vederniki	id=g:476235
Vederniki	id=g:476236
Vederniki	id=g:476237
Vederkovo	id=g:476238
Vederenskiy	id=g:476239
Vedenyapino	id=g:476240
Vedenyapino	id=g:476241
Vedenyapino	id=g:476242
Vedenyapino	id=g:476243
Vedenyapinka	id=g:476244
Vedenyapin	id=g:476245
Vvedenskoye	id=g:476246
Vedenskoye	id=g:476247
Vedenskiy Rayon	id=g:476248
Vedenskaya Gotnya	id=g:476249
Vedenskaya	id=g:476250
Vedenovka	id=g:476251
Vedeno	id=g:476252
Vedeneyka	id=g:476253
Vechtamovskiy	id=g:476254
Vechnyy Khutor	id=g:476255
Vechnyy	id=g:476256
Vechnoye	id=g:476257
Vechnost’	id=g:476258
Vechnost’	id=g:476259
Vechna	id=g:476260
Vechkusy	id=g:476261
Vecheslovo	id=g:476262
Vecherley	id=g:476263
Vechentsy	id=g:476264
Veche	id=g:476265
Veberskiy	id=g:476266
Vduli	id=g:476267
Vdov’ye	id=g:476268
Vdovolov	id=g:476269
Urochishche Vdovino	id=g:476270
Vdovino	id=g:476271
Vditsko	id=g:476272
Vdal’	id=g:476273
Stantsiya Vazyuk	id=g:476274
Vazyug	id=g:476275
Vaz’yanka	id=g:476276
Vaz”yan	id=g:476277
Vazuzskoye Vodokhranilishche	id=g:476278
Vazuzskoye Vodokhranilishche	id=g:476279
Ostanovochnyy Punkt Vazuza	id=g:476280
Vazuza	id=g:476281
Vazh-Yu-Bok	id=g:476282
Vazh”yu	id=g:476283
Vazhuga	id=g:476284
Vazhskiy	id=g:476285
