Karabekaul’skiy Rayon	id=g:1219147
Bugor Iki-Zak-Tepe	id=g:1219361
Kolodets Ike-Sedek	id=g:1219362
Iit-Kala	id=g:1219363
Kolodets Igri	id=g:1219364
Kolodets Igri	id=g:1219365
Kolodets Igri	id=g:1219366
Kolodets Igri	id=g:1219367
Kolodets Ibragim	id=g:1219368
Hanhowuz	id=g:1219369
Gyurmush-Tepe	id=g:1219370
Gora Gynchangyz-Dag	id=g:1219371
Gora Gynchagyz-Kry	id=g:1219372
Kolodets Gyarzhe	id=g:1219373
Kolodets Gyanda	id=g:1219374
Kolodets Gyadyk	id=g:1219375
Daryā-ye Koshk	id=g:1219376
Serhetabat	id=g:1219377
Kolodets Gusha-Kui	id=g:1219378
Peski Gurydandan	id=g:1219379
Gurumsay	id=g:1219380
Gurum-Say	id=g:1219381
Kolodets Gurgak	id=g:1219382
Gunesh	id=g:1219383
Gumbezli-Kuyu	id=g:1219384
Kolodets Gumbez	id=g:1219385
Kolodets Gulyammet	id=g:1219386
Kolodets Gul-Kuduk	id=g:1219387
Gul’khorstynshor	id=g:1219388
Dozhdevaya Yama Gulgusan-Kak	id=g:1219389
Kolodets Gubchak	id=g:1219390
Grodekovskiy	id=g:1219391
Gowurdak	id=g:1219392
Kolodets Gotun	id=g:1219393
Gosha-Kala	id=g:1219394
Golovnoye	id=g:1219395
Gora Gokcha	id=g:1219396
Gokcha	id=g:1219397
Kak Giz	id=g:1219398
Gindukushskoye Vodokhranilishche	id=g:1219399
Gindukush	id=g:1219400
Gil’-Abad	id=g:1219401
Khrebet Gezgyadyk	id=g:1219402
Kolodets Gershin	id=g:1219403
Kolodets Gerdzha	id=g:1219404
Razvalennyy Kishlak Geok-Tepe	id=g:1219405
Stantsiya Geok-Syur	id=g:1219406
Bugor Geok-Syur	id=g:1219407
Kolodets Geokcha	id=g:1219408
Dozhdevaya Yama Gelli-Murad-Kak	id=g:1219409
Dozhdevaya Yama Gel’dy-Oulagyn	id=g:1219410
Kolodets Gek-Syur	id=g:1219411
Kolodets Gek-Kumbez	id=g:1219412
Dozhdevaya Yama Gechelin-Kak	id=g:1219413
Kolodets Gazara-Kuduk	id=g:1219414
Kolodets Gaydushli	id=g:1219415
Kurgan Gauz-Khan	id=g:1219416
Kolodets Gauz-Khan	id=g:1219417
Gora Gaurdak	id=g:1219418
Garrychyrla	id=g:1219419
Garkent	id=g:1219420
Kolodets Garkend	id=g:1219421
Garagum	id=g:1219422
Kolodets Garadzhi	id=g:1219423
Garabil Belentligi	id=g:1219424
Kolodets Gaibpa	id=g:1219425
Gadyn	id=g:1219426
Gadaim-Kak	id=g:1219427
Gaburdy	id=g:1219428
Gabakly	id=g:1219429
Kolodets Gaardzha	id=g:1219430
Farap	id=g:1219431
Farabskiy Rayon	id=g:1219432
Jeýhun	id=g:1219433
Kolodets Ezenkish-Klyu	id=g:1219434
Dozhdevaya Yama Eves-Gyaduk	id=g:1219435
Dozhdevaya Yama Euvez-Karakol	id=g:1219436
Kolodets Euves-Oglan	id=g:1219437
Etbashi	id=g:1219438
Kolodets Esenbay	id=g:1219439
Eski-Narazym	id=g:1219440
Eski	id=g:1219441
Esenmengli	id=g:1219442
Razvalennaya Krepost’ Esen-Dengli	id=g:1219443
Erdel’	id=g:1219444
Epo	id=g:1219445
Energetik	id=g:1219446
Stantsiya Ene-Kuliyeva	id=g:1219447
Khrebet Elli-Bir	id=g:1219448
Kolodets Elik	id=g:1219449
Ozero El’dzhik	id=g:1219450
Kolodets Ek-Adzhi	id=g:1219451
Egriyagyr	id=g:1219452
Kolodets Egri-Kandym	id=g:1219453
Egri-Guzar	id=g:1219454
Rūd-e Golrān	id=g:1219455
Kolodets Egri	id=g:1219456
Barkhan Edzhekli	id=g:1219457
Edrug	id=g:1219458
Kolodets Dzhyuma Gel’dy	id=g:1219459
Kolodets Dzhus-Ali-Kongur	id=g:1219460
Kolodets Dzhurdzhi	id=g:1219461
Dzhuppy	id=g:1219462
Kolodets Dzhuma-Ters	id=g:1219463
Kolodets Dzhuman-Turdy	id=g:1219464
Kolodets Dzhuma-Nazar	id=g:1219465
Kolodets Dzhuman	id=g:1219466
Kolodets Dzhuma-Kel’dy	id=g:1219467
Kolodets Dzhuma-Guzni	id=g:1219468
Kolodets Dzhuma-Gel’dy	id=g:1219469
Kolodets Dzhuma-Galamyz	id=g:1219470
Kolodets Dzhumadzhik	id=g:1219471
Dzhuma-Bazar	id=g:1219472
Kolodets Dzhuma-Bay	id=g:1219473
Dzhuma	id=g:1219474
Stantsiya Dzhu-Dzhu-Klu	id=g:1219475
Kolodets Dzhnichi	id=g:1219476
Kolodets Yedikui	id=g:1219477
Dzhity-Kuduk	id=g:1219478
Kolodets Dzhili-Kyzyl	id=g:1219479
Kolodets Dzhiadzhik	id=g:1219480
Dzhengel’	id=g:1219481
Kolodets Dzhekpam-Bay	id=g:1219482
Kolodets Dzhekpam-Bay	id=g:1219483
Kolodets Dzhaychi	id=g:1219484
Dzhar-Yab	id=g:1219485
Dzhar-Say	id=g:1219486
Kolodets Dzharly	id=g:1219487
Peski Dzharkum	id=g:1219488
Dzharguzar	id=g:1219489
Kolodets Dzhapar	id=g:1219490
Dzhapar	id=g:1219491
Kolodets Dzhal-Gutor	id=g:1219492
Kolodets Dzhalan	id=g:1219493
Bugor Dzhafaragan	id=g:1219494
Kolodtsy Dyusy-Bay	id=g:1219495
Dvadtsatiletiye Turkmenskoy Sovetskoy Sotsialisticheskoy Respubliki	id=g:1219496
Düzguýy Guýy	id=g:1219497
Ozero Duzkan	id=g:1219498
Gory Duzenkyr	id=g:1219499
Gora Duzen-Kry	id=g:1219500
Duşak	id=g:1219501
Ozero Durnali	id=g:1219502
Kolodets Durdy-Bay	id=g:1219503
Durdy	id=g:1219504
Sardoba Dupchi	id=g:1219505
Gory Dunguz-Syrt	id=g:1219506
Kolodets Dunguzli	id=g:1219507
Kolodets Dumen	id=g:1219508
Gora Dukhcha-Kaya	id=g:1219509
Dukdrushtum	id=g:1219510
Gora Dugoba	id=g:1219511
Dostlukskiy Rayon	id=g:1219512
Dostluk	id=g:1219513
Stantsiya Dort-Kuyu	id=g:1219514
Kolodets Dort-Kuduk	id=g:1219515
Gora Donguzsyrt	id=g:1219516
Donguzburun	id=g:1219517
Kolodets Dongurly	id=g:1219518
Kolodets Dolly-Kui	id=g:1219519
Ushchel’ye Dobran-Ogzy	id=g:1219520
Kolodets Divali	id=g:1219521
Gora Diondipil’	id=g:1219522
Kolodets Dianmaz	id=g:1219523
Deynauskiy Rayon	id=g:1219524
Galkynyş	id=g:1219525
Kolodets Der’yab	id=g:1219526
Kolodets Dervezen-Ken	id=g:1219527
Dervezekem	id=g:1219528
Razvalennaya Krepost’ Derven-Gan	id=g:1219529
Dozhdevaya Yama Dengli-Kak	id=g:1219530
Kurgan Dengli	id=g:1219531
Dozhdevaya Yama Dengiz	id=g:1219532
Gora Dendyupil’	id=g:1219533
Dozhdevaya Yama Demirdzhan	id=g:1219534
Kolodets Del’dryk	id=g:1219535
Daz	id=g:1219536
Daykha-Kak	id=g:1219537
Davlet	id=g:1219538
Kolodets Davali	id=g:1219539
Kolodets Davali	id=g:1219540
Dautly	id=g:1219541
Kolodets Dash-Uyuk	id=g:1219542
Bugor Dash-Tyumek	id=g:1219543
Kolodets Dashli-Seid	id=g:1219544
Kolodets Dash-Kuyu	id=g:1219545
Kolodets Dash-Kuyu	id=g:1219546
Kolodets Dash-Kuyu	id=g:1219547
Kolodets Dashkui	id=g:1219548
Kolodets Dash-Kui	id=g:1219549
Kolodets Dash-Kui	id=g:1219550
Kolodets Dash-Kui	id=g:1219551
Kolodets Dash-Kui	id=g:1219552
Kolodets Dash-Kui	id=g:1219553
Dozhdevaya Yama Dash-Kak	id=g:1219554
Kolodets Dashayak	id=g:1219555
Kolodets Dash-Adzhi	id=g:1219556
Aryk Dar’ya-Bash	id=g:1219557
Kolodets Damalan	id=g:1219558
Dagso-Cherdy-Shor	id=g:1219559
Dag-Sakhkary	id=g:1219560
Dagarkishlak	id=g:1219561
Gora Dadyr	id=g:1219562
Dadedogli	id=g:1219563
Dada-Ogly	id=g:1219564
Kolodets Daashli	id=g:1219565
Kolodets Daali	id=g:1219566
Gora Chuychak-Ata	id=g:1219567
Kolodets Churi	id=g:1219568
Churga	id=g:1219569
Chupli	id=g:1219570
Chungurli	id=g:1219571
Kolodets Chulva	id=g:1219572
Ozero Chukur	id=g:1219573
Kolodets Chukroy	id=g:1219574
Kolodets Chukroy	id=g:1219575
Kolodets Chugaly	id=g:1219576
Kolodets Chugaly	id=g:1219577
Kurgan Chopli-Tepe	id=g:1219578
Kolodets Chapanbay	id=g:1219579
Mogila Chogit	id=g:1219580
Kolodets Choganli	id=g:1219581
Kurgan Chish-Tepe	id=g:1219582
Kurgan Chish-Tepe	id=g:1219583
Dozhdevaya Yama Chiryshli	id=g:1219584
Kolodets Chirdar-Kui	id=g:1219585
Kolodets Chirakchi	id=g:1219586
Kolodets Chipatri	id=g:1219587
Kolodets Chimchi	id=g:1219588
Ushchel’ye Chilimli-Shor	id=g:1219589
Sardoba Chil’-Gumbez	id=g:1219590
Kolodets Chil’bur	id=g:1219591
Kolodets Chilanly	id=g:1219592
Kolodets Chiany	id=g:1219593
Kolodets Chet-Kui	id=g:1219594
Cheshme Vtoroy	id=g:1219595
Kolodets Cheshme Pervyy	id=g:1219596
Rodnik Cheshme	id=g:1219597
Kolodets Cheshme	id=g:1219598
Kolodets Cheshma	id=g:1219599
Kolodets Cherle-Kuyu	id=g:1219600
Cherkez	id=g:1219601
Kolodets Cherkes-Koli	id=g:1219602
Cherenga	id=g:1219603
Rodnik Cherdi	id=g:1219604
Kolodets Cherchil’	id=g:1219605
Chepek	id=g:1219606
Kolodets Chepbe-Khan	id=g:1219607
Chenen	id=g:1219608
Çemenebit	id=g:1219609
Kurgan Chemche-Tepe	id=g:1219610
Chemche	id=g:1219611
Aryk Chelyar	id=g:1219612
Kolodets Chelyak	id=g:1219613
Chekmen	id=g:1219614
Chekich	id=g:1219615
Chekich	id=g:1219616
Ozero Chegez	id=g:1219617
Chegez	id=g:1219618
Kolodets Chegelek-Bay	id=g:1219619
Rodnik Chay-Turkmen	id=g:1219620
Kolodets Chay-Nuri	id=g:1219621
Kolodets Chay-Musa	id=g:1219622
Kolodets Chaykhen-Shakhuli	id=g:1219623
Kolodets Chaygys	id=g:1219624
Kolodets Chayerli	id=g:1219625
Kolodets Chay-Baba	id=g:1219626
Kolodets Chay-Adzhi	id=g:1219627
Chaudur	id=g:1219628
Gora Chatyr-Tepe	id=g:1219629
Kolodets Chatryk	id=g:1219630
Chatryak	id=g:1219631
Kolodets Chatrak	id=g:1219632
Chatrak	id=g:1219633
Ozero Chaskashor	id=g:1219634
Dozhdevaya Yama Chas-Kak	id=g:1219635
Kolodets Chashma	id=g:1219636
Chashkent	id=g:1219637
Chashkent	id=g:1219638
Chash	id=g:1219639
Charyy	id=g:1219640
Kolodets Chary-Bay	id=g:1219641
Charvak	id=g:1219642
Charvadar	id=g:1219643
Chartma	id=g:1219644
Kolodets Charsit	id=g:1219645
Charshanginskiy Rayon	id=g:1219646
Koytendag	id=g:1219647
Kolodets Charkhi	id=g:1219648
Türkmenabat	id=g:1219649
Chardzhouskiy Rayon	id=g:1219650
Lebap Welaýaty	id=g:1219651
Kolodets Chardali	id=g:1219652
Dozhdevaya Yama Chapli-Kak	id=g:1219653
Kolodets Changly	id=g:1219654
Kolodets Chandaklik	id=g:1219655
Chamchakly	id=g:1219656
Kolodets Chalysh-Ul’gan	id=g:1219657
Chalysh	id=g:1219658
Chaltut	id=g:1219659
Kolodets Chalganak	id=g:1219660
Chalchin-Kak	id=g:1219661
Chalapkuyu	id=g:1219662
Kolodets Chakyshly	id=g:1219663
Chakyr	id=g:1219664
Ostrov Chakur-Dzhangel’	id=g:1219665
Kolodets Chakmakly-Changa	id=g:1219666
Chakmaklychanga	id=g:1219667
Chakich	id=g:1219668
Kolodets Chakhi-Nakhash	id=g:1219669
Chakal	id=g:1219670
Kolodets Chaka	id=g:1219671
Chagyl	id=g:1219672
Chagpata	id=g:1219673
Kolodets Chagly	id=g:1219674
Sardoba Chagan	id=g:1219675
Kolodets Chagaly	id=g:1219676
Kolodets Chagali	id=g:1219677
Kolodets Chadzhi	id=g:1219678
Çäçe	id=g:1219679
Kolodets Byyangi	id=g:1219680
Byr-Koz	id=g:1219681
Buyrabab	id=g:1219682
Kolodets Buurdeshik	id=g:1219683
Kolodets Burun-Kum	id=g:1219684
Kolodets Burgutli	id=g:1219685
Kolodets Burgutchi	id=g:1219686
Burguchi	id=g:1219687
Burdalyk	id=g:1219688
Kolodets Bukry	id=g:1219689
Gora Budzhak	id=g:1219690
Budzhak	id=g:1219691
Kolodets Budyyar	id=g:1219692
Kurgan Boz-Bekly	id=g:1219693
Aryk Boz	id=g:1219694
Kanal Boyrabab	id=g:1219695
Gora Bova-Chingiz	id=g:1219696
Kolodets Bot-Bash	id=g:1219697
Basaga	id=g:1219698
Boroshly	id=g:1219699
Kolodets Bordzhakly	id=g:1219700
Bol’shevik	id=g:1219701
Bol’shevik	id=g:1219702
Bol’shevik	id=g:1219703
Bol’shevik	id=g:1219704
Bol’shevik	id=g:1219705
Bol’shevik	id=g:1219706
Bol’shevik	id=g:1219707
Kolodets Bokur-Bay	id=g:1219708
Gora Bogen-Chigri	id=g:1219709
Bathyz Döwlet Goraghanasy	id=g:1219710
Kolodets Boda	id=g:1219711
Gora Bitik	id=g:1219712
Bitik	id=g:1219713
Kolodets Bir-Koz-Mukim-Mulla	id=g:1219714
Kolodets Birgut	id=g:1219715
Kolodets Bil’sendek	id=g:1219716
Bikuri	id=g:1219717
Kolodets Bezha-Chashma	id=g:1219718
Bey-Syaryan-Dzhan	id=g:1219719
Dozhdevaya Yama Beynazar	id=g:1219720
Kolodets Beur-Deshik	id=g:1219721
Kolodets Besh-Kuruk	id=g:1219722
Besh-Kuduk	id=g:1219723
Gora Besh-Kizyl	id=g:1219724
Beshkaknymshor	id=g:1219725
Dozhdevaya Yama Besh-Kak	id=g:1219726
Besh-Kak	id=g:1219727
Besheuray	id=g:1219728
Besheur	id=g:1219729
Kolodets Besh-Dara	id=g:1219730
Kolodets Besh-Adzhi	id=g:1219731
Kolodets Besh	id=g:1219732
Kolodets Berkutli	id=g:1219733
Beriket	id=g:1219734
Berenchi-Kara-Yab	id=g:1219735
Bereket	id=g:1219736
Kolodets Berdzhik	id=g:1219737
Kolodets Berdy-Nazar	id=g:1219738
Kolodets Berdy-Klyuch	id=g:1219739
Kolodtsy Berdyklychbay	id=g:1219740
Kolodets Berdy-Klych	id=g:1219741
kolodets Berdy-Imchik	id=g:1219742
Kolodets Berdiyar	id=g:1219743
Gory Benti-Dezan	id=g:1219744
Bendi-Nadir	id=g:1219745
Kolodets Bekur-Kuyu	id=g:1219746
Kolodets Bek-Tash	id=g:1219747
Kolodets Bek-Kuduk	id=g:1219748
Kolodets Bekeuri-Adzhi	id=g:1219749
Kolodets Begur-Kuyu	id=g:1219750
Kolodets Beglyar-Orosh	id=g:1219751
Begi-Sakar	id=g:1219752
Kolodets Begelek	id=g:1219753
Rodnik Begekush-Chashma	id=g:1219754
Kolodets Beder	id=g:1219755
Beden	id=g:1219756
Bazar-Sakhe	id=g:1219757
Gora Bazar-Kush	id=g:1219758
Bazardepe	id=g:1219759
Bazar	id=g:1219760
Kolodets Bayram-Bay	id=g:1219761
Bayramaly	id=g:1219762
Bayram-Aliyskiy Rayon	id=g:1219763
Bay-Kishlak	id=g:1219764
Bay-Kabyl’	id=g:1219765
Kolodets Baygushly	id=g:1219766
Kolodets Baygushli	id=g:1219767
Baygushli	id=g:1219768
Bayat	id=g:1219769
Kolodets Bay-Adzhi	id=g:1219770
Bay	id=g:1219771
Baurden-Kak	id=g:1219772
Kolodets Baudalin	id=g:1219773
Kolodets Batman-Bay	id=g:1219774
Batash	id=g:1219775
Batash	id=g:1219776
Bassar-Kish	id=g:1219777
Bashvak	id=g:1219778
Ostrov Bash-Dzhangel’	id=g:1219780
Başbeden	id=g:1219781
Basaga	id=g:1219782
Stantsiya Barkhany	id=g:1219783
Bardzan	id=g:1219784
Baragiz	id=g:1219785
Kolodets Bara	id=g:1219786
Banysh	id=g:1219787
Bangil’dy	id=g:1219788
Kolodets Bal-Kuyu	id=g:1219789
Kolodets Bal-Kuyu	id=g:1219790
Kolodets Balgui	id=g:1219791
Kolodets Bal’ganoy	id=g:1219792
Kolodets Bal-Avgan	id=g:1219793
Gora Balakhana	id=g:1219794
Gora Balakhana	id=g:1219795
Bakhshimarish	id=g:1219796
Bakhshi	id=g:1219797
Mogila Bakhat-Baba	id=g:1219798
Kolodets Baibukhut	id=g:1219799
Kolodets Bagut-Ishan	id=g:1219800
Bagt	id=g:1219801
Kolodets Bagarli	id=g:1219802
Bagarka	id=g:1219803
Kolodets Bagadzha	id=g:1219804
Badkhyz	id=g:1219806
Bugor Baden-Ury	id=g:1219807
Kolodets Babazardadazh	id=g:1219808
Kolodets Baba-Kuyu	id=g:1219809
Kolodets Baba-Kizyl	id=g:1219810
Babadaykhan	id=g:1219811
Babadaýhan	id=g:1219812
Kolodets Baakly	id=g:1219813
Kolodets Baakly	id=g:1219814
Kolodets Azdar	id=g:1219815
Kolodets Azat	id=g:1219816
Rodnik Ayt-Bay-Cheshme	id=g:1219817
Kolodets Ayran-Bay	id=g:1219818
Kolodets Ayran-Bay	id=g:1219819
Kolodets Ayrakhly	id=g:1219820
Kolodets Aynachaga	id=g:1219821
Gora Ayman-Eydzhokli	id=g:1219822
Aymak-Uydzhik	id=g:1219823
Kolodets Aygurun	id=g:1219824
Rodnik Aydzhik	id=g:1219825
Ayak	id=g:1219826
Kolodets Avzashak	id=g:1219827
Kolodets Avgan	id=g:1219828
Avchi	id=g:1219829
Kurgan Ava-Mezari	id=g:1219830
Kolodets Auz-Sholak	id=g:1219831
Aul Urazaly	id=g:1219832
Slavyantsi	id=g:727086
Slavyanovo	id=g:727087
Slavyanovo	id=g:727088
Slavyanovo	id=g:727089
Slavyanin	id=g:727090
Slavyani	id=g:727091
Slavshtitsa	id=g:727092
Slavov Vrŭkh	id=g:727093
Slavovtsi	id=g:727094
Slavovtsi	id=g:727095
Slavovtsi	id=g:727096
Slavovitsa	id=g:727097
Slavovitsa	id=g:727098
Slavotin	id=g:727099
Slavnik	id=g:727100
Slaveykovo	id=g:727101
Slaveykovo	id=g:727102
Slaveykovo	id=g:727103
Slaveykovo	id=g:727104
Slaveino Obshtina	id=g:727105
Slaveino	id=g:727106
Slaveevo	id=g:727107
Slaveevo	id=g:727108
Slavchitsa	id=g:727109
Slatino	id=g:727110
Slatino	id=g:727111
Slatina	id=g:727112
Slatina	id=g:727113
Slatina	id=g:727114
Slatina	id=g:727115
Slatina	id=g:727116
Slatina	id=g:727117
Slatina	id=g:727118
Slashten	id=g:727119
Slanotrŭn	id=g:727120
Slannik	id=g:727121
Slana Bara	id=g:727122
Slamino	id=g:727123
Slakovtsi	id=g:727124
Sladun	id=g:727125
Sladŭk Kladenets	id=g:727126
Sladkodum	id=g:727127
Sladka Voda	id=g:727128
Skutare	id=g:727129
Skŭt	id=g:727130
Skŭrvenskoto	id=g:727131
Skŭrbino	id=g:727132
Skrŭt	id=g:727133
Skrinyano	id=g:727134
Skrino	id=g:727135
Skribŭtna	id=g:727136
Skrebatno	id=g:727137
Skravena	id=g:727138
Skortsite	id=g:727139
Skorets	id=g:727140
Skorcheno	id=g:727141
Skomlya	id=g:727142
Skomlya	id=g:727143
Skobelevsko Vrelo	id=g:727144
Skobelevo	id=g:727145
Skobelevo	id=g:727146
