Pleasant Ridge Middle School	id=g:6327974
Horizons High School	id=g:6328051
Holy Cross Catholic School	id=g:6328052
Midland Adventist Academy	id=g:6328053
Mill Creek Elementary School	id=g:6328054
Mill Valley High School	id=g:6328055
Mission Trail Elementary School	id=g:6328056
Mission Valley Middle School	id=g:6328057
School Number 6 (historical)	id=g:6328058
School Number 7 (historical)	id=g:6328059
School Number 7 (historical)	id=g:6328060
School Number 8 (historical)	id=g:6328061
School Number 9 (historical)	id=g:6328062
School Number 10 (historical)	id=g:6328063
School Number 11 (historical)	id=g:6328064
School of Bibical Instruction	id=g:6328065
Saint John's Parochial School	id=g:6328066
Saint John's High School	id=g:6328067
Our Lady of Consolation School	id=g:6328068
Public School 84	id=g:6328069
Saint Vincent De Paul School	id=g:6328070
Annunciation School (historical)	id=g:6328071
Saint Johns Evangelical Lutheran School	id=g:6328072
Saint Frances of Paola Elementary School	id=g:6328073
Parish School of Saints Cyril and Methodius	id=g:6328074
Public School 256	id=g:6328075
Saint Ambrose School	id=g:6328076
Intermediate School 324	id=g:6328077
Our Lady of Good Counsel School	id=g:6328078
Saint Peter Claver Institute	id=g:6328079
Parochial School of Our Lady of Victory	id=g:6328080
Automotive Division Brooklyn Adult Training Center	id=g:6328081
Howard Hughes Medical Institute - Janelia Farm Research Campus	id=g:6328082
Hugo Elementary School	id=g:6328083
Columbus Elementary School	id=g:6328084
Saint Peter's Catholic School	id=g:6328085
Scandia Elementary School	id=g:6328086
Century Junior High School	id=g:6328087
Southwest Junior High School	id=g:6328088
Forest Lake Elementary School	id=g:6328089
Central Montessori Elementary School	id=g:6328090
Stonebridge Elementary School	id=g:6328091
Rutherford Elementary School	id=g:6328092
Salem Lutheran School	id=g:6328093
Stillwater Junior High School	id=g:6328094
Stillwater Area High School	id=g:6328095
School Number 9 (historical)	id=g:6328096
School Number 12 (historical)	id=g:6328097
School Number 13 (historical)	id=g:6328098
School Number 15 (historical)	id=g:6328099
School Number 16 (historical)	id=g:6328100
Four Corners School (historical)	id=g:6328101
Putman School (historical)	id=g:6328102
School Number 8 (historical)	id=g:6328103
Wells School (historical)	id=g:6328104
Riley Avenue Elementary School	id=g:6328105
Aquebogue Elementary School	id=g:6328106
Riverhead High School	id=g:6328107
Riverhead Middle School	id=g:6328108
H B Ward Technical Center	id=g:6328109
Saint Isidore's School	id=g:6328110
Pulaski Street School	id=g:6328111
Saint David's Episcopal Day School	id=g:6328112
Roanoke Avenue School	id=g:6328113
Saint John The Evangelist School	id=g:6328114
Esat End Christian Academy	id=g:6328115
Public School 397B	id=g:6328116
Excelsior Elementary School	id=g:6328117
Harold School	id=g:6328118
Harold School	id=g:6328119
Goble Branch School (historical)	id=g:6328120
Rolla Technical Center	id=g:6328121
East Central College	id=g:6328122
Keizer Elementary School	id=g:6328123
Orleans-Niagara Educational Center	id=g:6328124
School Number 1 (historical)	id=g:6328125
School Number 1 (historical)	id=g:6328126
School Number 2 (historical)	id=g:6328127
School Number 2 (historical)	id=g:6328128
School Number 3 (historical)	id=g:6328129
School Number 4 (historical)	id=g:6328130
School Number 4 (historical)	id=g:6328131
School Number 5 (historical)	id=g:6328132
School Number 5 (historical)	id=g:6328133
School Number 6 (historical)	id=g:6328134
Union Free School (historical)	id=g:6328135
Wyandanch School (historical)	id=g:6328136
School Number 3 (historical)	id=g:6328137
School Number 9 (historical)	id=g:6328138
Acre School (historical)	id=g:6328139
Treadwell School (historical)	id=g:6328140
School Number 11 (historical)	id=g:6328141
School Number 3 (historical)	id=g:6328142
School Number 6 (historical)	id=g:6328143
School Number 5 (historical)	id=g:6328144
School Number 10 (historical)	id=g:6328145
Turkey Lane School (historical)	id=g:6328146
Grove School (historical)	id=g:6328147
School Number 7 (historical)	id=g:6328148
Ingraham Hill School (historical)	id=g:6328149
School Number 3 (historical)	id=g:6328150
School Number 7 (historical)	id=g:6328151
School Number 11 (historical)	id=g:6328152
School Number 1 (historical)	id=g:6328153
School Number 3 (historical)	id=g:6328154
La Raysville (historical)	id=g:6328155
School Number 2 (historical)	id=g:6328156
School Number 13 (historical)	id=g:6328157
School Number 15 (historical)	id=g:6328158
Dutch Settlement School (historical)	id=g:6328159
Kiser Schoolhouse (historical)	id=g:6328160
School Number 4 (historical)	id=g:6328161
School Number 5 (historical)	id=g:6328162
School Number 7 (historical)	id=g:6328163
School Number 8 (historical)	id=g:6328164
Schjool Number 9 (historical)	id=g:6328165
School Number 12 (historical)	id=g:6328166
School Number 13 (historical)	id=g:6328167
School Number 5 (historical)	id=g:6328168
School Number 13 (historical)	id=g:6328169
School Number 4 (historical)	id=g:6328170
School Number 7 (historical)	id=g:6328171
School Number 8 (historical)	id=g:6328172
School Number 7 (historical)	id=g:6328173
School Number 18 (historical)	id=g:6328174
School Number 1 (historical)	id=g:6328175
School Number 2 (historical)	id=g:6328176
School Number 3 (historical)	id=g:6328177
School Number 6 (historical)	id=g:6328178
School Number 7 (historical)	id=g:6328179
School Number 10 (historical)	id=g:6328180
School Number 11 (historical)	id=g:6328181
School Number 12 (historical)	id=g:6328182
School Number 14 (historical)	id=g:6328183
School Number 16 (historical)	id=g:6328184
School Number 2 (historical)	id=g:6328185
School Number 2 (historical)	id=g:6328186
School Number 11 (historical)	id=g:6328187
School Number 18 (historical)	id=g:6328188
School Number 1 (historical)	id=g:6328189
School Number 2 (historical)	id=g:6328190
School Number 3 (historical)	id=g:6328191
School Number 4 (historical)	id=g:6328192
Opportunity School (historical)	id=g:6328193
School Number 7 (historical)	id=g:6328194
School Number 1 (historical)	id=g:6328195
School Number 4 (historical)	id=g:6328196
School Number 6 (historical)	id=g:6328197
School Number 8 (historical)	id=g:6328198
School Number 8 (historical)	id=g:6328199
School Number 9 (historical)	id=g:6328200
School Number 11 (historical)	id=g:6328201
School Number 6 (historical)	id=g:6328202
School Number 7 (historical)	id=g:6328203
School Number 5 (historical)	id=g:6328204
Brooks Elementary School	id=g:6328205
Geist Elementary School	id=g:6328206
School Number 17 (historical)	id=g:6328207
North Babylon School (historical)	id=g:6328208
Greenwood Senior High School	id=g:6328209
America School (historical)	id=g:6328210
Cohasset Elementary School	id=g:6328211
Christian Community School	id=g:6328212
Grace Christian School	id=g:6328213
Saint Joseph's Catholic School	id=g:6328214
Itasca Community College	id=g:6328215
Southwest Elementary School	id=g:6328216
Grand Rapids Middle School	id=g:6328217
Grand Rapids High School	id=g:6328218
Van Dyke Elementary School	id=g:6328219
Philip Murray Elementary School	id=g:6328220
Greenway Public School	id=g:6328221
Bovey School	id=g:6328222
North Elementary School	id=g:6328223
Greenway High School	id=g:6328224
Old Stone School (historical)	id=g:6328225
Central School	id=g:6328226
School Number 5 (historical)	id=g:6328227
School Number 6 (historical)	id=g:6328228
School Number 7 (historical)	id=g:6328229
School Number 3 (historical)	id=g:6328230
School Number 3 (historical)	id=g:6328231
School Number 3 (historical)	id=g:6328232
School Number 4 (historical)	id=g:6328233
School Number 4 (historical)	id=g:6328234
School Number 5 (historical)	id=g:6328235
Christa McAuliffe Elementary School	id=g:6328236
Hastings High School	id=g:6328237
Hastings Middle School	id=g:6328238
Randolph Public School	id=g:6328239
Saint Johns School	id=g:6328240
Saint Mathias School	id=g:6328241
Saint Mary Elementary School	id=g:6328242
School Number 8 (historical)	id=g:6328243
School Number 8 (historical)	id=g:6328244
School Number 10 (historical)	id=g:6328245
School Number 11 (historical)	id=g:6328246
School Number 15 (historical)	id=g:6328247
School Number 3 (historical)	id=g:6328248
Georgetown Amish School	id=g:6328249
Light and Life Christian School	id=g:6328250
Eureka Montessori School	id=g:6328251
Bethany Lutheran School	id=g:6328252
School Number 2 (historical)	id=g:6328253
School Number 19 (historical)	id=g:6328254
School Number 13 (historical)	id=g:6328255
Baileys Schoolhouse (historical)	id=g:6328256
School Number 16 (historical)	id=g:6328257
School Number 8 (historical)	id=g:6328258
School Number 2 (historical)	id=g:6328259
School Number 14 (historical)	id=g:6328260
School Number 13 (historical)	id=g:6328261
School Number 12 (historical)	id=g:6328262
School Number 10 (historical)	id=g:6328263
School Number 9 (historical)	id=g:6328264
School Number 8 (historical)	id=g:6328265
School Number 1 (historical)	id=g:6328266
School Number 2 (historical)	id=g:6328267
School Number 2 (historical)	id=g:6328268
School Number 3 (historical)	id=g:6328269
School Number 5 (historical)	id=g:6328270
School Number 6 (historical)	id=g:6328271
Bruynswick School (historical)	id=g:6328272
Clintondale School (historical)	id=g:6328273
District School Number 7 (historical)	id=g:6328274
Galeville School (historical)	id=g:6328275
Marlborough School (historical)	id=g:6328276
Modena School (historical)	id=g:6328277
Ohioville School (historical)	id=g:6328278
Plattekill School (historical)	id=g:6328279
Plattekill School (historical)	id=g:6328280
Ulsterville School (historical)	id=g:6328281
Prestonburg Community College	id=g:6328282
American Indian Bible Institute	id=g:6328283
McNair Christian Academy	id=g:6328284
Whittier Presbyterian School	id=g:6328285
Indiana Boys School	id=g:6328286
Our Lady of the Greenwood School	id=g:6328287
West Hopewell School (historical)	id=g:6328288
Black Rock School (historical)	id=g:6328289
Huguenot School Number 1 (historical)	id=g:6328290
Huguenot School Number 2 (historical)	id=g:6328291
Prospect Hill School (historical)	id=g:6328292
Rio School (historical)	id=g:6328293
Sparrow Bush School (historical)	id=g:6328294
Bushville School (historical)	id=g:6328295
Greenville School (historical)	id=g:6328296
Minisink School (historical)	id=g:6328297
Minisink School Number 1 (historical)	id=g:6328298
Westtown School (historical)	id=g:6328299
Clineman School (historical)	id=g:6328300
School Number 2 (historical)	id=g:6328301
Albany School (historical)	id=g:6328302
Chester Academy	id=g:6328303
New York Training School For Boys	id=g:6328304
Circleville School (historical)	id=g:6328305
Mount Johnson School (historical)	id=g:6328306
Prosperous Valley School (historical)	id=g:6328307
Saint Thomas of Canterbury School	id=g:6328308
Cornwall Central Middle School	id=g:6328309
Cornwall Elemtary School	id=g:6328310
Cornwall-on-Hudson Elementary School	id=g:6328311
Storm King School	id=g:6328312
Willow Avenue Elementary School	id=g:6328313
Cornwall High School (historical)	id=g:6328314
Cornwall-on-the-Hudson High School (historical)	id=g:6328315
Raden School (historical)	id=g:6328316
Bethlehem School (historical)	id=g:6328317
Mount Airy School (historical)	id=g:6328318
Silver Stream School (historical)	id=g:6328319
South School (historical)	id=g:6328320
White School (historical)	id=g:6328321
Rogers Elementary School	id=g:6328322
Clear Creek School	id=g:6328323
Leighton Hall	id=g:6328324
Western Nevada Regional Youth Center	id=g:6328325
Early Childhood Center	id=g:6328326
Dakota County Technical College	id=g:6328327
Public School Number 213 Annex	id=g:6328328
Squaw Lake Elementary School	id=g:6328329
Nashwauk-Keewatin High School	id=g:6328330
Deer River High School	id=g:6328331
Marble Elementary School	id=g:6328332
Keewatin Elementary School	id=g:6328333
Green Valley School (historical)	id=g:6328334
Doe Creek Middle School	id=g:6328335
Sugar Creek Elementary School	id=g:6328336
Mount Comfort Elementary School	id=g:6328337
Brooklyn School For Special Children	id=g:6328338
Yeshivah Ohel Moshe	id=g:6328339
Fostertown School (historical)	id=g:6328340
Leptondale School (historical)	id=g:6328341
Orange Lake School (historical)	id=g:6328342
Hudson School (historical)	id=g:6328343
Huston School (historical)	id=g:6328344
Lincolndale School (historical)	id=g:6328345
Quaker Hill School (historical)	id=g:6328346
School Number 7 (historical)	id=g:6328347
School Number 12 (historical)	id=g:6328348
Sunny Acres School (historical)	id=g:6328349
Turkeytown School (historical)	id=g:6328350
Eaton School (historical)	id=g:6328351
Finchville School (historical)	id=g:6328352
Godeffroy School Number 12 (historical)	id=g:6328353
Brimestone School (historical)	id=g:6328354
Bullville School (historical)	id=g:6328355
Collabar School (historical)	id=g:6328356
Dickerson School (historical)	id=g:6328357
Kaisertown School (historical)	id=g:6328358
Searsville School (historical)	id=g:6328359
Union School (historical)	id=g:6328360
Holy Family Catholic High School	id=g:6328361
Mayer Lutheran High School	id=g:6328362
Zion Lutheran School	id=g:6328363
Saint Johns Roman Catholic School	id=g:6328364
Covington Latin School	id=g:6328365
Saint Benedict School	id=g:6328366
Holy Cross School	id=g:6328367
Holy Cross Parochial High School	id=g:6328368
Latonia Elementary School	id=g:6328369
Bromley Elementary School	id=g:6328370
Saint Francis High School	id=g:6328371
Saint Francis Junior High School	id=g:6328372
Saint Francis Elementary School	id=g:6328373
Trinity Lutheran School	id=g:6328374
Saint Francis Christian School	id=g:6328375
Crossroads School and Vocational Center	id=g:6328376
Temple Beth El School	id=g:6328377
Our Lady of Solace School	id=g:6328378
Lower Brushey Creek School (historical)	id=g:6328379
District School Number 6 (historical)	id=g:6328380
Plainedge School (historical)	id=g:6328381
Union Free School District Number 21 (historical)	id=g:6328382
Academy Elementary School	id=g:6328383
Albert Street Public School (historical)	id=g:6328384
Public School Number 8 (historical)	id=g:6328385
Liberty Street Public School (historical)	id=g:6328386
Memorial Grammer School	id=g:6328387
District Number 12 School (historical)	id=g:6328388
Orange County Community College	id=g:6328389
Twin Towers Middle School	id=g:6328390
Mechanicstown Elementary School	id=g:6328391
Bernadette Murphy Juvenile Detention	id=g:6328392
Lahontan Valley Alternative High School	id=g:6328393
Clark County School District Virtual High School	id=g:6328394
Academy for Individualized Study	id=g:6328395
Child Haven	id=g:6328396
Summit View Correctional Center	id=g:6328397
Elko Early Childhood Center	id=g:6328398
Jonathan Elementary School	id=g:6328399
Oak Grove School	id=g:6328400
Clinton Intermediate School	id=g:6328401
Our Saviour's Christian Academy	id=g:6328402
Northland Community and Technical College	id=g:6328403
Franklin Middle School	id=g:6328404
Challenger Elementary School	id=g:6328405
Goodridge High School	id=g:6328406
Saint Joseph's School	id=g:6328407
Lafayette High School	id=g:6328408
Hughes Elementary School	id=g:6328409
Plummer High School	id=g:6328410
Morris Morgenstern High School	id=g:6328411
Aniezer Yeshiva School	id=g:6328412
First Baptist Christian School	id=g:6328413
Park Rapids High School	id=g:6328414
New Century School	id=g:6328415
Frank White Elementary School	id=g:6328416
Nevis Public School	id=g:6328417
Walker Hackensack - Akeley School	id=g:6328418
Akeley Elementary School	id=g:6328419
Carlos Elementary School	id=g:6328420
Cook County Schools	id=g:6328421
Longville Elementary School	id=g:6328422
Lino Lakes Elementary School	id=g:6328423
Chaska High School	id=g:6328424
Southview Elementary School	id=g:6328425
Waconia Senior High School	id=g:6328426
Clearwater Middle School	id=g:6328427
Bayview Elementary School	id=g:6328428
Trinity Lutheran School	id=g:6328429
Saint Joseph Catholic School	id=g:6328430
Saint John's Lutheran School	id=g:6328431
Central Elementary School	id=g:6328432
Central High School	id=g:6328433
Christ Community Lutheran School	id=g:6328434
Watertown - Mayer Elementary School	id=g:6328435
Watertown - Mayer High School	id=g:6328436
Watertown - Mayer Middle School	id=g:6328437
District Number 17 School (historical)	id=g:6328438
District 16 School (historical)	id=g:6328439
Elwood Grade School (historical)	id=g:6328440
Cold Spring Harbor School (historical)	id=g:6328442
Half Hollow Hills School (historical)	id=g:6328443
Melville School (historical)	id=g:6328444
Lower Melville School (historical)	id=g:6328445
Saint Hugh's Parochial School (historical)	id=g:6328446
South Huntington School (historical)	id=g:6328447
Grand Street Public Shcool	id=g:6328448
Saint Patrick's Parochial School	id=g:6328449
Saint Patrick's High School	id=g:6328450
Montgomery Street School	id=g:6328451
Gidney Avenue Memorial School	id=g:6328452
Sacred Heart Roman Catholic School	id=g:6328453
Saint Francis of Assisi Elementary School	id=g:6328454
South Junior High School	id=g:6328455
Balmville Public School (historical)	id=g:6328456
Balmville Elementary School	id=g:6328457
Decatur Middle School	id=g:6328458
Dunbar Middle School	id=g:6328459
Elza R Tucker Elementary School	id=g:6328460
Fordyce Elementary School	id=g:6328461
Fox Meadow Intermediate Center	id=g:6328462
George Junior High School	id=g:6328463
Glen Rose Middle School	id=g:6328464
Clinton Intermediate School	id=g:6328465
Great Lakes School of Logging	id=g:6328466
Minnehaha School	id=g:6328467
Two Harbors High School	id=g:6328468
Northwoods Christian Academy	id=g:6328469
John A Johnson School	id=g:6328470
University of Saint Thomas	id=g:6328471
Southwest Christian High School	id=g:6328472
Saint Bernard Catholic School	id=g:6328473
Saint John's Lutheran School	id=g:6328474
Guardian Angels School	id=g:6328475
Chaska Elementary School	id=g:6328476
Brinkley Middle School	id=g:6328477
Brookland Intermediate School	id=g:6328478
Camden Fairview Intermediate School	id=g:6328479
Camden Fairview Middle School	id=g:6328480
Cedar Ridge High School	id=g:6328481
Centerpoint Intermediate School	id=g:6328482
Centerpoint Primary School	id=g:6328483
Central Park at Morning Star Elementary	id=g:6328484
Har-ber High School	id=g:6328485
Hasting Alpha Alternative School	id=g:6328486
Hellstern Middle School	id=g:6328487
Hillcrest High School	id=g:6328488
Hillcrest Junior High School	id=g:6328489
Jerry "Pop" Williams Elementary School	id=g:6328490
Joe T Robinson Middle School	id=g:6328491
Malvern Elementary School	id=g:6328492
Mansfield Middle School	id=g:6328493
Mary Mae Jones Elementary School	id=g:6328494
Maumelle Middle School	id=g:6328495
Mildred Jackson Elementary School	id=g:6328496
Oscar Hamilton Elementary School	id=g:6328497
Ozark 7th Grade School	id=g:6328498
Raider Open Door Academy	id=g:6328499
River Valley Elementary School	id=g:6328500
Ruth Doyle Intermediate School	id=g:6328501
School of the 21st Century	id=g:6328502
Summit School	id=g:6328503
Valley Springs Middle School	id=g:6328504
Walker Pre-K Center	id=g:6328505
Washington Middle School	id=g:6328506
Madison University High School	id=g:6328507
Alliance School of Milwaukee	id=g:6328508
Thirty-fourth Avenue Fine and Performing Arts Magnet School	id=g:6328509
Black Stump School (historical)	id=g:6328510
Brickbat School (historical)	id=g:6328511
Commack Grade School (historical)	id=g:6328512
District Number 7 Union Free School (historical)	id=g:6328513
Prior Lake Senior High School	id=g:6328514
Hidden Oaks Middle School	id=g:6328515
Pond's Edge Elementary School	id=g:6328516
Prior Lake Christian School	id=g:6328517
Grainwood Elementary School	id=g:6328518
Saint Paul's Lutheran School	id=g:6328519
Saint John the Baptist Catholic School	id=g:6328520
Marion W Savage Elementary School	id=g:6328521
Harriet Bishop Elementary School	id=g:6328522
Hidden Valley Elementary School	id=g:6328523
Eagle Ridge Junior High School	id=g:6328524
Glendale Elementary School	id=g:6328525
Sarah A Scott Middle School	id=g:6328526
Samuel Morse Middle School	id=g:6328527
Andrew S Douglas Community Academy (historical)	id=g:6328528
Victory K-8 School	id=g:6328529
Gilbert Stuart Elementary School	id=g:6328530
Emerson Elementary School	id=g:6328531
Sweeney Elementary School	id=g:6328532
Shakopee Senior High School	id=g:6328533
Shakopee Junior High School	id=g:6328534
Pearson Elementary School	id=g:6328535
Sun Path Elementary School	id=g:6328536
Chaska Middle School	id=g:6328537
Saint Hubert Catholic School	id=g:6328538
Minnetonka West Middle School	id=g:6328539
Chanhassen Elementary School	id=g:6328540
Bluff Creek Elementary School	id=g:6328541
Altheimer Middle School	id=g:6328542
Arkansas School for Info and Technology	id=g:6328543
Bayyari Elementary School	id=g:6328544
Blytheville Charter School	id=g:6328545
Blytheville Intermediate School	id=g:6328546
Blytheville Kindergarten Center School	id=g:6328547
Blytheville Middle School	id=g:6328548
Blytheville Primary School	id=g:6328549
Renaissance High School of Musical Theater and Technology	id=g:6328550
Readnet Bronx Charter School (historical)	id=g:6328551
Science, Technology And Research High School	id=g:6328552
All Saints Parochial School	id=g:6328553
Pacific Christian High School	id=g:6328554
New Prague Intermediate School	id=g:6328555
New Prague Middle School	id=g:6328556
New Prague Primary School	id=g:6328557
New Prague Senior High School	id=g:6328558
Saint Wenceslaus School	id=g:6328559
Belle Plaine Senior High School	id=g:6328560
Belle Plaine Elementary School	id=g:6328561
Belle Plaine Junior High School	id=g:6328562
Our Lady of the Prairie School	id=g:6328563
Jordan Middle School	id=g:6328564
Jordan High School	id=g:6328565
Jordan Elementary School	id=g:6328566
Atlantic Shores Christian School	id=g:6328567
Tidewater Junior Academy	id=g:6328568
Shipyard School (historical)	id=g:6328569
Cornland School (historical)	id=g:6328570
Norfolk Highlands Primary School	id=g:6328571
Glenwood Elementary School	id=g:6328572
Tallwood Elementary School	id=g:6328573
Tallwood High School	id=g:6328574
W Skinner School (historical)	id=g:6328575
W E Biddle School (historical)	id=g:6328576
Great Neck School (historical)	id=g:6328577
Mount Bethel School (historical)	id=g:6328578
Milwaukee French Immersion School	id=g:6328579
James River Elementary School	id=g:6328580
Milwaukee Sign Language Elementary School	id=g:6328581
Tomahawk School (historical)	id=g:6328582
Bailey Charter Elementary School	id=g:6328583
Academy for Career Education	id=g:6328584
High Desert Montessori School	id=g:6328585
High Desert Montessori School	id=g:6328586
Mariposa Academy of Language and Learning	id=g:6328587
Rainshadow Community Charter High School	id=g:6328588
Nevada State High School	id=g:6328589
Silver State High School	id=g:6328590
Team A School	id=g:6328591
Carson Montessori School	id=g:6328592
Sierra Crest Academy	id=g:6328593
Halima Academy	id=g:6328594
Peninsula Workforce Development Center	id=g:6328595
Kiln Creek Elementary School	id=g:6328596
Denbigh High School	id=g:6328597
Owens School (historical)	id=g:6328598
Church School (historical)	id=g:6328599
Clove School (historical)	id=g:6328600
River School Number 1 (historical)	id=g:6328601
Guardian Angel School	id=g:6328602
Campbell Hall School (historical)	id=g:6328603
Scotchtown School (historical)	id=g:6328604
Kirbytown School (historical)	id=g:6328605
Rockville School (historical)	id=g:6328606
Van Burenville School (historical)	id=g:6328607
Mechanicstown School	id=g:6328608
Bethpage School (historical)	id=g:6328609
Carnegie Institution of Washington School of Genetics (historical)	id=g:6328610
North Shore School (historical)	id=g:6328611
John F Kennedy Elementary School	id=g:6328612
Imagination Station	id=g:6328613
Forest Avenue Elementary School	id=g:6328614
Country High School	id=g:6328615
Elyton Elementary School (historical)	id=g:6328616
Hebrew Technical Institute (historical)	id=g:6328617
Intermediate School 275 (historical)	id=g:6328618
KIPP Star College Prep Charter School	id=g:6328619
Manhattan Hunter Science High School	id=g:6328620
Brooklyn Latin School	id=g:6328621
Visalia Elementary School (historical)	id=g:6328622
Stanfordburg School (historical)	id=g:6328623
Visalia Hill School (historical)	id=g:6328624
Visalia School (historical)	id=g:6328625
Chrestley School (historical)	id=g:6328626
Hayes School (historical)	id=g:6328627
Covington Catholic High School	id=g:6328628
James D Patton Vocational School	id=g:6328629
Ludlow High School	id=g:6328630
Truckee Meadows School	id=g:6328631
Truckee Meadows Christian Academy	id=g:6328632
Teen Challenge of Nevada	id=g:6328633
Stepping Stones Childrens Center	id=g:6328634
Thomas Edison Elementary School	id=g:6328635
Riddle School (historical)	id=g:6328636
Mary Queen of Heaven School	id=g:6328637
A M Yealey Elementary School	id=g:6328638
Boone County Vocational School	id=g:6328639
Burlington Elementary School	id=g:6328640
Conner Middle School	id=g:6328641
Florence Elementary School	id=g:6328642
Ockerman Elementary School	id=g:6328643
Ockerman Middle School	id=g:6328644
R A Jones Middle School	id=g:6328645
Heritage Academy	id=g:6328646
Saint Paul Elementary School	id=g:6328647
Dream Academy	id=g:6328648
Lubbock Army Flying School (historical)	id=g:6328649
Smithfield High School	id=g:6328650
Jolliff School (historical)	id=g:6328651
I Can Do Anything Charter High School	id=g:6328652
Odyssey Charter Schools	id=g:6328653
Sierra Nevada Academy	id=g:6328654
Coral Academy of Science	id=g:6328655
Mountain View Montessori School	id=g:6328656
New Beginnings Child Development Center	id=g:6328657
Safe Harbor Church School	id=g:6328658
Sage Ridge School	id=g:6328659
Sierra Nevada High School	id=g:6328660
Saint Marys Childrens Garden	id=g:6328661
Scarlet Oaks Career Developmental Campus	id=g:6328662
Our Lady of Perpetual Help School (historical)	id=g:6328663
Alliance Academy of Cincinnati	id=g:6328664
International College Preparatory Academy	id=g:6328665
Orion Academy	id=g:6328666
Maude Booth Academy	id=g:6328667
Fifth District School (historical)	id=g:6328668
John W Miles Elementary School	id=g:6328669
Howell Elementary School	id=g:6328670
Arnett Elementary School	id=g:6328671
Turkey Foot Junior High School	id=g:6328672
R C Hinsdale Elementary School	id=g:6328673
Glen O Swing Elementary School	id=g:6328674
Third District School	id=g:6328675
Prince of Peace Catholic School	id=g:6328676
Two Rivers Middle School	id=g:6328677
Eighth District School	id=g:6328678
James A Cawood Elementary School	id=g:6328679
Redwood School	id=g:6328680
Calvary Christian School	id=g:6328681
Scott High School	id=g:6328682
Dohn Community High School	id=g:6328683
Harmony Community School	id=g:6328684
Flora School (historical)	id=g:6328685
Leavitson School (historical)	id=g:6328686
School Number 13 (historical)	id=g:6328687
Winsome Hill School (historical)	id=g:6328688
Beechgrove Elementary School	id=g:6328689
Kenton Elementary School	id=g:6328690
Twenhofel Middle School	id=g:6328691
Whites Tower Elementary School	id=g:6328692
Saint Cecilia School	id=g:6328693
Newport High School	id=g:6328694
Newport Middle School	id=g:6328695
Saint Anthonys School (historical)	id=g:6328696
McCormick Vocational School	id=g:6328697
Saint Mary School	id=g:6328698
Landrum Academic Center	id=g:6328699
Crossroads Learning Center	id=g:6328700
Faith Christian Academy	id=g:6328701
Grace Christian Academy	id=g:6328702
