Victory Primitive Methodist Church	id=g:7184261
Western Pennsylvania School for the Blind	id=g:7184494
Wilson Christian Academy	id=g:7184495
Winchester Thurston School	id=g:7184496
Winchester Thurston School North	id=g:7184497
Woolslair Elementary School	id=g:7184498
Woolslair Gifted Center	id=g:7184499
Word of God Elementary School	id=g:7184500
Yeshiva Achei Tmimim School	id=g:7184501
Yeshiva School	id=g:7184502
Neil Armstrong Middle School	id=g:7184503
White Lily Baptist Church	id=g:7184504
Whitehall Church of Christ	id=g:7184505
Whole Truth Church of God in Christ	id=g:7184506
Whosoever Wills Church	id=g:7184507
Widening Horizons Initiative Church	id=g:7184508
Wilson Presbyterian Church	id=g:7184509
Windover Hills United Methodist Church	id=g:7184510
Word and Worship Fellowship Church	id=g:7184511
Word of God Church	id=g:7184512
Word of Life Family Worship Center	id=g:7184513
World Harvest Bible Church	id=g:7184514
World Overcomers Ministry	id=g:7184515
Wrights United Methodist Church	id=g:7184516
Young Peoples Synagogue	id=g:7184517
Younglife South Hills	id=g:7184518
Zion Baptist Church	id=g:7184519
Zion Christian Church	id=g:7184520
Zion Hill Full Gospel Baptist Church	id=g:7184521
Zion Lutheran Church	id=g:7184522
Zion Lutheran Church	id=g:7184523
Allegheny University-Forbes Regional Hospital	id=g:7184524
Citizens General Hospital	id=g:7184525
Jeanette District Memorial Hospital	id=g:7184526
Jefferson Regional Medical Center	id=g:7184527
Lifecare Hospital at Pittsburgh	id=g:7184528
Monsour Hospital Clinic (historical)	id=g:7184529
Monsour Medical Center (historical)	id=g:7184530
Sewickley Valley Hospital	id=g:7184531
University of Pittsburgh Medical Center	id=g:7184532
UPMC Braddock Medical Center	id=g:7184533
UPMC McKeesport Hospital	id=g:7184534
UPMC Montefiore Hospital	id=g:7184535
UPMC Passavant Hospital	id=g:7184536
UPMC Rehabilitation Hospital	id=g:7184537
UPMC Saint Margaret Hospital	id=g:7184538
Veterans Administration Hosptial	id=g:7184539
Westmoreland Regional Hospital	id=g:7184540
Beaver Valley Mall Shopping Center	id=g:7184541
Century Square Mall Shopping Center	id=g:7184542
Century Square Plaza Shopping Center	id=g:7184543
Chartiers Valley Shopping Center	id=g:7184544
Cranberry Commons Shopping Center	id=g:7184545
Cranberry Mall Shopping Center	id=g:7184546
Eastland Mall and Marketplace Shopping Center	id=g:7184547
Edgewood Towne Center Shopping Center	id=g:7184548
Heights Plaza Shopping Center	id=g:7184549
Hempfield Plaza Shopping Center	id=g:7184550
Hillcrest Shopping Center	id=g:7184551
McIntyre Square Shopping Center	id=g:7184552
North Hills Village Mall Shopping Center	id=g:7184553
North Huntingdon Square Shopping Center	id=g:7184554
Northern Lights Shopping Center	id=g:7184555
Penn Hills Shopping Center	id=g:7184556
Pittsburgh Mills Shopping Center	id=g:7184557
Plaza at Robinson Town Centre Shopping Center	id=g:7184558
Robinson Towne Centre Shopping Center	id=g:7184559
Ross Park Mall Shopping Center	id=g:7184560
South Hills Village Shopping Center	id=g:7184561
Strabane Square Shopping Center	id=g:7184562
The Mall at Robinson Shopping Center	id=g:7184563
The Waterfront Shopping Center	id=g:7184564
Village Square Shopping Center	id=g:7184565
Washington Crown Center Shopping Center	id=g:7184566
Washington Mall Shopping Center	id=g:7184567
Washington Square Shopping Center	id=g:7184568
Waterworks Mall Shopping Center	id=g:7184569
Assumption Commons	id=g:7184570
Gesling Stadium and Athletic Field	id=g:7184571
Gumberg Green Space	id=g:7184572
Mellon Square Park	id=g:7184573
Schenley Plaza	id=g:7184574
Sennott Square	id=g:7184575
Aliquippa Post Office	id=g:7184576
Allegheny Post Office	id=g:7184577
Allison Park Post Office	id=g:7184578
Ambridge Post Office	id=g:7184579
Arnold Post Office	id=g:7184580
Arsenal Post Office	id=g:7184581
Atlasburg Post Office	id=g:7184582
Baden Post Office	id=g:7184583
Belle Vernon Branch Post Office	id=g:7184584
Bellevue Post Office	id=g:7184585
Bentleyville Post Office	id=g:7184586
Bethel Park Post Office	id=g:7184587
Blawnox Post Office	id=g:7184588
Bloomfield Post Office	id=g:7184589
Boston Post Office	id=g:7184590
Brackenridge Post Office	id=g:7184591
Braddock Post Office	id=g:7184592
Bradford Woods Post Office	id=g:7184593
Bridgeville Post Office	id=g:7184594
Brookline Post Office	id=g:7184595
Bulger Post Office	id=g:7184596
Callery Post Office	id=g:7184597
Canonsburg Post Office	id=g:7184598
Carson Post Office	id=g:7184599
Cecil Post Office	id=g:7184600
Cedarhurst Post Office	id=g:7184601
Central Highlands Post Office	id=g:7184602
Central Station Washington Post Office	id=g:7184603
Charleroi Post Office	id=g:7184604
Cheswick Post Office	id=g:7184605
Clairton Post Office	id=g:7184606
Claridge Post Office	id=g:7184607
Connoquenessing Post Office	id=g:7184608
Conway Post Office	id=g:7184609
Coraopolis Post Office	id=g:7184610
Corliss Post Office	id=g:7184611
Crafton Post Office	id=g:7184612
Cranberry Township Post Office	id=g:7184613
Creighton Post Office	id=g:7184614
Delmont Post Office	id=g:7184615
Donora Post Office	id=g:7184616
Dravosburg Post Office	id=g:7184617
Duquesne Post Office	id=g:7184618
East Liberty Post Office	id=g:7184619
East McKeesport Post Office	id=g:7184620
Elizabeth Post Office	id=g:7184621
Elrama Post Office	id=g:7184622
Etna Post Office	id=g:7184623
Evans City Post Office	id=g:7184624
Export Post Office	id=g:7184625
Finleyville Post Office	id=g:7184626
Fourth Avenue Post Office	id=g:7184627
Freedom Post Office	id=g:7184628
Freeport Post Office	id=g:7184629
Gateway Center Post Office	id=g:7184630
Gibsonia Post Office	id=g:7184631
Glassport Post Office	id=g:7184632
Glenshaw Post Office	id=g:7184633
Grant Street Post Office	id=g:7184634
Harwick Post Office	id=g:7184635
Hazelwood Post Office	id=g:7184636
Herminie Post Office	id=g:7184637
Hickory Post Office	id=g:7184638
Homestead Post Office	id=g:7184639
Homewood Post Office	id=g:7184640
Houston Post Office	id=g:7184641
Irwin Post Office	id=g:7184642
Jeannette Post Office	id=g:7184643
Langeloth Post Office	id=g:7184644
Large Post Office	id=g:7184645
Lower Burrell Post Office	id=g:7184646
MacArthur Post Office	id=g:7184647
Manor Post Office	id=g:7184648
Mars Post Office	id=g:7184649
McDonald Post Office	id=g:7184650
McKees Rocks Post Office	id=g:7184651
McKnight Post Office	id=g:7184652
McMurray Post Office	id=g:7184653
Midway Post Office	id=g:7184654
Millvale Post Office	id=g:7184655
Monaca Post Office	id=g:7184656
Monessen Post Office	id=g:7184657
Monongahela Post Office	id=g:7184658
Monroeville Post Office	id=g:7184659
Mount Lebanon Post Office	id=g:7184660
Mount Oliver Post Office	id=g:7184661
Mount Washington Post Office	id=g:7184662
Munhall Post Office	id=g:7184663
Muse Post Office	id=g:7184664
Natrona Heights Post Office	id=g:7184665
Neville Island Post Office	id=g:7184666
New Eagle Post Office	id=g:7184667
New Kensington Post Office	id=g:7184668
North Huntingdon Post Office	id=g:7184669
North Versailles Post Office	id=g:7184670
Oakdale Post Office	id=g:7184671
Oakland Post Office	id=g:7184672
Oakmont Post Office	id=g:7184673
Parnassus Post Office	id=g:7184674
Penn Hills Post Office	id=g:7184675
Presto Post Office	id=g:7184676
Rochester Post Office	id=g:7184677
Russellton Post Office	id=g:7184678
Sarver Post Office	id=g:7184679
Saxonburg Post Office	id=g:7184680
Sewickley Post Office	id=g:7184681
Sharpsburg Post Office	id=g:7184682
Slovan Post Office	id=g:7184683
South Heights Post Office	id=g:7184684
South Hills Post Office	id=g:7184685
South Park Post Office	id=g:7184686
Springdale Post Office	id=g:7184687
Squirrel Hill Post Office	id=g:7184688
Strabane Post Office	id=g:7184689
Swissvale Post Office	id=g:7184690
Trafford Post Office	id=g:7184691
Turtle Creek Post Office	id=g:7184692
Uptown Pittsburgh Post Office	id=g:7184693
Valencia Post Office	id=g:7184694
Venetia Post Office	id=g:7184695
Verona Post Office	id=g:7184696
Village Post Office	id=g:7184697
Wabash Post Office	id=g:7184698
West Newton Post Office	id=g:7184699
West View Post Office	id=g:7184700
Westmoreland City Post Office	id=g:7184701
Wexford Post Office	id=g:7184702
Wilkinsburg Finance Post Office	id=g:7184703
Wilmerding Post Office	id=g:7184704
Wylie Post Office	id=g:7184705
Abraxas High School	id=g:7184706
Abraxas III School	id=g:7184707
Agape Learning Center	id=g:7184708
Allegheny County Day School	id=g:7184709
Allegheny Traditional Middle School	id=g:7184710
Aquinas Academy	id=g:7184711
Arsenal Middle School	id=g:7184712
Ascension School of the Community	id=g:7184713
Auberle Education Center	id=g:7184714
Banksville Elementary School	id=g:7184715
Beaver County Adult Vocational Technical School	id=g:7184716
Beaver County Christian -West Park Elementary School	id=g:7184717
Beaver Valley Christian Academy	id=g:7184718
Beaver Valley Montessori School	id=g:7184719
Beaver Valley Number 27 School	id=g:7184720
Bellwood Kindergarten	id=g:7184721
Bentleyville Public Library	id=g:7184722
Better Beginnings Child Daycare Center	id=g:7184723
Bide-A-Wee Day Care Center	id=g:7184724
Bishop McDowell School	id=g:7184725
Bradley School	id=g:7184726
Bradley School	id=g:7184727
Bradley School South	id=g:7184728
Brookline Regional Catholic Elementary School	id=g:7184729
Byzantine Catholic Seminary of Saints Cyril and Methodius	id=g:7184730
Calvary Baptist Nursery and Kindergarten	id=g:7184731
Calvary Christian School and Kindergarten	id=g:7184732
Cardinal Maida Academy	id=g:7184733
Carmalt Science and Technology Elementary School	id=g:7184734
Central Academy	id=g:7184735
Chatham Elementary School	id=g:7184736
Cheswick Christian Academy	id=g:7184737
Childrens Institute of Pittsburgh	id=g:7184738
Childrens School of Washington	id=g:7184739
Christ the Divine Teacher Catholic Academy	id=g:7184740
Christ the Divine Teacher School	id=g:7184741
Chum Nursery School	id=g:7184742
Circle C Youth and Family Center	id=g:7184743
Colfax Spanish Elementary School	id=g:7184744
Columbus Middle School	id=g:7184745
Community Child Development Center	id=g:7184746
Community School West	id=g:7184747
Community Specialists of Allegheny Academy	id=g:7184748
Conroy Education Center	id=g:7184749
Cornerstone Leadership Academy	id=g:7184750
Craig Academy	id=g:7184751
Craig Academy Elementary School of Sharpsburg	id=g:7184752
Crossroads Preschool	id=g:7184753
Dean Institute of Technology	id=g:7184754
Deliverance Temple Ministries Roots Christian Academy	id=g:7184755
Dilworth Traditional Elementary School	id=g:7184756
Divine Mercy Academy	id=g:7184757
Divine Redeemer School	id=g:7184758
Dominion Christian Academy	id=g:7184759
Early Learning Institute	id=g:7184760
Early Learning Institute	id=g:7184761
Early Learning Institute	id=g:7184762
East Liberty Education Center	id=g:7184763
Eden Christian Academy	id=g:7184764
Eden Christian Academy	id=g:7184765
Eden Christian Academy of Wexford	id=g:7184766
Education Center at Watson Institute	id=g:7184767
Elizabeth Seton Regional Catholic School	id=g:7184768
Eloise and Edith School	id=g:7184769
Ewing Hills Preschool	id=g:7184770
Faison Arts Elementary School	id=g:7184771
Faith Christian Academy	id=g:7184772
Faith Christian School	id=g:7184773
Faith Christian School of Washington	id=g:7184774
Faith Preparatory Academy	id=g:7184775
Forest Hills Nursery School	id=g:7184776
Fox Chapel Country Day School	id=g:7184777
Garden Montessori School	id=g:7184778
Gateway To The Arts School	id=g:7184779
Good Shepherd School	id=g:7184780
Grace Christian School	id=g:7184781
Greater Allen Christian Academy	id=g:7184782
Greater Works Christian School	id=g:7184783
Greensburg Central Catholic High School	id=g:7184784
Gwens Montessori School	id=g:7184785
Harty Bible School	id=g:7184786
Harvest Baptist Academy	id=g:7184787
Heritage Baptist Academy	id=g:7184788
Hillcrest Christian Academy	id=g:7184789
Hillel Academy of Pittsburgh	id=g:7184790
Holiday Farms Country Day School	id=g:7184791
Holy Child Catholic School	id=g:7184792
Holy Child Nursery School	id=g:7184793
Holy Child Parish School	id=g:7184794
Holy Family Day School	id=g:7184795
Holy Family Institute	id=g:7184796
Holy Rosary School	id=g:7184797
Holy Spirit Catholic Elementary School	id=g:7184798
Holy Trinity School	id=g:7184799
Homestead Park United Methodist Church Kindergarten	id=g:7184800
Homewood Montessori Elementary School	id=g:7184801
Hope Christian Academy	id=g:7184802
Huntington Learning Center	id=g:7184803
Huntington Learning Center	id=g:7184804
Huntington Learning Center	id=g:7184805
Huntington Learning Center	id=g:7184806
Immanuel Lutheran Church Preschool	id=g:7184807
Incarnation Catholic Parish Academy	id=g:7184808
Intermediate Unit 1 School	id=g:7184809
Jewish Community Center Nursery and Kindergarten	id=g:7184810
John F Kennedy School	id=g:7184811
John J McLean Junior School	id=g:7184812
Just Us Kids Day Care Center	id=g:7184813
Kentucky Avenue School	id=g:7184814
Kiddies Korner Nursery School	id=g:7184815
Laboratory School	id=g:7184816
Lincoln Park Performing Arts Charter School	id=g:7184817
Madonna Catholic Regional School	id=g:7184818
Madonna Catholic Regional School	id=g:7184819
Madonna Junion High Regional School	id=g:7184820
Maimonides Academy of Pitttsburgh	id=g:7184821
Manchester Academic Charter School	id=g:7184822
Mary Queen of Apostles School	id=g:7184823
Mary Queen of Apostles School	id=g:7184824
McGuire Memorial School	id=g:7184825
McKeesport Area Alternative Education Center	id=g:7184826
McKeesport Area Technical Center	id=g:7184827
Mel Blount Leadership Academy	id=g:7184828
Middle Gifted Center	id=g:7184829
Milliones Middle School	id=g:7184830
Montessori Centre Academy	id=g:7184831
Montessori Childrens Schoolhouse	id=g:7184832
Morningside Elementary School	id=g:7184833
Morrow Elementary School	id=g:7184834
Mother Goose Nursery and Kindergarten	id=g:7184835
Mother of Sorrows School	id=g:7184836
Newtonville United Methodist Church	id=g:7184837
Newtonville School (historical)	id=g:7184838
Clinton Arena	id=g:7184839
Pepsi Center	id=g:7184840
Grammercy Park	id=g:7184841
Keshaechquereren (historical)	id=g:7184842
Konaande Kongh (historical)	id=g:7184843
Keskeskick (historical)	id=g:7184844
Minetta Brook (historical)	id=g:7184845
Gracie Square	id=g:7184846
Freakatorium (historical)	id=g:7184847
Mary Help of Christians Roman Catholic Church (historical)	id=g:7184848
Mary Help of Christians School (historical)	id=g:7184849
Our Lady of Vilnus Roman Catholic Church (historical)	id=g:7184850
Metropolitan Community Church	id=g:7184851
Mount Calvary Family Worship Center	id=g:7184852
Mountain Springs Community Church	id=g:7184853
Murray Mansion-Murray Chapel	id=g:7184854
Murray Park Church of Christ	id=g:7184855
New Song Church of Salt Lake	id=g:7184856
Newman Center	id=g:7184857
Our Lady of Help Perpetual Church	id=g:7184858
Presbytery of Utah	id=g:7184859
Saint Martin de Porres Church	id=g:7184860
Saint Matthews Lutheran Church	id=g:7184861
Saints Peter and Paul Orthodox Christian Church	id=g:7184862
Salt Lake City Chinese Christian Church	id=g:7184863
Salt Lake City Mission	id=g:7184864
Second Church of Christ Scientist	id=g:7184865
Slavic Evangelical Baptist Church	id=g:7184866
Soka Gakkai International Church	id=g:7184867
South Valley Unitarian Universalist Society	id=g:7184868
The Old Meeting House	id=g:7184869
Third Church of Christ Scientist	id=g:7184870
To-Ae-Ofa United Methodist Church	id=g:7184871
Unity Baptist Church	id=g:7184872
Utah Campus Community Church	id=g:7184873
Utah Oriental Mission Church	id=g:7184874
Benchmark Behavioral Health Systems	id=g:7184875
BHC Olympus View Hospital	id=g:7184876
Copper Hills Youth Center	id=g:7184877
Davis Hospital and Medical Center	id=g:7184878
Diabetes Treatment Center at Holy Cross Hospital	id=g:7184879
George S-Delores D Eccles Critical Care Pavilion	id=g:7184880
Health South Surgery Center of Park City	id=g:7184881
Healthsouth Provo Surgical Center	id=g:7184882
Healthsouth Rehabilitation Hospital of Utah	id=g:7184883
Healthsouth Salt Lake Surgical Center	id=g:7184884
Hospital Klean of Texas	id=g:7184885
Huntsman Cancer Hospital	id=g:7184886
Intermountain Health Care Hospital	id=g:7184887
Intermountain Surgical Center	id=g:7184888
Salt Lake Regional Medical Center	id=g:7184889
University Health Care Center	id=g:7184890
University of Utah Orthopedic Clinic	id=g:7184891
University of Utah Psychoeducational Clinic	id=g:7184892
Alta View Center Shopping Center	id=g:7184893
Antelope Square Shopping Center	id=g:7184894
Arbor Park Shopping Center	id=g:7184895
Briarwood Center Shopping Center	id=g:7184896
Brighton Pointe Shopping Center	id=g:7184897
Clearfield City Shops Shopping Center	id=g:7184898
Crosstowne Center Shopping Center	id=g:7184899
Draper Crossing Shopping Center	id=g:7184900
Factory Stores of America Shopping Center	id=g:7184901
Gardner Historic Village Shopping Center	id=g:7184902
Gateway Crossings Shopping Center	id=g:7184903
Hidden Valley Shopping Center	id=g:7184904
High Point Shopping Center	id=g:7184905
Holladay Village Center Shopping Center	id=g:7184906
Interpointe Shopping Center	id=g:7184907
Jordan Commons Shopping Center	id=g:7184908
Jordan Landing Shopping Center	id=g:7184909
Jordan Square Shopping Center	id=g:7184910
Layton Hills Mall Shopping Center	id=g:7184911
Layton Village Center Shopping Center	id=g:7184912
Legacy Plaza Shopping Center	id=g:7184913
Little Cottonwood Shopping Center	id=g:7184914
Mesa Park Plaza Shopping Center	id=g:7184915
Park Centre Shopping Center	id=g:7184916
Redwood Village Shopping Center	id=g:7184917
Renaissance Towne Center Shopping Center	id=g:7184918
River Pointe Plaza Shopping Center	id=g:7184919
Riverdale Shopping Center	id=g:7184920
Sandy Center Shopping Center	id=g:7184921
Shepard Creek Towne Center Shopping Center	id=g:7184922
South Ogden City Center Shopping Center	id=g:7184923
Sugar House Commons Shopping Center	id=g:7184924
The Gateway Shopping Center	id=g:7184925
West Jordan Mall Shopping Center	id=g:7184926
West Point Shopping Center	id=g:7184927
West Valley Shopping Center	id=g:7184928
Willow Wood Shopping Center	id=g:7184929
Big Bear Park	id=g:7184930
Big Cottonwood Barrier Free Park	id=g:7184931
Big Cottonwood Regional Park	id=g:7184932
Bonneville Park	id=g:7184933
Clinton City Park	id=g:7184934
Cottonwood Regional Park	id=g:7184935
Crestwood Park	id=g:7184936
Detention Basin Park	id=g:7184937
Dewey Bluth Park	id=g:7184938
Dimple Dell Park	id=g:7184939
George S Eccles Dinosaur Park	id=g:7184940
Hillview Detention Basin Park	id=g:7184941
Island View Park	id=g:7184942
Jaycee Park	id=g:7184943
Layton Heritage Museum Ed Kenly Centennial Amphitheater	id=g:7184944
