Kya-aik	id=g:1317508
Kunhnachet	id=g:1317818
Kunhkyet	id=g:1317819
Kunhkan	id=g:1317820
Kunhkan	id=g:1317821
Kunhkam	id=g:1317822
Kun-hka	id=g:1317823
Kun Hka	id=g:1317824
Kun-hio	id=g:1317825
Kunhing	id=g:1317826
Kunhee	id=g:1317827
Kunhawt	id=g:1317828
Kunhawt	id=g:1317829
Kunhat	id=g:1317830
Kunhai-long	id=g:1317831
Kunhai	id=g:1317832
Kungyi Chaung	id=g:1317833
Kungyaungwa	id=g:1317834
Kungyaung Taung	id=g:1317835
Kungyaunggyi Chaung	id=g:1317836
Kungyaunggyi	id=g:1317837
Kungyaunggale Chaung	id=g:1317838
Kungyaunggale	id=g:1317839
Kungyaung	id=g:1317840
Kungyanzu	id=g:1317841
Kungyangon	id=g:1317842
Kungyangon	id=g:1317843
Kungyangon	id=g:1317844
Kungyangôn	id=g:1317845
Kungyangôn	id=g:1317846
Kungyan	id=g:1317847
Kungyan	id=g:1317848
Kungyan	id=g:1317849
Kungyan	id=g:1317850
Kungyan	id=g:1317851
Kungwit	id=g:1317852
Kungwet	id=g:1317853
Kungtsa	id=g:1317854
Kungteng	id=g:1317855
Kungsong	id=g:1317856
Kungsan	id=g:1317857
Kungsam	id=g:1317858
Kungpau	id=g:1317859
Kungpao	id=g:1317860
Kungnyawng	id=g:1317861
Kung Nyawng	id=g:1317862
Kungmöng	id=g:1317863
Kungmong	id=g:1317864
Kungmong	id=g:1317865
Kunglom	id=g:1317866
Kūnglom	id=g:1317867
Kung-leng	id=g:1317868
Kungkut	id=g:1317869
Kung-kaw	id=g:1317870
Kungkaw	id=g:1317871
Kungkat	id=g:1317872
Kūnghsāng	id=g:1317873
Kunghsa	id=g:1317874
Kunghsa	id=g:1317875
Kunghsa	id=g:1317876
Kunghsa	id=g:1317877
Kunghsa	id=g:1317878
Kunghsa	id=g:1317879
Kunghkam	id=g:1317880
Kunghka	id=g:1317881
Kungezon	id=g:1317882
Kunge Yo	id=g:1317883
Kungawi Bum	id=g:1317884
Nam Kung	id=g:1317885
Nam Kūng	id=g:1317886
Nam Kung	id=g:1317887
Nam Kung	id=g:1317888
Nam Küng	id=g:1317889
Kundwinyer He	id=g:1317890
Kundwin Nyu	id=g:1317891
Kundwin He Pu-nyu	id=g:1317892
Kundwin He-mu	id=g:1317893
Kundukawng	id=g:1317894
Kundawsan	id=g:1317895
Kundaw	id=g:1317896
Kundaw	id=g:1317897
Kundaw	id=g:1317898
Kundaw	id=g:1317899
Kundaw	id=g:1317900
Kundaung	id=g:1317901
Kundaung	id=g:1317902
Kundaung	id=g:1317903
Kundainggyi	id=g:1317904
Kundainggale	id=g:1317905
Kundaing	id=g:1317906
Kundaing	id=g:1317907
Kundaing	id=g:1317908
Kundaing	id=g:1317909
Kunda	id=g:1317910
Kunchong	id=g:1317911
Kunchaung Reserved Forest	id=g:1317912
Kunchaung Reserved Forest	id=g:1317913
Kunchaung Chaung	id=g:1317914
Kun Chaung	id=g:1317915
Kun Chaung	id=g:1317916
Kun Chaung	id=g:1317917
Kun Chaung	id=g:1317918
Kun Chaung	id=g:1317919
Kun Chaung	id=g:1317920
Kun Chaung	id=g:1317921
Kun Chaung	id=g:1317922
Kunchaung	id=g:1317923
Kunchaung	id=g:1317924
Kunchaung	id=g:1317925
Kun Chaung	id=g:1317926
Kunbyo Taungdan	id=g:1317927
Kunbyo	id=g:1317928
Kunbudaw	id=g:1317929
Kunbinye Sakan	id=g:1317930
Kunbin	id=g:1317931
Kunbaw-zayatseik	id=g:1317932
Kunbaw-nattawsu	id=g:1317933
Kunbaung-ywa	id=g:1317934
Kunbaung Chaung	id=g:1317935
Kunbaung	id=g:1317936
Kunaw Le	id=g:1317937
Kun-aing	id=g:1317938
Nam Kun	id=g:1317939
Nam Kun	id=g:1317940
Loi Kun	id=g:1317941
Kumyang Ga	id=g:1317942
Kumudo	id=g:1317943
Kumtungkaba	id=g:1317944
Kumtung Ga	id=g:1317945
Kumtung Bum	id=g:1317946
Kumtsawngtsa	id=g:1317947
Kumtsan Ga	id=g:1317948
Kumti Ga	id=g:1317949
Kumthat	id=g:1317950
Kumteng	id=g:1317951
Kumstai	id=g:1317952
Kumshan Gahtawng	id=g:1317953
Kumsau Ga	id=g:1317954
Kumsaihku	id=g:1317955
Kumsai Hka	id=g:1317956
Kumsai	id=g:1317957
Kumreng Razi	id=g:1317958
Kumrawng	id=g:1317959
Kumrai Ga	id=g:1317960
Kumpyi	id=g:1317961
Kumpu	id=g:1317962
Kumpa	id=g:1317963
Kumpa	id=g:1317964
Kumnyen Ga	id=g:1317965
Kumngwei	id=g:1317966
Kumlaung	id=g:1317967
Kumla Patch	id=g:1317968
Kumlao	id=g:1317969
Kumku	id=g:1317970
Kumku	id=g:1317971
Kumkidu Ga	id=g:1317972
Kumkabwi	id=g:1317973
Kumjawng Pass	id=g:1317974
Kumhtat	id=g:1317975
Kumhtat	id=g:1317976
Kumhtat	id=g:1317977
Kumhsan	id=g:1317978
Kumhpang	id=g:1317979
Kumha Taung	id=g:1317980
Kumgau	id=g:1317981
Kumgai Bum	id=g:1317982
Kum Ga	id=g:1317983
Kume Road	id=g:1317984
Kume	id=g:1317985
Kumbu	id=g:1317986
Kumboi Ga	id=g:1317987
Kumba Pum	id=g:1317988
Kumbangtu	id=g:1317989
Kumbang	id=g:1317990
Kumbabum	id=g:1317991
Kumbabum	id=g:1317992
Kumba	id=g:1317993
Kumba	id=g:1317994
Kumawdo	id=g:1317995
Kū-maw	id=g:1317996
Kumatu Banpalan	id=g:1317997
Kumai	id=g:1317998
Kuma	id=g:1317999
Kulzam	id=g:1318000
Ku-lun	id=g:1318001
Kulo	id=g:1318002
Kule	id=g:1318003
Kule	id=g:1318004
Kulaunggale	id=g:1318005
Kulataung	id=g:1318006
Kulaso Chaung	id=g:1318007
Kula Sat	id=g:1318008
Kulado	id=g:1318009
Kulachaung	id=g:1318010
Kukyun	id=g:1318011
Ku Kyun	id=g:1318012
Kuku	id=g:1318013
Ku Klo	id=g:1318014
Kūki	id=g:1318015
Kukhkyan	id=g:1318016
Kujung	id=g:1318017
Kuinkuiloi	id=g:1318018
Kuhta	id=g:1318019
Kuhmaing	id=g:1318020
Kuhmaing	id=g:1318021
Kuhkan	id=g:1318022
Kuhchah	id=g:1318023
Kugyi Chaung	id=g:1318024
Pulo Kugyi	id=g:1318025
Kugyi	id=g:1318026
Kugyi	id=g:1318027
Kugyi	id=g:1318028
Kugon	id=g:1318029
Kugaung	id=g:1318030
Kugam	id=g:1318031
Kuga	id=g:1318032
Kuga	id=g:1318033
Kudo Seik	id=g:1318034
Kude	id=g:1318035
Kude	id=g:1318036
Kudaw Chaung	id=g:1318037
Kudaw	id=g:1318038
Kudaw	id=g:1318039
Kudaung	id=g:1318040
Kudaung	id=g:1318041
Kudair	id=g:1318042
Kudaing	id=g:1318043
Kubyu	id=g:1318044
Kubyu	id=g:1318045
Kubyu	id=g:1318046
Kubyin Reserved Forest	id=g:1318047
Kubyin Chaung	id=g:1318048
Kubyin	id=g:1318049
Kubyaung	id=g:1318050
Kubo Island	id=g:1318051
Kubauk	id=g:1318052
Kuba Chaung	id=g:1318053
Kuangpi Va	id=g:1318054
Kuangdawn	id=g:1318055
Kuala Champang	id=g:1318056
Kuachhi	id=g:1318057
Nam Ku	id=g:1318058
Loi Ku	id=g:1318059
Ku	id=g:1318060
Kru	id=g:1318061
Kronwa	id=g:1318062
Kronkarok	id=g:1318063
Nam Krö	id=g:1318064
Kritu	id=g:1318065
Kritaw Razi	id=g:1318066
Kritaw	id=g:1318067
Krishna Shoal	id=g:1318068
Kreup	id=g:1318069
Kretyobyin	id=g:1318070
Kretsin	id=g:1318071
Kretchaung	id=g:1318072
Kreinkreinmaw	id=g:1318073
Kreingshe	id=g:1318074
Kreiktaung-u Taung	id=g:1318075
Krawng Ga	id=g:1318076
Krawngdin	id=g:1318077
Krawn Dumhpawng	id=g:1318078
Krawn	id=g:1318079
Kraw	id=g:1318080
Kraunghta	id=g:1318081
K’rangk’lang	id=g:1318082
Kranggapin	id=g:1318083
Kranchaing	id=g:1318084
Kram	id=g:1318085
Kraiman	id=g:1318086
Kozu	id=g:1318087
Kozin	id=g:1318088
Koywa	id=g:1318089
Koyo Tē	id=g:1318090
Koyauk-legyibyin	id=g:1318091
Koyanbyin	id=g:1318092
Ko We Tē	id=g:1318093
Kotpukan	id=g:1318094
Kotono Tē	id=g:1318095
Kotokhi	id=g:1318096
Kotlāng	id=g:1318097
Kothein	id=g:1318098
Kothaung	id=g:1318099
Kothar	id=g:1318100
Kothan	id=g:1318101
Ko Tebo Tē	id=g:1318102
Ko Taung	id=g:1318103
Ko Tani Tē	id=g:1318104
Ko-tang Shan	id=g:1318105
Ko-tang	id=g:1318106
Kotalauk	id=g:1318107
Kotagalē Tē	id=g:1318108
Kota	id=g:1318109
Koso Tē Taung	id=g:1318110
Kosodē	id=g:1318111
Kosido	id=g:1318112
Ko Shwe Tē	id=g:1318113
Koshweno Tē	id=g:1318114
Koshwe-e	id=g:1318115
Koshwamaung Tē	id=g:1318116
Ko Seni Tē	id=g:1318117
Kosachi	id=g:1318118
Kosabon Tē	id=g:1318119
Kora Gahtawng	id=g:1318120
Kopyu Tē	id=g:1318121
Ko Pudo Tē	id=g:1318122
Kopo Tē	id=g:1318123
Ko Po Sa Zu	id=g:1318124
Kopolin	id=g:1318125
Kopok	id=g:1318126
Kopin	id=g:1318127
Kopha-wagon	id=g:1318128
Kopegyi	id=g:1318129
Ko Pau Tē	id=g:1318130
Ko Pa Tē	id=g:1318131
Ko Pale Tē	id=g:1318132
Kopahe	id=g:1318133
Ko Pabwe Tē	id=g:1318134
Loi Kōp	id=g:1318135
Konzwa	id=g:1318136
Konzun	id=g:1318137
Konzu	id=g:1318138
Konzon	id=g:1318139
Konzin Chaung	id=g:1318140
Konzi	id=g:1318141
Konzi	id=g:1318142
Konze	id=g:1318143
Konzayat	id=g:1318144
Konzaung	id=g:1318145
Konzaung	id=g:1318146
Konywagyi	id=g:1318147
Konywa	id=g:1318148
Konywa	id=g:1318149
Konywa	id=g:1318150
Kônywa	id=g:1318151
Konywa	id=g:1318152
Konywa	id=g:1318153
Konywa	id=g:1318154
Konywa	id=g:1318155
Kônywa	id=g:1318156
Kônywa	id=g:1318157
Konywa	id=g:1318158
Konywa	id=g:1318159
Konywa	id=g:1318160
Kon-ywa	id=g:1318161
Konywa	id=g:1318162
Konyoman Taung	id=g:1318163
Konyo	id=g:1318164
Kônyit-asu	id=g:1318165
Kônyin	id=g:1318166
Konyawe Tē	id=g:1318167
Konwetchaung	id=g:1318168
Konwe Island	id=g:1318169
Konwegyi In	id=g:1318170
Kon Wedaung	id=g:1318171
Konwat	id=g:1318172
Konuba	id=g:1318173
Konthedan	id=g:1318174
Konthagyi	id=g:1318175
Kontha Chaung	id=g:1318176
Kontha	id=g:1318177
Kontha	id=g:1318178
Kontha	id=g:1318179
Kontha	id=g:1318180
Kontha	id=g:1318181
Kontha	id=g:1318182
Kôntha	id=g:1318183
Kontha	id=g:1318184
Kontha	id=g:1318185
Kontha	id=g:1318186
Kontha	id=g:1318187
Kontha	id=g:1318188
Kontha	id=g:1318189
Kontha	id=g:1318190
Kontha	id=g:1318191
Kontha	id=g:1318192
Kontha	id=g:1318193
Kontha	id=g:1318194
Kontha	id=g:1318195
Kontha	id=g:1318196
Kontha	id=g:1318197
Kontha	id=g:1318198
Kontha	id=g:1318199
Kontha	id=g:1318200
Kontha	id=g:1318201
Kontha	id=g:1318202
Kontha	id=g:1318203
Kontha	id=g:1318204
Kontha	id=g:1318205
Konthā	id=g:1318206
Kontha	id=g:1318207
Kontha	id=g:1318208
Kontha	id=g:1318209
Kontein	id=g:1318210
Kônteikpyaung	id=g:1318211
Kôntaya	id=g:1318212
Kontawnyo	id=g:1318213
Kontalon	id=g:1318214
Kontabin	id=g:1318215
Kon-son	id=g:1318216
Konson	id=g:1318217
Konso	id=g:1318218
Konsin	id=g:1318219
Kon Sati	id=g:1318220
Konsáng	id=g:1318221
Konsan	id=g:1318222
Konsa-lai	id=g:1318223
Kon-sa	id=g:1318224
Kon-pon	id=g:1318225
Konpaya-nyaungbingan	id=g:1318226
Konpaw	id=g:1318227
Konpato	id=g:1318228
Kon Pao	id=g:1318229
Konpāng	id=g:1318230
Konpai	id=g:1318231
Konnyu	id=g:1318232
Kon-nyawng	id=g:1318233
Konnyaung	id=g:1318234
Konnu	id=g:1318235
Konniywa	id=g:1318236
Konni	id=g:1318237
Konni	id=g:1318238
Könnā	id=g:1318239
Kon-mon	id=g:1318240
Konmon	id=g:1318241
Konmo	id=g:1318242
Konmo	id=g:1318243
Konmo	id=g:1318244
Kon Minin	id=g:1318245
Konmaw Thagan	id=g:1318246
Konmawan	id=g:1318247
Konmana	id=g:1318248
Konmana	id=g:1318249
Konmamon	id=g:1318250
Konmakan	id=g:1318251
Kon-mahat	id=g:1318252
Konlwe	id=g:1318253
Kon Long	id=g:1318254
Konlin	id=g:1318255
Konlin	id=g:1318256
Konlèyo	id=g:1318257
Konle	id=g:1318258
Konlaung	id=g:1318259
Kon Lang	id=g:1318260
Konlang	id=g:1318261
Konkyeng	id=g:1318262
Konkyem	id=g:1318263
Konkyaukkyi	id=g:1318264
Kon-kyan	id=g:1318265
Konkha	id=g:1318266
Konkha	id=g:1318267
Könkeng	id=g:1318268
Konke	id=g:1318269
Kon-kawng	id=g:1318270
Konkawk	id=g:1318271
Kon Kawk	id=g:1318272
Konkaw	id=g:1318273
Kon Kaw	id=g:1318274
Konkala	id=g:1318275
Konkaing Bum	id=g:1318276
Konkailon	id=g:1318277
Kon-in	id=g:1318278
Kon Ho Loi	id=g:1318279
Konhmon	id=g:1318280
Konhla	id=g:1318281
Konhla	id=g:1318282
Konhkan	id=g:1318283
Kon-hkai	id=g:1318284
Konhka	id=g:1318285
Konhka	id=g:1318286
Konhaung	id=g:1318287
Konhai	id=g:1318288
Loi Kongyun	id=g:1318289
Kong Yum	id=g:1318290
Kong-yong	id=g:1318291
Kong-yom	id=g:1318292
Köngyom	id=g:1318293
Kongyinzein	id=g:1318294
Kongyi Chaung	id=g:1318295
Kongyi	id=g:1318296
Kongyi	id=g:1318297
Kongyi	id=g:1318298
Kongyi	id=g:1318299
Kongyi	id=g:1318300
Kongyi	id=g:1318301
Kongyi	id=g:1318302
Kon-gyi	id=g:1318303
Kongyi	id=g:1318304
Kongyi	id=g:1318305
Kongyi	id=g:1318306
Kongyi	id=g:1318307
Kongyi	id=g:1318308
Kongyi	id=g:1318309
Kongyi	id=g:1318310
Kongyi	id=g:1318311
Kongyi	id=g:1318312
Kongyi	id=g:1318313
Kongyi	id=g:1318314
Kôngyi	id=g:1318315
Kôngyi	id=g:1318316
Kôngyi	id=g:1318317
Kong-yao	id=g:1318318
Kongyangon	id=g:1318319
Kongyāng	id=g:1318320
Kong-yang	id=g:1318321
Kong-ya-lai	id=g:1318322
Kongyai	id=g:1318323
Kongyah	id=g:1318324
Kongwat	id=g:1318325
Kōng-wat	id=g:1318326
Kong-wan-tok	id=g:1318327
Kongwa	id=g:1318328
Kongtüng	id=g:1318329
Köngtöng	id=g:1318330
Kongtong	id=g:1318331
Kongtong	id=g:1318332
Kongti	id=g:1318333
Kong Ten	id=g:1318334
Kongtawng	id=g:1318335
Kongtawng	id=g:1318336
Kongtap	id=g:1318337
Kongtap	id=g:1318338
Kongtal	id=g:1318339
Kongsot	id=g:1318340
Kongsong	id=g:1318341
Kongsong	id=g:1318342
Kong-söng	id=g:1318343
Köngsöng	id=g:1318344
Köngsong	id=g:1318345
Kongsong	id=g:1318346
Kong-song	id=g:1318347
Kongsong	id=g:1318348
Kongsong	id=g:1318349
Kongson	id=g:1318350
Kongsem	id=g:1318351
Kongsein	id=g:1318352
Kong-sawng	id=g:1318353
Kong-sara-e	id=g:1318354
Kongsang	id=g:1318355
Köng-sam	id=g:1318356
Kongsam	id=g:1318357
Kongsa-lawm	id=g:1318358
Kongsaihsu	id=g:1318359
Kongsa	id=g:1318360
Kongsa	id=g:1318361
Kongsa	id=g:1318362
Kongsa	id=g:1318363
Kongsa	id=g:1318364
Kong-ru	id=g:1318365
Kong Pyek	id=g:1318366
Kongpok	id=g:1318367
Kongpok	id=g:1318368
Kongpekhso	id=g:1318369
Nam Kongpek	id=g:1318370
Kong Pek	id=g:1318371
Kongpawn	id=g:1318372
Köng-pawman-tau	id=g:1318373
Köng-pawman-loi	id=g:1318374
Kong-paw	id=g:1318375
Köngpaw	id=g:1318376
Kongpaw	id=g:1318377
Kongpau	id=g:1318378
Kongpau	id=g:1318379
Kong-pau	id=g:1318380
Kong-pau	id=g:1318381
Köngpau	id=g:1318382
Kōng-pau	id=g:1318383
Köngpau	id=g:1318384
Köngpau	id=g:1318385
Köngpau	id=g:1318386
Köngpau	id=g:1318387
Köngpau	id=g:1318388
Kong-pau	id=g:1318389
Kongpau	id=g:1318390
Kongpau	id=g:1318391
Kongpau	id=g:1318392
Kongpao	id=g:1318393
Kong-pao	id=g:1318394
Kongpao	id=g:1318395
Kongnyawng	id=g:1318396
Kongnyawng	id=g:1318397
Kongnyawng	id=g:1318398
Köngnyawng	id=g:1318399
Köngnyawng	id=g:1318400
Kongnyawng	id=g:1318401
Köngnyawng	id=g:1318402
Kongnyawng	id=g:1318403
Köngnyawng	id=g:1318404
Kongnyawng	id=g:1318405
Kongnyawng	id=g:1318406
Kong Nyawng	id=g:1318407
Kongnyaung	id=g:1318408
Kong Nok	id=g:1318409
Kongniu	id=g:1318410
Kong-nio	id=g:1318411
Kong-nio	id=g:1318412
Köngnio	id=g:1318413
Kōng-nio	id=g:1318414
Kōng-nio	id=g:1318415
Köngnio	id=g:1318416
Kongnio	id=g:1318417
Kongnio	id=g:1318418
Kongnio	id=g:1318419
Kongnim	id=g:1318420
Kongnawt	id=g:1318421
Kongnawt	id=g:1318422
Köngnawng	id=g:1318423
Kongnang	id=g:1318424
Loi Kongmyit	id=g:1318425
Kongmyeng	id=g:1318426
Kongmun	id=g:1318427
Kongmu	id=g:1318428
Kongmot	id=g:1318429
Kongmöng	id=g:1318430
Kong-möng	id=g:1318431
Kōng-möng	id=g:1318432
Kongmöng	id=g:1318433
Kōng-möng	id=g:1318434
Kongmong	id=g:1318435
Köngmöng	id=g:1318436
