Buayan River	id=g:1723675
Botinagan Bay	id=g:1723839
Batinagon	id=g:1723840
Botilao	id=g:1723841
Botigues	id=g:1723842
Botic Island	id=g:1723843
Botic	id=g:1723844
Mount Botetian	id=g:1723845
Botel	id=g:1723846
Bote	id=g:1723847
Botbotones	id=g:1723848
Botbot	id=g:1723849
Botbot	id=g:1723850
Botay	id=g:1723851
Botarag	id=g:1723852
Botao	id=g:1723853
Botao	id=g:1723854
Boton	id=g:1723855
Botak Point	id=g:1723856
Botak	id=g:1723857
Bota Creek	id=g:1723858
Bota	id=g:1723859
Boswell Island	id=g:1723860
Bosugan Creek	id=g:1723861
Boston	id=g:1723862
Boston	id=g:1723863
Bossot	id=g:1723864
Boso Rock	id=g:1723865
Bosongon	id=g:1723866
Boso Dohonan Rocks	id=g:1723867
Basod	id=g:1723868
Bosoc Lalung	id=g:1723869
Bosoboso River	id=g:1723870
Lower Bosoboso	id=g:1723871
Bosoboso	id=g:1723872
Bosoboso	id=g:1723873
Bosloton	id=g:1723874
Bosigon River	id=g:1723875
Busikong Creek	id=g:1723876
Bosdak	id=g:1723877
Bosawan	id=g:1723878
Boruya	id=g:1723879
Bairan	id=g:1723880
Borot Reef	id=g:1723881
Borot Point	id=g:1723882
Borot Cove	id=g:1723883
Borotan Point	id=g:1723884
Borono	id=g:1723885
Borongon River	id=g:1723886
Borongon	id=g:1723887
Boroñgon	id=g:1723888
Borongo	id=g:1723889
Borongborogñan	id=g:1723890
Borongan River	id=g:1723891
Port Borongan	id=g:1723892
Borongan	id=g:1723893
Borongan	id=g:1723894
Borong	id=g:1723895
Boronayon	id=g:1723896
Borol Segundo	id=g:1723897
Burol	id=g:1723898
Borokot	id=g:1723899
Borogyod River	id=g:1723900
Mount Borogyod	id=g:1723901
Borogan Island	id=g:1723902
Borocboroc	id=g:1723903
Borocboroc	id=g:1723904
Borocboroc	id=g:1723905
Yapak	id=g:1723907
Boroc	id=g:1723908
Boroc	id=g:1723909
Borobor	id=g:1723910
Baybay	id=g:1723911
Borobantigue	id=g:1723912
Boro Banco	id=g:1723913
Barobaloto Rocks	id=g:1723914
Borobadiang	id=g:1723915
Bornay River	id=g:1723916
Boris River	id=g:1723917
Boris	id=g:1723918
Boring Island	id=g:1723919
Boring	id=g:1723920
Boring	id=g:1723921
Boriis River	id=g:1723922
Borigay Point	id=g:1723923
Boribud	id=g:1723924
Mount Boribing	id=g:1723925
Borbon	id=g:1723926
Borbon	id=g:1723927
Borbon	id=g:1723928
Barbati	id=g:1723929
Borbocalon	id=g:1723930
Borboanan	id=g:1723931
Boray	id=g:1723932
Borahan River	id=g:1723933
Borad	id=g:1723934
Borac Point	id=g:1723935
Boracanon	id=g:1723936
Port Borac	id=g:1723937
Borac	id=g:1723938
Borac	id=g:1723939
Borac	id=g:1723940
Borabud	id=g:1723941
Borabo River	id=g:1723942
Borabo Island	id=g:1723943
Burabud River	id=g:1723944
Burabod	id=g:1723945
Borabod	id=g:1723946
Borabod	id=g:1723947
Borabod	id=g:1723948
Borabaybay Point	id=g:1723949
Boquig	id=g:1723950
Booy	id=g:1723951
Mount Boouillao	id=g:1723952
Bootin	id=g:1723953
Boot	id=g:1723954
Boor	id=g:1723955
Bo-ongon River	id=g:1723956
Boongon	id=g:1723957
Boong-oco	id=g:1723958
Boombong Island	id=g:1723959
Booloosong	id=g:1723960
Bool	id=g:1723961
Bool	id=g:1723962
Bood	id=g:1723963
Booc Point	id=g:1723964
Bonza	id=g:1723965
Bonuyan	id=g:1723966
Bonuan	id=g:1723967
Bonuan Boquig	id=g:1723968
Bonuan Binloc	id=g:1723969
Bonton River	id=g:1723970
Bontongan	id=g:1723971
Bantong	id=g:1723972
Bonton	id=g:1723973
Bontolan	id=g:1723974
Bontol	id=g:1723975
Bontok	id=g:1723976
Bontogon	id=g:1723977
Bontogon	id=g:1723978
Bontod	id=g:1723979
Bontoc Colony	id=g:1723980
Mount Bontoc	id=g:1723981
Mount Bontoc	id=g:1723982
Bontoc	id=g:1723983
Bontoc	id=g:1723984
Bontoc	id=g:1723985
Bontoc	id=g:1723986
Bontoc	id=g:1723987
Bontis River	id=g:1723988
Bontayon Point	id=g:1723989
Bontay	id=g:1723990
Bontas	id=g:1723991
Bontal River	id=g:1723992
Bansud River	id=g:1723993
Bansud Point	id=g:1723994
Bonot Creek	id=g:1723995
Bonot Bay	id=g:1723996
Bonot	id=g:1723997
Bohot	id=g:1723998
Bonat	id=g:1723999
Bonot	id=g:1724000
Bonot	id=g:1724001
Bonot	id=g:1724002
Bonot	id=g:1724003
Bonot	id=g:1724004
Bonoon Islet	id=g:1724005
Bonongan	id=g:1724006
Bonog Point	id=g:1724007
Bonog Creek	id=g:1724008
Bonogcot	id=g:1724009
Bonog Bay	id=g:1724010
Bonod	id=g:1724011
Bon-od	id=g:1724012
Bonobono	id=g:1724013
Bono-anan	id=g:1724014
Bonliw	id=g:1724015
Bonlio	id=g:1724016
Banliw	id=g:1724017
Bonleo Bay	id=g:1724018
Bunlao	id=g:1724019
Bonlag	id=g:1724020
Bonjol	id=g:1724021
Bunlan	id=g:1724022
Bonijiagon	id=g:1724023
Bonifacio	id=g:1724024
Bonifacio	id=g:1724025
Bonifacio	id=g:1724026
Bonifacio	id=g:1724027
Bonifacio	id=g:1724028
Bonifacio	id=g:1724029
Boni	id=g:1724030
Bongyas	id=g:1724031
Bonguton	id=g:1724032
Bongued	id=g:1724034
Bongtud	id=g:1724035
Bongtolan	id=g:1724036
Bongsod	id=g:1724037
Bungsuan	id=g:1724038
Bongro	id=g:1724039
Bongquirogon River	id=g:1724040
Bongoyan	id=g:1724041
Bongot Island	id=g:1724042
Bongo Shoal	id=g:1724043
Bongo	id=g:1724044
Boñgol San Miguel	id=g:1724045
Bongol	id=g:1724046
Bongol	id=g:1724047
Bongol	id=g:1724048
Bongol	id=g:1724049
Bongo Island	id=g:1724050
Bongo Island	id=g:1724051
Bongog	id=g:1724052
Bongloy	id=g:1724053
Bonglo	id=g:1724054
Bongliw	id=g:1724055
Bongleu	id=g:1724056
Bonglayon	id=g:1724057
Bondo	id=g:1724058
Bongdo	id=g:1724059
Bongdo	id=g:1724060
Bunkokan Ilaya	id=g:1724061
Bonco	id=g:1724062
Bongca	id=g:1724063
Bong Bong River	id=g:1724064
Bongbongan	id=g:1724065
Bongbongon	id=g:1724066
Bongbongan	id=g:1724067
Bongabongan	id=g:1724068
Mount Igbongbong	id=g:1724069
Bongbong	id=g:1724070
Bongbong	id=g:1724071
Bongbong	id=g:1724072
Bongbong	id=g:1724073
Bongbong	id=g:1724074
Bongbong	id=g:1724075
Bongayon	id=g:1724076
Bongay	id=g:1724077
Bong-aw	id=g:1724078
Bonga Viejo	id=g:1724079
Bongato	id=g:1724080
Bonga River	id=g:1724081
Bongar	id=g:1724082
Bonga Point	id=g:1724083
Bongao Peak	id=g:1724084
Bongao Island	id=g:1724085
Bongao Channel	id=g:1724086
Port Bongao	id=g:1724087
Bongao	id=g:1724088
Bongao	id=g:1724089
Bongan	id=g:1724090
Bonga Menor	id=g:1724091
Bonga Mayor	id=g:1724092
Bongalonan	id=g:1724093
Bongalon	id=g:1724094
Bonga Island	id=g:1724095
Bonga Island	id=g:1724096
Bongahan	id=g:1724097
Bongabon River	id=g:1724098
Bongabon Point	id=g:1724099
Bonga Bonga	id=g:1724100
Bongabong	id=g:1724101
Bongabong	id=g:1724102
Bongabong	id=g:1724103
Bongabong	id=g:1724104
Bongabong	id=g:1724105
Bongabon	id=g:1724106
Bongabon	id=g:1724107
Bongabo	id=g:1724108
Bonga Bay	id=g:1724109
Bonga	id=g:1724110
Bonga	id=g:1724111
Bonga	id=g:1724112
Boñga	id=g:1724113
Bonga	id=g:1724114
Boñga	id=g:1724115
Bunga	id=g:1724116
Banga	id=g:1724117
Bonga	id=g:1724118
Bonga	id=g:1724119
Bunga	id=g:1724120
Bong	id=g:1724121
Bong	id=g:1724122
Bonfal	id=g:1724123
Bonetolon River	id=g:1724124
Bonete Island	id=g:1724125
Bone South	id=g:1724126
Bone North	id=g:1724127
Bone	id=g:1724128
Bondulan Point	id=g:1724129
Bondulan Point	id=g:1724130
Bondo River	id=g:1724131
Bondolan	id=g:1724132
Bondoc Point	id=g:1724133
Bondoc Peninsula	id=g:1724134
Bondoc Head	id=g:1724135
Bontoc	id=g:1724136
Bondo	id=g:1724137
Bondalao	id=g:1724138
Bunkol	id=g:1724139
Bonbon River	id=g:1724140
Bonbon River	id=g:1724141
Bonbon River	id=g:1724142
Bonbon River	id=g:1724143
Bonbon River	id=g:1724144
Bonbon Point	id=g:1724145
Bongbong Point	id=g:1724146
Bonbonon Point	id=g:1724147
Port Bonbonon	id=g:1724148
Bonbonon	id=g:1724149
Bonbonon	id=g:1724150
Bon-Bon Island	id=g:1724151
Bonbongon Cove	id=g:1724152
Banban River	id=g:1724153
Bonbon	id=g:1724154
Bonbon	id=g:1724155
Bonbon	id=g:1724156
Bonbon	id=g:1724157
Bonbon	id=g:1724158
Bonbon	id=g:1724159
Bonbon	id=g:1724160
Bombon	id=g:1724161
Bonbon	id=g:1724162
Bonbon	id=g:1724163
Bonbon	id=g:1724164
Bonbon	id=g:1724165
Bonbon	id=g:1724166
Bonbon	id=g:1724167
Bonbon	id=g:1724168
Bonbon	id=g:1724169
Bonbon	id=g:1724170
Bonbon	id=g:1724171
Bonbon	id=g:1724172
Bonbon	id=g:1724173
Bonbon	id=g:1724174
Bonbon	id=g:1724175
Bonayan	id=g:1724176
Bonawon	id=g:1724177
Lake Bonawan	id=g:1724178
Banao Creek	id=g:1724179
Bonao	id=g:1724180
Bonalong River	id=g:1724181
Bonali	id=g:1724182
Bona Lejos	id=g:1724183
Bonag River	id=g:1724184
Bonagbonag Point	id=g:1724185
Bonāga Point	id=g:1724186
Bonaffa	id=g:1724187
Bona Cerca	id=g:1724188
Mount Bunakan	id=g:1724189
Bonacan	id=g:1724190
Mount Bonaba	id=g:1724191
Bona	id=g:1724192
Bumitog	id=g:1724193
Bomboaya	id=g:1724194
Bombon Point	id=g:1724195
Bombon Point	id=g:1724196
Bombong River	id=g:1724197
Bumbungan River	id=g:1724198
Bombongan	id=g:1724199
Bombong	id=g:1724200
Mount Bonbon	id=g:1724201
Bombon	id=g:1724202
Bombon	id=g:1724203
Bambon	id=g:1724204
Bombon	id=g:1724205
Bombay Shoal	id=g:1724206
Bomba	id=g:1724207
Bomba	id=g:1724208
Bolungto	id=g:1724209
Bolubadiang Island	id=g:1724210
Balton River	id=g:1724211
Bolton Reef	id=g:1724212
Boltan Point	id=g:1724213
Bolton	id=g:1724214
Bol River	id=g:1724215
Bolotong	id=g:1724216
Bolotoc Point	id=g:1724217
Bolot	id=g:1724218
Bolos River	id=g:1724219
Bolos River	id=g:1724220
Bolos River	id=g:1724221
Bolos Point	id=g:1724222
Bolos Point	id=g:1724223
Bolos Cove	id=g:1724224
Bolosan	id=g:1724225
Bolosan	id=g:1724226
Bolos	id=g:1724227
Bolos	id=g:1724228
Bolos	id=g:1724229
Bolo Rock	id=g:1724230
Bolo River	id=g:1724231
Bolo River	id=g:1724232
Bolo Proper	id=g:1724233
Bolongtohan	id=g:1724234
Bolongto	id=g:1724235
Bolong River	id=g:1724236
Bolong Bolong Island	id=g:1724237
Bolong	id=g:1724238
Bolong	id=g:1724239
Bolong	id=g:1724240
Bololo River	id=g:1724241
Bololo	id=g:1724242
Bololacao	id=g:1724243
Bolo Ilaya	id=g:1724244
Bulo Ibaba	id=g:1724245
Bolog River	id=g:1724246
Bolog River	id=g:1724247
Bologo River	id=g:1724248
Balogo	id=g:1724249
Bolog Islands	id=g:1724250
Bulagon	id=g:1724251
Bolog	id=g:1724252
Bolod Islands	id=g:1724253
Bolodbolod Point	id=g:1724254
Bolodbolod	id=g:1724255
Bolod	id=g:1724256
Padios	id=g:1724257
Bolod	id=g:1724258
Bolod	id=g:1724259
Bolod	id=g:1724260
Bolocboloc Creek	id=g:1724261
Bolok bolok	id=g:1724262
Bolocboloc	id=g:1724263
Bolocboloc	id=g:1724264
Bolocaue	id=g:1724265
Bolobolo Point	id=g:1724266
Bolo Bolo River	id=g:1724267
Bolobolo	id=g:1724268
Bolobolo	id=g:1724269
Bolobolo	id=g:1724270
Bolobolo	id=g:1724271
Bolo Bolo	id=g:1724272
Bolobitoon	id=g:1724273
Boloan Island	id=g:1724274
Bolo	id=g:1724275
Bolo	id=g:1724276
Bolo	id=g:1724277
Bolo	id=g:1724278
Bolo	id=g:1724279
Bolo	id=g:1724280
Bolo	id=g:1724281
Bolo	id=g:1724282
Bolo	id=g:1724283
Bolo	id=g:1724284
Bolo	id=g:1724285
Bolo	id=g:1724286
Bolo	id=g:1724287
Bolo	id=g:1724288
Bolo	id=g:1724289
Bolo	id=g:1724290
Bolo	id=g:1724291
Bolo	id=g:1724292
Bolo	id=g:1724293
Bollonan Point	id=g:1724294
Bulok	id=g:1724295
Bollilising	id=g:1724296
Boljoon	id=g:1724297
Boljoon	id=g:1724298
Bolja Peak	id=g:1724299
Bolitocato	id=g:1724300
Bolitoc	id=g:1724301
Bolitas	id=g:1724302
Bolisong	id=g:1724303
Bolirao	id=g:1724304
Bolipongpong Point	id=g:1724305
Bolintaguen	id=g:1724306
Bolinsong	id=g:1724307
Boliñgit	id=g:1724308
Boliney	id=g:1724309
Boliney	id=g:1724310
Bolinawan	id=g:1724311
Bolinao Harbor	id=g:1724312
Cape Bolinao	id=g:1724313
Bolinao	id=g:1724314
Bolinao	id=g:1724315
Bolinao	id=g:1724316
Bolinao	id=g:1724317
Bolinao	id=g:1724318
Bolinao	id=g:1724319
Bolina Island	id=g:1724320
Bolimompong Point	id=g:1724321
Bolila Point	id=g:1724322
Bolilao	id=g:1724323
Bolilao	id=g:1724324
Bolila Island	id=g:1724325
Bolilacao	id=g:1724326
Bolila	id=g:1724327
Polihan	id=g:1724328
Bo Lico Bay	id=g:1724329
Bolicao	id=g:1724330
Boliboli	id=g:1724331
Bolibol	id=g:1724332
Bilibol	id=g:1724334
Bolibayon	id=g:1724335
Boliadiong	id=g:1724336
Bolho	id=g:1724337
Bolho	id=g:1724338
Bold Point	id=g:1724339
Bold Head	id=g:1724340
Bold Head	id=g:1724341
Bolbugan	id=g:1724342
Bolbolon	id=g:1724343
Bolbolo	id=g:1724344
Bolbolan Creek	id=g:1724345
Bolbolala	id=g:1724346
Bolbok River	id=g:1724347
Bolbok	id=g:1724348
Balbog	id=g:1724349
Bolboc	id=g:1724350
Bolboc	id=g:1724351
Bolboc	id=g:1724352
Bolboc	id=g:1724353
Bolboc	id=g:1724354
Bolboc	id=g:1724355
Bolboc	id=g:1724356
Port Bolay	id=g:1724357
Bulawen	id=g:1724358
Bolaoit	id=g:1724359
Bolawen	id=g:1724360
Bolanon River	id=g:1724361
Bolangoan	id=g:1724362
Bolaney	id=g:1724363
Bolanao	id=g:1724364
Bolalo Hill	id=g:1724365
Bolalo Bay	id=g:1724366
Bolalo	id=g:1724367
Bolalacao River	id=g:1724368
Bolakan	id=g:1724369
Bolaho	id=g:1724370
Bolacas River	id=g:1724371
Bolac	id=g:1724372
Bolabog River	id=g:1724373
Bolabog	id=g:1724374
Bulabug Point	id=g:1724375
Boi	id=g:1724376
Bokot Takut Reefs	id=g:1724377
Bokod	id=g:1724378
Bokod	id=g:1724379
Bokiawan	id=g:1724380
Bakey	id=g:1724381
Bokbok	id=g:1724382
Bokal Point	id=g:1724383
Bojo River	id=g:1724384
San Antonio	id=g:1724385
Bojo	id=g:1724386
Bohelebong River	id=g:1724387
Bohelebong Channel	id=g:1724388
Bohelebong	id=g:1724389
Cape Bojeador	id=g:1724390
Boix Sawmill	id=g:1724391
Boho River	id=g:1724392
Bohol Sea	id=g:1724393
Bohol Agricultural Colony	id=g:1724394
Province of Bohol	id=g:1724395
Bohol	id=g:1724396
Bohol	id=g:1724397
Bojo	id=g:1724398
Bohol	id=g:1724399
Boho	id=g:1724400
Bohi Mohea Creek	id=g:1724401
Bohi Gañgsa	id=g:1724402
Boheson Islets	id=g:1724403
Bohesegag	id=g:1724404
Bohan Island	id=g:1724405
Bogui Point	id=g:1724406
Bogui	id=g:1724407
Bogtosan	id=g:1724408
Bogton Point	id=g:1724409
Bogtong Silag	id=g:1724410
Bogtong River	id=g:1724411
Bogtong River	id=g:1724412
Bogloñgan Island	id=g:1724413
Bogtong	id=g:1724414
Bogtong	id=g:1724415
Bogtong	id=g:1724416
Bogtong	id=g:1724417
Bogtong	id=g:1724418
Bugtong	id=g:1724419
Bugtong	id=g:1724420
Mount Bogton	id=g:1724421
Bogsokan	id=g:1724422
Bograan	id=g:1724423
Bog Point	id=g:1724424
Bogotban	id=g:1724425
Bog-ot	id=g:1724426
Bogo Shoal	id=g:1724427
Bogo River	id=g:1724428
Bogorangan	id=g:1724429
Bogo Point	id=g:1724430
Bogonong	id=g:1724431
Bogong River	id=g:1724432
Bogo Bay	id=g:1724433
Bogo	id=g:1724434
Bogo	id=g:1724435
Bogo	id=g:1724436
Bogo	id=g:1724437
Bogo	id=g:1724438
Bogo	id=g:1724439
Bognoyan	id=g:1724440
Bognog	id=g:1724441
Bognao Inlet	id=g:1724442
Bogñalon	id=g:1724443
Bogna-Caricaran	id=g:1724444
Bogñabong	id=g:1724445
Bogña	id=g:1724446
Bogña	id=g:1724447
Bugko Point	id=g:1724448
Bogio Point	id=g:1724449
Bogho	id=g:1724450
Boghaon	id=g:1724451
Bogbog	id=g:1724452
Bogbog	id=g:1724453
Bagapayong	id=g:1724454
Bogao Peak	id=g:1724455
Bogan River	id=g:1724456
Bogang	id=g:1724457
Boton Creek	id=g:1724458
Boduiang	id=g:1724459
Bodeogan	id=g:1724460
Bodega	id=g:1724461
Bodbod	id=g:1724462
Bodbod	id=g:1724463
Bodaran Bay	id=g:1724464
Boctonadoc	id=g:1724465
Boctol	id=g:1724466
Boctol	id=g:1724467
Bocpol Creek	id=g:1724468
Bocot Island	id=g:1724469
Bocot Hill	id=g:1724470
Bocotan	id=g:1724471
Bocos	id=g:1724472
Bocong Hill	id=g:1724473
Bacon	id=g:1724474
Bococ	id=g:1724475
Bocno	id=g:1724476
Boclod	id=g:1724477
Boclod	id=g:1724478
Bockiaman	id=g:1724479
Bocboc Point	id=g:1724480
Bocboc Creek	id=g:1724481
Mount Bocboc	id=g:1724482
Bocboc	id=g:1724483
Bocboc	id=g:1724484
Bocboc	id=g:1724485
Bocboc	id=g:1724486
Bocawi	id=g:1724487
Bocaue River	id=g:1724488
Bocaue	id=g:1724489
Bocaue	id=g:1724490
Bocator Point	id=g:1724491
Bocator Creek	id=g:1724492
Bocator	id=g:1724493
Boca Reefs	id=g:1724494
Boca Point	id=g:1724495
Bocao Point	id=g:1724496
Bocan River	id=g:1724497
Bocana Bunglas	id=g:1724498
Bocana Bay	id=g:1724499
Bocana	id=g:1724500
Bocana	id=g:1724501
Bocana	id=g:1724502
Bocal Point	id=g:1724503
Bocal Bay	id=g:1724504
Bocal	id=g:1724505
Boca Islets	id=g:1724506
Port Boca Engaño	id=g:1724507
Boco Engaño	id=g:1724508
Bocachica	id=g:1724509
Bobuatan	id=g:1724510
Mount Boboyaon	id=g:1724511
Boboy	id=g:1724512
Bobosawen Point	id=g:1724513
Bobosawen	id=g:1724514
Boboroen Island	id=g:1724515
Boboringan	id=g:1724516
Bobontugan River	id=g:1724517
Bobonsoran	id=g:1724518
Bobon Segundo	id=g:1724519
Bobon River	id=g:1724520
Bobon Primero	id=g:1724521
Bobon Point	id=g:1724522
Bobon Point	id=g:1724523
Bobon Point	id=g:1724524
Bobonot	id=g:1724525
Bonbonon Cove	id=g:1724526
Bobon Islet	id=g:1724527
Bobong Point	id=g:1724528
Bobong	id=g:1724529
Bobonaoan River	id=g:1724530
Bobonan River	id=g:1724531
Bobonan	id=g:1724532
Bubon	id=g:1724533
Bobon	id=g:1724534
Bobon	id=g:1724535
Bobon	id=g:1724536
Bobon	id=g:1724537
Bobon	id=g:1724538
Bobon	id=g:1724539
Bobon	id=g:1724540
Bobon	id=g:1724541
Bobon	id=g:1724542
Bobon	id=g:1724543
Bobon	id=g:1724544
Bobon	id=g:1724545
Bobolusan River	id=g:1724546
Bobolosan	id=g:1724547
Bobo Island	id=g:1724548
Boboin	id=g:1724549
Bobogan Creek	id=g:1724550
Bobodo	id=g:1724551
Boboan	id=g:1724552
Bobo	id=g:1724553
Bobao	id=g:1724554
Bob	id=g:1724555
Bacayao	id=g:1724556
Buwaya Point	id=g:1724557
Boayan Reef	id=g:1724558
Boayan Island	id=g:1724559
Boayan Creek	id=g:1724560
Buayan	id=g:1724561
Boayahon	id=g:1724562
Boayahan	id=g:1724563
Boat Rock	id=g:1724564
Boars Tusk	id=g:1724565
Boang	id=g:1724566
Buan	id=g:1724567
Boal-Boal Point	id=g:1724568
Boalan	id=g:1724569
Boal	id=g:1724570
Boal	id=g:1724571
Boagkoan	id=g:1724572
Boadan	id=g:1724573
Boac River	id=g:1724574
Boac Creek	id=g:1724575
Boac	id=g:1724576
Boac	id=g:1724577
Boac	id=g:1724578
Boaan Island	id=g:1724579
Boaan	id=g:1724580
Boa	id=g:1724581
Boa	id=g:1724582
Blumentritt	id=g:1724583
Bluff Point	id=g:1724584
Bluff Point	id=g:1724585
Bluff Point	id=g:1724586
Bluff Point	id=g:1724587
Bluff Point	id=g:1724588
Bluff Point	id=g:1724589
Balluan	id=g:1724590
Mount Bloomfield	id=g:1724591
Blit	id=g:1724592
Blit	id=g:1724593
Blinsung	id=g:1724594
Blinsong	id=g:1724595
Lake Blingkong	id=g:1724596
Blingkong	id=g:1724597
Mount Blik	id=g:1724598
Blasco	id=g:1724599
Blangca Rock	id=g:1724600
Blangca Rock	id=g:1724601
Mount Blanco	id=g:1724602
Blanca River	id=g:1724603
Blanca Point	id=g:1724604
Blanca Point	id=g:1724605
Blanca Point	id=g:1724606
Blanca Point	id=g:1724607
Blanca Aurora	id=g:1724608
Blake Reef	id=g:1724609
Blakael	id=g:1724610
Blacar	id=g:1724611
Black Rocks	id=g:1724612
Black Rock Point	id=g:1724613
Black Rock Pass	id=g:1724614
Black Rock	id=g:1724615
Black Rock	id=g:1724616
Black Rock	id=g:1724617
Black Rock	id=g:1724618
Black Rock	id=g:1724619
Black Rock	id=g:1724620
Black Islet	id=g:1724621
Black Head	id=g:1724622
Black Cap Mountain	id=g:1724623
Biyul	id=g:1724624
Biyo	id=g:1724625
Biyasong	id=g:1724626
Biyancuan Island	id=g:1724627
Biyan	id=g:1724628
Biyalaso Point	id=g:1724629
Biweng	id=g:1724630
Biwas	id=g:1724631
Biwang	id=g:1724632
Biwag	id=g:1724633
Bivouac Point	id=g:1724634
Bivouac Point	id=g:1724635
Bivouac Point	id=g:1724636
Bivouac Island	id=g:1724637
Bin Point	id=g:1724638
Mount Biubugnan	id=g:1724639
Biuas River	id=g:1724640
Bituñgol	id=g:1724641
Bitulok	id=g:1724642
Bitulok	id=g:1724643
Bitulao	id=g:1724644
Bituca River	id=g:1724645
Bituca	id=g:1724646
Mount Bituan	id=g:1724647
Betwagan	id=g:1724648
Bituag	id=g:1724649
Bito	id=g:1724650
Bitu	id=g:1724651
