Jabal Dilling	id=g:376449
Jabal Debla Kora	id=g:376633
Deberto	id=g:376634
Khor Deberi	id=g:376635
Debekai	id=g:376636
Debeira	id=g:376637
Qaryah Thalāthan	id=g:376638
Debbat Quseisa	id=g:376639
Debbat Kannan	id=g:376640
Debba el Fil	id=g:376641
Jebel Debba	id=g:376642
Wādī Debaweit	id=g:376643
Wādī Debarei	id=g:376644
Debalo	id=g:376645
Jabal Debalheil	id=g:376646
Dazingor	id=g:376647
Dazaki	id=g:376648
Dayyānah	id=g:376649
Jabal Dayrah	id=g:376650
Dayrah	id=g:376651
Deira	id=g:376652
Jabal ad Dayr	id=g:376653
Wadi ad Dayqa	id=g:376654
Jebel ed Deiqa	id=g:376655
Jabal aḑ Ḑayqah	id=g:376656
Jabal Ḑayqah	id=g:376657
Jabal Dayob Delamin	id=g:376658
Jabal Dayob	id=g:376659
Deim Zubeir	id=g:376660
Daym Qarad	id=g:376661
Daym Manşūr	id=g:376662
Daym Bashīr	id=g:376663
Daym Bakr	id=g:376664
Daym Bakhīt	id=g:376665
Daym al Khalīfah	id=g:376666
Dawrah	id=g:376667
Khawr ad Dawmāyah	id=g:376668
Dawmāyah	id=g:376669
Domaya	id=g:376670
Ed Domesh Shesh	id=g:376671
Dawmah	id=g:376672
Dawmah	id=g:376673
Ra’s ad Dawm	id=g:376674
Dawir	id=g:376675
Qal‘at Dawāwīr	id=g:376676
Shaqq Dawās	id=g:376677
Raqabat Dawās	id=g:376678
Dawās	id=g:376679
Dawālīb	id=g:376680
Dawab	id=g:376681
Jabal Ḑaw’	id=g:376682
Dauro	id=g:376683
Khawr Dā’ūd	id=g:376684
Dā’ūd	id=g:376685
War Dau	id=g:376686
Dasol Hills	id=g:376687
Dār Zubi	id=g:376688
Darwan	id=g:376689
Dār Urrti	id=g:376690
Wādī Darura	id=g:376691
Darura	id=g:376692
Marsa Darōr	id=g:376693
Khor Darunga Sarara	id=g:376694
Jebel Darunga	id=g:376695
Daru	id=g:376696
Tebella	id=g:376697
Wādī Dartawai	id=g:376698
Dār Shāwīsh	id=g:376699
Darsa	id=g:376700
Darroda	id=g:376702
Darri	id=g:376703
Wādī Darrām	id=g:376704
Darraka	id=g:376705
Dār Qimr	id=g:376706
Khawr Daronageib	id=g:376707
Dar Nāyīl	id=g:376708
Dār Mūsá	id=g:376709
Dār Muḩārib	id=g:376710
Darma Wells	id=g:376711
Dār Masālīţ	id=g:376712
Darmali	id=g:376713
Darma Hills	id=g:376714
Darmag Island	id=g:376715
Jabal Darlat	id=g:376716
Dār Kadreis	id=g:376717
Dār Jum‘ah	id=g:376718
Khor Dariet	id=g:376719
Khawr Dariakiya	id=g:376720
Khor Dari	id=g:376721
Jabal Dari	id=g:376722
Dari	id=g:376723
Dari	id=g:376724
Dār Ḩammād	id=g:376725
Dār Ḩāmid	id=g:376726
Dār Ḩāmid	id=g:376727
Dār Gaboja	id=g:376728
Mudīrīyat Dārfūr ash Shamālīyah	id=g:376729
Mudīrīyat Dārfūr al Janūbīyah	id=g:376730
Darfur Wilayat	id=g:376731
Dār Fartīt	id=g:376732
Dār Erenga	id=g:376733
Jebel Dar el Humar	id=g:376734
Dardog	id=g:376735
Dardaqa	id=g:376736
Dar Chemola	id=g:376737
Darbor	id=g:376738
Dār Bayḑā’	id=g:376739
Dār Bashīr	id=g:376740
Khawr Darb al Aswad	id=g:376741
Dār as Surūr	id=g:376742
Dār as Sāqiyah	id=g:376743
Dār ‘Aqīl	id=g:376744
Dār ‘Aqīl	id=g:376745
Dār al Kabīrah	id=g:376746
Qawz Dār al Ḩumr	id=g:376747
Jabal Dār al Ḩumar	id=g:376748
Dār al Ganta	id=g:376749
Dār al Bakhītah	id=g:376750
Dār al ‘Awada	id=g:376751
Dara Lagoon	id=g:376752
Jabal Daragumba	id=g:376753
Dār ‘Agabna	id=g:376754
Darāfisah	id=g:376755
Khor Darar	id=g:376756
Darādīr	id=g:376757
Jabal Darabei	id=g:376758
Dār ‘Abd al Ghanī	id=g:376759
Daraba	id=g:376760
Dara	id=g:376761
May‘at ad Daqqāq	id=g:376762
Daqqāq	id=g:376763
Daqiq er Raqad	id=g:376764
Qawz ad Daqīq	id=g:376765
Daqdaq	id=g:376766
Jabal Daqādiq	id=g:376767
Dankud	id=g:376768
Dankoj	id=g:376769
Jabal Dango South	id=g:376770
Jabal Dango North	id=g:376771
Dangolobei	id=g:376772
Dango	id=g:376773
Dangeil	id=g:376774
Dang Dang	id=g:376775
Rijl Dangaso	id=g:376776
Dangai	id=g:376777
Jabal ad Danga	id=g:376778
Danga	id=g:376779
Danga	id=g:376780
Danga	id=g:376781
Bir Dānāway	id=g:376782
Danāqilah	id=g:376783
Danāqilah	id=g:376784
Jabal Danai Tohadal	id=g:376785
Jibāl Da’nāb al Abyad	id=g:376786
Jebel Danaieb	id=g:376787
Khor Danai	id=g:376788
Dan Ageir	id=g:376789
Jebel Dana	id=g:376790
Wādī Damurgei	id=g:376791
Damūkīyah	id=g:376792
Da Molamudi	id=g:376793
Domm et Tor	id=g:376794
Damjok	id=g:376795
Damira at Tom	id=g:376796
Dam Gamad	id=g:376797
Dam Gamad	id=g:376798
Dameiso	id=g:376799
Damdegirgir	id=g:376800
Damboya	id=g:376801
Dambo	id=g:376802
Damblu	id=g:376803
Jabal Dambaroro	id=g:376804
Dambarang	id=g:376805
Wādī Dambar	id=g:376806
Ḩajar Dambar	id=g:376807
Dambar	id=g:376808
Damba Agi	id=g:376809
Sha‘ab Damath	id=g:376810
Wādī Damas	id=g:376811
Jabal Damani	id=g:376812
Damaku	id=g:376813
Naşb ad Dama	id=g:376814
Marsá Dalwayn	id=g:376815
Jabal Dalqū	id=g:376816
Dalqū	id=g:376817
Dal Madol	id=g:376818
Dallas	id=g:376819
Jabal Dallagalli	id=g:376820
Dāliyah	id=g:376821
Jabal Dalīlī	id=g:376822
Jabal Ad Dāli	id=g:376823
Dali	id=g:376824
Dali	id=g:376825
Daldiya	id=g:376826
Dal Catara	id=g:376827
Dalbur	id=g:376828
Jebel Dalasa	id=g:376829
Dallami	id=g:376830
Khawr Dal	id=g:376831
Jabal ad Dal	id=g:376832
Dal	id=g:376833
Dal	id=g:376834
Da Kongo	id=g:376835
Dakki	id=g:376836
Mashra‘ Dakkara	id=g:376837
Dakkām	id=g:376838
Dahrat ed Dak Hillat	id=g:376839
Dakhasa Island	id=g:376840
Dakar el Arak	id=g:376841
Dakaj	id=g:376842
Dakadim	id=g:376843
Bi’r Daiyu	id=g:376844
Daiyo Haiyoyab	id=g:376845
Jebel Daiyiqa	id=g:376846
Daiong	id=g:376847
Khor Dāyōb	id=g:376848
Dain	id=g:376849
Khor Daiat	id=g:376850
Saraf ad Dai	id=g:376851
Dai	id=g:376852
Jibāl Dahatēb	id=g:376853
Dahr el Gawad	id=g:376854
Jebel Derbeikan	id=g:376857
Da Higa	id=g:376858
Dahasira	id=g:376859
Khor Dahand	id=g:376860
Dagu Jebels	id=g:376861
Jabal Dago	id=g:376862
Dago	id=g:376863
Dagma	id=g:376864
Daghur	id=g:376865
Jabal Daghma	id=g:376866
Khawr Daghfalī	id=g:376867
Daghfalī	id=g:376868
Daghfalī	id=g:376869
Khor Dagent	id=g:376870
Dagash	id=g:376871
Dagash	id=g:376872
Dagarti	id=g:376873
Daga Post	id=g:376874
Dagalos	id=g:376875
Dagai	id=g:376876
Deke Songa Shet‘	id=g:376877
Dāfūri	id=g:376878
Daffāq	id=g:376879
Dafa‘ Allah	id=g:376880
Bi’r ad Dafa‘in	id=g:376881
Jabal Dadura	id=g:376882
Dado	id=g:376883
Dadit Arit	id=g:376884
Jebel Dadiar	id=g:376885
Dadei	id=g:376886
Khawr Dadalla	id=g:376887
Dada	id=g:376888
Khawr Dabura	id=g:376889
Jībal Dābrē	id=g:376890
Khawr ad Dabkir	id=g:376891
Dabira	id=g:376892
Dabinga	id=g:376893
Rahad ad Dabīb	id=g:376894
Khawr ad Dabīb	id=g:376895
Jabal Dabīb	id=g:376896
Dabīb	id=g:376897
Dabīb	id=g:376898
Khawr Dabeilai	id=g:376899
Dabdob	id=g:376900
Dabbat ‘Ubayd	id=g:376901
Jabal Dabbat Ḩajar Tays	id=g:376902
Dabbat al Bukhas	id=g:376903
Dabbakosh	id=g:376904
Jabal Dabbah	id=g:376905
Dabbah	id=g:376906
Dabbaghat	id=g:376907
Dabarosa West	id=g:376908
Dabarosa East	id=g:376909
Dabra	id=g:376910
Khor Dabar	id=g:376911
Dabanga	id=g:376912
Daballa	id=g:376913
Hillat Dabak	id=g:376914
Dabaina	id=g:376915
Dabai	id=g:376916
Jebel Dabahta	id=g:376917
Karabat ed Dab‘a	id=g:376918
Dabādīb	id=g:376919
Jabal aḑ Ḑab‘	id=g:376921
Jabal Daateit	id=g:376922
Jabal Daateit	id=g:376923
Da-Asir	id=g:376924
Daala	id=g:376925
Da-Aiyob Wushaq	id=g:376926
Da	id=g:376927
Conry	id=g:376928
Claud Rapids	id=g:376929
Chuth Akol	id=g:376930
Chur	id=g:376931
Chukudum	id=g:376932
Jabal al Chuimalla	id=g:376933
Dabbat Chuiluth	id=g:376934
Chuayluark	id=g:376935
Chref	id=g:376936
Chourak	id=g:376937
Chor Rial	id=g:376938
Chol Kon	id=g:376939
Cholei	id=g:376940
Chokagiling	id=g:376941
Choding Wells	id=g:376942
Chocho	id=g:376943
Chiulbong	id=g:376944
Chito	id=g:376945
Chitieg	id=g:376946
Chinemung	id=g:376947
Chindura	id=g:376948
River Chilimun	id=g:376949
Chilikwa	id=g:376950
Chik Chik	id=g:376951
Chijok	id=g:376952
Khawr Chifayuka	id=g:376953
Chieng	id=g:376954
Chielkong	id=g:376955
Chief Tiyak Dol	id=g:376956
Chief Majok Makwoich	id=g:376957
Chief Jambo	id=g:376958
Chidu	id=g:376959
Chibni	id=g:376960
Chiak	id=g:376961
Cherro	id=g:376962
Chero Kasi	id=g:376963
Cherawa	id=g:376964
Chekka	id=g:376965
Jabal Cheili	id=g:376966
Cheibet	id=g:376967
Chawa	id=g:376968
Chatokbai	id=g:376969
Chargoz	id=g:376970
Charet	id=g:376971
Jebel Chanim	id=g:376972
Khawr Chamchuar	id=g:376973
Chamba	id=g:376974
Chama	id=g:376975
Chalbong	id=g:376976
Chalamni	id=g:376977
Chakhchagh	id=g:376978
Chak Chak	id=g:376979
Chaka	id=g:376980
Chaghari	id=g:376981
Chagat	id=g:376982
Chado	id=g:376983
Carthago	id=g:376984
Carthago	id=g:376985
Kaboneit	id=g:376987
Khor Bwow	id=g:376988
Bwon Ngera	id=g:376989
Bwom	id=g:376990
Bwoda	id=g:376991
Bwoba	id=g:376992
Khawr Bwob	id=g:376993
Bwell	id=g:376994
Khor Bwabei	id=g:376995
Jabal al Buyūt	id=g:376996
Jabal Buyūt	id=g:376997
Saraf Būyā	id=g:376998
Jibāl Biweiriq	id=g:377000
Buweira Well	id=g:377001
Wadi el Buweira	id=g:377002
Buweida Islands	id=g:377003
Jebel el Buweida	id=g:377004
Bi’r Buwayrah	id=g:377005
Buwayḩah	id=g:377006
Jabal Buwayḑat al Qal‘ah	id=g:377007
Jabal Buwayḑah	id=g:377008
Jabal Buwayḑah	id=g:377009
Buwayḑah	id=g:377010
Butugab	id=g:377011
Butry	id=g:377012
Wâdi Butna	id=g:377013
Buthi	id=g:377014
Buthalor	id=g:377015
Butayr	id=g:377016
Kubry al Butana	id=g:377017
Būtah	id=g:377018
Butaba	id=g:377019
Jebel Busu	id=g:377020
River Busseri	id=g:377021
Bushayr	id=g:377022
Bushara Abukr	id=g:377023
Busatat	id=g:377024
Busatab	id=g:377025
Busatab	id=g:377026
Burut	id=g:377027
Khor Burusia	id=g:377028
Burush	id=g:377029
Jabal Burūr	id=g:377030
Burunga	id=g:377031
Burugila	id=g:377032
Burug el Bafalil	id=g:377034
Burubaasi	id=g:377035
Jabal Buru	id=g:377036
Burtiit	id=g:377037
Burthoiny	id=g:377038
Port Sudan	id=g:377039
Jebel Burs Hasan	id=g:377040
Bursa Rapids	id=g:377041
Jabal Burş al Wāw	id=g:377042
Jabal al Burş	id=g:377043
Burrī al Maḩas	id=g:377044
Burrī ad Darā’isah	id=g:377045
Jabal Burrei	id=g:377046
Jabal Burr	id=g:377047
Burr	id=g:377048
Burr	id=g:377049
Jabal Burqat Karkor	id=g:377050
Jabal Burqat al ‘Igeil	id=g:377051
Jabal Burqat al Hamaj	id=g:377052
Jabal Burqat al ‘Aysh	id=g:377053
Jabal Burqat Abū Hashim	id=g:377054
Jabal Burqah Qaşīr	id=g:377055
Jabal Burqah	id=g:377056
Jabal Burqah	id=g:377057
Jabal Burqah	id=g:377058
Bur Pass	id=g:377059
Buronga	id=g:377060
Buron	id=g:377061
Burnu	id=g:377062
Burns Reef	id=g:377063
Burkūt	id=g:377064
Burko	id=g:377065
Wādī Burjojoto	id=g:377066
Jabal Burj al ‘Anag	id=g:377067
Būr Islām	id=g:377068
Buriol	id=g:377069
Buring	id=g:377070
Wādī Burig	id=g:377071
Burich	id=g:377072
Buri	id=g:377073
Buri	id=g:377074
Jebel Burgur	id=g:377075
Jabal Burgudan	id=g:377076
Burghūl	id=g:377077
Jabal Buretta	id=g:377078
Jebel el Bureim	id=g:377079
Wādī Bure	id=g:377080
Burdīyah	id=g:377081
Jabal Burbūr	id=g:377082
Burbūr	id=g:377083
Burbūr	id=g:377084
Burbūr	id=g:377085
Burbūr	id=g:377086
Burbok	id=g:377087
El Gazera Umm Gamal	id=g:377088
Jabal al Buraysh	id=g:377089
Buraysh	id=g:377090
Jabal Burayşah	id=g:377091
Jabal Burayşah	id=g:377092
Jabal Burayşah	id=g:377093
Burayr	id=g:377094
Qal‘at Burayqah	id=g:377095
Jabal al Burayqah	id=g:377096
Jabal Burayqah	id=g:377097
Burayqah	id=g:377098
Jabal Birema	id=g:377099
Buraymah	id=g:377100
Jabal Buraykah	id=g:377101
Buraykah	id=g:377102
Bireidaya	id=g:377103
Burawa	id=g:377104
Jabal Burat	id=g:377105
Buram	id=g:377106
Buram	id=g:377107
Burām	id=g:377108
Buragwa	id=g:377109
Bura	id=g:377110
Bura	id=g:377111
Bura	id=g:377112
Jabal Būr	id=g:377113
Jabal Buqayrah	id=g:377114
Buothgark	id=g:377115
Buong	id=g:377116
Buom	id=g:377117
Buolboin	id=g:377118
Buol	id=g:377119
Banzaqa	id=g:377120
Jebel Bunkuku	id=g:377121
Buniyu	id=g:377122
Bungo	id=g:377123
Bungaru	id=g:377124
Bundukia	id=g:377125
Bunduq as Sa‘d	id=g:377126
Bundukki	id=g:377127
Bundas	id=g:377128
Bundagora	id=g:377129
Qal‘at al Bunayyāt	id=g:377130
Bunagok	id=g:377131
Bumma	id=g:377132
Jebel el Bum et Tiwat	id=g:377133
Bumbodi	id=g:377134
Bumbil	id=g:377135
El Bum et Tiwal	id=g:377136
Bumadol	id=g:377137
Wadi el Bum	id=g:377138
Bum	id=g:377139
Bulriah	id=g:377140
Bullinarti Island	id=g:377141
Bullinarti	id=g:377142
Bulli Island	id=g:377143
Bulli	id=g:377144
Bulla	id=g:377145
Buliet	id=g:377146
Bulgumeil	id=g:377147
Bulgar	id=g:377148
Khawr Buldidni	id=g:377149
Buldidini	id=g:377150
Buldanga	id=g:377151
Bulbuong	id=g:377152
Wādī Bulbul	id=g:377153
Bulbil	id=g:377154
Bulayl	id=g:377155
Jabal Bulaydāt	id=g:377156
Bulaydāt	id=g:377157
Bulai Koije	id=g:377158
Bul	id=g:377159
Bul	id=g:377160
Bul	id=g:377161
Bakra	id=g:377162
Buko	id=g:377163
Bukita	id=g:377164
Bu Kieny	id=g:377165
Bukba	id=g:377166
Buka	id=g:377167
Buk	id=g:377168
Buk	id=g:377169
Khawr Buinn	id=g:377170
Buingfor	id=g:377171
Buingfiort	id=g:377172
Khor Buhoya	id=g:377173
Wadi Buheirat el Kurdi	id=g:377174
Wadi Baheiri	id=g:377175
Wādī al Buḩayr	id=g:377176
Buḩayr	id=g:377177
Buhanti	id=g:377178
Bugus	id=g:377179
Bugra	id=g:377180
Bughira Hills	id=g:377181
Jabal Buggab	id=g:377182
Bugdumbush	id=g:377183
Jebel Bugbudu	id=g:377184
Jabal Bugaya	id=g:377185
Bufi	id=g:377186
Buffalo Cape	id=g:377187
Wādī Buei	id=g:377188
Budwot	id=g:377189
Budi	id=g:377190
Buddu	id=g:377191
Budaynah	id=g:377192
Khor Budah	id=g:377193
Buda	id=g:377194
Wādī al Bubuer	id=g:377195
Khawr Bubu	id=g:377196
Bubu	id=g:377197
Buboli	id=g:377198
Bu’ayrah	id=g:377199
Jebel Buarid	id=g:377200
Jabal Bua	id=g:377201
Bua	id=g:377202
Brugo	id=g:377203
Jabal Brinikol	id=g:377204
Khawr Breitak	id=g:377205
Brebria	id=g:377206
Al Barankū	id=g:377207
Jabal Būzi	id=g:377208
Boyar	id=g:377209
Boya Hills	id=g:377210
Jabal Bowra	id=g:377211
Jabal Bowarik	id=g:377212
Bowanin	id=g:377213
Boudi Island	id=g:377214
Both	id=g:377215
Both	id=g:377216
Boteh	id=g:377217
Bortogol Island	id=g:377218
River Boro	id=g:377219
Bornu	id=g:377220
Bo River	id=g:377221
Bo River	id=g:377222
Borida	id=g:377223
Borichadi	id=g:377224
Boriak	id=g:377225
Wādī Borgu	id=g:377226
Borgnaab	id=g:377227
Khawr Borghai	id=g:377228
Boreel	id=g:377229
Wādī Bordu	id=g:377230
Bor Dinka	id=g:377231
Bordein	id=g:377232
Borawil	id=g:377233
Borajoth	id=g:377234
Borah	id=g:377235
Bi’r Bora	id=g:377236
Bi’r Bora	id=g:377237
Bora	id=g:377238
Bora	id=g:377239
Bor	id=g:377240
Bor	id=g:377241
Bop	id=g:377242
Bonje	id=g:377243
Boni Island	id=g:377244
Jebel Boni	id=g:377245
Jabal Boni	id=g:377246
Bongwil	id=g:377247
Khor Bongo	id=g:377248
Bongo	id=g:377249
Bongo	id=g:377250
Bongo	id=g:377251
Bongak	id=g:377252
Jabal Bong	id=g:377253
Bondas	id=g:377254
Bon Bek	id=g:377255
Bombori	id=g:377256
River Boma	id=g:377257
Boma	id=g:377258
Bol Thi	id=g:377259
Bolo Kolik	id=g:377260
Bologna	id=g:377261
Bolo	id=g:377262
Bolich	id=g:377263
Boli	id=g:377264
Ouadi Bol Hamid	id=g:377265
Bol Dit	id=g:377266
Jebel Bolanda	id=g:377267
Bol	id=g:377268
Bol	id=g:377269
Bol	id=g:377270
Bol	id=g:377271
Bol	id=g:377272
Bol	id=g:377273
Bokuna	id=g:377274
Jabal Bōkmarēb	id=g:377275
Bokko	id=g:377276
Bokko	id=g:377277
Bojo-ajut	id=g:377278
Būtat Boja	id=g:377279
Boing	id=g:377280
Boigniate	id=g:377281
Boi Attar	id=g:377282
Karabat Bohat	id=g:377283
Wādī Bogutt	id=g:377284
Bogora	id=g:377285
Būjū	id=g:377286
Jabal Bogal	id=g:377287
Bodurnungorei	id=g:377288
River Bodo	id=g:377289
Khawr Bodo	id=g:377290
Bodial	id=g:377291
Bobuk	id=g:377292
Khawr Bobor	id=g:377293
Bobolein	id=g:377294
Jabal Boballor	id=g:377295
Wādī Boba	id=g:377296
Wādī Boba	id=g:377297
Boara	id=g:377298
Jibāl al Bablos	id=g:377299
Bluff Point	id=g:377300
Blue Nile	id=g:377301
Bl Mish Island	id=g:377302
Biyara	id=g:377303
Qal‘at Biyar	id=g:377304
Biu	id=g:377305
Biu	id=g:377306
Bittia	id=g:377307
Biti	id=g:377308
Jebel Jebel Bitaiet	id=g:377309
Bita	id=g:377310
Bi’r Bisil	id=g:377311
Bishārīyīn Umm Nājī	id=g:377312
Barq al Bishārīyīn	id=g:377313
Bisharin Umm Nagi	id=g:377314
Bisharin Umm Nagi	id=g:377315
Bisharin Umm Nagi	id=g:377316
Bisharin Umm ‘Ali Amrab	id=g:377317
Bisharin Umm ‘Ali	id=g:377318
Jabal Bishārah aţ Ţayyib	id=g:377319
Bisellia	id=g:377320
Hajar at Ter	id=g:377321
Birtu	id=g:377322
Birti Island	id=g:377323
Birti el Kirbekan	id=g:377324
Wādī Birtabit	id=g:377325
Jabal Birtabit	id=g:377326
Bi’r Sindī	id=g:377327
Birshi	id=g:377328
Bi'r Shalatayn	id=g:377329
Jabal Bi’r Sarār	id=g:377330
Khawr Birrī	id=g:377331
Birrī	id=g:377332
Bi’r Qurūd	id=g:377333
Birkatulli	id=g:377334
Birkat Ţayr	id=g:377335
Birkat Saira	id=g:377336
Birkat Khaḑrā’	id=g:377337
Birkat Jarrah	id=g:377338
Birkah	id=g:377339
Birkah	id=g:377340
Bi’r Jadīd	id=g:377341
Birja	id=g:377342
Birish Malyan	id=g:377343
Khor Birisagi	id=g:377344
Khor Birisagai	id=g:377345
Birinjīyah	id=g:377346
Biringil	id=g:377347
Jabal Biring	id=g:377348
Jabal Biribiri	id=g:377349
River Biri	id=g:377350
Biri	id=g:377351
Biri	id=g:377352
Khor Birhindieb	id=g:377353
Birganga	id=g:377354
Bireigo	id=g:377355
Bir Di	id=g:377356
Jebel Bir Daqiq	id=g:377357
Bi’r Daqīq	id=g:377358
Khor Agwētāy	id=g:377359
Khawr Birambiri	id=g:377360
Bi’r al Ḩaşá	id=g:377361
Bir el ‘As	id=g:377362
Birak	id=g:377363
Bir Abu Saleh	id=g:377364
Bira	id=g:377365
Qawz al Bi’r	id=g:377366
Jabal al Bi’r	id=g:377367
Bior Arbit	id=g:377368
Biong Ayer	id=g:377369
Jabal Bint Umm Baḩr	id=g:377370
Jabal Bint Umm Baḩr	id=g:377371
Bint Umm Baḩr	id=g:377372
Bint Ruqayyah	id=g:377373
Wādī Bint Rafit	id=g:377374
Bint Rafit	id=g:377375
Gazerat Bit Nona	id=g:377376
Bint Goda	id=g:377377
Bint Ghanais	id=g:377378
Bint Ghābāt	id=g:377379
Bint al Kalb	id=g:377380
Bi’r Bint ad Durayb	id=g:377381
Qal‘at al Bint	id=g:377382
Jabal Binna	id=g:377383
Bingo	id=g:377384
Bindisi	id=g:377385
Binawaw	id=g:377386
Bin	id=g:377387
Bimi	id=g:377388
Bimbi	id=g:377389
Bimarrah	id=g:377390
Bimachuk	id=g:377391
Wādī Bilwauna	id=g:377392
Jabal Bilwauna	id=g:377393
Bilmogga	id=g:377394
Billing	id=g:377395
Billing	id=g:377396
Jabal Biliniang	id=g:377397
Bileteb	id=g:377398
Bila Tatibsa	id=g:377399
Bilasit	id=g:377400
