Pooles Grove Baptist Church	id=g:7231028
Zion Grove Disciples Church	id=g:7231123
Zion Wall Free Will Baptist Church	id=g:7231124
Ahoskie Public Library	id=g:7231125
Brunswick County Library - Leland Branch	id=g:7231126
Brunswick County Library - Rourk Branch	id=g:7231127
Chadbourn Community Library	id=g:7231128
Chowan University - Whitaker Library	id=g:7231129
Clarkton Public Library	id=g:7231130
Columbus County Public Library	id=g:7231131
Calypso Water Treatment Plant	id=g:7231132
Elizabeth City Water Treatment Plant	id=g:7231133
Fairfield Water Treatment Plant	id=g:7231134
Havelock Water Treatment Plant	id=g:7231135
Pasquotank County Water Treatment Plant	id=g:7231136
Tyrell County Water Treatment Plant	id=g:7231137
Washington Water Treatment Plant	id=g:7231138
Flint Hills Technical College	id=g:7231139
Basehor Linwood High School	id=g:7231140
West Franklin Learning Center	id=g:7231141
West Franklin Unified School District Office	id=g:7231142
Central Heights Middle School	id=g:7231143
Central Heights Unified School District Office	id=g:7231144
Doniphan West Middle School	id=g:7231145
Baldwin Elementary School - Intermediate Center	id=g:7231146
Baldwin City Unified School District Office	id=g:7231147
Saint Michael Catholic Elementary School	id=g:7231148
Mill Creek Valley Unified School District Office	id=g:7231149
Hiawatha Unified School District Office	id=g:7231150
Hiawatha Middle School	id=g:7231151
Bonner Springs Unified School District Central Offices	id=g:7231152
Xavier Elementary School	id=g:7231153
Trojan Elementary School	id=g:7231154
Rock Creek High School	id=g:7231155
Wakarusa Valley Elementary School	id=g:7231156
Montessori Childrens House	id=g:7231157
Bible Baptist School	id=g:7231158
Emmett Grade School	id=g:7231159
Central Elementary School	id=g:7231160
Tecumseh South Elementary School	id=g:7231161
North Broadway Elementary School (historical)	id=g:7231162
Jefferson West Middle School	id=g:7231163
Tonganoxie Elementary School	id=g:7231164
Grant Elementary School	id=g:7231165
Sunshine Acres Preschool	id=g:7231166
Delaware Ridge Elementary School	id=g:7231167
Piper Unified School District Office	id=g:7231168
Kansas City Public Schools Central Office	id=g:7231169
Open Door Christian School	id=g:7231170
Spring Hill School District Ofices	id=g:7231171
Moonlight Elementary School	id=g:7231172
Madison Elementary School	id=g:7231173
Gardner Edgerton Unified School District Offices	id=g:7231174
Pioneer Ridge Middle School	id=g:7231175
Countryside Learning Center	id=g:7231176
Horizon Elementary School	id=g:7231177
Wabaunsee High School	id=g:7231178
Carbondale Elementary Attendance Center	id=g:7231179
Tonganoxie Middle School	id=g:7231180
Mission Valley Elementary and Junior High School	id=g:7231181
Westmoreland Elementary School	id=g:7231182
Olsburg Elementary School	id=g:7231183
Prairie Park Elementary School	id=g:7231184
Shawnee Heights Unified School District Central Administrative Office	id=g:7231185
Central Heights Elementary School	id=g:7231186
Basehor Elementary School	id=g:7231187
Turner Unified School District Offices	id=g:7231188
Mill Creek Middle School	id=g:7231189
De Soto Unified School District Offices	id=g:7231190
Canterbury Preparatory School	id=g:7231191
Atchison Public Schools District Offices	id=g:7231192
Richard W Warren Middle School	id=g:7231193
Leavenworth Unified School District Offices	id=g:7231194
Fort Leavenworth School District Offices	id=g:7231195
Pleasant Ridge Middle School	id=g:7231196
Easton Unified School District Office	id=g:7231197
Shawnee Mission School District - Center for International Studies	id=g:7231198
Lansing Unified School District Administration Office	id=g:7231199
Langston Hughes Elementary School	id=g:7231200
Lawrence Adult Learning Center	id=g:7231201
Lawrence Diploma Completion Program	id=g:7231202
Lawrence Public School District Offices	id=g:7231203
Troy Middle School	id=g:7231204
Troy Public Schools District Office	id=g:7231205
Canterbury Preparatory School	id=g:7231206
Basehor Sixth Grade Center	id=g:7231207
Basehor Linwood Unified School District Offices	id=g:7231208
Eudora School District Central Office	id=g:7231209
Tonganoxie Unified School District Offices	id=g:7231210
McLouth Unified School District Offices	id=g:7231211
Jefferson County North School District Offices	id=g:7231212
Effingham Elementary School	id=g:7231213
Atchison County Community High School	id=g:7231214
Atchison County Community Schools - District Office	id=g:7231215
Sunrise Point Elementary School	id=g:7231216
Blue Valley Southwest High School	id=g:7231217
Blue Valley School District Offices	id=g:7231218
Accelerated Elementary School	id=g:7231219
Shawnee Mission School District Offices	id=g:7231220
Madison Place Elementary School	id=g:7231221
Woodland Elementary School	id=g:7231222
Claire Alternative Education Center	id=g:7231223
Millcreek Center - Technical School	id=g:7231224
Olathe School District - Project Choices Facility	id=g:7231225
Prairie Learning Center	id=g:7231226
Olathe School District Offices	id=g:7231227
Insight School of Kansas	id=g:7231228
Spring Hill Intermediate School	id=g:7231229
Prairie Creek Elementary School	id=g:7231230
Valley Falls Unified School District Office	id=g:7231231
Valley Falls Middle School	id=g:7231232
Oskaloosa Public Schools District Office	id=g:7231233
Jefferson West Unified School District Central Office	id=g:7231234
South Brown County Unified School District Office	id=g:7231235
Kickapoo Nation High School	id=g:7231236
North Jackson Unified School District Office	id=g:7231237
Holton Unified School District Office	id=g:7231238
Royal Valley Unified School District Office	id=g:7231239
Sabetha Wetmore Unified School District Central Office	id=g:7231240
Nemaha Valley School District Offices	id=g:7231241
B and B Unified School District Office	id=g:7231242
Vermillion Unified School District Office	id=g:7231243
Axtell Bern Summerfield School District Office	id=g:7231244
Wamego Unified School District Office	id=g:7231245
Kaw Valley Unified School District Office	id=g:7231246
Onaga Unified School District Office	id=g:7231247
Rock Creek Unified School District Office	id=g:7231248
Mill Creek Valley Middle School	id=g:7231249
Osage City Unified School District Office	id=g:7231250
Osage City Middle School	id=g:7231251
Lyndon Unified School District Office	id=g:7231252
Wellsville Unified School District Office	id=g:7231253
Wellsville Middle School	id=g:7231254
Ottawa Unified School District Office	id=g:7231255
Osawatomie Unified School District Office	id=g:7231256
Cottonwood Elementary School	id=g:7231257
Santa Fe Trail Unified School District	id=g:7231258
Burlingame Unified School District Office	id=g:7231259
Burlingame Elementary School	id=g:7231260
Marais Des Cygnes Valley Unified School District Office	id=g:7231261
Silver Lake Junior High School	id=g:7231262
Silver Lake Unified School District Office	id=g:7231263
Auburn Washburn Unified School District Office	id=g:7231264
Tallgrass Student Learning Center	id=g:7231265
Peoria Street Learning Center	id=g:7231266
Peoria Street Learning Center	id=g:7231267
Louisburg Unified School District Office	id=g:7231268
Kansas State Historical Society - Center for Historical Research	id=g:7231269
Holland Student Service Center	id=g:7231270
Topeka Public Schools Service Center	id=g:7231271
Topeka Public Schools McKinley L Burnett Administrative Center	id=g:7231272
Corpus Christi Catholic School	id=g:7231273
Holy Rosary Wea Catholic School	id=g:7231274
John Paul II Catholic School	id=g:7231275
Saint James Academy	id=g:7231276
Johnson County Juvenile Detention Center School	id=g:7231277
West Franklin Middle School	id=g:7231278
Dover Elementary School (historical)	id=g:7231279
Heritage Christian School	id=g:7231280
Tomahawk Ridge Elementary School (historical)	id=g:7231281
Lawrence Free State High School	id=g:7231282
Piper West Elementary School	id=g:7231283
Piper East Elementary School	id=g:7231284
Sunflower Elementary School	id=g:7231285
Royal Valley Middle School	id=g:7231286
Tonganoxie High School	id=g:7231287
Hiawatha Elemementary School	id=g:7231288
Rossville High School	id=g:7231289
Lansing Intermediate School	id=g:7231290
Discovery Montessori School	id=g:7231291
Eudora High School	id=g:7231292
Bern Schools	id=g:7231293
Gardner Edgerton High School	id=g:7231294
Wathena Elementary School	id=g:7231295
Delia Charter School	id=g:7231296
Piper Middle School	id=g:7231297
Lawrence Alternative High School (historical)	id=g:7231298
Santa Fe Trail Schools - Overbrook Attendance Center	id=g:7231299
Louisburg Middle School	id=g:7231300
Bonner Springs Elementary School	id=g:7231301
Meadows Elementary School	id=g:7231302
V Lindsay Seventh Day Adventist School	id=g:7231303
Lancaster Elementary School	id=g:7231304
Colorado Elementary School	id=g:7231305
Tomahawk Elementary School	id=g:7231306
Knollwood Baptist School	id=g:7231307
Auburn Elementary School	id=g:7231308
McLouth Middle School	id=g:7231309
Mission Oaks Christian School	id=g:7231310
Saint John Lutheran School	id=g:7231311
Bethel Christian Academy	id=g:7231312
Rochester Elementary School	id=g:7231313
Mill Creek Valley Junior High School	id=g:7231314
Jackson Heights Elementary School	id=g:7231315
Lansing Middle School	id=g:7231316
Santa Fe Trail High School	id=g:7231317
Ottawa Middle School	id=g:7231318
Indian Hills Elementary School	id=g:7231319
Vinland Elementary School	id=g:7231320
Wamego High School	id=g:7231321
Kickapoo Nation School	id=g:7231322
Raintree Montessori School	id=g:7231323
Wamego Middle School	id=g:7231324
Marion Springs Elementary School	id=g:7231325
Perry Elementary School	id=g:7231326
Capital City School	id=g:7231327
Schuyler Elementary School (historical)	id=g:7231328
Cummings Elementary School	id=g:7231329
Central Heights High School	id=g:7231330
Saint John School	id=g:7231331
Lansing High School	id=g:7231332
Merriam Park Elementary School	id=g:7231333
Endeavor Alternative School	id=g:7231334
Washburn Rural Middle School	id=g:7231335
Perry Lecompton Middle School	id=g:7231336
Most Pure Heart Mary School	id=g:7231337
Kiddie Kollege Primary Grade School	id=g:7231338
West Franklin High School	id=g:7231339
Berryton Elementary School	id=g:7231340
Williams Science And Fine Arts Magnet School	id=g:7231341
The Phoenix Montessori School	id=g:7231342
Topeka Collegiate School	id=g:7231343
Highlawn Montessori School	id=g:7231344
Saint Marys Elementary School	id=g:7231345
Nottingham Elementary School	id=g:7231346
Ottawa High School	id=g:7231347
Alma Grade School	id=g:7231348
Jefferson West Elementary School	id=g:7231349
Jefferson County North Elementary and Middle School	id=g:7231350
Oskaloosa Middle School	id=g:7231351
Saint Joseph Elementary School	id=g:7231352
Lakemary Center	id=g:7231353
Eudora West Elementary School	id=g:7231354
Muncie Christian School	id=g:7231355
Cair Paravel Latin School	id=g:7231356
Paola Christian Academy	id=g:7231357
Christ Preparatory School	id=g:7231358
Seventh Day Adventist Elementary School	id=g:7231359
Wellsville Elementary School	id=g:7231360
Jackson Heights High School	id=g:7231361
Topeka Lutheran School	id=g:7231362
Kennedy Academy	id=g:7231363
Jay Shideler Elementary School	id=g:7231364
Pleasant Ridge Middle School	id=g:7231365
Tecumseh North Elementary School	id=g:7231366
Jefferson West Intermediate School	id=g:7231367
Faith Baptist Christian School	id=g:7231368
Elmont Elementary School	id=g:7231369
Open Door Christian School	id=g:7231370
Trinity Lutheran School	id=g:7231371
Williamsburg Elementary School	id=g:7231372
Mount Saint Scholastica High School	id=g:7231373
Saint Marys High School	id=g:7231374
Cornerstone Family School	id=g:7231375
Shawnee Heights Middle School	id=g:7231376
South Junior High school	id=g:7231377
Broken Arrow Elementary School	id=g:7231378
Lecompton Elementary School	id=g:7231379
Saint Matthew Elementary School	id=g:7231380
Christ The King School	id=g:7231381
Jefferson West High School	id=g:7231382
Mount Carmel Christian Day School	id=g:7231383
Washburn Rural High School	id=g:7231384
Maple Hill Grade School	id=g:7231385
Holy Name Elementary School	id=g:7231386
Rossville Grade School	id=g:7231387
Veritas Christian School	id=g:7231388
Deerfield Elementary School	id=g:7231389
Spring Hill High School	id=g:7231390
Lincoln Middle School (historical)	id=g:7231391
Quail Run Elementary School	id=g:7231392
Washburn Rural Alternative High School	id=g:7231393
West Elementary School	id=g:7231394
Lansing Elementary School	id=g:7231395
Shawnee Heights High School	id=g:7231396
Eudora Middle School	id=g:7231397
Eisenhower Elementary School	id=g:7231398
Immaculate Conception School	id=g:7231399
Northwest Christian School	id=g:7231400
Edmonds School District 15 Office	id=g:7231401
Harbour Pointe Middle School	id=g:7231402
Northshore Christian Academy	id=g:7231403
North Sound Christian School	id=g:7231404
Archbishop Murphy High School	id=g:7231405
Silver Lake Elementary School	id=g:7231406
Victory Academy	id=g:7231407
Mukilteo Elementary School	id=g:7231408
Christian Life School	id=g:7231409
Pacific Montessori Learning Center	id=g:7231410
Spruce Elementary School	id=g:7231411
Totem Middle School	id=g:7231412
Everett Home School Alternatives	id=g:7231413
Brighton School	id=g:7231414
Saint Thomas More Parish School	id=g:7231415
Master's Touch Christian School	id=g:7231416
Solomon Christian School	id=g:7231417
Fryelands Elementary School	id=g:7231418
Gateway Middle School	id=g:7231419
Monroe Montessori School	id=g:7231420
Grace Academy	id=g:7231421
Everett School District 2 Office	id=g:7231422
Monroe Montessori School	id=g:7231423
Cavelero Mid High School	id=g:7231424
Columbia College	id=g:7231425
Monte Cristo Elementary School	id=g:7231426
Marysville School District 25 Office	id=g:7231427
Edmonds Cyber School	id=g:7231428
Monroe Public Schools District Office	id=g:7231429
Snohomish School District 201 Office	id=g:7231430
Soundview Private School	id=g:7231431
Peaceful Glen Christian School	id=g:7231432
Skyview Junior High School	id=g:7231433
Puget Sound Christian College	id=g:7231434
Lake Stevens School District 4 Office	id=g:7231435
10th Street School	id=g:7231436
Zion Lutheran School	id=g:7231437
Henry Cogswell College	id=g:7231438
Mars Hill Graduate School	id=g:7231439
Redemption Evangelical Lutheran School	id=g:7231440
Mountain Way Elementary School	id=g:7231441
Aim High School	id=g:7231442
Fernwood Elementary School	id=g:7231443
Charles Denny Juvenile Detention Center School	id=g:7231444
Totem Falls Elementary School	id=g:7231445
Montessori Schools - Snohomish Center	id=g:7231446
Marysville Christian School	id=g:7231447
Sky Valley Education Center	id=g:7231448
Lake Stevens Homelink Alternative School	id=g:7231449
Sno-isle Technical Skills Center	id=g:7231450
Summit Program Elementary School	id=g:7231451
Mukilteo School District 6 Office	id=g:7231452
Central Washington University	id=g:7231453
Sequoia High School	id=g:7231454
Landmark Baptist School	id=g:7231455
Montessori School of San Leandro	id=g:7231456
West Oakland Middle School at Lowell	id=g:7231457
Jensen Ranch Elementary School	id=g:7231458
Leas Christian School	id=g:7231459
Manzanita Community School	id=g:7231460
Redwood Christian School - Crossroads Elementary Campus	id=g:7231461
Woodroe Woods School	id=g:7231462
Northern Light School	id=g:7231463
Saint Vincent's Day Home School	id=g:7231464
Redwood Day School	id=g:7231465
Lighthouse Christian Academy	id=g:7231466
Rising Star Montessori School	id=g:7231467
New Age Academy	id=g:7231468
Archway School	id=g:7231469
Cedar Creek Montessori School	id=g:7231470
Lighthouse Community Charter School	id=g:7231471
Redwood Christian School Junior and Senior High Campus	id=g:7231472
Luxor Academy	id=g:7231473
Horizon Primary School	id=g:7231474
Faith Ringgold School of Arts and Science	id=g:7231475
Alternative Learning Community at Toler Heights	id=g:7231476
Stivers Academy	id=g:7231477
Grand Lake Montessori School	id=g:7231478
Clara Mohammed School	id=g:7231479
International Bible Baptist Academy	id=g:7231480
Cornerstone Christian Academy	id=g:7231481
Oakland Hebrew Day School	id=g:7231482
Strong Academy	id=g:7231483
Education for Change at Cox Elementary School	id=g:7231484
Oakland Charter Academy	id=g:7231485
His Growing Grove	id=g:7231486
Strong Heritage Academy	id=g:7231487
Ocean View Elementary School	id=g:7231488
Spectrum Center Schools - Oakland Camden Campus	id=g:7231489
The Academy School	id=g:7231490
Mills College - Childrens School	id=g:7231491
Oakland Hebrew Day School	id=g:7231492
Growing Light Montessori School	id=g:7231493
Montessori School of San Leandro - Washington Avenue	id=g:7231494
Pacific Rim International School	id=g:7231495
Beacon School	id=g:7231496
Doctor Herbert Guice Christian Academy	id=g:7231497
Montessori Family School	id=g:7231498
Civicorps Academy	id=g:7231499
Aurora School	id=g:7231500
Maybeck High School	id=g:7231501
Berkeley Montessori School	id=g:7231502
E C Reems Academy of Technology and Art	id=g:7231503
Calvary Lutheran School	id=g:7231504
Ecole Bilingue de Berkeley	id=g:7231505
Via Center School	id=g:7231506
Child Unique Montessori School	id=g:7231507
Dolores Huerta Learning Academy	id=g:7231508
Walden Center and School	id=g:7231509
Raskob Day School	id=g:7231510
New Life Academy	id=g:7231511
Camelot School	id=g:7231512
Agnes Memorial Elementary School	id=g:7231513
Black Pine Circle School	id=g:7231514
The Renaissance School	id=g:7231515
Oakland Montessori School	id=g:7231516
The Crowden School	id=g:7231517
Bayside Seventh Day Adventist Christian School	id=g:7231518
American Indian Public Charter School	id=g:7231519
Berkeley Montessori School	id=g:7231520
Berkeley Alternative High School Independent Study	id=g:7231521
Archway School	id=g:7231522
East Bay School for Girls	id=g:7231523
International Community Elementary School	id=g:7231524
Learning Without Limits at Jefferson	id=g:7231525
Life Academy	id=g:7231526
Met West Alternative School	id=g:7231527
Peralta Creek Middle School at Simmons	id=g:7231528
Rudsdale Continuation School	id=g:7231529
Think College Now Elementary School	id=g:7231530
Tilden Elementary School	id=g:7231531
Urban Promise Academy	id=g:7231532
Oakland School for the Arts	id=g:7231533
Oakland Unity High School	id=g:7231534
Oasis High School	id=g:7231535
Lionel Wilson College Preparatory School	id=g:7231536
Envision Academy of Arts and Technology	id=g:7231537
Space Exploration Academy	id=g:7231538
Youth Employment Partnership Office	id=g:7231539
Hillside Academy	id=g:7231540
American Indian Public Charter School II	id=g:7231541
American Indian Public High School	id=g:7231542
Arise High School	id=g:7231543
Oakland International High School	id=g:7231544
Conservatory of Vocal and Instrument Arts	id=g:7231545
East Oakland Leadership Academy	id=g:7231546
East Oakland Leadership Academy High School	id=g:7231547
Lighthouse Community Charter High School	id=g:7231548
Leadership Public Schools College Park School	id=g:7231549
North Oakland Community Charter School	id=g:7231550
Oakland Aviation High School	id=g:7231551
Oakland Charter High School	id=g:7231552
The Elementary School of Arts and Sciences	id=g:7231553
Escuela Billingue Internacional	id=g:7231554
Ile Omode School	id=g:7231555
Julia Morgan School for Girls	id=g:7231556
Saint Andrew Baptist School	id=g:7231557
Saint Martin de Porres School - Saint Columbia Campus	id=g:7231558
Acorn Woodland Elementary School	id=g:7231559
Alliance Academy Middle School	id=g:7231560
Community Day High School	id=g:7231561
Community United Elementary School at Lockwood	id=g:7231562
Dewey Academy	id=g:7231563
East Oakland Pride Elementary School at Webster	id=g:7231564
Encompass Academy	id=g:7231565
Fred T Korematsu Discovery Academy at Stonehurst	id=g:7231566
KIPP King Collegiate Charter High School	id=g:7231567
Shining Light Christian Academy	id=g:7231568
The Sunshine School	id=g:7231569
Liberty School	id=g:7231570
Chinese Christian Schools - Alameda Campus	id=g:7231571
Alameda Science and Technology Institute	id=g:7231572
Principled Academy	id=g:7231573
Stars West Campus High School	id=g:7231574
Jesus Christ is Lord Academy	id=g:7231575
Childrens Learning Center Middle and High School	id=g:7231576
Excel College Preparatory High School at McClymonds	id=g:7231577
Business Entrepreneurial School of Technology at McClymonds	id=g:7231578
Acts Christian Academy	id=g:7231579
ASA Academy and Community Science Center	id=g:7231580
Millsmont Academy - Secondary	id=g:7231581
Merritt College - Fruitvale Center	id=g:7231582
Golden Gate Apple School	id=g:7231583
Growing Light Montessori School of Oakland	id=g:7231584
Rise Community School at Highland	id=g:7231585
Coliseum College Preparatory Academy at Havenscourt	id=g:7231586
Futures Elementary School at Lockwood	id=g:7231587
Greenleaf Elementary School at Whittier	id=g:7231588
Global Family School at Jefferson	id=g:7231589
Victory Academy	id=g:7231590
Liber Academy of Hayward	id=g:7231591
Chabot College San Leandro Center	id=g:7231592
Leadership Public Schools Hayward	id=g:7231593
School for Independent Learners East Bay	id=g:7231594
Shu Ren International School	id=g:7231595
Abelian Group Math School	id=g:7231596
Childrens Learning Center Elementary School	id=g:7231597
Redwood Christian School Concept Help	id=g:7231598
East Bay Arts High School	id=g:7231599
Leadership High School	id=g:7231600
Independence High School	id=g:7231601
Meadows Livingstone School	id=g:7231602
San Miguel Child Development Center	id=g:7231603
Erikson School	id=g:7231604
Adda Clevenger Junior Preparatory School	id=g:7231605
Hergl School	id=g:7231606
Life Learning Academy Charter School	id=g:7231607
Living Hope Christian School	id=g:7231608
Academy of Arts and Sciences	id=g:7231609
Hearing and Speech Center of Northern California	id=g:7231610
S R Martin College Preparatory School	id=g:7231611
Katherine Michiels School	id=g:7231612
San Francisco City Academy	id=g:7231613
Gateway High School	id=g:7231614
Tenderloin Community School	id=g:7231615
Saint Stephen School	id=g:7231616
Sunset Bible School	id=g:7231617
Holy Trinity Orthodox School	id=g:7231618
Krouzian Zekarian Lower School	id=g:7231619
Cornerstone Academy - Silver Campus	id=g:7231620
Mission Education Center	id=g:7231621
Hebrew Academy of San Francisco	id=g:7231622
Katherine Delmar Burke School	id=g:7231623
Challenge to Learning School	id=g:7231624
Visitacion Valley Middle School	id=g:7231625
Convent of the Sacred Heart Elementary School	id=g:7231626
Maria Montessori School	id=g:7231627
Stuart Hall for Boys School	id=g:7231628
John Yehall Chin Elementary School	id=g:7231629
Saint John of San Francisco Orthodox Academy	id=g:7231630
Brandeis Hillel Day School	id=g:7231631
Rise Institute	id=g:7231632
Convent of the Sacred Heart High School	id=g:7231633
Laurel School	id=g:7231634
New Traditions Elementary School	id=g:7231635
Youth Chance High School	id=g:7231636
Montessori House of Children	id=g:7231637
Edgewood Children and Family Center	id=g:7231638
Pacific Primary School	id=g:7231639
Bridgemont Junior Senior High School	id=g:7231640
Childrens Day School	id=g:7231641
Sand Paths Academy	id=g:7231642
Montessori Children's Center	id=g:7231643
Willie L Brown Academy - College Preparatory School	id=g:7231644
Montessori Childrens House of the West Coast	id=g:7231645
City College of San Francisco - Adult Learning and Tutorial Center	id=g:7231646
International High School	id=g:7231647
Cornerstone Academy - Cambridge Campus	id=g:7231648
University of California - San Francisco Mount Zion	id=g:7231649
University of California - San Francisco Mission Bay	id=g:7231650
University of California - San Francisco Laurel Heights	id=g:7231651
Treasure Island Job Corps Center	id=g:7231652
Bais Menachem Yeshiva Day School	id=g:7231653
De Marillac Academy	id=g:7231654
Jewish Community High School of the Bay	id=g:7231655
Muhammad University of Islam School	id=g:7231656
Russian American International School	id=g:7231657
San Francisco Friends School	id=g:7231658
Stuart Hall High School	id=g:7231659
The Bay School of San Francisco	id=g:7231660
City Arts and Technology High School	id=g:7231661
Five Keys Charter School	id=g:7231662
June Jordan School for Equity	id=g:7231663
KIPP Bayview Academy	id=g:7231664
Metropolitan Arts and Technology School	id=g:7231665
Rooftop Alternative School - Mayeda Campus	id=g:7231666
A P Shaw United Methodist Church	id=g:7231667
Bethel Commandment Church	id=g:7231668
Bethlehem Fire Baptized Holiness Church	id=g:7231669
Body of Christ Baptist Church	id=g:7231670
Capital View Baptist Church	id=g:7231671
Capitol Temple Church of God in Christ	id=g:7231672
Church of Christ of the East Capitol	id=g:7231673
Church of God of Prophecy	id=g:7231674
Church of Our Lord Jesus Christ of Washington District of Columbia	id=g:7231675
Church of the First Born	id=g:7231676
Divine Love Baptist Church	id=g:7231677
First Baptist Church of Georgetown	id=g:7231678
First Christ Apostolic Church	id=g:7231679
First Mystery Church of God	id=g:7231680
First United Church of Christ Apostolic	id=g:7231681
Fruit of the Spirit Baptist Church	id=g:7231682
Gateway to Heaven Pentecostal Holiness Church	id=g:7231683
Georgetown Baptist Church	id=g:7231684
Gospel Missionary Baptist Church	id=g:7231685
Gospel Spreading Church	id=g:7231686
Greater Mount Calvary Holy Church	id=g:7231687
Holy Way of the Cross Church of Christ	id=g:7231688
Hope Christian Church	id=g:7231689
International Deliverance Church of God	id=g:7231690
James Memorial Baptist Church	id=g:7231691
Kingdom of Zion Baptist Church	id=g:7231692
Lighthouse Full Gospel Mission Church	id=g:7231693
Little Mount Zion Holiness Church of God	id=g:7231694
Little Rock Church of Christ and Hope for Life Centers	id=g:7231695
Macedonia Holy Church on the Rock	id=g:7231696
Morningstar Pentecostal Church	id=g:7231697
Mount Rona Missionary Baptist Church	id=g:7231698
Mount Zion Pentecostal Church	id=g:7231699
New Abundant Life Missionary Baptist Church	id=g:7231700
New Beginning Way of the Cross Church	id=g:7231701
New Bethany Baptist Church	id=g:7231702
New Bethel Church of God in Christ	id=g:7231703
New Birth Baptist Church	id=g:7231704
New Birth Missionary Baptist Church	id=g:7231705
New Grove Baptist Church	id=g:7231706
New Mount Carmel Freewill Baptist Church	id=g:7231707
New Redeemer Baptist Church	id=g:7231708
