Hobo Lake	id=g:4996170
Houghton Lake High School	id=g:4996582
Houghton Lake Lookout Tower	id=g:4996583
Houghton Lake Park	id=g:4996584
Houghton Lake State Airport	id=g:4996585
Houghton Lake State Forest	id=g:4996586
Houghton Lake State Game Farm	id=g:4996587
Houghton Point	id=g:4996588
Houghton Point Passage	id=g:4996589
Houghton Ridge	id=g:4996590
Houghton School	id=g:4996591
Houghton School	id=g:4996592
Houghton School	id=g:4996593
City of Houghton	id=g:4996594
Mount Houghton	id=g:4996595
Point Houghton	id=g:4996596
Township of Houghton	id=g:4996597
Hougton County Memorial Airport	id=g:4996598
Houle	id=g:4996599
Houle Creek	id=g:4996600
Houghton Creek	id=g:4996601
House Creek	id=g:4996602
House Lake	id=g:4996603
House of David	id=g:4996604
Houseman	id=g:4996605
Houseman Field	id=g:4996606
Houseman Lake	id=g:4996607
Houser Lake	id=g:4996608
Houston School	id=g:4996609
Hovey Drain	id=g:4996610
Hovey Lake	id=g:4996611
Hovey Lake Campground	id=g:4996612
Hovey School	id=g:4996613
Hovey School	id=g:4996614
Howard Cemetery	id=g:4996615
Howard Cemetery	id=g:4996616
Howard Cemetery	id=g:4996617
Howard City	id=g:4996618
Howard City Club	id=g:4996619
Howard Creek	id=g:4996620
Howard Drain	id=g:4996621
House Lake	id=g:4996622
Howard Island	id=g:4996623
Howard Lake	id=g:4996624
Howard Lake	id=g:4996625
Howard Lake	id=g:4996626
Howard Lake	id=g:4996627
Howard Nixon Memorial Airport	id=g:4996628
Howard Park	id=g:4996629
Howard Park	id=g:4996630
Howard Playground	id=g:4996631
Howard School	id=g:4996632
Howard School	id=g:4996633
Howard School	id=g:4996634
Howard School	id=g:4996635
Township of Howard	id=g:4996636
Howards Camp	id=g:4996637
Howardsville	id=g:4996638
Howarth Park	id=g:4996639
Howarth Playground	id=g:4996640
Howe Airport	id=g:4996641
Howe Cemetery	id=g:4996642
Howe Creek	id=g:4996643
Howard Drain	id=g:4996644
Howe Drain	id=g:4996645
Howe Island	id=g:4996646
Howe Lake	id=g:4996647
Howe Lake	id=g:4996648
Howe Lake	id=g:4996649
Howe Lake	id=g:4996650
Howe School	id=g:4996651
Howe School	id=g:4996652
Howe School	id=g:4996653
Howe School	id=g:4996654
Howell	id=g:4996655
Howell Lake	id=g:4996656
Howell School	id=g:4996657
Howell School	id=g:4996658
Howell State Hospital	id=g:4996659
City of Howell	id=g:4996660
Township of Howell	id=g:4996661
Howes Lake	id=g:4996662
Howland Creek	id=g:4996663
Howe Drain	id=g:4996664
Howland Lake	id=g:4996665
Howland Lake	id=g:4996666
Howlandsburg	id=g:4996667
Howlandsburg Cemetery	id=g:4996668
Howse Drain	id=g:4996669
Hoxey Creek	id=g:4996670
Howland Drain	id=g:4996671
Hoxeyville Bridge	id=g:4996672
Hoxeyville School	id=g:4996673
Hoxie Drain	id=g:4996674
Hoxeyville	id=g:4996675
Hoxie Drain	id=g:4996676
Hoyles Marina	id=g:4996677
Hoyt Library	id=g:4996678
Hoyt Park	id=g:4996679
Hoyt School	id=g:4996680
Hoytville	id=g:4996681
Hub Lake	id=g:4996682
Hubbard and Clampitt Drain	id=g:4996683
Hubbard Cemetery	id=g:4996684
Hubbard Circle	id=g:4996685
Hubbard Drain	id=g:4996686
Hubbard Drain	id=g:4996687
Hubbard Drain	id=g:4996688
Hoyt Lake	id=g:4996689
Hubbard Lake	id=g:4996690
Hubbard Lake	id=g:4996691
Hubbard Lake	id=g:4996692
Hubbard School	id=g:4996693
Hubbard School	id=g:4996694
Hubbardston	id=g:4996695
Hubbell	id=g:4996696
Hubbell Creek	id=g:4996697
Hubbard Lake	id=g:4996698
Hubbell Pond	id=g:4996699
Hubbels Island	id=g:4996700
Hubble Creek	id=g:4996701
Hubenstricker Drain	id=g:4996702
Huber	id=g:4996703
Huber Airport	id=g:4996704
Huber Creek	id=g:4996705
Hubbell Drain	id=g:4996706
Huber Oil Field	id=g:4996707
Hubert Drain	id=g:4996708
Huber Drain	id=g:4996709
Huckins Cemetery	id=g:4996710
Huckle Bridge	id=g:4996711
Huckleberry Drain	id=g:4996712
Huckleberry Drain	id=g:4996713
Huckleberry Lake	id=g:4996714
Huckleberry Lake	id=g:4996715
Huckleberry Lake	id=g:4996716
Huckleberry Lake	id=g:4996717
Hudson	id=g:4996718
Hudson Branch	id=g:4996719
Hubert School	id=g:4996720
Hudson Cemetery	id=g:4996721
Hudson Corners School	id=g:4996722
Hudson Creek	id=g:4996723
Hudson Cemetery	id=g:4996724
Hudson Creek	id=g:4996725
Hudson Creek	id=g:4996726
Hudson Creek Swamp	id=g:4996727
Hudson Lake	id=g:4996728
Hudson Lookout Tower	id=g:4996729
Hudson Mills	id=g:4996730
Hudson Mills Metropolitan Park	id=g:4996731
City of Hudson	id=g:4996732
Township of Hudson	id=g:4996733
Township of Hudson	id=g:4996734
Township of Hudson	id=g:4996735
Hudsonville	id=g:4996736
City of Hudsonville	id=g:4996737
Huellmantel Lake	id=g:4996738
Huff Junior High School	id=g:4996739
Huff Lake	id=g:4996740
Huff School	id=g:4996741
Huffman Drain	id=g:4996742
Huffman Drain	id=g:4996743
Huftile Creek	id=g:4996744
Hudson Drain	id=g:4996745
Huggins Drain	id=g:4996746
Hughes Drain	id=g:4996747
Hughes Drain	id=g:4996748
Hughes Lake	id=g:4996749
Hughes Lake	id=g:4996750
Hughes Lake	id=g:4996751
Hughes Point	id=g:4996752
Hughes School	id=g:4996753
Hughes Swamp	id=g:4996754
Hughitt Camp	id=g:4996755
Hughs School	id=g:4996756
Huginnin Cove	id=g:4996757
Huginnin Cove Trail	id=g:4996758
Hugo Drain	id=g:4996759
Hugoboom Lake	id=g:4996760
Hugos Brook	id=g:4996761
Huggard School	id=g:4996762
Hulbert Cemetery	id=g:4996763
Hulbert Lake	id=g:4996764
Township of Hulbert	id=g:4996765
Hull Court Park	id=g:4996766
Hull Creek	id=g:4996767
Hulbert	id=g:4996768
Hull Lake	id=g:4996769
Hull School	id=g:4996770
Hull School	id=g:4996771
Hull School	id=g:4996772
Hull School	id=g:4996773
Humanson Drain	id=g:4996774
Humboldt	id=g:4996775
Humboldt Cemetery	id=g:4996776
Humboldt Mine	id=g:4996777
Township of Humboldt	id=g:4996778
Humbug Creek	id=g:4996779
Hull Drain	id=g:4996780
Township of Hume	id=g:4996781
Humes Branch	id=g:4996782
Humes Drain	id=g:4996783
Humes School	id=g:4996784
Hummer Lake	id=g:4996785
Hummerson Lake	id=g:4996786
Hummingbird Lake	id=g:4996787
Humphrey	id=g:4996788
Humphrey Drain	id=g:4996789
Humphrey Pond	id=g:4996790
Humphrey Rock	id=g:4996791
Humphrey School	id=g:4996792
Hundley Drain	id=g:4996793
Hungerford Cemetery	id=g:4996794
Hungerford Cross Country Ski Trail	id=g:4996795
Hungerford Lake	id=g:4996796
Hungry Hill	id=g:4996797
Hunt Cemetery	id=g:4996798
Hunt Creek	id=g:4996799
Humbug Marina	id=g:4996800
Hunt Creek	id=g:4996801
Hunt Creek	id=g:4996802
Hunt Drain	id=g:4996803
Hunt Drain	id=g:4996804
Hunt Junior High School	id=g:4996805
Hunt Lake	id=g:4996806
Hunt Playground	id=g:4996807
Hunt Playground	id=g:4996808
Hunt Pond	id=g:4996809
Hunt School	id=g:4996810
Hunt School	id=g:4996811
Hunt School	id=g:4996812
Hunter Creek	id=g:4996813
Hunt Drain	id=g:4996814
Hunter Drain	id=g:4996815
Hunter Drain	id=g:4996816
Hunter Park	id=g:4996817
Hunter School	id=g:4996818
Hunter School	id=g:4996819
Hunter School	id=g:4996820
Hunter School	id=g:4996821
Hunters Brook	id=g:4996822
Hunter Lake	id=g:4996823
Hunters Creek	id=g:4996824
Hunters Creek	id=g:4996825
Hunters Creek Drain	id=g:4996826
Hunters Lake	id=g:4996827
Hunters Lake	id=g:4996828
Hunters Point	id=g:4996829
Huntington Creek	id=g:4996830
Hunters Creek Cemetery	id=g:4996831
Huntington Woods	id=g:4996832
City of Huntington Woods	id=g:4996833
Huntley Lake	id=g:4996834
Hunton Creek	id=g:4996835
Huntington School	id=g:4996836
Huntoon Lake	id=g:4996837
Huntspur	id=g:4996838
Huray Lake	id=g:4996839
Hurd Cemetery	id=g:4996840
Hurd Marvin Drain	id=g:4996841
Hurd Road School	id=g:4996842
Hurd School	id=g:4996843
Hurd School Number 1	id=g:4996844
Hurd School Number 2	id=g:4996845
Hurdmans Bay	id=g:4996846
Hurlburt Highway	id=g:4996847
Hurley Hospital	id=g:4996848
Huron Bay	id=g:4996849
Huron Bay	id=g:4996850
Huron Bay	id=g:4996851
Huron Beach	id=g:4996852
Huron Beach	id=g:4996853
Huron Beach Church	id=g:4996854
Huron Bridge Park	id=g:4996855
Huron Cemetery	id=g:4996856
Huron Church	id=g:4996857
Huron City	id=g:4996858
Huron County	id=g:4996859
Huron County Memorial Airport	id=g:4996860
Huron County Park	id=g:4996861
Huron Drain	id=g:4996862
Huron Heights	id=g:4996863
Huron High School	id=g:4996864
Huron Islands	id=g:4996865
Huron Lake	id=g:4996866
Huron Mountain	id=g:4996867
Huron Mountain	id=g:4996868
Huron Mountain Post Office (historical)	id=g:4996869
Huron Mountains	id=g:4996870
Huron National Forest	id=g:4996871
Huron National Wildlife Refuge	id=g:4996872
Huron Oaks	id=g:4996873
Huron Park	id=g:4996874
Huron Park School	id=g:4996875
Huron Point	id=g:4996876
Huron River	id=g:4996877
Hunton Lake	id=g:4996878
Huron River Point	id=g:4996879
Huron Swamp	id=g:4996880
Huron Valley Cemetery	id=g:4996881
Huron Valley Church	id=g:4996882
Huron Yacht Club	id=g:4996883
Lake Huron	id=g:4996884
Point Huron	id=g:4996885
Township of Huron	id=g:4996886
Charter Township of Huron	id=g:4996887
Huronia Heights	id=g:4996888
Hurontown	id=g:4996889
Hurricane River	id=g:4996890
Huron River	id=g:4996891
Hursley Creek	id=g:4996892
Hurst Drain	id=g:4996893
Hurt Lake	id=g:4996894
Husted Landenburg Drain	id=g:4996895
Hustin Drain	id=g:4996896
Hutchens Lake	id=g:4996897
Hutchins Cemetery	id=g:4996898
Hutchins Lake	id=g:4996899
Hutchins School	id=g:4996900
Hutchinson and Young Drain	id=g:4996901
Huss School	id=g:4996902
Hutchinson School	id=g:4996903
Hutchinson Shoal	id=g:4996904
Hutt Lake	id=g:4996905
Huttenlocher Drain	id=g:4996906
Hutton Creek	id=g:4996907
Hutchinson Drain	id=g:4996908
Huyck Lake	id=g:4996909
Huyck Lake	id=g:4996910
Huycktown School	id=g:4996911
Huyser School	id=g:4996912
Huzzy Lake	id=g:4996913
Hyatt Regency Hotel Heliport	id=g:4996914
Hyde	id=g:4996915
Hyde Drain	id=g:4996916
Hutzel Hospital	id=g:4996917
Hyde Lake	id=g:4996918
Hyde Park	id=g:4996919
Hyde Park	id=g:4996920
Hyde Roadside Park	id=g:4996921
Hyde School	id=g:4996922
Hydorn Drain	id=g:4996923
Hylas	id=g:4996924
Hynes Field	id=g:4996925
Hyrnes Lake	id=g:4996926
Hyser Lake	id=g:4996927
Hyslop Cemetery	id=g:4996928
Hyslop Drain	id=g:4996929
Hyslop School	id=g:4996930
I Pool	id=g:4996931
IMA Arena	id=g:4996932
IMA Auditorium	id=g:4996933
Iargo Springs	id=g:4996934
Ice House Bay	id=g:4996935
Ice Lake	id=g:4996936
Icehouse Lake	id=g:4996937
Ida	id=g:4996938
Ida Center	id=g:4996939
Ida Drain	id=g:4996940
Mount Ida	id=g:4996941
Township of Ida	id=g:4996942
Iddings Creek	id=g:4996943
Hyde Lake	id=g:4996944
Iden Cemetery	id=g:4996945
Idlewild	id=g:4996946
Idlewild Cemetery	id=g:4996947
Idlewild Lake	id=g:4996948
Idlewild Post Office	id=g:4996949
Idylwyld Golf Club	id=g:4996950
Ikwesens Creek	id=g:4996951
Iddle School	id=g:4996952
Ilslex School (historical)	id=g:4996953
Image Lake	id=g:4996954
Imerman Memorial Park	id=g:4996955
Imlay City	id=g:4996956
City of Imlay City	id=g:4996957
Township of Imlay	id=g:4996958
Immaculata High School	id=g:4996959
Immaculate Conception Cemetery	id=g:4996960
Immaculate Conception Church	id=g:4996961
Immaculate Conception School	id=g:4996962
Immaculate Conception School	id=g:4996963
Immaculate Heart School	id=g:4996964
Immaculate Heart of Mary School	id=g:4996965
Immanuel Cemetery	id=g:4996966
Immanuel Cemetery	id=g:4996967
Immanuel Church	id=g:4996968
Immanuel Church	id=g:4996969
Immanuel Church	id=g:4996970
Immanuel Church	id=g:4996971
Immanuel Church	id=g:4996972
Immanuel Church	id=g:4996973
United Lutheran Church	id=g:4996974
Immanuel Church	id=g:4996975
Immanuel School	id=g:4996976
Immanuel School	id=g:4996977
Immanuel School	id=g:4996978
Immanuels Church	id=g:4996979
Imp Creek	id=g:4996980
Imp Lake	id=g:4996981
Imp Lake Lookout Tower	id=g:4996982
Imp Lake Recreation Site	id=g:4996983
Imperial Heights	id=g:4996984
In God We Trust Cemetery	id=g:4996985
Ina	id=g:4996986
Incarnate Word Church	id=g:4996987
Inchwagh Lake	id=g:4996988
Independence Green Golf Course	id=g:4996989
Independence Green Heliport	id=g:4996990
Independence Lake	id=g:4996991
Charter Township of Independence	id=g:4996992
Independent Church	id=g:4996993
India Creek	id=g:4996994
Ile Aux Galets Light	id=g:4996995
Indian Brook	id=g:4996996
Indian Bay	id=g:4996997
Indian Cemetery	id=g:4996998
Indian Cemetery	id=g:4996999
Indian Channel	id=g:4997000
Indian Church	id=g:4997001
Indian Church	id=g:4997002
Indian Church	id=g:4997003
Indian Creek	id=g:4997004
Bradley Indian Mission Cemetery	id=g:4997005
Indian Creek	id=g:4997006
Indian Creek	id=g:4997007
Indian Creek	id=g:4997008
Indian Creek	id=g:4997009
Indian Creek	id=g:4997010
Indian Creek	id=g:4997011
Indian Creek	id=g:4997012
Indian Creek	id=g:4997013
Indian Creek	id=g:4997014
Indian Creek	id=g:4997015
Indian Creek	id=g:4997016
Indian Creek	id=g:4997017
Indian Creek	id=g:4997018
Indian Creek	id=g:4997019
Indian Creek Drain	id=g:4997020
Indian Cut	id=g:4997021
Indian Fields Cemetery	id=g:4997022
Indian Grove	id=g:4997023
Indian Harbor	id=g:4997024
Indian Head Point	id=g:4997025
Indian Hill School	id=g:4997026
Indian Hills Golf Course	id=g:4997027
