Bollatawa	id=g:1249682
Bodiliyangala	id=g:1249826
Bodikotuwa	id=g:1249827
Bodikotuwa	id=g:1249828
Bodigoda Wewa	id=g:1249829
Bodigoda Aru	id=g:1249830
Bodi Ela	id=g:1249831
Bodhirukkaramaya	id=g:1249832
Boddelgoda	id=g:1249833
Bodawala	id=g:1249834
Bodarakanda	id=g:1249835
Bodan Kulam	id=g:1249836
Bodagasgembura Wewa	id=g:1249837
Bodagama Wewa	id=g:1249838
Bodagama	id=g:1249839
Bobella	id=g:1249840
Bobella	id=g:1249841
Boatte Wewa	id=g:1249842
Boagolla	id=g:1249843
Bluefields	id=g:1249844
Bloom Park	id=g:1249845
Bloomfield Rock	id=g:1249846
Bloomfield	id=g:1249847
Bloomfield	id=g:1249848
Blinkbonnie	id=g:1249849
Blarneywatte	id=g:1249850
Blairlomond	id=g:1249851
Blair Athol	id=g:1249852
Blackwood	id=g:1249853
Blackwater Group	id=g:1249854
Blackstone	id=g:1249855
Blackstone	id=g:1249856
Blackpool	id=g:1249857
Black Pearl	id=g:1249858
Black Forest	id=g:1249859
Blackande	id=g:1249860
Biyanwila Pahala	id=g:1249861
Biyanwila Ihala	id=g:1249862
Biyagama	id=g:1249863
Bitterne	id=g:1249864
Bisowela	id=g:1249865
Bisopattuwa	id=g:1249866
Bisokotuwa	id=g:1249867
Bisogala	id=g:1249868
Birivanniyagala	id=g:1249869
Biriulpota	id=g:1249870
Beri Thammennawa	id=g:1249871
Birihorowwa	id=g:1249872
Binthembewa	id=g:1249873
Bintenigolla	id=g:1249874
Bintambura Wewa	id=g:1249875
Bimpokuna Wehera	id=g:1249876
Binoya	id=g:1249877
Binnegama	id=g:1249878
Bidunkada Wewa	id=g:1249879
Binkemahela	id=g:1249880
Binkema	id=g:1249881
Binhaliya	id=g:1249882
Bingoda	id=g:1249883
Bingiriya	id=g:1249884
Bingiriya	id=g:1249885
Bingiriya	id=g:1249886
Bingala	id=g:1249887
Bindunu Wewa	id=g:1249888
Bindunu Wewa	id=g:1249889
Bindunkanda Wewa	id=g:1249890
Bindunkada Ara	id=g:1249891
Bindunkada Ara	id=g:1249892
Bindunawewa	id=g:1249893
Bimpokuna Ara	id=g:1249894
Biniwela	id=g:1249895
Bihalpola	id=g:1249896
Biggs Point	id=g:1249897
Diddescar	id=g:1249898
Batgala	id=g:1249899
Bibilioyatenna	id=g:1249900
Bibilemulla	id=g:1249901
Bibilegama	id=g:1249902
Bibilegama	id=g:1249903
Bibile	id=g:1249904
Bibile	id=g:1249905
Bibila Tank	id=g:1249906
Bibiladeniya	id=g:1249907
Bibila	id=g:1249908
Bibila	id=g:1249909
Beybiya Wewa	id=g:1249910
Bewulahena	id=g:1249911
Bawilgomuwa	id=g:1249912
Bawilahena	id=g:1249913
Bewila	id=g:1249914
Bevys	id=g:1249915
Beverley	id=g:1249916
Betworth	id=g:1249917
Betmegoda	id=g:1249918
Betmegedara	id=g:1249919
Betkewa	id=g:1249920
Beryl	id=g:1249921
Beruwewila	id=g:1249922
Beruwewala	id=g:1249923
Beruwewa	id=g:1249924
Beruwella	id=g:1249925
Beruwana	id=g:1249926
Beruwalgoda	id=g:1249927
Beruwala Point	id=g:1249928
Beruwala Bay	id=g:1249929
Beruwala	id=g:1249930
Beruwala	id=g:1249931
Berubeula	id=g:1249932
Berthatugalla	id=g:1249933
Berryhill	id=g:1249934
Berrycove	id=g:1249935
Berragalla	id=g:1249936
Bernard	id=g:1249937
Berna	id=g:1249938
Beriwewa	id=g:1249939
Berenduwa	id=g:1249940
Berendigamola	id=g:1249941
Berendeniya	id=g:1249942
Bere Ferrers	id=g:1249943
Berawila	id=g:1249944
Berawayahela	id=g:1249945
Berawayahela	id=g:1249946
Berawawala	id=g:1249947
Berawa	id=g:1249948
Berawa Hammillewa	id=g:1249949
Berawagoda	id=g:1249950
Beraunna	id=g:1249951
Beratuduwa	id=g:1249952
Beratuduwa	id=g:1249953
Beratuduwa	id=g:1249954
Berat	id=g:1249955
Berannawa	id=g:1249956
Berandiyagama	id=g:1249957
Beranawa	id=g:1249958
Beranagoda	id=g:1249959
Beraminigala	id=g:1249960
Beramada	id=g:1249961
Beralun Oya	id=g:1249962
Beraliyawala	id=g:1249963
Beraliyapola	id=g:1249964
Beraliyahela	id=g:1249965
Beraliya	id=g:1249966
Beraleliya	id=g:1249967
Beralapanatara	id=g:1249968
Beragammulla	id=g:1249969
Beragama	id=g:1249970
Beragama	id=g:1249971
Beragama	id=g:1249972
Beragala Kanda	id=g:1249973
Beragala	id=g:1249974
Hera Ela	id=g:1249975
Bentota Tourist Resort	id=g:1249976
Bentota Ganga	id=g:1249977
Bentota	id=g:1249978
Benmullegama	id=g:1249979
Benhope	id=g:1249980
Bengamuwa	id=g:1249981
Bengamukanda	id=g:1249982
Bendiyemulla	id=g:1249983
Bendiyawa	id=g:1249984
Bendiya Vila	id=g:1249985
Bendi Wewa	id=g:1249986
Bendiwewa	id=g:1249987
Benda Wewa	id=g:1249988
Bendapu Wewa	id=g:1249989
Bendapu Wewa	id=g:1249990
Bendapu Wewa	id=g:1249991
Bendapu Wewa	id=g:1249992
Bendapuwewa	id=g:1249993
Bendaluwa	id=g:1249994
Benachie	id=g:1249995
Bemmulla	id=g:1249996
Bemmullegedera	id=g:1249997
Bemmagama	id=g:1249998
Bemma	id=g:1249999
Beminiyanwila	id=g:1250000
Baminiwatta	id=g:1250001
Beminigalla	id=g:1250002
Bembiya	id=g:1250003
Bembawa	id=g:1250004
Belungala	id=g:1250005
Belungala	id=g:1250006
Belummahara	id=g:1250007
Belton	id=g:1250008
Belpamulla	id=g:1250009
Belmont	id=g:1250010
Belmont	id=g:1250011
Bellwood	id=g:1250012
Bellwood	id=g:1250013
Bellota	id=g:1250014
Bellapitiya	id=g:1250015
Bellanwala Kulam	id=g:1250016
Bellantudawa	id=g:1250017
Bellantara	id=g:1250018
Bellan Oya	id=g:1250019
Bellanoya	id=g:1250020
Bellannewala	id=g:1250021
Bellanne Oya	id=g:1250022
Bellankanda	id=g:1250023
Bellankalla Wala	id=g:1250024
Bellankalla	id=g:1250025
Bellankalla	id=g:1250026
Bellankadawela	id=g:1250027
Bellankadawala Wewa	id=g:1250028
Bellankadawala Wewa	id=g:1250029
Bellankadawala	id=g:1250030
Bellankadawala	id=g:1250031
Bellankadawala	id=g:1250032
Bellangama	id=g:1250033
Bellana	id=g:1250034
Bellair	id=g:1250035
Bellagas Wewa	id=g:1250036
Bellagaswewa	id=g:1250037
Bellagas Divul Wewa	id=g:1250038
Beliyakanda	id=g:1250039
Beliyakanda	id=g:1250040
Beliwinnegoda	id=g:1250041
Beliwewa	id=g:1250042
Beliwatta	id=g:1250043
Belimaliyadda	id=g:1250044
Belimalgodella	id=g:1250045
Beli Kulama	id=g:1250046
Belikolapugoda	id=g:1250047
Beliketiya	id=g:1250048
Belikatu Wawa	id=g:1250049
Belihulwana	id=g:1250050
Belihul Oya	id=g:1250051
Belihul Oya	id=g:1250052
Belihul Oya	id=g:1250053
Belihena	id=g:1250054
Beligodapitiya	id=g:1250055
Beligoda	id=g:1250056
Beligan Oya	id=g:1250057
Beligamuwa	id=g:1250058
Beligammana	id=g:1250059
Beligama Estate	id=g:1250060
Beligama	id=g:1250061
Beligalla	id=g:1250062
Beligalgodella	id=g:1250063
Beligala	id=g:1250064
Beliattagodella	id=g:1250065
Beliatta	id=g:1250066
Belgravia	id=g:1250067
Belgodakanda	id=g:1250068
Belgoda	id=g:1250069
Belgoda	id=g:1250070
Belga	id=g:1250071
Belagama	id=g:1250072
Beekke Reservoir	id=g:1250073
Bekkegama	id=g:1250074
Beira Lake	id=g:1250075
Begamuwa	id=g:1250076
Beeryabedda	id=g:1250077
Beeraigama Wewa	id=g:1250078
Bedirekka	id=g:1250079
Bedigantota	id=g:1250080
Bendigamuwa	id=g:1250081
Bedigama	id=g:1250082
Bedigama	id=g:1250083
Beddewewa Atu Ela	id=g:1250084
Beddewewa	id=g:1250085
Beddewewa	id=g:1250086
Bedewelle	id=g:1250087
Beddewatugoda	id=g:1250088
Beddethirawwawala	id=g:1250089
Beddepokuna	id=g:1250090
Beddepanwila Wewa	id=g:1250091
Beddepanwila	id=g:1250092
Beddekumbura	id=g:1250093
Beddegedaramulla	id=g:1250094
Beddegedara	id=g:1250095
Beddegammedda	id=g:1250096
Beddegama	id=g:1250097
Beddegama	id=g:1250098
Beddegama	id=g:1250099
Beddegama	id=g:1250100
Beddegama	id=g:1250101
Beddegamawatta	id=g:1250102
Beddegama	id=g:1250103
Beddegama	id=g:1250104
Beckington	id=g:1250105
Becherton	id=g:1250106
Bebiliduwa	id=g:1250107
Bebilepitiya	id=g:1250108
Bebilapitiya	id=g:1250109
Bebalegama	id=g:1250110
Beauvais	id=g:1250111
Beausejour	id=g:1250112
Beaumont	id=g:1250113
Bearwell	id=g:1250114
Beaconsfield	id=g:1250115
Beacon Rock	id=g:1250116
Bazaar Rock	id=g:1250117
Bayswater	id=g:1250118
Bayirairippuwa	id=g:1250119
Bayawa Wewa	id=g:1250120
Bayawa	id=g:1250121
Bayan Kulam	id=g:1250122
Batwewa	id=g:1250123
Batuwita Oya	id=g:1250124
Batuwita	id=g:1250125
Batuwita North	id=g:1250126
Batuwita	id=g:1250127
Batuwewa	id=g:1250128
Batuwewa	id=g:1250129
Batuwatta	id=g:1250130
Batuwatta	id=g:1250131
Batuwantudawa	id=g:1250132
Batuwanhena	id=g:1250133
Batuwangala	id=g:1250134
Batuwandara	id=g:1250135
Batuwana	id=g:1250136
Batupitiya	id=g:1250137
Batupitigedara	id=g:1250138
Batupitigama	id=g:1250139
Batu Oya Kanda	id=g:1250140
Batu Oya	id=g:1250141
Batumulla	id=g:1250142
Batukanatta	id=g:1250143
Batuhore	id=g:1250144
Batuhena	id=g:1250145
Batugoda	id=g:1250146
Bathugoda	id=g:1250147
Batugedara	id=g:1250148
Batugasdamana Wewa	id=g:1250149
Batugampala	id=g:1250150
Battulu Oya South	id=g:1250151
Battulu Oya North	id=g:1250152
Battulu Oya	id=g:1250153
Battulu Oya	id=g:1250154
Battulu Oya	id=g:1250155
Battuluoya	id=g:1250156
Batticaloa Roads	id=g:1250157
Batticaloa Lake	id=g:1250158
Batticaloa District	id=g:1250159
Batticaloa Bar	id=g:1250160
Batticaloa	id=g:1250161
Battenburg Point	id=g:1250162
Battawatte	id=g:1250163
Battaramulla	id=g:1250164
Battagolla	id=g:1250165
Battagalla	id=g:1250166
Battadala Kandura	id=g:1250167
Batigama	id=g:1250168
Bathford	id=g:1250169
Bathamuraya	id=g:1250170
Bathalanwala	id=g:1250171
Bathagame Wewa	id=g:1250172
Batgodde	id=g:1250173
Batgangoda	id=g:1250174
Batewela	id=g:1250175
Batewela	id=g:1250176
Batepola	id=g:1250177
Batepola	id=g:1250178
Batepola	id=g:1250179
Batepola	id=g:1250180
Batayaya	id=g:1250181
Batawala	id=g:1250182
Batawala	id=g:1250183
Batawala Colony	id=g:1250184
Batatota	id=g:1250185
Batatimbura	id=g:1250186
Batapathela	id=g:1250187
Batapola	id=g:1250188
Batapandura	id=g:1250189
Batangala	id=g:1250190
Batampara	id=g:1250191
Batambure	id=g:1250192
Bataliya	id=g:1250193
Batalawatta	id=g:1250194
Batalawatta	id=g:1250195
Batalakotuwa Wewa	id=g:1250196
Batalakanattegoda Denipitiya	id=g:1250197
Batalakanattegoda	id=g:1250198
Batalahena	id=g:1250199
Batalagoda Wewa	id=g:1250200
Batalagodawewa	id=g:1250201
Batalagodawewa	id=g:1250202
Batalagodawatta	id=g:1250203
Batalagoda Tank	id=g:1250204
Batalagoda	id=g:1250205
Batakettara	id=g:1250206
Bataketiya	id=g:1250207
Batakanda	id=g:1250208
Batakada	id=g:1250209
Batahira	id=g:1250210
Batagollahinna	id=g:1250211
Batagollahinna	id=g:1250212
Batagolla	id=g:1250213
Batagoda	id=g:1250214
Batagoda	id=g:1250215
Bodagammana	id=g:1250216
Batagammana	id=g:1250217
Batagammana	id=g:1250218
Batagama South	id=g:1250219
Batagama North	id=g:1250220
Batagalla	id=g:1250221
Batagalla	id=g:1250222
Batagahadeniya	id=g:1250223
Bata Andiriya	id=g:1250224
Bataduwa	id=g:1250225
Bataduwa	id=g:1250226
Batadure	id=g:1250227
Batadole	id=g:1250228
Batadanduwela	id=g:1250229
Bata-ata Wewa	id=g:1250230
Bata-ata	id=g:1250231
Bata-ata	id=g:1250232
Bata Anduwa Gap	id=g:1250233
Baswatta	id=g:1250234
Bassrock	id=g:1250235
Basnagoda Oya	id=g:1250236
Basnagoda	id=g:1250237
Basnagala	id=g:1250238
Basiyawatta	id=g:1250239
Basgama	id=g:1250240
Baseline Road Railroad Station	id=g:1250241
Basawakkulama Wewa	id=g:1250242
Baruthankanda	id=g:1250243
Baruhupola	id=g:1250244
Barudelpola	id=g:1250245
Barudekanda Wewa	id=g:1250246
Barube	id=g:1250247
Barton	id=g:1250248
Barrington	id=g:1250249
Bar Reef	id=g:1250250
Baron’s Cap Forest Reserve	id=g:1250251
Barnagalla	id=g:1250252
Barkindale	id=g:1250253
Barigoda	id=g:1250254
Barigama	id=g:1250255
Bargrove	id=g:1250256
Bargany	id=g:1250257
Barcaple	id=g:1250258
Barberyn Light House	id=g:1250259
Bara Wewa	id=g:1250260
Barawaya	id=g:1250261
Barawawila	id=g:1250262
Barawawila	id=g:1250263
Barawakumbura	id=g:1250264
Barawakumbuka	id=g:1250265
Barawakumbuka	id=g:1250266
Barawadena Oya	id=g:1250267
Baraniwala	id=g:1250268
Barandara	id=g:1250269
Barandana	id=g:1250270
Baranankattuwa Wewa	id=g:1250271
Baranankattuwa	id=g:1250272
Baranankattuwa	id=g:1250273
Barampola Wewa	id=g:1250274
Barampola	id=g:1250275
Barahelagamuwa	id=g:1250276
Baragedara	id=g:1250277
Bappugoda	id=g:1250278
Baoruwa	id=g:1250279
Banwelduwa	id=g:1250280
Bannekgama Wewa	id=g:1250281
Bannekgam	id=g:1250282
Bankhill	id=g:1250283
Bangamawaduwa	id=g:1250284
Bangama	id=g:1250285
Bangalle	id=g:1250286
Bangadeniya	id=g:1250287
Bangadeniya	id=g:1250288
Banff	id=g:1250289
Banduwewa Ara	id=g:1250290
Bandu Wewa	id=g:1250291
Banduragoda	id=g:1250292
Bandiyalankulama	id=g:1250293
Bandiyalankulama	id=g:1250294
Bandiyagoda	id=g:1250295
Bandi Wewa	id=g:1250296
Bandirippuwa	id=g:1250297
Bandirippuwa	id=g:1250298
Bandipola	id=g:1250299
Bandikombagama Wewa	id=g:1250300
Bandigoda	id=g:1250301
Bandiakanda	id=g:1250302
Bandawa	id=g:1250303
Bandattara	id=g:1250304
Bandarigoda	id=g:1250305
Bandarigama	id=g:1250306
Bandarigalgoda	id=g:1250307
Bandarawela	id=g:1250308
Bandarawatta Ela	id=g:1250309
Bandarawatta	id=g:1250310
Bandarawatta	id=g:1250311
Bandarawatta	id=g:1250312
Bandarawatta	id=g:1250313
Bandarawatta	id=g:1250314
Bandarawatta	id=g:1250315
Bandarawatta	id=g:1250316
Bandarawadiya	id=g:1250317
Bandarawadiya	id=g:1250318
Bandara Ulpota	id=g:1250319
Bandara Ratmale	id=g:1250320
Bandarapotana	id=g:1250321
Bandaramulla	id=g:1250322
Bandaralagowa Wewa	id=g:1250323
Bandarakumbukwewa	id=g:1250324
Bandara Ikirigollewa	id=g:1250325
Bandarahena	id=g:1250326
Bandarahena	id=g:1250327
Bandarahamminewa	id=g:1250328
Bandaragama	id=g:1250329
Bandara Eliya	id=g:1250330
Bandaraduwa	id=g:1250331
Bandaridampitiya	id=g:1250332
Bandaradampitiya	id=g:1250333
Bandarabatawala	id=g:1250334
Bandara	id=g:1250335
Bandapu Wewa	id=g:1250336
Banda Pokuna	id=g:1250337
Bandamalewatta	id=g:1250338
Bandagiriya	id=g:1250339
Banawalkema	id=g:1250340
Bananga	id=g:1250341
Banakiyannagama	id=g:1250342
Banagoda	id=g:1250343
Banagala	id=g:1250344
Banagala	id=g:1250345
Bamunutunpola	id=g:1250346
Bamunussa	id=g:1250347
Bamunupola	id=g:1250348
Bamunumulla	id=g:1250349
Bamunumulla	id=g:1250350
Bamunumulla	id=g:1250351
Bamunugedara	id=g:1250352
Bamunugedara	id=g:1250353
Bamunugedara	id=g:1250354
Bamunugama Wewa	id=g:1250355
Bamunugama Wewa	id=g:1250356
Bamunugama Wewa	id=g:1250357
Bamunugama	id=g:1250358
Bamunugama	id=g:1250359
Bamunugama	id=g:1250360
Bamunugama	id=g:1250361
Bamunugama	id=g:1250362
Bamunugama	id=g:1250363
Bamunugama	id=g:1250364
Bamunugama	id=g:1250365
Bamunugama	id=g:1250366
Bamunugama	id=g:1250367
Bamunugama	id=g:1250368
Bamunugama	id=g:1250369
Bamunugama	id=g:1250370
Bamunawita	id=g:1250371
Bamunawala	id=g:1250372
Bamunaulla	id=g:1250373
Bamunapota	id=g:1250374
Bamunakotuwa	id=g:1250375
Bamunakotuwa	id=g:1250376
Bamunagammana	id=g:1250377
Bamrakanda	id=g:1250378
Bampane	id=g:1250379
Bammeville Wewa	id=g:1250380
Bamma Wewa	id=g:1250381
Bammannegama	id=g:1250382
Bammanna	id=g:1250383
Bammanegama	id=g:1250384
Bammanegama	id=g:1250385
Bammanna	id=g:1250386
Baminiya Wewa	id=g:1250387
Bambukuliya	id=g:1250388
Bambri Rocks	id=g:1250389
Bambrella	id=g:1250390
Bambrakelly	id=g:1250391
Bambowa Wewa	id=g:1250392
Bambowa Pokuna	id=g:1250393
Bambiwatan	id=g:1250394
Bambiwatan	id=g:1250395
Bambikulama	id=g:1250396
Bambera Wewa	id=g:1250397
Bambawe Ara	id=g:1250398
Bambawa	id=g:1250399
Bambarawana	id=g:1250400
Bambara Mitogama	id=g:1250401
Bambarakotagala	id=g:1250402
Bambarakepu Eliya Galge	id=g:1250403
Bambarakepu Ela	id=g:1250404
Bambarakatupota	id=g:1250405
Bambara Kandura	id=g:1250406
Bambarakande Wewa	id=g:1250407
Bambarakanda Falls	id=g:1250408
Bambarahela	id=g:1250409
Bambaragoda	id=g:1250410
Bambaragoda	id=g:1250411
Bambaragoda	id=g:1250412
Bambaragasyaya	id=g:1250413
Bambaragas Wewa	id=g:1250414
Bambaragaswewa	id=g:1250415
Bambaragastenna	id=g:1250416
Bambaragastalawa	id=g:1250417
Bambaragammana	id=g:1250418
Bambaragama	id=g:1250419
Bambaragama	id=g:1250420
Bambaragama	id=g:1250421
Bambragalla	id=g:1250422
Bamaragalla	id=g:1250423
Bambaragaleyaya	id=g:1250424
Bambaragala Wewa	id=g:1250425
Bambaragala Watte	id=g:1250426
Bambaragala	id=g:1250427
Bambaragala	id=g:1250428
Bambaragala	id=g:1250429
Bambaragala	id=g:1250430
Bambaragala	id=g:1250431
Bambaragala	id=g:1250432
Bambaragahawatta	id=g:1250433
Bambaragahaulpota	id=g:1250434
Bambaragaharoda	id=g:1250435
Bamaragahapelessa	id=g:1250436
Bambaragahakotuwa Estate	id=g:1250437
Bambaragahakanda	id=g:1250438
Bambaradeniya	id=g:1250439
Bambarabotuwegkanda	id=g:1250440
Bambarabotuwa Oya	id=g:1250441
Bambarabotuwa Forest Reserve	id=g:1250442
Bambarabotuwa	id=g:1250443
Bambarabedde Devainnegama	id=g:1250444
Bambarabedda	id=g:1250445
Bambarabctuwa Oya	id=g:1250446
Bambalapitiya	id=g:1250447
Bamaramithogamu Wewa	id=g:1250448
Balyamadakapu Wala	id=g:1250449
Balukekulakada	id=g:1250450
Balukawala	id=g:1250451
Balugantalawa Wewa	id=g:1250452
Balugantalawa	id=g:1250453
Balugammana Wewa	id=g:1250454
Balpanawa Wewa	id=g:1250455
Balmoral	id=g:1250456
Ballaula	id=g:1250457
Ballapanatenna	id=g:1250458
Ballapana	id=g:1250459
Ballalla Ela	id=g:1250460
Ballakatuwa	id=g:1250461
Ballahela	id=g:1250462
Ballagalla Ella	id=g:1250463
Ballagalla	id=g:1250464
Ballacadua	id=g:1250465
Baliwila	id=g:1250466
Balitiyanagama	id=g:1250467
Balinduwawa	id=g:1250468
Balibathgoda	id=g:1250469
Ballaibba Oya	id=g:1250470
Balgodawatta	id=g:1250471
Balewela	id=g:1250472
Balcombe	id=g:1250473
Balawinna	id=g:1250474
Balawina	id=g:1250475
Balawattala Tank	id=g:1250476
Balawattala	id=g:1250477
Balawattala	id=g:1250478
Balwattala Group	id=g:1250479
Balawatta	id=g:1250480
Balawatgoda	id=g:1250481
Balawatgama	id=g:1250482
Balawane Oya	id=g:1250483
Balawane	id=g:1250484
Balawanagala	id=g:1250485
Balawala	id=g:1250486
Balawala	id=g:1250487
Balatogama	id=g:1250488
Balatawa	id=g:1250489
Balatgomuwa	id=g:1250490
Balatewa	id=g:1250491
Balasuriyagama	id=g:1250492
Balasooriyagama	id=g:1250493
Balarine Wewa	id=g:1250494
Balapokuna	id=g:1250495
Balapitiya	id=g:1250496
Balapitiya	id=g:1250497
Balapattawa	id=g:1250498
Balapata	id=g:1250499
Balangoda	id=g:1250500
Balanegama	id=g:1250501
Balanegama	id=g:1250502
Balane	id=g:1250503
Balanagala	id=g:1250504
Balalu Wewa	id=g:1250505
Balaluwewa	id=g:1250506
Balaluwagara	id=g:1250507
Balalla	id=g:1250508
Balakottunna	id=g:1250509
Balahondawewa	id=g:1250510
Balahitiyawa	id=g:1250511
Balahinda	id=g:1250512
Balahela	id=g:1250513
Balaharuwa	id=g:1250514
Balaharuwa	id=g:1250515
Balagommana Wewa	id=g:1250516
Balagolla Wewa	id=g:1250517
Balagollagama	id=g:1250518
Balagollagama	id=g:1250519
Balagollagama	id=g:1250520
Balagollagama	id=g:1250521
Balagolla	id=g:1250522
Balagolla	id=g:1250523
Balagolla	id=g:1250524
Balagolla	id=g:1250525
Balagolla	id=g:1250526
Balagollawatta	id=g:1250527
Balagoda	id=g:1250528
Balagegoda	id=g:1250529
Balagangoda	id=g:1250530
Balagam Wewa	id=g:1250531
Balagommana	id=g:1250532
Balagalla Ela	id=g:1250533
Balagalla	id=g:1250534
Balagolla	id=g:1250535
Balagalla	id=g:1250536
Balagala	id=g:1250537
Balagala	id=g:1250538
Balagala	id=g:1250539
Balagala	id=g:1250540
Balagahatenna North	id=g:1250541
Balagahagama	id=g:1250542
Baladora Wewa	id=g:1250543
Baladora Gurugoda	id=g:1250544
Baladangolla	id=g:1250545
Balabowa	id=g:1250546
Balabokka	id=g:1250547
Bala-at-tare	id=g:1250548
Bakunawela	id=g:1250549
Bakulwala	id=g:1250550
Bakmiwewa	id=g:1250551
Bakmitiyawa	id=g:1250552
Bakmilande	id=g:1250553
Bakmikada	id=g:1250554
Bakmeegolla	id=g:1250555
Bakmigaha Wewa	id=g:1250556
Bakmigahawatta	id=g:1250557
Bakmigahaulpota	id=g:1250558
Bakmideniya	id=g:1250559
Bakme Wewa	id=g:1250560
Bakmettenna	id=g:1250561
Bakmetota	id=g:1250562
Bakmeewewa	id=g:1250563
Bakmeeruppa	id=g:1250564
Bakkini Wewa	id=g:1250565
Bakkiella	id=g:1250566
