Kal Gāh	id=g:129197
Kalāteh-ye Karbalā’ī-ye Ḩoseynī	id=g:129412
Kalāteh-ye `Azīz	id=g:129413
Kalāteh-ye ‘Arabhā	id=g:129414
Kalāteh-ye `Arab	id=g:129415
Kalāt-e ‘Arab	id=g:129416
Kalāteh-ye Āqā Beyk	id=g:129418
Morghāb	id=g:129419
Kalāteh-ye Āqā	id=g:129420
Kalāteh-ye ‘Alī Zeynal	id=g:129421
Kalāteh-ye `Alī	id=g:129422
Kalāteh-ye ‘Alī	id=g:129423
Kalāteh-ye ‘Alī	id=g:129424
Kalāteh-ye `Alī	id=g:129425
Kalāteh-ye Aḩmad Shāh Beyg	id=g:129426
Kalāteh-ye Aḩmad Beyk	id=g:129427
Kalāteh-ye Āqmazār	id=g:129428
Kalāteh-ye ‘Ābedīn	id=g:129429
Kalāteh-ye ‘Abd or Raḩmatī	id=g:129430
Kalāteh-ye `Abbās	id=g:129431
`Abbāsābād	id=g:129432
Kalāteh Sheykh `Alī Khan	id=g:129433
Kalāteh Sarkharū	id=g:129434
Kalāt-e Qaşşāb	id=g:129435
Kalāteh Now	id=g:129436
Kalāteh-ye Mollā Khowdābād	id=g:129437
Kalāt-e Moḩammad Solţān	id=g:129438
Kalāteh-ye Mīrzā	id=g:129439
Kalāteh-ye Mīrzā	id=g:129440
Kalāteh-ye Mazār	id=g:129441
Kalāteh Jīkī	id=g:129442
Kūh-e Kalāteh Kazhal	id=g:129443
Kalāt-e Ḩājjī Elyās	id=g:129444
Kalāt-e Ḩājj Moḩammad	id=g:129445
Rūdkhāneh-ye Kalāteh Aḩmad	id=g:129446
Kūh-e Kalāteh	id=g:129447
Kalāteh	id=g:129449
Kalāteh-ye Tīr Kamān	id=g:129450
Kalāteh	id=g:129451
Chenārān	id=g:129452
Qalāt-e Bālā	id=g:129453
Kalāt-e `Alī Shīr	id=g:129454
Kalāt-e Āb Nār	id=g:129455
Kūh-e Kalatāgh	id=g:129456
Rūdkhāneh-ye Kalāt	id=g:129457
Kūh-e Kalāt	id=g:129458
Kūh-e Kalāt	id=g:129459
Kūh-e Kalāt	id=g:129460
Kūh-e Kalāt	id=g:129461
Kūh-e Kalāt	id=g:129462
Kalāt	id=g:129463
Kalāt	id=g:129464
Kelāt	id=g:129465
Kalāt	id=g:129466
Kalāt	id=g:129467
Kalāsūr	id=g:129468
Kūh-e Kalāsī	id=g:129469
Kalāshem-e Bālā	id=g:129470
Gardaneh-ye Kalashīn	id=g:129471
Kalāsh	id=g:129472
Kūh-e Kalā Sālār	id=g:129473
Kalār Khān	id=g:129474
Kūh-e Kalar Gāb	id=g:129475
Kal Reshm	id=g:129476
Kallār-e ‘Olyā	id=g:129477
Band Kalāleh	id=g:129478
Kelārābād	id=g:129479
Kūh-e Kalār	id=g:129480
Chāh Kalap	id=g:129481
Kalān Zīād	id=g:129482
Kalāntar Hū	id=g:129483
Kalāntar	id=g:129484
Kalāntar	id=g:129485
Kalāntar	id=g:129486
Cheshmeh-ye Kalānsīr	id=g:129487
Kalākontak	id=g:129488
Kalānkash	id=g:129489
Kalān Kalāyeh	id=g:129490
Rūdkhāneh-ye Kāl Anjīr Dar	id=g:129491
Tang-e Kalanjeh	id=g:129492
Kūh-e Kalanjeh	id=g:129493
Kalānī	id=g:129494
Kūh-e Kalangī	id=g:129495
Kalangī	id=g:129496
Bāgh-e Zavār	id=g:129497
Kolangar	id=g:129498
Kalangār	id=g:129499
Kalān	id=g:129500
Kalān	id=g:129501
Kalān	id=g:129502
Kalān	id=g:129503
Kolāmsar	id=g:129504
Rūdkhāneh-ye Kalmalekī	id=g:129505
Rūdkhāneh-ye Kalam	id=g:129506
Kalam	id=g:129507
Kalam	id=g:129508
Kalaleh-e Pā‘īn	id=g:129509
Kalāleh-ye Bālā	id=g:129510
Kalāleh	id=g:129511
Kalāleh	id=g:129512
Kalālaq	id=g:129513
Kolā Kūb	id=g:129514
Kalākontak	id=g:129515
Kelākolī	id=g:129517
Kalak Khān	id=g:129518
Kūh-e Chak-e Narmī	id=g:129519
Kalkān	id=g:129520
Kūh-e Kalak	id=g:129521
Kūh-e Kalak	id=g:129522
Khowr-e Kālak	id=g:129523
Kalak	id=g:129524
Kelāk-e Bālā	id=g:129525
Kalak	id=g:129526
Kelāk	id=g:129527
Kalak	id=g:129528
Kalak	id=g:129529
Kālak	id=g:129530
Kalāj Darg	id=g:129531
Kalajābād	id=g:129532
Kallaj	id=g:129533
Kūh-e Kalahrūd	id=g:129534
Kalāh	id=g:129535
Kūh-e Kalāghī	id=g:129536
Kūh-e Kalāghān	id=g:129538
Kūh-e Kalāgh	id=g:129539
Kūh-e Kalāgh	id=g:129540
Kīlāgh Kūh	id=g:129541
Kūh-e Kalāf	id=g:129542
Kelā Chāy	id=g:129543
Kolā Chāh	id=g:129544
Golābād	id=g:129545
Kūh-e Kalāb	id=g:129546
Kelā	id=g:129547
Kalā	id=g:129548
Kal	id=g:129549
Kal	id=g:129550
Kāl	id=g:129551
Kākū Zakarīā	id=g:129552
Kākū-ye Pā’īn	id=g:129553
Kākū-ye Bālā	id=g:129554
Ra’s-e Kakūn	id=g:129555
Kākūn	id=g:129556
Rūdkhāneh-ye Kākūkān	id=g:129557
Kākūhestān	id=g:129558
Kākolkī	id=g:129559
Kākūlī	id=g:129560
Kākolak	id=g:129561
Kākolī	id=g:129562
Kaklīkābād	id=g:129563
Kūh-e Kaklī Bolāghī	id=g:129564
Kagīn	id=g:129565
Kākīhā	id=g:129566
Kūh-e Kākī	id=g:129567
Kākelī	id=g:129568
Kākī	id=g:129569
Kakī	id=g:129570
Kākhūkī	id=g:129571
Kākh Kūk	id=g:129572
Kākhkūk	id=g:129573
Kākhk	id=g:129574
Kākhk	id=g:129575
Kūh-e Kākh	id=g:129576
Kākh	id=g:129577
Rūdkhāneh-ye Kākelestān	id=g:129579
Kakowsān	id=g:129580
Kākah Jūb	id=g:129581
Kā Kāvar	id=g:129582
Kākāvangī	id=g:129583
Kūh-e Kākā Sharaf	id=g:129584
Kākā Reẕā-ye ‘Olyā	id=g:129585
Emāmzādeh-ye Kākā Reẕā	id=g:129587
Kūh-e Kakaparīyeh	id=g:129588
Kūh-e Kāchīān	id=g:129589
Kākān	id=g:129590
Kakajīn	id=g:129591
Kākā ‘Abbās	id=g:129592
Kakābād	id=g:129593
Kākāābād-e ‘Olyā	id=g:129594
Daqq-e Kajvan	id=g:129595
Kūh-e Kaj Kolāh	id=g:129596
Kaj Kolāh	id=g:129597
Kajīnū’īyeh	id=g:129598
Kūh-e Kājestān	id=g:129599
Kaj Bīd	id=g:129600
Kaj Bīd	id=g:129601
Gardaneh-ye Kajāveh	id=g:129602
Gajarestān	id=g:129603
Godār-e Kaj Andar Kaj	id=g:129604
Kājān	id=g:129605
Kājān	id=g:129606
Kejān	id=g:129607
Kajal	id=g:129608
Kajā’ī	id=g:129609
Kojābād	id=g:129610
Kājābād	id=g:129611
Lachābād	id=g:129612
Kūh-e Kaj	id=g:129613
Ḩowz-e Kāj	id=g:129614
Chāh-e Kaj	id=g:129615
Kāj	id=g:129616
Kāj	id=g:129617
Kāj	id=g:129618
Darreh Kaivār	id=g:129619
Koheysh	id=g:129620
Kahbā	id=g:129621
Kūh-e Kahūtkan	id=g:129622
Kahūtī	id=g:129623
Abūz̄arābād	id=g:129624
Kahūrī	id=g:129625
Kahūr-e Ţūsī	id=g:129626
Kohūrestān	id=g:129627
Kūh-e Kahūr Chārān	id=g:129628
Kahūr Chārān	id=g:129629
Kahūr Chelam	id=g:129630
Kahūrān-e Telow	id=g:129631
Kūh-e Kahūrak	id=g:129632
Cheshmeh-ye Kahūrak	id=g:129633
Kahūrak	id=g:129634
Kahūrak	id=g:129635
Kahūrābād	id=g:129636
Kūh-e Kāhūn	id=g:129637
Kahū’īyeh-ye Pa’īn	id=g:129638
Kahū Gīsh	id=g:129639
Kāhū	id=g:129640
Kāhū	id=g:129641
Kahtūyeh	id=g:129642
Kahtūkorā	id=g:129643
Kahtū’īyeh	id=g:129644
Kahtekān	id=g:129645
Kaht Rūd	id=g:129646
Kahtek	id=g:129647
Kahtek	id=g:129648
Kaht	id=g:129649
Garshān	id=g:129650
Kāh Sareh	id=g:129651
Gohord	id=g:129652
Kahrīz	id=g:129653
Kahrīz-e Sorkh	id=g:129654
Nahrīz	id=g:129655
Kahrīz-e Sefīd	id=g:129656
Kahrīz	id=g:129657
Kahrīz-e Salīm	id=g:129658
Kahrīz	id=g:129659
Kahrīz-e Jamāl	id=g:129660
Kahrīzeh	id=g:129661
Kahrīz Boghāzī	id=g:129662
Kahrīz-e Bābā Ḩoseynī	id=g:129663
Kahrīzak	id=g:129664
Kahrīzak	id=g:129665
Kahrīzak	id=g:129666
Kahrīzak	id=g:129667
Kahrīz	id=g:129668
Kahrīz Beyk	id=g:129669
Kahrīz	id=g:129670
Kahrīz-e Khān Bābā Khān	id=g:129671
Kahrīz	id=g:129672
Kahrīz-e Şalāḩ od Dīn	id=g:129673
Kahrīz	id=g:129674
Kahrīz	id=g:129675
Kahrīz	id=g:129676
Kahrīz	id=g:129677
Kūh-e Kahreh	id=g:129678
Kahreh	id=g:129679
Kahrār-e Soflá	id=g:129680
Kahrār-e ‘Olyā	id=g:129681
Kūh-e Kahrang	id=g:129682
Kūrān	id=g:129683
Kahrān	id=g:129684
Rūdkhāneh-ye Kāhark	id=g:129685
Kahow	id=g:129686
Kahn Zeteh	id=g:129688
Kahnūyeh	id=g:129689
Kahnūyeh	id=g:129690
Kahnūj Shāh	id=g:129691
Kahnūj	id=g:129692
Kahnūj	id=g:129693
Kahnūj-e Mo‘ezābād	id=g:129694
Kūh-e Kahnūj Modī	id=g:129695
Kahnūj-e Mowdīm	id=g:129696
Kahnūj-e Bālā	id=g:129697
Kahnūj	id=g:129698
Kahnūj	id=g:129699
Kahnūj	id=g:129700
Kahnūj	id=g:129701
Kahnūj	id=g:129702
Kahnūj	id=g:129703
Kahnūj	id=g:129704
Kahnūj-e Genow	id=g:129705
Kahnūj	id=g:129706
Kahnūj	id=g:129707
Kahnū	id=g:129708
Kahnū	id=g:129709
Kahnū	id=g:129710
Kahn Shahr-e Bālā	id=g:129711
Kahnū	id=g:129712
Kahn-e Now	id=g:129713
Kahn-e Mūr	id=g:129714
Kahn Mīrzā	id=g:129715
Qanāt-e Moḩammad Shāh	id=g:129716
Kahn Marvān	id=g:129717
Kahn-e Kamān	id=g:129718
Kahn-e Ghāzī	id=g:129719
Kohneh Shū’īyeh	id=g:129720
Kohanzārach	id=g:129721
Kahn Sorkh	id=g:129722
Kahn-e Sīāh	id=g:129723
Kahn-e Sabz	id=g:129724
Kahn-e Qāẕī	id=g:129725
Kahn Kabīr	id=g:129726
Kahn-e Ḩoseyn	id=g:129727
Kohneh Kūh	id=g:129728
Kohneh	id=g:129729
Kahneh	id=g:129730
Kahn-e Gerd	id=g:129731
Kahn Dūz	id=g:129732
Kahn Dāvodī	id=g:129733
Kohan Chenār	id=g:129734
Kahn-e Bīd	id=g:129735
Kahnān-e Sarney	id=g:129736
Kahnamū	id=g:129737
Kahn-e ‘Alī	id=g:129738
Kahnekūyeh	id=g:129739
Kahnak-e Salmānzādeh	id=g:129740
Kahnak	id=g:129741
Kohnak	id=g:129742
Kahnak	id=g:129744
Kahnak	id=g:129745
Kahnak	id=g:129746
Kūnek	id=g:129747
Jabal-e Kohneh Rīg	id=g:129748
Kahnāb	id=g:129749
Kohneh Āb	id=g:129750
Kohnāb	id=g:129751
Kahn Āb	id=g:129752
Kahn	id=g:129753
Kahn	id=g:129754
Kahn	id=g:129755
Rūdkhāneh-ye Kahmān	id=g:129756
Gahlū	id=g:129757
Kahlak Bolāghī	id=g:129758
Pīsh Var	id=g:129759
Kahleh	id=g:129760
Kahlehābād	id=g:129761
Kahlā	id=g:129762
Kāh Kūh	id=g:129763
Kahkūh	id=g:129764
Kāh Kesh	id=g:129765
Kahak-e Zardasht	id=g:129766
Kahak-e Fatḩābād	id=g:129767
Kahak-e Esfīj	id=g:129768
Rūdkhāneh-ye Kāhkan	id=g:129769
Kahkadān	id=g:129770
Kājū-ye Bālā	id=g:129771
Kahīz	id=g:129772
Kāhījeh	id=g:129773
Kāhīdān-e Gharīb Shāhī	id=g:129774
Kohyān	id=g:129775
Kāhī	id=g:129776
Kūh-e Kāhestān	id=g:129777
Kaheh	id=g:129778
Kahdū’īyeh	id=g:129779
Kūh-e Kahdān	id=g:129780
Kūh-e Kahdān	id=g:129781
Kāhdān-e Bālā	id=g:129782
Kahārd	id=g:129784
Kūh-e Kahār Bozorg	id=g:129785
Kāhgān-e Soflá	id=g:129786
Kahnak	id=g:129787
Kahan	id=g:129788
Kūhā Rūd	id=g:129789
Kāhak	id=g:129790
Kahak	id=g:129791
Kahak	id=g:129792
Kahak	id=g:129793
Kāhah	id=g:129794
Kūh-e Kāh	id=g:129795
Kāgūnak	id=g:129796
Kāgheh	id=g:129797
Kāghaz̄ī	id=g:129798
Kaghārakī	id=g:129799
Kākolestān-e ‘Olyā	id=g:129800
Kāfūr	id=g:129801
Kapūgaz	id=g:129802
Kafteh Rūd	id=g:129803
Kaftar Mīlān	id=g:129804
Kaftār Kūh	id=g:129805
Kaftar Kūh	id=g:129806
Kūh-e Gaftārī	id=g:129807
Darreh-ye Kaftarī	id=g:129808
Gūrjīū	id=g:129809
Kūh-e Kaftarak	id=g:129810
Kaftarak	id=g:129811
Daryācheh-ye Kāftar	id=g:129812
Kāftar	id=g:129813
Kafshgīrī	id=g:129814
Kafshgīrān	id=g:129815
Kafsān	id=g:129816
Kafsān	id=g:129817
Kafrūd	id=g:129818
Kafrī	id=g:129819
Kafrī	id=g:129820
Kafrāj	id=g:129821
Kafrāj	id=g:129822
Kafr	id=g:129823
Kafkī	id=g:129824
Kafkī	id=g:129825
Kāfī ol Molk	id=g:129826
Kāfīābād	id=g:129827
Kaffeh-ye Mehdīābād	id=g:129828
Kaffeh-ye Mehdīābād	id=g:129829
Kaffeh-ye ’eydarābād	id=g:129830
Kāfar Kūh	id=g:129831
Kāfarghān	id=g:129832
Ḩowẕ-e Kafan	id=g:129833
Kaffeh-ye Korshūl	id=g:129834
Kafdehak	id=g:129835
Kafcheh Nūk	id=g:129836
Kāfar Qal‘eh	id=g:129837
Kūh-e Kāfarī	id=g:129838
Kafāk	id=g:129839
Ka‘eydeh	id=g:129840
Kā’edīyeh	id=g:129841
Kadū Sarā	id=g:129842
Kodow	id=g:129843
Kadkhodā Malūs	id=g:129844
Kadkhodā Ḩoseyn	id=g:129845
Kadkan	id=g:129846
Kūh-e Kalīvar	id=g:129847
Kadīsh	id=g:129848
Kad Basteh	id=g:129849
Kāhdar	id=g:129850
Gedā’ī	id=g:129851
Kachūz	id=g:129852
Kachūyeh	id=g:129853
Gachūyeh	id=g:129854
Kachū Sang	id=g:129855
Kochūr Sotāq	id=g:129856
Kachūmes̄qāl	id=g:129857
Kachūli	id=g:129858
Kūh-e Kachū	id=g:129859
Kechū	id=g:129860
Kūh-e Kāchī	id=g:129861
Gecheh Gonbad	id=g:129862
Kachalvand-e Pāpī	id=g:129863
Kachaleh Gerd	id=g:129864
Kachal Z̄araq	id=g:129865
Kachalānlū	id=g:129866
Kachal Ālū	id=g:129867
Kachalak Maḩalleh	id=g:129868
Kachalak (1)	id=g:129869
Kachal Aḩmadī	id=g:129870
Kūh-e Kachal Aḩmad	id=g:129871
Anşār	id=g:129872
Kachalābād	id=g:129873
Kachchak	id=g:129874
Kācheh	id=g:129875
Kachā	id=g:129876
Kabūtarlān	id=g:129877
Kabūtarān	id=g:129878
Kabūtar Kūh	id=g:129879
Kabūtar Khān	id=g:129882
Īstgāh-e Rāh Āhan-e Kabūtar Darreh	id=g:129883
Kabūtar Darreh	id=g:129884
Kabūtarak	id=g:129886
Kabūsī	id=g:129887
Kabūrān	id=g:129888
Kabūteh	id=g:129889
Seyl Kabūd	id=g:129890
Kabūd Khānī-ye Pā’īn	id=g:129891
Kabūd Khānī-ye Bālā	id=g:129892
Kabūd Kamar	id=g:129893
Kabūd Bād	id=g:129894
Kabūd Gonbad	id=g:129895
Kabūd Gonbad	id=g:129896
Kabūdeh-ye Ḩasanābād	id=g:129897
Jūb Now-ye Kabūdlar	id=g:129898
Kūh-e Kabūdeh	id=g:129899
Kabūdeh	id=g:129900
Kabūdān	id=g:129901
Qal‘eh-ye Kabūdeh	id=g:129902
Kabūd Cheshmeh	id=g:129903
Kabūdar Āhang	id=g:129904
Rūdkhāneh-ye Kabūdān	id=g:129905
Kabūdān	id=g:129906
Kabūdān	id=g:129908
Kūh-e Kabūd	id=g:129909
Gardaneh-ye Kabūd	id=g:129910
Kūh-e Kabūd	id=g:129911
Kaborkīn	id=g:129912
Kābolī	id=g:129913
Kabkgīrī	id=g:129914
Kabgān	id=g:129915
Kabkābād	id=g:129916
Kabīrābād	id=g:129919
Kabīr	id=g:129920
Kavījān	id=g:129921
Kabrīk	id=g:129922
Ka‘b-e ‘Omeyr	id=g:129923
Ka‘b-e ‘Omar	id=g:129924
Kānīyeh	id=g:129925
Kabda Reach	id=g:129926
Gābāzeleh	id=g:129927
Jowzgarān	id=g:129928
Eyvān-e Gharb	id=g:129929
‘Alīābād-e Poshteh	id=g:129930
Jūyom	id=g:129931
Jūymand	id=g:129932
Jūybār	id=g:129933
Jūb-e Āsīāb	id=g:129934
Jūyān	id=g:129935
Jūyābād	id=g:129936
Kūh-e Jūdeh	id=g:129937
Jowvādān	id=g:129938
Jowshaqān	id=g:129939
Jūshān	id=g:129940
Kūh-e Jūshālū	id=g:129941
Jowgaz-e Bālā	id=g:129943
Jorband	id=g:129944
Jūraqān	id=g:129945
Jūrāb	id=g:129946
Jūrāb	id=g:129947
Jūr	id=g:129948
Gavar	id=g:129949
Khūqīn	id=g:129950
Jūqīn	id=g:129951
Kūh-e Jowgand	id=g:129952
Kūh-e Jūpār	id=g:129953
Kūh-e Jūpār	id=g:129954
Jūpār	id=g:129955
Jūnqān	id=g:129956
Āb-e Jūnaqān	id=g:129957
Jūnakī	id=g:129958
Jūnak	id=g:129959
Jūmīt	id=g:129960
Jūmīān	id=g:129961
Jūmaḩalleh	id=g:129962
Jūlakī	id=g:129963
Jūlahī	id=g:129964
Jūlā’ī	id=g:129965
Kūh-e Jūkhāl	id=g:129966
Jūkān	id=g:129967
Jowkār	id=g:129968
Jūjeh Ḩeydar	id=g:129969
Jūharī	id=g:129970
Jūhānī	id=g:129971
Jowghān	id=g:129972
Jūd Mūrd	id=g:129973
Jūbaneh	id=g:129974
Jūben	id=g:129975
Jūb Khaleh-ye Bālā	id=g:129977
Rūdkhāneh-ye Jūb Khaleh	id=g:129978
Jūb Kabūd-e Pāʼīn	id=g:129979
Jūb Kabūd-e Bālā	id=g:129980
Jūb Sefīd	id=g:129981
