Al Qusum	id=g:173315
Maḩaţţat al Qadam	id=g:173393
Al Qadam	id=g:173394
Al Qabw	id=g:173395
Al Qābūn	id=g:173396
Maḩaţţat al Muzayrīb	id=g:173397
Al Muzaybilah	id=g:173398
Al Muwayliḩ	id=g:173399
Al Mutā‘iyah	id=g:173400
Al Mustarīḩah	id=g:173401
Al Mustarīḩah	id=g:173402
Al Mushayrifāwī	id=g:173403
Al Mushayrifah	id=g:173404
Al Mushayrifah	id=g:173405
Al Mushayrifah	id=g:173406
Al Mushayrifah	id=g:173407
Al Mushayrifah	id=g:173408
Al Mushayrifah	id=g:173409
Al Mushayrifah	id=g:173410
Al Mushayrifah	id=g:173411
Al Mushayrifah	id=g:173412
Al Mushayrifah	id=g:173413
Al Mushannaf	id=g:173414
Al Muşayţibah	id=g:173415
Al Musayfirah	id=g:173416
Al Muşallá	id=g:173417
Al Murūj	id=g:173418
Al Murayqib	id=g:173419
Al Murayjah	id=g:173420
Al Murayj	id=g:173421
Al Muqrānah	id=g:173422
Al Muqmān	id=g:173423
Al Muqaylībah	id=g:173424
Al Muqaybirah	id=g:173425
Al Muqarmadah	id=g:173426
Al Muqa‘barīyah	id=g:173427
Al Munyah	id=g:173428
Al Munţār	id=g:173429
Al Munţār	id=g:173430
Al Munţār	id=g:173431
Al Munḩadar al Ḩamrā’	id=g:173432
Al Munayzilah	id=g:173433
Al Mulayḩah	id=g:173434
Minţaqat al Mukharram	id=g:173435
Al Mukaymin	id=g:173436
Al Mujayḩīyah	id=g:173437
Al Mujaydil	id=g:173438
Al Muḩaylibah	id=g:173439
Al Muḩammadīyah	id=g:173440
Al Muhājirīn	id=g:173441
Al Mughayr	id=g:173442
Al Mughayr	id=g:173443
Al Mughayr	id=g:173444
Al Mughabb	id=g:173445
Al Muflisah	id=g:173446
Al Mudawwarah	id=g:173447
Al Mudawwarah	id=g:173448
Al Mudawwar	id=g:173449
Al Mubārakīyah	id=g:173450
Al Mu‘ayşirah	id=g:173451
Al Mu‘aḑḑamīyah	id=g:173452
Al Mū‘ā	id=g:173453
Al Mrâb ar Rāsī	id=g:173454
Al Moûrâd	id=g:173455
Al Mossabi	id=g:173456
Al Morhrâqâ	id=g:173457
Al Miţyāḩah	id=g:173458
Al Mişrī	id=g:173459
Al Misrābā	id=g:173460
Al Misrāb	id=g:173461
Al Mismīyah	id=g:173462
Al Mirdāsīyah	id=g:173463
Ḩayy al Mīnā’	id=g:173464
‘Almīn	id=g:173465
Al Mīmās	id=g:173466
Al Milk	id=g:173467
Al Mushayfij	id=g:173468
Al Mécherqa	id=g:173469
Al Mazzah	id=g:173470
Al Mazra‘ah	id=g:173471
Al Mazra‘ah	id=g:173472
Al Mazra‘ah	id=g:173473
Al Mazra‘ah	id=g:173474
Al Mazra‘ah	id=g:173475
Al Mazlah	id=g:173476
Al Mazḩal	id=g:173477
Al Mazār	id=g:173478
Al Maysah	id=g:173479
Al Mayādīn	id=g:173480
Minţaqat al Mayādīn	id=g:173481
Al Mawlid	id=g:173482
Al Matūnah	id=g:173483
Al Mattāḩ	id=g:173484
Al Matrakīyah	id=g:173485
Al Matn	id=g:173486
Al Masţūmah	id=g:173487
Al Maşna‘	id=g:173488
Al Maşlā	id=g:173489
Al Mashtāyah	id=g:173490
Al Mashtá	id=g:173491
Al Mashrafīyah	id=g:173492
Al Mashrafah	id=g:173493
Al Mashrafah	id=g:173494
Al Mashrafah	id=g:173495
Al Mashrafah	id=g:173496
Al Mashrafah	id=g:173497
Al Mashqūq	id=g:173498
Al Mashātī	id=g:173499
Al Marrānah	id=g:173500
Al Marrānah	id=g:173501
Al Marqab	id=g:173502
Al Marj	id=g:173503
Al Marj	id=g:173504
Al Marfū‘	id=g:173505
Al Marāmī	id=g:173506
Al Marāḩ	id=g:173507
Al Marāghah	id=g:173508
Al Maqtalah	id=g:173509
Al Maqţa‘	id=g:173510
Al Maqţa‘	id=g:173511
Al Maqşabah	id=g:173512
Al Maqbarah	id=g:173513
Al Maqārayn	id=g:173514
Al Manzilah	id=g:173515
Al Manţarah	id=g:173516
Al Manţar	id=g:173517
Al Manşūrah	id=g:173518
Al Mansīyah	id=g:173519
Al Manqūrah	id=g:173520
Al Manī‘īyah	id=g:173521
Al Mandarah	id=g:173522
Al Manāz̧ir	id=g:173523
Al Manāzil	id=g:173524
Al Manāţīr	id=g:173525
Al Manāşif	id=g:173526
Al Ma‘mūrah	id=g:173527
Al Maloûk	id=g:173528
Al Mālīyah	id=g:173529
Al Mālikīyah	id=g:173530
Al Mālik	id=g:173531
Al Māliḩah	id=g:173532
Al Māliḩah	id=g:173533
Al Māl	id=g:173534
Al Makhţabīyah	id=g:173535
Al Majwīyah	id=g:173536
Al Majwī	id=g:173537
Al Ma‘jūn	id=g:173538
Al Majrūḩ	id=g:173539
Al Majdal	id=g:173540
Al Majdal	id=g:173541
Al Majdal	id=g:173542
Al Majdal	id=g:173543
Al Majāmi‘	id=g:173544
Al Maïtîr	id=g:173545
Al Mahsâni	id=g:173546
Al Maḩrūq	id=g:173547
Al Maḩmūrī	id=g:173548
Al Maḩl	id=g:173549
Al Maḩjar	id=g:173550
Al Mahdīyah	id=g:173551
Al Maghrīţ	id=g:173552
Al Maghārah	id=g:173553
Al Maftara	id=g:173554
Al Madyūnah	id=g:173555
Al Madīnah	id=g:173556
Al Madaba	id=g:173557
Al Mab‘ūjah	id=g:173558
Al Mab‘ūjah	id=g:173559
Al Mabrūd	id=g:173560
‘Almā	id=g:173561
Al Luwaydhiqīyah	id=g:173562
Al Luwaybidah	id=g:173563
Ḑahr ‘Allūshī	id=g:173564
Al Luhābīyah	id=g:173565
Al Laţāminah	id=g:173566
Al Laqbah	id=g:173567
Al Laqbah	id=g:173568
‘Allānī	id=g:173569
Wādī ‘Allān	id=g:173570
Nahr al ‘Allān	id=g:173571
Al Lajj	id=g:173572
Al Lajā	id=g:173573
Al Lāḩūnah	id=g:173574
Bi’r Allāh aş Şābir	id=g:173575
Latakia	id=g:173576
Minţaqat al Lādhiqīyah	id=g:173577
Muḩāfaz̧at al Lādhiqīyah	id=g:173578
Al Kuwayyah	id=g:173579
Al Kutaybah	id=g:173580
Al Kusaybīyah	id=g:173581
Al Kusayb	id=g:173582
Al Kurūm	id=g:173583
Al Kurūm	id=g:173584
Al Kurūm	id=g:173585
Al Kursī	id=g:173586
Kurayyim	id=g:173587
Al Kuraym	id=g:173588
Al Kuraym	id=g:173589
Al Kūr	id=g:173590
Al Kunayyisāt	id=g:173591
Al Kunayyisah	id=g:173592
Al Kunayyisah	id=g:173593
Kufrayn	id=g:173594
Al Kufayr	id=g:173595
Al Kubayshāt	id=g:173596
Al Koussârîyé	id=g:173597
Al Kiswah	id=g:173598
Al Kishta‘ār	id=g:173599
Al Khuwayshah	id=g:173600
Al Khushnīyah	id=g:173601
Al Khuraybāt	id=g:173602
Al Khuraybāt	id=g:173603
Al Khuraybah	id=g:173604
Al Khuraybah	id=g:173605
Al Khuraybah	id=g:173606
Al Khuraybah	id=g:173607
Al Khuraybah	id=g:173608
Al Khunayfis	id=g:173609
Al Khumaysīyah	id=g:173610
Al Khiyārah	id=g:173611
Al Khirbah	id=g:173612
Al Khirbah	id=g:173613
Al Khiḑr Mār Ilyās	id=g:173614
Al Khiḑr	id=g:173615
Al Khiḑr	id=g:173616
Al Khiḑr	id=g:173617
Al Khiḑr	id=g:173618
Al Khiḑr	id=g:173619
Al Khiḑr	id=g:173620
Al Khiḑr	id=g:173621
Al Khazrajīyah	id=g:173622
Al Khaznah	id=g:173623
Al Kharrūbah aş Şaghīrah	id=g:173624
Al Kharrūbah al Kabīrah	id=g:173625
Al Kharrāţah	id=g:173626
Al Kharrāţah	id=g:173627
Al Kharār	id=g:173628
Al Kharā’ib	id=g:173629
Al Kharā’ib	id=g:173630
Al Kharā’ib	id=g:173631
Al Kharābah	id=g:173632
Al Kharābah	id=g:173633
Al Kharāb	id=g:173634
Al Kharāb	id=g:173635
Al Khandaq	id=g:173636
Al Khanāzīr	id=g:173637
Al Khān	id=g:173638
Al Khān	id=g:173639
Al Khān	id=g:173640
Al Khān	id=g:173641
Al Khalīlīyah	id=g:173642
Al Khālidīyah	id=g:173643
Al Khalā’	id=g:173644
Al Khafsah	id=g:173645
Al Khafīyah	id=g:173646
Al Kāzīyah	id=g:173647
Al Kaymah	id=g:173648
Al Kawm	id=g:173649
Al Kawm	id=g:173650
Al Kawm	id=g:173651
Al Kawkalīyah	id=g:173652
Al Kawkabah	id=g:173653
Al Kawā’ir	id=g:173654
Al Karkīt	id=g:173655
Al Karak	id=g:173656
Al Kara‘	id=g:173657
Al Kanīsah	id=g:173658
Al Kanīsah	id=g:173659
Al Kanā’is	id=g:173660
Al Kanā’is	id=g:173661
Al Kāmilīyah	id=g:173662
Al Kalmūkh	id=g:173663
Al Kalbīyah	id=g:173664
Al Kafrah	id=g:173665
Al Kafr	id=g:173666
Al Kafr	id=g:173667
Al Kāfāt	id=g:173668
Al Kabrī	id=g:173669
Al Juwayz	id=g:173670
Al Juwayf	id=g:173671
Al Juwaybāt	id=g:173672
Al Jurnīyah	id=g:173673
Al Jurnīyah	id=g:173674
Al Juraynāt	id=g:173675
Al Juraymiqīyah	id=g:173676
Al Jūrah	id=g:173677
Al Jūrah	id=g:173678
Al Junaynah	id=g:173679
Al Julaymah	id=g:173680
Al Julaybīnah	id=g:173681
Al Jūkhadār	id=g:173682
Al Jūfīyah	id=g:173683
Al Judayyā	id=g:173684
Al Judaydah	id=g:173685
Al Judaydah	id=g:173686
Al Judaydah	id=g:173687
Al Judaydah	id=g:173688
Al Jubaylīyah	id=g:173689
Al Jūbah	id=g:173690
Al Jirābīyāt	id=g:173691
Al Jīnī	id=g:173692
Al Jīnī	id=g:173693
Al Jindīrīyah	id=g:173694
Al Jīnah	id=g:173695
Al Jīḩah	id=g:173696
Maḩaţţat al Jibāb	id=g:173697
Al Jibāb	id=g:173698
Jibāb	id=g:173699
Al Jbelé	id=g:173700
Al Jazrah	id=g:173701
Al Jazrah	id=g:173702
Al Jazā’ir	id=g:173703
Al Jayyid	id=g:173704
Al Jawzīyah	id=g:173705
Al Jawwālah	id=g:173706
Al Jawlaq	id=g:173707
Golan Heights	id=g:173708
Al Jawbah	id=g:173709
Al Jawbah	id=g:173710
Al Jawādīyah	id=g:173711
Al Jarwīyah	id=g:173712
Al Jarbā’	id=g:173713
Al Jarādah	id=g:173714
Al Jānūdīyah	id=g:173715
Al Jammāsīyah	id=g:173716
Al Jammāsah	id=g:173717
Al Jamlah	id=g:173718
Al Jamal	id=g:173719
Al Jājīyah	id=g:173720
Al Jā’iz	id=g:173721
Al Jafrah	id=g:173722
Al Jāfi‘ah	id=g:173723
Al Jadīdah	id=g:173724
Al Jābirīyah	id=g:173725
‘Āliyāt	id=g:173726
‘Alīyah	id=g:173727
‘Alīyah	id=g:173728
Al Ittijāh ash Shamālī	id=g:173729
‘Alīsah	id=g:173730
‘Alī Qirān	id=g:173731
Tall ‘Āliqīn	id=g:173732
‘Āliqīn	id=g:173733
Al ‘Imdān	id=g:173734
Tall Ālim	id=g:173735
Al ‘Ikrishī	id=g:173736
Al Idrīsīyah	id=g:173737
‘Alī Bajlīyah	id=g:173738
‘Alī Badrān	id=g:173739
‘Ayn ‘Alī aş Şaḩw	id=g:173740
‘Alī ash Shahl	id=g:173741
Alianes	id=g:173742
‘Ayn ‘Alī al Ḩammūd	id=g:173743
Wādī ‘Alī	id=g:173744
Ţaraq al ‘Ālī	id=g:173745
Rujm ‘Alī	id=g:173746
Qubbat ‘Alī	id=g:173747
Jabal al ‘Ālī	id=g:173748
‘Ayn ‘Alī	id=g:173749
Al Ḩuwayz	id=g:173750
Al Ḩuwayz	id=g:173751
Al Ḩuwayz	id=g:173752
Al Ḩuwayz	id=g:173753
Al Huwayyah	id=g:173754
Al Ḩuwayşah	id=g:173755
Al Ḩuwayrah	id=g:173756
Al Ḩuwayjah	id=g:173757
Al Ḩūtah	id=g:173758
Al Ḩūtah	id=g:173759
Al Ḩusaynīyah	id=g:173760
Al Ḩusaynīyah	id=g:173761
Al Ḩusayn	id=g:173762
Al Hurtah Sharqī	id=g:173763
Al Hurtah Gharbī	id=g:173764
Al Ḩurayf	id=g:173765
Al Ḩūrāt	id=g:173766
Al Ḩumrān	id=g:173767
Al Ḩummuş	id=g:173768
Al Ḩubaylī	id=g:173769
Al Ḩubārá	id=g:173770
Al Hīt	id=g:173771
Al Hīt	id=g:173772
Al Hīshah	id=g:173773
Al Hīshah	id=g:173774
Al Hirmil	id=g:173775
Al Haramah	id=g:173776
Al Hinādī	id=g:173777
Al Hilālīyah	id=g:173778
Al Ḩikkīyah	id=g:173779
Maḩaţţat al Ḩijāz	id=g:173780
Al Hījānah	id=g:173781
Al Ḩidādah	id=g:173782
Al Hazzānah	id=g:173783
Al Ḩazīmah	id=g:173784
Al Ḩazīmah	id=g:173785
Al Ḩāzim	id=g:173786
Al Ḩayzah	id=g:173787
Al Ḩayşah	id=g:173788
Al Ḩayrāt	id=g:173789
Al Ḩayr	id=g:173790
Al Ḩaymar	id=g:173791
Al Ḩaylūnah	id=g:173792
Al Ḩayawān	id=g:173793
Al Ḩawz	id=g:173794
Al Ḩawwās	id=g:173795
Al Ḩawr	id=g:173796
Al Ḩawl	id=g:173797
Al Ḩawīyah	id=g:173798
Al Ḩawāz	id=g:173799
Al Ḩawāsh	id=g:173800
Al Ḩawāsh	id=g:173801
Al Ḩawāsh	id=g:173802
Al Ḩattāsh	id=g:173803
Al Ḩaţţānīyah	id=g:173804
Al Ḩāţirīyah	id=g:173805
Al Ḩasyān	id=g:173806
Al Ḩaşrah	id=g:173807
Al Hāshimīyah	id=g:173808
Al Ḩasanah	id=g:173809
Al Ḩasan	id=g:173810
Al Ḩasakah	id=g:173811
Minţaqat al Ḩasakah	id=g:173812
Muḩāfaz̧at al Ḩasakah	id=g:173813
Al Ḩārrah	id=g:173814
Ḩarjalah	id=g:173815
Al Ḩarīsah	id=g:173816
Al Ḩarāmī	id=g:173817
Al Ḩarākī	id=g:173818
Al Ḩarāk	id=g:173819
Al Ḩarā’ik	id=g:173820
Al Ḩārah	id=g:173821
Al Ḩānūtah	id=g:173822
Al Ḩānūtah	id=g:173823
Al Ḩānū	id=g:173824
Al Ḩanafīyah	id=g:173825
Al Ḩamūd	id=g:173826
Al Ḩamrāt	id=g:173827
Al Ḩamrā’	id=g:173828
Al Ḩamrā’	id=g:173829
Al Ḩamrā’	id=g:173830
Al Ḩamrā’	id=g:173831
Al Ḩamrā’	id=g:173832
Al Ḩamrā’	id=g:173833
Al Ḩamrā’	id=g:173834
Al Ḩamrā’	id=g:173835
Al Ḩammām	id=g:173836
Maḩaţţat al Ḩammah	id=g:173837
Al Ḩammah	id=g:173838
Al Ḩammah	id=g:173839
Maḩaţţat al Ḩamīdīyah	id=g:173840
Al Ḩamīdīyah	id=g:173841
Al Ḩamīdīyah	id=g:173842
Al Ḩāmī	id=g:173843
Maḩaţţat al Ḩamdānīyah	id=g:173844
Al Ḩamdānīyah	id=g:173845
Al Ḩambūshīyah	id=g:173846
Al Ḩamāmīyāt	id=g:173847
Al Ḩallūbah	id=g:173848
Al Ḩalbah	id=g:173849
Al Ḩalāqīm	id=g:173850
Al Ḩalamūz	id=g:173851
Al Ḩājib	id=g:173852
Al Ḩajarīyah	id=g:173853
Al Ḩajar	id=g:173854
Al Ḩafīr al Fawqānī	id=g:173855
Al Ḩaffah	id=g:173856
Minţaqat al Ḩaffah	id=g:173857
Al Ḩafar	id=g:173858
Al Ḩafā’ir	id=g:173859
Al Hādīn	id=g:173860
Al Ḩadīdīyah	id=g:173861
Al Ḩadath	id=g:173862
Al Ḩabs	id=g:173863
Al Habīţ	id=g:173864
Al Ḩabīs	id=g:173865
Al Ghūţah	id=g:173866
Al Ghunşalah	id=g:173867
Al Ghūnah	id=g:173868
Al Ghizlānīyah	id=g:173869
Al Ghazzāwīyah	id=g:173870
Al Ghāzilī	id=g:173871
Al Ghazālah	id=g:173872
Al Ghaylah	id=g:173873
Al Ghayḑah	id=g:173874
Al Ghawr	id=g:173875
Al Ghāwī	id=g:173876
Al Ghasūlah	id=g:173877
Al Ghāşibīyah	id=g:173878
Al Gharrah	id=g:173879
Al Ghāriyah	id=g:173880
Al Ghārah	id=g:173881
Al Ghajar	id=g:173882
Al Ghafar	id=g:173883
Al Ghāb	id=g:173884
Minţaqat al Ghāb	id=g:173885
Al Futayḩ	id=g:173886
Al Fuţāsīyah	id=g:173887
Al Fuşayyāt	id=g:173888
Al Fulayt	id=g:173889
Al Fulayḩah	id=g:173890
Al Fuḩayl	id=g:173891
Al Fayḑāt	id=g:173892
Al Fayḑ	id=g:173893
Al Fā‘ūrī	id=g:173894
Al Fātisah	id=g:173895
Al Faţīrah	id=g:173896
Al Farrūkhīyah	id=g:173897
Al Farj	id=g:173898
Al Farandis	id=g:173899
Al Faqī‘	id=g:173900
Al Fanā’is	id=g:173901
Al Fanādiq	id=g:173902
Al Falū	id=g:173903
Al Fakhkhārīyah	id=g:173904
Al Faïda	id=g:173905
Al Faḩḩām	id=g:173906
Al Buwayţī	id=g:173907
Al Buwayt	id=g:173908
Buwayḑīyah	id=g:173909
Al Buwayḑāt	id=g:173910
Al Buwayḑah	id=g:173911
Al Buwayḑah	id=g:173912
Al Buwayḑah	id=g:173913
Al Buwayḑah	id=g:173914
Al Buwayḑ	id=g:173915
Al Buwayb	id=g:173916
Al Buwayb	id=g:173917
Al Buwārah	id=g:173918
Al Buţmīyāt	id=g:173919
Al Buţmah	id=g:173920
Al Buţayḩah	id=g:173921
Al Bustān	id=g:173922
Al Bustān	id=g:173923
Al Bustān	id=g:173924
Al Buşayşah	id=g:173925
Al Buşayrī	id=g:173926
Al Buşayrah	id=g:173927
Al Burţāsīyah	id=g:173928
Al Burnāş	id=g:173929
Al Burayj	id=g:173930
Al Burj	id=g:173931
Al Burj	id=g:173932
Al Burj	id=g:173933
Al Burj	id=g:173934
Al Burj	id=g:173935
Al Burj	id=g:173936
Al Burham	id=g:173937
Al Burayşah	id=g:173938
Al Buraykah	id=g:173939
Al Burayj	id=g:173940
Al Burayj	id=g:173941
Al Burayj	id=g:173942
Al Būr	id=g:173943
Al Buqay‘ah	id=g:173944
Al Buq‘ān	id=g:173945
Āl Bū Mu‘ayţ	id=g:173946
Al Būlīyāt	id=g:173947
Al Bujūrīyah	id=g:173948
Al Buḩayrah	id=g:173949
Al Būghāz	id=g:173950
Al Būdī	id=g:173952
Al Buwayr	id=g:173953
Al Bu’ayr	id=g:173954
Al Brāj	id=g:173955
Al Bouâb	id=g:173956
Al Bouâb	id=g:173957
Al Bīyah	id=g:173958
Al Birkah	id=g:173959
Al Bīrah	id=g:173960
Al Bīrah	id=g:173961
Al Bīrah	id=g:173962
Al Biljah	id=g:173963
Al Bilālīyah	id=g:173964
Al Bīḑ	id=g:173965
Al Bībār	id=g:173966
Al Bayţarūn	id=g:173967
Al Bayţarīyah	id=g:173968
Al Bayḑā’	id=g:173969
Al Bayḑā’	id=g:173970
Al Bayḑā’	id=g:173971
Al Bayḑā’	id=g:173972
Al Bayḑā’	id=g:173973
Al Bayāḑīyah	id=g:173974
Al Bayāḑ	id=g:173975
Al Bawḑah	id=g:173976
Al Bā‘ūm	id=g:173977
Al Baţrūnah	id=g:173978
Al Baţkhah	id=g:173979
Al Ba‘taqah	id=g:173980
Al Başşah	id=g:173981
Al Bassah	id=g:173982
Al Başşah	id=g:173983
Al Bass	id=g:173984
Al Basrîyé	id=g:173985
Al Basīţ	id=g:173986
Al Basātīn	id=g:173987
Al Bārūzah	id=g:173988
Al Bārūdīyah	id=g:173989
Al Barsah	id=g:173990
Al Bāriqīyah	id=g:173991
Al Bāridah	id=g:173992
Al Bārid	id=g:173993
Al Bārid	id=g:173994
Al Bārid	id=g:173995
Al Bardūnah	id=g:173996
Al Bardūnah	id=g:173997
Al Barāzīn	id=g:173998
Al Bārah	id=g:173999
Al Baqrūqah	id=g:174000
Al Bāqillī	id=g:174001
Al Banīkah	id=g:174002
Al Bandayrah as Sawdā’	id=g:174003
Al Bandajī	id=g:174004
Al Bandah	id=g:174005
Al Banastūr	id=g:174006
Al Bālū‘ah	id=g:174007
Al Balāţah	id=g:174008
Al Balāţ	id=g:174009
Al Baḩrah	id=g:174010
Al Bahlūnīyah	id=g:174011
Al Bahlūlīyah	id=g:174012
Al Badrūsīyah	id=g:174013
Al Badrīyah	id=g:174014
Al Badrīyah	id=g:174015
Al Badīq	id=g:174016
Al Bāb	id=g:174017
Al Bāb	id=g:174018
Minţaqat al Bāb	id=g:174019
Al ‘Azīzīyāt	id=g:174020
Al ‘Azīzīyah	id=g:174021
Al ‘Awwāmīyah	id=g:174022
Al ‘Awrā’	id=g:174023
Maḩaţţat al ‘Awjā’	id=g:174024
Al ‘Awjā’	id=g:174025
Al ‘Awjā’	id=g:174026
Jibāl al ‘Alawīyīn	id=g:174027
Tall ‘Alawī	id=g:174028
Al ‘Aţshānah	id=g:174029
Al Atārib	id=g:174030
Al ‘Aţanah	id=g:174031
Al Aşliḩah	id=g:174032
Al Ashrafīyah	id=g:174033
Al ‘Ashīnī	id=g:174034
Al ‘Ashārinah	id=g:174035
Al Ashārah	id=g:174036
Al ‘Ashārah	id=g:174037
Bi’r ‘Alash	id=g:174038
Al ‘Asalīyah	id=g:174039
Al As‘adīyah	id=g:174040
Al ‘Arūr	id=g:174041
Al ‘Arrām	id=g:174042
Al ‘Arīmah	id=g:174043
Al ‘Arīḑīyah	id=g:174044
Al ‘Āriḑah	id=g:174045
Al ‘Arīḑ	id=g:174046
Al ‘Arīḑ	id=g:174047
Al ‘Arfā’	id=g:174048
Al Aqra‘	id=g:174049
Tall ‘Alāqīyah	id=g:174050
‘Ayn ‘Alaqīt	id=g:174051
Al ‘Aqabah	id=g:174052
‘Uyūn al ‘Alaq	id=g:174053
Al ‘Anz	id=g:174054
Al ‘Anz	id=g:174055
Al ‘Anz	id=g:174056
Al ‘Annāzah	id=g:174057
Al ‘Annāzah	id=g:174058
Al ‘Ankāwī	id=g:174059
‘Unayzah	id=g:174060
Al ‘Ānāt	id=g:174061
Al ‘Amyā’	id=g:174062
Al ‘Āmūd	id=g:174063
Al ‘Amrah	id=g:174064
Al ‘Amqīyah	id=g:174065
Al ‘Amīyah	id=g:174066
Al ‘Amrīyah	id=g:174067
Al ‘Āmirīyah	id=g:174068
Al ‘Āmirīyah	id=g:174069
Al Amīr	id=g:174070
‘Alamdār	id=g:174071
Al ‘Amārah	id=g:174072
Al ‘Allūsh	id=g:174073
Al ‘Alīyah	id=g:174074
Al ‘Alīyah	id=g:174075
Al ‘Alīyah	id=g:174076
Al ‘Alīyah	id=g:174077
Wādī ‘Alālī ad Dalīl	id=g:174078
Jabal al ‘Alālī	id=g:174079
Al ‘Ālī	id=g:174080
Al ‘Āl	id=g:174081
Al ‘Akrak	id=g:174082
Al Ajrash	id=g:174083
Al ‘Ajamī	id=g:174084
Al Ājah	id=g:174085
Al Agashlīyah	id=g:174086
Al ‘Afsh	id=g:174087
Al ‘Afīnah	id=g:174088
Al Adrīyah	id=g:174089
Al ‘Adīmah	id=g:174090
Al ‘Adasīyah	id=g:174091
Al ‘Abbās	id=g:174092
Al ‘Abbādah	id=g:174093
Al ‘Abbād	id=g:174094
Ala Bāsh	id=g:174095
Al ‘Abākīyah	id=g:174096
Al Aalmîyé	id=g:174097
Jabal al ‘Alā	id=g:174098
‘Akūbar	id=g:174099
Jabal Aktaḩ	id=g:174100
Tall ‘Aks	id=g:174101
Jabal Akrit	id=g:174102
Akrād Ibrāhīm	id=g:174103
Akrād Dayāsinah	id=g:174104
Akrād al Baqqārah	id=g:174105
Khirbat al Akrād	id=g:174106
Jabal al Akrād	id=g:174107
Arḑ al Akrād	id=g:174108
Jabal Akra	id=g:174109
Akkūm	id=g:174110
Maḩaţţat ‘Akkārī	id=g:174111
`Akkārī	id=g:174112
Sahl ‘Akkār	id=g:174113
Bi’r Akhū Hadlā’	id=g:174114
Akhtarīn	id=g:174115
Tall Akho	id=g:174116
Ākhir Zamān	id=g:174117
‘Akākīr	id=g:174118
Jabal al ‘Ajwah	id=g:174119
Wādī al ‘Ajūz	id=g:174120
Ajlās	id=g:174121
‘Ajjūrah	id=g:174122
‘Ajjāz	id=g:174123
‘Ajjāz	id=g:174124
Ajī Sū	id=g:174125
‘Ājil	id=g:174126
Khirbat ‘Ajdah	id=g:174127
‘Ajarjah	id=g:174128
Arḑ al ‘Ajamī	id=g:174129
‘Ajamī	id=g:174130
Khirbat ‘Ajam ‘Alī	id=g:174131
Wādī al ‘Ajam	id=g:174132
‘Ajalāt	id=g:174133
Tall ‘Ajājah	id=g:174134
Sha‘īb ‘Ajājah	id=g:174135
‘Ayn ‘Ajājah	id=g:174136
‘Ajājah	id=g:174137
Khirbat Aïze	id=g:174138
Jabal Aïze	id=g:174139
Wādī ‘Ā’ishah	id=g:174140
‘Ā’id al Kabīr	id=g:174141
Rôta Aïda	id=g:174142
Jabal ‘Ā’id	id=g:174143
Aḩsim	id=g:174144
Arḑ al Aḩraş	id=g:174145
