Achimeleku	id=g:2306049
Abuife	id=g:2306145
Abuiata	id=g:2306146
Abuhura	id=g:2306147
Abuenu	id=g:2306148
Abudom	id=g:2306149
Abudi	id=g:2306150
Abude	id=g:2306151
Abuchenso	id=g:2306152
Abuchen	id=g:2306153
Abuchen	id=g:2306154
Abubre	id=g:2306155
Abuanu	id=g:2306156
Abuanokope	id=g:2306157
Abuakwankwanta	id=g:2306158
Abuakwa	id=g:2306159
Abuakwa	id=g:2306160
Abuakwa	id=g:2306161
Abuadi	id=g:2306162
Abua	id=g:2306163
Abua	id=g:2306164
Abua	id=g:2306165
Abu	id=g:2306166
Abu	id=g:2306167
Abruwanfu	id=g:2306168
Abrusa	id=g:2306169
Abroma	id=g:2306170
Abrokwofi	id=g:2306171
Abrofoa	id=g:2306172
Abrofirim	id=g:2306173
Abrodiem	id=g:2306174
Abrodiem	id=g:2306175
Abrodi	id=g:2306176
Abrochiri	id=g:2306177
Abrochire	id=g:2306178
Abrobuesin	id=g:2306179
Abrobeano	id=g:2306180
Abrimso	id=g:2306181
Abrimasu Forest Reserve	id=g:2306182
Abrim	id=g:2306183
Abrikaso	id=g:2306184
Abrewankaw	id=g:2306185
Abrewakwa	id=g:2306186
Abrewa	id=g:2306187
Abresua	id=g:2306188
Abresu	id=g:2306189
Abreshia	id=g:2306190
Abreshia	id=g:2306191
Abrense	id=g:2306192
Abremkese	id=g:2306193
Abrem Agona	id=g:2306194
Abrema	id=g:2306195
Abrekuma	id=g:2306196
Abrekum	id=g:2306197
Abrawkawfe	id=g:2306198
Abrawdiwurem	id=g:2306199
Abrasi	id=g:2306200
Abrantiyamawbaw	id=g:2306201
Abransa	id=g:2306202
Abrakaso	id=g:2306203
Abrafo	id=g:2306204
Abrade	id=g:2306205
Abra	id=g:2306206
Abra	id=g:2306207
Abra	id=g:2306208
Abowinim	id=g:2306209
Abowam	id=g:2306210
Abotia	id=g:2306211
Abotia	id=g:2306212
Abotia	id=g:2306213
Abotia	id=g:2306214
Abotia	id=g:2306215
Abotendua	id=g:2306216
Abotaso	id=g:2306217
Abotansu	id=g:2306218
Abotansu	id=g:2306219
Abotan Kwai	id=g:2306220
Abotang	id=g:2306221
Abosumba	id=g:2306222
Aboso	id=g:2306223
Aboso	id=g:2306224
Abosem	id=g:2306225
Abosamso	id=g:2306226
Abori	id=g:2306227
Abora	id=g:2306228
Abor	id=g:2306229
Abonzerakrom	id=g:2306230
Abonu	id=g:2306231
Abonu	id=g:2306232
Abontsa	id=g:2306233
Abontiem	id=g:2306234
Abontiakun	id=g:2306235
Abonokofe	id=g:2306236
Abonkwa	id=g:2306237
Abonku	id=g:2306238
Abonku	id=g:2306239
Aboniyere Shelterbelt Forest Reserve	id=g:2306240
Aboniyere	id=g:2306241
Aboni	id=g:2306242
Abon-Fo	id=g:2306243
Abonan	id=g:2306244
Abon	id=g:2306245
Abomposu	id=g:2306246
Abompe	id=g:2306247
Abompe	id=g:2306248
Abomosu	id=g:2306249
Abomoso	id=g:2306250
Abomisam	id=g:2306251
Abominya	id=g:2306252
Abombanya	id=g:2306253
Abomasalafuo	id=g:2306254
Abomanso	id=g:2306255
Aboman	id=g:2306256
Abomakese	id=g:2306257
Aboma Forest Reserve	id=g:2306258
Abomabre	id=g:2306259
Aboma	id=g:2306260
Aboma	id=g:2306261
Abolave	id=g:2306262
Abokwa Island	id=g:2306263
Abokuasi	id=g:2306264
Abokuasi	id=g:2306265
Abokokrom	id=g:2306266
Abokobi	id=g:2306267
Abokanga	id=g:2306268
Abojiemiye	id=g:2306269
Aboi	id=g:2306270
Aboi	id=g:2306271
Abohwen	id=g:2306272
Abohire	id=g:2306273
Abohia	id=g:2306274
Abofu	id=g:2306275
Abofrim	id=g:2306276
Aboframfajwini	id=g:2306277
Abofour	id=g:2306278
Abofere	id=g:2306279
Aboesi	id=g:2306280
Abodyeri	id=g:2306281
Abodum	id=g:2306282
Abodum	id=g:2306283
Aboduem	id=g:2306284
Abodom	id=g:2306285
Abodom	id=g:2306286
Abodom	id=g:2306287
Abodom	id=g:2306288
Abodinkrom	id=g:2306289
Abodiem	id=g:2306290
Abodiem	id=g:2306291
Abochire	id=g:2306292
Abochiman	id=g:2306293
Abochikrom	id=g:2306294
Abochikope	id=g:2306295
Abochigakope	id=g:2306296
Abobri	id=g:2306297
Abobofovi	id=g:2306298
Aboboaso	id=g:2306299
Aboben Hill Forest Reserve	id=g:2306300
Aboawso	id=g:2306301
Aboatinka	id=g:2306302
Aboasu	id=g:2306303
Aboaso	id=g:2306304
Aboasi	id=g:2306305
Aboansa	id=g:2306306
Aboansa	id=g:2306307
Aboansa	id=g:2306308
Aboano	id=g:2306309
Aboadi Point	id=g:2306310
Aboadi	id=g:2306311
Aboadi	id=g:2306312
Aboachi	id=g:2306313
Aboaboso	id=g:2306314
Aboaboso	id=g:2306315
Aboabo Nkwanta	id=g:2306316
Aboaboja	id=g:2306317
Aboabo Duana	id=g:2306318
Aboabo	id=g:2306319
Aboabo	id=g:2306320
Aboabo	id=g:2306321
Aboabo	id=g:2306322
Aboabo	id=g:2306323
Aboabo	id=g:2306324
Aboabo	id=g:2306325
Aboabo	id=g:2306326
Aboabo	id=g:2306327
Aboabo	id=g:2306328
Aboabo	id=g:2306329
Aboabo	id=g:2306330
Aboabo	id=g:2306331
Aboabo	id=g:2306332
Aboabo	id=g:2306333
Aboabo	id=g:2306334
Aboabo	id=g:2306335
Aboabo	id=g:2306336
Aboabo	id=g:2306337
Aboabo	id=g:2306338
Aboabo	id=g:2306339
Aboabo	id=g:2306340
Aboabo	id=g:2306341
Aboabo	id=g:2306342
Aboabo	id=g:2306343
Aboabo	id=g:2306344
Aboabo	id=g:2306345
Aboabo	id=g:2306346
Aboabo	id=g:2306347
Aboabo	id=g:2306348
Aboabo	id=g:2306349
Aboabo	id=g:2306350
Aboabo	id=g:2306351
Abnodan	id=g:2306352
Abnabna	id=g:2306353
Ablonu	id=g:2306354
Ablimen	id=g:2306355
Ablibukope	id=g:2306356
Ablevenia	id=g:2306357
Ablenkpe	id=g:2306358
Ablekuma	id=g:2306359
Ablefu	id=g:2306360
Ablajei	id=g:2306361
Ablabo	id=g:2306362
Abitiboa	id=g:2306363
Abisu Forest Reserve	id=g:2306364
Abisim	id=g:2306365
Abisi	id=g:2306366
Abisasi	id=g:2306367
Abiriu	id=g:2306368
Abiresu	id=g:2306369
Abirem Odumasi	id=g:2306370
Abirem	id=g:2306371
Abinkrom	id=g:2306372
Abin	id=g:2306373
Abima	id=g:2306374
Abileteiga	id=g:2306375
Abilakpole	id=g:2306376
Abiete	id=g:2306377
Abidimisebi	id=g:2306378
Abibireso	id=g:2306379
Abiadi Eshiem	id=g:2306380
Abia	id=g:2306381
Abeu	id=g:2306382
Abetinsua	id=g:2306383
Abetinsu	id=g:2306384
Abetinso	id=g:2306385
Abetinsia	id=g:2306386
Abetinsi	id=g:2306387
Abetinm	id=g:2306388
Abetim	id=g:2306389
Abetifi	id=g:2306390
Abetensua	id=g:2306391
Abesre	id=g:2306392
Abesewa	id=g:2306393
Abesewa	id=g:2306394
Abesewa	id=g:2306395
Aberesa	id=g:2306396
Aberem	id=g:2306397
Abepim	id=g:2306398
Abepawtia	id=g:2306399
Abensia	id=g:2306400
Abenkrom	id=g:2306401
Abenia	id=g:2306402
Abenia	id=g:2306403
Abene	id=g:2306404
Abene	id=g:2306405
Abene	id=g:2306406
Abenaso	id=g:2306407
Abenasi	id=g:2306408
Abenakrom	id=g:2306409
Abemensu	id=g:2306410
Abema	id=g:2306411
Abem	id=g:2306412
Abelio	id=g:2306413
Abekoasi	id=g:2306414
Abeka	id=g:2306415
Abeka	id=g:2306416
Abejum	id=g:2306417
Abehu	id=g:2306418
Abehenasi	id=g:2306419
Abeasi	id=g:2306420
Abeam	id=g:2306421
Abe	id=g:2306422
Abayisua	id=g:2306423
Abayeme	id=g:2306424
Abawye	id=g:2306425
Abawso	id=g:2306426
Abawso	id=g:2306427
Abawso	id=g:2306428
Abawso	id=g:2306429
Abawnse	id=g:2306430
Abawe	id=g:2306431
Abawdikro	id=g:2306432
Abatumesu	id=g:2306433
Abasuapayin	id=g:2306434
Abasuakuma	id=g:2306435
Abasi	id=g:2306436
Abasi	id=g:2306437
Abasi	id=g:2306438
Abasi	id=g:2306439
Abasa	id=g:2306440
Abasa	id=g:2306441
Abaraden	id=g:2306442
Abanyaso	id=g:2306443
Abankrom	id=g:2306444
Abankro	id=g:2306445
Abankoakrom	id=g:2306446
Abankan	id=g:2306447
Abanasi	id=g:2306448
Abamkwam	id=g:2306449
Abamkrom	id=g:2306450
Abama	id=g:2306451
Abakwam	id=g:2306452
Abakwa	id=g:2306453
Abakrampa	id=g:2306454
Abakle	id=g:2306455
Abakanunkun	id=g:2306456
Abakanu	id=g:2306457
Abakabum	id=g:2306458
Abaka	id=g:2306459
Abaka	id=g:2306460
Abagamia	id=g:2306461
Abadzi	id=g:2306462
Ababuom	id=g:2306463
Ababum	id=g:2306464
Ababio	id=g:2306465
Abaasa	id=g:2306466
Red Volta	id=g:2353926
Black Volta	id=g:2353927
Sissili	id=g:2355484
Tokpa	id=g:2589850
Akanu	id=g:2589851
Akpotoenu New Town	id=g:2589852
Zukpe	id=g:2589853
Tadzle	id=g:2589854
Kpoglo	id=g:2589855
Gbegbekope	id=g:2589856
Gatsikope	id=g:2589857
Darege	id=g:2589858
Adedido	id=g:2589859
Akporkploe	id=g:2589861
Kpanu	id=g:2589866
Awunu	id=g:2589868
Betsima	id=g:2589869
Avesive	id=g:2589871
Larga	id=g:2589872
Ahiamadikope	id=g:2589873
Gedekope	id=g:2589874
Amadzikope	id=g:2589875
Musakope	id=g:2589876
Avema	id=g:2589877
Zogbe	id=g:2589878
Ablekpui	id=g:2589879
Gamadzra	id=g:2589880
Gblefedo	id=g:2589881
Adidotoe	id=g:2589882
Kofega	id=g:2589883
Golokope	id=g:2589884
Agbosokope	id=g:2589885
Ablamuzadu	id=g:2589886
Adidokope	id=g:2589887
Kabutukope	id=g:2589888
Lakluivikope	id=g:2589889
Atsukope	id=g:2589890
Sodzisikope	id=g:2589891
Avakorme	id=g:2589892
Ataglokope	id=g:2589893
Dzablikope	id=g:2589894
Togodo	id=g:2589895
Vudome	id=g:2589896
Avelagbe	id=g:2589897
Kpotsikope	id=g:2589898
Hesuworkope	id=g:2589899
Agblakope	id=g:2589900
Atsivuta	id=g:2589901
Amefinu	id=g:2589902
Glidza	id=g:2589903
Avata	id=g:2589904
Tsavanya	id=g:2589905
Datekope	id=g:2589906
Tasikome	id=g:2589907
Sikor	id=g:2589908
Sonuto	id=g:2589909
Wutortsikope	id=g:2589910
Adinamonu	id=g:2589911
Agbimenyihiakope	id=g:2589912
Dzeheko	id=g:2589913
Nordidzi	id=g:2589914
Salakope	id=g:2589915
Okaladzi	id=g:2589931
Nyame Agbogbome	id=g:2590090
Kpordorve	id=g:2590091
Lotakor	id=g:2590092
Adzapakope	id=g:2590093
Yama	id=g:2590094
Ntakrom	id=g:2593205
Mpeinyasa	id=g:2593206
Ejan	id=g:2593207
Anasam	id=g:2593208
Akutuabo	id=g:2593209
Kamiaktom	id=g:2593210
Amanmewhe	id=g:2593211
Yakrou	id=g:2595379
Ada	id=g:6296414
Ho	id=g:6296415
Akuse	id=g:6296416
Saltpond	id=g:6296417
Tema	id=g:6296418
Akim Oda	id=g:6296419
Koforidua	id=g:6296420
Bole	id=g:6296421
Tamale	id=g:6296422
Navrongo	id=g:6296423
Wa	id=g:6296424
Yendi	id=g:6296425
Sefwi Bekwai	id=g:6296426
Kumasi	id=g:6296427
Sunyani	id=g:6296428
Wenchi	id=g:6296429
Takoradi	id=g:6296430
Axim	id=g:6296431
Golden Tulip Accra	id=g:6480816
Novotel Accra City Centre	id=g:6481568
Fiesta Royale Hotel	id=g:6491168
Earlbeam Hotel	id=g:6521449
Black Star Square	id=g:6619728
Accra Sports Stadium	id=g:6619729
Ericsson Ghana	id=g:6941131
Tagbo Falls	id=g:6942017
Larterbiokorshie	id=g:7281065
Mataheko	id=g:7281066
Abossey Okai	id=g:7281067
Gbegbe St	id=g:7281068
Korle Gonno	id=g:7281069
Mamprobi	id=g:7281070
Amosima	id=g:7281071
Effiduase	id=g:7281088
Asawasi	id=g:7281132
North Suntreso	id=g:7281133
Apesika	id=g:7281134
Amoma	id=g:7281135
Cape Coast Town Hall	id=g:7281138
Bronikrom	id=g:7281142
Withams Cemetery	id=g:2411431
Windmill Hill Flats	id=g:2411432
Williams Way Tunnel	id=g:2411433
White Rock	id=g:2411434
Western Beach	id=g:2411435
Western Arm	id=g:2411436
Wellington Front	id=g:2411437
Waterport Wharf	id=g:2411438
Waterport	id=g:2411439
Victoria Sports Centre	id=g:2411440
Varyl Begg Estate	id=g:2411441
Upper Galleries Entrance	id=g:2411442
Trafalgar Palace Hotel	id=g:2411443
Trafalgar Cemetery	id=g:2411444
Tower of Homage	id=g:2411445
The Tower	id=g:2411446
Tovey Battery	id=g:2411447
Theatre Royal	id=g:2411448
Sunnyside Steps	id=g:2411449
Spyglass Battery	id=g:2411450
Spur Battery	id=g:2411451
Southport Gates	id=g:2411452
South Mole	id=g:2411453
South Jumpers Bastion	id=g:2411454
South Barracks	id=g:2411455
Signal Hill	id=g:2411456
Shirley Cove	id=g:2411457
Servants’ Block	id=g:2411458
Schomberg Building	id=g:2411459
Sandy Bay North	id=g:2411460
Sandy Bay	id=g:2411461
Sandpits Tennis Courts	id=g:2411462
Saint Theresa’s Church	id=g:2411463
Saint Peter’s School	id=g:2411464
Saint Michael’s Gate	id=g:2411465
Saint Michael's Cave	id=g:2411466
Cathedral of Saint Mary’s the Crowned	id=g:2411467
Saint Joseph’s Church	id=g:2411468
Saint Jago’s School	id=g:2411469
Saint Christopher’s School	id=g:2411470
Saint Bernard’s Hospital	id=g:2411471
Saint Anne’s School	id=g:2411472
Saint Abb’s Head	id=g:2411473
Church of the Sacred Heart	id=g:2411474
Saccone and Speed Bottling Factory	id=g:2411475
Royal Naval Hospital	id=g:2411476
Royal Gibraltar Yacht Club	id=g:2411477
Royal Battery	id=g:2411478
Rosia Parade	id=g:2411479
Rosia Mole	id=g:2411480
Rosia Bay	id=g:2411481
Rosia	id=g:2411482
Rooke Battery	id=g:2411483
Rock Hotel	id=g:2411484
Rock Battery	id=g:2411485
Regal Cinema	id=g:2411486
Ragged Staff Landing	id=g:2411487
Ragged Staff Gates	id=g:2411488
Queen’s Hotel	id=g:2411489
Queen’s Gate	id=g:2411490
Queen Alexandra Dock Number Two	id=g:2411491
Prince William’s Battery	id=g:2411492
Princess Royal’s Battery	id=g:2411493
Princess Caroline’s Battery	id=g:2411494
Princess Anne’s Battery	id=g:2411495
Princess Amelia’s Battery	id=g:2411496
Prince of Wales Dock Number One	id=g:2411497
Passenger Wharf	id=g:2411498
Passage Point	id=g:2411499
Parson’s Lodge Battery	id=g:2411500
Ordnance Wharf	id=g:2411501
Old Naval Hospital	id=g:2411502
Old Brewery Barracks	id=g:2411503
O’Hara’s Battery	id=g:2411504
Nun’s Well	id=g:2411505
Number Two Jetty	id=g:2411506
Number Three Jetty	id=g:2411507
Number One Jetty	id=g:2411508
Number Four Jetty	id=g:2411509
Dock Number Four	id=g:2411510
Number Five Jetty	id=g:2411511
North Mole	id=g:2411512
North Jumpers Bastion	id=g:2411513
North Gorge	id=g:2411514
North Front	id=g:2411515
New Camp	id=g:2411516
Napier Battery	id=g:2411517
Mount Garden	id=g:2411518
Mount Barbary	id=g:2411519
Mount Alvernia	id=g:2411520
The Mount	id=g:2411521
Moorish Castle Estate	id=g:2411522
Montarik Hotel	id=g:2411523
Montagu Sea Bathing Pavilion	id=g:2411524
Montagu Basin	id=g:2411525
Monkeys Alameda	id=g:2411526
Middle Hill Battery	id=g:2411527
Middle Hill	id=g:2411528
Middle Gate	id=g:2411529
Mediterranean Steps	id=g:2411530
Mediterranean Rowing Club	id=g:2411531
Mediterranean Hotel	id=g:2411532
Martin’s Cave	id=g:2411533
Marina Court	id=g:2411534
Main Wharf	id=g:2411535
Mackerel Bank	id=g:2411536
Lourde’s School	id=g:2411537
Loretto Convent School	id=g:2411538
Loretto Convent	id=g:2411539
Little Europa Point	id=g:2411540
Little Bay	id=g:2411541
Lighthouse Battery	id=g:2411542
The Lido	id=g:2411543
Levant Cave	id=g:2411544
Lathbury Barracks	id=g:2411545
Laguna Estate	id=g:2411546
King’s Chapel	id=g:2411547
King's Bastion	id=g:2411548
King George V Memorial Hospital	id=g:2411549
King Edward VII Dock Number Three	id=g:2411550
Keightley Way Tunnel	id=g:2411551
John Mackintosh Square	id=g:2411552
John Mackintosh Hall	id=g:2411553
Jarvis House	id=g:2411554
Ince’s Farm	id=g:2411555
House of Assembly	id=g:2411556
Hospital Steps	id=g:2411557
Cathedral of the Holy Trinity	id=g:2411558
The Holy Land	id=g:2411559
H.M.S. Rooke	id=g:2411560
Hayne’s Cave Battery	id=g:2411561
Hayne’s Cave	id=g:2411562
Halfway Battery	id=g:2411563
Gun Wharf	id=g:2411564
Guild’s Point	id=g:2411565
Green’s Lodge Battery	id=g:2411566
Great Europa Point	id=g:2411567
Grand Parade	id=g:2411568
Grand Casemates Square	id=g:2411569
Grand Casemates Gates	id=g:2411570
Grand Casemates	id=g:2411571
Governor’s Steps	id=g:2411572
Governor’s Parade	id=g:2411573
Governor’s Meadow Estate	id=g:2411574
Governor’s Look-out Battery	id=g:2411575
Governor’s Cottage Camp	id=g:2411576
Governor’s Beach	id=g:2411577
Government House Garden	id=g:2411578
Government House	id=g:2411579
Gorham’s Cave	id=g:2411580
Glacis Estate	id=g:2411581
Gibraltar Harbour	id=g:2411582
Rock of Gibraltar	id=g:2411583
Bay of Gibraltar	id=g:2411584
Gibraltar	id=g:2411585
Gibraltar	id=g:2411586
Genoese Battery	id=g:2411587
Frontier Gate	id=g:2411588
Flagstaff Steps	id=g:2411589
Europa Sports Ground	id=g:2411590
Europa Point	id=g:2411591
Europa Pass	id=g:2411592
Europa Flats	id=g:2411593
Europa Advance Battery	id=g:2411594
Engineer Battery	id=g:2411595
Elliots Memorial	id=g:2411596
Edinburgh House	id=g:2411597
Eastern Beach	id=g:2411598
Dudley Ward Tunnel	id=g:2411599
Douglas’s Cave	id=g:2411600
Dockyard South Gate	id=g:2411601
Dockyard North Gate	id=g:2411602
Devil’s Tower Camp	id=g:2411603
Devil’s Tongue Battery	id=g:2411604
Devil’s Gap Battery	id=g:2411605
Detached Mole	id=g:2411606
Defensible Barracks	id=g:2411607
Deadmans Beach	id=g:2411608
Cross of Sacrifice	id=g:2411609
Cornwall’s Parade	id=g:2411610
Cormorant Camber	id=g:2411611
Coaling Island	id=g:2411612
Clock Tower	id=g:2411613
City Council Pumping Station	id=g:2411614
Chilton Court	id=g:2411615
Charles V Wall	id=g:2411616
Central Hall	id=g:2411617
Cathedral Square	id=g:2411618
Catalan Bay	id=g:2411619
Catalan Bay	id=g:2411620
Camp Bay	id=g:2411621
Calpe Rowing Club	id=g:2411622
Caleta Palace Hotel	id=g:2411623
Caledonian Canal	id=g:2411624
Buffadero Battery Quarry	id=g:2411625
Buffadero Battery	id=g:2411626
Buena Vista Cottage	id=g:2411627
Buena Vista	id=g:2411628
Buena Vista	id=g:2411629
Bruce’s Farm	id=g:2411630
Bristol Hotel	id=g:2411631
Breakneck Battery	id=g:2411632
Both Worlds Chalets	id=g:2411633
Boat Camber	id=g:2411634
Bleak House	id=g:2411635
Bleak Beach	id=g:2411636
Bland’s Foundry	id=g:2411637
Blackstrap Cove	id=g:2411638
Blackstrap Bay	id=g:2411639
Bishop Fitzgerald’s School	id=g:2411640
Beavers Promenade	id=g:2411641
Bayside Marina	id=g:2411642
Auxiliary Camber	id=g:2411643
Arengo’s Palace	id=g:2411644
Apes Den	id=g:2411645
Alexandra Battery	id=g:2411646
Alameda Gardens	id=g:2411648
Ailsa Craig	id=g:2411649
Gibraltar	id=g:6301797
The O'Callaghan Eliott Hotel	id=g:6533305
The Caleta Hotel	id=g:6533327
Rock Hotel	id=g:6533331
O Callaghan Eliott	id=g:6533336
Moorish Castle	id=g:6693878
Great Siege Tunnels	id=g:6693879
Yder Bugt	id=g:2760156
Kap Wynn	id=g:2760157
Wollaston Forland	id=g:2760158
Wegener Øer	id=g:2760159
W. Bishop Sø	id=g:2760160
Wandel Hav	id=g:2760161
Vardenæs	id=g:2760162
Vågesund	id=g:2760163
Kap Uttental	id=g:2760164
Troldhaven	id=g:2760165
Troldehaven	id=g:2760166
Trip Trap Træsko	id=g:2760167
Kap Tramnitz	id=g:2760168
Trækpasset	id=g:2760169
Thomas Thomsen Næs	id=g:2760170
Terrassebjerg	id=g:2760171
Tellplatte	id=g:2760172
Tafelbjerg	id=g:2760173
Syttenkilometernæsset	id=g:2760174
Sydkap	id=g:2760175
Sydgavlen	id=g:2760176
Kap Sussi	id=g:2760177
Storøen	id=g:2760178
Stormnæs	id=g:2760179
Stormlandet	id=g:2760180
Stormelv	id=g:2760181
Stormdalen	id=g:2760182
Stormbugt	id=g:2760183
Store Koldewey	id=g:2760184
Storebælt	id=g:2760185
Stigbøjlen	id=g:2760186
Kap Steensby	id=g:2760187
Spærregletscher	id=g:2760188
Søspidsen	id=g:2760189
Sortebakker	id=g:2760190
Sophus Müller Næs	id=g:2760191
Sophie Holm	id=g:2760192
Sonnenkopf	id=g:2760193
Sonja Havn	id=g:2760194
Sommerterrassen	id=g:2760195
Sødre Muschelbjerg	id=g:2760196
Snenæs	id=g:2760197
Slædelandet	id=g:2760198
Skærfjorden	id=g:2760199
Shannon Sund	id=g:2760200
Shannon Ø	id=g:2760201
Sengstacke Bugt	id=g:2760202
Seebach Bjerg	id=g:2760203
Schnauder Ø	id=g:2760204
Kap Sankt Jacques	id=g:2760205
Saddelbjerg	id=g:2760206
Sabine Ø	id=g:2760207
Rosio	id=g:2760208
Roseneathbugt	id=g:2760209
Røseløbet	id=g:2760210
Romer Sø	id=g:2760211
Romer Sø	id=g:2760212
Kap Rink	id=g:2760213
Kap Ringkøbing	id=g:2760214
Renskæret	id=g:2760215
Rekvedøen	id=g:2760216
Kap Récamier	id=g:2760217
Kap Prins Knud	id=g:2760218
Prinsesse Margrethe Ø	id=g:2760219
Prinsesse Elisabeth Alper	id=g:2760220
Prinsesse Dagmar Ø	id=g:2760221
Prinsesse Dagmar Halvø	id=g:2760222
Prinsesse Caroline Mathilde Alper	id=g:2760223
Kap Povl	id=g:2760224
Kap Philippe	id=g:2760225
Kap Philip Broke	id=g:2760226
Kap Peschel	id=g:2760227
Penthièvre Fjord	id=g:2760228
Pendulumstrædet	id=g:2760229
Pendulum Øer	id=g:2760230
Passet	id=g:2760231
Påskenæsset	id=g:2760232
Parisøerne	id=g:2760233
Kap Pansch	id=g:2760234
Panorama Ø	id=g:2760235
Kap Oswald Heer	id=g:2760236
Østkap	id=g:2760237
Ornen Ø	id=g:2760238
Orléans Sund	id=g:2760239
Orienteringsøerne	id=g:2760240
Olrik Odden	id=g:2760241
Oktober Ø	id=g:2760242
Øksebladet	id=g:2760243
Norske Øer	id=g:2760244
Nordre Muschelbjerg	id=g:2760245
Nordostrundingen	id=g:2760246
Nordkap	id=g:2760247
Nordenskiöld Bugt	id=g:2760248
Nord	id=g:2760249
Nils Hansen Næs	id=g:2760250
Kap Neumayer	id=g:2760251
Negeren	id=g:2760252
Kap Nansen	id=g:2760253
Nålene	id=g:2760254
Nakkehoved	id=g:2760255
Murbjerg	id=g:2760256
Moskusoksefjeldene	id=g:2760257
Kap Montpensier	id=g:2760258
Kap Møbius	id=g:2760259
Miami Fjeld	id=g:2760260
Meyerstein Bjerg	id=g:2760261
Kap Mérite	id=g:2760262
Mellemfortet	id=g:2760263
Kap Maurer	id=g:2760264
Måtten Ø	id=g:2760265
Kap Marie Valdemar	id=g:2760266
Kap Marie Dijmphna	id=g:2760267
Mallemukgletscher	id=g:2760268
Mallemukfjeldet	id=g:2760269
Mågegletscher	id=g:2760270
Mågefjeldet	id=g:2760271
Lynn Ø	id=g:2760272
Kap Louise	id=g:2760273
Lille Pendulum	id=g:2760274
Lille Koldewey	id=g:2760275
Lauge Koch Vig	id=g:2760276
Lars Jakobsen Pynt	id=g:2760277
Langelv	id=g:2760278
Landingsdalen	id=g:2760279
Lægervallen	id=g:2760280
Kulhus	id=g:2760281
Kronebjerg	id=g:2760282
Kap Kofoed	id=g:2760283
Knøsen	id=g:2760284
Kilen	id=g:2760285
Keferstein	id=g:2760286
Kajkap	id=g:2760287
Kap Jungersen	id=g:2760288
J. P. Jacobsen Ø	id=g:2760289
Joinville Ø	id=g:2760290
Kap Isabelle	id=g:2760291
Ingolf Fjord	id=g:2760292
Hvalros Ø	id=g:2760293
Hulesøen	id=g:2760294
Hühnerbjerg	id=g:2760295
Hovgaard Ø	id=g:2760296
Holm Land	id=g:2760297
Hochstetterbugten	id=g:2760298
Kap H. N. Andersen	id=g:2760299
Herschell Bjerg	id=g:2760300
Henrik Krøyer Holme	id=g:2760301
Kap Helgoland	id=g:2760302
Hekla Sund	id=g:2760303
Haystack	id=g:2760304
Kap Hartlaub	id=g:2760305
