Jabal Maydān	id=g:395175
Mazāri‘ aş Şad‘	id=g:395314
Fayḑat Quşayfān	id=g:395315
Ḑulayyi‘ Satrah	id=g:395317
Jabal Samrā’ Ḑumaym	id=g:395318
Ḑulayyi‘ al Wir‘ān	id=g:395319
Mazāri‘ as Sāfirīyah	id=g:395320
Jabal al Ḩirishān	id=g:395321
Mazāri‘ Samḩān	id=g:395322
Jabal Umm Riss	id=g:395323
Mazāri‘ al ‘Ayyādīyah	id=g:395324
Mazāri‘ al Birāk	id=g:395326
Jabal Quhaybān	id=g:395327
Mazāri‘ al ‘Amirīyah	id=g:395328
Mazāri‘ Dākhilah	id=g:395329
Mazāri‘ Sahlah	id=g:395330
Mazra‘at Umm Kharazah	id=g:395331
Mazra‘at Umm Shīḩ	id=g:395332
Mazra‘at al Khuffīyah Umm Firs	id=g:395333
Qawnasat Abū Sāḩib	id=g:395334
Qūr Abā Ţarfā’	id=g:395335
Zibārat Umm Niqā	id=g:395336
Khashm Ju‘aydān	id=g:395337
Qūr al Qish‘ummah	id=g:395338
Zibārat al Kharshidīyah	id=g:395339
Mazāri‘ ar Ridmān	id=g:395340
Mazra‘at as Sāqiyah	id=g:395341
Qūr al Muraqqātayn	id=g:395342
Abū Rukab	id=g:395343
Zibārat al Batrā’	id=g:395344
Zibārat A‘firīyah	id=g:395345
Jibāl Ḩilaylītāt	id=g:395346
Jabal az̧ Z̧ahar	id=g:395347
Ābār as Silay‘	id=g:395348
Bi’r Lawdhah	id=g:395349
Abū Jilāl	id=g:395350
Zibārat as Silay‘	id=g:395351
Bi’r al Ḩawīyah	id=g:395352
Jabal Ayman Mishḩād	id=g:395353
‘Urayfijān	id=g:395354
Jibāl ‘Idwāt	id=g:395355
Jibāl al Khayl	id=g:395356
Ţi‘s al Luban	id=g:395357
Zibārat Jibalah	id=g:395358
Ḑil‘ān Mishḩād al Wa‘ir	id=g:395359
Mazāri‘ al Ḩumaydānī	id=g:395360
Zibārat al ‘Arfā’	id=g:395361
Sha‘īb at Turbīyah	id=g:395362
Mishāḩīd	id=g:395363
Sha‘īb Jaww	id=g:395364
Khabb Ḩidājah	id=g:395365
Ḑil‘ Ghurayyib	id=g:395366
Sha‘īb Mudayrīrāt	id=g:395367
Khabb al Jamal	id=g:395368
Ḑil‘ al ‘Ayr	id=g:395369
Sha‘īb Maqmaz al Faras	id=g:395370
Jibāl Mut‘ib	id=g:395371
Sha‘īb al Bāzim	id=g:395372
Nuqrat al Qawdā’	id=g:395373
Ḑil‘ Mishḩād Abū ‘Ibil	id=g:395374
Nufūd al Ḩawmah	id=g:395375
Ḩuzūm al Mukhtibī	id=g:395376
Ḩuzūm ‘Ithmur	id=g:395377
Ḑulay‘ ash Shuhaybā’	id=g:395378
Zibārat ar Radīfah	id=g:395379
An Nāşirīyah	id=g:395380
Sha‘īb al Mukhtibī	id=g:395381
Al Qaş‘ā’	id=g:395382
Sha‘īb Mishāḩīd	id=g:395383
Zibārat al Marqabīyah	id=g:395384
Sha‘īb Miqqā	id=g:395385
Khabb al Ḩinū	id=g:395387
Al Bīyyiḑah	id=g:395388
Jabal Jiḑālā	id=g:395389
Jaww Ḩimār	id=g:395390
Ḑil‘ān Mishāḩīd Abū Zirībah	id=g:395391
Jabal Li‘aybibah	id=g:395392
Ḩuzūm al Jithāmīyah	id=g:395393
Jibāl ad Dūdīyāt	id=g:395394
Qā‘ Gharbah	id=g:395395
Jabal al Ḩamrā’	id=g:395396
Bi’r Ubayrah	id=g:395397
Jabal Ḩamrā’ Ghannām	id=g:395398
Jabal ath Thimayd	id=g:395399
Jibāl ad Dārah	id=g:395400
Jabal al Maş‘ūkah	id=g:395401
Bi’r Wurayk	id=g:395402
Jabal al Khurayshā’	id=g:395403
Al Bid‘	id=g:395404
Badā’i‘ Naqbayn	id=g:395405
Ḑulay‘āt ar Ruwaysāt	id=g:395406
Sha‘īb al Busaytīn	id=g:395407
Zibārat al Malḩā’	id=g:395408
Abū Nakhlah	id=g:395409
Mudaysīs	id=g:395410
‘Ayn an Numayşah	id=g:395411
Zibārat ar Rummānah	id=g:395412
Jabal Umm Şūr	id=g:395413
Jabal Busrah	id=g:395414
Sha‘īb Abū Nakhlah	id=g:395415
Zibārat Abū Khushaym	id=g:395416
Jabal Hayfā’	id=g:395417
Zibārat Jabalah	id=g:395418
Zibārat al Ḩanātīsh	id=g:395419
Ḑulay‘āt ar Radhah	id=g:395420
Zibārat ad Dasmah	id=g:395422
Zibārat Sa‘īdah	id=g:395423
Nāziyat aţ Ţulū‘	id=g:395424
Zibārat Umm Suwayq	id=g:395425
Shukhūr	id=g:395426
‘Urayfjān Sāḩūq	id=g:395427
As Sulayyil	id=g:395428
‘Adāmat adh Dhi’b	id=g:395429
Bi’r Ghayyāḑ	id=g:395430
Al Fayḑah	id=g:395431
Al Bidayyi‘ah	id=g:395432
‘Ayn Khuwayshah	id=g:395433
‘Ayn Dhīwāb	id=g:395434
Bi’r Salāmān	id=g:395435
As Sufun	id=g:395436
As Surayḩah	id=g:395437
Jibāl al Lijāh	id=g:395438
Sha‘īb Naqbayn	id=g:395439
Mazra‘at al Wuţayb	id=g:395440
Jabal ad Dīmāsah	id=g:395441
Ad Dīmāsah	id=g:395442
Qā‘ ‘Urayfjān	id=g:395443
Jibāl Minshār	id=g:395444
‘Iqdah	id=g:395445
Wādī ‘Urayfjān	id=g:395446
Bi’r al ‘Alya’	id=g:395447
Aş Şubayḩīyah	id=g:395448
Sha‘īb ‘Uqaylat al Laban	id=g:395449
smiraa	id=g:395450
Sha‘īb Umm Irţá	id=g:395451
Sha‘īb ar Ribshānīyah	id=g:395452
Ābār Zubaydah	id=g:395453
‘Ayn al Jilūfī	id=g:395454
Qirinayn	id=g:395455
‘Ayn al Ufayḩij	id=g:395456
Ḩishshat ‘Akkāsh	id=g:395457
Bid‘ al Khuwayr	id=g:395458
Sha‘īb al Bidayyi‘ah	id=g:395459
Fayḑat al Khayl	id=g:395460
Ḑulay‘ al Ashqar	id=g:395461
Mazra‘at Khaḑrā’	id=g:395462
Al Hamjah	id=g:395463
Ḑil‘ al Khurayshā’	id=g:395464
Mazra‘at al Muţāwī	id=g:395465
Sha‘īb aţ Ţurfīyah	id=g:395466
Al Mihaynīyah	id=g:395467
Mazra‘at al Mulayḩān	id=g:395468
Fayḑat Umm Khurūj	id=g:395469
Mishāsh aţ Ţurfīyah	id=g:395470
Fiyāḑ al Khirr	id=g:395471
Sha‘īb al Makhrūqah	id=g:395472
Mazra‘at Umm Barj	id=g:395473
Bi’r al Khuzaymīyah	id=g:395474
Mazra‘at Şabḩā’	id=g:395475
Khuraysān	id=g:395477
As Sakrān	id=g:395478
Aţ Ţurfīyah al Gharbīyah	id=g:395479
Jifin	id=g:395480
Muţribah	id=g:395482
Mazāri‘ Mukhaḑḑabāt	id=g:395483
Al Quway‘īyah	id=g:395484
‘Irq Juhayyim	id=g:395485
Jadhmā’ Maḩraqah	id=g:395486
‘Urayq al Mughanā	id=g:395487
Al Jandalīyah	id=g:395488
Bi’r Shaghāh	id=g:395489
Bi’r al Jishsh	id=g:395490
Aş Şulay‘ā’	id=g:395491
Fayḑat ar Rughlīyah	id=g:395492
‘Ayn aş Şārah	id=g:395493
Az̧ Z̧ahr	id=g:395494
‘Ayn ad Dabbīyah	id=g:395495
Mazra‘at Umm Sārūt	id=g:395496
Kabd Maythān	id=g:395497
Tuwārin	id=g:395498
Sha‘īb al Hamzānīyah	id=g:395499
Jabal Ḩilwān	id=g:395500
‘Ayn Shaţţī	id=g:395501
Nāz̧irat al Mukaymin	id=g:395502
Samrā’ Bashshār	id=g:395503
Zibārat Umm ‘Ishar	id=g:395504
Mazra‘at al Khawwah	id=g:395505
Nāz̧irat Umm ‘Arīsh	id=g:395506
Ḑulay‘āt ar Ruway‘āt	id=g:395507
Zibārat Ḩazmā	id=g:395508
Zibārat Umm Silimah	id=g:395509
Ḑil‘ Jayb Ghurāb	id=g:395510
Al Ghurābah	id=g:395511
‘Irq Nuwāz̧ir	id=g:395512
Jabal aţ Ţal‘ah	id=g:395513
Zibārat al Mikhtalţah	id=g:395514
‘Irq Ghashshām	id=g:395515
‘Adāmat al Jamal	id=g:395516
Sumayrā’ Ruway‘ al Ḩājj	id=g:395517
‘Adāmat al Burayşā’	id=g:395518
‘Adāmat Ḩawwā’	id=g:395519
‘Iblat Şufayyah	id=g:395520
Jibāl aş Şallah	id=g:395521
Mishāsh Muwayzir	id=g:395522
‘Adāmat Gharrā’	id=g:395523
‘Adāmat Ḩizwah	id=g:395524
Mishāsh Rukayyān	id=g:395525
Mishāsh al Khuwaysh al Janūbī	id=g:395526
Rufā’i‘ al Ḩajrah	id=g:395527
Ar Ruknah	id=g:395528
Khawr al Qilīb	id=g:395529
Sabkhat Mulayḩ	id=g:395530
Ghamrah	id=g:395531
Sha‘īb al Khuwaysh al Janūbī	id=g:395532
Ḑulay‘ aḑ Ḑarābīl	id=g:395533
Qulbān ash Shuraymīyah	id=g:395534
Shahbā’ Umm Laşşāf	id=g:395535
Khawr ar Rijūm	id=g:395536
Sha‘īb Māzūnah	id=g:395537
Sha‘īb Abū Salam	id=g:395538
Al Kasir	id=g:395539
Ḩazm ar Raḑum	id=g:395541
Bi’r ‘Afrā’ Ḑumaynah	id=g:395542
Fayḑat Bilādah	id=g:395543
Ābār as Sūqīyah	id=g:395545
Jabal al Muḑaybī‘ah	id=g:395546
Sabkhat al Mishāsh	id=g:395547
Samrā’ al Jardhāwīyah	id=g:395548
Abraq Abū Rijm	id=g:395549
Qārat ar Ruwaykibah	id=g:395550
Jabal Mirqid	id=g:395551
Abraq al Ma‘āwīd	id=g:395552
Sha‘īb ash Shuraymīyah	id=g:395553
Abraq adh Dhi’ābah	id=g:395555
Jibāl Shuqrān an Nāşifah	id=g:395556
Khabb Abū Shīdah	id=g:395557
Sha‘īb al Khuwaysh ash Shamālī	id=g:395558
Farsh Abū Qārah	id=g:395559
Qārat Ruwayyah	id=g:395560
Fayḑat al ‘Ubayd	id=g:395561
Fayḑat ash Shi‘b	id=g:395562
Ash Shi‘b	id=g:395563
Ḑil‘ al ‘Ubayd	id=g:395564
Kiḩlah	id=g:395565
Jibāl Kiḩlah	id=g:395566
Ābār Mu‘ayfīn	id=g:395568
Fayḑat Umm Hashīm	id=g:395569
‘Idd al Bi‘īthah	id=g:395570
Qā‘ Abū ‘Awshazah	id=g:395571
Khabrā’ al Jardhāwīyah	id=g:395572
Jibāl al Ḩannāwīyah	id=g:395573
Niqrat al Mu‘aqqar	id=g:395574
Jabal Umm ar Rifāf	id=g:395575
Bi’r al Ḩabbālī	id=g:395576
Nufūd Abān	id=g:395577
Ha’il - Al Humaymah Water Pipeline	id=g:395578
Niqrat al Ghirayrā’	id=g:395579
Sha‘fat al Khullah	id=g:395580
Al Khullah	id=g:395581
Jabal Khall aţ Ţayr	id=g:395582
Qā‘ Shahwān	id=g:395583
Ābār Zubrah	id=g:395584
Khabb Abū Sandá	id=g:395585
Ābār Umm Ruḑumah	id=g:395586
Ḩuzūm Shahwān	id=g:395587
Khabb al Fitānīyah	id=g:395588
Sha‘īb Mu‘ayfīn	id=g:395589
Al Mushayţīyah	id=g:395590
Qā‘ al Furaysīyah	id=g:395591
Zibārat al Quraynah	id=g:395592
Zibārat Jibalah	id=g:395593
Abraq Qinā’ al Janūbī	id=g:395594
Jibāl as Sumur	id=g:395595
Qalīb ‘Assāfah	id=g:395596
Sha‘īb Tuwārin	id=g:395597
Zibārat aţ Ţawīlah	id=g:395598
Jibāl ar Ridayhah	id=g:395599
Jabal Umm Şafīḩ	id=g:395600
Mazra‘at ash Shiqāmīyah	id=g:395601
Jibāl az Zamil	id=g:395604
Al Wusaytā’	id=g:395605
Bi’r Milḩah	id=g:395606
Sha‘īb Umm Şafīḩ	id=g:395607
Falq al ‘Umaym	id=g:395608
Nāziyat Umm Laḩam	id=g:395609
Jabal Umm Şufā	id=g:395610
Nāziyat al Ḩuwayy	id=g:395611
Ḑulay‘āt Dirmah	id=g:395612
Ţi‘s ath Thawr	id=g:395614
Ţi‘s Birzān	id=g:395615
Furūsh ash Shuhb	id=g:395616
Sha‘īb Abū Rimth	id=g:395618
Sha‘īb al ‘Amūdah	id=g:395619
Sha‘īb Umm Shuwayḩāt	id=g:395620
Ābār Z̧ufayrah	id=g:395621
Muz̧ayfīr	id=g:395622
Al ‘Amūdah	id=g:395623
Burq al Makhrūqah	id=g:395624
Ābār Mukhayrīq	id=g:395625
Mihayyiḑah	id=g:395627
Abū Ţalḩ	id=g:395628
Jabal al Qinaynah	id=g:395629
Jabal Umm Ruqubah	id=g:395630
Jabal al Midayrī	id=g:395631
Jabal Dihamā’	id=g:395632
Jabal Umm aḑ Ḑibā‘	id=g:395633
Ābār Murrān	id=g:395634
Jabal Qirāwinah	id=g:395635
Jibāl al Jiḩfah	id=g:395636
Jabal al Bayḑā’	id=g:395637
Ad Duwayrah	id=g:395638
Jabal al Mishārikah	id=g:395639
Sha‘īb aş Şafrā’	id=g:395640
An Nā‘imah	id=g:395641
Az̧ Z̧āhirīyah	id=g:395642
Jabal ‘Amūdān	id=g:395643
Ḑulay‘ al ‘Ubayd	id=g:395644
Jibāl ash Shiqrān	id=g:395645
Ḩazm ash Shaykh	id=g:395646
Fayḑat ar Ruwayḑah	id=g:395647
Bi’r Ḑubay‘ah	id=g:395648
Khaḑrā’	id=g:395649
Ḑulayyi‘ al Jarrārīyah	id=g:395650
Ridayhat al Ḩinaynīyah	id=g:395651
Al Ḩinaynīyah	id=g:395652
Niqrat at Tilayl	id=g:395654
Burqān al Ajfar	id=g:395655
Jibāl ar Rawḑ	id=g:395656
Nāziyat al Kharūfah	id=g:395658
Bi’r Shubaykān	id=g:395659
Bi’r ash Shubaykah	id=g:395660
Bi’r Rughayghūh	id=g:395661
Kamb aḑ Ḑulū‘	id=g:395662
Nāziyat al Mu‘ayzīlah	id=g:395663
Jāl al Ajfar ash Sharqī	id=g:395664
Zubārat al Mistannah	id=g:395665
Bi’r Murayghān	id=g:395666
Nuwāzī al ‘Aqārib	id=g:395667
Aḑ Ḑulū‘ al Qiblīyāt	id=g:395668
An Na‘āyim	id=g:395669
Nāziyat Sab‘ al ‘Uwadh	id=g:395670
Nāziyat Umm Zuqāl	id=g:395671
Sha‘īb al Bisaytīn	id=g:395672
Mazāri‘ al Jarbā’	id=g:395673
As Si‘ayyirah	id=g:395674
Fiyāḑ al Jikhī	id=g:395675
Qārat al Qirḑā’	id=g:395676
Qūr ad Dughum	id=g:395677
‘Ayn az̧ Z̧urayfah	id=g:395678
Qārat ar Rādifah	id=g:395679
Jibāl Jadīd	id=g:395680
Qārat ar Ruwaydifah	id=g:395681
Jabal al Anşad	id=g:395682
Ḑulū‘ al Ma‘ā	id=g:395683
Jāl al Mākar	id=g:395684
Sha‘īb Nāylāt	id=g:395685
Bi’r al Musharrah	id=g:395686
Burqān al Gharāmīl	id=g:395687
Al Ghuwayţah	id=g:395689
Sha‘īb Mibhil	id=g:395691
Jabal al ‘Ubayd	id=g:395692
Jabal an Nāyi‘	id=g:395693
Jabal an Nuwayyi‘	id=g:395694
Sha‘īb Fayyāḑah	id=g:395695
Fatakhā	id=g:395697
Sha‘īb Umm ‘Isharah	id=g:395698
Rijlat Muz̧ayfīr	id=g:395699
Jabal al Munbaţiḩ	id=g:395700
Jibāl Muz̧ayfīr	id=g:395702
Jabal ash Shāyib	id=g:395703
Ţu‘ūs Abraqīyah	id=g:395704
Abū Quwayrah	id=g:395705
Qi‘r Abū Shīdah	id=g:395706
Ţi‘s Munīfah	id=g:395707
Al Ḩaţī	id=g:395708
Sha‘īb Abū Rimthah	id=g:395709
Sha‘īb an Nuwayyi‘	id=g:395710
Jabal al Munbaţiḩah	id=g:395711
Qūr al Muzayrīrah	id=g:395712
Mazāri‘ al Bāţin	id=g:395714
Qā‘ al Muzayrīrah	id=g:395715
Sha‘īb Mibārī	id=g:395717
Ḩuzūm aş Şūwāl	id=g:395718
Al Hamjah	id=g:395719
Sha‘īb Mudaysīs	id=g:395720
Sāhibat al ‘Imayyid	id=g:395721
Jibāl ar Rubūḑ	id=g:395722
Jibāl Umm Rad/hah	id=g:395723
Al Banāyā	id=g:395727
Nufayyid Amirah	id=g:395728
Jabal Umm Sinūn	id=g:395729
Sha‘īb Umm Sinūn	id=g:395730
Jibāl U‘aymidah	id=g:395731
Jabal Umm Şuqūr	id=g:395732
Quşayrīyāt	id=g:395733
‘Irq Karīm	id=g:395734
Jibāl ad Dir‘	id=g:395735
Jibāl Amirah	id=g:395736
Jabal Fardah	id=g:395739
Al Khurayshā’	id=g:395740
Jāl Fayḑat al Jamal	id=g:395741
Ad Diḩalah	id=g:395742
Jāl Rijm an Nişāfī	id=g:395743
Ash‘al Umm Ruqaybah	id=g:395744
Jāl al Ajfar al Gharbī	id=g:395745
Jabal Umm Ruqaybah	id=g:395746
Huḑaybat al Buwayt	id=g:395747
Mazāri‘ Ḩilaysah	id=g:395748
Mazāri‘ Samḩah	id=g:395749
Sha‘īb ad Diḩalah	id=g:395750
Sāhibat al Ash‘al	id=g:395751
Sha‘īb Abā al Qidd	id=g:395752
Sha‘īb ad Dārah	id=g:395753
Sha‘īb Muţribah	id=g:395754
Sha‘īb al Maşna‘	id=g:395755
Jabal Ţimīyah	id=g:395756
Bi’r al Budūn	id=g:395757
Jabal al ‘Ukayfā’	id=g:395758
Qulayyib an Nawmānīyah	id=g:395759
Ḑulay‘ al Idayri‘	id=g:395760
Dawbaḩ	id=g:395761
Al Mishāsh	id=g:395762
Jabal al Muşayqir	id=g:395763
Jāl aţ Ţūq	id=g:395764
Ţawīl al Murayrā	id=g:395765
Rijm Hadbān	id=g:395766
Ḑulay‘ al Qulayb	id=g:395767
‘Urayq al Ubaytir aş Şughayyir	id=g:395768
Sināf Abū Nubţah	id=g:395770
Sha‘īb Ţimīyah	id=g:395771
‘Uqaylat al Laban	id=g:395772
Sha‘īb al Budūn	id=g:395773
Jabal al ‘Arfā’	id=g:395774
Jibāl aş Şahābīn	id=g:395775
Sha‘īb Umm Sha‘rā’	id=g:395776
Jibāl Timirīyāt	id=g:395777
Wādī ar Rijal	id=g:395778
Jabal al Muthalbat	id=g:395779
Jāl al Haylā’	id=g:395780
Jibāl ad Dughum	id=g:395781
Sha‘īb Abū Salam	id=g:395782
Fayḑat ash Shifallaḩīyah	id=g:395783
Jibāl ash Shuz̧ayfāt	id=g:395784
Wādī Dawbaḩ	id=g:395785
Jabal ar Rudayhah	id=g:395786
Fayḑat Dhuwaybān	id=g:395787
Sha‘īb al Ja‘arā’	id=g:395788
Fayḑat adh Dhībīyah	id=g:395789
Jabal al Kharshā’	id=g:395790
Rufā’i‘ Muţribah	id=g:395791
Ruḑḑām Muţribah	id=g:395792
Sha‘īb Salfā’ as Suwayd	id=g:395793
Jidhībat an Nawmānīyah	id=g:395794
Wādī al Muhadā’	id=g:395795
Rawḑat al ‘Abd	id=g:395796
Jabal al Kharshā’	id=g:395797
Jabal ‘Īdah	id=g:395798
Jāl Rijm al Janab	id=g:395799
Ḑulay‘āt ad Dughamā	id=g:395800
Sha‘īb Na‘jah	id=g:395801
Qārat al Milaydā’	id=g:395802
Ābār al ‘Abd	id=g:395803
Jabal Abū Ţāqīyah	id=g:395804
Wādī Budayn	id=g:395805
Sha‘īb Murrān	id=g:395806
Jibāl al Ghiraybāt	id=g:395807
Jabal al ‘Abd	id=g:395808
‘Ayn Ḑulay‘ah	id=g:395809
Ḑulay‘ ’Ayyāsh	id=g:395810
Jibāl Budayn	id=g:395811
Bi’r al Kawr	id=g:395812
Bi’r Budaynah	id=g:395813
Jāl al ‘Arīḑ	id=g:395814
Qā‘ al Hilālī	id=g:395815
Jibāl Jaragh	id=g:395816
Al Maylīḩ	id=g:395817
Jabal al Qirinayn	id=g:395818
Ḑulay‘āt Mawqaq	id=g:395819
Jabal Bidan	id=g:395820
Jabal Ḩalāt ‘Uwayyid	id=g:395821
Sha‘īb al Haḑb	id=g:395822
Burqān al Ghiḑayyāt	id=g:395823
Ibḑah	id=g:395824
Jabal Huţālá	id=g:395825
Qī‘ān aḑ Ḑubayb	id=g:395826
Al Ifayhid	id=g:395827
Al Khaymah	id=g:395828
Sha‘īb adh Dhir‘ān	id=g:395829
Jibāl Quwāyim	id=g:395830
Jabal Ḩalāt aḑ Ḑulla‘	id=g:395831
Sha‘īb al Khuşayyayn	id=g:395832
Jabal Ḩalāt ‘Uţaynah	id=g:395833
Wādī al Ifayhid	id=g:395834
Mazāri‘ Qārat al Lubbādah	id=g:395835
Sha‘īb al Jumayd	id=g:395836
Sha‘īb Ibḑah	id=g:395837
Al Wuţāh	id=g:395838
Bi’r ‘Īdah	id=g:395839
Mamlaḩat al Lughfīyah	id=g:395840
Jabal al Minshiriḩ	id=g:395841
Sha‘īb al Minshiriḩ	id=g:395842
Jibāl Umm Raqabah	id=g:395843
Ḑil‘ān Bawş	id=g:395844
Sha‘īb Bayḑ	id=g:395845
Abū Juşayşah	id=g:395846
Fayyāḑah	id=g:395847
Mazra‘at Abū Jişş	id=g:395848
Ar Rawḑah	id=g:395849
Bi’r al Hamjah	id=g:395850
Sha‘īb ar Raḑfayn	id=g:395851
Al Ghaḑyā’	id=g:395852
Bi’r al Jar‘āwī	id=g:395853
Abraq ar Rawḑah	id=g:395854
Al Buţīn	id=g:395855
Sha‘īb Şufayyān	id=g:395856
Bi’r ad Dulaymīyah	id=g:395857
Ābār al Qi‘rīyah	id=g:395858
Al Khuţaym	id=g:395859
Burqān al Khuţaym	id=g:395860
Nufūd al Khuţaym	id=g:395861
Jabal as Sumayrā’	id=g:395862
Al Ukhayḑirāt	id=g:395863
Jibāl al Qunaynah	id=g:395864
‘Aţā	id=g:395865
Rufā’i‘ ‘Aţā	id=g:395866
Jibāl ad Dawāsir	id=g:395868
Mazāri‘ Umm Arţá	id=g:395869
Huḑaybat al Laban	id=g:395870
