Ostanovochnyy Punkt Roshchitsa	id=g:501292
Romanovka	id=g:501477
Romanovka	id=g:501478
Romanovka	id=g:501479
Romanovichi	id=g:501480
Romanova Gora	id=g:501481
Zaliv Romanova	id=g:501482
Romanova	id=g:501483
Romanovo	id=g:501484
Romanovo	id=g:501485
Romanova	id=g:501486
Romanovo	id=g:501487
Romanova	id=g:501488
Kamen’ Romanov	id=g:501489
Romanov	id=g:501490
Romanov	id=g:501491
Romanov	id=g:501492
Romanov	id=g:501493
Roman’kovo	id=g:501494
Romankovo	id=g:501495
Romanka	id=g:501496
Romanikha	id=g:501497
Romanikha	id=g:501498
Romanenkov	id=g:501499
Romanenko	id=g:501500
Romanenko	id=g:501501
Romanenko	id=g:501502
Romanenki	id=g:501503
Romakhovo	id=g:501504
Romakhov	id=g:501505
Romakhino	id=g:501506
Ozero Rokzh-Ozero	id=g:501507
Rokunovo	id=g:501508
Rokkel’	id=g:501509
Roksomskoye Ozero	id=g:501510
Ostanovochnyy Punkt Roksha	id=g:501512
Roksha	id=g:501513
Roksa	id=g:501514
Ozero Rokovo	id=g:501515
Rokotushka	id=g:501516
Rokotovo	id=g:501517
Rokotovka	id=g:501518
Rokot	id=g:501519
Rokol’skoye	id=g:501520
Rokochino	id=g:501521
Rokkalan-Yoki	id=g:501522
Rokitino	id=g:501523
Rokhnovskaya	id=g:501524
Gora Rokhmoyva	id=g:501525
Rokhmanovo	id=g:501526
Rokhmala	id=g:501527
Rokhma	id=g:501528
Rokhino	id=g:501529
Ozero Rokezino	id=g:501530
Rokachino	id=g:501531
Mys Rok	id=g:501532
Roivenka	id=g:501533
Roi	id=g:501534
Rogvino	id=g:501535
Roguyevo	id=g:501536
Rogulovo	id=g:501537
Rogulovo	id=g:501538
Ozero Rogr-Yarvi	id=g:501539
Ragozy	id=g:501540
Rogoztsy	id=g:501541
Rogozovo	id=g:501542
Rogozna	id=g:501543
Rogoznaya	id=g:501544
Rogozna	id=g:501545
Rogozki	id=g:501546
Stantsiya Rogozinskaya	id=g:501547
Stantsiya Rogozino	id=g:501548
Rogozino	id=g:501549
Rogozino	id=g:501550
Rogozino	id=g:501551
Rogozinka	id=g:501552
Rogozinino	id=g:501553
Rogozino	id=g:501554
Urochishche Rogozino	id=g:501555
Rogozikha	id=g:501556
Rogozhino	id=g:501557
Rogozhniki	id=g:501558
Rogozhkino	id=g:501559
Rogozhka	id=g:501560
Rogozhka	id=g:501561
Rogozhka	id=g:501562
Rogozhka	id=g:501563
Rogozhinskiye	id=g:501564
Stantsiya Rogozhino	id=g:501565
Rogozhino	id=g:501566
Rogozhinkova	id=g:501567
Rogozhin	id=g:501568
Rogozero	id=g:501569
Rogozero	id=g:501570
Ozero Rogozero	id=g:501571
Ozero Rogozero	id=g:501572
Rogozero	id=g:501573
Rog-Ozero	id=g:501574
Ostrova Rogovyye Ludy	id=g:501575
Stantsiya Rogovskaya	id=g:501576
Rogovskaya	id=g:501577
Rogovskaya	id=g:501578
Rogovskaya	id=g:501579
Stantsiya Rogovoye	id=g:501580
Rogovoye	id=g:501581
Rogovoye	id=g:501582
Rogovoye	id=g:501583
Mys Rogovoy	id=g:501584
Rogovoy	id=g:501585
Rogovoy	id=g:501586
Rogovo	id=g:501587
Rogovo	id=g:501588
Rogovo	id=g:501589
Rogovo	id=g:501590
Rogovo	id=g:501591
Rogovo	id=g:501592
Rogovo	id=g:501593
Rogovo	id=g:501594
Rogovo	id=g:501595
Rogovo	id=g:501596
Rogovo	id=g:501597
Rogovo	id=g:501598
Rogovo	id=g:501599
Rogovo	id=g:501600
Rogovo	id=g:501601
Rogovo	id=g:501602
Rogovka	id=g:501603
Rogovka	id=g:501604
Rogovka	id=g:501605
Rogovitsy	id=g:501606
Rogovinka	id=g:501607
Rogovinka	id=g:501608
Prud Rogovik	id=g:501609
Rogovichi	id=g:501610
Rogovichi	id=g:501611
Rogovets	id=g:501612
Ozero Rogovaya-Lambina	id=g:501613
Rogovoye	id=g:501614
Rogovaya	id=g:501615
Rogovatoye	id=g:501616
Rogov	id=g:501617
Rogostroy	id=g:501618
Rogoshino	id=g:501619
Rogosary	id=g:501620
Rogopivets	id=g:501621
Rogokoski	id=g:501622
Rogochëvskiy	id=g:501623
Rognedinskiy Rayon	id=g:501624
Rognedino	id=g:501625
Rogmun	id=g:501626
Rog-Kolodez’	id=g:501627
Rog-Izmaylovskiy	id=g:501628
Ostrov Roginskogo	id=g:501629
Rogi	id=g:501630
Rogi	id=g:501631
Rogi	id=g:501632
Rogaylovo	id=g:501633
Stantsiya Rogavka	id=g:501634
Rogatyy Prud	id=g:501635
Mys Rogatyy	id=g:501636
Mys Rogatyy	id=g:501637
Rogatyy	id=g:501638
Rogatovo	id=g:501639
Rogatovo	id=g:501640
Rogatkino	id=g:501641
Rogatkino	id=g:501642
Zaliv Rogatka	id=g:501643
Rogatka	id=g:501644
Rogatino	id=g:501645
Rogatino	id=g:501646
Rogatik	id=g:501647
Stantsiya Rogataya Balka	id=g:501648
Rogali	id=g:501649
Rogali	id=g:501650
Rogalëvo	id=g:501651
Rogachinsk	id=g:501652
Rogachikha	id=g:501653
Rogachikha	id=g:501654
Rogachi	id=g:501655
Rogachi	id=g:501656
Rogachi	id=g:501657
Rogachi	id=g:501658
Ostanovochnyy Punkt Rogachevskiy	id=g:501659
Rogachëvo	id=g:501660
Rogachëvo	id=g:501661
Rogachëvo	id=g:501662
Rogachëvo	id=g:501663
Rogachëvo	id=g:501664
Rogachëvo	id=g:501665
Rogachëvo	id=g:501666
Rogachëvo	id=g:501667
Rogachëvo	id=g:501668
Rogachëvo	id=g:501669
Rogachëvo	id=g:501670
Rogachëvka	id=g:501671
Rogachëvka	id=g:501672
Rogachëvka	id=g:501673
Rogachëvka	id=g:501674
Rogachevka	id=g:501675
Zaliv Rogachëva	id=g:501676
Rogachëva	id=g:501677
Poluostrov Rogachëva	id=g:501678
Rogachëv	id=g:501679
Rogachëv	id=g:501680
Rogach	id=g:501681
Ozero Roga	id=g:501682
Roga	id=g:501683
Rog	id=g:501684
Rog	id=g:501685
Rozhok	id=g:501686
Rog	id=g:501687
Rog	id=g:501688
Rog	id=g:501689
Rog	id=g:501690
Rog	id=g:501691
Rog	id=g:501692
Rog	id=g:501693
Rodyukino	id=g:501694
Rodygino	id=g:501695
Rodygi	id=g:501696
Stantsiya Rodyakovo	id=g:501697
Rody	id=g:501698
Proliv Rodsa	id=g:501699
Rodovoye	id=g:501700
Ozero Rodometskoye	id=g:501701
Rodomanovo	id=g:501702
Rodomanovo	id=g:501703
Rodoma	id=g:501704
Rodnya	id=g:501705
Rodnoy	id=g:501706
Rodnikovyy	id=g:501707
Rodnikovskoye	id=g:501708
Rodnikovskiy Rayon	id=g:501709
Rodnikovskiy	id=g:501710
Rodnikovskiy	id=g:501711
Rodnikovskiy	id=g:501712
Rodnikovskiy	id=g:501713
Rodnikovskiy	id=g:501714
Rodnikovskiy	id=g:501715
Rodnikovskaya	id=g:501716
Rodnikovo	id=g:501717
Rodnikovka	id=g:501718
Rodnikovka	id=g:501719
Urochishche Rodnikovka	id=g:501720
Rodnikovaya	id=g:501721
Rodniki	id=g:501722
Rodniki	id=g:501723
Rodniki	id=g:501724
Rodniki	id=g:501725
Rodniki	id=g:501726
Rodniki	id=g:501727
Rodniki	id=g:501728
Rodniki	id=g:501729
Rodniki	id=g:501730
Rodniki	id=g:501731
Rodniki	id=g:501732
Rodniki	id=g:501733
Rodniki	id=g:501734
Rodniki	id=g:501735
Rodniki	id=g:501736
Rodniki	id=g:501737
Rodniki	id=g:501738
Rodniki	id=g:501739
Rodniki	id=g:501740
Rodniki	id=g:501741
Rodniki	id=g:501742
Rodniki	id=g:501743
Rodniki	id=g:501744
Rodniki	id=g:501745
Rodniki	id=g:501746
Rodniki	id=g:501747
Razvaliny Rodniki	id=g:501748
Rodniki	id=g:501749
Rodnik	id=g:501750
Rodnichok	id=g:501751
Rodnichok	id=g:501752
Rodnichnyy Dol	id=g:501753
Rodnichnoye	id=g:501754
Stantsiya Rodnichki	id=g:501755
Rodnichki	id=g:501756
Rodnichki	id=g:501757
Rodnevo	id=g:501758
Rodnaya	id=g:501759
Rodmëvo	id=g:501760
Rod’kovo	id=g:501761
Rot’kovka	id=g:501762
Rod’kovka	id=g:501763
Roditel’skoye	id=g:501764
Roditelevshchina	id=g:501765
Rodishkino	id=g:501766
Rodiontsovo	id=g:501767
Novo-Khanino	id=g:501768
Rodionovskiy	id=g:501769
Rodionovskiy	id=g:501770
Rodionovskaya Pervaya	id=g:501771
Rodionovskaya	id=g:501772
Rodionovo-Nesvetayskiy Rayon	id=g:501773
Rodionovo-Nesvetayskaya	id=g:501774
Rodionovo-Nesvetaiskoye	id=g:501775
Rodionovo	id=g:501776
Rodionovo	id=g:501777
Rodionovo	id=g:501778
Radionovo	id=g:501779
Rodionov	id=g:501780
Rodionovo	id=g:501781
Rodionovo	id=g:501782
Rodionovo	id=g:501783
Rodionovo	id=g:501784
Rodionovo	id=g:501785
Rodionovo	id=g:501786
Rodionovka	id=g:501787
Rodionovka	id=g:501788
Rodionovka	id=g:501789
Rodionovka	id=g:501790
Rodionovka	id=g:501791
Rodionovka	id=g:501792
Rodionovka	id=g:501793
Rodionovka	id=g:501794
Radionovka	id=g:501795
Rodionovka	id=g:501796
Rodionovka	id=g:501797
Rodionov	id=g:501798
Rodionov	id=g:501799
Rodionov	id=g:501800
Rodionov	id=g:501801
Urochishche Rodionkovo	id=g:501802
Rodionkovo	id=g:501803
Rodionka	id=g:501804
Rodintsy	id=g:501805
Rodinskoye	id=g:501806
Rodinskiy	id=g:501807
Rodinskiy	id=g:501808
Rodinselka	id=g:501809
Rodino	id=g:501810
Rodino	id=g:501811
Rodino	id=g:501812
Rodino	id=g:501813
Rodino	id=g:501814
Rodinka	id=g:501815
Rodinka	id=g:501816
Rodina Geroya	id=g:501817
Sovkhoz Rodina	id=g:501818
Kolkhoz Rodina	id=g:501819
Rodina Kolkhoz	id=g:501820
Rodina Kolkhoz	id=g:501821
Kolkhoz Rodina	id=g:501822
Kolkhoz Rodina	id=g:501823
Kolkhoz Rodina	id=g:501824
Kolkhoz Rodina	id=g:501825
Kolkhoz Rodina	id=g:501826
Kolkhoz Rodina	id=g:501827
Kolkhoz Rodina	id=g:501828
Kolkhoz Rodina	id=g:501829
Kolkhoz Rodina	id=g:501830
Kolkhoz Rodina	id=g:501831
Kolkhoz Rodina	id=g:501832
Kolkhoz Rodina	id=g:501833
Rodina	id=g:501834
Rodina	id=g:501835
Rodina	id=g:501836
Rodina	id=g:501837
Rodin	id=g:501838
Rodilovo	id=g:501839
Rodygino	id=g:501840
Rodichevo	id=g:501841
Rochuga	id=g:501842
Rochuga	id=g:501843
Ozero Rochin-Lakshi	id=g:501844
Rochevo	id=g:501845
Rochevo	id=g:501846
Rochegda	id=g:501847
Rachabulda	id=g:501848
Rob’ye	id=g:501849
Ostrova Rob’yaki	id=g:501850
Rob’ya	id=g:501851
Yazvishchenskaya Rob’ya	id=g:501852
Robskoye	id=g:501853
Robogol	id=g:501854
Robeyka	id=g:501855
Robeyka	id=g:501856
Ostrov Robertsona	id=g:501857
Proliv Roberta Pila	id=g:501858
Raz”yezd Robchik	id=g:501859
Robchik	id=g:501860
Robachëvo	id=g:501861
Rizovatovo	id=g:501862
Rizhskoye Boloto	id=g:501863
Vokzal Rizhskiy	id=g:501864
Rizhna	id=g:501865
Rizh-Guba	id=g:501866
Rizadeyevo	id=g:501867
Riykola	id=g:501868
Riyka	id=g:501869
Ostrov Riyekkalan-Sari	id=g:501870
Riyekkala	id=g:501871
Rivitsa	id=g:501872
Rivitsa	id=g:501873
Mys Rivi-Niyemi	id=g:501874
Ozero Riva-Yarvi	id=g:501875
Riuttavara	id=g:501877
Stantsiya Ritupe	id=g:501878
Ritlyab	id=g:501879
Ozero Ritalakshi	id=g:501880
Ritalakshi	id=g:501881
Ristukhinskaya	id=g:501882
Ristsatama	id=g:501883
Ristolovo	id=g:501884
Ristlakhti	id=g:501885
Ristisalmen-Mayatalo	id=g:501886
Mys Krestovyy	id=g:501887
Mys Ristiniyemi	id=g:501888
Risti-Lakshi	id=g:501889
Ristikent	id=g:501891
Ristautio	id=g:501892
Gora Ristanvara	id=g:501893
Mys Ris Navolok	id=g:501894
Riskovyy	id=g:501895
Rishkovka	id=g:501896
Risavy	id=g:501897
Ozero Ripus	id=g:501898
Repnyakovskaya	id=g:501899
Ripalovo	id=g:501900
Ostrov Rion-Sari	id=g:501901
Rintelya	id=g:501902
Rintala	id=g:501903
Rinovka	id=g:501904
Rind-Ozero	id=g:501905
Rinda	id=g:501906
Rimsko-Korsakovka	id=g:501907
Rimreka	id=g:501908
Rim Gorskiy	id=g:501909
Rimashty	id=g:501910
Gora Rim-Gora	id=g:501911
Rim	id=g:501912
Rikvani	id=g:501913
Rikshino	id=g:501914
Rekunovka	id=g:501915
Rikki-Oya	id=g:501916
Mys Rikhtkhofena	id=g:501917
Rikhiyë	id=g:501918
Rikhivara	id=g:501919
Ozero Rikhi-Lampi	id=g:501920
Rikhikallio	id=g:501921
Rikhanovo	id=g:501922
Rikasovo	id=g:501923
Raz”yezd Rikasikha	id=g:501924
Rikasikha	id=g:501925
Ozero Rika-Lampi	id=g:501926
Ozero Riinoyarvi	id=g:501927
Riinoyarvi	id=g:501928
Ozero Riikhi-Lambi	id=g:501929
Rig-Sel’ga	id=g:501930
Rigozh-Ozero	id=g:501931
Stantsiya Rigozero	id=g:501932
Rig-Ozero	id=g:501933
Ozero Rigovarokskoye	id=g:501934
Rigovaraka	id=g:501935
Rigo-Ruchey	id=g:501936
Ozero Rigo-Reka	id=g:501937
Rigo-Reka	id=g:501938
Ozero Rigo-Lambi	id=g:501939
Rigodishchi	id=g:501940
Rigino	id=g:501941
Riga-Vasil’yevka	id=g:501942
Riga-Sel’ga	id=g:501943
Rigachi	id=g:501944
Riga	id=g:501945
Ostrov Rifovyy	id=g:501946
Ozero Rido-Kakshi	id=g:501947
Ribshëvo	id=g:501948
Rgeni	id=g:501949
Rezyapovo	id=g:501950
Rezvyy Kolodez’	id=g:501951
Rezvyy	id=g:501952
Rezvyy	id=g:501953
Rezvovo	id=g:501954
Rezvino	id=g:501955
Rezovatovo	id=g:501956
Mys Reznoy	id=g:501957
Reznikov	id=g:501958
Reznikov	id=g:501959
Bol'shaya Rezka	id=g:501960
Rezka	id=g:501961
Rezinkino	id=g:501962
Rezhet	id=g:501963
Ostrova Rezanovy Ludy	id=g:501964
Ryazanovskaya	id=g:501965
Rezanka	id=g:501966
Mys Rëyukyun-Niyemi	id=g:501967
Stantsiya Reytarskiy	id=g:501968
Reytarskiy	id=g:501969
Reytarovka	id=g:501970
Zaliv Reyneke	id=g:501971
Ostrov Reymi Saari	id=g:501972
Reyd Vtoroy	id=g:501973
Revyakino	id=g:501974
Revyakino	id=g:501975
Revyakino	id=g:501976
Revyakino	id=g:501977
Revyakino	id=g:501978
Revyakino	id=g:501979
Revutskiy	id=g:501980
Stantsiya Revsel’ga	id=g:501981
Revsel’ga	id=g:501982
Revpol’ye	id=g:501983
Vasil’yevskoye	id=g:501984
Revolyutsiya	id=g:501985
Revolyutsionnyy	id=g:501986
Revolyutsionnyy	id=g:501987
Revolyutsionnyy	id=g:501988
Revolyutsionnoye	id=g:501989
Revny	id=g:501990
Revny	id=g:501991
Revna	id=g:501992
Revka	id=g:501994
Reviza	id=g:501995
Revino	id=g:501996
Ostanovochnyy Punkt Revezen’	id=g:501997
Revezen’	id=g:501998
Revet’	id=g:501999
Revenko	id=g:502000
Revenitskiye Gory	id=g:502001
Kamen’ Reven’	id=g:502002
Revel’	id=g:502003
Ozero Revdozero	id=g:502004
Prud Revdinskiy	id=g:502005
Revdino	id=g:502006
Revdel’	id=g:502007
Revdel’	id=g:502008
Revda	id=g:502009
Revda	id=g:502010
Revda	id=g:502011
Stantsiya Revazh	id=g:502012
Revazh	id=g:502013
Stantsiya Reutovo	id=g:502014
Reutovo	id=g:502015
Reutovo	id=g:502016
Reutov Khutor	id=g:502017
Reutov	id=g:502018
Reut	id=g:502019
Reuskula	id=g:502020
Reushenka	id=g:502021
Retyun’	id=g:502022
Retyazhi	id=g:502023
Retukansel’kya	id=g:502024
Retsu	id=g:502025
Ozero Retno	id=g:502026
Retno	id=g:502027
Retle	id=g:502028
Retkino	id=g:502029
Ozero Retinskoye Vtoroye	id=g:502030
Ozero Retinskoye Pervoye	id=g:502031
Retinskoye	id=g:502032
Mys Retinskiy	id=g:502033
Stantsiya Retinskaya	id=g:502034
Guba Retinskaya	id=g:502035
Retinovka	id=g:502036
Retinka	id=g:502037
Ozero Reti	id=g:502038
Retezh	id=g:502039
Retesha	id=g:502040
Retcha	id=g:502041
Urochishche Retcha	id=g:502042
Ozero Reta-Yarvi	id=g:502043
Ret	id=g:502044
Stantsiya Resseta	id=g:502045
Resseta	id=g:502046
Resseta	id=g:502047
Ressa	id=g:502048
Respublika	id=g:502049
Resnitsyno	id=g:502050
Reshnoye	id=g:502051
Reshma	id=g:502052
Kolkhoz Reshitel’nyy	id=g:502053
Reshëty	id=g:502054
Reshetovskiy	id=g:502055
Reshetovka	id=g:502056
Reshetovo-Dubrovo	id=g:502057
Reshetovo	id=g:502058
Reshetovka	id=g:502059
Reshetovka	id=g:502060
Reshetovka	id=g:502061
Reshetovka	id=g:502062
Reshetnyakov	id=g:502063
Reshetnyakov	id=g:502064
Reshetnikovo	id=g:502065
Reshetnikovo	id=g:502066
Reshëtnikovo	id=g:502067
Reshëtniki	id=g:502068
Reshetnikovo	id=g:502069
Reshetnikovo	id=g:502070
Reshetnikov	id=g:502071
Urochishche Reshëtniki	id=g:502072
Reshëtniki	id=g:502073
Reshetkino	id=g:502074
Reshëtki	id=g:502075
Reshetino	id=g:502076
Reshetino	id=g:502077
Reshetikha	id=g:502078
Reshetalovo	id=g:502079
Reshchel’skoye	id=g:502080
Sovkhoz Reshayushchiy	id=g:502081
Rep’yevskiy Rayon	id=g:502082
Rep’yëvka-Kosmynka	id=g:502083
Rep’yëvka-Kolkhoznaya	id=g:502084
Stantsiya Rep’yevka	id=g:502085
Rep’yëvka	id=g:502086
Rep’yëvka	id=g:502087
Rep’yëvka	id=g:502088
Rep’yëvka	id=g:502089
Rep’yëvka	id=g:502090
Rep’yevka	id=g:502091
Rep’yëvka	id=g:502092
Rep’yevka	id=g:502093
Rep’yëvka	id=g:502094
Rep’yëvka	id=g:502095
Rep’yëvka	id=g:502096
Rep’yëvka	id=g:502097
Rep’yëvka	id=g:502098
Rep’yëvka	id=g:502099
Rep’yëvka	id=g:502100
Rep’yëvka	id=g:502101
Rep’yëvka	id=g:502102
Rep’yëvka	id=g:502103
Rep’yëvka	id=g:502104
Ozero Rep”yavr	id=g:502105
Repyakhovka	id=g:502106
Repyakhovka	id=g:502107
Repuzi	id=g:502108
Repushina	id=g:502109
Repshina Gorka	id=g:502110
Reprevo	id=g:502111
Ozero Repoyarvi	id=g:502112
Repovka	id=g:502113
Repotino-Perelom	id=g:502114
Reposelki	id=g:502115
Repolka	id=g:502116
Repola	id=g:502117
Repnyy	id=g:502118
Repnyy	id=g:502119
Repnoye	id=g:502120
Repnoye	id=g:502121
Repnoye	id=g:502122
Repnoye	id=g:502123
Repnoye	id=g:502124
Repnoye	id=g:502125
Repnoye	id=g:502126
Repnoye	id=g:502127
Repnovo	id=g:502128
Repnino	id=g:502129
Repninka	id=g:502130
Repnikovo	id=g:502131
Repniki	id=g:502132
Repnev	id=g:502133
Repnaya Vershina	id=g:502134
Stantsiya Repnaya	id=g:502135
Repki	id=g:502136
Repitsy	id=g:502137
Repishchi	id=g:502138
Repishchi	id=g:502139
Repishchi	id=g:502140
Repishche	id=g:502141
Repishche	id=g:502142
Repishche	id=g:502143
Repino	id=g:502144
Repino	id=g:502145
Repino	id=g:502146
Repino	id=g:502147
Repino	id=g:502148
Repino	id=g:502149
Repino	id=g:502150
Repino	id=g:502151
Repinka	id=g:502152
Mys Repina	id=g:502153
Repina	id=g:502154
Repin	id=g:502155
Repin	id=g:502156
Repikhovo	id=g:502157
Repikhovo	id=g:502158
Repetskaya Plata	id=g:502159
Repets	id=g:502160
Reptsy	id=g:502161
Repets	id=g:502162
Repets	id=g:502163
Repeshchi	id=g:502164
Repenka	id=g:502165
Repekhovka	id=g:502166
Repaki	id=g:502167
Repa	id=g:502168
Rep’	id=g:502169
Renya	id=g:502170
Renok	id=g:502171
Rennberg	id=g:502172
Rennaya Polyana	id=g:502173
Ren’kovo	id=g:502174
Renevskaya	id=g:502175
Renevo	id=g:502176
Renëvo	id=g:502177
Renëvka	id=g:502178
Renëv	id=g:502179
Remyazino	id=g:502180
Remyannitsa	id=g:502181
Rempler	id=g:502182
Rempl’	id=g:502183
Remontnyy	id=g:502184
Remontnoye	id=g:502185
Remontnenskiy Rayon	id=g:502186
Stantsiya Remontnaya	id=g:502187
Remlyuga	id=g:502188
Stantsiya Remizovo	id=g:502189
Remizovo	id=g:502190
Remizov	id=g:502191
Remino	id=g:502192
Ozero Remezozero	id=g:502193
Ramen’ye	id=g:502194
Remenshchina	id=g:502195
Remennikovo	id=g:502196
Remennikovo	id=g:502197
Remennikovo	id=g:502198
Remennikovo	id=g:502199
Guba Remenka	id=g:502200
Remenevo	id=g:502201
Remenevo	id=g:502202
Remekhovskiy	id=g:502203
Remda	id=g:502204
Remchino	id=g:502205
Rembuyevo	id=g:502206
Gora Remazh	id=g:502207
Ozero Remaka	id=g:502208
Relya	id=g:502209
Rel’nits	id=g:502210
Relki	id=g:502211
Relka	id=g:502212
Relinskiy	id=g:502213
Rel’bitsy	id=g:502214
Rel’	id=g:502215
Rekta	id=g:502216
Rekta	id=g:502217
Rekta	id=g:502218
Rekovskaya	id=g:502219
Rekovichi	id=g:502220
Kolkhoz Rekord	id=g:502221
Rekord	id=g:502222
Kolkhoz Rekonstruktsiya	id=g:502223
Rekonstruktsiya	id=g:502224
Rekonstruktor	id=g:502225
Rekon’ka	id=g:502226
Rekon’	id=g:502227
Rekola	id=g:502228
Rekinichi	id=g:502229
Ozero Rekhk-Ozero	id=g:502230
Rekhkolovo	id=g:502231
Stantsiya Rekhino	id=g:502232
Rekhanovo	id=g:502233
Vodokhranilishche Reka Shat	id=g:502234
Ozero Regozero	id=g:502235
Regozero	id=g:502236
Ozero Regoyarvi	id=g:502237
Ozero Rego-Yarvi	id=g:502238
Ozero Rego-Lambi	id=g:502239
Regmasova	id=g:502240
Regishevskaya	id=g:502241
Regita	id=g:502242
