La Salina	id=g:3677769
La Reforma	id=g:3677876
La Reforma	id=g:3677877
La Reforma	id=g:3677878
La Reforma	id=g:3677879
La Reforma	id=g:3677880
La Reforma	id=g:3677881
La Reforma	id=g:3677882
La Reforma	id=g:3677883
La Reforma	id=g:3677884
La Reforina	id=g:3677885
Ciénagas La Redondita	id=g:3677886
Ciénaga La Redonda	id=g:3677887
Hato La Redención	id=g:3677888
La Redencion	id=g:3677889
La Realidad	id=g:3677890
La Realidad	id=g:3677891
La Realidad	id=g:3677892
La Realidad	id=g:3677893
Quebrada La Rayita	id=g:3677894
Quebrada La Rayita	id=g:3677895
La Rayita	id=g:3677896
Río de La Raya	id=g:3677897
Quebrada La Raya	id=g:3677898
Quebrada La Raya	id=g:3677899
Quebrada La Raya	id=g:3677900
Quebrada La Raya	id=g:3677901
Caño La Raya	id=g:3677902
Boca La Raya	id=g:3677903
Bajos de La Raya	id=g:3677904
La Raya	id=g:3677905
La Raya	id=g:3677906
La Raya	id=g:3677907
La Raya	id=g:3677908
La Rastra	id=g:3677909
La Ranchila	id=g:3677910
La Rancherita	id=g:3677911
La Rambla	id=g:3677912
La Ramada	id=g:3677913
La Ramada	id=g:3677914
La Ramada	id=g:3677915
La Ramada	id=g:3677916
Quebrada La Raiz	id=g:3677917
La Raíz	id=g:3677918
Punta de La Rada	id=g:3677919
Ensenada de La Rada	id=g:3677920
Cerro de La Rada	id=g:3677921
La Rada	id=g:3677922
Brazo de Lara	id=g:3677923
Lara	id=g:3677924
La Quipileña	id=g:3677925
La Quintana	id=g:3677926
Quebrada La Quinta	id=g:3677927
Quebrada La Quinta	id=g:3677928
La Quinta	id=g:3677929
La Quinta	id=g:3677930
La Quinta	id=g:3677931
La Quinta	id=g:3677932
La Quinta	id=g:3677933
La Quinta	id=g:3677934
Alto La Quincha	id=g:3677935
La Quiebra	id=g:3677936
La Quiebra	id=g:3677937
La Quiebra	id=g:3677938
La Quiebra	id=g:3677939
La Querida	id=g:3677940
Quebrada La Quebradona	id=g:3677941
La Quebradona	id=g:3677942
Quebrada La Quebradita	id=g:3677943
La Quebradita	id=g:3677944
La Quebrada	id=g:3677945
La Quebrada	id=g:3677946
Quebrada La Putana	id=g:3677947
La Putana	id=g:3677948
La Purnia	id=g:3677949
La Pura	id=g:3677950
La Pura	id=g:3677951
La Puntica	id=g:3677952
La Punta de los Remedios	id=g:3677953
La Punta	id=g:3677954
La Punta	id=g:3677955
La Punta	id=g:3677956
La Pulga	id=g:3677957
La Puertica	id=g:3677958
La Puerta de Mora	id=g:3677959
La Puerta	id=g:3677960
La Puerta	id=g:3677961
La Puerta	id=g:3677962
La Puerquera	id=g:3677963
Caño La Puente	id=g:3677964
Cañada La Puente	id=g:3677965
Hacienda La Puente	id=g:3677966
La Puente	id=g:3677967
La Puente	id=g:3677968
Prusia	id=g:3677969
La Provincia	id=g:3677970
Quebrada de La Providencia	id=g:3677971
La Providencia	id=g:3677972
La Providencia	id=g:3677973
La Providencia	id=g:3677974
La Providencia	id=g:3677975
La Providencia	id=g:3677976
La Providencia	id=g:3677977
La Providencia	id=g:3677978
La Providencia	id=g:3677979
La Providencia	id=g:3677980
La Providencia	id=g:3677981
La Providencia	id=g:3677982
La Providencia	id=g:3677983
La Providencia	id=g:3677984
La Providencia	id=g:3677985
La Providencia	id=g:3677986
La Providencia	id=g:3677987
La Profunda	id=g:3677988
La Princesa	id=g:3677989
Primavera	id=g:3677990
La Primavera	id=g:3677991
La Primavera	id=g:3677992
La Primavera	id=g:3677993
La Primavera	id=g:3677994
La Primavera	id=g:3677995
Primavera	id=g:3677996
La Primavera	id=g:3677997
La Primavera	id=g:3677998
La Primavera	id=g:3677999
La Primavera	id=g:3678000
La Primavera	id=g:3678001
La Primavera	id=g:3678002
La Primavera	id=g:3678003
La Primavera	id=g:3678004
La Primavera	id=g:3678005
Caño La Prevención	id=g:3678006
La Prevención	id=g:3678007
La Prevencion	id=g:3678008
La Prevencion	id=g:3678009
La Pradera Sur	id=g:3678010
Mesa de La Pradera	id=g:3678011
Cañada La Pradera	id=g:3678012
La Pradera	id=g:3678013
La Pradera	id=g:3678014
La Pradera	id=g:3678015
La Pradera	id=g:3678016
La Pradera	id=g:3678017
La Pradera	id=g:3678018
La Pradera	id=g:3678019
La Pradera	id=g:3678020
La Pradera	id=g:3678021
La Pradera	id=g:3678022
La Pradera	id=g:3678023
La Pradera	id=g:3678024
La Pradera	id=g:3678025
La Pradera	id=g:3678026
La Pradera	id=g:3678027
La Pradera	id=g:3678028
Aposentos	id=g:3678029
La Pradera	id=g:3678030
La Pradera	id=g:3678031
La Pradera	id=g:3678032
La Pradera	id=g:3678033
La Poza del Rey	id=g:3678034
La Poza del Chorro	id=g:3678035
La Poza	id=g:3678036
La Poza	id=g:3678037
La Poyata	id=g:3678038
Hacienda La Posada	id=g:3678039
La Portuguesa	id=g:3678040
La Portuguesa	id=g:3678041
Loma La Porquera	id=g:3678042
Ciénaga Porquera	id=g:3678043
Ciénaga La Porquera	id=g:3678044
La Porquera	id=g:3678045
La Porfía	id=g:3678046
Los Mangones	id=g:3678047
La Porfía	id=g:3678048
La Porfía	id=g:3678049
La Porfía	id=g:3678050
La Porfia	id=g:3678051
La Porfía	id=g:3678052
Hato La Porfia	id=g:3678053
La Porfía	id=g:3678054
La Porfía	id=g:3678055
La Porfía	id=g:3678056
La Porfia	id=g:3678057
La Porfia	id=g:3678058
Cerro de La Popa	id=g:3678059
Cerro La Popa	id=g:3678060
Alto La Popa	id=g:3678061
La Popa	id=g:3678062
La Popa	id=g:3678063
Caño La Pola	id=g:3678064
La Pola	id=g:3678065
La Pola	id=g:3678066
La Pola	id=g:3678067
La Poesía	id=g:3678068
La Plazuela	id=g:3678069
La Plazuela	id=g:3678070
La Plazuela	id=g:3678071
La Plaza	id=g:3678072
La Playita	id=g:3678073
La Playita	id=g:3678074
Río La Playa	id=g:3678075
Raudal La Playa	id=g:3678076
Ciénaga de La Playa	id=g:3678077
Arroyo La Playa	id=g:3678078
La Playa	id=g:3678079
La Playa	id=g:3678080
La Playa	id=g:3678081
La Playa	id=g:3678082
La Playa	id=g:3678083
La Playa	id=g:3678084
La Playa	id=g:3678085
La Playa	id=g:3678086
La Playa	id=g:3678087
La Playa	id=g:3678088
La Playa	id=g:3678089
Plataforma	id=g:3678090
Río de La Plata	id=g:3678091
Río La Plata	id=g:3678092
Quebrada La Plata	id=g:3678093
La Plata	id=g:3678094
La Plata	id=g:3678095
La Plata	id=g:3678096
La Plata	id=g:3678097
La Plata	id=g:3678098
La Planta	id=g:3678099
Piedra de La Plancha	id=g:3678100
La Planada	id=g:3678101
La Planada	id=g:3678102
La Placita	id=g:3678103
La Placita	id=g:3678104
La Pizarra	id=g:3678105
Quebrada La Pita	id=g:3678106
Quebrada La Pita	id=g:3678107
Alto de La Pita	id=g:3678108
La Pisinga	id=g:3678109
La Piscina	id=g:3678110
La Pirinola	id=g:3678111
La Pinzonera	id=g:3678112
Cordillera de La Piñuela	id=g:3678113
Cerro de La Piñuela	id=g:3678114
Alto de La Piñuela	id=g:3678115
La Piñuela	id=g:3678116
Cuchilla La Pintada	id=g:3678117
La Pintada	id=g:3678118
La Pincha	id=g:3678119
La Piña	id=g:3678120
La Pilona	id=g:3678121
La Piladora	id=g:3678122
La Piedra	id=g:3678123
La Piedra	id=g:3678124
La Piedra	id=g:3678125
La Piedad	id=g:3678126
Punta de La Picúa	id=g:3678127
La Picota	id=g:3678128
Alto La Picona	id=g:3678129
La Piche	id=g:3678130
Quebrada de La Picardía	id=g:3678131
La Picacha	id=g:3678132
La Pica	id=g:3678133
La Pica	id=g:3678134
Alto de La Petrolera	id=g:3678135
La Pesquera	id=g:3678136
Punta La Perra	id=g:3678137
La Perra	id=g:3678138
La Perla	id=g:3678139
La Perla	id=g:3678140
Caño La Periquita	id=g:3678141
La Periquera	id=g:3678142
Isla La Pereira	id=g:3678143
La Perdiz	id=g:3678144
Quebrada La Perdida	id=g:3678145
Cerro La Perdida	id=g:3678146
La Pepita	id=g:3678147
La Penumbra	id=g:3678148
La Pensión	id=g:3678149
La Pensión	id=g:3678150
La Peñita	id=g:3678151
La Peñata	id=g:3678152
La Peña de Los Indios	id=g:3678153
Quebrada La Peña	id=g:3678154
Punta La Peña	id=g:3678155
La Peña	id=g:3678156
La Peña	id=g:3678157
La Peña	id=g:3678158
La Peña	id=g:3678159
La Peña	id=g:3678160
La Peña	id=g:3678161
La Peña	id=g:3678162
La Peña	id=g:3678163
La Peña	id=g:3678164
La Peña	id=g:3678165
La Peña	id=g:3678166
La Peña	id=g:3678167
La Peña	id=g:3678168
La Peña	id=g:3678169
La Pelusa	id=g:3678170
La Pelota	id=g:3678171
La Pelea	id=g:3678172
Ciénaga La Pelada	id=g:3678173
La Peinada	id=g:3678174
La Pedrera	id=g:3678175
La Pedrera	id=g:3678176
Río La Pedregosa	id=g:3678177
Quebrada La Pedregosa	id=g:3678178
Cuchilla La Pedregosa	id=g:3678179
Ciénaga La Pedregosa	id=g:3678180
La Pedregosa	id=g:3678181
La Pedregosa	id=g:3678182
La Pedregosa	id=g:3678183
Cordillera de La Paz	id=g:3678184
La Paz	id=g:3678185
La Paz	id=g:3678186
La Paz	id=g:3678187
La Paz	id=g:3678188
La Paz	id=g:3678189
La Paz	id=g:3678190
La Paz	id=g:3678191
La Paz	id=g:3678192
La Paz	id=g:3678193
La Paz	id=g:3678194
Quebrada La Paya	id=g:3678195
Caño La Pava	id=g:3678196
La Pava	id=g:3678197
La Paulina	id=g:3678198
La Patria	id=g:3678199
Sabanas La Pastora	id=g:3678200
La Pastora	id=g:3678201
La Pastora	id=g:3678202
La Pastora	id=g:3678203
La Pastora	id=g:3678204
La Pastora	id=g:3678205
La Pascualera	id=g:3678206
La Pascuala	id=g:3678207
La Pascuala	id=g:3678208
La Partida	id=g:3678209
Alto La Parroquia	id=g:3678210
La Parroquia	id=g:3678211
La Parroquia	id=g:3678212
La Parroquia	id=g:3678213
La Panchera	id=g:3678214
La Panamá	id=g:3678215
Quebrada de La Palomita	id=g:3678216
Alto La Palomera	id=g:3678217
Callejón de La Palomay Peralonso	id=g:3678218
Laguna La Paloma	id=g:3678219
La Paloma	id=g:3678220
La Paloma	id=g:3678221
La Paloma	id=g:3678222
La Palmita	id=g:3678223
La Palmita	id=g:3678224
La Palmita	id=g:3678225
La Palmita	id=g:3678226
Hato La Palmita	id=g:3678227
La Palmita	id=g:3678228
La Palmita	id=g:3678229
Hato La Palmita	id=g:3678230
La Palmita	id=g:3678231
La Palmita	id=g:3678232
La Palmita	id=g:3678233
La Palmita	id=g:3678234
La Palmita	id=g:3678235
La Palmita	id=g:3678236
La Palmita	id=g:3678237
La Palmita	id=g:3678238
La Palmita	id=g:3678239
La Palmita	id=g:3678240
La Palmita	id=g:3678241
La Palmita	id=g:3678242
La Palmita	id=g:3678243
La Palmita	id=g:3678244
La Palmita	id=g:3678245
La Palmira	id=g:3678246
La Palmilla	id=g:3678247
La Palmera	id=g:3678248
La Palmera	id=g:3678249
La Palmera	id=g:3678250
La Palmera	id=g:3678251
La Palmera	id=g:3678252
Montañas La Palma y Madrid	id=g:3678253
Quebrada La Palma	id=g:3678254
Quebrada La Palma	id=g:3678255
Isla La Palma	id=g:3678256
Cuchilla La Palma	id=g:3678257
Ciénaga EL Palmar	id=g:3678258
Cerro La Palma	id=g:3678259
Alto La Palma	id=g:3678260
La Palma	id=g:3678261
La Palma	id=g:3678262
La Palma	id=g:3678263
La Palma	id=g:3678264
La Palma	id=g:3678265
La Palma	id=g:3678266
La Palma	id=g:3678267
La Palma	id=g:3678268
La Palma	id=g:3678269
La Palma	id=g:3678270
La Palma	id=g:3678271
La Palma	id=g:3678272
La Palma	id=g:3678273
La Palma	id=g:3678274
La Palma	id=g:3678275
La Palma	id=g:3678276
La Palma	id=g:3678277
La Palma	id=g:3678278
La Palma	id=g:3678279
La Palma	id=g:3678280
La Palma	id=g:3678281
La Palma	id=g:3678282
La Palma	id=g:3678283
La Palma	id=g:3678284
La Palma	id=g:3678285
La Palma	id=g:3678286
La Palma	id=g:3678287
La Palizada	id=g:3678288
La Palizada	id=g:3678289
La Palestina	id=g:3678290
La Palestina	id=g:3678291
La Palestina	id=g:3678292
Quebrada La Paja	id=g:3678293
Río La Paila	id=g:3678294
Cerro La Paila	id=g:3678295
Cerro La Paila	id=g:3678296
La Paila	id=g:3678297
La Paila	id=g:3678298
La Pradera	id=g:3678299
La Padilla	id=g:3678300
La Pacha	id=g:3678301
La Pablera	id=g:3678302
La Ovejita	id=g:3678303
La Oscurana	id=g:3678304
Quebrada La Oscura	id=g:3678305
La Osa	id=g:3678306
La Osa	id=g:3678307
La Ortiga	id=g:3678308
La Oreja	id=g:3678309
La Oponidad	id=g:3678310
Cráter La Olleta	id=g:3678311
Quebrada La Nutria	id=g:3678312
La Nueva Reforma	id=g:3678313
La Nueva Ola	id=g:3678314
La Nueva Esperanza	id=g:3678315
La Nueva Era	id=g:3678316
La Nueva Donjuana	id=g:3678317
La Nubia	id=g:3678318
La Nubia	id=g:3678319
Lantashira	id=g:3678320
La Novilla	id=g:3678321
La Nirvana	id=g:3678322
La Ninfa	id=g:3678323
Quebrada La Niña	id=g:3678324
La Nevadita	id=g:3678325
La Nevada	id=g:3678326
La Negra	id=g:3678327
Landázuri	id=g:3678328
La Naveta	id=g:3678329
La Naveta	id=g:3678330
Alto La Narri	id=g:3678331
La Narcisa	id=g:3678332
Lanapa	id=g:3678333
La Napa	id=g:3678334
Lanacera	id=g:3678335
Quebrada Lana	id=g:3678336
Punta Lana	id=g:3678337
Caño Lana	id=g:3678338
Lana	id=g:3678339
La Muriña	id=g:3678340
La Munda	id=g:3678341
Cuchilla de La Mula	id=g:3678342
Hato La Mula	id=g:3678343
La Mula	id=g:3678344
La Muerte	id=g:3678345
La Múcura	id=g:3678346
La Muchimba	id=g:3678347
Estero La Moyona	id=g:3678348
Quebrada La Mosca	id=g:3678349
Lamos	id=g:3678350
La Morrocoya	id=g:3678351
Cuchilla de La Morena	id=g:3678352
La Morena	id=g:3678353
La Morena	id=g:3678354
La Morena	id=g:3678355
La Morelia	id=g:3678356
Loma La Mora	id=g:3678357
La Mora	id=g:3678358
La Mora	id=g:3678359
La Montuosa	id=g:3678360
La Montuosa	id=g:3678361
La Montañita	id=g:3678362
La Montañita	id=g:3678363
Caño de La Montaña	id=g:3678364
La Montaña	id=g:3678365
La Montaña	id=g:3678366
La Montaña	id=g:3678367
La Moneda	id=g:3678368
La Moneda	id=g:3678369
Quebrada La Mona	id=g:3678370
La Molinera	id=g:3678371
La Mojarra	id=g:3678372
Cuchilla La Mojana	id=g:3678373
Ciénaga La Mojana	id=g:3678374
La Mochila	id=g:3678375
Cerro La Mocha	id=g:3678376
Caño La Mocha	id=g:3678377
La Mocha	id=g:3678378
La Mitad	id=g:3678379
La Mirana	id=g:3678380
Quebrada La Mina	id=g:3678381
La Mina	id=g:3678382
La Mina	id=g:3678383
La Mina	id=g:3678384
La Mina	id=g:3678385
La Mina	id=g:3678386
Río La Miel	id=g:3678387
Quebrada La Miel	id=g:3678388
La Miel	id=g:3678389
Quebrada La Mica	id=g:3678390
La Mesita	id=g:3678391
La Mesita	id=g:3678392
Cerro La Meseta	id=g:3678393
La Meseta	id=g:3678394
La Meseta	id=g:3678395
La Meseta	id=g:3678396
La Meseta	id=g:3678397
La Mesa Norte	id=g:3678398
Quebrada La Mesa	id=g:3678399
Loma La Mesa	id=g:3678400
La Mesa	id=g:3678401
La Mesa	id=g:3678402
Las Mesas	id=g:3678403
La Mesa	id=g:3678404
La Mesa	id=g:3678405
La Mesa	id=g:3678406
La Mesa	id=g:3678407
La Mesa	id=g:3678408
La Mesa	id=g:3678409
La Mesa	id=g:3678410
La Mesa	id=g:3678411
La Mercedes	id=g:3678412
La Merced	id=g:3678413
La Merced	id=g:3678414
La Merced	id=g:3678415
La Merced	id=g:3678416
Cerro La Mensura	id=g:3678417
La Melba	id=g:3678418
La Mejía	id=g:3678419
Laguna La Media Luna	id=g:3678420
Quebrada Lamederos	id=g:3678421
Loma de Lamederos	id=g:3678422
Arroyo Lamederos	id=g:3678423
Lamederos	id=g:3678424
Lamederos	id=g:3678425
Lamedero	id=g:3678426
La Meca	id=g:3678427
Lame	id=g:3678428
Isla de Lambedero	id=g:3678429
Lamba	id=g:3678430
Caño La Maya	id=g:3678431
Quebrada La Mata	id=g:3678432
Quebrada La Mata	id=g:3678433
Alto de La Mata	id=g:3678434
La Mata	id=g:3678435
La Mata	id=g:3678436
Alto La Marta	id=g:3678437
Ciénaga La Marmota	id=g:3678438
Minas La Mariposa	id=g:3678439
La Marina	id=g:3678440
La Marina	id=g:3678441
La Marina	id=g:3678442
La Marina	id=g:3678443
Las Marías	id=g:3678444
La María	id=g:3678445
La María	id=g:3678446
La María	id=g:3678447
La María	id=g:3678448
La María	id=g:3678449
La María	id=g:3678450
La María	id=g:3678451
La María	id=g:3678452
La María	id=g:3678453
La María	id=g:3678454
La María	id=g:3678455
La María	id=g:3678456
La María	id=g:3678457
La María	id=g:3678458
La María	id=g:3678459
La María	id=g:3678460
La María	id=g:3678461
La María	id=g:3678462
La María	id=g:3678463
La María	id=g:3678464
La María	id=g:3678465
La María	id=g:3678466
La María	id=g:3678467
La María	id=g:3678468
La María	id=g:3678469
La María	id=g:3678470
La María	id=g:3678471
La María	id=g:3678472
Quebrada La Margarita	id=g:3678473
La Margarita	id=g:3678474
La Margarita	id=g:3678475
La Margarita	id=g:3678476
La Maravilla	id=g:3678477
La Máquina	id=g:3678479
La Maporita	id=g:3678480
La Maporita	id=g:3678481
Hato La Maporita	id=g:3678482
La Mapora	id=g:3678483
La Mapora	id=g:3678484
La Manuelita	id=g:3678485
La Manuelita	id=g:3678486
La Manta	id=g:3678487
La Manta	id=g:3678488
La Mansión	id=g:3678489
La Mansión	id=g:3678490
La Mansa	id=g:3678491
La Mano de Dios	id=g:3678492
La Manigua	id=g:3678493
La Manguita	id=g:3678494
Sabana La Manga	id=g:3678495
Laguna de La Manga	id=g:3678496
La Manga	id=g:3678497
La Manga	id=g:3678498
La Mandinga	id=g:3678499
La Mancha	id=g:3678500
Estación La Mana	id=g:3678501
La Mana	id=g:3678502
Inspección de Policía Lamaná	id=g:3678503
La Mama	id=g:3678504
La Mama	id=g:3678505
Quebrada La Magdalena	id=g:3678506
La Magdalena	id=g:3678507
La Magdalena	id=g:3678508
La Magdalena	id=g:3678509
Puerto Nare	id=g:3678510
La Magdalena	id=g:3678511
La Magdalena	id=g:3678512
Madrevieja	id=g:3678513
La Madre de Dios	id=g:3678514
La Madera	id=g:3678515
La Madera	id=g:3678516
La Macoya	id=g:3678517
La Macoya	id=g:3678518
Serranía de La Macarena	id=g:3678519
La Macarena	id=g:3678520
La Macanilla	id=g:3678521
La Luz	id=g:3678522
La Luz	id=g:3678523
La Lunareja	id=g:3678524
Ciénaga de La Luna	id=g:3678525
La Luna	id=g:3678526
La Luna	id=g:3678527
La Luisiana	id=g:3678528
Cerro La Luisa	id=g:3678529
La Luisa	id=g:3678530
La Luisa	id=g:3678531
Quebrada La Lucha	id=g:3678532
Isla La Lucha	id=g:3678533
La Lucha	id=g:3678534
La Lucha	id=g:3678535
La Lucha	id=g:3678536
La Lucha	id=g:3678537
La Lucha	id=g:3678538
La Lucha	id=g:3678539
La Lucha	id=g:3678540
La Lucha	id=g:3678541
La Lucha	id=g:3678542
La Lucha	id=g:3678543
La Lorena	id=g:3678544
Cordillera de La Lora	id=g:3678545
La Loquera	id=g:3678546
La Londra	id=g:3678547
La Lomita	id=g:3678548
Arroyo La Lomas	id=g:3678549
Quebrada de La Loma	id=g:3678550
Punta La Loma	id=g:3678551
La Loma	id=g:3678552
La Loma	id=g:3678553
La Loma	id=g:3678554
La Loma	id=g:3678555
La Loma	id=g:3678556
La Loma	id=g:3678557
La Loma	id=g:3678558
La Loma	id=g:3678559
La Loma	id=g:3678560
La Loma	id=g:3678561
La Loma	id=g:3678562
La Loma	id=g:3678563
La Loma	id=g:3678564
La Loma	id=g:3678565
La Loma	id=g:3678566
La Loma	id=g:3678567
La Loma	id=g:3678568
La Loma	id=g:3678569
La Lola	id=g:3678570
La Lobata	id=g:3678571
La Llave	id=g:3678572
La Llanada	id=g:3678573
La Llanada	id=g:3678574
La Llanada	id=g:3678575
La Llana	id=g:3678576
La Lindoza	id=g:3678577
Mesa de La Lindosa	id=g:3678578
La Linda	id=g:3678579
La Linda	id=g:3678580
La Linda	id=g:3678581
La Linda	id=g:3678582
La Lina	id=g:3678583
La Limonada	id=g:3678584
La Libia	id=g:3678585
La Libertad	id=g:3678586
La Libertad	id=g:3678587
La Libertad	id=g:3678588
La Libertad	id=g:3678589
La Libertad	id=g:3678590
La Libertad	id=g:3678591
La Libertad	id=g:3678592
La Libertad	id=g:3678593
La Libertad	id=g:3678594
La Libertad	id=g:3678595
La Libertad	id=g:3678596
La Libertad	id=g:3678597
La Libertad	id=g:3678598
La Libertad	id=g:3678599
La Libertad	id=g:3678600
La Libertad	id=g:3678601
La Liberia	id=g:3678602
La Liberalidad	id=g:3678603
La Leonera	id=g:3678604
Quebrada La Leona	id=g:3678605
La Leona	id=g:3678606
La Leona	id=g:3678607
Quebrada La Lejía	id=g:3678608
Quebrada La Lejía	id=g:3678609
Quebrada La Lejía	id=g:3678610
Punta La Legua	id=g:3678611
La Legua	id=g:3678612
Quebrada La Legiosa	id=g:3678613
La Ledys	id=g:3678614
La Matica	id=g:3678615
Punta Lalata	id=g:3678616
La Lata	id=g:3678617
Caño La Larga Boba	id=g:3678618
Caño de La Larga	id=g:3678619
La Lanza	id=g:3678620
Quebrada La Lajita	id=g:3678621
La Lajita	id=g:3678622
La Lajita	id=g:3678623
La Lajas	id=g:3678624
Quebrada La Laja	id=g:3678625
Loma La Laja	id=g:3678626
La Laja	id=g:3678627
La Laja	id=g:3678628
La Laja	id=g:3678629
La Laja	id=g:3678630
Río La Laguna	id=g:3678631
Estación La Laguna	id=g:3678632
La Laguna	id=g:3678633
La Laguna	id=g:3678634
La Laguna	id=g:3678635
La Laguna	id=g:3678636
La Laguna	id=g:3678637
La Laguna	id=g:3678638
La Laguna	id=g:3678639
La Laguna	id=g:3678640
La Laguna	id=g:3678641
La Laguna	id=g:3678642
La Laguna	id=g:3678643
La Laguna	id=g:3678644
La Laguna	id=g:3678645
La Laguna	id=g:3678646
La Laguna	id=g:3678647
La Laguna	id=g:3678648
La Laguna	id=g:3678649
La Laguna	id=g:3678650
La Laguna	id=g:3678651
La Laguna	id=g:3678652
Cuchilla La Ladera	id=g:3678653
La Ladera	id=g:3678654
La Ladera	id=g:3678655
La Ladera	id=g:3678656
La Justa	id=g:3678657
La Junta	id=g:3678658
Vereda Julia	id=g:3678659
La Juga	id=g:3678660
Quebrada La Joya	id=g:3678661
La Joya	id=g:3678662
La Josefina	id=g:3678663
Lajitas	id=g:3678664
Lajitas	id=g:3678665
La Jerulé	id=g:3678666
La Javilla	id=g:3678667
La Jaula	id=g:3678668
Quebrada Lajas	id=g:3678669
Lajas	id=g:3678670
La Jarra	id=g:3678671
La Jagua del Pilar	id=g:3678672
La Jagua del Pedregal	id=g:3678673
La Jagua de Ibirico	id=g:3678674
La Jagua	id=g:3678675
La Jagua	id=g:3678676
Jagua	id=g:3678677
Cerro La Jacoba	id=g:3678678
Quebrada La Jabonera	id=g:3678679
Quebrada La Jabonera	id=g:3678680
Quebrada La Jabonera	id=g:3678681
La Jabonera	id=g:3678682
Arroyo Laja	id=g:3678683
Alto la Laja	id=g:3678684
La Italia	id=g:3678685
La Islita	id=g:3678686
La Isleta	id=g:3678687
Raudal La Isla	id=g:3678688
Ciénaga La Isla	id=g:3678689
La Isla	id=g:3678690
La Isla	id=g:3678691
La Isla	id=g:3678692
La Isla	id=g:3678693
Isla de Los Palacios	id=g:3678694
La Isla	id=g:3678695
La Isla	id=g:3678696
La Isla	id=g:3678697
La Isla	id=g:3678698
La Isla	id=g:3678699
La Isla	id=g:3678700
La Isla	id=g:3678701
La Isla	id=g:3678702
La Isla	id=g:3678703
La Isabel	id=g:3678704
La Isabel	id=g:3678705
La Inteligencia	id=g:3678706
La Inesera	id=g:3678707
Quebrada La India	id=g:3678708
Arroyo La India	id=g:3678709
La India	id=g:3678710
La India	id=g:3678711
La India	id=g:3678712
La India	id=g:3678713
La Independencia	id=g:3678714
La Independencia	id=g:3678715
La Independencia	id=g:3678716
La Independencia	id=g:3678717
