Kilusiktok Creek	id=g:5866266
Kiolik Hill	id=g:5866382
Lake Kiowa	id=g:5866383
Kipaiak Ridge	id=g:5866384
Kipchuk River	id=g:5866385
Kiokluk Mountains	id=g:5866386
Kipniarak River	id=g:5866387
Lake Kipmik	id=g:5866388
Kipniyagok River	id=g:5866389
Kipnuk	id=g:5866390
Kipnuktuli Creek	id=g:5866391
Kipnuk Airport	id=g:5866392
Kipungolak River	id=g:5866393
Kirk Creek	id=g:5866394
Kirschner Lake	id=g:5866395
Kiruktagiak River	id=g:5866396
Kisaralik Lake	id=g:5866397
Kisaralik River	id=g:5866398
Kisaymaruktuk Mountain	id=g:5866399
Kisimigiuktuk Hill	id=g:5866400
Kisimilat Creek	id=g:5866401
Kisemaraktuk Mountain	id=g:5866402
Kisimilok Creek	id=g:5866403
Kisimilok Mountain	id=g:5866404
Kislowrut Hills	id=g:5866405
Kismaliuk Bay	id=g:5866406
Kisogle Mountain	id=g:5866407
Kissaiak (historical)	id=g:5866408
Kisselen Bay	id=g:5866409
Kit Island	id=g:5866410
Kit Lake	id=g:5866411
Kitalitna Creek	id=g:5866412
Kisimilot Mountains	id=g:5866413
Kitchen Anchorage	id=g:5866414
The Kitchen	id=g:5866415
Kitingirak Gap	id=g:5866416
Kitiram Ipitanga Hills	id=g:5866417
Kitkonak Hill	id=g:5866418
Kitleekot Rocks	id=g:5866419
Kitlik River	id=g:5866420
Kitavie Rock	id=g:5866421
Kitluk River	id=g:5866422
Kitnagak Bay	id=g:5866423
Kitnepaluk	id=g:5866424
Kitnepaluk Creek	id=g:5866425
Kitnagak Point	id=g:5866426
Kitnik River	id=g:5866427
Kitnik Mountain	id=g:5866428
Kitoi Bay	id=g:5866429
Kitoi Bay Seaplane Base	id=g:5866430
Kitovi Point	id=g:5866431
Kitovi Rookery	id=g:5866432
Kitten Pass	id=g:5866433
Kittilngook Bay	id=g:5866434
Kittiwake Head	id=g:5866435
Kitty Lake	id=g:5866436
Cape Kiugilak	id=g:5866437
Kiugtlugtulit Mountain	id=g:5866438
Kiukpalik Island	id=g:5866439
Kivalik Inlet	id=g:5866440
Kivalina	id=g:5866441
Kivalina Airport	id=g:5866442
Kivalina Lagoon	id=g:5866443
Kivalina River	id=g:5866444
Cape Kitnik	id=g:5866445
Kivi Lake	id=g:5866446
Kividlo	id=g:5866447
Kividlow Shipwreck	id=g:5866448
Kivivik Creek	id=g:5866449
Kiveepuk Bay	id=g:5866450
Kiwalik	id=g:5866451
Kiwalik Lagoon	id=g:5866452
Kiwalik Mountain	id=g:5866453
Kiwalik River	id=g:5866454
Kivliktort Mountain	id=g:5866455
Kiwook Pass	id=g:5866456
Kiyak Creek	id=g:5866457
Kiwanis Park	id=g:5866458
Kiyakyaliksamiut River	id=g:5866459
Kiyakyaliksamiut	id=g:5866460
Kizhuyak Bay	id=g:5866461
Kizhuyak Point	id=g:5866462
Klahangamut (historical)	id=g:5866463
Klak Creek	id=g:5866464
Kizhuyak Bay	id=g:5866465
Klalbaimunket Lake	id=g:5866466
Klaluthyiit Bluff	id=g:5866467
Klanelneechena Creek	id=g:5866468
Klak Lake	id=g:5866469
Klatakhna Creek	id=g:5866470
Klatsuta River	id=g:5866471
Klawasi River	id=g:5866472
Kleguchek	id=g:5866473
Klein Creek	id=g:5866474
Kleinsmith Lake	id=g:5866475
Klery Creek	id=g:5866476
Klery Creek	id=g:5866477
Klikhtentotzna Creek	id=g:5866478
Kletsan Creek	id=g:5866479
Klikhtentotzna Creek	id=g:5866480
Klikitarik	id=g:5866481
Klikitarik Mountain	id=g:5866482
Klikitarik River	id=g:5866483
Klikitarik Bay	id=g:5866484
Klim Creek	id=g:5866485
Mount Kliskon	id=g:5866486
Klochkof Rock	id=g:5866487
Klokerblok River	id=g:5866488
Mount Kliuchef	id=g:5866489
Klu River	id=g:5866490
Kluchevaya	id=g:5866491
Kluktak Creek	id=g:5866492
Klunathkada Hill	id=g:5866493
Klunistana Creek	id=g:5866494
Klusiktok Creek	id=g:5866495
Klutapuk Creek	id=g:5866496
Klutchevya	id=g:5866497
Klutina Lake	id=g:5866498
Klutina Lake Trail	id=g:5866499
Klutina Lake Trail	id=g:5866500
Klutina River	id=g:5866501
Klutina Glacier	id=g:5866502
Klutuk Creek	id=g:5866503
Klutlan Glacier	id=g:5866504
Klutuspak Creek	id=g:5866505
Kluvesna Glacier	id=g:5866506
Kluvesna River	id=g:5866507
Klymunget Lake	id=g:5866508
Knapp Creek	id=g:5866509
Knee Bay	id=g:5866510
Knife Creek	id=g:5866511
The Knife Creek Glacier	id=g:5866512
Knife Peak	id=g:5866513
Knifeblade Ridge	id=g:5866514
Knifeblade Test Wells	id=g:5866515
Knight Island	id=g:5866516
Knight Island Passage	id=g:5866517
Knight Island Passage	id=g:5866518
Knight Mountain	id=g:5866519
Knik	id=g:5866520
Knik Anchorage	id=g:5866521
Knik Arm	id=g:5866522
Knik Arm	id=g:5866523
Knik Arm Shoal	id=g:5866524
Knik Glacier	id=g:5866525
Knik Glacier	id=g:5866526
Knik Heights	id=g:5866527
Knik Lake	id=g:5866528
Knik River	id=g:5866529
The Knife Creek Glaciers	id=g:5866530
Knob Creek	id=g:5866531
Knob Hill	id=g:5866532
Knob Point	id=g:5866533
Knob Ridge	id=g:5866534
Knockhock (historical)	id=g:5866535
Knoll Bay	id=g:5866536
Knoll Head	id=g:5866537
Knoll Point	id=g:5866538
Knot Point	id=g:5866539
Knowles Bay	id=g:5866540
Knowles Creek	id=g:5866541
Knowles Head	id=g:5866542
Knox Peak	id=g:5866543
Knoxville Lake	id=g:5866544
Knub Hill	id=g:5866545
Knugormiut Summer Camp	id=g:5866546
Knutruin Rock	id=g:5866547
Knutson Bay	id=g:5866548
Knutson Creek	id=g:5866549
Knob Lake	id=g:5866550
Knutson Mountain	id=g:5866551
Knutson Mountain	id=g:5866552
Knutson Valley	id=g:5866553
Kobakof Bay	id=g:5866554
Kobolunuk	id=g:5866555
Kobuk	id=g:5866556
Kobuk Airport	id=g:5866557
Kobuk Creek	id=g:5866558
Knutson Lake	id=g:5866559
Kobuk River	id=g:5866560
Kobuk Lake	id=g:5866561
Kobuk River Delta	id=g:5866562
Kobuk Valley National Park	id=g:5866563
Kobuk Valley Wilderness	id=g:5866564
Kocacho Creek	id=g:5866565
Kobuk River Delta	id=g:5866566
Kochluk Pass	id=g:5866567
Kochilagok Hill	id=g:5866568
Kodiak Airport	id=g:5866569
Kodiak Emergency-Spruce Cape Heliport	id=g:5866570
Kodiak Fisheries Cannery	id=g:5866571
Kodiak Harbor	id=g:5866572
Kodiak Island	id=g:5866573
Kodiak Island Borough	id=g:5866574
Kodiak Municipal Airport	id=g:5866575
Kodiak National Wildlife Refuge	id=g:5866576
Kodiak Ranch	id=g:5866577
Kodiak Rock	id=g:5866578
Kodiak-Lily Lake Seaplane Base	id=g:5866579
Kodogh	id=g:5866580
Kodosin Minnkohwin Lake	id=g:5866581
Kodosin Nolitna Creek	id=g:5866582
Kodiak	id=g:5866583
Koepke Slough	id=g:5866584
Koduit Lake	id=g:5866585
Koggiling Creek	id=g:5866586
Kof Point	id=g:5866587
Koggiung Airport	id=g:5866588
Kogok River	id=g:5866589
Koggiung	id=g:5866590
Kogoluktuk River	id=g:5866591
Kogoluk River	id=g:5866592
Kogosukruk River	id=g:5866593
Kogomiut (historical)	id=g:5866594
Kogotpak River	id=g:5866595
Kogoyuk Creek	id=g:5866596
Kograk Deep	id=g:5866597
Kogru River	id=g:5866598
Kogru River Airport	id=g:5866599
Kogruk Creek	id=g:5866600
Kogrukluk River	id=g:5866601
Kohlsaat Peak	id=g:5866602
Koiyaktot Mountain	id=g:5866603
Kok-wok-kagati	id=g:5866604
Kokechik Bay	id=g:5866605
Kokechik River	id=g:5866606
Kohokachalla Mountain	id=g:5866607
Kokhila Hills	id=g:5866608
Kokhila Hills	id=g:5866609
Kokinhenik	id=g:5866610
Kokinhenik Bar	id=g:5866611
Kokinhenik Branch	id=g:5866612
Kokinhenik Island	id=g:5866613
Kokirat Creek	id=g:5866614
Kokhanok	id=g:5866615
Koklong Creek	id=g:5866616
Mount Koklak	id=g:5866617
Kokolik River	id=g:5866618
Kokolik Lake	id=g:5866619
Kokomo Creek	id=g:5866620
Kokopuk Creek	id=g:5866621
Kokrines	id=g:5866622
Kokruagarok	id=g:5866623
Koksetna River	id=g:5866624
Kokrines Hills	id=g:5866625
Koktuli River	id=g:5866626
Kokumpat Creek	id=g:5866627
Kokumpat Creek	id=g:5866628
Kokwok (historical)	id=g:5866629
Kokwok River	id=g:5866630
Kolavinarak River	id=g:5866631
Kolchichet Mountain	id=g:5866632
Koleebue Creek	id=g:5866633
Kolekfikpuk Lake	id=g:5866634
Koliganek	id=g:5866635
Kolipsun Creek	id=g:5866636
Kolevokharit Koygut Falls	id=g:5866637
Kollioksak River	id=g:5866638
Kollioksak Lake	id=g:5866639
Kollutarak Creek	id=g:5866640
Kollutuk Creek	id=g:5866641
Kollutuk Mountain	id=g:5866642
Kolmakof Lake	id=g:5866643
Kolmakof River	id=g:5866644
Kolmakof	id=g:5866645
Kolomak River	id=g:5866646
Kolomin Lake	id=g:5866647
Kolotuk Creek	id=g:5866648
Koloock	id=g:5866649
Koluktak Lakes	id=g:5866650
Komakak Creek	id=g:5866651
Kolovik	id=g:5866652
Komoiarak Slough	id=g:5866653
Konarut Mountain	id=g:5866654
Konedsin Minnkohwin Lake	id=g:5866655
Koneruk Creek	id=g:5866656
Konchanee Lake	id=g:5866657
Koness River	id=g:5866658
Konets Head	id=g:5866659
Kongakut River	id=g:5866660
Kongakut River Delta	id=g:5866661
Kongeruk River	id=g:5866662
Konganevik Point	id=g:5866663
Kongiganak Airport	id=g:5866664
Kongishluk Bay	id=g:5866665
Kongkok Basin	id=g:5866666
Kongkok Bay	id=g:5866667
Konglah	id=g:5866668
Kongnignanohk River	id=g:5866669
Kongiganak	id=g:5866670
Kongumavik Creek	id=g:5866671
Koniag Glacier	id=g:5866672
Koniuji Island	id=g:5866673
Koniuji Island	id=g:5866674
Koniuji Strait	id=g:5866675
Konootena Village (historical)	id=g:5866676
Konova Lake	id=g:5866677
Konovalof Lake	id=g:5866678
Kontrashibuna Lake	id=g:5866679
Koobuk Creek	id=g:5866680
Koniag Peak	id=g:5866681
Kooklooktuk Creek	id=g:5866682
Kookjilik Point	id=g:5866683
Kookoolik (historical)	id=g:5866684
Kookoolik Cape	id=g:5866685
Kookoolik Hill	id=g:5866686
Kookooliktook River	id=g:5866687
Kookooligit Mountains	id=g:5866688
Kookukluk Creek	id=g:5866689
Kooku Beach	id=g:5866690
Kookukluk Creek	id=g:5866691
Koole Lake	id=g:5866692
Koopangoomuk Creek	id=g:5866693
Koomlangeelkuk Bay	id=g:5866694
Koovukseluk Point	id=g:5866695
Koozata Lagoon	id=g:5866696
Koozata River	id=g:5866697
Koot (historical)	id=g:5866698
Koppen Creek	id=g:5866699
Kopkakisak Island	id=g:5866700
Kopshesut Creek	id=g:5866701
Koriga Point	id=g:5866702
Korovin Bay	id=g:5866703
Korovin Bay	id=g:5866704
Korovin Island	id=g:5866705
Korovin Strait	id=g:5866706
Korovin Volcano	id=g:5866707
Cape Korovin	id=g:5866708
Korovinski (historical)	id=g:5866709
Kosakuts River	id=g:5866710
Kornui Lake	id=g:5866711
Koserefski River	id=g:5866712
Kosina Creek	id=g:5866713
Koskatantna Creek	id=g:5866714
Koskatantna Creek	id=g:5866715
Koss Cove	id=g:5866716
Kothlik Island	id=g:5866717
Kotil (historical)	id=g:5866718
Kotlik	id=g:5866719
Kotlik Airport	id=g:5866720
Kotlik Crossing Light	id=g:5866721
Kotlik Lagoon	id=g:5866722
Kotlik River	id=g:5866723
Cape Kostromitinof	id=g:5866724
Kotsina River	id=g:5866725
Kotzebue	id=g:5866726
Kotzebue Sound	id=g:5866727
Kotzebue Sound	id=g:5866728
Kotzebue Water Supply Dam	id=g:5866729
Kougachuk Creek	id=g:5866730
Kotzebue Creek	id=g:5866731
Kougarok Mountain	id=g:5866732
Kougarok River	id=g:5866733
Kougarok	id=g:5866734
Kouwegok Slough	id=g:5866735
Mount Koven	id=g:5866736
Kovurof Bay	id=g:5866737
Kovurof Point	id=g:5866738
Koweejoongak River	id=g:5866739
Cape Kovrizhka	id=g:5866740
Kowigilikalik	id=g:5866741
Kowikarurmiut	id=g:5866742
Kowkow Creek	id=g:5866743
Koweelik Bluff	id=g:5866744
Kowlak Creek	id=g:5866745
Kowtuk Point	id=g:5866746
Koyana Creek	id=g:5866747
Koyuk	id=g:5866748
Koyuk Inlet	id=g:5866749
Koyuk Post Office (historical)	id=g:5866750
Koyuk River	id=g:5866751
Koyuk Airport	id=g:5866752
Koyukuk	id=g:5866753
Koyukuk Airport	id=g:5866754
Koyukuk Island	id=g:5866755
Koyukuk Mountain	id=g:5866756
Koyukuk National Wildlife Refuge	id=g:5866757
Koyukuk River	id=g:5866758
Koyuktolik Bay	id=g:5866759
Kozakakat Slough	id=g:5866760
Koyukuk Wilderness	id=g:5866761
Kozherevsky (historical)	id=g:5866762
Kraemer Creek	id=g:5866763
Kozakakat Slough	id=g:5866764
Kragluchten Point	id=g:5866765
Kravaksanak	id=g:5866766
Kravaksarak	id=g:5866767
Krein Lake	id=g:5866768
Krekatok Island	id=g:5866769
Krenitzin Islands	id=g:5866770
Cape Krenitzin	id=g:5866771
Kreuger Creek	id=g:5866772
Kraenberi Lake	id=g:5866773
Kristin Creek	id=g:5866774
Kritskoi Island	id=g:5866775
Kroto Creek	id=g:5866776
Kroto (historical)	id=g:5866777
Kroto Slough	id=g:5866778
Kroto Lake	id=g:5866779
Cape Krusenstern	id=g:5866780
Kruzgamepa River	id=g:5866781
Krusenstern Lagoon	id=g:5866782
Ku-gat-gui-gut	id=g:5866783
Kuakat Ridge	id=g:5866784
Cape Kubugakli	id=g:5866785
Mount Kubugakli	id=g:5866786
Kuchak Creek	id=g:5866787
Kshaliuk Point	id=g:5866788
Kuchaurak Creek	id=g:5866789
Kucheak Creek	id=g:5866790
Kucher Creek	id=g:5866791
Kuchiak Creek	id=g:5866792
Kuchiak Creek	id=g:5866793
Kuchoruk Creek	id=g:5866794
Kuchuk Creek	id=g:5866795
Kudiakof Islands	id=g:5866796
Cape Kudugnak	id=g:5866797
Kugachevik Creek	id=g:5866798
Kudobin Islands	id=g:5866799
Kugachiak Creek	id=g:5866800
Kugarak River	id=g:5866801
Kugirarok Creek	id=g:5866802
Kugrak River	id=g:5866803
Kugrua Bay	id=g:5866804
Kugrua River	id=g:5866805
Kugruk Lagoon	id=g:5866806
Kugruk River	id=g:5866807
Kugrupaga Inlet	id=g:5866808
Kugrupaga River	id=g:5866809
Kuguklik River	id=g:5866810
Kugukpak Creek	id=g:5866811
Kugukpak Valley	id=g:5866812
Kugururok River	id=g:5866813
Kuguyuk Lake	id=g:5866814
Kuhsuman Creek	id=g:5866815
Kuiak River	id=g:5866816
Kuikcherk River	id=g:5866817
Kuikchungnak Creek	id=g:5866818
Kuirzinjik Lake	id=g:5866819
Kuiukta Bay	id=g:5866820
Kuiuktulik River	id=g:5866821
Kuiukpak Slough	id=g:5866822
Kuk (historical)	id=g:5866823
Kuk River	id=g:5866824
Kujulik Bay	id=g:5866825
Kuka Creek	id=g:5866826
Kukak	id=g:5866827
Kukak Creek	id=g:5866828
Kukak Bay	id=g:5866829
Kukak Volcano	id=g:5866830
Kukaklek Lake	id=g:5866831
Kukaklik Lake	id=g:5866832
Kukaktlik River	id=g:5866833
Kukak Point	id=g:5866834
Kukpowruk (historical)	id=g:5866835
Kukpowruk Pass	id=g:5866836
Kukpowruk River	id=g:5866837
Kukaktlim Lake	id=g:5866838
Kukpuk River	id=g:5866839
Kukpuk	id=g:5866840
Kukruk Creek	id=g:5866841
Kukthluk River	id=g:5866842
Kukukpilak Creek	id=g:5866843
Kulak Point	id=g:5866844
Kuleska Glacier	id=g:5866845
Kulgurak Island	id=g:5866846
Kuliak Bay	id=g:5866847
Cape Kuliak	id=g:5866848
Kulichkof Island	id=g:5866849
Kulichkof Island	id=g:5866850
Kulik Lake	id=g:5866851
Kulik Lake	id=g:5866852
Kulik Lake Airport	id=g:5866853
Kulik Lodge	id=g:5866854
Lake Kulik	id=g:5866855
Kuliliak Bay	id=g:5866856
Cape Kuliuk	id=g:5866857
Kulmogon Slough	id=g:5866858
Kulthieth Mountain	id=g:5866859
Kulthieth River	id=g:5866860
Kulavok Ridge	id=g:5866861
Kuluk Bay	id=g:5866862
Kuluk Shoal	id=g:5866863
Kulukak (historical)	id=g:5866864
Kulukak Bay	id=g:5866865
Kulukak Point	id=g:5866866
Kulukak River	id=g:5866867
Kulugra Ridge	id=g:5866868
Kulvagavik	id=g:5866869
Kulyugayak	id=g:5866870
Kumikpeyat Creek	id=g:5866871
Kumlik Island	id=g:5866872
Cape Kumlik	id=g:5866873
Cape Kumlik	id=g:5866874
Kumliun Creek	id=g:5866875
Kulukbuk Hills	id=g:5866876
Kumlunak Peninsula	id=g:5866877
Kun River	id=g:5866878
Cape Kumliun	id=g:5866879
Kuna River	id=g:5866880
Kunaghak Creek	id=g:5866881
Kunarak Creek	id=g:5866882
Kungealarook Creek	id=g:5866883
Kungealoruk Creek	id=g:5866884
Kungiakrok Creek	id=g:5866885
Kungok River	id=g:5866886
Kungsugrug River	id=g:5866887
Kunguyoluk Bend	id=g:5866888
Cape Kunmik	id=g:5866889
Cape Kunmik	id=g:5866890
Kunnsiniali Point	id=g:5866891
Kunruk Canyon	id=g:5866892
Kunsiniali Point	id=g:5866893
Kunuk Creek	id=g:5866894
Kuniguigan	id=g:5866895
Kunyanak Creek	id=g:5866896
Kuogaguruq	id=g:5866897
Kup River State Number 1	id=g:5866898
Kuparuk Mound	id=g:5866899
Kuparuk River	id=g:5866900
Kup Delta Camp	id=g:5866901
Kuparuk State Number 1	id=g:5866902
Kupigruak Channel	id=g:5866903
Kupigruak Channel	id=g:5866904
Kupluruak Point	id=g:5866905
Kupreanof Harbor	id=g:5866906
Kupreanof Mountain	id=g:5866907
Kupreanof Peninsula	id=g:5866908
Kupreanof Peninsula	id=g:5866909
Kupreanof Point	id=g:5866910
Kupreanof Strait	id=g:5866911
Mount Kupreanof	id=g:5866912
Kupuk Creek	id=g:5866913
Kuparuk River Delta	id=g:5866914
Kurgorak Bay	id=g:5866915
Kuropak Creek	id=g:5866916
Kuregamut	id=g:5866917
Kurtluk River	id=g:5866918
Kursoolah	id=g:5866919
Kuruk Creek	id=g:5866920
Kurupa Hills	id=g:5866921
Kurupa Lakes	id=g:5866922
Kurupa River	id=g:5866923
Kurupa Lake	id=g:5866924
Kushluk River	id=g:5866925
Kushtaka Glacier	id=g:5866926
Kushtaka Mountain	id=g:5866927
Kushtaka Ridge	id=g:5866928
Kusilvak Mountains	id=g:5866929
Kuskokuak Slough	id=g:5866930
Kushtaka Lake	id=g:5866931
Kuskokwak Channel Kuskokwim Bay	id=g:5866932
Kuskokwak Creek	id=g:5866933
Kuskokwak Channel	id=g:5866934
Kuskokwim Mountains	id=g:5866935
Kuskokwim Bay	id=g:5866936
Kuskokwim River	id=g:5866937
Kuskokwim Mountains	id=g:5866938
Kuskulana Glacier	id=g:5866939
Kuskulana Glacier	id=g:5866940
Kuskulana Pass	id=g:5866941
Kuskulana River	id=g:5866942
Kuskovak	id=g:5866943
Kuslina Creek	id=g:5866944
Kustatan	id=g:5866945
Kustatan River	id=g:5866946
Kustatan Ridge	id=g:5866947
Kutarlak Creek	id=g:5866948
Kutchaurak Creek	id=g:5866949
Kutchik River	id=g:5866950
Kutmiut	id=g:5866951
Kutna Creek	id=g:5866952
Kutmuknuk Channel	id=g:5866953
Kuttak River	id=g:5866954
Kutokbuna Lake	id=g:5866955
Kutuk River	id=g:5866956
Kutuk Pass	id=g:5866957
Kutukhun River	id=g:5866958
Cape Kutuzof	id=g:5866959
Kutzkatna Creek	id=g:5866960
Cape Kutuzof	id=g:5866961
Kuvirok Lake	id=g:5866962
Kuvlomiut	id=g:5866963
Kuvritovik Entrance	id=g:5866964
Kuyak Creek	id=g:5866965
Kuviak Lake	id=g:5866966
Kuyuktuvuk Creek	id=g:5866967
Kuyanak Bay	id=g:5866968
Kuyukutuk River	id=g:5866969
Kuyungsik River	id=g:5866970
Cape Kuyuyukak	id=g:5866971
Kuzitrin Lake	id=g:5866972
Kuzitrin River	id=g:5866973
Kuzitrin Flats	id=g:5866974
Kvichak Bay	id=g:5866975
Kvichak River	id=g:5866976
Kvichak Bay	id=g:5866977
Kvichavak River	id=g:5866978
Kvichak-Diamond J Airport	id=g:5866979
Kvichvauk Pass	id=g:5866980
Kvigatluk (historical)	id=g:5866981
Kwecharak River	id=g:5866982
Kvichvauk Pass	id=g:5866983
Kwemeluk Pass	id=g:5866984
Kwethluk	id=g:5866985
Kwethluk Airport	id=g:5866986
Kwethluk River	id=g:5866987
Kwemeluk Pass	id=g:5866988
Kwigalok	id=g:5866989
Kwigillingok	id=g:5866990
Kwigillingok Airport	id=g:5866991
Kwigillingok Post Office (historical)	id=g:5866992
Kwigillingok River	id=g:5866993
Kwichlowak Pass	id=g:5866994
Kwigluk Island	id=g:5866995
Kwigorlak	id=g:5866996
Kwiguk	id=g:5866997
Kwiguk Pass	id=g:5866998
Kwigillingok Seaplane Base	id=g:5866999
Kwik (historical)	id=g:5867000
Kwik (historical)	id=g:5867001
Kwik (historical)	id=g:5867002
Kwik River	id=g:5867003
Kwihukhamut (historical)	id=g:5867004
Kwikloaklok	id=g:5867005
Kwiklokchun	id=g:5867006
Kwiklokchun Channel	id=g:5867007
Kwikluak	id=g:5867008
Kwikluak Channel	id=g:5867009
Kwikluak Pass	id=g:5867010
Kwikluak Pass	id=g:5867011
Kwikoktuk Pass	id=g:5867012
Kwikpak (historical)	id=g:5867013
Kwikpak Crossing	id=g:5867014
Kwikpak Pass	id=g:5867015
Kwikak	id=g:5867016
Kwikpakak Slough	id=g:5867017
Kwikpuk	id=g:5867018
Kwiktalik Mountain	id=g:5867019
Kwiktalik Mountains	id=g:5867020
Kwimlilthia Slough	id=g:5867021
Kwimlilthla Slough	id=g:5867022
Kwiniuk Inlet	id=g:5867023
Kwiniuk River	id=g:5867024
Kwikpakak Slough	id=g:5867025
Kwinlatah Slough	id=g:5867026
Kwinlatch Slough	id=g:5867027
Kwinukamut (historical)	id=g:5867028
Kwittevunkud Lake	id=g:5867029
Kyagamiut	id=g:5867030
Lake Kyikhgyit	id=g:5867031
L V Ray Peak	id=g:5867032
La Spray Creek	id=g:5867034
Mount Kwiniuk	id=g:5867035
LaSalle Creek	id=g:5867036
LaGorce Glacier	id=g:5867037
Labaree Creek	id=g:5867038
Label Reef	id=g:5867039
Lackie Gulch	id=g:5867040
Lachbuna Lake	id=g:5867041
Ladanan Creek	id=g:5867042
Lacuna Glacier	id=g:5867043
Ladder Island	id=g:5867044
Ladue River	id=g:5867045
Ladd	id=g:5867046
Lady Point	id=g:5867047
Ladyslipper Lake	id=g:5867048
Lafayette Glacier	id=g:5867049
Lagoon	id=g:5867050
Lagoon Creek	id=g:5867051
Lady Island	id=g:5867052
Lagoon Creek	id=g:5867053
Lagoon Creek	id=g:5867054
Lagoon Point	id=g:5867055
Lagoon Rookery	id=g:5867056
The Lagoon	id=g:5867057
The Lagoon	id=g:5867058
Laida Rocks	id=g:5867059
Laida Slough	id=g:5867060
Laida Spit	id=g:5867061
Lake 'O' the Hills	id=g:5867062
Lake 'O' the Hills Dam	id=g:5867063
Lake Bay	id=g:5867064
Lake Bay	id=g:5867065
Lake Bettinger	id=g:5867066
Lake Bettinger B Dam	id=g:5867067
Lake Bettinger C Dam	id=g:5867068
Lake Bettinger D Dam	id=g:5867069
Lake Bettinger Lower Reservoir	id=g:5867070
Lake Brooks Seaplane Base	id=g:5867071
Lake Clark National Monument	id=g:5867072
Lake Clark National Park and Preserve	id=g:5867073
Lake Clark Pass	id=g:5867074
Lake Clark Wilderness	id=g:5867075
