Rugar	id=g:6998460
Gidan Zamfara	id=g:6999533
Tsaunin Alawa	id=g:6999536
Gidan Magayaki	id=g:6999537
Jan Dutsi	id=g:6999538
Tsaunin Magari	id=g:6999539
Tsaunin Mayako	id=g:6999540
Gidan Machinja	id=g:6999541
Jene	id=g:6999542
Gidan Daudu	id=g:6999543
Laimana	id=g:6999544
Tsaunin Patupa	id=g:6999545
Tsaunin Kujeri	id=g:6999546
Gidan Sarikan Kokwa	id=g:6999547
Kulepma	id=g:6999549
Gidan Nabuwi	id=g:6999550
Tsaunin Piakuta	id=g:6999551
Agwanggi	id=g:6999552
Kundimidna	id=g:6999553
Mbahako	id=g:6999554
Jatayi	id=g:6999555
Tsaunin Kwaiki	id=g:6999556
Pwanga	id=g:6999558
Dadape	id=g:6999559
Tsaunin Sarikan Kokwa	id=g:6999560
Gunday	id=g:6999561
Palele	id=g:6999562
Tsaunin Barayi Hill	id=g:6999563
Chigwagwa Hill	id=g:6999564
River Babban Fadama	id=g:6999565
Dutsin Kan Kafi	id=g:6999566
Tsaunin Bassawa	id=g:6999567
Dutsin Rafin Kwariya	id=g:6999569
Sabon Layi	id=g:6999570
Gaian Hill	id=g:6999571
Musalashi Hill	id=g:6999572
River Kuzagechi	id=g:6999573
Goran Dutse Hill	id=g:6999574
Tsaunin Kasheshima	id=g:6999575
Kakuni	id=g:6999576
Magajiya	id=g:6999577
Urangashi Hill	id=g:6999578
Kardoba Hill	id=g:6999579
Gidan Baku	id=g:6999580
River Babban Kwanama	id=g:6999581
Gidan Dogo	id=g:6999582
Gidan Kolo	id=g:6999583
Gidan Masegi	id=g:6999584
Gidan Ishiwai	id=g:6999585
Bekin Dutse Hill	id=g:6999586
Gidan Namama	id=g:6999587
Gidan Kurihau	id=g:6999588
Gidan Baibaka	id=g:6999589
Dutsen Galama Hill	id=g:6999590
Gidan Chigudia	id=g:6999591
Gidan Nawardi	id=g:6999592
Gidan Kigana	id=g:6999593
Gidan Dogo	id=g:6999594
Gidan Baku	id=g:6999595
Gidan Saure	id=g:6999596
Gidan Mudi	id=g:6999597
Gidan Sarikin-Hauma	id=g:6999700
Gidan Maibagiwa	id=g:6999701
Tianani Hill	id=g:6999702
Gidan Kolo	id=g:6999703
Gidan Sarikin-Ubaru	id=g:6999704
Gidan Danjima	id=g:6999705
Gidan Galadima	id=g:6999706
Gidan Makeri	id=g:6999707
Ungwan Danmasu	id=g:6999708
Gidan Dogo	id=g:6999709
Gidan Galadima-Agiru	id=g:6999710
Tsaunin Makichi Hill	id=g:6999712
Gidan Seria	id=g:6999713
Gidan Dandamo	id=g:6999714
Gidan Kubizaro	id=g:6999715
Gagumi	id=g:6999716
Gidan Madawakin Nasarawa	id=g:6999717
Gurikisa	id=g:6999719
Kanoma Hill	id=g:6999720
Paamina Hill	id=g:6999721
Ungwan Ayuba	id=g:6999722
Ungwan Zakara	id=g:6999723
Gidan Gajere	id=g:6999724
Gidan Masara	id=g:6999725
Gidan Bawa	id=g:6999726
Gidan Aligeta	id=g:6999727
Tsaunin Kikwakwa	id=g:6999728
Shadadi	id=g:6999729
Feri Hill	id=g:6999730
Dutsin Kusheriki	id=g:6999731
Tsaunin Gugugu	id=g:6999732
Tsaunin Kwongoma	id=g:6999733
Tsaunin Dutse	id=g:6999734
Tsaunin Magundi	id=g:6999735
Tsaunin Kufayi	id=g:6999736
Tsaunin Uran Ringa	id=g:6999737
Tsaunin Tugulbi	id=g:6999738
Kauran-Pawa	id=g:6999739
River Getamiya	id=g:6999740
Abaku	id=g:6999741
Dagam Hill	id=g:6999742
Tsaunin Kuba	id=g:6999743
Gidan Berima	id=g:6999745
Tsaunin Koriga	id=g:6999746
Tundun Sakwa	id=g:6999747
Ungwan Garuba	id=g:6999748
Tsaunin Akache Hill	id=g:6999749
Dankutu	id=g:6999750
Goro Hill	id=g:6999751
Tsaunin Kutafa Hill	id=g:6999752
Turibi Hill	id=g:6999753
Ganga	id=g:6999754
Kwonai Hill	id=g:6999755
Bawan Allah Hill	id=g:6999756
Ayaba	id=g:6999757
Kokwoida Hill	id=g:6999758
Dagwachi	id=g:6999759
Tsaunin Mbafe	id=g:6999760
Kurebe	id=g:6999761
Kauya	id=g:6999762
Rafin Kanya	id=g:6999763
Gidan Zarmai	id=g:6999764
Gidan Mudai	id=g:6999765
Ungwan Masaki	id=g:6999766
Kwantayasi	id=g:6999767
Aleji	id=g:6999768
Gidan Galadima	id=g:6999769
Gidan Umaru	id=g:6999770
Gidan Maaji	id=g:6999771
Gidan Maimo	id=g:6999772
Gidan Sarikin Doma	id=g:6999773
Gidan Idi	id=g:6999774
Kashuan-Kwaki	id=g:6999775
Tsaunin Wyam	id=g:6999776
Gidan Tukura	id=g:6999778
Gidan Dangana	id=g:6999779
Tsaunin Kadunduru	id=g:6999781
Tsaunin Guda	id=g:6999783
Indaki	id=g:6999784
Dutsin Kabutu	id=g:6999785
Gidan Maiganga	id=g:6999786
Tsaunin Rafin Dunya	id=g:6999787
Gidan Jato Simamba	id=g:6999788
Tsaunin Katunga	id=g:6999789
Dutsin Agwauo	id=g:6999790
Gidan Latchia	id=g:6999791
Rafin Gungumi	id=g:6999792
Gidan Daiji Makeri	id=g:6999793
Tsaunin Maikalaji	id=g:6999794
Tsaunin Gora	id=g:6999795
Tsaunin Dawa	id=g:6999796
Gidan Umaru	id=g:6999797
Gidan Ayao	id=g:6999798
Gidan Koshama	id=g:6999799
Tsaunin Jandudu	id=g:6999800
Gidan Bahagu	id=g:6999801
Gidan Garba	id=g:6999802
Gidan Haruna	id=g:6999803
Gidan Dangana	id=g:6999804
Babban Gona	id=g:6999805
Gidan Tanko	id=g:6999806
Gende	id=g:6999807
Tungan Dutsi	id=g:6999808
Tsaunin Ogu	id=g:6999809
Gidan Majanjan	id=g:6999810
Gidan Zudangi	id=g:6999811
Gidan Sarikan Sufana	id=g:6999812
Tsaunin Makurdi	id=g:6999813
Gidan Audu Magiru	id=g:6999814
Gidan Barau	id=g:6999815
Gidan Gafia	id=g:6999816
Gidan Jaga	id=g:6999817
Gidan Kafinta	id=g:6999818
Gidan Wakayi	id=g:6999819
Gidan Muazo	id=g:6999820
Ankawa	id=g:6999821
Gadin Doguruo	id=g:6999822
Gidan Abarshi	id=g:6999823
Gidan Maikomo	id=g:6999824
Tsaunin Maguga	id=g:6999825
Gidan Gwari	id=g:6999826
Gidan Wani	id=g:6999827
Gwaria	id=g:6999828
River Getamiya	id=g:6999829
Gidan Usisi	id=g:6999830
Gidan Sariki	id=g:6999831
Tsaunin Bassa	id=g:6999832
Gidan Bako	id=g:6999833
Gidan Peleta	id=g:6999834
Mangwa	id=g:6999835
Gidan Madaki	id=g:6999836
Guadaguri	id=g:6999837
Tsaunin Galadima Koga	id=g:6999838
Gidan Kwaso	id=g:6999839
Wuloto	id=g:6999840
Katerma Forest Reserve	id=g:6999841
Bauchi	id=g:7007184
Kiwo-Allah	id=g:7007185
Kurdula-Sabarumowa	id=g:7007186
Makira	id=g:7007195
Kulgene	id=g:7007196
Gari-Ahoda	id=g:7007197
Djima-Djimi Gaya	id=g:7007244
Alia	id=g:7007245
Yola	id=g:7007246
Gidan-Dundua	id=g:7007247
Tunga-Sabarumowa	id=g:7007255
Kaukau	id=g:7007256
Tunga	id=g:7007258
Mada	id=g:7007259
Shanyasu	id=g:7007260
Kolajia	id=g:7007261
Kadida	id=g:7007262
Laina	id=g:7007263
Alela	id=g:7007264
Alela	id=g:7007265
Rugaruwa	id=g:7007266
Kurunkuse	id=g:7007267
Dangari Adua	id=g:7007268
Yaka Numan Hill	id=g:7007270
Garingolmi	id=g:7007271
Beriberi	id=g:7007272
Goho Hill	id=g:7007273
Kue Hill	id=g:7007274
Tunga-Tsoro	id=g:7007275
Gonyel	id=g:7007276
Gurami	id=g:7007277
Rini	id=g:7007278
Gidan-Bakar	id=g:7007279
Bijimi	id=g:7007280
Tudunkosi	id=g:7007281
Hotinga	id=g:7007282
Morontudu	id=g:7007283
Gidan Madebe	id=g:7007284
Dagua	id=g:7007285
Tobi	id=g:7007286
Malgan	id=g:7007287
Gidan-Here	id=g:7007288
Gaze	id=g:7007289
Dunkuma	id=g:7007290
Dadali	id=g:7007291
Dasugiri Hill	id=g:7007314
Kulhi Kondo	id=g:7007315
Tungan Taura	id=g:7007316
Dalijem Hausawa	id=g:7007317
Eldeu	id=g:7007318
Dalijem Fulani	id=g:7007319
Jimba	id=g:7007320
Dunkuma	id=g:7007321
Kabawa	id=g:7007322
Toidi Zaidi	id=g:7007323
Kuanawa	id=g:7007324
Gidan Bawa	id=g:7007325
Maiwa	id=g:7007326
Ginjo	id=g:7007327
Margai	id=g:7007328
Gawaze	id=g:7007329
Gidan Lahi	id=g:7007330
Hirna	id=g:7007331
Gidan Ajah	id=g:7007332
Sabongari	id=g:7007333
Anada	id=g:7007334
Tungan Jero	id=g:7007335
Giliodi	id=g:7007336
Bachaka	id=g:7007340
Sabangari	id=g:7007341
Tungan Mare	id=g:7007342
Toranki	id=g:7007343
Gajari Baleawa	id=g:7007344
Gajari Homa	id=g:7007345
Hoko	id=g:7007346
Zoro	id=g:7007347
Guhipto	id=g:7007348
Tunga	id=g:7007349
Jeringo	id=g:7007350
Kayah	id=g:7007351
Tumune	id=g:7007352
Baleo Dutche	id=g:7007353
Gidan Alamu	id=g:7007354
Kunkurwo	id=g:7007355
Litingo	id=g:7007356
Almaji	id=g:7007357
Gidin Tudo	id=g:7007358
Diddiba Tudu	id=g:7007359
Gidan Dulu	id=g:7007360
Gidan Dulo	id=g:7007361
Gidan Kajai	id=g:7007362
Gidan Joga	id=g:7007363
Gidan Gawi	id=g:7007364
Surane Forest Reserve	id=g:7007365
Dargane	id=g:7007366
Yola-Rafi	id=g:7007367
Kulalu	id=g:7007368
Polanji	id=g:7007369
Delmi	id=g:7007370
Gawkai	id=g:7007371
Kalugo	id=g:7007372
Dusawa	id=g:7007373
Aleta	id=g:7007374
Tungan Rati	id=g:7007375
Motangkari	id=g:7007376
Tulu	id=g:7007377
Rosa Mori	id=g:7007378
Tungan Ramusa	id=g:7007379
Dukoji Hill	id=g:7007380
Gidan Barka	id=g:7007381
Jibouneo	id=g:7007382
Gidan Kitchira	id=g:7007383
Sabongari	id=g:7007384
Tekeh	id=g:7007385
Tungan Tudo	id=g:7007386
Satasey	id=g:7007387
Tungan Abdlukola	id=g:7007388
Tungan Toso	id=g:7007390
Tungan Daukalawa	id=g:7007391
Maji	id=g:7007392
Gidan Tudo	id=g:7007393
Maraha	id=g:7007394
Gidan Gero	id=g:7007395
Karanja	id=g:7007396
Danjao	id=g:7007397
Tungan Doleh	id=g:7007398
Gumtsi	id=g:7007399
Gitarana	id=g:7007400
Kandawa	id=g:7007401
Kamasu	id=g:7007402
Leni	id=g:7007403
Gaboa	id=g:7007424
Gansaluwa	id=g:7007489
Yarume Rafi	id=g:7007513
Kulfo	id=g:7007736
Gaba Ushama	id=g:7007737
Lalle	id=g:7007738
Chiyumu	id=g:7007739
Malendo	id=g:7007740
Tunga Maigogwi Hill	id=g:7007741
Kambuwa	id=g:7007742
Bukari	id=g:7007746
Dankaiwa	id=g:7007747
Tulua	id=g:7007749
Karfin Chana	id=g:7007750
Matobare	id=g:7007751
Gidan Pore	id=g:7007752
Bijimi	id=g:7007753
Rumbuki	id=g:7007754
Bariki	id=g:7007755
Kabawa	id=g:7007757
Salibawa	id=g:7007759
Sabongari-Nagaruwaye	id=g:7007760
Dalijem Hausawa	id=g:7007761
Tungan Katchira	id=g:7007763
Gomozo	id=g:7007764
Sabarumowa	id=g:7007765
Tundun Walda	id=g:7007766
Karani	id=g:7007767
Sabarumowa	id=g:7007768
Gajari Jenawa	id=g:7007769
Chofan	id=g:7007770
Gidan Buji	id=g:7007771
Mahaku	id=g:7007772
Illela	id=g:7007773
Yarume	id=g:7007774
Dan Galadima	id=g:7007776
Yarume Roga	id=g:7007778
Jekanadu	id=g:7007779
Tungan Mudi	id=g:7007783
Tungan Fako	id=g:7007784
Horgoma Hill	id=g:7009167
Sabarumowa	id=g:7009168
Alfagei	id=g:7009169
Lamude	id=g:7009170
Kiliuli Lake	id=g:7009171
River Daaki	id=g:7009172
River Hoko	id=g:7009173
River Kadeche	id=g:7009174
River Kitchura	id=g:7009176
River Algali	id=g:7009177
River Sudiundu	id=g:7009178
River Bella	id=g:7009179
River Masaka	id=g:7009180
River Gudu	id=g:7009181
River Maliba	id=g:7009182
River Bella Bornu	id=g:7009183
River Baori	id=g:7009184
River Dogoso	id=g:7009188
River Dankeji	id=g:7009189
River Kutumbu Mochera	id=g:7009190
River Illa	id=g:7009191
River Udanmata	id=g:7009192
River Takoda	id=g:7009193
River Udasoba	id=g:7009194
River Angwa Sarkin	id=g:7009198
River Ferakam	id=g:7009199
River Kondolache	id=g:7009200
River Katsura	id=g:7009201
River Karfin	id=g:7009202
River Yamiriru	id=g:7009203
Toidi Lake	id=g:7009204
River Nelbru	id=g:7009205
River Takasaba	id=g:7009206
Barkin Daji	id=g:7009207
Ragam	id=g:7009208
Ranko	id=g:7009209
Surimi	id=g:7009210
Mahunju	id=g:7009211
Ma-e-e	id=g:7009212
Kariskin	id=g:7009213
Gulbin-Ka	id=g:7009214
River Sokobi	id=g:7009271
River Merina	id=g:7009274
River Wuyen Guden	id=g:7009275
River Sokoto	id=g:7009276
River Uda Sofo	id=g:7009277
River Da	id=g:7009278
Mayo Lugungel	id=g:7011238
Tumbulumkum	id=g:7012006
Munwadata	id=g:7012007
Gidan Barau	id=g:7012008
Rafinduma Salo	id=g:7012009
Ngaboru	id=g:7012010
Ngaboru	id=g:7012011
Marumaro	id=g:7012012
Bigal	id=g:7012013
Gidanfako	id=g:7012014
Tabani	id=g:7012015
Tsuga	id=g:7012016
Gobruwa	id=g:7012017
Pampara	id=g:7012018
Faru	id=g:7012019
Gidan Bizo	id=g:7012020
Tudujamu	id=g:7012021
Gidan Fako	id=g:7012022
Gidan Akai	id=g:7012023
Rabamawa	id=g:7012024
Gidan Bugaji	id=g:7012025
Gungu	id=g:7012026
Gidan Shekaro	id=g:7012027
Gidan Gado	id=g:7012028
Gobir	id=g:7012029
Gidan Shikiel	id=g:7012030
Gilkoa	id=g:7012031
Labau	id=g:7012032
Gidan Gago	id=g:7012033
Gidan Jeda	id=g:7012034
Almudu	id=g:7012035
Gidan Adarawa	id=g:7012036
Gidan Kuka	id=g:7012037
Gidankaro	id=g:7012038
Edoli	id=g:7012039
Masuki	id=g:7012040
Lungusi	id=g:7012041
Tunga	id=g:7012042
Zenge	id=g:7012043
Gakuke	id=g:7012044
Kadadi	id=g:7012045
Tantarkwai	id=g:7012046
Gidan Burema	id=g:7012047
Gidanzafi	id=g:7012048
Masuka	id=g:7012049
Gidangaina	id=g:7012050
Roga	id=g:7012051
Gidan Kiasu	id=g:7012052
Nasarawa	id=g:7012053
Gidan Ajia	id=g:7012054
Lafanichiwake	id=g:7012055
Gidan Ajia	id=g:7012056
Masuki	id=g:7012057
Biyangadi	id=g:7012058
Kunu	id=g:7012059
Tudun Madugu	id=g:7012060
Gedi	id=g:7012061
Dantudu	id=g:7012062
Gidan Zomo	id=g:7012063
Kuruhi	id=g:7012064
Tudumasana	id=g:7012065
Tsartawa	id=g:7012066
Gidan Tambari	id=g:7012067
Gundubul	id=g:7012068
Darnawa	id=g:7012069
Kagoya	id=g:7012070
Gidan Abudu	id=g:7012071
Gilbedi	id=g:7012072
Runbukawa	id=g:7012073
Gilbedi	id=g:7012074
Tsururu	id=g:7012075
Gidan Leo	id=g:7012076
Bukaza	id=g:7012077
Hunkui	id=g:7012078
Kanuta	id=g:7012079
Gidan Atarhir	id=g:7012080
Gidan Yafara	id=g:7012081
Tekke	id=g:7012082
Momosuka	id=g:7012083
Takalmawa	id=g:7012084
Maikansaa	id=g:7012085
Sakarawa	id=g:7012086
Gasaho	id=g:7012087
Kwarma Alikali	id=g:7012088
Gidan Illo	id=g:7012089
Daulawa	id=g:7012090
Takole	id=g:7012091
Gidan Jado	id=g:7012092
Yagarmawa	id=g:7012093
Kwarma	id=g:7012094
Sahiel Damagori	id=g:7012095
Sahiel Kaurawa	id=g:7012096
Gubetawa	id=g:7012097
Ruga	id=g:7012098
Kadasaka Baba	id=g:7012099
Folei Tabki	id=g:7012100
Marake	id=g:7012101
Gidan Maikabam	id=g:7012102
Holei	id=g:7012103
Gidan Fako	id=g:7012104
Koringo	id=g:7012105
Gidan Kura	id=g:7012106
Zungururu	id=g:7012107
Katanga	id=g:7012108
Gidan Duka	id=g:7012109
Nukuru	id=g:7012110
Kamdan	id=g:7012111
Dantudu	id=g:7012112
Basanta	id=g:7012113
Gidan Kata	id=g:7012114
Malali	id=g:7012115
Gidan Labaran	id=g:7012116
Dabagi	id=g:7012117
Rangandawa	id=g:7012118
Chirare	id=g:7012119
Masalawa Baba	id=g:7012120
Gidan Faja	id=g:7012121
Takajabi	id=g:7012122
Imwala	id=g:7012123
Kiri	id=g:7012124
Masalawan Duchi	id=g:7012125
Sangon Buza	id=g:7012126
Ambarura	id=g:7012127
Gidan Fulani	id=g:7012128
Gidan Mairakunmi	id=g:7012129
Gidan Angode	id=g:7012130
Kiri Kwanawa	id=g:7012131
Gidan Arharma	id=g:7012132
Gusau	id=g:7012133
Kirekafada	id=g:7012134
Gidan Gado	id=g:7012135
Kurihiawa	id=g:7012148
Satrawa	id=g:7012150
Kumaji	id=g:7012151
Gidan Gulubi	id=g:7012154
Tajayi	id=g:7012155
Mulela	id=g:7012158
Gidan Adua	id=g:7012159
Gidan Kara	id=g:7012160
Gidan Bakuso	id=g:7012161
Karengia	id=g:7012162
Gidan Tsohuwa	id=g:7012165
Gidan Fako	id=g:7012166
Gidan Jidi	id=g:7012167
Gidanmieri	id=g:7012168
Fadarawa	id=g:7012169
Kasarwasar	id=g:7012170
Gidadandede	id=g:7012171
Bakar Garkuwa	id=g:7012172
Gidan Isaka	id=g:7012173
Gidan Tune	id=g:7012174
Daramba	id=g:7012175
Tajaye	id=g:7012176
Jagu	id=g:7012177
Dumaji	id=g:7012178
Dumaji	id=g:7012179
Gidan Gwayo	id=g:7012180
Gidan Tudu	id=g:7012181
Sabon Gari	id=g:7012306
Tunga Ilo	id=g:7012307
Tunga Diya	id=g:7012308
Gidan Kare	id=g:7012309
Gidan Illagamu	id=g:7012310
Gidan Anazar	id=g:7012311
Bawda	id=g:7012312
Gidan Geza	id=g:7012313
Makina	id=g:7012314
Tarike	id=g:7012315
Gidan Sauna	id=g:7012316
Salewa	id=g:7012317
Rantajadi	id=g:7012318
Kianga	id=g:7012319
Burtali	id=g:7012320
Fodankai	id=g:7012321
Tunga Rafi	id=g:7012322
Tungfafe	id=g:7012323
Maimasu	id=g:7012324
Zungwan Ate	id=g:7012325
Mulela	id=g:7012326
Rubo-Dawa	id=g:7012327
Jema	id=g:7012369
Tungan Matchi	id=g:7012449
Kiliya	id=g:7012550
Dantule	id=g:7012551
Mamande	id=g:7012552
Tabani	id=g:7012553
Gidan Pawa	id=g:7012554
Gidan Rahi	id=g:7012555
Rungumawa	id=g:7012556
Maganga	id=g:7012557
Kawara	id=g:7012558
Gidan-Bauchi	id=g:7012559
Gidan Huri	id=g:7012560
Gidan-Ango	id=g:7012561
Gidan Barau	id=g:7012562
Tagamawa	id=g:7012563
Tartila	id=g:7012564
Masari	id=g:7012565
Tantarkwai	id=g:7012566
Yardole	id=g:7012567
Tuluski	id=g:7012568
Gidan Kaji	id=g:7012569
Balakozo	id=g:7012570
Gidan Tudu	id=g:7012571
Tsitse	id=g:7012572
Gidan Mallam	id=g:7012573
Gidan Salihu	id=g:7012574
Warankai	id=g:7012575
