Anjiabitira Rivière	id=g:1073626
Anjanabory	id=g:1073737
Anjanabory	id=g:1073738
Anjanaboro Rivière	id=g:1073739
Farihy Anjanaborona	id=g:1073740
Anjanaborona	id=g:1073741
Anjanaborona	id=g:1073742
Lac Anjanaboro	id=g:1073743
Anjanabora	id=g:1073744
Anjanabo	id=g:1073745
Anjana	id=g:1073746
Anjampoty	id=g:1073747
Anjampotsy	id=g:1073748
Anjampaly	id=g:1073749
Anjamitikitra	id=g:1073750
Anjamikory	id=g:1073751
Anjamiary	id=g:1073752
Anjamena	id=g:1073753
Anjamena	id=g:1073754
Anjambalo	id=g:1073755
Anjambalo	id=g:1073756
Anjambalava	id=g:1073757
Anjambaky	id=g:1073758
Anjamba	id=g:1073759
Anjamarotia	id=g:1073760
Anjamarotea	id=g:1073761
Anjamaro	id=g:1073762
Anjamarina	id=g:1073763
Anjamarina	id=g:1073764
Anjamanintsy	id=g:1073765
Anjamangotroka	id=g:1073766
Anjamangoha	id=g:1073767
Anjamanga	id=g:1073768
Anjamana	id=g:1073769
Anjamana	id=g:1073770
Anjamala	id=g:1073771
Anjamahitsy	id=g:1073772
Anjalvola	id=g:1073773
Anjaloaka	id=g:1073774
Anjalazala	id=g:1073775
Anjala	id=g:1073776
Anjakibobo	id=g:1073777
Anjakely	id=g:1073778
Anjakamba Ambony	id=g:1073779
Anjakamba Ambany	id=g:1073780
Anjakamba	id=g:1073781
Anjakaboro	id=g:1073782
Lohatanjon’ Anjajavy	id=g:1073783
Anjajavy	id=g:1073784
Anjainony	id=g:1073785
Anjahasoa	id=g:1073786
Anjahandroa	id=g:1073787
Anjahandoaka	id=g:1073788
Anjahanambo	id=g:1073789
Anjahana	id=g:1073790
Anjahana	id=g:1073791
Anjahana	id=g:1073792
Anjahana	id=g:1073793
Anjahana	id=g:1073794
Anjahana	id=g:1073795
Anjahampito	id=g:1073796
Anjahamboroka	id=g:1073797
Anjahambe	id=g:1073798
Anjahambe	id=g:1073799
Anjahambe	id=g:1073800
Anjahambe	id=g:1073801
Anjahamary	id=g:1073802
Anjahamarina	id=g:1073803
Anjahamarina	id=g:1073804
Anjahamarina	id=g:1073805
Anjahamarina	id=g:1073806
Anjahamarina	id=g:1073807
Anjahamarina	id=g:1073808
Anjahamarina	id=g:1073809
Anjahamarina	id=g:1073810
Anjahamarina	id=g:1073811
Anjahamara	id=g:1073812
Anjahamanitra	id=g:1073813
Anjahamangotroka	id=g:1073814
Anjahamanananaka	id=g:1073815
Anjahamana	id=g:1073816
Anjahafaty	id=g:1073817
Anjahabohona	id=g:1073818
Anjahaboboka	id=g:1073819
Anjahabe	id=g:1073820
Anjahabe	id=g:1073821
Anjaha	id=g:1073822
Anjaha	id=g:1073823
Anjaha	id=g:1073824
Anjaha	id=g:1073825
Anjaha	id=g:1073826
Anjaha	id=g:1073827
Anjaha	id=g:1073828
Anjaha	id=g:1073829
Anjadona	id=g:1073830
Anjabotretriky	id=g:1073831
Anjabihy	id=g:1073832
Anja-Belitsaka	id=g:1073833
Anjabe Ambany	id=g:1073834
Anjabe	id=g:1073835
Anjabe	id=g:1073836
Anjabe	id=g:1073837
Anja Avaratra	id=g:1073838
Anja Avaratra	id=g:1073839
Anja-Ampandrabe	id=g:1073840
Anja	id=g:1073841
Anja	id=g:1073842
Anja	id=g:1073843
Anja	id=g:1073844
Anja	id=g:1073845
Anja	id=g:1073846
Anja	id=g:1073847
Anivotano	id=g:1073848
Anivorano North	id=g:1073849
Anivoranokely	id=g:1073850
Anivorano Avaratra	id=g:1073851
Anivorano	id=g:1073852
Anivorano	id=g:1073853
Anivorano	id=g:1073854
Anivorano	id=g:1073855
Anivorano	id=g:1073856
Anivorano	id=g:1073857
Anivorano	id=g:1073858
Anivorano	id=g:1073859
Anivorano	id=g:1073860
Anivorano	id=g:1073861
Anivorano	id=g:1073862
Anivorano	id=g:1073863
Anivorano	id=g:1073864
Anivorano	id=g:1073865
Anivorano	id=g:1073866
Anivorano	id=g:1073867
Anivorano	id=g:1073868
Anivorano	id=g:1073869
Anivorano	id=g:1073870
Anivorano	id=g:1073871
Anivorano	id=g:1073872
Anivorano	id=g:1073873
Anivorano	id=g:1073874
Anivorano	id=g:1073875
Anivorano	id=g:1073876
Anivorano	id=g:1073877
Anivorano	id=g:1073878
Anivorano	id=g:1073879
Anivorano	id=g:1073880
Anivorano	id=g:1073881
Anivorano	id=g:1073882
Anivorano	id=g:1073883
Anivorano	id=g:1073884
Anivorano	id=g:1073885
Anivorano	id=g:1073886
Anivorano	id=g:1073887
Anivorano	id=g:1073888
Anivorano	id=g:1073889
Anivorano	id=g:1073890
Anivorano	id=g:1073891
Anivorano	id=g:1073892
Anivorano	id=g:1073893
Anivorano	id=g:1073894
Anivorano	id=g:1073895
Anivorano	id=g:1073896
Anivorano	id=g:1073897
Anivorano	id=g:1073898
Anivorano	id=g:1073899
Anivorano	id=g:1073900
Anivorano	id=g:1073901
Anivorano	id=g:1073902
Anivorano	id=g:1073903
Anivorano	id=g:1073904
Anivorano	id=g:1073905
Anivorano	id=g:1073906
Anivorano	id=g:1073907
Anivorano	id=g:1073908
Anivorano	id=g:1073909
Anivorano	id=g:1073910
Anivorano	id=g:1073911
Anivorano	id=g:1073912
Anivorano	id=g:1073913
Anivonisaina	id=g:1073914
Anivondrano	id=g:1073915
Anivoala	id=g:1073916
Aniso	id=g:1073917
Anisivolanana	id=g:1073918
Anisakoamizara	id=g:1073919
Anirinihamba	id=g:1073920
Aniriky	id=g:1073921
Aniriky	id=g:1073922
Aniribe	id=g:1073923
Aniribe	id=g:1073924
Aningotra	id=g:1073925
Aningitra	id=g:1073926
Aninaka	id=g:1073927
Aninaka	id=g:1073928
Aninaka	id=g:1073929
Anilobe	id=g:1073930
Anilavinany	id=g:1073931
Anila	id=g:1073932
Anijiajia	id=g:1073933
Aniamarina	id=g:1073934
Pointe Angorotany	id=g:1073935
Angorony	id=g:1073936
Angorongodona	id=g:1073937
Angorogabe	id=g:1073938
Angoroda	id=g:1073939
Rade d’ Angontsy	id=g:1073940
Angontsy	id=g:1073941
Nosy Angongo	id=g:1073942
Banc d’ Angongo	id=g:1073943
Angolo	id=g:1073944
Angolo	id=g:1073945
Angoja	id=g:1073946
Angoedry	id=g:1073947
Angodonina	id=g:1073948
Angodongodona	id=g:1073949
Angodongodona	id=g:1073950
Angodongodona	id=g:1073951
Angodongodona	id=g:1073952
Angodongodona	id=g:1073953
Angodongodona	id=g:1073954
Angodongodona	id=g:1073955
Angodongodona	id=g:1073956
Angodongodona	id=g:1073957
Angodongodo	id=g:1073958
Angodona	id=g:1073959
Angodona	id=g:1073960
Alan Angodoka	id=g:1073961
Angobigoby	id=g:1073962
Angoaka Avaratra	id=g:1073963
Angoaka Atsimo	id=g:1073964
Angoaka	id=g:1073965
Angiso	id=g:1073966
Angirony Rivière	id=g:1073967
Angirony	id=g:1073968
Angirony	id=g:1073969
Angironihely	id=g:1073970
Angirohely	id=g:1073971
Angirazato-Ankafotia	id=g:1073972
Angirazato	id=g:1073973
Angilindrevoay	id=g:1073974
Angidroga	id=g:1073975
Angelony	id=g:1073976
Angebo	id=g:1073977
Angebo	id=g:1073978
Angebo	id=g:1073979
Angebe	id=g:1073980
Pointe Angdroga	id=g:1073981
Angavokely	id=g:1073982
Angavokely	id=g:1073983
Hantsambaton Angavo	id=g:1073984
Falaise de l’ Angavo	id=g:1073985
Angavo	id=g:1073986
Angavo	id=g:1073987
Angavo	id=g:1073988
Angavo	id=g:1073989
Angavo	id=g:1073990
Nosy Angarahoka	id=g:1073991
Anganera	id=g:1073992
Angamoa	id=g:1073993
Angaika	id=g:1073994
Angaialava	id=g:1073995
Lohatanjon’ Angadoka	id=g:1073996
Angado	id=g:1073997
Anezandova	id=g:1073998
Anezandava	id=g:1073999
Anezandava	id=g:1074000
Anezandava	id=g:1074001
Anezandava	id=g:1074002
Anezandava	id=g:1074003
Anezandava	id=g:1074004
Anevoka	id=g:1074005
Anesika	id=g:1074006
Anesika	id=g:1074007
Anesibato	id=g:1074008
Anerinerina	id=g:1074009
Anerinerina	id=g:1074010
Anerinerina	id=g:1074011
Aneranerany	id=g:1074012
Anenjendava	id=g:1074013
Anenjandava	id=g:1074014
Anenjandava	id=g:1074015
Anenjandava	id=g:1074016
Anengitra	id=g:1074017
Anengitra	id=g:1074018
Anendy	id=g:1074019
Anendaka	id=g:1074020
Anena	id=g:1074021
Anena	id=g:1074022
Anena	id=g:1074023
Anena	id=g:1074024
Anena	id=g:1074025
Toraka Anelanelana	id=g:1074026
Anefitrialabe	id=g:1074027
Anefitrabe	id=g:1074028
Lac Andtanovorinlmanera	id=g:1074029
Alan Androy	id=g:1074030
Androy	id=g:1074031
Androy	id=g:1074032
Androy	id=g:1074033
Androy	id=g:1074034
Androy	id=g:1074035
Androy	id=g:1074036
Androy	id=g:1074037
Androy	id=g:1074038
Androvorony	id=g:1074039
Androvontsy	id=g:1074040
Androvia	id=g:1074041
Androvavaratra	id=g:1074042
Androvasoa	id=g:1074043
Androvasoa	id=g:1074044
Androvaniakoho	id=g:1074045
Androvanaomby	id=g:1074046
Androvamary	id=g:1074047
Androvakety	id=g:1074048
Androvakely	id=g:1074049
Androvakely	id=g:1074050
Androvakely	id=g:1074051
Androvakely	id=g:1074052
Androvakely	id=g:1074053
Androvakely	id=g:1074054
Androvakely	id=g:1074055
Androvakely	id=g:1074056
Androvahonko	id=g:1074057
Androvabe	id=g:1074058
Androva Atsimo	id=g:1074059
Androva	id=g:1074060
Androva	id=g:1074061
Androva	id=g:1074062
Androva	id=g:1074063
Androtsy Rivière	id=g:1074064
Androtsy Rivière	id=g:1074065
Androtsy Rivière	id=g:1074066
Androtsy Rivière	id=g:1074067
Androtsy Ouest	id=g:1074068
Androtsy Atsinanana	id=g:1074069
Androtsy Ambany	id=g:1074070
Androtsy	id=g:1074071
Androtsy	id=g:1074072
Androtsy	id=g:1074073
Androtsy	id=g:1074074
Androtsy	id=g:1074075
Androtsy	id=g:1074076
Androtsy	id=g:1074077
Androtsy	id=g:1074078
Androtsy	id=g:1074079
Androtsy	id=g:1074080
Androtsy	id=g:1074081
Androtsy	id=g:1074082
Androtsy	id=g:1074083
Androtsy	id=g:1074084
Androtsy	id=g:1074085
Androtsy	id=g:1074086
Androtsy	id=g:1074087
Androtsy	id=g:1074088
Androtsy	id=g:1074089
Androtsy	id=g:1074090
Androtsy	id=g:1074091
Androtsy	id=g:1074092
Androtsy	id=g:1074093
Androtsy	id=g:1074094
Androtsy	id=g:1074095
Androtsy	id=g:1074096
Androtsy	id=g:1074097
Androtsy	id=g:1074098
Androtsy	id=g:1074099
Androtsy	id=g:1074100
Androtsy	id=g:1074101
Androtsy	id=g:1074102
Androtsobe Rivière	id=g:1074103
Androtso	id=g:1074104
Androtsimlky Rivière	id=g:1074105
Androtsikely	id=g:1074106
Androtsibe	id=g:1074107
Androtsiabo	id=g:1074108
Androtsiabo	id=g:1074109
Androtse	id=g:1074110
Androtsabo	id=g:1074111
Androtsa	id=g:1074112
Androtsa	id=g:1074113
Androtsa	id=g:1074114
Androtrazo	id=g:1074115
Androtravo	id=g:1074116
Androtra Rivière	id=g:1074117
Androtra Rivière	id=g:1074118
Androtrakely	id=g:1074119
Androtrabo	id=g:1074120
Androtrabe	id=g:1074121
Androtrabe	id=g:1074122
Androtrabe	id=g:1074123
Nosy Androtra	id=g:1074124
Androtra	id=g:1074125
Androtra	id=g:1074126
Androtra	id=g:1074127
Androtra	id=g:1074128
Androtra	id=g:1074129
Androtra	id=g:1074130
Androtra	id=g:1074131
Androtra	id=g:1074132
Androtra	id=g:1074133
Androtra	id=g:1074134
Androtra	id=g:1074135
Androtra	id=g:1074136
Androtra	id=g:1074137
Androtra	id=g:1074138
Androtra	id=g:1074139
Androtra	id=g:1074140
Androtra	id=g:1074141
Androtra	id=g:1074142
Androtra	id=g:1074143
Androta	id=g:1074144
Androsy	id=g:1074145
Androsoa	id=g:1074146
Androsalabo	id=g:1074147
Androsabo	id=g:1074148
Androrona	id=g:1074149
Androrangavola Avaratra	id=g:1074150
Androrangavola Atsimo	id=g:1074151
Androrangavola	id=g:1074152
Androrangavola	id=g:1074153
Androrangavola	id=g:1074154
Androrangavola	id=g:1074155
Androrangavola	id=g:1074156
Androrangavola	id=g:1074157
Androrangavola	id=g:1074158
Androrangavola	id=g:1074159
Androrangavola	id=g:1074160
Androrangavola	id=g:1074161
Androrangavola	id=g:1074162
Androrangavola	id=g:1074163
Androrangavola	id=g:1074164
Androrangavola	id=g:1074165
Androrangavola	id=g:1074166
Androrangavola	id=g:1074167
Androrangavola	id=g:1074168
Androrangavola	id=g:1074169
Androrangatsara	id=g:1074170
Androrangambo	id=g:1074171
Androrangabe II	id=g:1074172
Androrangabe	id=g:1074173
Androrangabe	id=g:1074174
Androrangabe	id=g:1074175
Androrangabe	id=g:1074176
Androranga	id=g:1074177
Androranga	id=g:1074178
Androranga	id=g:1074179
Androranga	id=g:1074180
Androranga	id=g:1074181
Andropolo	id=g:1074182
Androny	id=g:1074183
Tanjon’ Androntany	id=g:1074184
Saikanosy Androntany	id=g:1074185
Andronono	id=g:1074186
Andronono	id=g:1074187
Lohatanjon’ Andronona	id=g:1074188
Andronjany	id=g:1074189
Andronjana	id=g:1074190
Andronialady	id=g:1074191
Androngovalo	id=g:1074192
Androngony	id=g:1074193
Androngonibe	id=g:1074194
Androndry	id=g:1074195
Androndrona Anava	id=g:1074196
Androndramena	id=g:1074197
Androndramanitra	id=g:1074198
Androndrakely	id=g:1074199
Androndrabe	id=g:1074200
Lembalemba Ambanin’ Androna	id=g:1074201
Bas Plateau de l’ Androna	id=g:1074202
Andrompy	id=g:1074203
Andrombazo	id=g:1074204
Andrombatokely	id=g:1074205
Andrombato	id=g:1074206
Andromba	id=g:1074207
Andromba	id=g:1074208
Andromba	id=g:1074209
Andromba	id=g:1074210
Andromba	id=g:1074211
Andromba	id=g:1074212
Andromba	id=g:1074213
Andromay	id=g:1074214
Andromasy	id=g:1074215
Andromasy	id=g:1074216
Androlavy	id=g:1074217
Androkobe	id=g:1074218
Androkeny	id=g:1074219
Androka Ruisseau	id=g:1074220
Port d’ Androka	id=g:1074221
Androka	id=g:1074222
Androka	id=g:1074223
Androka	id=g:1074224
Androka	id=g:1074225
Androka	id=g:1074226
Androka	id=g:1074227
Androka	id=g:1074228
Androitana	id=g:1074229
Androimenabe	id=g:1074230
Androimena	id=g:1074231
Androimanga	id=g:1074232
Androimainty	id=g:1074233
Androifantaka	id=g:1074234
Androidroy	id=g:1074235
Androidava	id=g:1074236
Androibe Rivière	id=g:1074237
Androibe	id=g:1074238
Androiavy	id=g:1074239
Androiavitra	id=g:1074240
Androhy	id=g:1074241
Androhotrabe Ruisseau	id=g:1074242
Androhotra	id=g:1074243
Androhotoka	id=g:1074244
Androhondroho	id=g:1074245
Androhondroho	id=g:1074246
Androhondroho	id=g:1074247
Androhofontsy	id=g:1074248
Androhitsy	id=g:1074249
Androhipano	id=g:1074250
Androhibotsy	id=g:1074251
Androhibobe	id=g:1074252
Androhibe Rivière	id=g:1074253
Androhibe Rivière	id=g:1074254
Androhibe Rivière	id=g:1074255
Androhibe	id=g:1074256
Androhibe	id=g:1074257
Androhibe	id=g:1074258
Androhibe	id=g:1074259
Androhibe	id=g:1074260
Androhibe	id=g:1074261
Androhibe	id=g:1074262
Androhibe	id=g:1074263
Androhibe	id=g:1074264
Androhiavy	id=g:1074265
Androhiavitro	id=g:1074266
Androgobe	id=g:1074267
Androfiatsara	id=g:1074268
Androfiatsara	id=g:1074269
Androfianitsibiby	id=g:1074270
Androfianinasesy	id=g:1074271
Androfiamena	id=g:1074272
Androfiamadinika Rivière	id=g:1074273
Androfiamadinika	id=g:1074274
Androfiakely	id=g:1074275
Androfiakely	id=g:1074276
Androfiakely	id=g:1074277
Androfiakely	id=g:1074278
Baie d’ Androfiabe	id=g:1074279
Androfiabe	id=g:1074280
Androfiabe	id=g:1074281
Androfiabe	id=g:1074282
Androfia	id=g:1074283
Androfia	id=g:1074284
Androfia	id=g:1074285
Androfia	id=g:1074286
Androfia	id=g:1074287
Androfia	id=g:1074288
Androfary	id=g:1074289
Androdomaina	id=g:1074290
Androdava	id=g:1074291
Androdava	id=g:1074292
Androby	id=g:1074293
Androbotsy	id=g:1074294
Androbotsiabo	id=g:1074295
Androboky	id=g:1074296
Androbe	id=g:1074297
Androbay	id=g:1074298
Androbay	id=g:1074299
Androbaroba	id=g:1074300
Androatsabo	id=g:1074301
Androatra Rivière	id=g:1074302
Androangady	id=g:1074303
Androangabe	id=g:1074304
Androangabe	id=g:1074305
Androamitsaka	id=g:1074306
Androamitsaka	id=g:1074307
Androadroatra	id=g:1074308
Androa	id=g:1074309
Pointe Andrivony	id=g:1074310
Andriva Rangotro	id=g:1074311
Andriry	id=g:1074312
Andriralalana	id=g:1074313
Andripidripiky	id=g:1074314
Andripatrambo	id=g:1074315
Andripamena	id=g:1074316
Andriotrabe	id=g:1074317
Andriodriotra	id=g:1074318
Andriodriotra	id=g:1074319
Andringitra	id=g:1074320
Andringitra	id=g:1074321
Andringitra	id=g:1074322
Andringahely	id=g:1074323
Andrikely	id=g:1074324
Andrikarika	id=g:1074325
Andrihibe	id=g:1074326
Andrihanabo	id=g:1074327
Andriha	id=g:1074328
Andribavontsona	id=g:1074329
Andribavontsona	id=g:1074330
Andribavato	id=g:1074331
Andriba	id=g:1074332
Andriba	id=g:1074333
Andriavitsy	id=g:1074334
Andriatany	id=g:1074335
Andriapotsy	id=g:1074336
Andriantsilahy	id=g:1074337
Andriantsibabo	id=g:1074338
Andriantoany	id=g:1074339
Andriantany	id=g:1074340
Andriantantely	id=g:1074341
Andriankely	id=g:1074342
Andrianitanala	id=g:1074343
Andrianifotsy	id=g:1074344
Nosy Andriangory	id=g:1074345
Andriandrapona	id=g:1074346
Andriandraivozaka	id=g:1074347
Andrianday	id=g:1074348
Andriandava	id=g:1074349
Andriandava	id=g:1074350
Andriandampy	id=g:1074351
Andriandampy	id=g:1074352
Andriandampy	id=g:1074353
Andriandampy	id=g:1074354
Andrianavo	id=g:1074355
Andrianariana	id=g:1074356
Andrianando Rivière	id=g:1074357
Andriananaly	id=g:1074358
Andrianambohitra	id=g:1074359
Andrianambo	id=g:1074360
Andrianambo	id=g:1074361
Andrianala	id=g:1074362
Andrianahely	id=g:1074363
Andrianabe	id=g:1074364
Andrianabe	id=g:1074365
Andriana	id=g:1074366
Andriana	id=g:1074367
Andriampotsy	id=g:1074368
Andriampotsy	id=g:1074369
Andriampotaka	id=g:1074370
Andriampisaka	id=g:1074371
Andriampasika	id=g:1074372
Andriampanory	id=g:1074373
Andriampanora	id=g:1074374
Andriampamaky	id=g:1074375
Andriampamaky	id=g:1074376
Andriamora	id=g:1074377
Andriamora	id=g:1074378
Andriamitsokina	id=g:1074379
Andriamitsioka	id=g:1074380
Nosy Andriamitaroka	id=g:1074381
Andriamiakadaza Rivière	id=g:1074382
Andriamero	id=g:1074383
Andriamena Rivière	id=g:1074384
Andriamena-morarano	id=g:1074385
Andriamenakely	id=g:1074386
Andriamenakely	id=g:1074387
Andriamena	id=g:1074388
Andriamena	id=g:1074389
Andriamena	id=g:1074390
Andriamena	id=g:1074391
Andriamborompotsy	id=g:1074392
Andriambilany	id=g:1074393
Andriambe Rivière	id=g:1074394
Andriambekely	id=g:1074395
Lohatanjon’ Andriambe	id=g:1074396
Lac Andriambe	id=g:1074397
Andriambe	id=g:1074398
Andriambe	id=g:1074399
Andriambe	id=g:1074400
Andriambe	id=g:1074401
Andriambe	id=g:1074402
Andriambe	id=g:1074403
Andriambe	id=g:1074404
Andriambe	id=g:1074405
Andriambazaha	id=g:1074406
Andriambavotsy	id=g:1074407
Andriambato	id=g:1074408
Andriambango	id=g:1074409
Andriambakotra	id=g:1074410
Andriamasiniandro	id=g:1074411
Andriamasay	id=g:1074412
Andriamarolamba	id=g:1074413
Andriamangrona	id=g:1074414
Andriamanero	id=g:1074415
Andriamanefy	id=g:1074416
Andriamandevy	id=g:1074417
Andriamandevy	id=g:1074418
Tanjon’ Andriamanao	id=g:1074419
Andriamamovoka Rivière	id=g:1074420
Andriakely	id=g:1074421
Andriakely	id=g:1074422
Andriadriatra	id=g:1074423
Andriabe Ouest	id=g:1074424
Andriabe Est	id=g:1074425
Andriabe	id=g:1074426
Andriabe	id=g:1074427
Andriabe	id=g:1074428
Andriabe	id=g:1074429
Andriabe	id=g:1074430
Andriabe	id=g:1074431
Andriabe	id=g:1074432
Andriabe	id=g:1074433
Andriabe	id=g:1074434
Andriabe	id=g:1074435
Andriabe	id=g:1074436
Andriabe	id=g:1074437
Andriabe	id=g:1074438
Andriabe	id=g:1074439
Andriabe	id=g:1074440
Andria	id=g:1074441
Andrevorevolava	id=g:1074442
Andrevorevo	id=g:1074443
Andrevokely	id=g:1074444
Andrevo	id=g:1074445
Andrevo	id=g:1074446
Andretra	id=g:1074447
Andresabiky	id=g:1074448
Andresa	id=g:1074449
Andrere	id=g:1074450
Andrera	id=g:1074451
Andrepatsy	id=g:1074452
Andrenjalamahitsy	id=g:1074453
Andreniatamena	id=g:1074454
Andrenialasingotry	id=g:1074455
Andrenialamahitsy	id=g:1074456
Andrenialafotsy	id=g:1074457
Andrengy	id=g:1074458
Andrenalamena	id=g:1074459
Andrembona	id=g:1074460
Andrembona	id=g:1074461
Andrembesoa	id=g:1074462
Andrembe	id=g:1074463
Andremba	id=g:1074464
Andremanito	id=g:1074465
Andremanindrilahy	id=g:1074466
Andrekosy	id=g:1074467
Andreketa	id=g:1074468
Andreketa	id=g:1074469
Andreketa	id=g:1074470
Andreketa	id=g:1074471
Andrekareka	id=g:1074472
Andrekaba	id=g:1074473
Andreforefo	id=g:1074474
Andreforefo	id=g:1074475
Andreforefo	id=g:1074476
Andreforefo	id=g:1074477
Andrefantsena	id=g:1074478
Andrefantsena	id=g:1074479
Andrefanjaka	id=g:1074480
Andrefananjoma	id=g:1074481
Andrefanalatsinainy	id=g:1074482
Toraka Andrefana	id=g:1074483
Andrefambato	id=g:1074484
Andrefamanga	id=g:1074485
Andrefaha	id=g:1074486
Andrebolo	id=g:1074487
Andrebakely	id=g:1074488
Andrebabe	id=g:1074489
Andreba	id=g:1074490
Andreba	id=g:1074491
Andreba	id=g:1074492
Andreba	id=g:1074493
Andreba	id=g:1074494
Andreba	id=g:1074495
Andreba	id=g:1074496
Andreatomily	id=g:1074497
Andreamitsioka	id=g:1074498
Andreamalama Avaratra	id=g:1074499
Andreamalama Atsimo	id=g:1074500
Andreamalama	id=g:1074501
Andreamalama	id=g:1074502
Andreaba	id=g:1074503
Andrea	id=g:1074504
Andrea	id=g:1074505
Andrea	id=g:1074506
Andrea	id=g:1074507
Andrea	id=g:1074508
Andrea	id=g:1074509
Cap André	id=g:1074510
Andrazato	id=g:1074511
Andrazanaka	id=g:1074512
Andrazaha	id=g:1074513
Andray	id=g:1074514
Andravy	id=g:1074515
Andravory Rivière	id=g:1074516
Andravory	id=g:1074517
Andravory	id=g:1074518
Andravorianevo	id=g:1074519
Andravoravo	id=g:1074520
Andravoravo	id=g:1074521
Andravony	id=g:1074522
Andravondahy	id=g:1074523
Andravololona	id=g:1074524
Andravolasoa	id=g:1074525
Andravola	id=g:1074526
Andravola	id=g:1074527
Andravola	id=g:1074528
Andravokely Rivière	id=g:1074529
Nosy Andravoho	id=g:1074530
Andravoahangy	id=g:1074531
Andravoahangy	id=g:1074532
Andravoahangy	id=g:1074533
Andravitokana	id=g:1074534
Andraviravy Rivière	id=g:1074535
Alan Andraviravimarefy	id=g:1074536
Andravinkazo	id=g:1074537
Andravindralandana	id=g:1074538
Andravindahy	id=g:1074539
Andravindahy	id=g:1074540
Andravindahy	id=g:1074541
Andravindahy	id=g:1074542
Andravindahy	id=g:1074543
Andravinambo	id=g:1074544
Andravinakoho	id=g:1074545
Helodranon’ Andravina	id=g:1074546
Andravina	id=g:1074547
Andravina	id=g:1074548
Andraveza	id=g:1074549
Andraveloma	id=g:1074550
Andravaravina	id=g:1074551
Andravaonony	id=g:1074552
Andravany	id=g:1074553
Andravakoky	id=g:1074554
Andravainafo	id=g:1074555
Andravainafo	id=g:1074556
Andratsay Rivière	id=g:1074557
Andratomity	id=g:1074558
Andratomena	id=g:1074559
